ID;Geslacht;Leeftijd;Marges;RegioS;Perioden;PersonenMetEenWerkloosheidsuitkering_1
171;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 maart;13530.0
172;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 april;13550.0
173;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 mei;13390.0
174;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 juni;13370.0
175;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 juli;13300.0
176;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 augustus;13260.0
177;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 september;13270.0
178;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 oktober;13300.0
179;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 november;13340.0
180;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 december;13450.0
181;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 januari;13420.0
182;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 februari;13570.0
183;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 maart;13420.0
184;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 april;13580.0
185;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 mei;13320.0
186;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 juni;13470.0
187;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 juli;13190.0
188;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 augustus;13300.0
189;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 september;13050.0
190;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 oktober;13120.0
191;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 november;12900.0
192;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2016 december;12930.0
193;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 januari;12700.0
194;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 februari;12680.0
195;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 maart;12370.0
196;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 april;12320.0
197;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 mei;11930.0
198;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 juni;11890.0
199;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 juli;11450.0
200;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 augustus;11430.0
201;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 september;10980.0
202;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 oktober;10960.0
203;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 november;10520.0
204;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2017 december;10510.0
205;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 januari;10080.0
206;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 februari;10040.0
207;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 maart;9610.0
208;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 april;9550.0
209;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 mei;9130.0
210;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 juni;9090.0
211;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 juli;8710.0
212;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 augustus;8720.0
213;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 september;8380.0
214;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 oktober;8440.0
215;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 november;8150.0
216;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2018 december;8240.0
217;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 januari;7950.0
218;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 februari;8000.0
219;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 maart;7700.0
220;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 april;7700.0
221;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 mei;7430.0
222;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 juni;7420.0
223;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 juli;7260.0
224;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 augustus;7280.0
225;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 september;7260.0
226;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 oktober;7350.0
227;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 november;7490.0
228;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2019 december;7640.0
229;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 januari;7880.0
230;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 februari;8050.0
231;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 maart;8290.0
232;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 april;8450.0
233;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 mei;8580.0
234;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 juni;8670.0
235;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 juli;8650.0
236;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 augustus;8670.0
237;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 september;8480.0
238;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 oktober;8440.0
239;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 november;8120.0
240;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2020 december;8040.0
241;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 januari;7640.0
242;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 februari;7510.0
243;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 maart;7060.0
244;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 april;6910.0
245;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 mei;6480.0
246;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 juni;6320.0
247;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 juli;5980.0
248;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 augustus;5830.0
