ID;EnterpriseSize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
42;Total 1 or more employed persons;F Construction;2007 July;;
43;Total 1 or more employed persons;F Construction;2007 August;;
44;Total 1 or more employed persons;F Construction;2007 September;;
45;Total 1 or more employed persons;F Construction;2007 3rd quarter;;
46;Total 1 or more employed persons;F Construction;2007 October;;
47;Total 1 or more employed persons;F Construction;2007 November;;
48;Total 1 or more employed persons;F Construction;2007 December;;
49;Total 1 or more employed persons;F Construction;2007 4th quarter;;
50;Total 1 or more employed persons;F Construction;2007;;
51;Total 1 or more employed persons;F Construction;2008 January;;
52;Total 1 or more employed persons;F Construction;2008 February;;
53;Total 1 or more employed persons;F Construction;2008 March;;
54;Total 1 or more employed persons;F Construction;2008 1st quarter;;
55;Total 1 or more employed persons;F Construction;2008 April;;
56;Total 1 or more employed persons;F Construction;2008 May;;
57;Total 1 or more employed persons;F Construction;2008 June;;
58;Total 1 or more employed persons;F Construction;2008 2nd quarter;;
59;Total 1 or more employed persons;F Construction;2008 July;;
60;Total 1 or more employed persons;F Construction;2008 August;;
61;Total 1 or more employed persons;F Construction;2008 September;;
62;Total 1 or more employed persons;F Construction;2008 3rd quarter;;
63;Total 1 or more employed persons;F Construction;2008 October;;
64;Total 1 or more employed persons;F Construction;2008 November;;
65;Total 1 or more employed persons;F Construction;2008 December;;
66;Total 1 or more employed persons;F Construction;2008 4th quarter;;
67;Total 1 or more employed persons;F Construction;2008;;
68;Total 1 or more employed persons;F Construction;2009 January;53.8;
69;Total 1 or more employed persons;F Construction;2009 February;67.3;
70;Total 1 or more employed persons;F Construction;2009 March;83.1;
71;Total 1 or more employed persons;F Construction;2009 1st quarter;68.1;
72;Total 1 or more employed persons;F Construction;2009 April;79.6;
73;Total 1 or more employed persons;F Construction;2009 May;75.6;
74;Total 1 or more employed persons;F Construction;2009 June;83.8;
75;Total 1 or more employed persons;F Construction;2009 2nd quarter;79.7;
76;Total 1 or more employed persons;F Construction;2009 July;77.5;
77;Total 1 or more employed persons;F Construction;2009 August;51.1;
78;Total 1 or more employed persons;F Construction;2009 September;80.7;
79;Total 1 or more employed persons;F Construction;2009 3rd quarter;69.8;
80;Total 1 or more employed persons;F Construction;2009 October;82.7;
81;Total 1 or more employed persons;F Construction;2009 November;79.0;
82;Total 1 or more employed persons;F Construction;2009 December;89.4;
83;Total 1 or more employed persons;F Construction;2009 4th quarter;83.7;
84;Total 1 or more employed persons;F Construction;2009;75.3;
85;Total 1 or more employed persons;F Construction;2010 January;43.7;-18.6
86;Total 1 or more employed persons;F Construction;2010 February;52.2;-22.5
87;Total 1 or more employed persons;F Construction;2010 March;71.6;-13.8
88;Total 1 or more employed persons;F Construction;2010 1st quarter;55.8;-18.0
89;Total 1 or more employed persons;F Construction;2010 April;70.7;-11.2
90;Total 1 or more employed persons;F Construction;2010 May;66.8;-11.7
91;Total 1 or more employed persons;F Construction;2010 June;79.5;-5.1
92;Total 1 or more employed persons;F Construction;2010 2nd quarter;72.3;-9.2
93;Total 1 or more employed persons;F Construction;2010 July;73.0;-5.8
94;Total 1 or more employed persons;F Construction;2010 August;47.2;-7.6
95;Total 1 or more employed persons;F Construction;2010 September;73.3;-9.2
96;Total 1 or more employed persons;F Construction;2010 3rd quarter;64.5;-7.6
97;Total 1 or more employed persons;F Construction;2010 October;76.3;-7.8
98;Total 1 or more employed persons;F Construction;2010 November;79.1;0.1
99;Total 1 or more employed persons;F Construction;2010 December;81.7;-8.6
100;Total 1 or more employed persons;F Construction;2010 4th quarter;79.0;-5.6
101;Total 1 or more employed persons;F Construction;2010;67.9;-9.8
102;Total 1 or more employed persons;F Construction;2011 January;48.2;10.2
103;Total 1 or more employed persons;F Construction;2011 February;61.1;17.2
104;Total 1 or more employed persons;F Construction;2011 March;74.0;3.3
105;Total 1 or more employed persons;F Construction;2011 1st quarter;61.1;9.4
106;Total 1 or more employed persons;F Construction;2011 April;71.5;1.0
107;Total 1 or more employed persons;F Construction;2011 May;77.5;16.0
108;Total 1 or more employed persons;F Construction;2011 June;74.1;-6.9
109;Total 1 or more employed persons;F Construction;2011 2nd quarter;74.3;2.8
110;Total 1 or more employed persons;F Construction;2011 July;69.7;-4.4
111;Total 1 or more employed persons;F Construction;2011 August;49.7;5.1
112;Total 1 or more employed persons;F Construction;2011 September;78.8;7.5
113;Total 1 or more employed persons;F Construction;2011 3rd quarter;66.1;2.4
114;Total 1 or more employed persons;F Construction;2011 October;74.4;-2.4
115;Total 1 or more employed persons;F Construction;2011 November;79.2;0.2
116;Total 1 or more employed persons;F Construction;2011 December;88.9;8.8
117;Total 1 or more employed persons;F Construction;2011 4th quarter;80.8;2.3
118;Total 1 or more employed persons;F Construction;2011;70.6;3.9
119;Total 1 or more employed persons;F Construction;2012 January;45.3;-6.1
120;Total 1 or more employed persons;F Construction;2012 February;53.6;-12.4
121;Total 1 or more employed persons;F Construction;2012 March;67.8;-8.3
122;Total 1 or more employed persons;F Construction;2012 1st quarter;55.6;-9.1
123;Total 1 or more employed persons;F Construction;2012 April;65.9;-7.9
124;Total 1 or more employed persons;F Construction;2012 May;68.2;-11.9
125;Total 1 or more employed persons;F Construction;2012 June;73.4;-0.9
126;Total 1 or more employed persons;F Construction;2012 2nd quarter;69.2;-6.9
127;Total 1 or more employed persons;F Construction;2012 July;64.4;-7.7
128;Total 1 or more employed persons;F Construction;2012 August;49.6;-0.2
129;Total 1 or more employed persons;F Construction;2012 September;75.7;-4.0
130;Total 1 or more employed persons;F Construction;2012 3rd quarter;63.2;-4.3
131;Total 1 or more employed persons;F Construction;2012 October;69.4;-6.7
132;Total 1 or more employed persons;F Construction;2012 November;74.3;-6.2
133;Total 1 or more employed persons;F Construction;2012 December;76.3;-14.1
134;Total 1 or more employed persons;F Construction;2012 4th quarter;73.4;-9.2
135;Total 1 or more employed persons;F Construction;2012;65.3;-7.5
136;Total 1 or more employed persons;F Construction;2013 January;41.9;-7.5
137;Total 1 or more employed persons;F Construction;2013 February;48.5;-9.5
138;Total 1 or more employed persons;F Construction;2013 March;60.7;-10.5
139;Total 1 or more employed persons;F Construction;2013 1st quarter;50.4;-9.3
140;Total 1 or more employed persons;F Construction;2013 April;61.2;-7.0
141;Total 1 or more employed persons;F Construction;2013 May;64.7;-5.2
142;Total 1 or more employed persons;F Construction;2013 June;67.9;-7.6
143;Total 1 or more employed persons;F Construction;2013 2nd quarter;64.6;-6.6
144;Total 1 or more employed persons;F Construction;2013 July;62.8;-2.4
145;Total 1 or more employed persons;F Construction;2013 August;48.6;-1.8
146;Total 1 or more employed persons;F Construction;2013 September;68.2;-9.8
147;Total 1 or more employed persons;F Construction;2013 3rd quarter;59.9;-5.2
148;Total 1 or more employed persons;F Construction;2013 October;72.5;4.4
149;Total 1 or more employed persons;F Construction;2013 November;71.2;-4.2
150;Total 1 or more employed persons;F Construction;2013 December;78.6;3.0
151;Total 1 or more employed persons;F Construction;2013 4th quarter;74.1;1.0
152;Total 1 or more employed persons;F Construction;2013;62.2;-4.7
153;Total 1 or more employed persons;F Construction;2014 January;45.4;8.3
154;Total 1 or more employed persons;F Construction;2014 February;53.5;10.4
155;Total 1 or more employed persons;F Construction;2014 March;59.5;-2.0
156;Total 1 or more employed persons;F Construction;2014 1st quarter;52.8;4.8
157;Total 1 or more employed persons;F Construction;2014 April;63.3;3.3
158;Total 1 or more employed persons;F Construction;2014 May;62.7;-3.1
159;Total 1 or more employed persons;F Construction;2014 June;65.2;-4.0
160;Total 1 or more employed persons;F Construction;2014 2nd quarter;63.7;-1.4
161;Total 1 or more employed persons;F Construction;2014 July;65.3;4.0
162;Total 1 or more employed persons;F Construction;2014 August;43.9;-9.8
163;Total 1 or more employed persons;F Construction;2014 September;68.2;0.0
164;Total 1 or more employed persons;F Construction;2014 3rd quarter;59.1;-1.3
165;Total 1 or more employed persons;F Construction;2014 October;78.5;8.3
166;Total 1 or more employed persons;F Construction;2014 November;75.2;5.6
167;Total 1 or more employed persons;F Construction;2014 December;85.5;8.7
168;Total 1 or more employed persons;F Construction;2014 4th quarter;79.7;7.6
169;Total 1 or more employed persons;F Construction;2014;63.8;2.6
170;Total 1 or more employed persons;F Construction;2015 January;46.4;2.2
171;Total 1 or more employed persons;F Construction;2015 February;54.1;1.1
172;Total 1 or more employed persons;F Construction;2015 March;67.2;13.0
173;Total 1 or more employed persons;F Construction;2015 1st quarter;55.9;5.9
174;Total 1 or more employed persons;F Construction;2015 April;64.8;2.4
175;Total 1 or more employed persons;F Construction;2015 May;65.0;3.6
176;Total 1 or more employed persons;F Construction;2015 June;80.4;23.3
177;Total 1 or more employed persons;F Construction;2015 2nd quarter;70.0;9.9
178;Total 1 or more employed persons;F Construction;2015 July;70.0;7.2
179;Total 1 or more employed persons;F Construction;2015 August;48.3;10.0
180;Total 1 or more employed persons;F Construction;2015 September;74.0;8.4
181;Total 1 or more employed persons;F Construction;2015 3rd quarter;64.1;8.4
182;Total 1 or more employed persons;F Construction;2015 October;76.2;-3.0
183;Total 1 or more employed persons;F Construction;2015 November;77.6;3.1
184;Total 1 or more employed persons;F Construction;2015 December;86.2;0.8
185;Total 1 or more employed persons;F Construction;2015 4th quarter;80.0;0.3
186;Total 1 or more employed persons;F Construction;2015;67.5;5.7
187;Total 1 or more employed persons;F Construction;2016 January;49.0;5.7
188;Total 1 or more employed persons;F Construction;2016 February;59.8;10.7
189;Total 1 or more employed persons;F Construction;2016 March;69.9;4.0
190;Total 1 or more employed persons;F Construction;2016 1st quarter;59.6;6.6
191;Total 1 or more employed persons;F Construction;2016 April;69.7;7.6
192;Total 1 or more employed persons;F Construction;2016 May;69.0;6.2
193;Total 1 or more employed persons;F Construction;2016 June;79.6;-0.9
194;Total 1 or more employed persons;F Construction;2016 2nd quarter;72.8;3.9
195;Total 1 or more employed persons;F Construction;2016 July;77.2;10.2
196;Total 1 or more employed persons;F Construction;2016 August;51.4;6.4
197;Total 1 or more employed persons;F Construction;2016 September;78.0;5.5
198;Total 1 or more employed persons;F Construction;2016 3rd quarter;68.9;7.4
199;Total 1 or more employed persons;F Construction;2016 October;79.8;4.8
200;Total 1 or more employed persons;F Construction;2016 November;84.0;8.3
201;Total 1 or more employed persons;F Construction;2016 December;93.9;9.0
202;Total 1 or more employed persons;F Construction;2016 4th quarter;85.9;7.4
203;Total 1 or more employed persons;F Construction;2016;71.8;6.3
204;Total 1 or more employed persons;F Construction;2017 January;49.3;0.6
205;Total 1 or more employed persons;F Construction;2017 February;61.7;3.1
206;Total 1 or more employed persons;F Construction;2017 March;78.6;12.5
207;Total 1 or more employed persons;F Construction;2017 1st quarter;63.2;6.1
208;Total 1 or more employed persons;F Construction;2017 April;69.9;0.3
209;Total 1 or more employed persons;F Construction;2017 May;78.4;13.6
210;Total 1 or more employed persons;F Construction;2017 June;83.8;5.2
211;Total 1 or more employed persons;F Construction;2017 2nd quarter;77.4;6.3
212;Total 1 or more employed persons;F Construction;2017 July;80.2;4.0
213;Total 1 or more employed persons;F Construction;2017 August;54.7;6.6
214;Total 1 or more employed persons;F Construction;2017 September;79.9;2.4
215;Total 1 or more employed persons;F Construction;2017 3rd quarter;71.6;4.0
216;Total 1 or more employed persons;F Construction;2017 October;86.4;8.2
217;Total 1 or more employed persons;F Construction;2017 November;92.2;9.7
218;Total 1 or more employed persons;F Construction;2017 December;99.0;5.5
219;Total 1 or more employed persons;F Construction;2017 4th quarter;92.5;7.7
220;Total 1 or more employed persons;F Construction;2017;76.2;6.1
221;Total 1 or more employed persons;F Construction;2018 January;55.9;13.4
222;Total 1 or more employed persons;F Construction;2018 February;67.7;9.7
223;Total 1 or more employed persons;F Construction;2018 March;80.8;2.8
224;Total 1 or more employed persons;F Construction;2018 1st quarter;68.1;7.8
225;Total 1 or more employed persons;F Construction;2018 April;81.7;17.0
226;Total 1 or more employed persons;F Construction;2018 May;85.3;8.8
227;Total 1 or more employed persons;F Construction;2018 June;93.1;11.0
228;Total 1 or more employed persons;F Construction;2018 2nd quarter;86.7;12.1
229;Total 1 or more employed persons;F Construction;2018 July;89.2;11.2
230;Total 1 or more employed persons;F Construction;2018 August;60.5;10.5
231;Total 1 or more employed persons;F Construction;2018 September;86.6;8.4
232;Total 1 or more employed persons;F Construction;2018 3rd quarter;78.8;10.0
233;Total 1 or more employed persons;F Construction;2018 October;97.7;13.2
234;Total 1 or more employed persons;F Construction;2018 November;102.1;10.8
235;Total 1 or more employed persons;F Construction;2018 December;106.4;7.4
236;Total 1 or more employed persons;F Construction;2018 4th quarter;102.1;10.3
237;Total 1 or more employed persons;F Construction;2018;83.9;10.2
238;Total 1 or more employed persons;F Construction;2019 January;61.9;10.6
239;Total 1 or more employed persons;F Construction;2019 February;78.1;15.3
240;Total 1 or more employed persons;F Construction;2019 March;89.3;10.5
241;Total 1 or more employed persons;F Construction;2019 1st quarter;76.4;12.1
242;Total 1 or more employed persons;F Construction;2019 April;91.6;12.1
243;Total 1 or more employed persons;F Construction;2019 May;96.4;13.1
244;Total 1 or more employed persons;F Construction;2019 June;90.7;-2.5
245;Total 1 or more employed persons;F Construction;2019 2nd quarter;92.9;7.2
246;Total 1 or more employed persons;F Construction;2019 July;97.7;9.5
247;Total 1 or more employed persons;F Construction;2019 August;64.5;6.6
248;Total 1 or more employed persons;F Construction;2019 September;97.0;12.0
249;Total 1 or more employed persons;F Construction;2019 3rd quarter;86.4;9.7
250;Total 1 or more employed persons;F Construction;2019 October;102.4;4.8
251;Total 1 or more employed persons;F Construction;2019 November;102.9;0.8
252;Total 1 or more employed persons;F Construction;2019 December;109.7;3.1
253;Total 1 or more employed persons;F Construction;2019 4th quarter;105.0;2.9
254;Total 1 or more employed persons;F Construction;2019;90.2;7.5
255;Total 1 or more employed persons;F Construction;2020 January;71.0;14.8
256;Total 1 or more employed persons;F Construction;2020 February;81.2;4.0
257;Total 1 or more employed persons;F Construction;2020 March;99.2;11.1
258;Total 1 or more employed persons;F Construction;2020 1st quarter;83.8;9.7
259;Total 1 or more employed persons;F Construction;2020 April;91.9;0.3
260;Total 1 or more employed persons;F Construction;2020 May;88.6;-8.1
261;Total 1 or more employed persons;F Construction;2020 June;100.8;11.2
262;Total 1 or more employed persons;F Construction;2020 2nd quarter;93.8;0.9
263;Total 1 or more employed persons;F Construction;2020 July;99.1;1.4
264;Total 1 or more employed persons;F Construction;2020 August;64.5;0.1
265;Total 1 or more employed persons;F Construction;2020 September;99.7;2.8
266;Total 1 or more employed persons;F Construction;2020 3rd quarter;87.8;1.6
267;Total 1 or more employed persons;F Construction;2020 October;103.8;1.4
268;Total 1 or more employed persons;F Construction;2020 November;106.3;3.3
269;Total 1 or more employed persons;F Construction;2020 December;112.7;2.8
270;Total 1 or more employed persons;F Construction;2020 4th quarter;107.6;2.5
271;Total 1 or more employed persons;F Construction;2020;93.2;3.4
272;Total 1 or more employed persons;F Construction;2021 January;71.6;0.8
273;Total 1 or more employed persons;F Construction;2021 February;79.3;-2.3
274;Total 1 or more employed persons;F Construction;2021 March;105.2;6.1
275;Total 1 or more employed persons;F Construction;2021 1st quarter;85.4;1.9
276;Total 1 or more employed persons;F Construction;2021 April;100.2;9.0
277;Total 1 or more employed persons;F Construction;2021 May;95.2;7.4
278;Total 1 or more employed persons;F Construction;2021 June;112.0;11.1
279;Total 1 or more employed persons;F Construction;2021 2nd quarter;102.5;9.3
280;Total 1 or more employed persons;F Construction;2021 July;111.1;12.1
281;Total 1 or more employed persons;F Construction;2021 August;65.5;1.4
282;Total 1 or more employed persons;F Construction;2021 September;105.8;6.0
283;Total 1 or more employed persons;F Construction;2021 3rd quarter;94.1;7.2
284;Total 1 or more employed persons;F Construction;2021 October;106.9;2.9
285;Total 1 or more employed persons;F Construction;2021 November;117.3;10.3
286;Total 1 or more employed persons;F Construction;2021 December;130.0;15.4
287;Total 1 or more employed persons;F Construction;2021 4th quarter;118.0;9.7
288;Total 1 or more employed persons;F Construction;2021;100.0;7.3
289;Total 1 or more employed persons;F Construction;2022 January;71.3;-0.5
290;Total 1 or more employed persons;F Construction;2022 February;91.8;15.7
291;Total 1 or more employed persons;F Construction;2022 March;115.7;9.9
292;Total 1 or more employed persons;F Construction;2022 1st quarter;92.9;8.8
293;Total 1 or more employed persons;F Construction;2022 April;105.2;5.0
294;Total 1 or more employed persons;F Construction;2022 May;111.1;16.7
295;Total 1 or more employed persons;F Construction;2022 June;120.3;7.4
296;Total 1 or more employed persons;F Construction;2022 2nd quarter;112.2;9.5
297;Total 1 or more employed persons;F Construction;2022 July;119.0;7.2
298;Total 1 or more employed persons;F Construction;2022 August;71.7;9.5
299;Total 1 or more employed persons;F Construction;2022 September;114.2;8.0
300;Total 1 or more employed persons;F Construction;2022 3rd quarter;101.6;8.0
301;Total 1 or more employed persons;F Construction;2022 October;118.8;11.2
302;Total 1 or more employed persons;F Construction;2022 November;128.8;9.9
303;Total 1 or more employed persons;F Construction;2022 December;140.5;8.0
304;Total 1 or more employed persons;F Construction;2022 4th quarter;129.4;9.6
305;Total 1 or more employed persons;F Construction;2022;109.0;9.0
306;Total 1 or more employed persons;F Construction;2023 January;80.7;13.3
307;Total 1 or more employed persons;F Construction;2023 February;102.3;11.5
308;Total 1 or more employed persons;F Construction;2023 March;126.4;9.2
309;Total 1 or more employed persons;F Construction;2023 1st quarter;103.2;11.0
310;Total 1 or more employed persons;F Construction;2023 April;108.2;2.9
311;Total 1 or more employed persons;F Construction;2023 May;121.0;8.9
312;Total 1 or more employed persons;F Construction;2023 June;132.6;10.2
313;Total 1 or more employed persons;F Construction;2023 2nd quarter;120.6;7.5
314;Total 1 or more employed persons;F Construction;2023 July;125.1;5.1
315;Total 1 or more employed persons;F Construction;2023 August;80.7;12.5
316;Total 1 or more employed persons;F Construction;2023 September;117.7;3.0
317;Total 1 or more employed persons;F Construction;2023 3rd quarter;107.8;6.1
318;Total 1 or more employed persons;F Construction;2023 October;128.7;8.3
319;Total 1 or more employed persons;F Construction;2023 November;130.3;1.2
320;Total 1 or more employed persons;F Construction;2023 December;140.2;-0.2
321;Total 1 or more employed persons;F Construction;2023 4th quarter;133.1;2.9
322;Total 1 or more employed persons;F Construction;2023;116.2;6.5
323;Total 1 or more employed persons;F Construction;2024 January;82.2;1.9
324;Total 1 or more employed persons;F Construction;2024 February;105.7;3.2
325;Total 1 or more employed persons;F Construction;2024 March;121.1;-4.2
326;Total 1 or more employed persons;F Construction;2024 1st quarter;103.0;-0.2
327;Total 1 or more employed persons;F Construction;2024 April;123.6;14.3
328;Total 1 or more employed persons;F Construction;2024 May;124.0;2.5
329;Total 1 or more employed persons;F Construction;2024 June;124.8;-5.9
330;Total 1 or more employed persons;F Construction;2024 2nd quarter;124.2;3.0
331;Total 1 or more employed persons;F Construction;2024 July;130.7;4.5
332;Total 1 or more employed persons;F Construction;2024 August;85.3;5.8
333;Total 1 or more employed persons;F Construction;2024 September;122.8;4.4
334;Total 1 or more employed persons;F Construction;2024 3rd quarter;112.9;4.8
335;Total 1 or more employed persons;F Construction;2024 October;139.8;8.7
336;Total 1 or more employed persons;F Construction;2024 November;138.6;6.4
337;Total 1 or more employed persons;F Construction;2024 December;144.8;3.3
338;Total 1 or more employed persons;F Construction;2024 4th quarter;141.1;6.0
339;Total 1 or more employed persons;F Construction;2024;120.3;3.6
340;Total 1 or more employed persons;F Construction;2025 January;95.3;15.9
341;Total 1 or more employed persons;F Construction;2025 February;110.4;4.5
342;Total 1 or more employed persons;41 Construction buildings, development;2005 January;44.9;-2.9
343;Total 1 or more employed persons;41 Construction buildings, development;2005 February;52.4;-4.3
344;Total 1 or more employed persons;41 Construction buildings, development;2005 March;63.6;-5.7
345;Total 1 or more employed persons;41 Construction buildings, development;2005 1st quarter;53.6;-4.5
346;Total 1 or more employed persons;41 Construction buildings, development;2005 April;68.7;3.4
347;Total 1 or more employed persons;41 Construction buildings, development;2005 May;64.7;7.2
348;Total 1 or more employed persons;41 Construction buildings, development;2005 June;78.4;8.3
349;Total 1 or more employed persons;41 Construction buildings, development;2005 2nd quarter;70.6;6.4
350;Total 1 or more employed persons;41 Construction buildings, development;2005 July;63.6;0.7
351;Total 1 or more employed persons;41 Construction buildings, development;2005 August;41.1;8.2
352;Total 1 or more employed persons;41 Construction buildings, development;2005 September;72.9;6.3
353;Total 1 or more employed persons;41 Construction buildings, development;2005 3rd quarter;59.2;4.7
354;Total 1 or more employed persons;41 Construction buildings, development;2005 October;71.9;2.6
355;Total 1 or more employed persons;41 Construction buildings, development;2005 November;74.0;2.1
356;Total 1 or more employed persons;41 Construction buildings, development;2005 December;86.7;8.2
357;Total 1 or more employed persons;41 Construction buildings, development;2005 4th quarter;77.5;4.5
358;Total 1 or more employed persons;41 Construction buildings, development;2005;65.3;3.0
359;Total 1 or more employed persons;41 Construction buildings, development;2006 January;46.5;3.6
360;Total 1 or more employed persons;41 Construction buildings, development;2006 February;57.7;10.0
361;Total 1 or more employed persons;41 Construction buildings, development;2006 March;74.7;17.5
362;Total 1 or more employed persons;41 Construction buildings, development;2006 1st quarter;59.6;11.2
363;Total 1 or more employed persons;41 Construction buildings, development;2006 April;68.8;0.1
364;Total 1 or more employed persons;41 Construction buildings, development;2006 May;75.1;16.1
365;Total 1 or more employed persons;41 Construction buildings, development;2006 June;81.8;4.3
366;Total 1 or more employed persons;41 Construction buildings, development;2006 2nd quarter;75.2;6.5
367;Total 1 or more employed persons;41 Construction buildings, development;2006 July;64.3;1.0
368;Total 1 or more employed persons;41 Construction buildings, development;2006 August;43.9;6.7
369;Total 1 or more employed persons;41 Construction buildings, development;2006 September;78.5;7.5
370;Total 1 or more employed persons;41 Construction buildings, development;2006 3rd quarter;62.2;5.0
371;Total 1 or more employed persons;41 Construction buildings, development;2006 October;77.7;8.1
372;Total 1 or more employed persons;41 Construction buildings, development;2006 November;82.0;10.7
373;Total 1 or more employed persons;41 Construction buildings, development;2006 December;92.4;6.6
374;Total 1 or more employed persons;41 Construction buildings, development;2006 4th quarter;84.0;8.4
375;Total 1 or more employed persons;41 Construction buildings, development;2006;70.3;7.7
376;Total 1 or more employed persons;41 Construction buildings, development;2007 January;52.7;13.4
377;Total 1 or more employed persons;41 Construction buildings, development;2007 February;66.3;15.0
378;Total 1 or more employed persons;41 Construction buildings, development;2007 March;84.9;13.7
379;Total 1 or more employed persons;41 Construction buildings, development;2007 1st quarter;68.0;14.0
380;Total 1 or more employed persons;41 Construction buildings, development;2007 April;77.9;13.2
381;Total 1 or more employed persons;41 Construction buildings, development;2007 May;79.8;6.3
382;Total 1 or more employed persons;41 Construction buildings, development;2007 June;92.1;12.6
383;Total 1 or more employed persons;41 Construction buildings, development;2007 2nd quarter;83.3;10.7
384;Total 1 or more employed persons;41 Construction buildings, development;2007 July;74.2;15.5
385;Total 1 or more employed persons;41 Construction buildings, development;2007 August;51.6;17.5
386;Total 1 or more employed persons;41 Construction buildings, development;2007 September;83.5;6.4
387;Total 1 or more employed persons;41 Construction buildings, development;2007 3rd quarter;69.8;12.2
388;Total 1 or more employed persons;41 Construction buildings, development;2007 October;88.5;13.8
389;Total 1 or more employed persons;41 Construction buildings, development;2007 November;90.7;10.7
390;Total 1 or more employed persons;41 Construction buildings, development;2007 December;97.2;5.1
391;Total 1 or more employed persons;41 Construction buildings, development;2007 4th quarter;92.1;9.6
392;Total 1 or more employed persons;41 Construction buildings, development;2007;78.3;11.4
393;Total 1 or more employed persons;41 Construction buildings, development;2008 January;63.7;20.9
394;Total 1 or more employed persons;41 Construction buildings, development;2008 February;80.8;21.8
395;Total 1 or more employed persons;41 Construction buildings, development;2008 March;91.2;7.4
396;Total 1 or more employed persons;41 Construction buildings, development;2008 1st quarter;78.6;15.6
397;Total 1 or more employed persons;41 Construction buildings, development;2008 April;93.2;19.7
398;Total 1 or more employed persons;41 Construction buildings, development;2008 May;88.1;10.3
399;Total 1 or more employed persons;41 Construction buildings, development;2008 June;100.2;8.8
400;Total 1 or more employed persons;41 Construction buildings, development;2008 2nd quarter;93.8;12.7
401;Total 1 or more employed persons;41 Construction buildings, development;2008 July;81.8;10.1
402;Total 1 or more employed persons;41 Construction buildings, development;2008 August;58.0;12.5
403;Total 1 or more employed persons;41 Construction buildings, development;2008 September;95.9;14.8
404;Total 1 or more employed persons;41 Construction buildings, development;2008 3rd quarter;78.6;12.6
405;Total 1 or more employed persons;41 Construction buildings, development;2008 October;101.4;14.6
406;Total 1 or more employed persons;41 Construction buildings, development;2008 November;93.2;2.8
407;Total 1 or more employed persons;41 Construction buildings, development;2008 December;105.4;8.5
408;Total 1 or more employed persons;41 Construction buildings, development;2008 4th quarter;100.0;8.6
409;Total 1 or more employed persons;41 Construction buildings, development;2008;87.8;12.1
410;Total 1 or more employed persons;41 Construction buildings, development;2009 January;58.9;-7.6
411;Total 1 or more employed persons;41 Construction buildings, development;2009 February;75.2;-7.0
412;Total 1 or more employed persons;41 Construction buildings, development;2009 March;87.0;-4.6
413;Total 1 or more employed persons;41 Construction buildings, development;2009 1st quarter;73.7;-6.2
414;Total 1 or more employed persons;41 Construction buildings, development;2009 April;85.5;-8.3
415;Total 1 or more employed persons;41 Construction buildings, development;2009 May;80.5;-8.6
416;Total 1 or more employed persons;41 Construction buildings, development;2009 June;88.5;-11.7
417;Total 1 or more employed persons;41 Construction buildings, development;2009 2nd quarter;84.8;-9.6
418;Total 1 or more employed persons;41 Construction buildings, development;2009 July;80.9;-1.0
