ID;Geslacht;Leeftijd;Perioden;Overledenen_1;Immigratie_2;EmigratieInclusiefCorrecties_3;MigratiesaldoInclusiefCorrecties_4
113;Mannen en Vrouwen;1 jaar;2029;45;1764;1298;466
114;Mannen en Vrouwen;1 jaar;2030;43;1765;1298;467
115;Mannen en Vrouwen;1 jaar;2031;41;1765;1295;470
116;Mannen en Vrouwen;1 jaar;2032;39;1765;1293;472
117;Mannen en Vrouwen;1 jaar;2033;37;1765;1291;474
118;Mannen en Vrouwen;1 jaar;2034;36;1766;1287;479
119;Mannen en Vrouwen;1 jaar;2035;34;1764;1283;481
120;Mannen en Vrouwen;1 jaar;2036;32;1764;1279;485
121;Mannen en Vrouwen;1 jaar;2037;30;1764;1274;490
122;Mannen en Vrouwen;1 jaar;2038;29;1767;1269;498
123;Mannen en Vrouwen;1 jaar;2039;28;1769;1265;504
124;Mannen en Vrouwen;1 jaar;2040;26;1769;1260;509
125;Mannen en Vrouwen;1 jaar;2041;25;1768;1256;512
126;Mannen en Vrouwen;1 jaar;2042;23;1766;1253;513
127;Mannen en Vrouwen;1 jaar;2043;23;1767;1250;517
128;Mannen en Vrouwen;1 jaar;2044;21;1765;1248;517
129;Mannen en Vrouwen;1 jaar;2045;21;1765;1247;518
130;Mannen en Vrouwen;1 jaar;2046;19;1764;1245;519
131;Mannen en Vrouwen;1 jaar;2047;19;1763;1246;517
132;Mannen en Vrouwen;1 jaar;2048;18;1764;1246;518
133;Mannen en Vrouwen;1 jaar;2049;17;1764;1248;516
134;Mannen en Vrouwen;1 jaar;2050;16;1764;1249;515
135;Mannen en Vrouwen;1 jaar;2051;16;1766;1251;515
136;Mannen en Vrouwen;1 jaar;2052;16;1765;1253;512
137;Mannen en Vrouwen;1 jaar;2053;14;1765;1254;511
138;Mannen en Vrouwen;1 jaar;2054;14;1765;1256;509
139;Mannen en Vrouwen;1 jaar;2055;14;1764;1258;506
140;Mannen en Vrouwen;1 jaar;2056;13;1767;1259;508
141;Mannen en Vrouwen;1 jaar;2057;12;1766;1261;505
142;Mannen en Vrouwen;1 jaar;2058;12;1765;1262;503
143;Mannen en Vrouwen;1 jaar;2059;11;1766;1263;503
144;Mannen en Vrouwen;2 jaar;2012;37;1901;1702;199
145;Mannen en Vrouwen;2 jaar;2013;34;1878;1580;298
146;Mannen en Vrouwen;2 jaar;2014;32;1862;1516;346
147;Mannen en Vrouwen;2 jaar;2015;31;1877;1472;405
148;Mannen en Vrouwen;2 jaar;2016;30;1899;1440;459
149;Mannen en Vrouwen;2 jaar;2017;29;1922;1409;513
150;Mannen en Vrouwen;2 jaar;2018;28;1923;1409;514
151;Mannen en Vrouwen;2 jaar;2019;27;1915;1410;505
152;Mannen en Vrouwen;2 jaar;2020;26;1904;1407;497
153;Mannen en Vrouwen;2 jaar;2021;26;1890;1402;488
154;Mannen en Vrouwen;2 jaar;2022;24;1871;1395;476
155;Mannen en Vrouwen;2 jaar;2023;24;1871;1393;478
156;Mannen en Vrouwen;2 jaar;2024;23;1867;1391;476
157;Mannen en Vrouwen;2 jaar;2025;22;1869;1391;478
158;Mannen en Vrouwen;2 jaar;2026;21;1869;1392;477
159;Mannen en Vrouwen;2 jaar;2027;21;1870;1393;477
160;Mannen en Vrouwen;2 jaar;2028;20;1871;1391;480
161;Mannen en Vrouwen;2 jaar;2029;19;1870;1390;480
162;Mannen en Vrouwen;2 jaar;2030;18;1869;1390;479
163;Mannen en Vrouwen;2 jaar;2031;18;1868;1388;480
164;Mannen en Vrouwen;2 jaar;2032;16;1870;1387;483
165;Mannen en Vrouwen;2 jaar;2033;16;1870;1385;485
166;Mannen en Vrouwen;2 jaar;2034;16;1869;1381;488
167;Mannen en Vrouwen;2 jaar;2035;15;1867;1377;490
168;Mannen en Vrouwen;2 jaar;2036;14;1869;1373;496
169;Mannen en Vrouwen;2 jaar;2037;13;1870;1369;501
170;Mannen en Vrouwen;2 jaar;2038;13;1867;1363;504
171;Mannen en Vrouwen;2 jaar;2039;13;1870;1359;511
172;Mannen en Vrouwen;2 jaar;2040;12;1870;1354;516
173;Mannen en Vrouwen;2 jaar;2041;11;1870;1350;520
174;Mannen en Vrouwen;2 jaar;2042;11;1872;1346;526
175;Mannen en Vrouwen;2 jaar;2043;10;1871;1342;529
176;Mannen en Vrouwen;2 jaar;2044;10;1869;1339;530
177;Mannen en Vrouwen;2 jaar;2045;10;1868;1338;530
178;Mannen en Vrouwen;2 jaar;2046;9;1867;1336;531
179;Mannen en Vrouwen;2 jaar;2047;8;1866;1335;531
180;Mannen en Vrouwen;2 jaar;2048;8;1867;1333;534
181;Mannen en Vrouwen;2 jaar;2049;8;1867;1334;533
182;Mannen en Vrouwen;2 jaar;2050;8;1869;1335;534
183;Mannen en Vrouwen;2 jaar;2051;8;1869;1338;531
184;Mannen en Vrouwen;2 jaar;2052;7;1868;1338;530
185;Mannen en Vrouwen;2 jaar;2053;7;1870;1340;530
186;Mannen en Vrouwen;2 jaar;2054;7;1871;1343;528
187;Mannen en Vrouwen;2 jaar;2055;6;1871;1345;526
188;Mannen en Vrouwen;2 jaar;2056;6;1867;1346;521
189;Mannen en Vrouwen;2 jaar;2057;6;1867;1348;519
190;Mannen en Vrouwen;2 jaar;2058;6;1867;1349;518
191;Mannen en Vrouwen;2 jaar;2059;5;1866;1351;515
192;Mannen en Vrouwen;3 jaar;2012;24;1781;1753;28
193;Mannen en Vrouwen;3 jaar;2013;23;1763;1732;31
194;Mannen en Vrouwen;3 jaar;2014;22;1752;1627;125
195;Mannen en Vrouwen;3 jaar;2015;21;1765;1570;195
196;Mannen en Vrouwen;3 jaar;2016;19;1782;1528;254
197;Mannen en Vrouwen;3 jaar;2017;19;1807;1490;317
198;Mannen en Vrouwen;3 jaar;2018;18;1806;1491;315
199;Mannen en Vrouwen;3 jaar;2019;18;1798;1490;308
200;Mannen en Vrouwen;3 jaar;2020;18;1785;1489;296
201;Mannen en Vrouwen;3 jaar;2021;16;1769;1483;286
202;Mannen en Vrouwen;3 jaar;2022;16;1757;1476;281
203;Mannen en Vrouwen;3 jaar;2023;16;1750;1472;278
204;Mannen en Vrouwen;3 jaar;2024;15;1747;1470;277
205;Mannen en Vrouwen;3 jaar;2025;14;1745;1470;275
206;Mannen en Vrouwen;3 jaar;2026;14;1742;1468;274
207;Mannen en Vrouwen;3 jaar;2027;13;1743;1469;274
208;Mannen en Vrouwen;3 jaar;2028;13;1741;1469;272
209;Mannen en Vrouwen;3 jaar;2029;13;1739;1469;270
210;Mannen en Vrouwen;3 jaar;2030;13;1742;1468;274
211;Mannen en Vrouwen;3 jaar;2031;11;1740;1465;275
212;Mannen en Vrouwen;3 jaar;2032;11;1740;1465;275
213;Mannen en Vrouwen;3 jaar;2033;11;1737;1464;273
214;Mannen en Vrouwen;3 jaar;2034;10;1736;1462;274
215;Mannen en Vrouwen;3 jaar;2035;10;1735;1458;277
216;Mannen en Vrouwen;3 jaar;2036;10;1733;1454;279
217;Mannen en Vrouwen;3 jaar;2037;9;1732;1449;283
218;Mannen en Vrouwen;3 jaar;2038;8;1732;1445;287
219;Mannen en Vrouwen;3 jaar;2039;8;1733;1440;293
220;Mannen en Vrouwen;3 jaar;2040;8;1731;1435;296
221;Mannen en Vrouwen;3 jaar;2041;8;1729;1430;299
222;Mannen en Vrouwen;3 jaar;2042;7;1728;1426;302
223;Mannen en Vrouwen;3 jaar;2043;7;1727;1421;306
224;Mannen en Vrouwen;3 jaar;2044;6;1725;1418;307
225;Mannen en Vrouwen;3 jaar;2045;6;1723;1415;308
226;Mannen en Vrouwen;3 jaar;2046;6;1722;1413;309
227;Mannen en Vrouwen;3 jaar;2047;6;1722;1411;311
228;Mannen en Vrouwen;3 jaar;2048;5;1722;1409;313
229;Mannen en Vrouwen;3 jaar;2049;5;1721;1410;311
230;Mannen en Vrouwen;3 jaar;2050;5;1722;1411;311
231;Mannen en Vrouwen;3 jaar;2051;5;1721;1411;310
232;Mannen en Vrouwen;3 jaar;2052;5;1721;1413;308
233;Mannen en Vrouwen;3 jaar;2053;5;1719;1414;305
234;Mannen en Vrouwen;3 jaar;2054;5;1720;1417;303
235;Mannen en Vrouwen;3 jaar;2055;5;1719;1419;300
236;Mannen en Vrouwen;3 jaar;2056;4;1720;1420;300
237;Mannen en Vrouwen;3 jaar;2057;4;1720;1422;298
238;Mannen en Vrouwen;3 jaar;2058;3;1722;1424;298
239;Mannen en Vrouwen;3 jaar;2059;3;1722;1425;297
240;Mannen en Vrouwen;4 jaar;2012;19;1664;1761;-97
241;Mannen en Vrouwen;4 jaar;2013;18;1646;1718;-72
242;Mannen en Vrouwen;4 jaar;2014;18;1632;1704;-72
243;Mannen en Vrouwen;4 jaar;2015;16;1643;1613;30
244;Mannen en Vrouwen;4 jaar;2016;15;1663;1559;104
245;Mannen en Vrouwen;4 jaar;2017;14;1681;1513;168
246;Mannen en Vrouwen;4 jaar;2018;14;1685;1509;176
247;Mannen en Vrouwen;4 jaar;2019;13;1677;1509;168
248;Mannen en Vrouwen;4 jaar;2020;13;1663;1505;158
249;Mannen en Vrouwen;4 jaar;2021;13;1645;1501;144
250;Mannen en Vrouwen;4 jaar;2022;13;1630;1495;135
251;Mannen en Vrouwen;4 jaar;2023;12;1625;1490;135
252;Mannen en Vrouwen;4 jaar;2024;11;1623;1487;136
253;Mannen en Vrouwen;4 jaar;2025;11;1620;1487;133
254;Mannen en Vrouwen;4 jaar;2026;11;1618;1486;132
255;Mannen en Vrouwen;4 jaar;2027;10;1617;1485;132
256;Mannen en Vrouwen;4 jaar;2028;10;1614;1484;130
257;Mannen en Vrouwen;4 jaar;2029;10;1613;1484;129
258;Mannen en Vrouwen;4 jaar;2030;10;1609;1483;126
259;Mannen en Vrouwen;4 jaar;2031;8;1605;1483;122
260;Mannen en Vrouwen;4 jaar;2032;8;1601;1481;120
261;Mannen en Vrouwen;4 jaar;2033;8;1602;1480;122
262;Mannen en Vrouwen;4 jaar;2034;8;1600;1479;121
263;Mannen en Vrouwen;4 jaar;2035;8;1599;1475;124
264;Mannen en Vrouwen;4 jaar;2036;7;1599;1472;127
265;Mannen en Vrouwen;4 jaar;2037;7;1595;1468;127
266;Mannen en Vrouwen;4 jaar;2038;6;1592;1463;129
267;Mannen en Vrouwen;4 jaar;2039;6;1595;1460;135
268;Mannen en Vrouwen;4 jaar;2040;6;1595;1455;140
269;Mannen en Vrouwen;4 jaar;2041;6;1593;1450;143
270;Mannen en Vrouwen;4 jaar;2042;5;1591;1445;146
271;Mannen en Vrouwen;4 jaar;2043;5;1586;1441;145
272;Mannen en Vrouwen;4 jaar;2044;5;1585;1437;148
273;Mannen en Vrouwen;4 jaar;2045;5;1585;1432;153
274;Mannen en Vrouwen;4 jaar;2046;5;1584;1430;154
275;Mannen en Vrouwen;4 jaar;2047;5;1584;1427;157
276;Mannen en Vrouwen;4 jaar;2048;5;1585;1427;158
277;Mannen en Vrouwen;4 jaar;2049;4;1582;1424;158
278;Mannen en Vrouwen;4 jaar;2050;4;1582;1425;157
279;Mannen en Vrouwen;4 jaar;2051;3;1581;1425;156
280;Mannen en Vrouwen;4 jaar;2052;3;1579;1426;153
281;Mannen en Vrouwen;4 jaar;2053;3;1580;1427;153
282;Mannen en Vrouwen;4 jaar;2054;3;1580;1429;151
283;Mannen en Vrouwen;4 jaar;2055;3;1580;1431;149
284;Mannen en Vrouwen;4 jaar;2056;3;1580;1432;148
285;Mannen en Vrouwen;4 jaar;2057;3;1579;1434;145
286;Mannen en Vrouwen;4 jaar;2058;3;1578;1436;142
287;Mannen en Vrouwen;4 jaar;2059;3;1578;1437;141
288;Mannen en Vrouwen;5 jaar;2012;15;1567;1740;-173
289;Mannen en Vrouwen;5 jaar;2013;14;1557;1693;-136
290;Mannen en Vrouwen;5 jaar;2014;14;1539;1658;-119
291;Mannen en Vrouwen;5 jaar;2015;13;1552;1647;-95
292;Mannen en Vrouwen;5 jaar;2016;13;1567;1566;1
293;Mannen en Vrouwen;5 jaar;2017;11;1595;1511;84
294;Mannen en Vrouwen;5 jaar;2018;11;1588;1501;87
295;Mannen en Vrouwen;5 jaar;2019;11;1578;1497;81
296;Mannen en Vrouwen;5 jaar;2020;11;1566;1494;72
297;Mannen en Vrouwen;5 jaar;2021;10;1550;1489;61
298;Mannen en Vrouwen;5 jaar;2022;10;1534;1483;51
299;Mannen en Vrouwen;5 jaar;2023;10;1530;1480;50
300;Mannen en Vrouwen;5 jaar;2024;10;1529;1476;53
301;Mannen en Vrouwen;5 jaar;2025;9;1525;1473;52
302;Mannen en Vrouwen;5 jaar;2026;8;1521;1472;49
303;Mannen en Vrouwen;5 jaar;2027;8;1518;1471;47
304;Mannen en Vrouwen;5 jaar;2028;8;1516;1469;47
305;Mannen en Vrouwen;5 jaar;2029;8;1512;1470;42
306;Mannen en Vrouwen;5 jaar;2030;8;1510;1470;40
307;Mannen en Vrouwen;5 jaar;2031;7;1507;1468;39
308;Mannen en Vrouwen;5 jaar;2032;7;1504;1467;37
309;Mannen en Vrouwen;5 jaar;2033;7;1502;1466;36
310;Mannen en Vrouwen;5 jaar;2034;6;1499;1465;34
311;Mannen en Vrouwen;5 jaar;2035;6;1498;1463;35
312;Mannen en Vrouwen;5 jaar;2036;6;1496;1460;36
313;Mannen en Vrouwen;5 jaar;2037;5;1495;1457;38
314;Mannen en Vrouwen;5 jaar;2038;5;1493;1453;40
315;Mannen en Vrouwen;5 jaar;2039;5;1490;1448;42
316;Mannen en Vrouwen;5 jaar;2040;5;1490;1443;47
317;Mannen en Vrouwen;5 jaar;2041;5;1487;1438;49
318;Mannen en Vrouwen;5 jaar;2042;5;1482;1434;48
319;Mannen en Vrouwen;5 jaar;2043;5;1482;1430;52
320;Mannen en Vrouwen;5 jaar;2044;4;1478;1424;54
321;Mannen en Vrouwen;5 jaar;2045;4;1477;1420;57
322;Mannen en Vrouwen;5 jaar;2046;3;1478;1417;61
323;Mannen en Vrouwen;5 jaar;2047;3;1477;1414;63
324;Mannen en Vrouwen;5 jaar;2048;3;1476;1411;65
325;Mannen en Vrouwen;5 jaar;2049;3;1474;1410;64
326;Mannen en Vrouwen;5 jaar;2050;3;1473;1409;64
327;Mannen en Vrouwen;5 jaar;2051;3;1473;1408;65
328;Mannen en Vrouwen;5 jaar;2052;3;1472;1410;62
329;Mannen en Vrouwen;5 jaar;2053;3;1472;1410;62
330;Mannen en Vrouwen;5 jaar;2054;3;1470;1410;60
331;Mannen en Vrouwen;5 jaar;2055;3;1469;1414;55
332;Mannen en Vrouwen;5 jaar;2056;3;1470;1414;56
333;Mannen en Vrouwen;5 jaar;2057;2;1471;1415;56
334;Mannen en Vrouwen;5 jaar;2058;2;1471;1417;54
335;Mannen en Vrouwen;5 jaar;2059;2;1468;1418;50
336;Mannen en Vrouwen;6 jaar;2012;14;1466;1606;-140
337;Mannen en Vrouwen;6 jaar;2013;13;1445;1583;-138
338;Mannen en Vrouwen;6 jaar;2014;13;1436;1551;-115
339;Mannen en Vrouwen;6 jaar;2015;13;1445;1524;-79
340;Mannen en Vrouwen;6 jaar;2016;11;1459;1514;-55
341;Mannen en Vrouwen;6 jaar;2017;11;1477;1441;36
342;Mannen en Vrouwen;6 jaar;2018;10;1478;1425;53
343;Mannen en Vrouwen;6 jaar;2019;10;1468;1415;53
344;Mannen en Vrouwen;6 jaar;2020;10;1449;1409;40
345;Mannen en Vrouwen;6 jaar;2021;9;1435;1405;30
346;Mannen en Vrouwen;6 jaar;2022;9;1423;1400;23
347;Mannen en Vrouwen;6 jaar;2023;8;1415;1399;16
348;Mannen en Vrouwen;6 jaar;2024;8;1412;1395;17
349;Mannen en Vrouwen;6 jaar;2025;8;1411;1394;17
350;Mannen en Vrouwen;6 jaar;2026;8;1409;1391;18
351;Mannen en Vrouwen;6 jaar;2027;8;1402;1391;11
352;Mannen en Vrouwen;6 jaar;2028;7;1399;1390;9
353;Mannen en Vrouwen;6 jaar;2029;7;1398;1388;10
354;Mannen en Vrouwen;6 jaar;2030;6;1394;1390;4
355;Mannen en Vrouwen;6 jaar;2031;6;1389;1389;0
356;Mannen en Vrouwen;6 jaar;2032;6;1384;1389;-5
357;Mannen en Vrouwen;6 jaar;2033;6;1383;1387;-4
358;Mannen en Vrouwen;6 jaar;2034;6;1379;1387;-8
359;Mannen en Vrouwen;6 jaar;2035;5;1379;1386;-7
360;Mannen en Vrouwen;6 jaar;2036;5;1377;1384;-7
361;Mannen en Vrouwen;6 jaar;2037;5;1373;1382;-9
362;Mannen en Vrouwen;6 jaar;2038;5;1371;1378;-7
363;Mannen en Vrouwen;6 jaar;2039;5;1369;1375;-6
364;Mannen en Vrouwen;6 jaar;2040;5;1368;1371;-3
365;Mannen en Vrouwen;6 jaar;2041;5;1364;1366;-2
366;Mannen en Vrouwen;6 jaar;2042;4;1361;1363;-2
367;Mannen en Vrouwen;6 jaar;2043;3;1358;1358;0
368;Mannen en Vrouwen;6 jaar;2044;3;1356;1354;2
369;Mannen en Vrouwen;6 jaar;2045;3;1355;1349;6
370;Mannen en Vrouwen;6 jaar;2046;3;1353;1346;7
371;Mannen en Vrouwen;6 jaar;2047;3;1350;1342;8
372;Mannen en Vrouwen;6 jaar;2048;3;1351;1340;11
373;Mannen en Vrouwen;6 jaar;2049;3;1349;1338;11
374;Mannen en Vrouwen;6 jaar;2050;3;1349;1337;12
375;Mannen en Vrouwen;6 jaar;2051;3;1347;1336;11
376;Mannen en Vrouwen;6 jaar;2052;3;1347;1337;10
377;Mannen en Vrouwen;6 jaar;2053;3;1346;1337;9
378;Mannen en Vrouwen;6 jaar;2054;2;1345;1338;7
379;Mannen en Vrouwen;6 jaar;2055;2;1344;1340;4
380;Mannen en Vrouwen;6 jaar;2056;2;1344;1341;3
381;Mannen en Vrouwen;6 jaar;2057;2;1342;1341;1
382;Mannen en Vrouwen;6 jaar;2058;2;1343;1344;-1
383;Mannen en Vrouwen;6 jaar;2059;2;1343;1345;-2
384;Mannen en Vrouwen;7 jaar;2012;14;1380;1426;-46
385;Mannen en Vrouwen;7 jaar;2013;13;1361;1400;-39
386;Mannen en Vrouwen;7 jaar;2014;12;1351;1386;-35
387;Mannen en Vrouwen;7 jaar;2015;12;1357;1363;-6
388;Mannen en Vrouwen;7 jaar;2016;11;1374;1340;34
389;Mannen en Vrouwen;7 jaar;2017;11;1390;1329;61
390;Mannen en Vrouwen;7 jaar;2018;11;1391;1296;95
391;Mannen en Vrouwen;7 jaar;2019;9;1377;1282;95
392;Mannen en Vrouwen;7 jaar;2020;9;1363;1273;90
393;Mannen en Vrouwen;7 jaar;2021;9;1353;1268;85
394;Mannen en Vrouwen;7 jaar;2022;8;1342;1262;80
395;Mannen en Vrouwen;7 jaar;2023;8;1332;1260;72
396;Mannen en Vrouwen;7 jaar;2024;8;1326;1261;65
397;Mannen en Vrouwen;7 jaar;2025;8;1323;1261;62
398;Mannen en Vrouwen;7 jaar;2026;8;1320;1258;62
399;Mannen en Vrouwen;7 jaar;2027;8;1318;1257;61
400;Mannen en Vrouwen;7 jaar;2028;7;1315;1258;57
401;Mannen en Vrouwen;7 jaar;2029;6;1314;1257;57
402;Mannen en Vrouwen;7 jaar;2030;6;1309;1257;52
403;Mannen en Vrouwen;7 jaar;2031;6;1304;1258;46
404;Mannen en Vrouwen;7 jaar;2032;6;1299;1258;41
405;Mannen en Vrouwen;7 jaar;2033;6;1299;1258;41
406;Mannen en Vrouwen;7 jaar;2034;5;1293;1257;36
407;Mannen en Vrouwen;7 jaar;2035;5;1290;1257;33
408;Mannen en Vrouwen;7 jaar;2036;5;1288;1257;31
409;Mannen en Vrouwen;7 jaar;2037;5;1288;1257;31
410;Mannen en Vrouwen;7 jaar;2038;5;1285;1254;31
