ID;Gewassen;BiologischeBestrijders;Perioden;AantalBedrijvenMetBestrijders_1;PercentageVanBedrijvenMetBestrijders_2;GrootteOppervlakteMetBestrijders_3;PercentageOppervlakteMetBestrijders_4;Januari_5;Februari_6;Maart_7;April_8;Mei_9;Juni_10;Juli_11;Augustus_12;September_13;Oktober_14;November_15;December_16;Aantal_17;Januari_18;Februari_19;Maart_20;April_21;Mei_22;Juni_23;Juli_24;Augustus_25;September_26;Oktober_27;November_28;December_29;AantalBestrijdersPerHa_30;DoseringPerJaarPerHa_31
10;Totaal gewassen onder glas;Roofkever totaal;2012;;;326;4.5;0.6;0.8;0.9;2.2;2.0;1.8;2.0;0.9;0.7;0.9;0.1;0.1;2775;3.1;14.4;14.4;18.2;10.4;15.1;12.5;7.4;2.4;2.1;0.0;0.1;0;9.0
11;Totaal gewassen onder glas;Roofkever totaal;2016;;;458;6.8;1.3;1.6;2.1;3.2;3.6;3.7;2.8;2.7;2.0;2.1;2.8;2.1;6971;4.8;5.0;6.9;6.8;11.3;21.3;7.0;9.1;6.6;6.6;7.0;7.7;1;15.0
12;Totaal gewassen onder glas;Roofmijt totaal;2012;;;3381;46.3;21.6;27.1;28.3;29.6;28.7;26.4;21.8;18.5;15.3;11.6;11.1;11.2;16520686;10.0;9.5;10.6;7.6;6.9;8.1;13.1;9.9;9.0;5.6;5.5;4.2;2261;4887.0
13;Totaal gewassen onder glas;Roofmijt totaal;2016;;;4140;61.1;32.0;34.6;40.1;42.5;40.4;33.4;27.8;28.7;25.3;18.8;19.0;21.0;10871580;7.3;7.6;9.6;8.5;7.9;13.9;7.6;9.5;8.4;7.1;5.8;6.8;1605;2626.0
14;Totaal gewassen onder glas;Rooftrips totaal;2012;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;;;;;;;;;;;;0;
15;Totaal gewassen onder glas;Rooftrips totaal;2016;;;10;0.2;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.1;1964;0.0;0.5;1.3;0.2;0.7;1.1;93.7;0.0;0.7;0.8;0.8;0.2;0;189.0
16;Totaal gewassen onder glas;Roofwants totaal;2012;;;2950;40.4;8.8;24.4;24.6;17.8;12.6;6.9;2.8;1.0;2.3;1.8;2.6;2.0;40100;7.2;21.8;29.6;15.2;8.1;4.6;2.7;0.3;1.1;5.2;1.4;2.8;5;14.0
17;Totaal gewassen onder glas;Roofwants totaal;2016;;;2800;41.3;12.8;26.8;27.4;14.9;11.0;7.4;4.7;1.8;0.8;0.3;5.5;3.7;57320;9.2;29.3;23.4;12.5;7.8;7.2;2.4;1.4;1.1;1.0;2.8;2.0;8;20.0
18;Totaal gewassen onder glas;Sluipwesp totaal;2012;;;3196;43.7;17.6;24.6;28.7;27.2;28.0;21.2;14.7;8.8;5.6;3.9;4.0;5.6;540474;8.4;14.4;18.4;15.4;18.3;9.2;8.3;1.9;2.6;1.0;0.5;1.8;74;169.0
19;Totaal gewassen onder glas;Sluipwesp totaal;2016;;;3797;56.0;27.4;32.1;33.6;38.3;34.7;30.9;20.4;17.4;15.9;9.6;9.2;9.1;1042057;8.1;8.4;18.8;22.5;13.9;11.3;3.9;4.1;3.6;2.0;1.9;1.6;154;274.0
20;Totaal gewassen onder glas;Zweefvlieg totaal;2012;;;67;0.9;0.0;0.0;0.5;0.7;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;0.0;0.0;29.2;60.0;10.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0
21;Totaal gewassen onder glas;Zweefvlieg totaal;2016;;;164;2.4;0.1;0.1;1.5;1.8;0.5;0.0;0.0;0.2;0.2;0.0;0.0;0.0;55;5.8;6.3;20.8;41.3;18.6;0.0;0.0;5.3;1.9;0.0;0.0;0.0;0;0.0
22;Totaal gewassen onder glas;Aaltjes tegen keverlarven (Kraussei);2012;;;41;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0;;;;;;;;;;;;;0;0.0
23;Totaal gewassen onder glas;Aaltjes tegen keverlarven (Kraussei);2016;;;49;0.7;0.1;0.1;0.3;0.1;0.3;0.4;0.1;0.1;0.1;0.1;0.1;0.0;0;;;;;;;;;;;;;0;0.0
24;Totaal gewassen onder glas;Aaltjes tegen kevers (Heterorhabditis);2012;;;43;0.6;0.0;0.0;0.1;0.5;0.5;0.5;0.5;0.5;0.5;0.7;0.7;0.6;0;;;;;;;;;;;;;0;0.0
25;Totaal gewassen onder glas;Aaltjes tegen kevers (Heterorhabditis);2016;;;30;0.4;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0;;;;;;;;;;;;;0;0.0
26;Totaal gewassen onder glas;Aaltjes tegen rupsen (Carpocapsae);2012;;;69;0.9;0.1;0.0;0.7;0.0;0.0;0.1;0.1;0.0;0.0;0.2;0.1;0.1;0;;;;;;;;;;;;;0;0.0
27;Totaal gewassen onder glas;Aaltjes tegen rupsen (Carpocapsae);2016;;;171;2.5;0.8;1.0;0.7;0.8;0.8;1.1;0.8;0.5;0.9;0.8;1.1;1.1;0;;;;;;;;;;;;;0;0.0
28;Totaal gewassen onder glas;Aaltjes tegen slakken (Phasmarhabditis);2012;;;9;0.1;0.1;0.1;0.0;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0;;;;;;;;;;;;;0;0.0
29;Totaal gewassen onder glas;Aaltjes tegen slakken (Phasmarhabditis);2016;;;87;1.3;0.4;0.6;0.6;0.2;0.2;0.2;0.7;0.4;0.4;0.3;0.3;0.3;0;;;;;;;;;;;;;0;0.0
30;Totaal gewassen onder glas;Aaltjes tegen varenrouwmug (Feltiae);2012;;;522;7.1;2.8;3.4;3.3;3.4;4.3;2.3;3.0;3.2;2.9;3.2;3.0;3.2;0;;;;;;;;;;;;;0;0.0
31;Totaal gewassen onder glas;Aaltjes tegen varenrouwmug (Feltiae);2016;;;735;10.8;5.1;4.9;5.6;6.4;6.3;7.1;5.8;4.9;5.8;5.2;6.2;6.2;0;;;;;;;;;;;;;0;0.0
32;Totaal gewassen onder glas;Gaasvlieg tegen bladluis (Chrysoperla);2012;;;122;1.7;0.0;0.4;0.3;0.1;0.5;0.0;0.4;0.3;0.3;0.3;0.3;0.3;3379;0.0;0.2;0.4;6.3;0.4;0.0;23.1;25.1;8.3;36.1;0.1;0.1;0;28.0
33;Totaal gewassen onder glas;Gaasvlieg tegen bladluis (Chrysoperla);2016;;;119;1.8;0.4;0.4;0.7;0.9;1.0;0.9;0.4;0.2;0.1;0.3;0.1;0.1;7747;1.3;7.4;10.3;8.7;35.0;13.4;8.9;14.1;0.0;0.9;0.0;0.0;1;65.0
34;Totaal gewassen onder glas;Galmug tegen bladluis (Aphidoletes);2012;;;505;6.9;0.6;2.2;3.1;2.7;2.1;2.9;2.3;0.8;0.5;0.8;0.1;0.3;8959;0.5;9.2;12.1;22.2;14.3;9.1;21.4;2.2;2.1;2.1;0.4;4.4;1;18.0
35;Totaal gewassen onder glas;Galmug tegen bladluis (Aphidoletes);2016;;;1190;17.6;3.5;6.2;8.7;8.2;8.5;7.3;5.4;5.5;5.5;3.9;1.7;1.9;75009;7.7;8.1;7.4;8.1;10.9;9.2;15.8;15.1;12.2;3.4;1.3;0.9;11;63.0
36;Totaal gewassen onder glas;Galmug tegen spint (Feltiella);2012;;;500;6.8;1.1;1.3;2.1;2.0;3.5;2.8;1.4;0.4;0.4;0.3;0.3;0.0;668;7.8;4.8;5.7;6.0;18.4;6.2;42.4;5.5;2.5;0.4;0.5;0.0;0;1.0
37;Totaal gewassen onder glas;Galmug tegen spint (Feltiella);2016;;;830;12.2;1.2;1.9;5.7;6.1;5.2;3.2;2.6;1.1;0.6;0.4;0.5;0.7;1976;1.3;53.5;12.7;7.3;7.0;5.7;7.0;3.3;0.8;0.1;1.1;0.3;0;2.0
38;Totaal gewassen onder glas;Galmug tegen spint (Therodiplosis);2012;;;72;1.0;0.0;0.0;0.0;0.6;0.3;0.2;0.0;0.0;0.0;0.0;0.0;0.0;51;0.0;0.0;0.0;11.1;72.3;16.6;0.0;0.0;0.0;0.0;0.0;0.0;0;1.0
39;Totaal gewassen onder glas;Galmug tegen spint (Therodiplosis);2016;;;23;0.3;0.0;0.2;0.2;0.4;0.2;0.2;0.2;0.0;0.0;0.0;0.0;0.0;25;0.0;12.7;12.7;15.7;26.0;15.7;17.2;0.0;0.0;0.0;0.0;0.0;0;1.0
40;Totaal gewassen onder glas;Roofkever tegen bladluis (Adalia);2012;;;19;0.3;0.0;0.0;0.1;0.1;0.1;0.3;0.1;0.0;0.0;0.0;0.0;0.0;34;0.0;0.0;2.1;18.6;26.0;6.0;47.4;0.0;0.0;0.0;0.0;0.0;0;2.0
41;Totaal gewassen onder glas;Roofkever tegen bladluis (Adalia);2016;;;33;0.5;0.1;0.1;0.1;0.1;0.1;0.1;0.4;0.1;0.1;0.1;0.0;0.0;88;0.5;2.6;2.6;35.7;32.9;0.5;19.1;3.1;2.8;0.1;0.0;0.0;0;3.0
42;Totaal gewassen onder glas;Roofkever tegen schildluis (Rhyzobius);2012;;;24;0.3;0.2;0.0;0.0;0.1;0.1;0.1;0.1;0.0;0.1;0.1;0.1;0.1;7;4.8;0.1;3.2;9.2;4.2;8.0;55.5;0.0;0.8;8.7;1.5;4.2;0;0.0
43;Totaal gewassen onder glas;Roofkever tegen schildluis (Rhyzobius);2016;;;18;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.3;21.9;16.4;16.4;0;0.0
44;Totaal gewassen onder glas;Roofkever tegen witte vlieg (Catalinae);2012;;;34;0.5;0.0;0.1;0.1;0.2;0.1;0.3;0.4;0.2;0.0;0.2;0.0;0.0;1725;0.0;13.0;20.5;20.5;12.3;21.5;7.7;2.9;0.0;1.6;0.0;0.0;0;50.0
45;Totaal gewassen onder glas;Roofkever tegen witte vlieg (Catalinae);2016;;;33;0.5;0.0;0.0;0.0;0.3;0.4;0.4;0.1;0.0;0.0;0.1;0.1;0.1;460;0.0;0.0;0.0;4.9;14.1;72.8;0.7;0.0;0.2;0.4;2.9;4.1;0;14.0
46;Totaal gewassen onder glas;Roofkever tegen witte vlieg (Pusilus);2012;;;167;2.3;0.0;0.3;0.3;1.2;0.7;0.8;1.0;0.6;0.3;0.2;0.0;0.0;550;0.0;2.7;1.0;12.0;8.4;5.5;34.0;27.1;8.4;0.6;0.0;0.3;0;3.0
47;Totaal gewassen onder glas;Roofkever tegen witte vlieg (Pusilus);2016;;;154;2.3;0.0;0.0;0.3;1.0;1.5;1.4;0.5;0.7;0.3;0.1;0.3;0.0;561;0.0;0.0;32.5;7.8;18.9;32.9;5.5;2.3;0.0;0.1;0.0;0.0;0;4.0
48;Totaal gewassen onder glas;Roofkever tegen wolluis (Montrouzieri);2012;;;60;0.8;0.4;0.4;0.0;0.6;0.6;0.4;0.4;0.0;0.3;0.2;0.0;0.0;386;22.3;40.7;0.0;19.9;4.4;3.9;1.8;1.6;5.2;0.2;0.0;0.0;0;6.0
49;Totaal gewassen onder glas;Roofkever tegen wolluis (Montrouzieri);2016;;;193;2.9;1.2;1.5;1.7;1.7;1.7;1.7;1.6;1.7;1.4;1.4;1.6;1.7;5436;6.2;6.4;5.4;6.8;10.8;13.3;7.4;10.4;8.2;8.2;8.3;8.7;1;28.0
50;Totaal gewassen onder glas;Roofmijt tegen spint (Californicus);2012;;;1025;14.0;4.2;7.0;4.2;2.1;1.7;2.7;2.3;2.7;2.3;1.2;1.4;1.0;687018;7.3;18.1;8.6;10.8;11.3;7.5;6.6;21.7;3.6;2.0;1.5;1.1;94;670.0
51;Totaal gewassen onder glas;Roofmijt tegen spint (Californicus);2016;;;1081;16.0;4.0;6.0;6.0;4.7;5.4;4.3;2.9;3.6;2.9;1.5;2.0;2.4;576809;11.9;10.6;24.6;9.3;10.2;12.5;4.5;8.1;5.3;0.4;1.2;1.5;85;534.0
52;Totaal gewassen onder glas;Roofmijt tegen spint (Phytoseiulus);2012;;;2392;32.7;6.0;9.8;15.4;20.6;20.6;17.5;12.0;9.5;7.4;4.6;3.9;3.3;307423;5.1;7.9;10.9;10.9;19.0;14.2;11.1;6.7;5.2;3.1;3.1;3.0;42;128.0
53;Totaal gewassen onder glas;Roofmijt tegen spint (Phytoseiulus);2016;;;2792;41.2;10.8;11.8;22.0;29.5;27.1;20.6;16.0;15.0;11.6;7.9;7.1;6.5;663122;6.5;8.3;14.2;9.9;12.4;10.4;6.3;7.7;3.9;16.4;2.3;1.7;98;238.0
54;Totaal gewassen onder glas;Roofmijt tegen trips (Cucumeris);2012;;;1729;23.7;9.4;7.5;7.3;3.9;5.7;5.8;6.8;5.8;7.4;5.2;5.1;5.5;10353319;12.7;8.9;9.4;6.5;5.0;6.7;14.3;9.3;10.5;6.1;6.1;4.5;1417;5987.0
55;Totaal gewassen onder glas;Roofmijt tegen trips (Cucumeris);2016;;;1346;19.9;7.6;8.8;7.4;7.1;6.7;6.7;6.5;7.3;7.0;4.9;4.7;7.0;3083511;7.4;8.6;8.0;7.8;7.6;12.2;7.6;9.6;10.4;7.8;5.7;7.4;455;2290.0
56;Totaal gewassen onder glas;Roofmijt tegen trips (Degenerans);2012;;;439;6.0;0.0;1.3;3.8;0.4;0.4;0.0;0.2;0.0;0.0;0.0;0.0;0.0;12847;0.0;84.9;6.5;7.2;0.1;0.0;1.2;0.0;0.0;0.0;0.0;0.0;2;29.0
57;Totaal gewassen onder glas;Roofmijt tegen trips (Degenerans);2016;;;525;7.7;3.0;6.0;4.0;0.3;0.5;0.1;0.0;0.0;0.0;0.0;0.0;0.2;1313;25.4;50.7;18.5;0.2;0.5;0.1;0.0;0.0;0.0;0.0;0.0;4.6;0;3.0
58;Totaal gewassen onder glas;Roofmijt tegen trips (Fallacis);2012;;;42;0.6;0.4;0.5;0.5;0.4;0.5;0.0;0.4;0.4;0.0;0.0;0.0;0.0;7089;9.5;0.6;17.5;20.4;3.2;0.0;39.4;9.5;0.0;0.0;0.0;0.0;1;170.0
59;Totaal gewassen onder glas;Roofmijt tegen trips (Fallacis);2016;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;;;;;;;;;;;;0;
60;Totaal gewassen onder glas;Roofmijt tegen trips/mijten (Barkeri);2012;;;7;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0;7123;0.0;0.0;0.0;0.0;0.0;0.0;42.9;0.0;57.1;0.0;0.0;0.0;1;956.0
61;Totaal gewassen onder glas;Roofmijt tegen trips/mijten (Barkeri);2016;;;8;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;17194;0.0;0.0;0.0;0.0;23.7;75.1;1.2;0.0;0.0;0.0;0.0;0.0;3;2254.0
62;Totaal gewassen onder glas;Roofmijt tegen trips/spint/mijten (And.);2012;;;184;2.5;0.6;0.3;1.8;0.2;0.1;0.7;0.1;0.1;0.1;0.0;0.0;0.0;8544;5.6;13.8;44.6;4.2;2.2;14.9;5.5;3.0;6.1;0.0;0.0;0.0;1;46.0
63;Totaal gewassen onder glas;Roofmijt tegen trips/spint/mijten (And.);2016;;;150;2.2;0.4;0.6;0.7;0.6;0.5;0.9;0.8;0.6;0.3;0.3;0.1;0.3;46982;0.8;5.1;9.2;17.0;5.6;45.9;14.9;0.7;0.1;0.1;0.1;0.4;7;313.0
64;Totaal gewassen onder glas;Roofmijt tegen trips/witte vlieg (Lim.);2012;;;334;4.6;0.0;0.7;1.1;1.6;2.1;2.4;1.9;1.8;0.7;0.8;1.1;1.1;471116;0.1;5.9;8.7;8.4;7.6;8.0;11.2;6.3;9.1;9.5;14.3;10.9;64;1411.0
65;Totaal gewassen onder glas;Roofmijt tegen trips/witte vlieg (Lim.);2016;;;326;4.8;1.9;1.2;1.5;1.5;1.0;1.0;0.7;1.0;1.2;0.8;0.8;1.4;257438;5.1;4.3;17.1;9.9;11.7;16.2;7.6;5.9;7.8;5.8;4.7;3.9;38;790.0
66;Totaal gewassen onder glas;Roofmijt tegen trips/witte vlieg(Mond.);2012;;;328;4.5;0.3;0.9;0.8;1.8;1.3;0.7;0.8;1.0;0.6;0.1;1.2;1.0;478351;0.3;13.7;18.7;13.6;11.4;6.6;3.3;6.5;9.6;0.0;8.5;7.8;65;1458.0
67;Totaal gewassen onder glas;Roofmijt tegen trips/witte vlieg(Mond.);2016;;;699;10.3;5.9;3.9;2.7;1.4;1.8;1.8;3.0;1.7;2.1;1.7;1.7;2.0;527597;15.7;11.6;4.8;8.7;6.9;15.2;3.9;8.7;8.6;3.4;4.1;8.4;78;754.0
68;Totaal gewassen onder glas;Roofmijt tegen trips/witte vlieg(Swir.);2012;;;1942;26.6;8.8;10.0;10.4;8.9;8.3;9.0;8.5;7.7;4.1;3.2;2.4;2.3;3571776;6.3;10.0;14.3;8.9;9.9;12.1;12.7;11.1;6.5;4.8;1.8;1.6;489;1839.0
69;Totaal gewassen onder glas;Roofmijt tegen trips/witte vlieg(Swir.);2016;;;1781;26.3;10.2;10.9;12.3;13.1;13.3;13.8;11.9;12.5;9.5;7.5;7.1;8.0;3482378;6.4;7.2;9.5;9.6;8.4;16.5;9.5;9.9;7.5;6.3;4.1;5.0;514;1955.0
70;Totaal gewassen onder glas;Roofmijt tegen varenrouwmug/trips (Ac.);2012;;;54;0.7;0.3;0.5;0.2;0.3;0.4;0.4;0.4;0.3;0.3;0.4;0.3;0.3;11629;3.2;6.7;4.1;5.5;5.1;30.9;14.7;6.4;3.7;7.2;6.0;6.5;2;214.0
71;Totaal gewassen onder glas;Roofmijt tegen varenrouwmug/trips (Ac.);2016;;;30;0.4;0.1;0.3;0.1;0.1;0.2;0.2;0.1;0.0;0.0;0.2;0.0;0.0;9970;3.9;25.3;4.4;3.0;4.8;7.3;3.0;0.5;0.0;47.3;0.0;0.5;1;335.0
72;Totaal gewassen onder glas;Roofmijt tegen varenrouwmug/trips (Mac.);2012;;;342;4.7;1.5;1.8;2.5;1.6;2.3;1.9;2.4;2.0;1.9;2.4;2.6;2.7;291688;3.3;6.8;7.6;6.2;8.4;9.9;16.0;6.7;7.2;8.0;11.0;8.8;40;853.0
73;Totaal gewassen onder glas;Roofmijt tegen varenrouwmug/trips (Mac.);2016;;;424;6.3;3.7;4.4;4.3;3.9;3.5;3.7;3.2;3.2;3.4;3.2;3.6;3.1;1138610;6.2;4.9;7.7;6.6;6.4;14.0;7.9;8.0;7.5;11.0;8.9;10.8;168;2682.0
74;Totaal gewassen onder glas;Roofmijt tegen varenrouwmug/trips(Mi.);2012;;;388;5.3;2.4;2.2;2.0;1.6;2.2;2.9;2.3;1.8;1.7;2.1;2.3;2.0;312761;9.6;7.4;5.6;8.1;7.4;7.8;6.8;8.9;4.8;7.1;15.4;11.0;43;805.0
75;Totaal gewassen onder glas;Roofmijt tegen varenrouwmug/trips(Mi.);2016;;;713;10.5;6.2;6.3;5.7;5.1;4.7;5.4;4.4;4.6;5.2;4.7;5.3;4.7;1045639;5.7;5.4;6.4;7.3;3.9;9.3;5.5;13.4;11.8;4.0;14.4;12.9;154;1466.0
76;Totaal gewassen onder glas;Rooftrips tegen trips (Franklinothrips);2012;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;;;;;;;;;;;;0;
77;Totaal gewassen onder glas;Rooftrips tegen trips (Franklinothrips);2016;;;7;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.1;1880;0.0;0.0;0.0;0.0;0.0;0.0;97.9;0.0;0.2;0.8;0.8;0.2;0;267.0
78;Totaal gewassen onder glas;Roofwants tegen rupsen (Podisus);2012;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;;;;;;;;;;;;0;
79;Totaal gewassen onder glas;Roofwants tegen rupsen (Podisus);2016;;;32;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;103;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0;3.0
80;Totaal gewassen onder glas;Roofwants tegen witte vlieg(Macrolophus);2012;;;1860;25.5;6.3;16.1;13.7;9.9;7.4;4.2;1.6;0.6;1.5;1.1;1.5;1.3;24322;6.8;24.3;27.7;8.3;7.7;5.4;3.2;0.3;1.5;8.4;2.1;4.3;3;13.0
81;Totaal gewassen onder glas;Roofwants tegen witte vlieg(Macrolophus);2016;;;1805;26.6;11.1;19.6;15.4;5.8;3.7;3.2;2.3;1.6;0.4;0.3;5.5;3.4;29029;13.3;32.8;19.1;5.3;3.7;7.6;2.6;2.5;1.8;1.9;5.5;3.9;4;16.0
82;Totaal gewassen onder glas;Roofwants tegen trips (Orius);2012;;;236;3.2;0.2;1.2;2.1;1.7;1.6;1.1;0.2;0.0;0.0;0.0;0.0;0.0;2378;2.1;11.4;28.4;35.1;12.6;7.6;2.7;0.0;0.0;0.0;0.0;0.0;0;10.0
83;Totaal gewassen onder glas;Roofwants tegen trips (Orius);2016;;;215;3.2;0.5;1.6;2.3;2.0;1.6;0.2;0.2;0.0;0.0;0.0;0.0;0.0;4107;4.3;26.1;25.0;25.1;17.7;0.3;1.5;0.0;0.0;0.0;0.0;0.0;1;19.0
84;Totaal gewassen onder glas;Sluipwesp t. witte vlieg (Enc./Eretm.);2012;;;728;10.0;2.6;2.5;4.9;5.5;6.8;4.1;3.1;1.6;0.3;0.2;0.2;0.9;107404;4.2;4.1;11.5;21.4;25.5;14.0;13.8;3.6;0.6;0.0;0.0;1.4;15;148.0
85;Totaal gewassen onder glas;Sluipwesp t. witte vlieg (Enc./Eretm.);2016;;;1068;15.8;3.8;4.9;7.5;6.2;7.2;5.8;3.0;3.0;1.9;0.8;2.2;1.9;110028;2.8;6.6;9.1;16.3;15.4;21.8;8.3;8.8;4.4;4.9;0.8;0.9;16;103.0
86;Totaal gewassen onder glas;Sluipwesp tegen (citrus)wolluis (Lept.);2012;;;42;0.6;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;7;48.7;16.2;0.0;0.0;0.0;0.0;0.0;0.0;18.2;16.8;0.0;0.0;0;0.0
87;Totaal gewassen onder glas;Sluipwesp tegen (citrus)wolluis (Lept.);2016;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;;;;;;;;;;;;0;
88;Totaal gewassen onder glas;Sluipwesp tegen bladluis (Aphelinus);2012;;;341;4.7;1.0;2.5;1.4;1.6;0.1;0.7;0.6;0.4;0.0;0.0;0.1;0.1;1141;52.3;23.1;9.6;6.3;4.9;1.3;1.0;0.7;0.0;0.0;0.5;0.3;0;3.0
89;Totaal gewassen onder glas;Sluipwesp tegen bladluis (Aphelinus);2016;;;236;3.5;0.6;0.9;0.8;2.7;1.4;0.8;0.7;0.6;0.7;0.5;0.7;0.5;1485;2.3;11.4;7.6;28.1;14.8;9.5;5.6;16.8;2.6;0.4;0.3;0.5;0;6.0
90;Totaal gewassen onder glas;Sluipwesp tegen bladluis (Col./Ervi);2012;;;54;0.7;0.0;0.3;0.7;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;223;0.0;25.4;55.5;19.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;4.0
91;Totaal gewassen onder glas;Sluipwesp tegen bladluis (Col./Ervi);2016;;;161;2.4;1.1;1.3;0.8;1.2;1.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;2005;8.6;14.0;48.6;18.5;7.0;2.7;0.0;0.0;0.0;0.6;0.0;0.0;0;12.0
92;Totaal gewassen onder glas;Sluipwesp tegen bladluis (Colemani);2012;;;731;10.0;0.8;3.6;4.0;4.1;3.5;2.5;2.7;1.9;0.8;0.9;0.5;0.7;6866;2.6;10.4;15.4;10.8;10.4;14.4;16.1;6.4;3.4;2.8;0.5;6.7;1;9.0
93;Totaal gewassen onder glas;Sluipwesp tegen bladluis (Colemani);2016;;;1077;15.9;6.1;8.4;6.7;9.3;6.6;5.0;5.3;3.9;3.6;2.1;1.4;1.2;58163;25.6;10.6;8.6;15.9;17.3;5.4;7.1;5.7;2.2;1.2;0.3;0.2;9;54.0
