ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;TotaleOppervlakte_5;TotaalVerkeersterrein_6;Spoorterrein_7;Wegverkeersterrein_8;Vliegveld_9;TotaalBebouwdTerrein_10;Woonterrein_11;TerreinVoorDetailhandelEnHoreca_12;TerreinVoorOpenbareVoorzieningen_13;TerreinVoorSociaalCultureleVoorz_14;Bedrijventerrein_15;TotaalSemiBebouwdTerrein_16;Stortplaats_17;Wrakkenopslagplaats_18;Begraafplaats_19;Delfstofwinplaats_20;Bouwterrein_21;SemiVerhardOverigTerrein_22;TotaalRecreatieterrein_23;ParkEnPlantsoen_24;Sportterrein_25;Volkstuin_26;DagrecreatiefTerrein_27;VerblijfsrecreatiefTerrein_28;TotaalAgrarischTerrein_29;TerreinVoorGlastuinbouw_30;OverigAgrarischTerrein_31;TotaalBosEnOpenNatuurlijkTerrein_32;Bos_33;OpenDroogNatuurlijkTerrein_34;OpenNatNatuurlijkTerrein_35;TotaalBinnenwater_36;IJsselmeerMarkermeer_37;AfgeslotenZeearm_38;RijnEnMaas_39;Randmeer_40;Spaarbekken_41;RecreatiefBinnenwater_42;BinnenwaterVoorDelfstofwinning_43;VloeiEnOfSlibveld_44;OverigBinnenwater_45;TotaalBuitenwater_46;WaddenzeeEemsDollard_47;Oosterschelde_48;Westerschelde_49;Noordzee_50
63;Ballo;Aa en Hunze                             ;Buurt     ;BU16801901;1;49;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;43;4;4;0;0;0;;;;;0;0;0;0;0;;;;;
64;Nijlande;Aa en Hunze                             ;Buurt     ;BU16801902;1;23;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;21;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
65;Deurze;Aa en Hunze                             ;Buurt     ;BU16801903;1;50;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;45;0;45;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
66;Verspreide huizen Nooitgedacht;Aa en Hunze                             ;Buurt     ;BU16801908;1;932;17;0;17;0;38;0;0;0;38;0;0;0;0;0;0;0;0;58;0;0;0;1;57;717;0;717;90;80;10;0;11;;;;;0;0;0;0;11;;;;;
67;Verspreide huizen Rolde;Aa en Hunze                             ;Buurt     ;BU16801909;1;2134;44;0;44;0;7;0;0;0;0;7;0;0;0;0;0;0;0;19;0;14;1;0;4;1394;0;1394;663;200;384;79;7;;;;;0;0;0;0;7;;;;;
68;Wijk 20 Grolloo;Aa en Hunze                             ;Wijk      ;WK168020  ;1;5226;75;0;75;0;53;34;2;2;16;0;38;0;0;1;20;16;0;81;0;9;0;2;70;2515;0;2515;2404;2076;189;139;61;;;;;0;1;39;0;21;;;;;
69;Grolloo;Aa en Hunze                             ;Buurt     ;BU16802000;1;76;4;0;4;0;26;26;0;0;0;0;1;0;0;1;0;0;0;5;0;3;0;0;2;39;0;39;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
70;Schoonloo;Aa en Hunze                             ;Buurt     ;BU16802001;1;72;4;0;4;0;10;8;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;38;0;38;17;17;0;0;0;;;;;0;0;0;0;0;;;;;
71;Verspreide huizen Papenvoort;Aa en Hunze                             ;Buurt     ;BU16802008;1;598;10;0;10;0;10;0;0;0;10;0;0;0;0;0;0;0;0;4;0;2;0;0;2;329;0;329;242;220;8;14;4;;;;;0;0;0;0;4;;;;;
72;Verspreide huizen Grolloo;Aa en Hunze                             ;Buurt     ;BU16802009;1;4480;56;0;56;0;8;0;0;2;6;0;36;0;0;0;20;16;0;68;0;2;0;2;64;2109;0;2109;2145;1840;181;125;57;;;;;0;1;39;0;17;;;;;
73;Wijk 21 Ekehaar;Aa en Hunze                             ;Wijk      ;WK168021  ;1;1960;42;0;42;0;12;10;0;0;0;2;1;0;0;0;1;0;0;20;0;2;0;2;15;1507;0;1507;372;280;79;13;6;;;;;0;0;0;0;6;;;;;
74;Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802100;1;37;2;0;2;0;12;10;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;23;0;23;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
75;Amen;Aa en Hunze                             ;Buurt     ;BU16802101;1;47;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
76;Verspreide huizen Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802109;1;1875;37;0;37;0;0;0;0;0;0;0;1;0;0;0;1;0;0;18;0;1;0;2;15;1441;0;1441;372;280;79;13;6;;;;;0;0;0;0;6;;;;;
77;Aalburg;Aalburg                                 ;Gemeente  ;GM0738    ;.;5317;150;0;150;0;320;231;6;9;4;71;44;0;0;4;0;35;5;44;4;28;3;7;3;4335;1;4333;148;126;0;22;277;;;101.0;;0;2;0;0;173;;;;;
78;Wijk 00 Wijk en Aalburg;Aalburg                                 ;Wijk      ;WK073800  ;1;1301;44;0;44;0;127;96;6;2;4;19;9;0;0;2;0;7;0;14;0;9;2;0;2;1041;0;1041;4;4;0;0;63;;;6.0;;0;0;0;0;57;;;;;
79;Wijk en Aalburg;Aalburg                                 ;Buurt     ;BU07380000;1;247;8;0;8;0;110;91;3;0;4;12;5;0;0;0;0;4;0;13;0;9;2;0;2;90;0;90;0;0;0;0;21;;;;;0;0;0;0;21;;;;;
80;Spijk;Aalburg                                 ;Buurt     ;BU07380001;1;285;9;0;9;0;9;4;1;0;0;3;3;0;0;0;0;3;0;0;0;0;0;0;0;236;0;236;0;0;0;0;28;;;;;0;0;0;0;28;;;;;
81;Verspreide huizen Wijk en Aalburg;Aalburg                                 ;Buurt     ;BU07380009;1;768;26;0;26;0;8;1;1;2;0;4;1;0;0;1;0;0;0;0;0;0;0;0;0;715;0;715;4;4;0;0;14;;;6.0;;0;0;0;0;8;;;;;
82;Wijk 01 Veen;Aalburg                                 ;Wijk      ;WK073801  ;1;543;15;0;15;0;88;54;0;0;0;33;24;0;0;1;0;23;0;20;1;10;0;7;0;318;0;318;0;0;0;0;80;;;;;0;2;0;0;78;;;;;
83;Veen;Aalburg                                 ;Buurt     ;BU07380100;1;226;5;0;5;0;70;54;0;0;0;16;11;0;0;1;0;10;0;13;1;5;0;6;0;48;0;48;0;0;0;0;78;;;;;0;0;0;0;78;;;;;
84;Verspreide huizen Veen;Aalburg                                 ;Buurt     ;BU07380109;1;317;9;0;9;0;17;0;0;0;0;17;12;0;0;0;0;12;0;6;0;5;0;2;0;270;0;270;0;0;0;0;2;;;;;0;2;0;0;0;;;;;
85;Wijk 02 Genderen;Aalburg                                 ;Wijk      ;WK073802  ;1;670;23;0;23;0;53;38;0;4;0;11;2;0;0;0;0;1;1;3;0;3;0;0;0;551;1;550;15;15;0;0;23;;;20.0;;0;0;0;0;3;;;;;
86;Genderen;Aalburg                                 ;Buurt     ;BU07380200;1;153;6;0;6;0;46;38;0;0;0;7;1;0;0;0;0;1;0;0;0;0;0;0;0;100;1;99;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
87;Verspreide huizen Genderen;Aalburg                                 ;Buurt     ;BU07380209;1;517;17;0;17;0;7;0;0;4;0;3;1;0;0;0;0;0;1;3;0;3;0;0;0;451;0;451;15;15;0;0;23;;;20.0;;0;0;0;0;3;;;;;
88;Wijk 03 Eethen;Aalburg                                 ;Wijk      ;WK073803  ;1;783;22;0;22;0;25;20;0;1;0;3;2;0;0;1;0;0;0;6;0;6;0;0;0;714;0;714;0;0;0;0;14;;;9.0;;0;0;0;0;5;;;;;
89;Eethen;Aalburg                                 ;Buurt     ;BU07380300;1;38;4;0;4;0;20;18;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;13;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
90;Verspreide huizen Eethen;Aalburg                                 ;Buurt     ;BU07380309;1;745;18;0;18;0;4;2;0;1;0;1;2;0;0;1;0;0;0;6;0;6;0;0;0;701;0;701;0;0;0;0;14;;;9.0;;0;0;0;0;5;;;;;
91;Wijk 04 Meeuwen;Aalburg                                 ;Wijk      ;WK073804  ;1;600;17;0;17;0;18;13;0;0;0;5;1;0;0;0;0;0;1;2;2;0;0;0;0;537;0;537;3;3;0;0;22;;;17.0;;0;0;0;0;6;;;;;
92;Meeuwen;Aalburg                                 ;Buurt     ;BU07380400;1;50;2;0;2;0;16;13;0;0;0;3;0;0;0;0;0;0;0;2;1;0;0;0;0;30;0;30;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
93;Verspreide huizen Meeuwen;Aalburg                                 ;Buurt     ;BU07380409;1;550;14;0;14;0;2;0;0;0;0;2;1;0;0;0;0;0;1;1;1;0;0;0;0;507;0;507;3;3;0;0;22;;;17.0;;0;0;0;0;6;;;;;
