ID;Geslacht;Perioden;TotaalVerkrijgingNederlanderschap_1;NederlanderschapDoorErkenning_2;TotaalNederlanderschapDoorAdoptie_3;JongerDan5Jaar_4;k_5Tot10Jaar_5;k_10JaarOfOuder_6;TotaalNederlanderschapDoorAdoptie_7;MinderDan5Jaar_8;k_5JaarOfLanger_9;NederlanderschapDoorVaststellenVad_10;TotaalNederlanderschapDoorOptie_11;TotaalNederlanderschapDoorOptie_12;JongerDan5Jaar_13;k_5Tot10Jaar_14;k_10Tot15Jaar_15;k_15Tot20Jaar_16;k_20JaarOfOuder_17;TotaalNederlanderschapDoorOptie_18;Ongehuwd_19;GehuwdEnGehuwdGeweest_20;TotaalNederlanderschapDoorOptie_21;InNederlandGeboren_22;InHetBuitenlandGeboren_23;TotaalNederlanderschapDoorVerlening_24;JongerDan20Jaar_25;k_20Tot25Jaar_26;k_25Tot30Jaar_27;k_30Tot35Jaar_28;k_35Tot40Jaar_29;k_40Tot45Jaar_30;k_45Tot50Jaar_31;k_50Tot55Jaar_32;k_55Tot60Jaar_33;k_60Tot65Jaar_34;k_65JaarOfOuder_35;TotaalNederlanderschapDoorVerlening_36;Ongehuwd_37;Gehuwd_38;Verweduwd_39;Gescheiden_40;TotaalNederlanderschapDoorVerlening_41;MinderDan5Jaar_42;k_5Tot10Jaar_43;k_10Tot15Jaar_44;k_15Tot20Jaar_45;k_20Tot25Jaar_46;k_25JaarOfLanger_47;TotaalZelfstandigeNaturalisatie_48;JongerDan20Jaar_49;k_20Tot25Jaar_50;k_25Tot30Jaar_51;k_30Tot35Jaar_52;k_35Tot40Jaar_53;k_40Tot45Jaar_54;k_45Tot50Jaar_55;k_50Tot55Jaar_56;k_55Tot60Jaar_57;k_60Tot65Jaar_58;k_65JaarOfOuder_59;TotaalZelfstandigeNaturalisatie_60;Ongehuwd_61;Gehuwd_62;Verweduwd_63;Gescheiden_64;TotaalZelfstandigeNaturalisatie_65;MinderDan5Jaar_66;k_5Tot10Jaar_67;k_10Tot15Jaar_68;k_15Tot20Jaar_69;k_20Tot25Jaar_70;k_25JaarOfLanger_71;TotaalMedenaturalisatie_72;JongerDan5Jaar_73;k_5Tot10Jaar_74;k_10Tot15Jaar_75;k_15JaarOfOuder_76;TotaalMedenaturalisatie_77;MinderDan5Jaar_78;k_5Tot10Jaar_79;k_10Tot15Jaar_80;k_15JaarOfLanger_81;VerliesVanHetNederlanderschap_82
10;Totaal mannen en vrouwen;1995;71444;461.0;533;384;116;33;533;511;22;;2538;2538;7;8;2;1582;939;2538;2321;217;2538;2528;10;67912;26598;5793;9111;9848;6075;3493;2666;1912;1391;588;437;67912;34694;29604;474;3140;67912;16347;25801;8931;9843;4664;2326;42154;840;5793;9111;9848;6075;3493;2666;1912;1391;588;437;42154;8936;29604;474;3140;42154;6911;16379;4226;7648;4664;2326;25758;7045;7864;6653;4196;25758;9436;9422;4705;2195;123
11;Totaal mannen en vrouwen;1996;82687;616.0;543;397;111;35;543;521;22;;2797;2797;10;6;1;1738;1042;2797;2590;207;2797;2794;3;78731;28340;6829;11983;12185;7614;4363;2785;1913;1402;701;616;78731;40131;33767;623;4210;78731;21710;33345;8060;8693;4108;2815;51472;1081;6829;11983;12185;7614;4363;2785;1913;1402;701;616;51472;12872;33767;623;4210;51472;10586;22907;4236;6820;4108;2815;27259;7664;8480;6640;4475;27259;11124;10438;3824;1873;130
12;Totaal mannen en vrouwen;1997;59831;700.0;628;449;146;33;628;607;21;;2760;2760;15;4;4;1805;932;2760;2598;162;2760;2755;5;55743;19481;5239;8838;8287;5546;3203;2007;1278;923;486;455;55743;28580;23767;454;2942;55743;17721;23129;5263;5002;2756;1872;37160;898;5239;8838;8287;5546;3203;2007;1278;923;486;455;37160;9997;23767;454;2942;37160;9240;16410;3009;3873;2756;1872;18583;5433;5545;4545;3060;18583;8481;6719;2254;1129;126
13;Totaal mannen en vrouwen;1998;59173;724.0;595;413;150;32;595;583;12;;2175;2175;18;15;2;1604;536;2175;2105;70;2175;2169;6;55679;20073;4809;8208;8257;5745;3378;2047;1247;895;503;517;55679;30428;21985;581;2685;55679;17220;26129;4803;3690;2192;1645;36503;897;4809;8208;8257;5745;3378;2047;1247;895;503;517;36503;11252;21985;581;2685;36503;8707;18380;2861;2718;2192;1645;19176;5415;5799;4821;3141;19176;8513;7749;1942;972;89
14;Totaal mannen en vrouwen;1999;62093;802.0;624;444;145;35;624;613;11;;2523;2523;20;9;1;1845;648;2523;2417;106;2523;2515;8;58144;19795;5322;8155;8891;6549;3843;2238;1279;843;584;645;58144;33061;22145;565;2373;58144;23878;24921;4087;2490;1537;1231;39338;989;5322;8155;8891;6549;3843;2238;1279;843;584;645;39338;14255;22145;565;2373;39338;14132;17868;2692;1878;1537;1231;18806;4944;5657;5037;3168;18806;9746;7053;1395;612;64
15;Totaal mannen en vrouwen;2000;49968;788.0;948;702;214;32;948;928;20;;2292;2292;17;8;3;1629;635;2292;2234;58;2292;2284;8;45940;16039;3934;5859;6979;5087;3281;1722;1135;754;595;555;45940;25487;18277;400;1776;45940;19162;17364;4316;2123;1525;1450;30836;935;3934;5859;6979;5087;3281;1722;1135;754;595;555;30836;10383;18277;400;1776;30836;11530;12189;2686;1456;1525;1450;15104;3662;4339;4298;2805;15104;7632;5175;1630;667;152
16;Totaal mannen en vrouwen;2001;46667;737.0;864;681;149;34;864;843;21;;2324;2324;6;6;0;1555;757;2324;2240;84;2324;2309;15;42742;14138;3839;5529;6721;5132;2949;1674;1013;683;563;501;42742;22970;17647;374;1751;42742;15832;17263;4521;2023;1487;1616;29767;1163;3839;5529;6721;5132;2949;1674;1013;683;563;501;29767;9995;17647;374;1751;29767;9812;12422;2987;1443;1487;1616;12975;3129;3813;3850;2183;12975;6020;4841;1534;580;199
17;Totaal mannen en vrouwen;2002;45321;729.0;512;413;71;28;512;495;17;;2201;2201;8;15;5;1394;779;2201;2118;83;2201;2194;7;41879;14066;3890;5330;6408;4756;2943;1679;1003;690;541;573;41879;22137;17717;393;1632;41879;15513;16774;4271;2065;1561;1695;28904;1091;3890;5330;6408;4756;2943;1679;1003;690;541;573;28904;9162;17717;393;1632;28904;9179;12194;2781;1494;1561;1695;12975;3207;3683;3866;2219;12975;6334;4580;1490;571;199
18;Totaal mannen en vrouwen;2003;28799;254.0;658;538;93;27;658;642;16;6.0;3300;3300;69;91;103;855;2182;3300;1909;1391;3300;1833;1467;24581;7701;2418;3102;3774;2915;1858;1067;628;393;340;385;24581;12611;10847;234;889;24581;8605;10130;2527;1350;801;1168;17459;579;2418;3102;3774;2915;1858;1067;628;393;340;385;17459;5489;10847;234;889;17459;5343;7493;1649;1005;801;1168;7122;1512;2062;2299;1249;7122;3262;2637;878;345;170
19;Totaal mannen en vrouwen;2004;26173;;892;715;129;48;892;858;34;22.0;4670;4670;99;146;149;938;3338;4670;2357;2313;4670;1797;2873;20589;7542;1845;2168;3047;2332;1613;859;473;284;209;217;20589;11290;8461;192;646;20589;5341;10857;2115;1082;476;718;13298;251;1845;2168;3047;2332;1613;859;473;284;209;217;13298;3999;8461;192;646;13298;2851;7271;1280;702;476;718;7291;1284;2090;2355;1562;7291;2490;3586;835;380;419
20;Totaal mannen en vrouwen;2005;28488;;1363;1173;157;33;1363;1349;14;49.0;5776;5776;105;179;231;1066;4195;5776;2941;2835;5776;2086;3690;21300;6486;3114;3091;3478;2528;1311;585;326;163;88;130;21300;11760;8780;127;633;21300;6387;10776;2092;1042;383;620;15314;500;3114;3091;3478;2528;1311;585;326;163;88;130;15314;5774;8780;127;633;15314;4097;8152;1296;766;383;620;5986;1275;1704;1851;1156;5986;2290;2624;796;276;281
21;Totaal mannen en vrouwen;2006;29089;;745;580;137;28;745;717;28;67.0;7297;7297;189;173;220;1304;5411;7297;3372;3925;7297;2740;4557;20980;6666;3018;2727;3367;2450;1393;662;311;164;87;135;20980;12168;8007;114;691;20980;6437;11165;1860;792;223;503;15185;871;3018;2727;3367;2450;1393;662;311;164;87;135;15185;6373;8007;114;691;15185;4053;8640;1215;551;223;503;5795;1372;1512;1769;1142;5795;2384;2525;645;241;275
22;Totaal mannen en vrouwen;2007;30653;;583;440;116;27;583;554;29;85.0;7779;7779;284;214;171;1194;5916;7779;3327;4452;7779;2914;4865;22206;6871;2671;3063;3594;2751;1574;815;419;197;105;146;22206;12820;8509;153;724;22206;5921;13044;1902;692;213;434;16254;919;2671;3063;3594;2751;1574;815;419;197;105;146;16254;6868;8509;153;724;16254;3678;10130;1314;485;213;434;5952;1363;1598;1827;1164;5952;2243;2914;588;207;336
23;Totaal mannen en vrouwen;2008;28229;;408;295;76;37;408;369;39;92.0;5396;5396;201;190;103;973;3929;5396;2366;3030;5396;1978;3418;22333;6724;2469;2988;3439;2872;1676;996;547;255;142;225;22333;12905;8411;174;843;22333;5396;12993;2728;670;204;342;16621;1012;2469;2988;3439;2872;1676;996;547;255;142;225;16621;7193;8411;174;843;16621;3363;10158;2076;478;204;342;5712;1365;1561;1645;1141;5712;2033;2835;652;192;293
24;Totaal mannen en vrouwen;2009;29754;225.0;390;281;94;15;390;375;15;94.0;6426;6426;408;346;172;1024;4476;6426;2998;3428;6426;2483;3943;22619;6289;1831;3276;3896;3132;1921;1128;587;270;136;153;22619;12084;9298;198;1039;22619;5365;12367;3582;732;240;333;17187;857;1831;3276;3896;3132;1921;1128;587;270;136;153;17187;6652;9298;198;1039;17187;3483;9800;2820;511;240;333;5432;1148;1530;1629;1125;5432;1882;2567;762;221;291
25;Totaal mannen en vrouwen;2010;26275;288.0;446;284;133;29;446;418;28;89.0;7351;7351;234;295;169;981;5672;7351;2893;4458;7351;2477;4874;18101;4933;1157;2358;3196;2704;1760;981;513;267;132;100;18101;9087;7892;150;972;18101;3569;9297;3675;822;278;460;13681;513;1157;2358;3196;2704;1760;981;513;267;132;100;13681;4667;7892;150;972;13681;2147;7386;2882;528;278;460;4420;938;1192;1321;969;4420;1422;1911;793;294;361
26;Totaal mannen en vrouwen;2011;28612;300.0;423;243;155;25;423;392;31;94.0;7230;7230;139;294;197;977;5623;7230;2843;4387;7230;2544;4686;20565;4795;1009;2570;4004;3376;2276;1319;652;336;154;74;20565;9434;9752;175;1204;20565;3682;9662;5296;1104;350;471;15999;229;1009;2570;4004;3376;2276;1319;652;336;154;74;15999;4868;9752;175;1204;15999;2237;7807;4374;760;350;471;4566;976;1255;1332;1003;4566;1445;1855;922;344;355
27;Totaal mannen en vrouwen;2012;30955;273.0;325;185;107;33;325;290;35;107.0;6256;6256;80;242;163;944;4827;6256;2515;3741;6256;2298;3958;23994;5836;1147;2829;4638;3799;2714;1548;809;393;180;101;23994;11451;10898;214;1431;23994;5311;10977;5857;1118;328;403;18689;531;1147;2829;4638;3799;2714;1548;809;393;180;101;18689;6146;10898;214;1431;18689;3271;8849;4967;871;328;403;5305;1352;1420;1433;1100;5305;2040;2128;890;247;440
28;Totaal mannen en vrouwen;2013;25882;235.0;272;151;98;23;272;252;20;101.0;4784;4784;43;169;164;719;3689;4784;1851;2933;4784;1661;3123;20490;5526;1142;2272;3315;2958;2342;1409;805;385;188;148;20490;11112;8201;159;1018;20490;3963;8558;6369;1151;233;216;15495;531;1142;2272;3315;2958;2342;1409;805;385;188;148;15495;6117;8201;159;1018;15495;2111;6714;5262;959;233;216;4995;1314;1256;1342;1083;4995;1852;1844;1107;192;479
29;Totaal mannen en vrouwen;2014;32675;266.0;205;110;69;26;205;178;27;133.0;5022;5022;42;116;129;714;4021;5022;1873;3149;5022;1712;3310;27049;7493;1467;2773;4847;4011;2824;1723;985;508;243;175;27049;14595;10745;212;1497;27049;6241;13177;5646;1425;267;293;20218;662;1467;2773;4847;4011;2824;1723;985;508;243;175;20218;7764;10745;212;1497;20218;3108;10575;4779;1196;267;293;6831;2013;1772;1781;1265;6831;3133;2602;867;229;892
30;Totaal mannen en vrouwen;2015;27877;259.0;148;91;44;13;148;135;13;112.0;5256;5256;43;92;112;605;4404;5256;1724;3532;5256;1631;3625;22102;6669;1402;2287;3833;3001;2030;1373;798;400;179;130;22102;12691;8107;154;1150;22102;5122;11908;3298;1340;255;179;16062;629;1402;2287;3833;3001;2030;1373;798;400;179;130;16062;6651;8107;154;1150;16062;2289;9368;2826;1145;255;179;6040;1893;1623;1496;1028;6040;2833;2540;472;195;164
31;Totaal mannen en vrouwen;2016;28534;202.0;154;81;55;18;154;139;15;101.0;6531;6531;34;88;124;650;5635;6531;2061;4470;6531;1914;4617;21546;6406;1569;2133;3580;2938;1964;1302;777;451;228;198;21546;12589;7651;203;1103;21546;4612;12031;2741;1709;234;219;15656;516;1569;2133;3580;2938;1964;1302;777;451;228;198;15656;6699;7651;203;1103;15656;1899;9572;2253;1479;234;219;5890;1667;1598;1528;1097;5890;2713;2459;488;230;134
32;Totaal mannen en vrouwen;2017;27663;202.0;133;59;46;28;133;117;16;96.0;7630;7630;34;40;113;700;6743;7630;2199;5431;7630;2190;5440;19602;5905;1202;1776;3337;2762;1789;1267;734;448;204;178;19602;11404;7025;176;997;19602;4416;10603;2424;1682;259;218;14133;436;1202;1776;3337;2762;1789;1267;734;448;204;178;14133;5935;7025;176;997;14133;1891;8325;1981;1459;259;218;5469;1409;1472;1469;1119;5469;2525;2278;443;223;118
33;Totaal mannen en vrouwen;2018;27852;216.0;124;63;48;13;124;115;9;91.0;6736;6736;19;45;109;630;5933;6736;1976;4760;6736;1847;4889;20685;6241;1170;1768;3295;2971;2096;1346;849;476;241;232;20685;11624;7831;164;1066;20685;5663;10339;2655;1424;326;278;14757;313;1170;1768;3295;2971;2096;1346;849;476;241;232;14757;5696;7831;164;1066;14757;2783;7939;2193;1238;326;278;5928;1468;1766;1599;1095;5928;2880;2400;462;186;112
34;Totaal mannen en vrouwen;2019;34191;161.0;111;50;32;29;111;93;18;99.0;8269;8269;37;63;114;763;7292;8269;2376;5893;8269;2202;6067;25551;8454;1488;2071;3501;3551;2426;1647;1043;688;370;312;25551;14675;9504;188;1184;25551;8399;12687;2730;1143;350;242;17439;342;1488;2071;3501;3551;2426;1647;1043;688;370;312;17439;6563;9504;188;1184;17439;3939;9620;2285;1003;350;242;8112;2123;2347;2166;1476;8112;4460;3067;445;140;117
35;Totaal mannen en vrouwen;2020;55943;230.0;89;39;32;18;89;78;11;16.0;6335;6335;33;62;99;676;5465;6335;2013;4322;6335;1781;4554;49273;17508;2740;4116;6678;6807;4518;2905;1831;1139;595;436;49273;29040;17832;313;2088;49273;10805;32255;3958;1340;537;378;32191;426;2740;4116;6678;6807;4518;2905;1831;1139;595;436;32191;11958;17832;313;2088;32191;4170;22609;3346;1151;537;378;17082;4572;4876;4766;2868;17082;6635;9646;612;189;99
36;Totaal mannen en vrouwen;2021;62959;348.0;92;36;35;21;92;80;12;18.0;6182;6182;27;53;89;669;5344;6182;2159;4023;6182;2001;4181;56319;22080;3434;5421;7108;6850;4527;2899;1899;1104;590;407;56319;34703;19181;285;2150;56319;14424;36860;2972;1053;730;280;34692;453;3434;5421;7108;6850;4527;2899;1899;1104;590;407;34692;13076;19181;285;2150;34692;3016;27283;2480;903;730;280;21627;6403;6116;5822;3286;21627;11408;9577;492;150;155
37;Totaal mannen en vrouwen;2022;53678;369.0;78;26;28;24;78;56;22;29.0;5967;5967;37;47;78;605;5200;5967;1976;3991;5967;1739;4228;47235;13811;3600;4211;6639;6740;4668;2923;2013;1359;764;507;47235;26166;18426;358;2285;47235;7991;32151;3658;1464;1492;479;33878;454;3600;4211;6639;6740;4668;2923;2013;1359;764;507;33878;12809;18426;358;2285;33878;2721;25037;2948;1201;1492;479;13357;3789;3573;3634;2361;13357;5270;7114;710;263;135
38;Totaal mannen en vrouwen;2023;56901;318.0;56;22;24;10;56;45;11;20.0;6021;6021;36;52;58;619;5256;6021;1938;4083;6021;1684;4337;50486;14517;3614;4457;7433;7555;5224;3189;2043;1321;699;434;50486;27714;19872;387;2513;50486;9096;34580;4079;1372;850;509;36413;444;3614;4457;7433;7555;5224;3189;2043;1321;699;434;36413;13641;19872;387;2513;36413;3841;26677;3394;1142;850;509;14073;3835;3773;3913;2552;14073;5255;7903;685;230;190
39;Mannen;1985;19186;;476;355;92;29;476;441;35;;8901;8901;2233;1992;1936;2038;702;8901;8899;2;8901;5804;3097;9809;3077;608;1016;1664;1345;843;573;263;181;111;128;9809;4839;4505;41;424;9809;1076;3962;2326;1111;466;868;6929;197;608;1016;1664;1345;843;573;263;181;111;128;6929;1959;4505;41;424;6929;330;2574;1820;871;466;868;2880;650;1023;710;497;2880;746;1388;506;240;20
40;Mannen;1986;10646;;517;428;68;21;517;496;21;;2763;2763;500;701;606;659;297;2763;2747;16;2763;1867;896;7366;2180;517;903;1332;972;573;406;190;104;91;98;7366;3632;3373;33;328;7366;894;3455;1527;601;312;577;5282;96;517;903;1332;972;573;406;190;104;91;98;5282;1548;3373;33;328;5282;321;2392;1170;510;312;577;2084;492;774;533;285;2084;573;1063;357;91;23
41;Mannen;1987;10434;;486;387;78;21;486;463;23;;3845;3845;446;1174;1022;849;354;3845;3833;12;3845;2747;1098;6103;1795;441;715;1087;766;542;315;150;120;66;106;6103;2979;2867;24;233;6103;908;2892;1240;520;239;304;4402;94;441;715;1087;766;542;315;150;120;66;106;4402;1278;2867;24;233;4402;434;1991;973;461;239;304;1701;368;632;439;262;1701;474;901;267;59;26
42;Mannen;1988;5138;;633;505;102;26;633;599;34;;190;190;1;6;8;96;79;190;187;3;190;169;21;4315;1351;278;482;684;590;339;226;134;72;59;100;4315;2169;2009;12;125;4315;606;1943;909;426;133;298;3029;65;278;482;684;590;339;226;134;72;59;100;3029;883;2009;12;125;3029;267;1286;672;373;133;298;1286;241;486;375;184;1286;339;657;237;53;27
43;Mannen;1989;16401;;392;312;56;24;392;373;19;;231;231;5;4;5;118;99;231;226;5;231;180;51;15778;5247;1129;1895;2477;1939;1348;787;410;230;145;171;15778;8151;7098;39;490;15778;3093;5870;3812;1796;672;535;10800;269;1129;1895;2477;1939;1348;787;410;230;145;171;10800;3173;7098;39;490;10800;1541;3803;2744;1505;672;535;4978;1080;1691;1470;737;4978;1552;2067;1068;291;35
44;Mannen;1990;7097;;286;199;69;18;286;274;12;;348;348;4;10;3;199;132;348;346;2;348;297;51;6463;2236;438;790;1044;750;510;302;174;95;47;77;6463;3361;2779;21;302;6463;1451;2158;1578;730;304;242;4349;122;438;790;1044;750;510;302;174;95;47;77;4349;1247;2779;21;302;4349;769;1317;1095;622;304;242;2114;490;709;581;334;2114;682;841;483;108;36
45;Mannen;1991;15706;;463;326;104;33;463;445;18;;487;487;3;3;5;293;183;487;483;4;487;436;51;14756;5384;981;1924;2245;1546;1079;665;440;227;127;138;14756;7744;6433;54;525;14756;3505;4645;3513;1762;830;501;9583;211;981;1924;2245;1546;1079;665;440;227;127;138;9583;2571;6433;54;525;9583;1704;2743;2338;1467;830;501;5173;1284;1677;1515;697;5173;1801;1902;1175;295;33
46;Mannen;1992;19353;;380;270;94;16;380;368;12;;843;843;10;3;2;522;306;843;832;11;843;812;31;18130;6717;1121;2291;2784;1876;1284;836;599;302;149;171;18130;9370;8045;55;660;18130;4208;5870;3966;2437;1082;567;11689;276;1121;2291;2784;1876;1284;836;599;302;149;171;11689;2929;8045;55;660;11689;2068;3516;2490;1966;1082;567;6441;1576;2061;1920;884;6441;2140;2354;1476;471;51
47;Mannen;1993;22476;;441;318;91;32;441;387;54;;960;960;7;3;1;542;407;960;951;9;960;928;32;21075;8084;1317;2318;3192;2079;1397;1075;843;440;176;154;21075;10852;9269;69;885;21075;4636;6864;4099;3179;1601;696;13289;298;1317;2318;3192;2079;1397;1075;843;440;176;154;13289;3066;9269;69;885;13289;2120;4156;2261;2455;1601;696;7786;1969;2398;2310;1109;7786;2516;2708;1838;724;63
48;Mannen;1994;26076;;327;228;64;35;327;275;52;;1276;1276;3;0;1;773;499;1276;1237;39;1276;1259;17;24473;9293;1581;2995;3841;2359;1388;1209;868;554;242;143;24473;12408;11028;66;971;24473;5922;8168;3885;3787;1811;900;15632;452;1581;2995;3841;2359;1388;1209;868;554;242;143;15632;3567;11028;66;971;15632;2915;5137;1949;2920;1811;900;8841;2190;2769;2484;1398;8841;3007;3031;1936;867;54
49;Mannen;1995;37731;239.0;244;168;56;20;244;234;10;;1373;1373;3;7;1;839;523;1373;1303;70;1373;1367;6;35875;13605;2634;4693;5726;3395;1709;1419;1165;954;376;199;35875;18953;15378;88;1456;35875;8380;14034;4242;4817;2562;1840;22667;397;2634;4693;5726;3395;1709;1419;1165;954;376;199;22667;5745;15378;88;1456;22667;3513;9205;1851;3696;2562;1840;13208;3654;4000;3396;2158;13208;4867;4829;2391;1121;74
