ID;SBI;Grootteklasse;TotalePersoneelskosten_1;LonenEnSalarissen_2;SocialeLasten_3;Pensioenlasten_4;KostenUitzendkrachten_5;OverigePersoneelskosten_6;OntvangenLoonsubsidiesED_7
120;63302 Reisbemiddeling (reisbureaus);Alle bedrijven;188.4;76.9;11.0;3.1;4.7;6.0;1.6
121;63302 Reisbemiddeling (reisbureaus);0 tot 10 werknemers;39.3;77.1;11.9;3.7;4.0;5.5;2.2
122;63302 Reisbemiddeling (reisbureaus);10 en meer werknemers;;;;;;;
123;63302 Reisbemiddeling (reisbureaus);10 tot 100 werknemers;51.2;77.6;10.4;3.1;3.7;6.7;1.6
124;63302 Reisbemiddeling (reisbureaus);100 en meer werknemers;97.9;76.4;10.9;2.8;5.5;5.8;1.4
125;63303 Info verstrekking tbv toerisme;Alle bedrijven;85.0;81.1;9.1;3.7;4.6;6.1;2.5
126;63303 Info verstrekking tbv toerisme;0 tot 10 werknemers;33.3;80.5;9.3;4.2;2.4;6.8;3.3
127;63303 Info verstrekking tbv toerisme;10 en meer werknemers;51.7;81.5;9.0;3.3;6.0;5.6;2.0
128;63303 Info verstrekking tbv toerisme;10 tot 100 werknemers;;;;;;;
129;63303 Info verstrekking tbv toerisme;100 en meer werknemers;;;;;;;
