ID;KenmerkenVanHuishoudens;Perioden;AantalHuishoudensMetLaagInkomen_1;PercentageVanHetTotaal_2;GemiddeldeGrootteMetLaagInkomen_3;AantalHuishMetLangdurigLaagInkomen_4;PercentageVanHuishMetLaagInkomen_5;PercentageVanHetTotaal_6;GemGrootteMetLangdurigLaagInkomen_7;AantalHuishMetSociaalMinimum_8;PercentageVanHetTotaal_9;GemiddeldeGrootteMetSociaalMinimum_10;AantalHuishMetLangdurigSocMinimum_11;PercentageVanHuishMetSocMinimum_12;PercentageVanHetTotaal_13;GemGrootteMetLangdurigSocMinimum_14;TotaalAantalParticuliereHuishoudens_15;GemiddeldeHuishoudensgrootte_16;AantalHuishoudensMetHeleJaarInkomen_17;NietIngedeeldeHuishoudens_18
11;Alleenstaande man, tot 65 jaar;1990;112;19.8;1.0;;;;;89;15.8;1.0;;;;;728;1.0;567;161
12;Alleenstaande man, tot 65 jaar;1991;115;20.1;1.0;;;;;91;16.1;1.0;;;;;724;1.0;569;155
13;Alleenstaande man, tot 65 jaar;1992;117;20.0;1.0;34.0;29.1;5.8;1.0;93;15.9;1.0;26.0;28.0;4.5;1.0;752;1.0;587;165
14;Alleenstaande man, tot 65 jaar;1993;126;20.7;1.0;38.0;30.1;6.2;1.0;101;16.5;1.0;29.0;28.9;4.8;1.0;782;1.0;609;173
15;Alleenstaande man, tot 65 jaar;1994;132;21.3;1.0;41.0;31.0;6.6;1.0;102;16.4;1.0;29.0;28.5;4.7;1.0;789;1.0;622;167
16;Alleenstaande man, tot 65 jaar;1995;137;20.8;1.0;41.0;30.1;6.3;1.0;105;15.9;1.0;29.0;28.0;4.4;1.0;822;1.0;660;162
17;Alleenstaande man, tot 65 jaar;1996;151;22.2;1.0;46.0;30.7;6.8;1.0;115;17.0;1.0;30.0;26.2;4.4;1.0;839;1.0;681;158
18;Alleenstaande man, tot 65 jaar;1997;158;22.1;1.0;49.0;30.9;6.8;1.0;119;16.7;1.0;34.0;28.0;4.7;1.0;860;1.0;715;145
19;Alleenstaande man, tot 65 jaar;1998;152;20.2;1.0;49.0;32.6;6.6;1.0;116;15.5;1.0;35.0;29.8;4.6;1.0;889;1.0;749;140
20;Alleenstaande man, tot 65 jaar;1999;134;17.8;1.0;49.0;36.4;6.5;1.0;101;13.5;1.0;32.0;31.4;4.2;1.0;904;1.0;753;151
21;Alleenstaande man, tot 65 jaar;2000;133;16.9;1.0;47.0;35.2;5.9;1.0;99;12.6;1.0;30.0;29.8;3.7;1.0;940;1.0;790;150
22;Alleenstaande vrouw, tot 65 jaar;1990;127;26.5;1.0;;;;;98;20.5;1.0;;;;;629;1.0;477;152
23;Alleenstaande vrouw, tot 65 jaar;1991;127;26.8;1.0;;;;;98;20.6;1.0;;;;;631;1.0;473;158
24;Alleenstaande vrouw, tot 65 jaar;1992;126;26.5;1.0;48.0;37.7;10.0;1.0;97;20.3;1.0;34.0;34.8;7.1;1.0;638;1.0;478;160
25;Alleenstaande vrouw, tot 65 jaar;1993;125;25.8;1.0;48.0;38.2;9.9;1.0;93;19.2;1.0;37.0;39.8;7.6;1.0;642;1.0;483;159
26;Alleenstaande vrouw, tot 65 jaar;1994;129;26.7;1.0;48.0;37.5;10.0;1.0;90;18.7;1.0;37.0;41.4;7.7;1.0;640;1.0;483;157
27;Alleenstaande vrouw, tot 65 jaar;1995;132;27.0;1.0;53.0;39.8;10.8;1.0;92;18.9;1.0;39.0;42.0;8.0;1.0;644;1.0;488;156
28;Alleenstaande vrouw, tot 65 jaar;1996;138;27.8;1.0;55.0;40.0;11.1;1.0;97;19.5;1.0;38.0;39.2;7.6;1.0;648;1.0;497;151
29;Alleenstaande vrouw, tot 65 jaar;1997;147;28.0;1.0;58.0;39.7;11.1;1.0;100;19.1;1.0;37.0;37.4;7.1;1.0;671;1.0;525;146
30;Alleenstaande vrouw, tot 65 jaar;1998;140;26.3;1.0;57.0;40.5;10.7;1.0;106;19.8;1.0;37.0;35.3;7.0;1.0;683;1.0;534;149
31;Alleenstaande vrouw, tot 65 jaar;1999;134;24.5;1.0;58.0;43.2;10.6;1.0;99;18.1;1.0;37.0;37.4;6.8;1.0;706;1.0;547;159
32;Alleenstaande vrouw, tot 65 jaar;2000;131;23.4;1.0;57.0;43.4;10.2;1.0;100;17.7;1.0;39.0;38.8;6.9;1.0;712;1.0;562;150
33;Alleenstaande man, 65 jaar en ouder;1990;30;25.7;1.0;;;;;18;15.1;1.0;;;;;119;1.0;117;2
34;Alleenstaande man, 65 jaar en ouder;1991;32;25.1;1.0;;;;;19;15.0;1.0;;;;;127;1.0;126;1
35;Alleenstaande man, 65 jaar en ouder;1992;31;23.1;1.0;20.0;65.2;15.0;1.0;17;13.1;1.0;9.0;54.3;7.1;1.0;135;1.0;134;1
36;Alleenstaande man, 65 jaar en ouder;1993;32;22.7;1.0;20.0;61.0;13.9;1.0;17;12.4;1.0;10.0;59.0;7.3;1.0;141;1.0;140;1
37;Alleenstaande man, 65 jaar en ouder;1994;36;25.1;1.0;21.0;58.5;14.7;1.0;18;12.8;1.0;11.0;62.3;8.0;1.0;143;1.0;142;1
38;Alleenstaande man, 65 jaar en ouder;1995;34;23.3;1.0;20.0;59.4;13.9;1.0;17;11.8;1.0;10.0;59.5;7.0;1.0;148;1.0;147;1
39;Alleenstaande man, 65 jaar en ouder;1996;33;21.7;1.0;20.0;61.6;13.4;1.0;17;11.5;1.0;9.0;51.9;5.9;1.0;152;1.0;151;1
40;Alleenstaande man, 65 jaar en ouder;1997;35;22.0;1.0;22.0;63.6;14.0;1.0;19;12.1;1.0;10.0;50.3;6.1;1.0;158;1.0;158;0
41;Alleenstaande man, 65 jaar en ouder;1998;27;16.9;1.0;17.0;64.8;10.9;1.0;16;10.3;1.0;9.0;54.9;5.7;1.0;160;1.0;159;1
42;Alleenstaande man, 65 jaar en ouder;1999;26;15.8;1.0;15.0;58.8;9.3;1.0;18;11.0;1.0;10.0;54.4;6.0;1.0;165;1.0;164;1
43;Alleenstaande man, 65 jaar en ouder;2000;27;15.8;1.0;14.0;50.9;8.0;1.0;19;11.6;1.0;9.0;46.0;5.3;1.0;168;1.0;168;0
44;Alleenstaande vrouw, 65 jaar en ouder;1990;167;33.8;1.0;;;;;102;20.8;1.0;;;;;498;1.0;493;5
45;Alleenstaande vrouw, 65 jaar en ouder;1991;174;34.8;1.0;;;;;105;20.9;1.0;;;;;505;1.0;501;4
46;Alleenstaande vrouw, 65 jaar en ouder;1992;175;34.1;1.0;123.0;70.2;23.9;1.0;103;20.0;1.0;68.0;66.4;13.3;1.0;519;1.0;514;5
47;Alleenstaande vrouw, 65 jaar en ouder;1993;181;34.5;1.0;126.0;69.3;23.9;1.0;107;20.3;1.0;72.0;67.2;13.6;1.0;530;1.0;525;5
48;Alleenstaande vrouw, 65 jaar en ouder;1994;193;35.8;1.0;130.0;67.2;24.1;1.0;102;18.9;1.0;71.0;69.3;13.1;1.0;541;1.0;538;3
49;Alleenstaande vrouw, 65 jaar en ouder;1995;194;35.1;1.0;132.0;67.8;23.8;1.0;105;19.0;1.0;71.0;67.1;12.7;1.0;554;1.0;553;1
50;Alleenstaande vrouw, 65 jaar en ouder;1996;195;34.8;1.0;134.0;68.5;23.8;1.0;105;18.8;1.0;67.0;63.9;12.0;1.0;564;1.0;561;3
51;Alleenstaande vrouw, 65 jaar en ouder;1997;187;32.8;1.0;139.0;74.7;24.5;1.0;105;18.5;1.0;68.0;64.7;12.0;1.0;571;1.0;570;1
52;Alleenstaande vrouw, 65 jaar en ouder;1998;154;26.8;1.0;120.0;77.8;20.9;1.0;104;18.0;1.0;70.0;67.6;12.2;1.0;577;1.0;575;2
53;Alleenstaande vrouw, 65 jaar en ouder;1999;160;27.6;1.0;116.0;72.4;19.9;1.0;114;19.7;1.0;72.0;62.8;12.3;1.0;583;1.0;582;1
54;Alleenstaande vrouw, 65 jaar en ouder;2000;140;23.9;1.0;108.0;76.7;18.3;1.0;104;17.6;1.0;71.0;68.9;12.2;1.0;589;1.0;587;2
55;Eenoudergezin met minderjarige kinderen;1990;102;55.2;2.7;;;;;92;49.6;2.7;;;;;211;2.7;185;26
56;Eenoudergezin met minderjarige kinderen;1991;111;57.8;2.7;;;;;101;52.4;2.7;;;;;212;2.7;192;20
57;Eenoudergezin met minderjarige kinderen;1992;116;56.5;2.7;45.0;39.2;22.1;2.7;103;50.2;2.7;37.0;36.3;18.2;2.6;223;2.7;205;18
58;Eenoudergezin met minderjarige kinderen;1993;118;56.5;2.7;47.0;39.8;22.5;2.7;105;50.0;2.7;37.0;35.3;17.7;2.7;232;2.7;209;23
59;Eenoudergezin met minderjarige kinderen;1994;134;60.6;2.7;51.0;38.2;23.2;2.8;114;51.5;2.7;39.0;33.9;17.5;2.7;239;2.7;221;18
60;Eenoudergezin met minderjarige kinderen;1995;140;61.4;2.7;59.0;42.0;25.8;2.8;122;53.6;2.7;45.0;37.2;19.9;2.8;250;2.7;228;22
61;Eenoudergezin met minderjarige kinderen;1996;136;59.0;2.7;61.0;44.5;26.3;2.8;116;50.3;2.7;43.0;36.7;18.5;2.8;254;2.7;230;24
62;Eenoudergezin met minderjarige kinderen;1997;132;54.8;2.8;58.0;44.2;24.2;2.8;117;48.6;2.7;43.0;36.5;17.8;2.8;262;2.7;241;21
63;Eenoudergezin met minderjarige kinderen;1998;120;47.6;2.8;51.0;42.5;20.2;2.8;110;43.6;2.7;39.0;35.9;15.7;2.8;274;2.7;252;22
64;Eenoudergezin met minderjarige kinderen;1999;120;45.4;2.8;47.0;39.2;17.8;2.9;111;42.1;2.7;36.0;32.4;13.7;2.8;285;2.7;264;21
65;Eenoudergezin met minderjarige kinderen;2000;113;40.3;2.7;42.0;37.0;14.9;2.9;111;39.5;2.7;34.0;31.1;12.3;2.7;302;2.7;279;23
66;(Echt)paar met minderjarige kinderen;1990;151;9.8;4.2;;;;;75;4.9;4.3;;;;;1568;4.1;1542;26
67;(Echt)paar met minderjarige kinderen;1991;152;9.9;4.2;;;;;79;5.2;4.3;;;;;1562;4.1;1537;25
68;(Echt)paar met minderjarige kinderen;1992;148;9.7;4.2;45.0;30.7;3.0;4.3;81;5.4;4.3;16.0;19.5;1.0;4.3;1543;4.1;1517;26
69;(Echt)paar met minderjarige kinderen;1993;154;10.2;4.2;46.0;29.6;3.0;4.4;79;5.2;4.4;17.0;21.5;1.1;4.4;1538;4.1;1512;26
70;(Echt)paar met minderjarige kinderen;1994;160;10.5;4.2;46.0;28.5;3.0;4.3;83;5.4;4.4;17.0;20.6;1.1;4.5;1552;4.1;1525;27
71;(Echt)paar met minderjarige kinderen;1995;144;9.4;4.3;45.0;31.0;2.9;4.4;72;4.7;4.5;17.0;23.0;1.1;4.5;1553;4.1;1529;24
72;(Echt)paar met minderjarige kinderen;1996;146;9.6;4.2;45.0;30.8;2.9;4.5;77;5.0;4.4;16.0;20.5;1.0;4.6;1557;4.1;1530;27
73;(Echt)paar met minderjarige kinderen;1997;142;9.2;4.2;43.0;30.6;2.8;4.5;72;4.7;4.4;15.0;20.5;1.0;4.7;1559;4.1;1537;22
74;(Echt)paar met minderjarige kinderen;1998;133;8.6;4.3;41.0;30.5;2.6;4.4;70;4.5;4.4;14.0;19.5;0.9;4.8;1561;4.1;1542;19
75;(Echt)paar met minderjarige kinderen;1999;123;8.1;4.2;35.0;28.6;2.3;4.4;64;4.2;4.4;11.0;17.6;0.7;4.7;1554;4.1;1530;24
76;(Echt)paar met minderjarige kinderen;2000;110;7.1;4.3;32.0;28.7;2.0;4.3;64;4.1;4.4;11.0;17.4;0.7;4.6;1575;4.1;1549;26
77;(Echt)paar zonder minderjarige kinderen;1990;150;7.1;2.1;;;;;113;5.3;2.2;;;;;2152;2.4;2126;26
78;(Echt)paar zonder minderjarige kinderen;1991;155;7.0;2.1;;;;;114;5.2;2.2;;;;;2234;2.3;2206;28
79;(Echt)paar zonder minderjarige kinderen;1992;152;6.8;2.1;67.0;44.4;3.0;2.1;115;5.1;2.3;39.0;33.8;1.7;2.1;2269;2.3;2243;26
80;(Echt)paar zonder minderjarige kinderen;1993;156;6.9;2.1;67.0;42.8;2.9;2.1;113;5.0;2.3;39.0;34.9;1.7;2.1;2293;2.3;2268;25
81;(Echt)paar zonder minderjarige kinderen;1994;166;7.2;2.1;68.0;41.2;3.0;2.1;111;4.8;2.2;41.0;36.7;1.8;2.1;2321;2.3;2296;25
82;(Echt)paar zonder minderjarige kinderen;1995;151;6.5;2.1;66.0;43.7;2.8;2.1;102;4.4;2.2;39.0;38.0;1.7;2.1;2352;2.3;2325;27
83;(Echt)paar zonder minderjarige kinderen;1996;151;6.4;2.1;62.0;41.0;2.6;2.0;106;4.5;2.2;37.0;34.6;1.6;2.1;2385;2.3;2358;27
84;(Echt)paar zonder minderjarige kinderen;1997;137;5.8;2.1;60.0;43.5;2.5;2.0;101;4.2;2.2;36.0;35.1;1.5;2.1;2408;2.3;2386;22
85;(Echt)paar zonder minderjarige kinderen;1998;121;5.0;2.1;51.0;42.1;2.1;2.0;99;4.1;2.2;36.0;36.6;1.5;2.0;2429;2.2;2409;20
86;(Echt)paar zonder minderjarige kinderen;1999;123;5.1;2.1;47.0;37.9;1.9;2.0;110;4.5;2.1;35.0;31.9;1.4;2.1;2443;2.2;2416;27
87;(Echt)paar zonder minderjarige kinderen;2000;114;4.7;2.1;40.0;35.5;1.7;2.0;101;4.1;2.1;32.0;32.2;1.3;2.1;2474;2.2;2441;33
88;(Echt)paar hoofd jonger dan 65 jaar (zk);1990;79;5.1;2.2;;;;;71;4.5;2.3;;;;;1581;2.5;1556;25
89;(Echt)paar hoofd jonger dan 65 jaar (zk);1991;84;5.2;2.2;;;;;73;4.5;2.3;;;;;1655;2.4;1629;26
90;(Echt)paar hoofd jonger dan 65 jaar (zk);1992;88;5.3;2.2;27.0;30.5;1.6;2.1;78;4.7;2.3;21.0;26.4;1.2;2.2;1683;2.4;1658;25
91;(Echt)paar hoofd jonger dan 65 jaar (zk);1993;95;5.7;2.2;28.0;29.8;1.7;2.1;78;4.6;2.3;21.0;27.3;1.3;2.2;1701;2.4;1678;23
92;(Echt)paar hoofd jonger dan 65 jaar (zk);1994;97;5.7;2.2;31.0;32.0;1.8;2.1;78;4.6;2.3;24.0;30.3;1.4;2.2;1721;2.4;1697;24
93;(Echt)paar hoofd jonger dan 65 jaar (zk);1995;88;5.2;2.2;29.0;33.0;1.7;2.1;69;4.0;2.2;21.0;30.7;1.2;2.1;1740;2.4;1713;27
94;(Echt)paar hoofd jonger dan 65 jaar (zk);1996;90;5.2;2.2;25.0;28.2;1.5;2.1;69;4.0;2.2;19.0;27.2;1.1;2.1;1763;2.3;1736;27
95;(Echt)paar hoofd jonger dan 65 jaar (zk);1997;86;4.9;2.2;25.0;29.0;1.4;2.1;70;4.0;2.2;18.0;25.4;1.0;2.1;1774;2.3;1752;22
96;(Echt)paar hoofd jonger dan 65 jaar (zk);1998;80;4.6;2.2;25.0;30.8;1.4;2.1;67;3.8;2.2;18.0;26.3;1.0;2.1;1783;2.3;1764;19
97;(Echt)paar hoofd jonger dan 65 jaar (zk);1999;81;4.6;2.1;23.0;28.3;1.3;2.1;72;4.1;2.2;17.0;23.8;1.0;2.1;1790;2.3;1765;25
98;(Echt)paar hoofd jonger dan 65 jaar (zk);2000;76;4.3;2.1;20.0;26.3;1.1;2.1;66;3.7;2.2;15.0;23.5;0.9;2.1;1804;2.3;1771;33
99;(Echt)paar hoofd 65 jaar of ouder (zk);1990;71;12.4;2.0;;;;;42;7.4;2.1;;;;;571;2.2;570;1
100;(Echt)paar hoofd 65 jaar of ouder (zk);1991;70;12.2;2.0;;;;;41;7.1;2.1;;;;;579;2.1;577;2
101;(Echt)paar hoofd 65 jaar of ouder (zk);1992;63;10.9;2.0;40.0;63.7;6.9;2.0;37;6.3;2.1;18.0;49.5;3.1;2.1;585;2.1;584;1
102;(Echt)paar hoofd 65 jaar of ouder (zk);1993;61;10.4;2.0;39.0;63.0;6.5;2.0;35;5.9;2.1;18.0;51.9;3.1;2.1;592;2.1;590;2
103;(Echt)paar hoofd 65 jaar of ouder (zk);1994;69;11.5;2.0;37.0;54.3;6.2;2.0;33;5.4;2.1;17.0;52.2;2.8;2.1;600;2.1;599;1
104;(Echt)paar hoofd 65 jaar of ouder (zk);1995;63;10.3;2.0;37.0;58.8;6.1;2.0;34;5.5;2.1;18.0;53.0;2.9;2.0;612;2.1;612;0
105;(Echt)paar hoofd 65 jaar of ouder (zk);1996;62;10.0;2.0;37.0;59.6;5.9;2.0;37;6.0;2.1;18.0;48.4;2.9;2.0;622;2.1;622;0
106;(Echt)paar hoofd 65 jaar of ouder (zk);1997;52;8.2;2.0;35.0;67.5;5.5;2.0;31;4.9;2.1;18.0;57.1;2.8;2.0;634;2.1;633;1
107;(Echt)paar hoofd 65 jaar of ouder (zk);1998;41;6.3;2.0;26.0;64.3;4.0;2.0;33;5.1;2.1;19.0;57.5;2.9;2.0;645;2.1;645;0
108;(Echt)paar hoofd 65 jaar of ouder (zk);1999;42;6.4;2.0;24.0;56.7;3.6;2.0;37;5.7;2.1;18.0;47.6;2.7;2.0;652;2.1;651;1
109;(Echt)paar hoofd 65 jaar of ouder (zk);2000;38;5.6;2.0;20.0;54.2;3.0;2.0;35;5.2;2.1;17.0;48.4;2.5;2.0;670;2.1;669;1
110;Overig huishouden;1990;17;8.5;2.2;;;;;19;9.4;2.4;;;;;223;2.3;205;18
111;Overig huishouden;1991;17;8.5;2.4;;;;;19;9.1;2.6;;;;;225;2.3;206;19
112;Overig huishouden;1992;19;8.9;2.4;6.0;34.5;3.1;2.2;22;10.5;2.6;7.0;30.0;3.2;2.5;231;2.3;209;22
113;Overig huishouden;1993;20;9.1;2.5;7.0;33.4;3.0;2.2;20;9.4;2.7;6.0;29.5;2.8;2.5;240;2.4;214;26
114;Overig huishouden;1994;21;10.2;2.4;6.0;30.2;3.1;2.3;20;9.4;2.5;5.0;25.6;2.4;2.5;228;2.3;207;21
115;Overig huishouden;1995;20;9.6;2.4;6.0;28.3;2.7;2.3;17;8.1;2.5;4.0;26.7;2.2;2.5;226;2.3;205;21
116;Overig huishouden;1996;19;9.5;2.4;5.0;27.4;2.6;2.4;15;7.4;2.4;4.0;24.3;1.8;2.3;219;2.3;202;17
117;Overig huishouden;1997;15;7.7;2.4;4.0;28.5;2.2;2.3;10;4.9;2.4;2.0;24.9;1.2;2.4;215;2.3;199;16
118;Overig huishouden;1998;15;7.5;2.4;5.0;31.4;2.4;2.3;10;5.1;2.4;2.0;24.8;1.3;2.5;211;2.3;194;17
119;Overig huishouden;1999;14;7.3;2.4;3.0;23.6;1.7;2.7;9;4.7;2.5;2.0;20.3;1.0;3.0;216;2.3;198;18
120;Overig huishouden;2000;13;7.4;2.5;3.0;21.7;1.6;2.6;8;4.8;2.5;1.0;14.5;0.7;2.5;181;2.3;170;11
121;Leeftijd hoofd: tot 25 jaar;1990;66;32.3;1.4;;;;;39;18.9;1.5;;;;;408;1.3;205;203
122;Leeftijd hoofd: tot 25 jaar;1991;66;31.8;1.5;;;;;41;19.6;1.7;;;;;417;1.3;208;209
123;Leeftijd hoofd: tot 25 jaar;1992;57;29.0;1.5;6.0;10.3;3.0;1.7;36;18.3;1.7;3.0;8.1;1.5;2.2;412;1.3;195;217
124;Leeftijd hoofd: tot 25 jaar;1993;56;30.1;1.6;6.0;11.5;3.4;1.9;32;17.0;1.5;3.0;8.3;1.4;1.8;409;1.3;187;222
125;Leeftijd hoofd: tot 25 jaar;1994;60;34.1;1.6;7.0;11.6;3.9;1.8;31;18.0;1.7;3.0;8.7;1.6;2.0;381;1.3;175;206
126;Leeftijd hoofd: tot 25 jaar;1995;51;32.3;1.6;6.0;12.2;3.9;1.6;27;17.4;1.6;3.0;11.2;1.9;1.9;359;1.3;158;201
127;Leeftijd hoofd: tot 25 jaar;1996;51;34.0;1.4;6.0;10.9;3.7;1.7;25;16.4;1.5;2.0;7.7;1.3;1.8;349;1.3;151;198
128;Leeftijd hoofd: tot 25 jaar;1997;60;39.2;1.4;5.0;7.7;3.0;1.6;28;18.2;1.4;2.0;5.5;1.0;1.5;341;1.3;153;188
129;Leeftijd hoofd: tot 25 jaar;1998;48;33.0;1.4;4.0;7.8;2.6;1.8;25;17.1;1.4;1.0;6.0;1.0;1.7;340;1.3;144;196
130;Leeftijd hoofd: tot 25 jaar;1999;43;29.0;1.4;3.0;8.0;2.3;1.7;21;14.6;1.5;0.0;;;;348;1.3;147;201
131;Leeftijd hoofd: tot 25 jaar;2000;43;27.8;1.4;4.0;9.9;2.7;1.7;24;15.3;1.5;1.0;4.0;0.6;1.9;349;1.3;156;193
132;Leeftijd hoofd: 25 tot 35 jaar;1990;173;14.2;2.5;;;;;123;10.1;2.2;;;;;1331;2.3;1217;114
133;Leeftijd hoofd: 25 tot 35 jaar;1991;178;14.4;2.5;;;;;130;10.6;2.2;;;;;1339;2.3;1232;107
134;Leeftijd hoofd: 25 tot 35 jaar;1992;183;14.7;2.4;51.0;28.0;4.1;2.6;138;11.1;2.2;33.0;24.3;2.7;2.4;1353;2.2;1240;113
135;Leeftijd hoofd: 25 tot 35 jaar;1993;190;15.2;2.4;50.0;26.4;4.0;2.6;138;11.1;2.2;34.0;24.6;2.7;2.3;1365;2.2;1245;120
136;Leeftijd hoofd: 25 tot 35 jaar;1994;199;15.8;2.4;50.0;25.0;4.0;2.5;144;11.5;2.2;32.0;22.1;2.5;2.3;1372;2.2;1257;115
137;Leeftijd hoofd: 25 tot 35 jaar;1995;199;15.6;2.3;48.0;24.1;3.7;2.6;142;11.1;2.2;31.0;22.0;2.4;2.3;1387;2.2;1280;107
138;Leeftijd hoofd: 25 tot 35 jaar;1996;200;15.7;2.3;48.0;24.0;3.8;2.5;146;11.5;2.1;28.0;19.1;2.2;2.3;1384;2.2;1272;112
139;Leeftijd hoofd: 25 tot 35 jaar;1997;191;14.8;2.2;50.0;26.2;3.9;2.4;136;10.5;2.0;27.0;20.0;2.1;2.3;1387;2.1;1291;96
140;Leeftijd hoofd: 25 tot 35 jaar;1998;178;13.7;2.2;48.0;26.8;3.7;2.4;130;10.0;2.0;26.0;19.8;2.0;2.2;1385;2.1;1293;92
141;Leeftijd hoofd: 25 tot 35 jaar;1999;164;12.8;2.2;43.0;26.3;3.4;2.3;117;9.2;2.0;22.0;18.5;1.7;2.2;1379;2.0;1277;102
142;Leeftijd hoofd: 25 tot 35 jaar;2000;155;12.3;2.2;38.0;24.5;3.0;2.4;114;9.0;2.0;19.0;17.1;1.5;2.3;1360;2.0;1262;98
143;Leeftijd hoofd: 35 tot 45 jaar;1990;160;12.5;2.8;;;;;118;9.2;2.5;;;;;1318;3.3;1279;39
144;Leeftijd hoofd: 35 tot 45 jaar;1991;162;12.8;2.9;;;;;119;9.4;2.6;;;;;1301;3.3;1266;35
145;Leeftijd hoofd: 35 tot 45 jaar;1992;162;12.8;2.9;61.0;37.7;4.8;2.7;116;9.2;2.6;36.0;31.2;2.9;2.3;1296;3.2;1260;36
146;Leeftijd hoofd: 35 tot 45 jaar;1993;166;13.1;2.9;62.0;37.3;4.9;2.7;117;9.3;2.7;37.0;31.8;3.0;2.3;1299;3.2;1264;35
147;Leeftijd hoofd: 35 tot 45 jaar;1994;174;13.7;2.9;63.0;36.4;5.0;2.8;122;9.5;2.7;39.0;31.6;3.0;2.4;1311;3.2;1275;36
148;Leeftijd hoofd: 35 tot 45 jaar;1995;176;13.6;2.8;71.0;40.3;5.5;2.8;124;9.5;2.7;44.0;35.8;3.4;2.5;1339;3.2;1297;42
149;Leeftijd hoofd: 35 tot 45 jaar;1996;187;14.2;2.8;74.0;39.4;5.6;2.8;129;9.8;2.7;40.0;31.3;3.1;2.5;1360;3.2;1321;39
150;Leeftijd hoofd: 35 tot 45 jaar;1997;184;13.7;2.8;73.0;39.4;5.4;2.7;131;9.7;2.6;42.0;32.1;3.1;2.5;1381;3.1;1345;36
151;Leeftijd hoofd: 35 tot 45 jaar;1998;169;12.4;2.8;63.0;37.4;4.6;2.8;125;9.1;2.6;38.0;30.8;2.8;2.5;1402;3.1;1370;32
152;Leeftijd hoofd: 35 tot 45 jaar;1999;159;11.6;2.9;58.0;36.5;4.2;2.8;120;8.8;2.7;35.0;29.1;2.5;2.6;1414;3.1;1372;42
153;Leeftijd hoofd: 35 tot 45 jaar;2000;154;11.0;2.8;54.0;35.3;3.9;2.7;121;8.7;2.7;34.0;28.3;2.5;2.5;1440;3.1;1398;42
154;Leeftijd hoofd: 45 tot 55 jaar;1990;90;9.5;2.4;;;;;76;8.0;2.3;;;;;972;3.0;945;27
155;Leeftijd hoofd: 45 tot 55 jaar;1991;96;9.5;2.4;;;;;79;7.8;2.3;;;;;1037;3.0;1009;28
156;Leeftijd hoofd: 45 tot 55 jaar;1992;103;9.7;2.4;39.0;38.1;3.7;2.2;88;8.3;2.4;28.0;31.5;2.6;1.9;1093;2.9;1066;27
157;Leeftijd hoofd: 45 tot 55 jaar;1993;110;10.0;2.4;42.0;38.5;3.8;2.2;90;8.2;2.4;30.0;32.8;2.7;2.1;1134;2.9;1104;30
158;Leeftijd hoofd: 45 tot 55 jaar;1994;118;10.4;2.4;47.0;39.8;4.1;2.2;89;7.8;2.4;32.0;35.4;2.8;2.0;1168;2.9;1137;31
159;Leeftijd hoofd: 45 tot 55 jaar;1995;118;10.1;2.3;50.0;42.1;4.2;2.2;92;7.8;2.2;34.0;36.6;2.9;2.0;1204;2.9;1174;30
