ID;BedrijfstakkenBranchesSBI2008;Perioden;ArbeidskostenPerGewerktUur_1;ArbeidskostenPerVoltijdeenheid_2;TotaalOpbouwArbeidskosten_3;Lonen_4;DirectLoonEnBijzondereBeloningen_5;SocialePremies_6;OverigeKosten_7
86;O-Q Overheid en zorg;2016;39.98;61.5;100;74.0;65.2;22.4;3.6
87;O-Q Overheid en zorg;2020;43.91;68.4;100;74.6;66.2;23.5;1.9
88;O-U Niet-commerciële dienstverlening;2008;32.96;50.8;100;73.9;64.7;22.5;3.6
89;O-U Niet-commerciële dienstverlening;2012;36.3;56.9;100;73.8;64.8;23.3;2.9
90;O-U Niet-commerciële dienstverlening;2016;39.14;60.7;100;74.2;65.3;22.2;3.6
91;O-U Niet-commerciële dienstverlening;2020;43.15;67.2;100;75.1;66.5;23.4;1.6
92;O Openbaar bestuur en overheidsdiensten;2008;38.95;61.8;100;69.8;62.0;25.9;4.3
93;O Openbaar bestuur en overheidsdiensten;2012;42.27;68.2;100;70.0;63.2;27.1;2.9
94;O Openbaar bestuur en overheidsdiensten;2016;44.56;70.8;100;72.1;64.9;24.0;3.9
95;O Openbaar bestuur en overheidsdiensten;2020;48.19;79.3;100;71.0;64.5;25.2;3.8
96;P Onderwijs;2008;36.58;56.2;100;73.6;63.6;22.0;4.4
97;P Onderwijs;2012;40.93;62.2;100;73.9;64.6;23.5;2.6
98;P Onderwijs;2016;43.29;65.6;100;74.6;64.8;22.3;3.2
99;P Onderwijs;2020;47.15;73.0;100;72.8;64.3;24.2;3.0
100;Q Gezondheids- en welzijnszorg;2008;29.38;44.1;100;76.4;66.7;20.7;2.9
101;Q Gezondheids- en welzijnszorg;2012;32.57;50.3;100;75.7;65.8;21.2;3.1
102;Q Gezondheids- en welzijnszorg;2016;36.13;55.0;100;75.0;65.7;21.4;3.6
103;Q Gezondheids- en welzijnszorg;2020;40.28;61.2;100;77.7;68.2;22.1;0.2
104;R-U Cultuur, recreatie, overige diensten;2008;26.42;42.9;100;78.2;67.8;19.5;2.4
105;R-U Cultuur, recreatie, overige diensten;2012;29.87;49.5;100;77.1;65.9;20.3;2.6
106;R-U Cultuur, recreatie, overige diensten;2016;31.15;52.0;100;76.4;65.7;20.2;3.4
107;R-U Cultuur, recreatie, overige diensten;2020;35.05;54.6;100;81.4;70.6;21.6;-3.0
108;R Cultuur, sport en recreatie;2008;26.97;44.5;100;78.6;68.4;18.8;2.6
109;R Cultuur, sport en recreatie;2012;29.34;49.5;100;78.2;67.1;19.2;2.6
110;R Cultuur, sport en recreatie;2016;30.26;51.0;100;76.9;66.3;19.7;3.5
111;R Cultuur, sport en recreatie;2020;35.38;51.3;100;85.2;74.0;21.9;-7.1
112;S Overige dienstverlening;2008;26.01;41.8;100;77.8;67.4;19.9;2.2
113;S Overige dienstverlening;2012;30.28;49.6;100;76.2;64.9;21.2;2.6
114;S Overige dienstverlening;2016;31.91;52.7;100;76.1;65.3;20.6;3.3
115;S Overige dienstverlening;2020;34.8;57.4;100;78.4;68.0;21.4;0.2
