ID;Bedrijfsgroep;Positie;Geslacht;Nationaliteit;Personen_1
118;3;Positie C;Totaal mannen en vrouwen;Onbekende nationaliteit;20
119;3;Positie C;Mannen;Totaal van alle nationaliteiten;52781
120;3;Positie C;Mannen;Nederland;50580
121;3;Positie C;Mannen;Totaal van alle vreemde nationaliteiten;2201
122;3;Positie C;Mannen;Duitschland;1523
123;3;Positie C;Mannen;België;233
124;3;Positie C;Mannen;Groot Britannië en Noord Ierland;53
125;3;Positie C;Mannen;Frankrijk;34
126;3;Positie C;Mannen;Italië;24
127;3;Positie C;Mannen;Zwitserland;21
128;3;Positie C;Mannen;Oostenrijk;59
129;3;Positie C;Mannen;Hongarije;14
130;3;Positie C;Mannen;Rusland;9
131;3;Positie C;Mannen;Polen;17
132;3;Positie C;Mannen;Tsjechoslowakije;28
133;3;Positie C;Mannen;Andere nationaliteit;40
134;3;Positie C;Mannen;Geen nationaliteit;127
135;3;Positie C;Mannen;Onbekende nationaliteit;19
136;3;Positie C;Vrouwen;Totaal van alle nationaliteiten;6242
137;3;Positie C;Vrouwen;Nederland;6040
138;3;Positie C;Vrouwen;Totaal van alle vreemde nationaliteiten;202
139;3;Positie C;Vrouwen;Duitschland;120
140;3;Positie C;Vrouwen;België;29
141;3;Positie C;Vrouwen;Groot Britannië en Noord Ierland;2
142;3;Positie C;Vrouwen;Frankrijk;5
143;3;Positie C;Vrouwen;Italië;2
144;3;Positie C;Vrouwen;Zwitserland;0
145;3;Positie C;Vrouwen;Oostenrijk;13
146;3;Positie C;Vrouwen;Hongarije;1
147;3;Positie C;Vrouwen;Rusland;0
148;3;Positie C;Vrouwen;Polen;1
149;3;Positie C;Vrouwen;Tsjechoslowakije;6
150;3;Positie C;Vrouwen;Andere nationaliteit;4
151;3;Positie C;Vrouwen;Geen nationaliteit;18
152;3;Positie C;Vrouwen;Onbekende nationaliteit;1
153;4;Positie A;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;165089
154;4;Positie A;Totaal mannen en vrouwen;Nederland;161711
155;4;Positie A;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;3378
156;4;Positie A;Totaal mannen en vrouwen;Duitschland;1649
157;4;Positie A;Totaal mannen en vrouwen;België;684
158;4;Positie A;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;23
159;4;Positie A;Totaal mannen en vrouwen;Frankrijk;30
160;4;Positie A;Totaal mannen en vrouwen;Italië;160
161;4;Positie A;Totaal mannen en vrouwen;Zwitserland;35
162;4;Positie A;Totaal mannen en vrouwen;Oostenrijk;96
163;4;Positie A;Totaal mannen en vrouwen;Hongarije;49
164;4;Positie A;Totaal mannen en vrouwen;Rusland;38
165;4;Positie A;Totaal mannen en vrouwen;Polen;118
166;4;Positie A;Totaal mannen en vrouwen;Tsjechoslowakije;49
167;4;Positie A;Totaal mannen en vrouwen;Andere nationaliteit;72
168;4;Positie A;Totaal mannen en vrouwen;Geen nationaliteit;345
169;4;Positie A;Totaal mannen en vrouwen;Onbekende nationaliteit;30
170;4;Positie A;Mannen;Totaal van alle nationaliteiten;150571
171;4;Positie A;Mannen;Nederland;147796
172;4;Positie A;Mannen;Totaal van alle vreemde nationaliteiten;2775
173;4;Positie A;Mannen;Duitschland;1311
174;4;Positie A;Mannen;België;591
175;4;Positie A;Mannen;Groot Britannië en Noord Ierland;16
176;4;Positie A;Mannen;Frankrijk;22
177;4;Positie A;Mannen;Italië;154
178;4;Positie A;Mannen;Zwitserland;32
179;4;Positie A;Mannen;Oostenrijk;58
180;4;Positie A;Mannen;Hongarije;28
181;4;Positie A;Mannen;Rusland;33
182;4;Positie A;Mannen;Polen;97
183;4;Positie A;Mannen;Tsjechoslowakije;38
184;4;Positie A;Mannen;Andere nationaliteit;56
185;4;Positie A;Mannen;Geen nationaliteit;313
186;4;Positie A;Mannen;Onbekende nationaliteit;26
187;4;Positie A;Vrouwen;Totaal van alle nationaliteiten;14518
188;4;Positie A;Vrouwen;Nederland;13915
189;4;Positie A;Vrouwen;Totaal van alle vreemde nationaliteiten;603
190;4;Positie A;Vrouwen;Duitschland;338
191;4;Positie A;Vrouwen;België;93
192;4;Positie A;Vrouwen;Groot Britannië en Noord Ierland;7
193;4;Positie A;Vrouwen;Frankrijk;8
194;4;Positie A;Vrouwen;Italië;6
195;4;Positie A;Vrouwen;Zwitserland;3
196;4;Positie A;Vrouwen;Oostenrijk;38
197;4;Positie A;Vrouwen;Hongarije;21
198;4;Positie A;Vrouwen;Rusland;5
199;4;Positie A;Vrouwen;Polen;21
200;4;Positie A;Vrouwen;Tsjechoslowakije;11
201;4;Positie A;Vrouwen;Andere nationaliteit;16
202;4;Positie A;Vrouwen;Geen nationaliteit;32
203;4;Positie A;Vrouwen;Onbekende nationaliteit;4
204;4;Positie B;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;7540
205;4;Positie B;Totaal mannen en vrouwen;Nederland;7326
206;4;Positie B;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;214
207;4;Positie B;Totaal mannen en vrouwen;Duitschland;135
208;4;Positie B;Totaal mannen en vrouwen;België;24
209;4;Positie B;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;13
210;4;Positie B;Totaal mannen en vrouwen;Frankrijk;2
211;4;Positie B;Totaal mannen en vrouwen;Italië;3
212;4;Positie B;Totaal mannen en vrouwen;Zwitserland;4
213;4;Positie B;Totaal mannen en vrouwen;Oostenrijk;4
214;4;Positie B;Totaal mannen en vrouwen;Hongarije;2
215;4;Positie B;Totaal mannen en vrouwen;Rusland;4
216;4;Positie B;Totaal mannen en vrouwen;Polen;2
217;4;Positie B;Totaal mannen en vrouwen;Tsjechoslowakije;4
218;4;Positie B;Totaal mannen en vrouwen;Andere nationaliteit;10
219;4;Positie B;Totaal mannen en vrouwen;Geen nationaliteit;5
220;4;Positie B;Totaal mannen en vrouwen;Onbekende nationaliteit;2
221;4;Positie B;Mannen;Totaal van alle nationaliteiten;7328
222;4;Positie B;Mannen;Nederland;7132
223;4;Positie B;Mannen;Totaal van alle vreemde nationaliteiten;196
224;4;Positie B;Mannen;Duitschland;120
225;4;Positie B;Mannen;België;22
226;4;Positie B;Mannen;Groot Britannië en Noord Ierland;13
227;4;Positie B;Mannen;Frankrijk;2
228;4;Positie B;Mannen;Italië;3
229;4;Positie B;Mannen;Zwitserland;4
230;4;Positie B;Mannen;Oostenrijk;3
231;4;Positie B;Mannen;Hongarije;2
232;4;Positie B;Mannen;Rusland;4
233;4;Positie B;Mannen;Polen;2
234;4;Positie B;Mannen;Tsjechoslowakije;4
235;4;Positie B;Mannen;Andere nationaliteit;10
236;4;Positie B;Mannen;Geen nationaliteit;5
237;4;Positie B;Mannen;Onbekende nationaliteit;2
238;4;Positie B;Vrouwen;Totaal van alle nationaliteiten;212
239;4;Positie B;Vrouwen;Nederland;194
240;4;Positie B;Vrouwen;Totaal van alle vreemde nationaliteiten;18
241;4;Positie B;Vrouwen;Duitschland;15
242;4;Positie B;Vrouwen;België;2
243;4;Positie B;Vrouwen;Groot Britannië en Noord Ierland;0
244;4;Positie B;Vrouwen;Frankrijk;0
245;4;Positie B;Vrouwen;Italië;0
246;4;Positie B;Vrouwen;Zwitserland;0
247;4;Positie B;Vrouwen;Oostenrijk;1
248;4;Positie B;Vrouwen;Hongarije;0
249;4;Positie B;Vrouwen;Rusland;0
250;4;Positie B;Vrouwen;Polen;0
251;4;Positie B;Vrouwen;Tsjechoslowakije;0
252;4;Positie B;Vrouwen;Andere nationaliteit;0
253;4;Positie B;Vrouwen;Geen nationaliteit;0
254;4;Positie B;Vrouwen;Onbekende nationaliteit;0
255;4;Positie C;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;31467
256;4;Positie C;Totaal mannen en vrouwen;Nederland;29688
257;4;Positie C;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;1779
258;4;Positie C;Totaal mannen en vrouwen;Duitschland;1278
259;4;Positie C;Totaal mannen en vrouwen;België;192
260;4;Positie C;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;34
261;4;Positie C;Totaal mannen en vrouwen;Frankrijk;20
262;4;Positie C;Totaal mannen en vrouwen;Italië;24
263;4;Positie C;Totaal mannen en vrouwen;Zwitserland;15
264;4;Positie C;Totaal mannen en vrouwen;Oostenrijk;57
265;4;Positie C;Totaal mannen en vrouwen;Hongarije;9
266;4;Positie C;Totaal mannen en vrouwen;Rusland;5
267;4;Positie C;Totaal mannen en vrouwen;Polen;14
268;4;Positie C;Totaal mannen en vrouwen;Tsjechoslowakije;24
269;4;Positie C;Totaal mannen en vrouwen;Andere nationaliteit;24
270;4;Positie C;Totaal mannen en vrouwen;Geen nationaliteit;76
271;4;Positie C;Totaal mannen en vrouwen;Onbekende nationaliteit;7
272;4;Positie C;Mannen;Totaal van alle nationaliteiten;29600
273;4;Positie C;Mannen;Nederland;27911
274;4;Positie C;Mannen;Totaal van alle vreemde nationaliteiten;1689
275;4;Positie C;Mannen;Duitschland;1223
276;4;Positie C;Mannen;België;178
277;4;Positie C;Mannen;Groot Britannië en Noord Ierland;33
278;4;Positie C;Mannen;Frankrijk;19
279;4;Positie C;Mannen;Italië;23
280;4;Positie C;Mannen;Zwitserland;15
281;4;Positie C;Mannen;Oostenrijk;51
282;4;Positie C;Mannen;Hongarije;8
283;4;Positie C;Mannen;Rusland;5
284;4;Positie C;Mannen;Polen;13
285;4;Positie C;Mannen;Tsjechoslowakije;20
286;4;Positie C;Mannen;Andere nationaliteit;23
287;4;Positie C;Mannen;Geen nationaliteit;71
288;4;Positie C;Mannen;Onbekende nationaliteit;7
289;4;Positie C;Vrouwen;Totaal van alle nationaliteiten;1867
290;4;Positie C;Vrouwen;Nederland;1777
291;4;Positie C;Vrouwen;Totaal van alle vreemde nationaliteiten;90
292;4;Positie C;Vrouwen;Duitschland;55
293;4;Positie C;Vrouwen;België;14
294;4;Positie C;Vrouwen;Groot Britannië en Noord Ierland;1
295;4;Positie C;Vrouwen;Frankrijk;1
296;4;Positie C;Vrouwen;Italië;1
297;4;Positie C;Vrouwen;Zwitserland;0
298;4;Positie C;Vrouwen;Oostenrijk;6
299;4;Positie C;Vrouwen;Hongarije;1
300;4;Positie C;Vrouwen;Rusland;0
301;4;Positie C;Vrouwen;Polen;1
302;4;Positie C;Vrouwen;Tsjechoslowakije;4
303;4;Positie C;Vrouwen;Andere nationaliteit;1
304;4;Positie C;Vrouwen;Geen nationaliteit;5
305;4;Positie C;Vrouwen;Onbekende nationaliteit;0
306;100;Positie A;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;798
307;100;Positie A;Totaal mannen en vrouwen;Nederland;760
308;100;Positie A;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;38
309;100;Positie A;Totaal mannen en vrouwen;Duitschland;12
310;100;Positie A;Totaal mannen en vrouwen;België;2
311;100;Positie A;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;0
312;100;Positie A;Totaal mannen en vrouwen;Frankrijk;0
313;100;Positie A;Totaal mannen en vrouwen;Italië;21
314;100;Positie A;Totaal mannen en vrouwen;Zwitserland;1
315;100;Positie A;Totaal mannen en vrouwen;Oostenrijk;0
316;100;Positie A;Totaal mannen en vrouwen;Hongarije;0
317;100;Positie A;Totaal mannen en vrouwen;Rusland;0
318;100;Positie A;Totaal mannen en vrouwen;Polen;0
319;100;Positie A;Totaal mannen en vrouwen;Tsjechoslowakije;0
320;100;Positie A;Totaal mannen en vrouwen;Andere nationaliteit;0
321;100;Positie A;Totaal mannen en vrouwen;Geen nationaliteit;2
322;100;Positie A;Totaal mannen en vrouwen;Onbekende nationaliteit;0
323;100;Positie A;Mannen;Totaal van alle nationaliteiten;781
324;100;Positie A;Mannen;Nederland;744
325;100;Positie A;Mannen;Totaal van alle vreemde nationaliteiten;37
326;100;Positie A;Mannen;Duitschland;11
327;100;Positie A;Mannen;België;2
328;100;Positie A;Mannen;Groot Britannië en Noord Ierland;0
329;100;Positie A;Mannen;Frankrijk;0
330;100;Positie A;Mannen;Italië;21
331;100;Positie A;Mannen;Zwitserland;1
332;100;Positie A;Mannen;Oostenrijk;0
333;100;Positie A;Mannen;Hongarije;0
334;100;Positie A;Mannen;Rusland;0
335;100;Positie A;Mannen;Polen;0
336;100;Positie A;Mannen;Tsjechoslowakije;0
337;100;Positie A;Mannen;Andere nationaliteit;0
338;100;Positie A;Mannen;Geen nationaliteit;2
339;100;Positie A;Mannen;Onbekende nationaliteit;0
340;100;Positie A;Vrouwen;Totaal van alle nationaliteiten;17
341;100;Positie A;Vrouwen;Nederland;16
342;100;Positie A;Vrouwen;Totaal van alle vreemde nationaliteiten;1
343;100;Positie A;Vrouwen;Duitschland;1
344;100;Positie A;Vrouwen;België;0
345;100;Positie A;Vrouwen;Groot Britannië en Noord Ierland;0
346;100;Positie A;Vrouwen;Frankrijk;0
347;100;Positie A;Vrouwen;Italië;0
348;100;Positie A;Vrouwen;Zwitserland;0
349;100;Positie A;Vrouwen;Oostenrijk;0
350;100;Positie A;Vrouwen;Hongarije;0
351;100;Positie A;Vrouwen;Rusland;0
352;100;Positie A;Vrouwen;Polen;0
353;100;Positie A;Vrouwen;Tsjechoslowakije;0
354;100;Positie A;Vrouwen;Andere nationaliteit;0
355;100;Positie A;Vrouwen;Geen nationaliteit;0
356;100;Positie A;Vrouwen;Onbekende nationaliteit;0
357;100;Positie B;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;399
358;100;Positie B;Totaal mannen en vrouwen;Nederland;393
359;100;Positie B;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;6
360;100;Positie B;Totaal mannen en vrouwen;Duitschland;1
361;100;Positie B;Totaal mannen en vrouwen;België;2
362;100;Positie B;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;0
363;100;Positie B;Totaal mannen en vrouwen;Frankrijk;1
364;100;Positie B;Totaal mannen en vrouwen;Italië;0
365;100;Positie B;Totaal mannen en vrouwen;Zwitserland;2
366;100;Positie B;Totaal mannen en vrouwen;Oostenrijk;0
367;100;Positie B;Totaal mannen en vrouwen;Hongarije;0
368;100;Positie B;Totaal mannen en vrouwen;Rusland;0
369;100;Positie B;Totaal mannen en vrouwen;Polen;0
370;100;Positie B;Totaal mannen en vrouwen;Tsjechoslowakije;0
371;100;Positie B;Totaal mannen en vrouwen;Andere nationaliteit;0
372;100;Positie B;Totaal mannen en vrouwen;Geen nationaliteit;0
373;100;Positie B;Totaal mannen en vrouwen;Onbekende nationaliteit;0
374;100;Positie B;Mannen;Totaal van alle nationaliteiten;399
375;100;Positie B;Mannen;Nederland;393
376;100;Positie B;Mannen;Totaal van alle vreemde nationaliteiten;6
377;100;Positie B;Mannen;Duitschland;1
378;100;Positie B;Mannen;België;2
379;100;Positie B;Mannen;Groot Britannië en Noord Ierland;0
380;100;Positie B;Mannen;Frankrijk;1
381;100;Positie B;Mannen;Italië;0
382;100;Positie B;Mannen;Zwitserland;2
383;100;Positie B;Mannen;Oostenrijk;0
384;100;Positie B;Mannen;Hongarije;0
385;100;Positie B;Mannen;Rusland;0
386;100;Positie B;Mannen;Polen;0
387;100;Positie B;Mannen;Tsjechoslowakije;0
388;100;Positie B;Mannen;Andere nationaliteit;0
389;100;Positie B;Mannen;Geen nationaliteit;0
390;100;Positie B;Mannen;Onbekende nationaliteit;0
391;100;Positie B;Vrouwen;Totaal van alle nationaliteiten;0
392;100;Positie B;Vrouwen;Nederland;0
393;100;Positie B;Vrouwen;Totaal van alle vreemde nationaliteiten;0
394;100;Positie B;Vrouwen;Duitschland;0
395;100;Positie B;Vrouwen;België;0
396;100;Positie B;Vrouwen;Groot Britannië en Noord Ierland;0
397;100;Positie B;Vrouwen;Frankrijk;0
398;100;Positie B;Vrouwen;Italië;0
399;100;Positie B;Vrouwen;Zwitserland;0
400;100;Positie B;Vrouwen;Oostenrijk;0
401;100;Positie B;Vrouwen;Hongarije;0
402;100;Positie B;Vrouwen;Rusland;0
403;100;Positie B;Vrouwen;Polen;0
404;100;Positie B;Vrouwen;Tsjechoslowakije;0
405;100;Positie B;Vrouwen;Andere nationaliteit;0
406;100;Positie B;Vrouwen;Geen nationaliteit;0
407;100;Positie B;Vrouwen;Onbekende nationaliteit;0
408;100;Positie C;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;1269
409;100;Positie C;Totaal mannen en vrouwen;Nederland;1190
410;100;Positie C;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;79
411;100;Positie C;Totaal mannen en vrouwen;Duitschland;35
412;100;Positie C;Totaal mannen en vrouwen;België;27
413;100;Positie C;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;0
414;100;Positie C;Totaal mannen en vrouwen;Frankrijk;4
415;100;Positie C;Totaal mannen en vrouwen;Italië;2
416;100;Positie C;Totaal mannen en vrouwen;Zwitserland;3
417;100;Positie C;Totaal mannen en vrouwen;Oostenrijk;6
418;100;Positie C;Totaal mannen en vrouwen;Hongarije;0
419;100;Positie C;Totaal mannen en vrouwen;Rusland;0
420;100;Positie C;Totaal mannen en vrouwen;Polen;0
421;100;Positie C;Totaal mannen en vrouwen;Tsjechoslowakije;0
422;100;Positie C;Totaal mannen en vrouwen;Andere nationaliteit;0
423;100;Positie C;Totaal mannen en vrouwen;Geen nationaliteit;2
424;100;Positie C;Totaal mannen en vrouwen;Onbekende nationaliteit;0
425;100;Positie C;Mannen;Totaal van alle nationaliteiten;1269
426;100;Positie C;Mannen;Nederland;1190
427;100;Positie C;Mannen;Totaal van alle vreemde nationaliteiten;79
428;100;Positie C;Mannen;Duitschland;35
429;100;Positie C;Mannen;België;27
430;100;Positie C;Mannen;Groot Britannië en Noord Ierland;0
431;100;Positie C;Mannen;Frankrijk;4
432;100;Positie C;Mannen;Italië;2
433;100;Positie C;Mannen;Zwitserland;3
434;100;Positie C;Mannen;Oostenrijk;6
435;100;Positie C;Mannen;Hongarije;0
436;100;Positie C;Mannen;Rusland;0
437;100;Positie C;Mannen;Polen;0
438;100;Positie C;Mannen;Tsjechoslowakije;0
439;100;Positie C;Mannen;Andere nationaliteit;0
440;100;Positie C;Mannen;Geen nationaliteit;2
441;100;Positie C;Mannen;Onbekende nationaliteit;0
442;100;Positie C;Vrouwen;Totaal van alle nationaliteiten;0
443;100;Positie C;Vrouwen;Nederland;0
444;100;Positie C;Vrouwen;Totaal van alle vreemde nationaliteiten;0
445;100;Positie C;Vrouwen;Duitschland;0
446;100;Positie C;Vrouwen;België;0
447;100;Positie C;Vrouwen;Groot Britannië en Noord Ierland;0
448;100;Positie C;Vrouwen;Frankrijk;0
449;100;Positie C;Vrouwen;Italië;0
450;100;Positie C;Vrouwen;Zwitserland;0
451;100;Positie C;Vrouwen;Oostenrijk;0
452;100;Positie C;Vrouwen;Hongarije;0
453;100;Positie C;Vrouwen;Rusland;0
454;100;Positie C;Vrouwen;Polen;0
455;100;Positie C;Vrouwen;Tsjechoslowakije;0
456;100;Positie C;Vrouwen;Andere nationaliteit;0
457;100;Positie C;Vrouwen;Geen nationaliteit;0
458;100;Positie C;Vrouwen;Onbekende nationaliteit;0
459;101;Positie A;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;170
460;101;Positie A;Totaal mannen en vrouwen;Nederland;169
461;101;Positie A;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;1
462;101;Positie A;Totaal mannen en vrouwen;Duitschland;1
463;101;Positie A;Totaal mannen en vrouwen;België;0
464;101;Positie A;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;0
465;101;Positie A;Totaal mannen en vrouwen;Frankrijk;0
466;101;Positie A;Totaal mannen en vrouwen;Italië;0
467;101;Positie A;Totaal mannen en vrouwen;Zwitserland;0
468;101;Positie A;Totaal mannen en vrouwen;Oostenrijk;0
469;101;Positie A;Totaal mannen en vrouwen;Hongarije;0
470;101;Positie A;Totaal mannen en vrouwen;Rusland;0
471;101;Positie A;Totaal mannen en vrouwen;Polen;0
472;101;Positie A;Totaal mannen en vrouwen;Tsjechoslowakije;0
473;101;Positie A;Totaal mannen en vrouwen;Andere nationaliteit;0
474;101;Positie A;Totaal mannen en vrouwen;Geen nationaliteit;0
475;101;Positie A;Totaal mannen en vrouwen;Onbekende nationaliteit;0
476;101;Positie A;Mannen;Totaal van alle nationaliteiten;170
477;101;Positie A;Mannen;Nederland;169
478;101;Positie A;Mannen;Totaal van alle vreemde nationaliteiten;1
479;101;Positie A;Mannen;Duitschland;1
480;101;Positie A;Mannen;België;0
481;101;Positie A;Mannen;Groot Britannië en Noord Ierland;0
482;101;Positie A;Mannen;Frankrijk;0
483;101;Positie A;Mannen;Italië;0
484;101;Positie A;Mannen;Zwitserland;0
485;101;Positie A;Mannen;Oostenrijk;0
486;101;Positie A;Mannen;Hongarije;0
487;101;Positie A;Mannen;Rusland;0
