ID;SBI93;Perioden;BanenVanWerknemersTotaal_1;MannelijkeWerknemers_2;VrouwelijkeWerknemers_3
62;012 Fokken en houden van dieren;2009 december voorlopig;11.9;8.6;3.3
63;0121 Fokken en houden van rundvee;2006 december voorlopig;5.4;4.1;1.3
64;0121 Fokken en houden van rundvee;2006 december nader voorlopig;5.7;4.3;1.3
65;0121 Fokken en houden van rundvee;2007 december voorlopig;6.2;4.7;1.5
66;0121 Fokken en houden van rundvee;2007 december nader voorlopig;6.1;4.6;1.6
67;0121 Fokken en houden van rundvee;2008 december voorlopig;6.8;5.0;1.7
68;0121 Fokken en houden van rundvee;2008 december nader voorlopig;6.9;5.2;1.7
69;0121 Fokken en houden van rundvee;2009 december voorlopig;6.3;4.8;1.6
70;0122 Fokken en houden van overige ..;2006 december voorlopig;0.7;0.3;0.3
71;0122 Fokken en houden van overige ..;2006 december nader voorlopig;0.7;0.3;0.3
72;0122 Fokken en houden van overige ..;2007 december voorlopig;0.8;0.4;0.4
73;0122 Fokken en houden van overige ..;2007 december nader voorlopig;0.8;0.4;0.4
74;0122 Fokken en houden van overige ..;2008 december voorlopig;0.8;0.3;0.4
75;0122 Fokken en houden van overige ..;2008 december nader voorlopig;0.7;0.3;0.4
76;0122 Fokken en houden van overige ..;2009 december voorlopig;0.7;0.3;0.4
77;0123 Fokken en houden van varkens;2006 december voorlopig;1.2;1.0;0.2
78;0123 Fokken en houden van varkens;2006 december nader voorlopig;1.2;1.0;0.2
79;0123 Fokken en houden van varkens;2007 december voorlopig;1.3;1.0;0.2
80;0123 Fokken en houden van varkens;2007 december nader voorlopig;1.3;1.0;0.3
81;0123 Fokken en houden van varkens;2008 december voorlopig;1.2;1.0;0.3
82;0123 Fokken en houden van varkens;2008 december nader voorlopig;1.2;1.0;0.3
83;0123 Fokken en houden van varkens;2009 december voorlopig;1.3;1.0;0.3
84;0124 Fokken en houden van pluimvee;2006 december voorlopig;2.1;1.5;0.6
85;0124 Fokken en houden van pluimvee;2006 december nader voorlopig;2.1;1.5;0.5
86;0124 Fokken en houden van pluimvee;2007 december voorlopig;2.3;1.6;0.6
87;0124 Fokken en houden van pluimvee;2007 december nader voorlopig;2.2;1.6;0.6
88;0124 Fokken en houden van pluimvee;2008 december voorlopig;2.1;1.5;0.6
89;0124 Fokken en houden van pluimvee;2008 december nader voorlopig;2.0;1.4;0.5
90;0124 Fokken en houden van pluimvee;2009 december voorlopig;2.1;1.5;0.6
91;0125 Fokken en houden van overige dieren;2006 december voorlopig;1.3;0.9;0.4
92;0125 Fokken en houden van overige dieren;2006 december nader voorlopig;1.3;0.9;0.4
93;0125 Fokken en houden van overige dieren;2007 december voorlopig;1.4;1.0;0.4
94;0125 Fokken en houden van overige dieren;2007 december nader voorlopig;1.4;0.9;0.5
95;0125 Fokken en houden van overige dieren;2008 december voorlopig;1.4;0.9;0.5
96;0125 Fokken en houden van overige dieren;2008 december nader voorlopig;1.4;0.9;0.5
97;0125 Fokken en houden van overige dieren;2009 december voorlopig;1.4;0.9;0.5
98;013 Akker- en/of tuinbouw in ..;2006 december voorlopig;1.9;1.3;0.5
99;013 Akker- en/of tuinbouw in ..;2006 december nader voorlopig;1.9;1.3;0.5
100;013 Akker- en/of tuinbouw in ..;2007 december voorlopig;1.9;1.3;0.5
101;013 Akker- en/of tuinbouw in ..;2007 december nader voorlopig;1.9;1.3;0.6
102;013 Akker- en/of tuinbouw in ..;2008 december voorlopig;1.8;1.3;0.6
103;013 Akker- en/of tuinbouw in ..;2008 december nader voorlopig;1.7;1.2;0.5
104;013 Akker- en/of tuinbouw in ..;2009 december voorlopig;1.9;1.3;0.5
105;014 Hoveniersbedrijven en ..;2006 december voorlopig;35.9;31.2;4.7
106;014 Hoveniersbedrijven en ..;2006 december nader voorlopig;35.8;31.4;4.4
107;014 Hoveniersbedrijven en ..;2007 december voorlopig;36.2;31.6;4.6
108;014 Hoveniersbedrijven en ..;2007 december nader voorlopig;36.1;31.3;4.8
109;014 Hoveniersbedrijven en ..;2008 december voorlopig;34.8;30.2;4.5
110;014 Hoveniersbedrijven en ..;2008 december nader voorlopig;34.0;29.7;4.3
111;014 Hoveniersbedrijven en ..;2009 december voorlopig;34.9;30.3;4.6
112;0141 Hoveniersbedrijven en ..;2006 december voorlopig;33.2;29.1;4.1
113;0141 Hoveniersbedrijven en ..;2006 december nader voorlopig;33.2;29.3;3.9
114;0141 Hoveniersbedrijven en ..;2007 december voorlopig;33.8;29.7;4.1
115;0141 Hoveniersbedrijven en ..;2007 december nader voorlopig;33.7;29.4;4.3
116;0141 Hoveniersbedrijven en ..;2008 december voorlopig;33.7;29.4;4.4
117;0141 Hoveniersbedrijven en ..;2008 december nader voorlopig;33.0;28.8;4.2
118;0141 Hoveniersbedrijven en ..;2009 december voorlopig;33.7;29.3;4.4
119;01411 Hoveniersbedrijven;2006 december voorlopig;15.0;13.5;1.5
120;01411 Hoveniersbedrijven;2006 december nader voorlopig;15.0;13.6;1.5
121;01411 Hoveniersbedrijven;2007 december voorlopig;16.0;14.4;1.6
122;01411 Hoveniersbedrijven;2007 december nader voorlopig;16.0;14.3;1.7
123;01411 Hoveniersbedrijven;2008 december voorlopig;16.7;15.0;1.7
124;01411 Hoveniersbedrijven;2008 december nader voorlopig;16.4;14.7;1.6
125;01411 Hoveniersbedrijven;2009 december voorlopig;16.1;14.5;1.6
126;01412 Dienstverlening voor de akker- ..;2006 december voorlopig;18.2;15.6;2.6
127;01412 Dienstverlening voor de akker- ..;2006 december nader voorlopig;18.2;15.7;2.5
128;01412 Dienstverlening voor de akker- ..;2007 december voorlopig;17.7;15.2;2.5
129;01412 Dienstverlening voor de akker- ..;2007 december nader voorlopig;17.6;15.0;2.6
130;01412 Dienstverlening voor de akker- ..;2008 december voorlopig;17.1;14.4;2.7
131;01412 Dienstverlening voor de akker- ..;2008 december nader voorlopig;16.6;14.1;2.5
132;01412 Dienstverlening voor de akker- ..;2009 december voorlopig;17.6;14.8;2.8
133;0142 Dienstverlening voor het fokken ..;2006 december voorlopig;2.6;2.1;0.5
134;0142 Dienstverlening voor het fokken ..;2006 december nader voorlopig;2.6;2.1;0.5
135;0142 Dienstverlening voor het fokken ..;2007 december voorlopig;2.5;2.0;0.5
136;0142 Dienstverlening voor het fokken ..;2007 december nader voorlopig;2.4;2.0;0.5
137;0142 Dienstverlening voor het fokken ..;2008 december voorlopig;1.0;0.9;0.2
138;0142 Dienstverlening voor het fokken ..;2008 december nader voorlopig;1.0;0.9;0.2
139;0142 Dienstverlening voor het fokken ..;2009 december voorlopig;1.3;1.1;0.2
140;015 Jacht;2006 december voorlopig;0.0;0.0;0.0
141;015 Jacht;2006 december nader voorlopig;0.0;0.0;0.0
142;015 Jacht;2007 december voorlopig;0.0;0.0;0.0
143;015 Jacht;2007 december nader voorlopig;0.0;0.0;0.0
144;015 Jacht;2008 december voorlopig;0.0;0.0;0.0
145;015 Jacht;2008 december nader voorlopig;0.0;0.0;0.0
146;015 Jacht;2009 december voorlopig;0.0;0.0;0.0
147;02 Bosbouw en dienstverlening voor ..;2006 december voorlopig;1.3;1.0;0.3
148;02 Bosbouw en dienstverlening voor ..;2006 december nader voorlopig;1.3;1.0;0.3
149;02 Bosbouw en dienstverlening voor ..;2007 december voorlopig;1.3;1.0;0.3
150;02 Bosbouw en dienstverlening voor ..;2007 december nader voorlopig;1.3;1.0;0.3
151;02 Bosbouw en dienstverlening voor ..;2008 december voorlopig;1.3;0.9;0.4
152;02 Bosbouw en dienstverlening voor ..;2008 december nader voorlopig;1.3;0.9;0.4
153;02 Bosbouw en dienstverlening voor ..;2009 december voorlopig;1.3;0.9;0.4
154;05 Visserij, kweken van vis en ..;2006 december voorlopig;1.1;0.9;0.2
155;05 Visserij, kweken van vis en ..;2006 december nader voorlopig;1.1;0.9;0.2
156;05 Visserij, kweken van vis en ..;2007 december voorlopig;1.2;1.0;0.2
157;05 Visserij, kweken van vis en ..;2007 december nader voorlopig;1.2;1.0;0.2
158;05 Visserij, kweken van vis en ..;2008 december voorlopig;1.2;0.9;0.2
159;05 Visserij, kweken van vis en ..;2008 december nader voorlopig;1.1;0.9;0.2
160;05 Visserij, kweken van vis en ..;2009 december voorlopig;1.1;0.9;0.2
161;0501 Visserij;2006 december voorlopig;0.7;0.6;0.1
162;0501 Visserij;2006 december nader voorlopig;0.7;0.6;0.1
163;0501 Visserij;2007 december voorlopig;0.8;0.7;0.1
164;0501 Visserij;2007 december nader voorlopig;0.8;0.7;0.1
165;0501 Visserij;2008 december voorlopig;0.8;0.7;0.1
166;0501 Visserij;2008 december nader voorlopig;0.8;0.6;0.1
167;0501 Visserij;2009 december voorlopig;0.8;0.7;0.1
168;05011 Zee- en kustvisserij;2006 december voorlopig;0.7;0.6;0.1
169;05011 Zee- en kustvisserij;2006 december nader voorlopig;0.7;0.6;0.1
170;05011 Zee- en kustvisserij;2007 december voorlopig;0.8;0.7;0.1
171;05011 Zee- en kustvisserij;2007 december nader voorlopig;0.8;0.7;0.1
172;05011 Zee- en kustvisserij;2008 december voorlopig;0.8;0.6;0.1
173;05011 Zee- en kustvisserij;2008 december nader voorlopig;0.7;0.6;0.1
174;05011 Zee- en kustvisserij;2009 december voorlopig;0.7;0.6;0.1
175;05012 Binnenvisserij;2006 december voorlopig;0.0;0.0;0.0
176;05012 Binnenvisserij;2006 december nader voorlopig;0.0;0.0;0.0
177;05012 Binnenvisserij;2007 december voorlopig;0.0;0.0;0.0
178;05012 Binnenvisserij;2007 december nader voorlopig;0.0;0.0;0.0
179;05012 Binnenvisserij;2008 december voorlopig;0.1;0.0;0.0
180;05012 Binnenvisserij;2008 december nader voorlopig;0.1;0.0;0.0
181;05012 Binnenvisserij;2009 december voorlopig;0.1;0.0;0.0
182;0502 Kweken van vis en schaaldieren;2006 december voorlopig;0.4;0.3;0.1
183;0502 Kweken van vis en schaaldieren;2006 december nader voorlopig;0.4;0.3;0.1
184;0502 Kweken van vis en schaaldieren;2007 december voorlopig;0.4;0.3;0.1
185;0502 Kweken van vis en schaaldieren;2007 december nader voorlopig;0.4;0.3;0.1
186;0502 Kweken van vis en schaaldieren;2008 december voorlopig;0.3;0.3;0.1
187;0502 Kweken van vis en schaaldieren;2008 december nader voorlopig;0.3;0.3;0.1
188;0502 Kweken van vis en schaaldieren;2009 december voorlopig;0.4;0.3;0.1
189;C Winning van delfstoffen;2006 december voorlopig;7.5;6.4;1.1
190;C Winning van delfstoffen;2006 december nader voorlopig;7.5;6.5;1.0
191;C Winning van delfstoffen;2007 december voorlopig;7.6;6.6;1.0
192;C Winning van delfstoffen;2007 december nader voorlopig;7.5;6.5;1.0
193;C Winning van delfstoffen;2008 december voorlopig;7.6;6.6;1.1
194;C Winning van delfstoffen;2008 december nader voorlopig;7.8;6.7;1.1
195;C Winning van delfstoffen;2009 december voorlopig;7.8;6.7;1.1
196;10 Turfwinning;2006 december voorlopig;0.0;0.0;0.0
197;10 Turfwinning;2006 december nader voorlopig;0.0;0.0;0.0
198;10 Turfwinning;2007 december voorlopig;0.0;0.0;0.0
199;10 Turfwinning;2007 december nader voorlopig;0.0;0.0;0.0
200;10 Turfwinning;2008 december voorlopig;0.0;0.0;0.0
201;10 Turfwinning;2008 december nader voorlopig;0.0;0.0;0.0
202;10 Turfwinning;2009 december voorlopig;0.0;0.0;0.0
203;11 Aardolie- en aardgaswinning en ..;2006 december voorlopig;5.3;4.5;0.8
204;11 Aardolie- en aardgaswinning en ..;2006 december nader voorlopig;5.2;4.5;0.7
205;11 Aardolie- en aardgaswinning en ..;2007 december voorlopig;5.3;4.6;0.8
206;11 Aardolie- en aardgaswinning en ..;2007 december nader voorlopig;5.3;4.5;0.7
207;11 Aardolie- en aardgaswinning en ..;2008 december voorlopig;5.4;4.6;0.8
208;11 Aardolie- en aardgaswinning en ..;2008 december nader voorlopig;5.6;4.8;0.8
209;11 Aardolie- en aardgaswinning en ..;2009 december voorlopig;5.7;4.8;0.9
210;111 Aardolie- en aardgaswinning;2006 december voorlopig;2.8;2.4;0.4
211;111 Aardolie- en aardgaswinning;2006 december nader voorlopig;2.9;2.5;0.4
212;111 Aardolie- en aardgaswinning;2007 december voorlopig;2.8;2.4;0.4
213;111 Aardolie- en aardgaswinning;2007 december nader voorlopig;2.8;2.4;0.4
214;111 Aardolie- en aardgaswinning;2008 december voorlopig;3.0;2.6;0.5
215;111 Aardolie- en aardgaswinning;2008 december nader voorlopig;3.0;2.5;0.5
216;111 Aardolie- en aardgaswinning;2009 december voorlopig;3.1;2.6;0.5
217;112 Dienstverlening voor de aardolie- ..;2006 december voorlopig;2.5;2.1;0.4
218;112 Dienstverlening voor de aardolie- ..;2006 december nader voorlopig;2.4;2.1;0.3
219;112 Dienstverlening voor de aardolie- ..;2007 december voorlopig;2.5;2.2;0.3
220;112 Dienstverlening voor de aardolie- ..;2007 december nader voorlopig;2.4;2.1;0.3
221;112 Dienstverlening voor de aardolie- ..;2008 december voorlopig;2.3;2.0;0.3
222;112 Dienstverlening voor de aardolie- ..;2008 december nader voorlopig;2.6;2.3;0.4
223;112 Dienstverlening voor de aardolie- ..;2009 december voorlopig;2.5;2.2;0.4
224;14 Winning van zand, grind, klei, ..;2006 december voorlopig;2.1;1.8;0.3
225;14 Winning van zand, grind, klei, ..;2006 december nader voorlopig;2.2;2.0;0.3
226;14 Winning van zand, grind, klei, ..;2007 december voorlopig;2.2;2.0;0.2
227;14 Winning van zand, grind, klei, ..;2007 december nader voorlopig;2.2;1.9;0.2
228;14 Winning van zand, grind, klei, ..;2008 december voorlopig;2.2;1.9;0.3
229;14 Winning van zand, grind, klei, ..;2008 december nader voorlopig;2.2;1.9;0.3
230;14 Winning van zand, grind, klei, ..;2009 december voorlopig;2.1;1.8;0.3
231;142 Zand-, grind- en kleiwinning;2006 december voorlopig;1.1;1.0;0.1
232;142 Zand-, grind- en kleiwinning;2006 december nader voorlopig;1.0;0.9;0.1
233;142 Zand-, grind- en kleiwinning;2007 december voorlopig;1.0;0.8;0.1
234;142 Zand-, grind- en kleiwinning;2007 december nader voorlopig;0.9;0.8;0.1
235;142 Zand-, grind- en kleiwinning;2008 december voorlopig;0.9;0.8;0.1
236;142 Zand-, grind- en kleiwinning;2008 december nader voorlopig;0.9;0.8;0.1
237;142 Zand-, grind- en kleiwinning;2009 december voorlopig;0.9;0.7;0.1
238;1421 Zand- en grindwinning;2006 december voorlopig;1.0;0.9;0.1
239;1421 Zand- en grindwinning;2006 december nader voorlopig;0.9;0.8;0.1
240;1421 Zand- en grindwinning;2007 december voorlopig;0.8;0.7;0.1
241;1421 Zand- en grindwinning;2007 december nader voorlopig;0.8;0.7;0.1
242;1421 Zand- en grindwinning;2008 december voorlopig;0.8;0.7;0.1
243;1421 Zand- en grindwinning;2008 december nader voorlopig;0.8;0.7;0.1
244;1421 Zand- en grindwinning;2009 december voorlopig;0.8;0.7;0.1
245;1422 Kleiwinning;2006 december voorlopig;0.1;0.1;0.0
246;1422 Kleiwinning;2006 december nader voorlopig;0.1;0.1;0.0
247;1422 Kleiwinning;2007 december voorlopig;0.1;0.1;0.0
248;1422 Kleiwinning;2007 december nader voorlopig;0.1;0.1;0.0
249;1422 Kleiwinning;2008 december voorlopig;0.1;0.1;0.0
250;1422 Kleiwinning;2008 december nader voorlopig;0.1;0.1;0.0
251;1422 Kleiwinning;2009 december voorlopig;0.1;0.1;0.0
252;1440a Zout- en overige delfstofwinning;2006 december voorlopig;1.0;0.9;0.1
253;1440a Zout- en overige delfstofwinning;2006 december nader voorlopig;1.2;1.1;0.1
254;1440a Zout- en overige delfstofwinning;2007 december voorlopig;1.3;1.1;0.1
255;1440a Zout- en overige delfstofwinning;2007 december nader voorlopig;1.3;1.1;0.1
256;1440a Zout- en overige delfstofwinning;2008 december voorlopig;1.3;1.1;0.1
257;1440a Zout- en overige delfstofwinning;2008 december nader voorlopig;1.3;1.1;0.1
258;1440a Zout- en overige delfstofwinning;2009 december voorlopig;1.2;1.1;0.1
259;D Industrie;2006 december voorlopig;843.7;656.7;187.0
260;D Industrie;2006 december nader voorlopig;838.7;656.2;182.6
261;D Industrie;2007 december voorlopig;846.7;661.7;185.0
262;D Industrie;2007 december nader voorlopig;848.6;661.3;187.2
263;D Industrie;2008 december voorlopig;847.1;658.7;188.5
264;D Industrie;2008 december nader voorlopig;859.1;660.9;198.3
265;D Industrie;2009 december voorlopig;805.6;622.6;183.0
266;15 VV voedingsmiddelen en dranken;2006 december voorlopig;120.5;79.3;41.2
267;15 VV voedingsmiddelen en dranken;2006 december nader voorlopig;122.2;81.9;40.3
268;15 VV voedingsmiddelen en dranken;2007 december voorlopig;122.8;82.4;40.4
269;15 VV voedingsmiddelen en dranken;2007 december nader voorlopig;122.9;81.5;41.4
270;15 VV voedingsmiddelen en dranken;2008 december voorlopig;122.5;80.6;41.9
271;15 VV voedingsmiddelen en dranken;2008 december nader voorlopig;132.7;83.1;49.6
272;15 VV voedingsmiddelen en dranken;2009 december voorlopig;122.4;80.2;42.2
273;151 Slachterijen en vleesverwerking;2006 december voorlopig;18.5;13.7;4.8
274;151 Slachterijen en vleesverwerking;2006 december nader voorlopig;18.5;13.8;4.7
275;151 Slachterijen en vleesverwerking;2007 december voorlopig;18.7;13.9;4.8
276;151 Slachterijen en vleesverwerking;2007 december nader voorlopig;18.4;13.7;4.8
277;151 Slachterijen en vleesverwerking;2008 december voorlopig;18.2;13.4;4.8
278;151 Slachterijen en vleesverwerking;2008 december nader voorlopig;18.4;13.5;4.9
279;151 Slachterijen en vleesverwerking;2009 december voorlopig;18.9;13.9;5.0
280;1511 Slachterijen (geen pluimvee-);2006 december voorlopig;5.7;4.9;0.8
281;1511 Slachterijen (geen pluimvee-);2006 december nader voorlopig;5.7;4.9;0.8
282;1511 Slachterijen (geen pluimvee-);2007 december voorlopig;5.7;4.9;0.8
283;1511 Slachterijen (geen pluimvee-);2007 december nader voorlopig;5.7;4.9;0.8
284;1511 Slachterijen (geen pluimvee-);2008 december voorlopig;5.7;4.8;0.8
285;1511 Slachterijen (geen pluimvee-);2008 december nader voorlopig;5.7;4.9;0.8
286;1511 Slachterijen (geen pluimvee-);2009 december voorlopig;5.7;4.9;0.8
287;1512 Pluimveeslachterijen;2006 december voorlopig;2.7;2.0;0.7
288;1512 Pluimveeslachterijen;2006 december nader voorlopig;2.7;2.0;0.7
289;1512 Pluimveeslachterijen;2007 december voorlopig;2.6;2.0;0.7
290;1512 Pluimveeslachterijen;2007 december nader voorlopig;2.6;1.9;0.7
291;1512 Pluimveeslachterijen;2008 december voorlopig;2.8;2.0;0.8
292;1512 Pluimveeslachterijen;2008 december nader voorlopig;2.8;2.0;0.7
293;1512 Pluimveeslachterijen;2009 december voorlopig;3.0;2.2;0.8
294;1513 Vleesverwerking;2006 december voorlopig;10.1;6.8;3.2
295;1513 Vleesverwerking;2006 december nader voorlopig;10.2;6.9;3.2
296;1513 Vleesverwerking;2007 december voorlopig;10.3;7.0;3.3
297;1513 Vleesverwerking;2007 december nader voorlopig;10.1;6.8;3.3
298;1513 Vleesverwerking;2008 december voorlopig;9.8;6.5;3.2
299;1513 Vleesverwerking;2008 december nader voorlopig;9.9;6.6;3.3
300;1513 Vleesverwerking;2009 december voorlopig;10.1;6.8;3.3
301;15131 VV snacks en kant-en-klaar ..;2006 december voorlopig;3.9;2.4;1.5
302;15131 VV snacks en kant-en-klaar ..;2006 december nader voorlopig;4.1;2.5;1.6
303;15131 VV snacks en kant-en-klaar ..;2007 december voorlopig;4.2;2.6;1.6
304;15131 VV snacks en kant-en-klaar ..;2007 december nader voorlopig;4.0;2.4;1.6
305;15131 VV snacks en kant-en-klaar ..;2008 december voorlopig;4.0;2.3;1.7
306;15131 VV snacks en kant-en-klaar ..;2008 december nader voorlopig;4.0;2.3;1.7
307;15131 VV snacks en kant-en-klaar ..;2009 december voorlopig;4.1;2.4;1.7
308;15132 VV vleeswaren (geen snacks) en ..;2006 december voorlopig;6.1;4.4;1.7
309;15132 VV vleeswaren (geen snacks) en ..;2006 december nader voorlopig;6.1;4.4;1.7
310;15132 VV vleeswaren (geen snacks) en ..;2007 december voorlopig;6.1;4.4;1.7
311;15132 VV vleeswaren (geen snacks) en ..;2007 december nader voorlopig;6.1;4.4;1.7
312;15132 VV vleeswaren (geen snacks) en ..;2008 december voorlopig;5.8;4.2;1.6
313;15132 VV vleeswaren (geen snacks) en ..;2008 december nader voorlopig;6.0;4.3;1.7
314;15132 VV vleeswaren (geen snacks) en ..;2009 december voorlopig;6.0;4.4;1.6
315;152 Visverwerking;2006 december voorlopig;3.6;1.9;1.6
316;152 Visverwerking;2006 december nader voorlopig;3.4;1.9;1.5
317;152 Visverwerking;2007 december voorlopig;3.2;1.9;1.4
318;152 Visverwerking;2007 december nader voorlopig;3.4;1.9;1.6
319;152 Visverwerking;2008 december voorlopig;3.5;1.9;1.5
320;152 Visverwerking;2008 december nader voorlopig;3.3;1.9;1.5
321;152 Visverwerking;2009 december voorlopig;3.2;1.8;1.4
322;153 Groente- en fruitverwerking;2006 december voorlopig;9.5;7.0;2.5
323;153 Groente- en fruitverwerking;2006 december nader voorlopig;9.7;7.2;2.4
324;153 Groente- en fruitverwerking;2007 december voorlopig;10.3;7.7;2.5
325;153 Groente- en fruitverwerking;2007 december nader voorlopig;9.9;7.4;2.5
326;153 Groente- en fruitverwerking;2008 december voorlopig;10.3;7.6;2.6
327;153 Groente- en fruitverwerking;2008 december nader voorlopig;10.4;7.7;2.7
328;153 Groente- en fruitverwerking;2009 december voorlopig;9.9;7.4;2.5
329;1531 VV aardappelproducten;2006 december voorlopig;3.6;2.9;0.7
330;1531 VV aardappelproducten;2006 december nader voorlopig;3.6;2.9;0.7
331;1531 VV aardappelproducten;2007 december voorlopig;4.0;3.2;0.8
332;1531 VV aardappelproducten;2007 december nader voorlopig;4.0;3.2;0.8
333;1531 VV aardappelproducten;2008 december voorlopig;4.0;3.2;0.8
334;1531 VV aardappelproducten;2008 december nader voorlopig;4.1;3.3;0.8
335;1531 VV aardappelproducten;2009 december voorlopig;4.1;3.3;0.8
336;1532 VV fruit- en groentesap;2006 december voorlopig;1.0;0.8;0.2
337;1532 VV fruit- en groentesap;2006 december nader voorlopig;1.0;0.8;0.2
338;1532 VV fruit- en groentesap;2007 december voorlopig;1.2;1.0;0.2
339;1532 VV fruit- en groentesap;2007 december nader voorlopig;0.9;0.7;0.2
340;1532 VV fruit- en groentesap;2008 december voorlopig;1.1;0.9;0.3
