ID;Sbi93;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;OnderTijdsdrukWerken_4;Haasten_5;RegelmatigVeelKrachtZetten_6;k_5KgTillen_7;k_5KgDuwenTrekken_8;k_5KgDragen_9;RegelmatigHardPraten_10;RegelmatigGebruikVanGehoorbeschermers_11;RegelmatigTeMakenMetTrillingen_12;GevaarlijkWerk_13;WaterigeOplossingen_14;StoffenOpUwHuid_15;AdemtStoffenIn_16;BesmettePersonen_17;InOngemakkelijkeWerkhoudingWerken_18;TijdensWerkRepeterendeBewegingMaken_19;UurPerDagAanBeeldschermVoorWerk_20;UurPerWeekAanBeeldschermVoorPrive_21;ZelfBeslissen_22;VolgordeWerkzaamhedenBepalen_23;WerktempoBepalen_24;OplossingenBedenken_25;VerlofNemen_26;EmotioneelMoeilijkeWerksituaties_27;EmotioneelVeeleisendWerk_28;EmotioneelBetrokkenBijWerk_29;VanKlanten_30;VanLeidinggevendenOfCollegaS_31;DoorKlanten_32;DoorLeidinggevendenOfCollegaS_33;DoorKlanten_34;DoorLeidinggevendenOfCollegaS_35;DoorKlanten_36;DoorLeidinggevendenOfCollegaS_37;AantalOngevallenPer100000Werknemers_38;TotaalAandeelWerknemersMetOngeval_39;OngevalZonderVerzuim_40;OngevalMetTenMinste0DagenVerzuim_41;OngevalMetTenMinste1DagVerzuim_42;OngevalMetTenMinste4DagenVerzuim_43;UitsluitendLichamelijkLetsel_44;UitsluitendGeestelijkLetsel_45;LichamelijkEnGeestelijkLetsel_46;BurnOutKlachten_47;EmotioneelUitgeput_48;LeegVoelen_49;SOchtendsMoeVoelen_50;VergtVeelOmMetMensenTeWerken_51;UitgeputDoorWerk_52;TevredenMetArbeidsomstandigheden_53;TevredenMetWerk_54;WilTot65eWerkzaamBlijven_55;InStaatTot65eWerkzaamTeBlijven_56;DoorLichterWerkLangerWerkzaam_57;Na65eWerkzaamBlijven_58
10;A+B Landbouw & visserij;2009;29.7;33.6;19.6;;;34.0;;;;12.8;;31.4;8.3;22.5;7.3;12.7;12.6;19.4;55.7;1.3;;51.2;47.2;59.5;53.5;63.1;6.6;5.4;12.9;0.3;0.4;3.2;7.4;1.8;0.4;3.8;9.5;19100;12.4;6.5;5.9;5.5;3.8;11.3;0.4;0.4;10.5;8.6;19.8;10.3;5.8;11.6;75.7;78.6;48.6;41.9;41.9;14.5
11;A+B Landbouw & visserij;2010;25.5;30.0;16.4;;;35.9;;;;12.5;;24.5;4.6;13.8;5.1;11.4;1.7;19.1;51.8;1.2;;55.1;48.8;56.6;54.3;59.9;1.4;3.4;7.2;1.4;1.2;3.4;7.2;1.2;1.4;2.6;8.7;12100;5.8;2.5;3.3;3.3;2.8;5.5;0.0;0.3;9.2;6.4;24.9;13.8;6.2;12.4;79.1;80.5;48.6;38.4;49.1;14.2
12;C t/m F Nijverheid;2005;42.6;49.4;30.4;38.3;26.8;34.8;45.9;39.9;41.6;24.7;31.8;;;;;;;;;3.1;5.8;;;;;;;;;;;;;;;;;14400;8.8;4.0;4.7;4.6;3.7;7.1;1.0;0.5;;;;;;;66.6;;16.2;37.0;38.0;
13;C t/m F Nijverheid;2006;43.1;51.3;31.4;38.6;27.9;33.5;45.1;39.1;41.5;23.6;30.9;;;;;;;;;3.2;5.8;;;;;;;;;;;;;;;;;14300;9.2;4.0;5.2;5.1;3.7;7.2;1.5;0.5;;;;;;;70.2;;20.9;38.7;38.1;
14;C t/m F Nijverheid;2007;33.1;41.7;23.3;;;25.8;;;;19.5;;22.2;6.2;;;;;16.6;42.0;3.2;;;;;;;4.5;5.9;12.2;1.2;1.5;8.4;12.7;0.8;0.8;3.3;10.5;15800;8.7;4.0;4.7;4.6;4.1;7.4;0.9;0.4;11.3;10.2;28.5;14.1;7.3;11.8;71.6;75.5;29.7;40.7;41.3;
15;C t/m F Nijverheid;2008;29.2;39.1;22.8;;;28.2;;;;19.5;;21.3;;16.8;12.1;19.5;3.0;17.4;39.8;3.3;;68.2;66.5;66.5;71.5;59.7;4.1;6.2;10.3;1.0;1.5;6.8;12.7;1.0;1.0;3.3;10.4;18800;9.4;3.6;5.9;5.7;4.5;7.4;1.2;0.8;13.0;11.3;30.5;15.6;9.2;13.1;76.0;78.2;29.8;43.8;42.2;9.5
16;C t/m F Nijverheid;2009;30.4;40.8;23.4;;;25.5;;;;16.6;;20.9;6.7;17.6;11.8;17.4;8.0;16.6;38.8;3.3;;65.3;65.6;64.5;69.8;59.2;5.0;6.9;11.7;1.2;1.3;7.3;12.2;0.7;0.9;3.0;10.4;12300;8.0;3.3;4.7;4.4;3.6;6.5;0.9;0.5;13.2;11.4;29.7;15.7;8.4;13.4;72.0;77.3;37.9;43.0;43.5;10.1
17;C t/m F Nijverheid;2010;30.6;40.3;23.2;;;29.0;;;;17.9;;22.4;7.3;16.5;12.5;19.0;1.9;15.8;40.9;3.3;;66.0;66.3;64.4;71.1;59.8;5.2;6.5;12.3;0.9;1.2;6.9;10.1;0.6;0.6;2.6;9.3;15900;9.2;3.5;5.7;5.3;4.2;7.3;1.2;0.7;14.7;13.4;33.0;17.8;8.7;13.9;75.4;77.1;39.6;45.2;43.4;12.4
18;G t/m K Commerciële dienstverlening;2005;49.1;49.2;31.9;41.8;30.9;22.9;29.8;26.0;26.2;7.5;4.7;;;;;;;;;3.9;6.6;;;;;;;;;;;;;;;;;11900;6.3;3.0;3.3;3.2;2.2;4.4;1.4;0.5;;;;;;;68.4;;22.1;42.3;33.2;
19;G t/m K Commerciële dienstverlening;2006;48.6;50.9;32.9;41.8;30.4;21.8;28.8;25.3;25.2;7.1;4.4;;;;;;;;;4.1;6.5;;;;;;;;;;;;;;;;;8800;5.8;2.6;3.2;3.0;2.2;4.2;1.3;0.3;;;;;;;71.5;;28.2;45.0;33.7;
20;G t/m K Commerciële dienstverlening;2007;36.1;43.0;27.2;;;15.8;;;;5.1;;8.2;2.4;;;;;8.2;38.1;4.1;;;;;;;4.8;7.0;11.9;3.4;1.9;19.4;10.9;2.4;0.5;7.1;9.0;11200;6.5;3.1;3.4;3.2;2.6;4.8;1.2;0.5;11.1;11.5;26.6;14.7;7.7;11.3;72.8;76.0;34.6;42.8;35.2;
21;G t/m K Commerciële dienstverlening;2008;34.8;41.6;27.4;;;18.4;;;;5.1;;8.7;;11.4;8.2;7.1;2.8;8.2;37.1;4.2;;63.9;66.5;62.4;67.3;53.4;4.5;6.7;10.7;3.3;1.9;17.8;9.7;2.7;0.7;6.5;9.0;11500;6.5;3.3;3.2;3.0;2.4;4.9;1.0;0.5;12.7;12.2;28.1;16.0;8.6;12.3;75.8;76.7;37.9;46.9;36.1;13.2
22;G t/m K Commerciële dienstverlening;2009;34.9;39.4;26.0;;;15.8;;;;4.5;;7.6;2.5;11.9;8.4;6.8;7.7;7.7;35.7;4.2;;62.3;65.1;62.0;66.4;53.3;5.3;7.8;12.4;3.9;2.0;18.2;10.7;2.7;0.5;6.9;8.7;13800;6.3;3.4;2.9;2.7;2.3;4.5;1.2;0.5;12.3;11.6;26.5;15.5;8.4;11.9;73.4;76.4;43.8;47.3;37.2;14.2
23;G t/m K Commerciële dienstverlening;2010;37.8;42.0;28.0;;;19.0;;;;5.0;;8.5;3.2;13.3;8.5;6.8;3.7;7.5;39.1;4.1;;62.1;64.2;61.3;65.7;52.7;5.2;7.5;11.4;3.9;2.1;17.3;9.5;2.6;0.5;6.6;7.5;12500;6.2;3.3;3.0;2.8;2.3;4.3;1.3;0.5;12.7;13.0;28.8;16.6;8.0;12.5;75.9;76.8;45.0;46.9;35.3;15.4
24;L t/m Q Niet-Commerciële dienstverlening;2005;41.3;50.7;30.5;39.8;28.8;20.3;24.8;22.4;18.6;4.9;2.5;;;;;;;;;3.4;5.5;;;;;;;;;;;;;;;;;11900;6.6;4.1;2.6;2.5;2.0;3.5;2.4;0.6;;;;;;;72.3;;22.5;39.3;37.4;
25;L t/m Q Niet-Commerciële dienstverlening;2006;42.8;52.9;31.9;40.0;29.3;20.1;24.6;22.3;18.3;4.2;2.2;;;;;;;;;3.5;5.4;;;;;;;;;;;;;;;;;8400;5.3;3.0;2.3;2.2;1.7;3.0;1.7;0.5;;;;;;;72.0;;27.0;41.3;38.9;
26;L t/m Q Niet-Commerciële dienstverlening;2007;31.7;44.7;26.8;;;16.8;;;;3.2;;4.1;3.9;;;;;10.9;28.0;3.5;;;;;;;12.4;22.7;17.6;7.7;1.9;27.1;11.9;13.0;0.3;9.2;7.1;11000;6.0;3.5;2.5;2.4;2.0;3.6;1.8;0.6;11.7;13.0;28.4;13.2;9.9;10.0;72.9;80.0;35.3;40.4;43.7;
27;L t/m Q Niet-Commerciële dienstverlening;2008;30.9;44.0;28.3;;;18.3;;;;3.4;;4.3;;20.9;11.0;4.8;10.6;10.9;27.5;3.7;;64.0;65.3;56.7;72.9;42.5;13.4;21.8;16.1;8.7;1.9;27.3;11.2;14.3;0.3;9.1;6.5;14900;6.9;4.1;2.9;2.7;2.2;4.0;2.1;0.8;12.0;13.4;29.0;13.4;10.7;10.4;76.6;80.7;37.5;41.6;44.1;10.7
28;L t/m Q Niet-Commerciële dienstverlening;2009;31.3;44.5;27.7;;;17.3;;;;3.6;;4.6;3.8;19.7;11.3;6.3;12.5;10.7;26.8;3.6;;62.5;64.1;56.9;73.2;42.0;12.6;21.9;16.5;8.7;1.5;27.7;11.6;14.3;0.3;10.3;6.8;12300;6.9;3.8;3.1;2.9;2.2;3.9;2.4;0.7;12.8;13.9;28.9;13.8;11.5;10.2;76.1;82.0;42.7;42.4;45.2;12.7
29;L t/m Q Niet-Commerciële dienstverlening;2010;31.8;43.8;27.5;;;20.9;;;;3.4;;4.5;4.5;21.6;11.0;4.6;10.9;10.9;29.3;3.6;;62.4;63.8;55.7;72.3;41.8;12.6;21.8;16.5;8.8;1.5;25.8;10.4;13.8;0.4;8.4;5.8;13500;7.5;4.6;2.8;2.7;2.2;4.4;2.3;0.7;12.9;14.0;29.8;14.9;11.4;10.9;79.9;82.3;44.6;43.3;45.1;13.7
30;A+B Landbouw en visserij;2005;42.2;37.6;24.3;26.0;22.7;49.9;63.7;59.3;54.4;14.2;21.0;;;;;;;;;1.3;6.9;;;;;;;;;;;;;;;;;15200;12.0;5.7;6.3;6.3;4.0;9.6;1.3;1.1;;;;;;;68.0;;22.7;30.9;43.2;
31;A+B Landbouw en visserij;2006;32.7;44.6;19.9;18.8;15.0;48.9;64.7;59.6;52.7;15.1;16.6;;;;;;;;;1.2;6.4;;;;;;;;;;;;;;;;;11000;8.7;4.6;4.1;3.4;2.9;6.2;2.0;0.4;;;;;;;76.9;;38.5;30.7;42.1;
32;A+B Landbouw en visserij;2007;31.0;34.5;20.6;;;31.8;;;;6.8;;21.6;2.9;;;;;15.2;55.2;1.4;;;;;;;2.3;2.0;10.2;0.5;1.4;3.8;7.2;1.1;1.7;1.9;7.1;22500;10.5;5.0;5.5;4.5;2.8;8.7;0.8;1.1;9.3;8.4;24.6;10.6;5.0;9.6;76.4;80.7;40.4;35.3;46.1;
33;A+B Landbouw en visserij;2008;25.7;29.1;17.5;;;36.6;;;;10.2;;24.7;;20.1;5.7;10.5;2.3;24.0;59.1;1.5;;54.7;45.2;57.6;49.2;61.4;1.2;3.1;9.5;1.9;2.0;3.2;5.4;0.9;0.6;2.9;8.7;35100;9.8;6.5;3.3;3.3;2.1;8.5;0.8;0.5;7.7;4.5;20.6;10.8;5.5;7.8;74.6;77.9;42.5;41.1;43.9;16.8
34;A+B Landbouw en visserij;2009;29.7;33.6;19.6;;;34.0;;;;12.8;;31.4;8.3;22.5;7.3;12.7;12.6;19.4;55.7;1.3;;51.2;47.2;59.5;53.5;63.1;6.6;5.4;12.9;0.3;0.4;3.2;7.4;1.8;0.4;3.8;9.5;19100;12.4;6.5;5.9;5.5;3.8;11.3;0.4;0.4;10.5;8.6;19.8;10.3;5.8;11.6;75.7;78.6;48.6;41.9;41.9;14.5
35;A+B Landbouw en visserij;2010;25.5;30.0;16.4;;;35.9;;;;12.5;;24.5;4.6;13.8;5.1;11.4;1.7;19.1;51.8;1.2;;55.1;48.8;56.6;54.3;59.9;1.4;3.4;7.2;1.4;1.2;3.4;7.2;1.2;1.4;2.6;8.7;12100;5.8;2.5;3.3;3.3;2.8;5.5;0.0;0.3;9.2;6.4;24.9;13.8;6.2;12.4;79.1;80.5;48.6;38.4;49.1;14.2
36;C t/m E Nijverheid (geen bouwnijverheid);2005;42.1;50.2;30.4;38.2;26.4;29.6;39.6;34.7;34.1;24.4;28.1;;;;;;;;;3.5;6.0;;;;;;;;;;;;;;;;;14100;7.8;3.9;3.9;3.8;2.8;6.2;1.1;0.4;;;;;;;65.4;;18.1;40.6;36.5;
37;C t/m E Nijverheid (geen bouwnijverheid);2006;41.7;52.0;31.7;38.8;28.0;28.3;39.3;34.8;34.9;23.5;27.6;;;;;;;;;3.6;6.0;;;;;;;;;;;;;;;;;15300;8.8;3.7;5.2;5.0;3.8;6.7;1.5;0.5;;;;;;;69.2;;22.1;41.9;35.9;
38;C t/m E Nijverheid (geen bouwnijverheid);2007;32.5;41.0;23.5;;;20.8;;;;21.3;;17.5;5.1;;;;;12.8;40.2;3.6;;;;;;;5.0;6.3;12.8;1.2;1.9;7.5;14.1;0.7;0.8;3.2;11.4;15000;7.8;4.2;3.6;3.4;3.1;6.2;1.0;0.5;10.9;10.3;27.7;13.9;7.2;11.1;71.5;74.6;31.9;43.6;37.9;
39;C t/m E Nijverheid (geen bouwnijverheid);2008;28.5;38.6;22.3;;;22.5;;;;21.2;;16.5;;16.4;11.0;17.5;3.0;13.4;38.8;3.7;;68.2;66.7;66.5;70.1;62.0;4.2;6.8;10.9;1.2;1.8;6.3;14.2;0.9;1.3;2.9;11.0;17600;9.1;3.7;5.4;5.3;4.7;7.0;1.2;0.9;13.6;12.0;30.9;16.3;9.8;13.6;75.0;76.8;31.8;46.9;38.6;9.7
40;C t/m E Nijverheid (geen bouwnijverheid);2009;29.0;40.5;23.0;;;19.2;;;;17.8;;14.7;5.2;16.2;10.2;14.5;6.4;11.4;35.7;3.6;;64.5;66.1;65.4;68.6;59.8;5.4;7.5;12.2;1.4;1.6;6.9;13.3;1.0;1.1;3.4;11.2;9200;7.4;3.2;4.2;3.9;3.2;6.0;1.0;0.4;13.5;12.0;30.2;16.0;8.8;13.4;72.0;76.0;40.8;46.6;40.2;10.8
41;C t/m E Nijverheid (geen bouwnijverheid);2010;31.0;40.1;23.5;;;24.6;;;;19.6;;18.6;6.4;15.9;11.6;17.9;1.8;13.2;40.8;3.6;;65.2;64.5;63.2;68.1;59.9;5.8;7.4;13.0;1.0;1.4;5.8;11.2;0.6;0.6;3.0;10.4;14100;8.8;3.5;5.3;4.7;3.8;6.8;1.3;0.6;15.9;14.1;33.0;19.0;9.7;14.6;74.6;76.4;41.2;48.2;40.9;12.1
42;F Bouwnijverheid;2005;43.7;47.6;30.5;38.7;27.7;46.7;60.4;51.6;58.5;25.4;40.1;;;;;;;;;2.3;5.2;;;;;;;;;;;;;;;;;15000;10.9;4.3;6.6;6.5;5.7;9.2;0.9;0.7;;;;;;;69.4;;11.9;28.7;41.6;
43;F Bouwnijverheid;2006;46.3;49.6;30.7;38.2;27.6;45.9;59.0;49.3;57.0;23.8;38.5;;;;;;;;;2.3;5.2;;;;;;;;;;;;;;;;;12100;10.1;4.7;5.4;5.2;3.6;8.3;1.4;0.3;;;;;;;72.4;;18.3;31.3;43.3;
44;F Bouwnijverheid;2007;34.5;43.6;22.9;;;37.6;;;;15.3;;33.1;9.0;;;;;25.5;46.1;2.2;;;;;;;3.3;5.0;10.8;1.3;0.7;10.5;9.5;1.0;0.8;3.5;8.2;17700;11.0;3.7;7.3;7.3;6.4;10.2;0.6;0.2;12.2;10.0;30.3;14.5;7.5;13.6;72.0;77.8;24.6;34.1;49.0;
45;F Bouwnijverheid;2008;30.7;40.0;23.9;;;40.9;;;;15.8;;31.7;;17.8;14.6;23.9;3.0;26.2;42.1;2.4;;68.2;66.1;66.4;74.5;54.7;3.8;4.7;9.0;0.8;1.1;8.0;9.2;1.3;0.4;4.0;9.1;21200;10.1;3.2;6.9;6.6;4.2;8.2;1.3;0.5;11.5;9.9;29.7;13.9;7.7;11.9;78.4;81.4;25.2;37.0;50.1;8.9
46;F Bouwnijverheid;2009;33.7;41.6;24.1;;;40.7;;;;13.8;;35.6;10.2;21.0;15.6;24.5;12.0;29.0;46.2;2.4;;67.0;64.6;62.5;72.9;57.5;4.1;5.5;10.6;0.7;0.6;8.6;9.3;0.1;0.3;2.1;8.7;19800;9.4;3.6;5.8;5.8;4.8;7.8;0.8;0.7;12.4;10.1;28.6;15.0;7.3;13.4;72.1;80.4;31.0;34.1;51.5;8.2
47;F Bouwnijverheid;2010;29.6;40.6;22.5;;;39.2;;;;14.0;;31.2;9.5;18.1;14.4;21.4;2.0;21.7;41.3;2.6;;67.9;70.5;67.3;78.0;59.7;3.8;4.5;10.5;0.8;0.8;9.2;7.7;0.6;0.5;1.9;6.6;20000;10.0;3.5;6.6;6.5;5.1;8.3;0.9;0.8;11.9;11.8;32.9;14.9;6.4;12.3;77.4;78.9;35.6;38.0;49.2;13.2
48;G Handel;2005;46.5;47.2;30.0;32.7;26.4;33.5;42.4;38.8;37.5;7.3;5.0;;;;;;;;;3.0;6.6;;;;;;;;;;;;;;;;;13200;7.0;3.4;3.6;3.5;2.3;5.3;1.4;0.3;;;;;;;66.4;;22.3;37.8;33.5;
49;G Handel;2006;46.7;50.7;31.1;33.5;27.3;32.2;41.3;36.0;36.1;7.4;5.0;;;;;;;;;3.2;6.5;;;;;;;;;;;;;;;;;7500;5.6;2.5;3.0;2.8;2.1;3.8;1.4;0.3;;;;;;;70.0;;26.2;40.5;35.3;
50;G Handel;2007;32.9;40.4;24.3;;;22.2;;;;4.5;;8.8;1.7;;;;;10.5;39.2;3.3;;;;;;;3.8;5.3;11.1;3.8;1.8;22.1;11.5;2.3;0.7;8.2;10.6;11000;6.9;3.4;3.5;3.2;2.6;5.5;1.1;0.3;10.2;10.6;24.8;13.9;6.7;11.5;71.0;74.5;34.2;39.2;36.2;
51;G Handel;2008;33.4;41.2;26.2;;;27.5;;;;4.4;;9.5;;10.2;10.1;8.5;2.8;10.3;38.9;3.3;;61.8;64.6;61.0;64.4;48.2;3.7;5.6;11.6;3.2;1.8;20.7;9.6;2.3;0.7;6.6;8.8;10800;6.8;3.5;3.3;3.1;2.2;5.7;0.8;0.3;11.9;11.0;26.9;14.8;8.8;12.0;75.1;75.7;36.4;43.6;38.2;11.3
52;G Handel;2009;32.1;35.8;23.2;;;23.2;;;;3.5;;8.5;2.4;10.7;9.0;8.2;9.5;9.9;38.9;3.2;;58.9;61.4;60.4;60.3;49.2;4.4;5.9;11.3;4.6;1.9;21.7;10.6;2.4;0.5;7.3;9.2;14500;6.0;3.4;2.6;2.3;1.8;4.8;0.9;0.3;11.3;9.3;23.9;13.5;8.2;10.9;73.7;77.0;43.3;42.7;39.5;11.4
53;G Handel;2010;34.1;39.3;24.8;;;29.3;;;;5.1;;9.9;2.4;12.1;9.3;8.2;4.5;10.1;42.5;3.1;;57.8;58.9;57.8;59.5;46.1;4.0;5.5;10.0;4.8;1.8;20.5;9.3;2.3;0.5;7.0;8.3;16500;7.1;4.3;2.8;2.7;2.2;5.3;1.3;0.4;11.1;11.0;25.8;14.4;7.1;11.7;75.3;76.4;42.9;41.3;37.8;13.0
54;H Horeca;2005;65.0;49.5;34.7;48.1;43.2;33.8;46.1;31.7;39.5;12.4;1.8;;;;;;;;;1.7;8.5;;;;;;;;;;;;;;;;;27500;11.5;6.6;4.9;4.9;3.2;8.8;1.5;1.1;;;;;;;66.3;;28.4;23.0;40.5;
55;H Horeca;2006;62.3;47.8;37.4;47.2;35.4;33.2;44.7;32.8;39.9;13.8;1.6;;;;;;;;;1.7;9.3;;;;;;;;;;;;;;;;;27400;12.9;6.7;6.2;6.1;3.1;10.0;2.4;0.5;;;;;;;68.1;;34.4;22.6;45.3;
56;H Horeca;2007;49.4;48.0;35.3;;;28.4;;;;8.1;;5.4;1.8;;;;;10.3;40.3;1.6;;;;;;;3.7;6.0;11.5;9.6;2.2;22.1;9.5;3.2;0.3;10.9;9.7;33900;14.7;7.3;7.4;7.3;5.4;12.7;0.9;1.2;14.7;12.7;22.1;17.2;11.3;15.4;65.5;71.5;34.2;21.8;48.6;
57;H Horeca;2008;47.3;43.2;34.9;;;28.4;;;;9.7;;4.7;;45.5;22.0;4.7;4.8;8.4;42.7;1.7;;53.0;55.3;46.3;54.8;39.0;4.4;6.5;11.3;11.6;4.4;23.7;10.2;5.6;2.1;9.9;11.6;25000;13.2;8.6;4.6;4.4;3.1;11.4;0.9;0.8;12.2;11.0;22.5;14.1;7.3;12.7;68.2;72.3;40.3;25.4;51.0;16.1
58;H Horeca;2009;46.4;41.6;32.6;;;22.0;;;;7.7;;5.6;1.4;41.1;21.0;6.7;12.5;11.4;43.7;1.7;;46.2;50.0;43.0;52.7;39.6;4.5;8.6;13.0;9.3;4.2;21.3;11.4;4.7;1.4;11.0;11.2;37100;13.8;9.6;4.2;3.9;3.5;11.5;1.8;0.5;12.8;10.4;23.7;17.3;10.1;14.1;69.1;73.5;44.1;28.0;48.1;17.6
59;H Horeca;2010;52.4;42.9;37.7;;;26.1;;;;8.9;;5.0;3.9;44.8;21.3;3.2;5.2;8.6;45.0;1.7;;47.6;53.2;43.5;48.9;37.2;4.5;4.8;11.8;9.7;3.6;20.5;8.8;5.0;0.7;11.3;8.3;21100;10.7;6.9;3.8;3.3;2.2;8.3;1.6;0.7;13.5;13.3;28.1;16.2;8.1;15.9;73.3;74.6;45.6;27.4;47.5;17.5
60;I Vervoer, opslag en communicatie;2005;48.2;48.4;32.6;50.9;35.4;28.9;36.9;34.6;32.4;13.3;4.9;;;;;;;;;3.3;6.4;;;;;;;;;;;;;;;;;16500;9.0;3.5;5.5;5.2;3.9;4.8;2.6;1.3;;;;;;;65.5;;19.0;40.0;36.7;
