ID;PolitieregioS;Cijfersoort;Perioden;DelictenTotaal_1;Geweldsdelicten_2;Vermogensdelicten_3;Vandalismedelicten_4;DelictenTotaal_5;Geweldsdelicten_6;Vermogensdelicten_7;Vandalismedelicten_8;OpEenPolitiebureau_9;Telefonisch_10;ViaInternet_11;TerPlekkePlaatse_12;Anders_13;TevredenheidOverPolitieBijAangifte_14;PreventieAdviesBijAangifte_15;InformatieOverVerloopVanDeZaak_16;HelptTochNiet_17;HetWasNietBelangrijk_18;HetIsOpgelost_19;DitIsGeenZaakVoorPolitie_20;DanVolgenRepresailles_21;AndereRedenInclusiefOnbekend_22;ZouWeerAangifteDoen_23;ContactenTotaal_24;HandhavingTotaal_25;Bekeuring_26;Waarschuwing_27;Controle_28;AangifteMeldingTotaal_29;AangifteMeldingMisdrijf_30;MeldingVerdachteSituatie_31;GetuigeVanMisdrijf_32;AndereContactenTotaal_33;Hulpvraag_34;Vergunningaanvraag_35;InformatieEnAdvies_36;OpenDag_37;OverigeContacten_38;Ontevreden_39;Tevreden_40;Handhaving_41;AangifteMelding_42;AndereContacten_43;TevredenheidOverPolitieTotaal_44;JeZietDePolitieInDeBuurtTeWeinig_45;ZeKomenTeWeinigUitDeAuto_46;ZeZijnHierTeWeinigAanspreekbaar_47;ZeHebbenHierTeWeinigTijd_48;ZeKomenNietSnelAlsJeZeRoept_49;BeschikbaarheidSchaalscore_50;ZichtbaarheidInStraat_51;Vaker_52;NietVakerNietMinderVaak_53;MinderVaak_54;MaaktNietUit_55;DePolitieBiedtBescherming_56;DePolitieHeeftContactMetDeBewoners_57;DePolitieReageertOpBuurtproblemen_58;DePolitieDoetHaarBest_59;DePolitiePaktDeZakenEfficientAan_60;FunctionerenPolitieSchaalscore_61;ZeBekeurenHierTeWeinig_62;ZeTredenNietHardGenoegOp_63;ZeGrijpenNietIn_64;OptredenPolitieSchaalscore_65
10;Groningen;Waarde;2007;30.5;28.6;46.6;15.1;23.4;23.1;37.4;8.9;41.8;46.4;8.8;1.8;1.2;40.7;13.2;30.9;37.6;23.3;10.4;15.7;1.9;11.0;42.9;28.4;14.2;7.2;4.5;2.5;48.4;36.0;11.1;1.3;37.3;8.1;2.5;3.3;0.0;23.4;21.2;64.8;;56.0;75.7;46.5;33.0;33.3;31.9;26.7;18.2;5.3;61.1;24.1;37.0;5.8;32.5;39.9;19.5;43.5;51.5;27.4;5.9;21.2;22.3;17.9;6.1
11;Groningen;Waarde;2008;38.6;42.0;48.2;21.9;25.3;27.1;35.8;12.2;23.3;52.1;18.3;2.0;4.3;36.5;19.7;36.2;32.0;35.9;6.2;14.3;0.5;11.1;46.1;27.6;17.0;12.1;1.8;3.2;39.8;29.9;8.6;1.4;43.1;5.1;2.8;4.1;0.4;30.8;24.7;55.8;;49.4;66.0;44.9;33.1;33.7;30.7;25.5;16.8;5.3;62.1;23.8;38.5;6.6;30.9;43.5;23.2;45.6;52.6;29.7;6.1;20.5;24.2;18.0;6.0
12;Groningen;Marge;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Groningen;Marge;2006;5.5;12.7;8.9;8.2;4.1;5.1;7.1;7.0;10.1;10.6;7.0;3.2;3.2;13.0;9.1;12.6;7.2;6.4;3.4;5.1;2.1;3.4;5.9;3.0;5.3;3.9;2.7;3.0;6.9;6.5;4.0;2.1;6.7;3.3;1.9;2.5;1.4;5.9;6.1;6.9;;10.5;9.1;3.4;3.3;3.3;3.2;3.1;2.7;0.2;3.4;3.0;3.3;1.4;3.2;3.3;2.5;3.4;3.4;3.1;0.2;2.9;2.9;2.7;0.2
14;Groningen;Marge;2007;6.5;14.0;10.4;7.7;5.9;13.1;9.9;6.3;10.4;10.6;5.8;3.2;2.3;12.2;8.2;11.6;7.4;6.4;4.6;5.4;2.0;4.9;6.1;3.2;4.7;3.6;2.7;2.1;6.8;6.4;4.3;1.9;6.6;3.5;2.3;2.4;;5.9;5.6;6.6;;9.8;9.8;3.5;3.3;3.3;3.3;3.1;2.7;0.2;3.4;3.0;3.4;1.7;3.3;3.4;2.8;3.5;3.5;3.1;0.2;2.9;3.0;2.7;0.2
15;Groningen;Marge;2008;7.8;18.9;11.5;9.4;6.6;16.9;10.4;7.4;8.3;10.1;8.0;2.9;4.1;11.8;9.8;12.0;7.5;7.8;4.1;5.8;1.3;5.1;6.3;3.1;5.1;4.3;2.0;2.6;6.8;6.4;4.0;1.7;6.9;2.9;2.4;2.7;1.0;6.5;6.0;6.9;;11.0;9.9;3.5;3.3;3.3;3.2;3.1;2.7;0.2;3.4;3.0;3.5;1.7;3.3;3.5;3.0;3.5;3.5;3.2;0.2;2.9;3.0;2.7;0.2
16;Friesland;Waarde;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Friesland;Waarde;2006;28.6;24.9;30.4;21.8;20.4;18.8;21.3;14.4;55.5;39.1;0.0;3.9;1.5;39.7;7.8;29.3;33.4;27.8;10.8;10.8;1.8;15.4;41.9;22.9;13.4;6.0;3.8;3.6;51.9;41.4;8.0;2.5;34.7;7.1;3.2;3.3;0.6;20.5;30.6;55.3;;42.8;72.8;45.6;35.3;34.8;32.7;30.9;20.0;5.1;67.2;26.1;33.0;4.0;36.6;41.4;16.6;47.0;50.5;31.0;5.9;22.7;26.4;20.1;5.9
18;Friesland;Waarde;2007;30.4;20.7;40.5;20.6;19.1;6.3;28.9;13.0;44.7;48.0;2.8;1.5;3.1;;;;35.3;19.3;14.5;12.5;1.9;16.6;40.7;25.9;13.9;7.3;1.5;5.1;47.7;27.5;14.9;5.3;38.4;7.3;0.0;4.3;1.1;25.7;24.1;60.5;;53.7;79.0;47.2;39.6;35.5;32.9;28.8;18.0;5.1;68.9;25.3;38.0;4.3;32.2;38.1;18.5;48.0;52.9;31.3;6.0;24.6;24.9;19.8;5.9
19;Friesland;Waarde;2008;31.4;;42.8;21.1;25.4;;43.5;16.3;40.3;48.9;10.8;0.0;0.0;;;;39.0;27.1;11.5;7.8;1.0;13.7;43.2;22.2;8.9;2.0;2.2;4.7;46.8;33.7;11.3;1.8;44.3;6.2;0.8;6.0;1.7;29.6;19.0;70.9;;61.9;80.5;49.1;32.9;30.0;27.8;27.3;14.5;5.4;68.4;21.0;37.1;5.2;36.2;44.5;20.9;45.6;52.8;33.2;6.2;21.0;24.9;18.7;5.9
20;Friesland;Marge;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Friesland;Marge;2006;6.2;16.1;9.3;9.0;5.4;15.4;7.9;7.7;11.3;11.2;;3.7;2.6;13.2;7.8;12.5;7.1;6.8;4.8;4.6;1.6;5.4;6.1;2.8;5.0;3.5;2.6;2.8;7.3;7.2;3.9;2.4;7.1;3.7;2.6;2.8;1.1;6.1;6.7;7.3;;10.5;10.8;3.4;3.3;3.2;3.2;3.1;2.7;0.2;3.1;3.0;3.2;1.4;3.2;3.3;2.5;3.4;3.4;3.2;0.2;2.9;3.0;2.7;0.2
22;Friesland;Marge;2007;7.5;13.0;11.2;11.8;6.0;7.0;10.1;10.1;12.2;12.2;4.2;3.0;4.2;;;;8.4;7.1;6.1;5.9;2.2;6.8;7.0;3.0;4.8;3.5;1.7;3.1;7.1;6.3;5.1;3.1;6.9;3.7;;3.0;1.4;6.2;6.0;6.9;;10.3;9.8;3.5;3.4;3.3;3.3;3.2;2.7;0.2;3.2;3.0;3.4;1.4;3.3;3.4;2.7;3.5;3.5;3.3;0.2;3.0;3.0;2.8;0.2
23;Friesland;Marge;2008;7.8;;14.5;8.7;7.0;;14.6;7.7;12.7;13.0;8.5;;;;;;8.9;8.1;6.1;5.0;1.7;6.6;7.4;2.9;4.4;2.2;2.2;3.3;7.4;7.0;4.9;1.9;7.4;3.8;1.1;3.5;1.9;6.8;5.9;6.8;;10.8;9.2;3.4;3.2;3.1;3.1;3.1;2.4;0.2;3.2;2.8;3.3;1.6;3.3;3.4;2.8;3.4;3.4;3.2;0.2;2.8;3.0;2.7;0.2
24;Drenthe;Waarde;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Drenthe;Waarde;2006;34.7;9.5;47.2;30.2;22.9;8.1;31.5;19.8;43.4;49.2;5.5;1.9;0.0;49.7;7.1;35.0;24.5;26.0;18.0;12.3;2.7;16.4;50.3;23.7;7.8;2.6;2.9;2.3;54.6;38.7;11.0;4.9;37.7;4.6;1.5;3.6;0.9;27.0;25.1;63.8;;57.7;75.0;46.5;39.1;33.8;32.0;29.2;20.3;5.1;68.8;26.5;39.9;3.4;29.9;42.4;19.6;45.8;55.6;36.2;6.1;25.8;26.1;18.9;5.8
26;Drenthe;Waarde;2007;34.5;24.5;40.1;26.9;17.0;8.1;20.1;11.0;30.4;56.9;11.2;0.0;1.6;;;;36.6;29.8;6.4;9.5;0.8;16.8;43.6;23.4;14.3;5.9;4.7;3.7;48.9;33.9;13.8;1.2;36.8;7.0;1.6;5.2;0.4;22.7;23.1;63.3;;54.1;71.5;44.2;37.0;31.3;28.2;30.3;19.5;5.2;70.8;25.3;38.3;4.7;31.6;40.8;19.3;45.9;50.9;30.8;5.9;25.1;25.0;18.8;5.8
27;Drenthe;Waarde;2008;40.1;33.6;51.7;28.1;26.6;11.2;42.3;16.7;25.0;51.4;19.6;2.6;1.4;41.2;7.6;41.4;34.6;21.0;10.1;19.2;5.0;10.0;45.8;22.0;10.4;4.7;0.0;5.7;54.1;34.8;15.0;4.2;35.5;4.1;3.5;1.5;1.2;25.2;26.7;52.4;;48.6;54.0;45.9;38.5;33.4;33.4;28.9;18.2;5.1;74.6;25.8;37.1;6.2;30.5;41.8;19.9;45.1;50.7;32.1;6.0;21.7;26.3;19.6;5.9
28;Drenthe;Marge;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Drenthe;Marge;2006;7.0;8.9;10.9;10.2;5.8;8.5;9.5;9.1;10.4;10.6;5.4;3.2;;13.1;6.5;12.5;7.1;7.2;6.2;5.1;2.3;6.2;6.4;2.9;3.8;2.2;2.4;2.2;7.3;7.1;4.6;3.2;7.1;3.0;1.9;2.8;1.5;6.6;6.3;7.1;;10.0;10.5;3.4;3.3;3.2;3.2;3.1;2.7;0.2;3.1;3.0;3.3;1.2;3.1;3.4;2.7;3.4;3.4;3.3;0.2;3.0;3.0;2.7;0.2
30;Drenthe;Marge;2007;8.6;19.7;11.8;11.8;6.3;10.8;8.5;7.9;11.2;12.1;7.9;;3.0;;;;8.4;8.3;4.4;5.6;1.6;6.4;7.0;3.0;5.4;3.6;3.2;3.0;7.8;7.3;5.4;1.7;7.5;4.1;1.7;3.4;1.2;6.6;6.7;7.5;;11.3;11.7;3.5;3.4;3.3;3.2;3.3;2.8;0.2;3.2;3.1;3.5;1.5;3.3;3.5;2.8;3.5;3.6;3.3;0.2;3.1;3.1;2.8;0.2
31;Drenthe;Marge;2008;8.0;15.7;13.5;11.1;6.9;8.7;13.5;10.0;9.4;11.0;8.9;3.4;2.4;13.0;6.8;12.9;8.7;7.5;5.6;7.0;3.7;5.6;6.9;2.9;4.8;3.4;;3.6;7.8;7.3;5.5;3.2;7.5;3.2;3.0;2.1;1.7;6.8;6.8;7.8;;10.8;12.7;3.5;3.5;3.3;3.3;3.2;2.7;0.2;3.1;3.1;3.4;1.7;3.3;3.5;2.8;3.5;3.6;3.3;0.2;2.9;3.1;2.8;0.2
32;IJsselland;Waarde;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;IJsselland;Waarde;2006;37.5;38.4;37.2;29.5;23.9;21.2;27.3;17.8;50.2;36.6;7.0;6.2;0.0;34.6;10.3;14.1;36.1;29.7;7.4;9.9;1.6;15.4;48.7;25.4;18.5;8.5;3.4;6.6;53.7;40.4;11.9;1.4;27.8;4.6;1.0;2.3;1.4;18.4;26.8;54.6;;48.1;70.1;46.2;40.0;32.0;32.9;28.9;18.7;5.1;70.7;27.4;37.6;4.0;30.8;42.8;18.9;47.6;53.0;30.9;6.0;18.5;22.2;18.6;6.3
34;IJsselland;Waarde;2007;39.4;31.5;53.3;25.9;24.5;19.4;38.0;12.7;36.5;47.7;7.8;6.0;2.1;32.5;6.8;27.3;34.5;26.1;14.3;9.7;0.4;14.9;46.6;27.3;13.7;6.6;2.7;4.4;50.9;36.0;10.1;4.8;35.4;6.0;0.5;2.2;0.5;26.2;18.5;65.2;;58.5;82.3;50.1;34.9;29.4;30.3;22.2;16.5;5.5;70.7;24.3;37.0;5.6;32.7;45.9;21.4;49.3;56.4;35.2;6.3;18.7;19.7;16.4;6.4
35;IJsselland;Waarde;2008;33.6;36.4;49.9;20.2;21.7;19.3;34.7;12.5;39.2;42.5;13.9;3.3;1.1;;;;34.5;31.0;10.4;13.1;1.7;9.3;42.2;26.4;14.5;8.3;2.0;4.2;41.7;25.7;13.2;2.8;43.9;9.6;0.9;1.5;1.0;30.9;24.0;58.6;;50.8;66.7;48.6;38.3;29.9;27.9;22.9;14.1;5.3;70.1;27.1;35.3;6.1;31.2;40.2;19.0;48.6;54.8;34.0;6.2;19.6;22.0;17.0;6.2
36;IJsselland;Marge;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;IJsselland;Marge;2006;7.3;19.3;9.9;9.8;6.1;15.8;9.0;8.4;9.7;9.4;5.2;4.6;;11.6;7.4;8.3;7.4;7.1;4.1;4.7;2.1;5.6;6.1;3.0;5.6;4.0;2.7;3.6;7.1;7.0;4.7;1.8;6.5;3.0;1.5;2.3;1.8;5.6;6.3;7.1;;9.9;12.1;3.5;3.4;3.2;3.3;3.2;2.7;0.2;3.1;3.1;3.4;1.4;3.2;3.4;2.7;3.5;3.5;3.2;0.2;2.7;2.9;2.7;0.2
38;IJsselland;Marge;2007;7.9;16.2;12.1;11.0;6.8;15.1;12.6;7.1;10.0;10.3;5.4;4.7;3.0;12.0;6.5;11.2;8.0;7.5;5.9;5.2;1.5;6.1;6.5;3.2;4.7;3.4;2.2;2.7;6.9;6.6;4.2;3.0;6.7;3.4;1.0;2.2;1.0;6.2;5.2;6.6;;9.6;9.0;3.6;3.4;3.2;3.3;2.9;2.6;0.2;3.2;3.0;3.4;1.6;3.3;3.5;2.9;3.6;3.5;3.4;0.2;2.8;2.8;2.6;0.2
39;IJsselland;Marge;2008;7.7;16.4;12.8;8.9;7.1;15.5;12.5;6.9;11.1;11.4;8.2;3.7;2.6;;;;8.3;8.2;5.3;6.1;2.2;4.9;6.8;3.1;4.8;3.8;2.0;2.7;6.9;6.1;4.8;2.4;6.9;4.0;1.4;1.7;1.4;6.4;5.8;6.8;;10.6;9.9;3.5;3.4;3.2;3.1;2.9;2.4;0.2;3.2;3.1;3.4;1.6;3.2;3.4;2.7;3.5;3.5;3.3;0.2;2.8;2.9;2.6;0.2
40;Twente;Waarde;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Twente;Waarde;2006;41.3;43.5;44.2;33.0;23.5;16.7;33.1;15.8;54.5;32.5;9.8;1.2;2.0;31.4;7.3;10.7;31.1;29.3;11.3;10.0;0.0;18.3;47.2;24.0;11.7;7.6;1.3;2.9;45.9;36.0;7.4;2.5;42.3;7.1;1.9;4.2;0.7;28.5;26.8;58.8;;46.5;67.4;51.1;32.2;29.1;28.3;24.9;15.9;5.5;67.5;21.5;38.5;5.1;34.7;48.1;21.7;48.4;57.5;36.5;6.4;19.0;23.2;17.6;6.1
42;Twente;Waarde;2007;33.9;40.1;41.4;21.4;27.4;29.8;38.2;14.3;47.7;43.8;3.2;3.7;1.5;41.2;20.8;24.9;39.1;29.1;16.2;6.1;1.9;7.6;47.7;24.9;13.2;9.8;1.0;2.4;44.5;35.8;7.7;1.0;42.3;7.5;2.4;4.3;0.0;28.0;26.6;58.5;;54.9;68.6;55.6;30.2;26.7;26.9;21.3;13.2;5.8;67.6;21.9;40.2;5.4;32.2;48.8;23.1;52.9;59.5;36.9;6.5;18.9;17.7;13.7;6.5
43;Twente;Waarde;2008;33.2;37.7;45.9;22.3;24.9;15.2;39.0;20.5;41.9;31.4;20.9;1.4;4.3;36.8;9.2;26.1;36.3;26.3;9.5;11.2;1.8;15.1;44.5;23.3;12.1;4.5;3.2;4.4;52.2;40.1;9.6;2.6;35.7;4.1;0.6;3.8;0.8;26.4;31.3;53.2;;47.1;68.5;48.1;32.3;30.1;26.6;22.3;13.3;5.5;65.8;24.9;36.9;3.5;34.2;44.6;21.9;47.8;52.9;29.9;6.2;22.0;20.4;16.3;6.0
44;Twente;Marge;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Twente;Marge;2006;7.2;17.6;11.3;11.2;6.2;11.4;11.0;8.1;10.6;10.0;6.4;2.3;3.2;12.5;6.6;8.2;7.7;7.6;5.3;5.0;;6.5;6.5;3.0;4.6;3.9;1.4;2.4;7.0;6.8;3.9;2.2;6.9;3.5;1.7;2.8;1.0;6.3;6.3;7.0;;10.5;10.3;3.4;3.2;3.1;3.1;3.0;2.5;0.2;3.2;2.8;3.4;1.5;3.3;3.4;2.8;3.4;3.4;3.3;0.2;2.7;2.9;2.6;0.2
46;Twente;Marge;2007;8.2;16.9;12.6;10.7;7.5;15.3;12.4;9.6;11.1;11.0;4.2;4.2;2.5;12.5;10.1;11.0;8.2;7.6;6.1;4.2;2.0;4.6;6.6;3.1;4.8;4.3;1.4;2.0;7.0;6.8;3.9;1.4;6.9;3.6;2.0;3.0;;6.3;6.3;7.0;;10.6;10.2;3.5;3.2;3.1;3.1;2.9;2.4;0.2;3.3;2.9;3.4;1.6;3.3;3.5;2.9;3.5;3.5;3.4;0.2;2.7;2.7;2.4;0.2
47;Twente;Marge;2008;7.9;21.2;12.5;10.7;6.9;13.7;12.6;10.6;11.6;10.8;9.9;2.8;4.8;12.8;7.5;11.6;8.4;7.8;5.1;5.7;2.2;6.0;6.9;2.9;4.7;2.8;2.6;3.0;7.3;7.2;4.3;2.4;7.1;3.0;1.1;2.8;1.1;6.6;6.7;7.3;;10.3;11.2;3.5;3.2;3.1;3.0;2.9;2.3;0.2;3.3;3.0;3.3;1.3;3.3;3.4;2.8;3.5;3.5;3.2;0.2;2.9;2.8;2.5;0.2
48;Noord- en Oost-Gelderland;Waarde;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Noord- en Oost-Gelderland;Waarde;2006;38.2;34.6;53.5;26.5;24.7;26.9;37.3;13.0;32.7;50.2;11.3;0.8;5.0;39.6;16.2;45.4;29.7;35.9;8.5;11.1;3.5;11.2;46.4;26.5;11.0;7.2;1.2;2.6;42.6;31.4;9.1;2.1;46.4;9.1;2.6;5.1;1.4;28.3;24.4;58.2;;51.7;65.1;47.3;39.7;33.3;33.6;29.5;19.6;5.1;68.0;28.1;35.4;4.4;31.9;42.3;17.3;44.0;53.4;31.4;6.0;22.9;24.7;18.3;5.9
50;Noord- en Oost-Gelderland;Waarde;2007;42.1;33.5;54.9;33.9;23.6;6.6;39.2;16.6;33.9;43.7;20.1;1.2;1.1;54.5;11.4;36.6;30.0;29.5;12.0;14.1;0.0;14.5;49.7;27.8;15.2;8.5;1.7;5.0;51.3;34.8;12.3;4.1;33.5;6.4;0.9;3.0;0.0;23.3;24.1;61.1;;59.7;71.0;48.5;37.7;31.3;34.9;30.6;16.5;5.1;69.9;29.1;36.9;3.2;30.3;39.0;20.2;46.3;49.6;31.5;5.9;22.4;23.2;21.0;6.0
51;Noord- en Oost-Gelderland;Waarde;2008;33.4;25.4;49.1;24.6;19.9;8.7;35.7;13.8;21.7;53.3;21.1;1.6;2.2;41.5;9.2;44.3;38.0;23.7;14.3;9.5;2.6;12.0;52.8;25.9;11.0;3.5;4.6;2.9;44.8;29.5;13.0;2.3;44.1;6.7;1.6;5.4;0.5;30.0;21.9;63.1;;57.4;74.3;46.8;38.3;30.3;30.7;28.0;19.0;5.2;70.3;29.2;39.2;3.7;27.7;42.9;19.3;45.8;51.9;31.0;6.1;22.9;24.3;18.1;5.9
52;Noord- en Oost-Gelderland;Marge;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
