ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;AantalHHBehorendeTotDoelpopulatie_2;AantalHuishoudensMetEenLaagInkomen_3;AantalHHOnderOfRondHetSocMin_4
99;Overig Groningen;Eenoudergezin;9.4;8.9;24.0;29.0
100;Noord-Friesland;Totaal particulier huishouden;134.5;129.6;9.0;9.0
101;Noord-Friesland;Eenpersoonshuishouden;41.3;39.5;14.0;15.0
102;Noord-Friesland;Paar zonder kinderen;41.2;40.0;4.0;4.0
103;Noord-Friesland;Paar met kinderen;42.0;40.7;6.0;4.0
104;Noord-Friesland;Eenoudergezin;7.3;6.9;21.0;24.0
105;Zuidwest-Friesland;Totaal particulier huishouden;42.7;41.2;8.0;8.0
106;Zuidwest-Friesland;Eenpersoonshuishouden;12.6;12.0;13.0;14.0
107;Zuidwest-Friesland;Paar zonder kinderen;13.6;13.2;4.0;5.0
108;Zuidwest-Friesland;Paar met kinderen;13.6;13.2;7.0;5.0
109;Zuidwest-Friesland;Eenoudergezin;2.2;2.0;21.0;25.0
110;Zuidoost-Friesland;Totaal particulier huishouden;84.0;81.5;8.0;7.0
111;Zuidoost-Friesland;Eenpersoonshuishouden;24.2;23.4;11.0;12.0
112;Zuidoost-Friesland;Paar zonder kinderen;27.3;26.7;4.0;4.0
113;Zuidoost-Friesland;Paar met kinderen;26.4;25.6;6.0;4.0
114;Zuidoost-Friesland;Eenoudergezin;4.4;4.2;21.0;25.0
115;Noord-Drenthe;Totaal particulier huishouden;74.5;72.6;7.0;7.0
116;Noord-Drenthe;Eenpersoonshuishouden;20.4;19.7;11.0;11.0
117;Noord-Drenthe;Paar zonder kinderen;25.3;24.8;3.0;3.0
118;Noord-Drenthe;Paar met kinderen;23.7;23.1;6.0;4.0
119;Noord-Drenthe;Eenoudergezin;3.6;3.4;19.0;23.0
120;Zuidoost-Drenthe;Totaal particulier huishouden;69.6;67.3;8.0;7.0
121;Zuidoost-Drenthe;Eenpersoonshuishouden;18.0;17.4;12.0;12.0
122;Zuidoost-Drenthe;Paar zonder kinderen;23.6;23.1;4.0;4.0
123;Zuidoost-Drenthe;Paar met kinderen;22.5;21.7;7.0;5.0
124;Zuidoost-Drenthe;Eenoudergezin;3.3;3.1;23.0;27.0
125;Zuidwest-Drenthe;Totaal particulier huishouden;51.3;49.8;7.0;6.0
126;Zuidwest-Drenthe;Eenpersoonshuishouden;14.1;13.7;10.0;10.0
127;Zuidwest-Drenthe;Paar zonder kinderen;17.0;16.6;3.0;4.0
128;Zuidwest-Drenthe;Paar met kinderen;16.6;16.1;6.0;4.0
129;Zuidwest-Drenthe;Eenoudergezin;2.3;2.1;20.0;23.0
130;Noord-Overijssel;Totaal particulier huishouden;131.2;127.4;7.0;7.0
131;Noord-Overijssel;Eenpersoonshuishouden;36.5;35.0;11.0;11.0
132;Noord-Overijssel;Paar zonder kinderen;39.2;38.3;4.0;4.0
133;Noord-Overijssel;Paar met kinderen;45.6;44.6;6.0;4.0
134;Noord-Overijssel;Eenoudergezin;6.2;5.8;18.0;21.0
135;Zuidwest-Overijssel;Totaal particulier huishouden;58.9;56.9;8.0;8.0
136;Zuidwest-Overijssel;Eenpersoonshuishouden;17.2;16.3;12.0;12.0
137;Zuidwest-Overijssel;Paar zonder kinderen;18.2;17.8;4.0;4.0
