ID;Periods;GovernmentRevenue_1;GovernmentExpenditure_2;BalanceOfTheGeneralGovernmentSector_3;MaastrichtDebtEMU_4;FiscalBurden_5;FinalConsumptionOfGeneralGovernment_6;GovernmentRevenueSeasonalAdjusted_7;GovernmentExpenditureSeasonalAdjusted_8;BalanceOfGGSectorSeasonalAdjusted_9;NetSaving_10;NetSavingAndCapitalTransfers_11;GovernmentRevenue_12;GovernmentExpenditure_13;BalanceOfTheGeneralGovernmentSector_14;GovernmentDebtEMU_15;FiscalBurden_16;FinalConsumptionOfGeneralGovernment_17;GovernmentRevenueSeasonalAdjusted_18;GovernmentExpenditureSeasonalAdjusted_19;BalanceOfGGSectorSeasonalAdjusted_20;NetSaving_21;NetSavingAndCapitalTransfers_22;Persons_23;FteJobs_24;HoursWorked_25;MaterialConsumptionOfGovernmentIMOC_26
18;2001;210599;212858;-2259;239037.0;172661;100928;;;;4623;2641;43.6;44.1;-0.5;49.5;35.8;20.9;;;;1.0;0.5;1107.0;999.0;1575.0;4.2
19;2002 1st quarter;52224;53936;-1712;243624.0;43208;26211;53544.0;55220.0;-1676.0;-236;-420;43.6;44.3;-0.7;50.0;35.8;21.2;43.2;44.5;-1.4;0.8;0.4;;;;
20;2002 2nd quarter;55237;58892;-3655;246882.0;45663;28931;53424.0;56140.0;-2716.0;-1944;-2110;43.3;44.5;-1.2;50.1;35.8;21.5;42.6;44.8;-2.2;0.2;0.0;;;;
21;2002 3rd quarter;49831;53585;-3754;246076.0;41424;26259;53402.0;56504.0;-3102.0;-1670;-2282;42.8;44.6;-1.8;49.4;35.4;21.7;42.2;44.6;-2.5;-0.3;-0.6;;;;
22;2002 4th quarter;56698;58792;-2094;245253.0;47092;29334;53614.0;57173.0;-3559.0;523;509;42.6;44.8;-2.2;48.8;35.3;22.0;42.2;45.0;-2.8;-0.7;-0.9;;;;
23;2002;213990;225205;-11215;245253.0;177387;110735;;;;-3327;-4303;42.6;44.8;-2.2;48.8;35.3;22.0;;;;-0.7;-0.9;1133.0;1020.0;1619.0;3.2
24;2003 1st quarter;53758;56607;-2849;252629.0;44361;27815;54893.0;58076.0;-3183.0;-1411;-1526;42.5;45.0;-2.4;49.8;35.2;22.2;42.9;45.4;-2.5;-0.9;-1.1;;;;
25;2003 2nd quarter;56453;61371;-4918;251443.0;46428;30643;54958.0;58653.0;-3695.0;-3174;-3397;42.5;45.2;-2.7;49.4;35.2;22.4;42.9;45.8;-2.9;-1.1;-1.3;;;;
26;2003 3rd quarter;50169;56501;-6332;257349.0;41519;27933;53744.0;59506.0;-5762.0;-4281;-4500;42.4;45.6;-3.2;50.3;35.1;22.6;41.7;46.2;-4.5;-1.6;-1.7;;;;
27;2003 4th quarter;58763;61099;-2336;256822.0;48351;31172;55288.0;59205.0;-3917.0;282;284;42.6;45.8;-3.2;49.9;35.1;22.8;42.4;45.4;-3.0;-1.7;-1.8;;;;
28;2003;219143;235578;-16435;256822.0;180659;117563;;;;-8584;-9139;42.6;45.8;-3.2;49.9;35.1;22.8;;;;-1.7;-1.8;1159.0;1039.0;1662.0;2.5
29;2004 1st quarter;54398;57321;-2923;263389.0;44367;28300;55526.0;58906.0;-3380.0;-2291;-2282;42.4;45.6;-3.2;50.8;34.9;22.8;42.5;45.0;-2.6;-1.8;-1.9;;;;
30;2004 2nd quarter;57918;61767;-3849;267289.0;46966;31195;56765.0;59155.0;-2390.0;-3084;-3160;42.3;45.3;-3.0;51.1;34.7;22.7;42.8;44.6;-1.8;-1.8;-1.8;;;;
31;2004 3rd quarter;53778;56423;-2645;271687.0;43804;28466;57588.0;59458.0;-1870.0;-1814;-1935;42.7;44.9;-2.2;51.6;34.8;22.6;43.2;44.6;-1.4;-1.3;-1.3;;;;
32;2004 4th quarter;61675;61959;-284;266661.0;51132;31720;57676.0;59863.0;-2187.0;1078;1318;42.8;44.7;-1.8;50.2;35.0;22.5;42.9;44.6;-1.6;-1.1;-1.1;;;;
33;2004;227769;237470;-9701;266661.0;186269;119681;;;;-6111;-6059;42.8;44.7;-1.8;50.2;35.0;22.5;;;;-1.1;-1.1;1155.0;1021.0;1633.0;1.8
34;2005 1st quarter;56288;56865;-577;267909.0;46360;29185;57365.0;58423.0;-1058.0;-918;-1052;42.9;44.2;-1.4;50.0;35.1;22.5;42.4;43.2;-0.8;-0.9;-0.9;;;;
35;2005 2nd quarter;58897;61993;-3096;282521.0;48683;32114;58162.0;59453.0;-1291.0;-2965;-2892;42.6;43.8;-1.2;52.2;35.1;22.4;42.5;43.4;-0.9;-0.9;-0.8;;;;
36;2005 3rd quarter;56371;56935;-564;276313.0;46311;29407;60446.0;60106.0;340.0;-431;-101;42.6;43.5;-0.8;50.5;35.2;22.4;43.4;43.2;0.2;-0.6;-0.5;;;;
37;2005 4th quarter;65764;64374;1390;274598.0;53782;32695;61254.0;62119.0;-865.0;4501;4097;42.9;43.4;-0.5;49.6;35.3;22.3;43.4;44.0;-0.6;0.0;0.0;;;;
38;2005;237320;240167;-2847;274598.0;195136;123401;;;;187;52;42.9;43.4;-0.5;49.6;35.3;22.3;;;;0.0;0.0;1141.0;1002.0;1598.0;2.2
39;2006 1st quarter;61470;61645;-175;275419.0;50678;32249;62255.0;63229.0;-974.0;547;733;43.1;43.6;-0.4;49.0;35.5;22.5;43.4;44.0;-0.7;0.3;0.3;;;;
40;2006 2nd quarter;64698;66819;-2121;276036.0;52462;35307;64261.0;64114.0;147.0;-1573;-1461;43.5;43.8;-0.3;48.4;35.6;22.7;44.0;43.9;0.1;0.5;0.6;;;;
41;2006 3rd quarter;61142;61711;-569;273409.0;50336;32623;65992.0;65194.0;798.0;306;267;43.7;44.0;-0.3;47.3;35.8;23.0;44.7;44.1;0.5;0.7;0.6;;;;
42;2006 4th quarter;71113;68077;3036;264472.0;59139;36137;66124.0;65803.0;321.0;4283;4679;44.0;44.0;0.0;45.0;36.2;23.2;44.0;43.8;0.2;0.6;0.7;;;;
43;2006;258423;258252;171;264472.0;212615;136316;;;;3563;4218;44.0;44.0;0.0;45.0;36.2;23.2;;;;0.6;0.7;1134.0;996.0;1582.0;2.1
44;2007 1st quarter;65792;64756;1036;269603.0;53709;34372;65804.0;66271.0;-467.0;1912;2040;44.0;43.8;0.2;45.2;36.1;23.2;43.0;43.3;-0.3;0.8;0.9;;;;
45;2007 2nd quarter;66362;69748;-3386;274766.0;55425;37563;66324.0;66916.0;-592.0;-2650;-2443;43.7;43.7;0.0;45.4;36.1;23.2;42.9;43.3;-0.4;0.6;0.8;;;;
46;2007 3rd quarter;60347;64013;-3666;272239.0;50542;34548;65727.0;67587.0;-1860.0;-2817;-2901;43.0;43.4;-0.5;44.4;35.7;23.2;42.0;43.2;-1.2;0.1;0.2;;;;
47;2007 4th quarter;75347;70949;4398;266545.0;62080;38290;70018.0;68750.0;1268.0;5888;6257;43.0;43.3;-0.3;42.8;35.6;23.2;44.0;43.2;0.8;0.4;0.5;;;;
48;2007;267848;269466;-1618;266545.0;221756;144773;;;;2333;2953;43.0;43.3;-0.3;42.8;35.6;23.2;;;;0.4;0.5;1143.0;999.0;1587.0;2.5
49;2008 1st quarter;72319;70395;1924;275484.0;57942;36222;71437.0;71973.0;-536.0;4325;3648;43.5;43.6;-0.1;43.7;35.8;23.2;44.2;44.6;-0.3;0.8;0.7;;;;
50;2008 2nd quarter;71506;74412;-2906;278532.0;59243;39579;71774.0;71373.0;401.0;-1278;-1082;43.7;43.8;0.0;43.6;35.9;23.2;44.0;43.8;0.2;1.0;0.9;;;;
51;2008 3rd quarter;65395;67495;-2100;284034.0;54644;36462;71761.0;71105.0;656.0;-1483;-1463;44.0;43.8;0.2;43.9;36.1;23.3;43.8;43.4;0.4;1.2;1.1;;;;
52;2008 4th quarter;79017;75958;3059;353866.0;63172;40502;73478.0;73747.0;-269.0;4935;4916;44.3;44.3;0.0;54.3;36.1;23.5;45.1;45.2;-0.2;1.0;0.9;;;;
53;2008;288237;288260;-23;353866.0;235001;152765;;;;6499;6019;44.3;44.3;0.0;54.3;36.1;23.5;;;;1.0;0.9;1157.0;1016.0;1619.0;3.4
54;2009 1st quarter;70367;74004;-3637;370131.0;57113;38754;68839.0;75737.0;-6898.0;-1571;-1590;44.2;45.0;-0.9;57.1;36.1;24.0;43.4;47.8;-4.3;0.1;0.1;;;;
55;2009 2nd quarter;67246;76748;-9502;361160.0;55169;42409;67798.0;73618.0;-5820.0;-7148;-7540;43.9;45.8;-1.9;56.3;35.8;24.6;43.2;46.9;-3.7;-0.8;-0.9;;;;
56;2009 3rd quarter;62281;74088;-11807;360691.0;51689;39058;68344.0;77812.0;-9468.0;-8641;-9563;43.9;47.3;-3.4;56.8;35.8;25.3;43.5;49.6;-6.0;-2.0;-2.2;;;;
57;2009 4th quarter;73134;80336;-7202;355057.0;58572;43350;68363.0;78050.0;-9687.0;-3977;-5592;43.3;48.4;-5.1;56.3;35.3;26.0;43.4;49.5;-6.1;-3.4;-3.9;;;;
58;2009;273028;305176;-32148;355057.0;222543;163571;;;;-21337;-24285;43.3;48.4;-5.1;56.3;35.3;26.0;;;;-3.4;-3.9;1174.0;1030.0;1647.0;-0.1
59;2010 1st quarter;70155;75992;-5837;359585.0;56608;39970;68258.0;77975.0;-9717.0;-3751;-4360;43.4;48.8;-5.5;57.2;35.3;26.2;43.3;49.4;-6.2;-3.7;-4.3;;;;
60;2010 2nd quarter;71175;81952;-10777;372655.0;59582;43739;71625.0;78598.0;-6973.0;-8254;-8895;43.7;49.3;-5.6;58.8;35.7;26.2;44.4;48.7;-4.3;-3.9;-4.5;;;;
61;2010 3rd quarter;62043;75151;-13108;374439.0;51826;40297;68108.0;78676.0;-10568.0;-11176;-11601;43.3;49.1;-5.8;58.7;35.5;26.2;42.2;48.8;-6.5;-4.3;-4.8;;;;
62;2010 4th quarter;76918;81128;-4210;379043.0;62084;44704;72469.0;78897.0;-6428.0;-1330;-2813;43.6;48.9;-5.3;58.9;35.8;26.2;44.7;48.6;-4.0;-3.8;-4.3;;;;
63;2010;280291;314223;-33932;379043.0;230100;168710;;;;-24511;-27669;43.6;48.9;-5.3;58.9;35.8;26.2;;;;-3.8;-4.3;1191.0;1043.0;1660.0;0.8
64;2011 1st quarter;74184;76470;-2286;383083.0;59304;40105;71744.0;78600.0;-6856.0;326;-443;43.8;48.5;-4.7;59.1;35.9;26.0;43.9;48.1;-4.2;-3.2;-3.7;;;;
65;2011 2nd quarter;70330;81573;-11243;391178.0;58467;43743;70582.0;78251.0;-7669.0;-10100;-10041;43.5;48.2;-4.7;60.0;35.5;25.9;43.1;47.7;-4.7;-3.4;-3.8;;;;
66;2011 3rd quarter;65822;75052;-9230;396899.0;54953;40393;72099.0;78309.0;-6210.0;-7381;-7628;43.9;48.0;-4.1;60.6;35.9;25.8;43.9;47.6;-3.8;-2.8;-3.2;;;;
67;2011 4th quarter;74085;80321;-6236;401579.0;60778;44586;70640.0;78310.0;-7670.0;-5144;-5372;43.4;47.8;-4.4;61.2;35.6;25.7;43.0;47.7;-4.7;-3.4;-3.6;;;;
68;2011;284421;313416;-28995;401579.0;233502;168827;;;;-22299;-23484;43.4;47.8;-4.4;61.2;35.6;25.7;;;;-3.4;-3.6;1171.0;1018.0;1620.0;1.5
69;2012 1st quarter;74756;75346;-590;407271.0;59189;40586;71905.0;77474.0;-5569.0;270;119;43.4;47.6;-4.2;62.0;35.5;25.8;43.9;47.3;-3.4;-3.4;-3.5;;;;
70;2012 2nd quarter;72547;82043;-9496;417361.0;60111;44324;72238.0;78608.0;-6370.0;-8395;-8657;43.7;47.6;-3.9;63.5;35.7;25.8;43.9;47.7;-3.9;-3.1;-3.3;;;;
71;2012 3rd quarter;64569;75587;-11018;423367.0;53821;40820;70974.0;78771.0;-7797.0;-9224;-9687;43.5;47.7;-4.2;64.4;35.6;25.9;43.2;48.0;-4.8;-3.4;-3.6;;;;
72;2012 4th quarter;76470;80622;-4152;432723.0;62216;45293;73514.0;78853.0;-5339.0;-3456;-3587;43.8;47.6;-3.8;65.7;35.8;26.0;44.5;47.7;-3.2;-3.2;-3.3;;;;
73;2012;288342;313598;-25256;432723.0;235337;171023;;;;-20805;-21812;43.8;47.6;-3.8;65.7;35.8;26.0;;;;-3.2;-3.3;1154.0;1001.0;1587.0;0.8
74;2013 1st quarter;78121;76955;1166;435759.0;61052;41388;74780.0;79004.0;-4224.0;2667;1474;44.3;47.9;-3.6;66.2;36.0;26.1;45.2;47.8;-2.6;-2.8;-3.1;;;;
75;2013 2nd quarter;75161;82362;-7201;447515.0;62342;44441;74571.0;78822.0;-4251.0;-6569;-6691;44.6;47.8;-3.2;67.8;36.3;26.0;44.9;47.4;-2.6;-2.5;-2.8;;;;
76;2013 3rd quarter;68108;76434;-8326;446725.0;57099;40998;74764.0;79643.0;-4879.0;-7717;-7638;44.9;47.7;-2.8;67.3;36.6;25.9;44.9;47.8;-2.9;-2.3;-2.5;;;;
77;2013 4th quarter;75993;80674;-4681;447293.0;61521;44540;73595.0;79145.0;-5550.0;-4221;-4435;44.7;47.5;-2.9;67.2;36.4;25.7;44.0;47.3;-3.3;-2.4;-2.6;;;;
78;2013;297383;316425;-19042;447293.0;242014;171367;;;;-15840;-17290;44.7;47.5;-2.9;67.2;36.4;25.7;;;;-2.4;-2.6;1140.0;989.0;1568.0;1.3
79;2014 1st quarter;77545;77566;-21;445641.0;63318;41836;74155.0;79521.0;-5366.0;1086;217;44.4;47.4;-3.0;66.6;36.5;25.7;43.8;47.0;-3.2;-2.6;-2.8;;;;
80;2014 2nd quarter;76612;83314;-6702;456277.0;64775;44941;75633.0;79528.0;-3895.0;-6202;-6546;44.4;47.4;-2.9;68.0;36.7;25.7;44.9;47.2;-2.3;-2.5;-2.7;;;;
81;2014 3rd quarter;69109;75433;-6324;454726.0;58688;41731;75831.0;78747.0;-2916.0;-5946;-6314;44.4;47.0;-2.6;67.4;36.8;25.7;44.8;46.5;-1.7;-2.3;-2.5;;;;
82;2014 4th quarter;78707;80873;-2166;456083.0;65439;45318;76620.0;79477.0;-2857.0;-2441;-2354;44.5;46.7;-2.2;67.2;37.2;25.6;44.6;46.3;-1.7;-2.0;-2.2;;;;
83;2014;301973;317186;-15213;456083.0;252220;173826;;;;-13503;-14997;44.5;46.7;-2.2;67.2;37.2;25.6;;;;-2.0;-2.2;1126.0;983.0;1567.0;0.0
84;2015 1st quarter;79682;77472;2210;464680.0;66267;41684;76037.0;79337.0;-3300.0;2510;2666;44.6;46.5;-1.9;68.2;37.5;25.5;44.2;46.1;-1.9;-1.8;-1.8;;;;
85;2015 2nd quarter;76208;82975;-6767;453523.0;64704;44800;75209.0;79086.0;-3877.0;-6571;-6774;44.2;46.1;-1.9;66.0;37.1;25.3;43.2;45.4;-2.2;-1.8;-1.9;;;;
86;2015 3rd quarter;69192;75589;-6397;451711.0;59183;42046;75586.0;78933.0;-3347.0;-5967;-6201;43.8;45.6;-1.9;65.1;36.8;25.0;42.8;44.7;-1.9;-1.8;-1.8;;;;
87;2015 4th quarter;78873;80353;-1480;446274.0;67533;45281;77371.0;79121.0;-1750.0;-1414;-1488;43.5;45.3;-1.8;63.8;36.9;24.9;43.8;44.8;-1.0;-1.6;-1.7;;;;
88;2015;303955;316389;-12434;446274.0;257687;173811;;;;-11442;-11797;43.5;45.3;-1.8;63.8;36.9;24.9;;;;-1.6;-1.7;1120.0;976.0;1543.0;0.3
89;2016 1st quarter;81337;77374;3963;446777.0;70191;42014;77344.0;79201.0;-1857.0;4255;4203;43.4;44.9;-1.5;63.4;37.1;24.7;43.6;44.6;-1.0;-1.4;-1.5;;;;
90;2016 2nd quarter;81394;83430;-2036;442413.0;70479;45634;80255.0;79412.0;843.0;-2223;-2175;43.8;44.6;-0.8;62.3;37.7;24.6;44.8;44.3;0.5;-0.8;-0.8;;;;
91;2016 3rd quarter;74151;76626;-2475;433617.0;64515;42665;80780.0;80044.0;736.0;-2573;-2331;44.2;44.5;-0.3;60.7;38.2;24.6;44.7;44.3;0.4;-0.3;-0.3;;;;
92;2016 4th quarter;81032;78849;2183;438495.0;69660;46176;80134.0;77712.0;2422.0;3055;1887;44.1;43.9;0.2;60.9;38.2;24.5;43.8;42.5;1.3;0.3;0.2;;;;
93;2016;317914;316279;1635;438495.0;274845;176489;;;;2514;1584;44.1;43.9;0.2;60.9;38.2;24.5;;;;0.3;0.2;1115.0;973.0;1545.0;0.5
94;2017 1st quarter;86264;77798;8466;427110.0;75477;43124;81467.0;79549.0;1918.0;9126;8418;44.4;43.5;0.8;58.7;38.5;24.4;44.1;43.1;1.0;1.0;0.8;;;;
95;2017 2nd quarter;82912;84121;-1209;426353.0;72184;46848;81942.0;80149.0;1793.0;-2102;-1756;44.1;43.2;0.9;58.0;38.3;24.3;43.9;42.9;1.0;1.0;0.8;;;;
96;2017 3rd quarter;76714;77386;-672;417885.0;67027;43778;83376.0;80826.0;2550.0;-961;-528;44.0;42.8;1.2;56.2;38.3;24.2;44.2;42.8;1.4;1.2;1.1;;;;
97;2017 4th quarter;85053;81754;3299;420444.0;73573;47720;84604.0;80501.0;4103.0;2983;3157;44.1;42.8;1.3;56.0;38.4;24.2;44.3;42.2;2.1;1.2;1.2;;;;
98;2017;330943;321059;9884;420444.0;288261;181470;;;;9046;9291;44.1;42.8;1.3;56.0;38.4;24.2;;;;1.2;1.2;1119.0;972.0;1541.0;1.0
99;2018 1st quarter;91780;79904;11876;413087.0;80812;45680;86250.0;81630.0;4620.0;11570;11688;44.2;42.5;1.7;54.3;38.6;24.2;44.3;42.0;2.4;1.5;1.7;;;;
100;2018 2nd quarter;87169;86989;180;409359.0;75555;48486;86196.0;83083.0;3113.0;249;-291;44.3;42.4;1.9;53.2;38.6;24.1;44.1;42.5;1.6;1.8;1.8;;;;
101;2018 3rd quarter;80215;80320;-105;406097.0;70430;46189;87243.0;84028.0;3215.0;-449;-49;44.2;42.3;2.0;52.2;38.6;24.2;44.1;42.5;1.6;1.8;1.9;;;;
102;2018 4th quarter;86582;86930;-348;406040.0;75903;50294;86212.0;85174.0;1038.0;-81;-394;43.9;42.4;1.5;51.6;38.4;24.2;43.2;42.6;0.5;1.4;1.4;;;;
103;2018;345746;334143;11603;406040.0;302700;190649;;;;11289;10954;43.9;42.4;1.5;51.6;38.4;24.2;;;;1.4;1.4;1123.0;974.0;1553.0;2.1
104;2019 1st quarter;97746;84689;13057;398836.0;86558;48538;91793.0;86499.0;5294.0;13601;13532;44.1;42.5;1.6;50.0;38.7;24.3;44.9;42.3;2.6;1.7;1.6;;;;
105;2019 2nd quarter;90868;90456;412;404379.0;79764;51689;89792.0;86797.0;2995.0;503;692;43.9;42.3;1.6;50.0;38.6;24.3;43.4;42.0;1.4;1.7;1.7;;;;
106;2019 3rd quarter;83878;85072;-1194;395734.0;73957;49122;91399.0;89115.0;2284.0;-593;-816;43.8;42.4;1.5;48.3;38.6;24.4;43.9;42.8;1.1;1.6;1.6;;;;
107;2019 4th quarter;91611;89101;2510;395441.0;80986;52913;90801.0;86609.0;4192.0;2537;2486;43.9;42.1;1.8;47.7;38.7;24.4;43.2;41.2;2.0;1.9;1.9;;;;
108;2019;364103;349318;14785;395441.0;321265;202262;;;;16048;15894;43.9;42.1;1.8;47.7;38.7;24.4;;;;1.9;1.9;1145.0;992.0;1591.0;2.3
109;2020 1st quarter;98148;88725;9423;404095.0;87658;50520;92850.0;90946.0;1904.0;10502;9630;43.7;42.4;1.3;48.4;38.6;24.5;44.5;43.5;0.9;1.6;1.4;;;;
110;2020 2nd quarter;84375;104487;-20112;442586.0;75307;52190;82916.0;100648.0;-17732.0;-19841;-19765;43.7;44.8;-1.1;54.0;38.8;25.0;43.1;52.3;-9.2;-0.9;-1.0;;;;
111;2020 3rd quarter;83727;93086;-9359;442261.0;74387;51511;91517.0;97520.0;-6003.0;-8456;-8628;43.8;45.9;-2.1;54.1;39.0;25.3;44.4;47.3;-2.9;-1.9;-2.0;;;;
112;2020 4th quarter;94670;104079;-9409;436123.0;83569;55522;92979.0;100361.0;-7382.0;-8153;-8664;44.2;47.8;-3.6;53.4;39.3;25.7;44.4;48.0;-3.5;-3.2;-3.4;;;;
113;2020;360920;390377;-29457;436123.0;320921;209743;;;;-25948;-27427;44.2;47.8;-3.6;53.4;39.3;25.7;;;;-3.2;-3.4;1166.0;1009.0;1609.0;1.8
114;2021 1st quarter;98856;99020;-164;440700.0;87868;52667;94961.0;102112.0;-7151.0;-175;-1;44.2;48.9;-4.8;53.8;39.2;25.9;45.0;48.4;-3.4;-4.5;-4.5;;;;
115;2021 2nd quarter;96255;105405;-9150;448677.0;85377;57651;93809.0;101719.0;-7910.0;-8886;-9102;44.0;47.3;-3.3;52.9;39.0;25.6;42.3;45.9;-3.6;-3.0;-3.1;;;;
116;2021 3rd quarter;90143;97283;-7140;443873.0;79951;55620;98467.0;101667.0;-3200.0;-6128;-6749;43.7;46.7;-3.0;51.0;38.7;25.5;43.2;44.6;-1.4;-2.7;-2.8;;;;
117;2021 4th quarter;104318;107463;-3145;450239.0;92121;60433;101614.0;103191.0;-1577.0;176;-2401;43.7;45.9;-2.2;50.5;38.7;25.4;44.0;44.7;-0.7;-1.7;-2.0;;;;
118;2021;389572;409171;-19599;450239.0;345317;226371;;;;-15013;-18253;43.7;45.9;-2.2;50.5;38.7;25.4;;;;-1.7;-2.0;1195.0;1036.0;1665.0;3.9
119;2022 1st quarter;105701;99332;6369;447671.0;94858;56790;103622.0;103255.0;367.0;7892;6737;43.1;44.6;-1.4;48.7;38.3;25.1;43.4;43.2;0.2;-0.8;-1.3;;;;
120;2022 2nd quarter;111007;107931;3076;458820.0;94612;60948;106893.0;103911.0;2982.0;3253;2864;43.6;43.7;-0.1;48.6;38.3;24.8;43.5;42.3;1.2;0.6;0.0;;;;
121;2022 3rd quarter;99115;106097;-6982;451646.0;84446;59588;107948.0;110515.0;-2567.0;-4279;-4753;43.4;43.5;-0.1;46.7;37.8;24.6;42.9;43.9;-1.0;0.7;0.3;;;;
122;2022 4th quarter;114038;116386;-2348;481145.0;100376;64572;110660.0;111840.0;-1180.0;-954;-2975;43.3;43.2;0.0;48.4;37.7;24.3;43.0;43.5;-0.5;0.6;0.2;;;;
123;2022;429861;429746;115;481145.0;374292;241898;;;;5912;1873;43.3;43.2;0.0;48.4;37.7;24.3;;;;0.6;0.2;1231.0;1067.0;1696.0;7.5
124;2023 1st quarter;111204;108411;2793;475134.0;99766;61598;111033.0;113251.0;-2218.0;2800;2525;42.9;43.2;-0.3;46.8;37.3;24.3;42.5;43.3;-0.8;0.1;-0.2;;;;
125;2023 2nd quarter;119572;119624;-52;470879.0;106838;66267;113928.0;114756.0;-828.0;3079;283;42.8;43.5;-0.6;45.5;37.8;24.3;42.9;43.3;-0.3;0.1;-0.5;;;;
126;2023 3rd quarter;106308;112105;-5797;468102.0;94451;65679;115000.0;116453.0;-1453.0;-4759;-5075;42.8;43.4;-0.5;44.5;38.1;24.5;42.7;43.3;-0.5;0.0;-0.5;;;;
127;2023 4th quarter;120313;121077;-764;482228.0;106372;70547;117091.0;116753.0;338.0;816;-185;42.8;43.2;-0.4;45.2;38.2;24.7;43.1;42.9;0.1;0.2;-0.2;;;;
128;2023;457397;461217;-3820;482228.0;407427;264091;;;;1936;-2452;42.8;43.2;-0.4;45.2;38.2;24.7;;;;0.2;-0.2;1263.0;1100.0;1735.0;5.8
129;2024 1st quarter;117135;114404;2731;476519.0;103950;68031;118323.0;119766.0;-1443.0;2737;3012;42.8;43.1;-0.4;44.0;38.0;25.0;42.7;43.2;-0.5;0.2;-0.2;;;;
