ID;Waterusers;Periods;TapWaterUse_1;TotalUseOfGroundwater_2;UseOfGroundwaterForCooling_3;OtherUseOfGroundwater_4;UseOfSurfaceWater_5
73;13-15 Man. of textile-, leatherproducts;2004;2.0;5.3;0.5;4.8;5.1
74;13-15 Man. of textile-, leatherproducts;2005;1.7;5.3;0.5;4.8;5.9
75;13-15 Man. of textile-, leatherproducts;2006;1.8;4.0;0.5;3.6;4.2
76;13-15 Man. of textile-, leatherproducts;2007;2.0;4.3;0.5;3.7;5.4
77;13-15 Man. of textile-, leatherproducts;2008;2.0;3.8;0.5;3.3;6.1
78;13-15 Man. of textile-, leatherproducts;2009;1.4;2.0;0.3;1.8;1.5
79;13-15 Man. of textile-, leatherproducts;2010;1.4;2.2;0.4;1.8;1.6
80;13-15 Man. of textile-, leatherproducts;2011;1.4;2.3;0.4;1.9;4.4
81;16-18 Man. wood en paperprod., printing;2003;3.2;36.1;0.3;35.8;98.5
82;16-18 Man. wood en paperprod., printing;2004;2.7;33.6;0.2;33.4;110.0
83;16-18 Man. wood en paperprod., printing;2005;3.5;23.7;1.6;22.2;115.9
84;16-18 Man. wood en paperprod., printing;2006;3.3;22.4;2.3;20.1;107.8
85;16-18 Man. wood en paperprod., printing;2007;3.3;21.3;2.0;19.2;110.9
86;16-18 Man. wood en paperprod., printing;2008;4.0;19.2;2.3;16.9;106.7
87;16-18 Man. wood en paperprod., printing;2009;3.2;22.4;1.8;20.6;84.8
88;16-18 Man. wood en paperprod., printing;2010;1.8;12.4;0.9;11.6;76.1
89;16-18 Man. wood en paperprod., printing;2011;1.7;15.3;0.7;14.6;73.2
90;16 Manufacture of wood products;2003;0.2;0.2;0.1;0.1;0.1
91;16 Manufacture of wood products;2004;0.2;0.2;0.1;0.1;0.1
92;16 Manufacture of wood products;2005;0.2;0.2;0.1;0.1;0.1
93;16 Manufacture of wood products;2006;0.2;0.2;0.1;0.1;0.1
94;16 Manufacture of wood products;2007;0.2;0.2;0.1;0.1;0.1
95;16 Manufacture of wood products;2008;0.2;0.2;0.1;0.1;0.1
96;16 Manufacture of wood products;2009;0.2;0.2;0.1;0.1;0.0
97;16 Manufacture of wood products;2010;0.2;0.1;0.1;0.1;0.0
98;16 Manufacture of wood products;2011;0.2;0.1;0.1;0.1;0.0
99;17 Manufacture of paper;2003;2.2;35.4;0.2;35.3;98.2
100;17 Manufacture of paper;2004;1.8;33.0;0.1;33.0;109.8
101;17 Manufacture of paper;2005;2.7;23.1;1.4;21.7;115.7
102;17 Manufacture of paper;2006;2.5;21.8;2.2;19.7;107.6
103;17 Manufacture of paper;2007;2.4;20.7;1.9;18.8;110.7
104;17 Manufacture of paper;2008;3.1;18.6;2.2;16.4;106.5
105;17 Manufacture of paper;2009;2.3;21.9;1.7;20.2;84.6
106;17 Manufacture of paper;2010;1.1;11.9;0.8;11.2;76.0
107;17 Manufacture of paper;2011;1.0;14.8;0.6;14.2;73.0
108;18 Printing and reproduction;2003;0.7;0.5;0.1;0.4;0.2
109;18 Printing and reproduction;2004;0.7;0.4;0.0;0.4;0.2
110;18 Printing and reproduction;2005;0.6;0.4;0.0;0.4;0.1
111;18 Printing and reproduction;2006;0.6;0.4;0.0;0.4;0.1
112;18 Printing and reproduction;2007;0.7;0.4;0.0;0.4;0.1
113;18 Printing and reproduction;2008;0.7;0.4;0.0;0.4;0.1
114;18 Printing and reproduction;2009;0.7;0.4;0.0;0.4;0.1
115;18 Printing and reproduction;2010;0.6;0.4;0.0;0.3;0.1
116;18 Printing and reproduction;2011;0.5;0.4;0.0;0.3;0.1
117;19 Manufacture of coke and petroleum;2003;16.7;0.1;0.0;0.1;297.4
118;19 Manufacture of coke and petroleum;2004;17.2;0.1;0.0;0.1;301.0
119;19 Manufacture of coke and petroleum;2005;19.1;0.0;0.0;0.0;281.2
120;19 Manufacture of coke and petroleum;2006;19.8;0.0;0.0;0.0;317.7
121;19 Manufacture of coke and petroleum;2007;20.5;0.0;0.0;0.0;322.8
122;19 Manufacture of coke and petroleum;2008;19.3;0.0;0.0;0.0;776.9
123;19 Manufacture of coke and petroleum;2009;18.6;0.0;0.0;0.0;828.8
124;19 Manufacture of coke and petroleum;2010;17.4;0.0;0.0;0.0;741.4
125;19 Manufacture of coke and petroleum;2011;20.7;0.1;0.0;0.1;805.6
126;20-21 Chemistry and pharmaceuticals;2003;51.0;34.7;25.2;9.5;2926.0
127;20-21 Chemistry and pharmaceuticals;2004;49.6;39.1;25.3;13.8;2785.2
128;20-21 Chemistry and pharmaceuticals;2005;44.7;30.1;19.5;10.7;2388.5
129;20-21 Chemistry and pharmaceuticals;2006;41.2;29.6;18.6;11.0;2409.7
130;20-21 Chemistry and pharmaceuticals;2007;39.9;30.0;12.7;17.3;2361.1
131;20-21 Chemistry and pharmaceuticals;2008;36.7;25.5;9.8;15.7;2017.3
132;20-21 Chemistry and pharmaceuticals;2009;38.3;24.3;10.7;13.6;2359.4
133;20-21 Chemistry and pharmaceuticals;2010;45.3;19.1;9.0;10.1;2146.6
134;20-21 Chemistry and pharmaceuticals;2011;42.7;17.5;8.9;8.7;2112.3
135;20 Manufacture of chemicals;2003;42.4;17.5;9.6;7.9;2914.4
136;20 Manufacture of chemicals;2004;39.3;21.8;10.4;11.5;2758.1
137;20 Manufacture of chemicals;2005;33.5;15.1;6.9;8.2;2363.9
138;20 Manufacture of chemicals;2006;33.7;18.1;8.1;10.1;2397.6
139;20 Manufacture of chemicals;2007;32.7;16.7;7.0;9.7;2349.7
140;20 Manufacture of chemicals;2008;30.4;14.3;5.0;9.3;2007.8
141;20 Manufacture of chemicals;2009;32.3;13.5;5.5;7.9;2351.0
142;20 Manufacture of chemicals;2010;40.3;14.0;4.6;9.5;2140.2
143;20 Manufacture of chemicals;2011;37.4;12.1;3.9;8.2;2109.8
144;201 Manufacture of basic chemicals;2003;37.3;13.5;7.4;6.2;2883.2
145;201 Manufacture of basic chemicals;2004;32.8;14.7;6.9;7.8;2705.0
146;201 Manufacture of basic chemicals;2005;29.0;10.7;4.9;5.8;2320.4
147;201 Manufacture of basic chemicals;2006;29.5;11.9;5.8;6.2;2353.8
148;201 Manufacture of basic chemicals;2007;28.8;9.9;4.5;5.4;2306.3
149;201 Manufacture of basic chemicals;2008;26.8;9.2;4.2;5.0;1961.6
150;201 Manufacture of basic chemicals;2009;29.2;9.3;4.8;4.5;2319.1
151;201 Manufacture of basic chemicals;2010;36.7;9.7;4.0;5.7;2111.5
152;201 Manufacture of basic chemicals;2011;32.3;9.1;3.5;5.6;2080.9
153;202 Manufacture agrochemical products;2003;;;;;
154;202 Manufacture agrochemical products;2004;;;;;
155;202 Manufacture agrochemical products;2005;;;;;
156;202 Manufacture agrochemical products;2006;;;;;
157;202 Manufacture agrochemical products;2007;;;;;
158;202 Manufacture agrochemical products;2008;;;;;
159;202 Manufacture agrochemical products;2009;;;;;
160;202 Manufacture agrochemical products;2010;;;;;
161;202 Manufacture agrochemical products;2011;;;;;
162;203 Manufacture of paints and ink;2003;;;;;
163;203 Manufacture of paints and ink;2004;;;;;
164;203 Manufacture of paints and ink;2005;;;;;
165;203 Manufacture of paints and ink;2006;;;;;
166;203 Manufacture of paints and ink;2007;;;;;
167;203 Manufacture of paints and ink;2008;;;;;
168;203 Manufacture of paints and ink;2009;;;;;
169;203 Manufacture of paints and ink;2010;;;;;
170;203 Manufacture of paints and ink;2011;;;;;
171;204 Manufacture detergents and cosmetics;2003;;;;;
172;204 Manufacture detergents and cosmetics;2004;;;;;
173;204 Manufacture detergents and cosmetics;2005;;;;;
174;204 Manufacture detergents and cosmetics;2006;;;;;
175;204 Manufacture detergents and cosmetics;2007;;;;;
176;204 Manufacture detergents and cosmetics;2008;;;;;
177;204 Manufacture detergents and cosmetics;2009;;;;;
178;204 Manufacture detergents and cosmetics;2010;;;;;
179;204 Manufacture detergents and cosmetics;2011;;;;;
180;205 Manufacture of other chemicals;2003;;;;;
181;205 Manufacture of other chemicals;2004;;;;;
182;205 Manufacture of other chemicals;2005;;;;;
183;205 Manufacture of other chemicals;2006;;;;;
184;205 Manufacture of other chemicals;2007;;;;;
185;205 Manufacture of other chemicals;2008;;;;;
186;205 Manufacture of other chemicals;2009;;;;;
187;205 Manufacture of other chemicals;2010;;;;;
188;205 Manufacture of other chemicals;2011;;;;;
189;206 Manufacture of man-made fibres;2003;;;;;
190;206 Manufacture of man-made fibres;2004;;;;;
191;206 Manufacture of man-made fibres;2005;;;;;
192;206 Manufacture of man-made fibres;2006;;;;;
193;206 Manufacture of man-made fibres;2007;;;;;
194;206 Manufacture of man-made fibres;2008;;;;;
195;206 Manufacture of man-made fibres;2009;;;;;
196;206 Manufacture of man-made fibres;2010;;;;;
197;206 Manufacture of man-made fibres;2011;;;;;
198;21 Manufacture of pharmaceuticals;2003;8.7;17.2;15.6;1.6;11.6
199;21 Manufacture of pharmaceuticals;2004;10.4;17.3;14.9;2.4;27.2
200;21 Manufacture of pharmaceuticals;2005;11.2;15.0;12.6;2.5;24.6
201;21 Manufacture of pharmaceuticals;2006;7.5;11.5;10.5;1.0;12.1
202;21 Manufacture of pharmaceuticals;2007;7.2;13.2;5.7;7.5;11.4
203;21 Manufacture of pharmaceuticals;2008;6.3;11.2;4.8;6.4;9.5
204;21 Manufacture of pharmaceuticals;2009;6.0;10.8;5.1;5.7;8.4
205;21 Manufacture of pharmaceuticals;2010;5.0;5.1;4.4;0.7;6.3
206;21 Manufacture of pharmaceuticals;2011;5.3;5.4;5.0;0.4;2.4
207;22-23 Man. plastics and constructionprod;2003;6.2;33.2;28.4;4.8;16.3
208;22-23 Man. plastics and constructionprod;2004;5.7;47.1;42.5;4.6;28.7
209;22-23 Man. plastics and constructionprod;2005;5.1;39.0;35.0;4.0;15.0
210;22-23 Man. plastics and constructionprod;2006;5.4;39.7;35.3;4.4;20.3
211;22-23 Man. plastics and constructionprod;2007;5.4;38.2;33.5;4.6;19.4
212;22-23 Man. plastics and constructionprod;2008;5.8;38.1;33.5;4.7;19.8
213;22-23 Man. plastics and constructionprod;2009;5.5;37.9;34.1;3.8;18.0
214;22-23 Man. plastics and constructionprod;2010;4.8;14.6;11.0;3.6;5.8
215;22-23 Man. plastics and constructionprod;2011;4.4;14.6;11.0;3.6;5.8
216;22 Manufacture rubber, plastic products;2003;3.5;25.7;24.5;1.2;13.3
217;22 Manufacture rubber, plastic products;2004;3.2;40.1;39.0;1.1;25.8
218;22 Manufacture rubber, plastic products;2005;2.8;33.0;32.1;0.9;12.2
219;22 Manufacture rubber, plastic products;2006;2.9;33.4;32.3;1.1;17.5
220;22 Manufacture rubber, plastic products;2007;2.9;32.0;30.9;1.2;16.6
221;22 Manufacture rubber, plastic products;2008;3.0;32.1;30.7;1.4;16.8
222;22 Manufacture rubber, plastic products;2009;3.0;32.5;31.6;0.9;15.7
223;22 Manufacture rubber, plastic products;2010;2.5;9.0;8.3;0.7;3.6
224;22 Manufacture rubber, plastic products;2011;2.2;9.0;8.3;0.7;3.6
225;23 Manufacture of building materials;2003;2.7;7.6;3.9;3.6;3.0
226;23 Manufacture of building materials;2004;2.5;7.0;3.6;3.4;2.9
227;23 Manufacture of building materials;2005;2.3;6.0;2.9;3.1;2.7
228;23 Manufacture of building materials;2006;2.4;6.3;3.0;3.3;2.8
229;23 Manufacture of building materials;2007;2.5;6.1;2.7;3.4;2.9
230;23 Manufacture of building materials;2008;2.7;6.0;2.7;3.3;3.0
231;23 Manufacture of building materials;2009;2.5;5.4;2.5;2.9;2.4
232;23 Manufacture of building materials;2010;2.3;5.5;2.7;2.9;2.2
233;23 Manufacture of building materials;2011;2.2;5.6;2.7;2.9;2.2
234;24-25 Man. of basic metals and -products;2003;29.7;21.1;17.7;3.4;214.7
235;24-25 Man. of basic metals and -products;2004;31.2;21.6;18.3;3.2;249.7
236;24-25 Man. of basic metals and -products;2005;30.5;20.0;17.3;2.8;229.5
237;24-25 Man. of basic metals and -products;2006;31.0;19.4;16.8;2.6;213.8
238;24-25 Man. of basic metals and -products;2007;32.1;20.0;16.7;3.3;233.8
239;24-25 Man. of basic metals and -products;2008;34.3;19.5;16.8;2.7;228.0
240;24-25 Man. of basic metals and -products;2009;28.9;19.8;14.7;5.1;203.6
241;24-25 Man. of basic metals and -products;2010;28.9;21.5;16.2;5.3;216.1
242;24-25 Man. of basic metals and -products;2011;27.3;20.6;15.4;5.2;221.7
243;24 Manufacture of basic metals;2003;27.4;19.1;16.2;2.9;213.1
244;24 Manufacture of basic metals;2004;29.0;19.7;16.9;2.8;248.2
245;24 Manufacture of basic metals;2005;28.2;18.1;15.8;2.3;228.1
246;24 Manufacture of basic metals;2006;28.7;17.4;15.3;2.1;212.3
247;24 Manufacture of basic metals;2007;29.6;17.9;15.1;2.8;232.2
248;24 Manufacture of basic metals;2008;31.5;17.4;15.2;2.2;226.3
249;24 Manufacture of basic metals;2009;26.5;17.9;13.3;4.6;202.2
250;24 Manufacture of basic metals;2010;26.5;19.5;14.7;4.8;214.6
251;24 Manufacture of basic metals;2011;25.0;18.6;13.9;4.7;220.1
252;25 Manufacture of metal products;2003;2.3;2.0;1.5;0.5;1.5
253;25 Manufacture of metal products;2004;2.2;1.9;1.4;0.5;1.5
254;25 Manufacture of metal products;2005;2.2;1.9;1.5;0.5;1.5
255;25 Manufacture of metal products;2006;2.3;1.9;1.5;0.5;1.5
256;25 Manufacture of metal products;2007;2.5;2.1;1.6;0.5;1.6
257;25 Manufacture of metal products;2008;2.8;2.1;1.6;0.5;1.6
258;25 Manufacture of metal products;2009;2.4;1.9;1.4;0.5;1.5
259;25 Manufacture of metal products;2010;2.4;2.0;1.5;0.5;1.6
260;25 Manufacture of metal products;2011;2.3;2.0;1.5;0.5;1.6
261;26-27 Elektrical and electron. Industry;2003;2.4;2.9;2.3;0.6;0.4
262;26-27 Elektrical and electron. Industry;2004;2.3;2.8;2.2;0.5;0.3
263;26-27 Elektrical and electron. Industry;2005;2.2;2.7;2.2;0.5;0.3
264;26-27 Elektrical and electron. Industry;2006;2.3;2.7;2.1;0.5;0.3
265;26-27 Elektrical and electron. Industry;2007;2.3;2.5;2.0;0.5;0.4
266;26-27 Elektrical and electron. Industry;2008;2.5;2.6;2.0;0.5;0.4
267;26-27 Elektrical and electron. Industry;2009;2.2;2.4;1.9;0.5;0.3
268;26-27 Elektrical and electron. Industry;2010;2.3;2.7;2.1;0.5;0.3
269;26-27 Elektrical and electron. Industry;2011;2.1;2.7;2.2;0.5;0.3
270;26 Manufacture of electronic products;2003;1.9;2.8;2.3;0.5;0.1
271;26 Manufacture of electronic products;2004;1.8;2.7;2.2;0.5;0.1
272;26 Manufacture of electronic products;2005;1.7;2.6;2.1;0.5;0.1
273;26 Manufacture of electronic products;2006;1.8;2.6;2.1;0.5;0.1
274;26 Manufacture of electronic products;2007;1.7;2.4;2.0;0.5;0.1
275;26 Manufacture of electronic products;2008;1.8;2.5;2.0;0.5;0.1
276;26 Manufacture of electronic products;2009;1.7;2.3;1.9;0.4;0.1
277;26 Manufacture of electronic products;2010;1.8;2.6;2.1;0.5;0.1
278;26 Manufacture of electronic products;2011;1.7;2.6;2.1;0.5;0.1
279;27 Manufacture of electric equipment;2003;0.5;0.1;0.0;0.0;0.3
280;27 Manufacture of electric equipment;2004;0.5;0.1;0.0;0.0;0.3
281;27 Manufacture of electric equipment;2005;0.5;0.1;0.0;0.0;0.3
282;27 Manufacture of electric equipment;2006;0.5;0.1;0.0;0.0;0.3
283;27 Manufacture of electric equipment;2007;0.6;0.1;0.0;0.0;0.3
284;27 Manufacture of electric equipment;2008;0.6;0.1;0.0;0.0;0.3
285;27 Manufacture of electric equipment;2009;0.5;0.1;0.0;0.0;0.3
286;27 Manufacture of electric equipment;2010;0.5;0.1;0.0;0.0;0.2
287;27 Manufacture of electric equipment;2011;0.4;0.1;0.0;0.0;0.2
288;28 Manufacture of machinery n.e.c.;2003;1.7;0.7;0.4;0.2;0.4
289;28 Manufacture of machinery n.e.c.;2004;1.7;0.7;0.4;0.2;0.4
290;28 Manufacture of machinery n.e.c.;2005;1.7;0.6;0.4;0.2;0.4
291;28 Manufacture of machinery n.e.c.;2006;1.8;0.7;0.4;0.2;0.4
292;28 Manufacture of machinery n.e.c.;2007;1.9;0.7;0.4;0.2;0.5
293;28 Manufacture of machinery n.e.c.;2008;2.0;0.7;0.4;0.2;0.4
294;28 Manufacture of machinery n.e.c.;2009;1.7;0.6;0.3;0.1;0.4
295;28 Manufacture of machinery n.e.c.;2010;1.9;0.7;0.4;0.1;0.5
296;28 Manufacture of machinery n.e.c.;2011;1.9;0.8;0.4;0.2;0.5
297;29-30 Transport equipment;2003;2.2;0.5;0.4;0.2;0.4
298;29-30 Transport equipment;2004;1.7;0.5;0.3;0.2;1.1
299;29-30 Transport equipment;2005;1.6;0.5;0.3;0.2;1.4
300;29-30 Transport equipment;2006;1.6;0.4;0.2;0.2;1.4
301;29-30 Transport equipment;2007;1.8;0.4;0.2;0.2;1.3
302;29-30 Transport equipment;2008;1.9;0.4;0.2;0.2;1.1
303;29-30 Transport equipment;2009;1.6;0.3;0.2;0.1;1.1
304;29-30 Transport equipment;2010;1.5;0.3;0.2;0.1;1.0
305;29-30 Transport equipment;2011;1.5;0.4;0.2;0.2;1.2
306;29 Manufacture of cars and trailers;2003;1.5;0.4;0.2;0.1;0.3
307;29 Manufacture of cars and trailers;2004;1.0;0.4;0.2;0.1;1.0
308;29 Manufacture of cars and trailers;2005;0.9;0.3;0.2;0.1;1.3
309;29 Manufacture of cars and trailers;2006;0.9;0.2;0.1;0.1;1.3
310;29 Manufacture of cars and trailers;2007;1.0;0.2;0.1;0.1;1.2
311;29 Manufacture of cars and trailers;2008;1.0;0.2;0.1;0.1;0.9
312;29 Manufacture of cars and trailers;2009;0.7;0.1;0.1;0.1;1.0
313;29 Manufacture of cars and trailers;2010;0.7;0.2;0.1;0.1;0.9
314;29 Manufacture of cars and trailers;2011;0.8;0.2;0.1;0.1;1.1
315;30 Manufacture of other transport;2003;0.7;0.2;0.1;0.1;0.1
316;30 Manufacture of other transport;2004;0.7;0.2;0.1;0.1;0.1
317;30 Manufacture of other transport;2005;0.7;0.2;0.1;0.1;0.1
318;30 Manufacture of other transport;2006;0.7;0.2;0.1;0.1;0.1
319;30 Manufacture of other transport;2007;0.8;0.2;0.1;0.1;0.1
320;30 Manufacture of other transport;2008;0.9;0.2;0.1;0.1;0.1
321;30 Manufacture of other transport;2009;0.9;0.2;0.1;0.1;0.1
322;30 Manufacture of other transport;2010;0.8;0.2;0.1;0.1;0.1
323;30 Manufacture of other transport;2011;0.7;0.2;0.1;0.1;0.1
324;31-33 Other manufacturing and repair;2003;0.7;0.4;0.1;0.3;0.3
325;31-33 Other manufacturing and repair;2004;0.7;0.4;0.1;0.3;0.2
326;31-33 Other manufacturing and repair;2005;0.7;0.4;0.1;0.3;0.2
327;31-33 Other manufacturing and repair;2006;0.7;0.4;0.1;0.3;0.2
328;31-33 Other manufacturing and repair;2007;0.7;0.4;0.1;0.3;0.2
329;31-33 Other manufacturing and repair;2008;0.8;0.4;0.1;0.3;0.3
330;31-33 Other manufacturing and repair;2009;0.7;0.3;0.1;0.3;0.2
331;31-33 Other manufacturing and repair;2010;0.6;0.3;0.1;0.3;0.2
332;31-33 Other manufacturing and repair;2011;0.6;0.3;0.1;0.3;0.2
333;31-32 Furniture and other manufacturing;2003;0.7;0.3;0.1;0.2;0.3
334;31-32 Furniture and other manufacturing;2004;0.6;0.3;0.1;0.2;0.2
335;31-32 Furniture and other manufacturing;2005;0.6;0.3;0.1;0.2;0.2
336;31-32 Furniture and other manufacturing;2006;0.6;0.3;0.1;0.2;0.2
337;31-32 Furniture and other manufacturing;2007;0.7;0.3;0.1;0.2;0.2
338;31-32 Furniture and other manufacturing;2008;0.7;0.3;0.1;0.2;0.2
339;31-32 Furniture and other manufacturing;2009;0.6;0.3;0.1;0.2;0.2
340;31-32 Furniture and other manufacturing;2010;0.6;0.2;0.1;0.2;0.2
341;31-32 Furniture and other manufacturing;2011;0.5;0.2;0.0;0.2;0.2
342;33 Repair and installation of machinery;2003;0.1;0.1;0.0;0.1;0.0
343;33 Repair and installation of machinery;2004;0.0;0.1;0.0;0.1;0.0
344;33 Repair and installation of machinery;2005;0.0;0.1;0.0;0.1;0.0
345;33 Repair and installation of machinery;2006;0.1;0.1;0.0;0.1;0.0
346;33 Repair and installation of machinery;2007;0.1;0.1;0.0;0.1;0.0
347;33 Repair and installation of machinery;2008;0.1;0.1;0.0;0.1;0.0
348;33 Repair and installation of machinery;2009;0.1;0.1;0.0;0.1;0.0
349;33 Repair and installation of machinery;2010;0.1;0.1;0.0;0.1;0.0
350;33 Repair and installation of machinery;2011;0.0;0.1;0.0;0.1;0.0
351;D Electricity and gas supply;2003;3.7;0.6;0.0;0.6;9169.6
352;D Electricity and gas supply;2004;1.7;0.6;0.0;0.6;10202.1
353;D Electricity and gas supply;2005;1.6;0.8;0.0;0.8;9791.0
354;D Electricity and gas supply;2006;1.8;0.8;0.0;0.8;9272.3
355;D Electricity and gas supply;2007;2.2;1.6;0.0;1.6;9387.8
356;D Electricity and gas supply;2008;2.9;1.7;0.0;1.7;9044.6
357;D Electricity and gas supply;2009;9.2;4.6;1.1;3.5;9665.2
358;D Electricity and gas supply;2010;12.1;5.3;0.2;5.2;9693.3
359;D Electricity and gas supply;2011;12.0;5.3;0.0;5.3;10928.2
360;E Water supply and waste management;2003;3.5;803.0;0.0;803.0;1046.8
361;E Water supply and waste management;2004;3.6;772.5;0.0;772.5;1038.5
362;E Water supply and waste management;2005;3.0;767.6;0.0;767.6;970.7
363;E Water supply and waste management;2006;3.8;779.7;0.0;779.7;1018.5
364;E Water supply and waste management;2007;3.2;768.9;0.0;768.9;964.0
365;E Water supply and waste management;2008;4.3;763.6;0.0;763.5;920.7
366;E Water supply and waste management;2009;3.8;761.6;0.0;761.6;890.6
367;E Water supply and waste management;2010;3.9;762.9;0.0;762.9;1006.4
368;E Water supply and waste management;2011;2.7;756.7;0.1;756.6;949.3
369;36 Water collection and distribution;2003;0.2;801.0;0.0;801.0;517.0
370;36 Water collection and distribution;2004;0.2;770.0;0.0;770.0;507.0
371;36 Water collection and distribution;2005;0.2;766.0;0.0;766.0;490.0
372;36 Water collection and distribution;2006;0.2;777.0;0.0;777.0;502.0
373;36 Water collection and distribution;2007;0.2;766.1;0.0;766.1;482.3
374;36 Water collection and distribution;2008;0.2;762.2;0.0;762.2;489.8
375;36 Water collection and distribution;2009;0.2;760.7;0.0;760.7;474.3
376;36 Water collection and distribution;2010;0.2;760.8;0.0;760.8;456.3
377;36 Water collection and distribution;2011;0.2;755.8;0.0;755.8;473.2
378;37-39 Waste management;2003;3.3;2.0;0.0;2.0;529.8
