ID;Creditproviders;Periods;NewLoans_1;OutstandingContracts_2;CreditGranted_3;Interest_4;Repayments_5;OutstandingBalance_6;OutstandingBalanceExclInterest_7;OutstandingContracts_8;LimitsGranted_9;NewLimitsGranted_10;CreditGranted_11;Interest_12;Repayments_13;OutstandingBalance_14;LimitsGranted_15;NewLimitsGranted_16;OutstandingContracts_17;LimitsGranted_18;NewLimitsGranted_19;CreditGranted_20;Interest_21;Repayments_22;OutstandingBalance_23;LimitsGranted_24;NewLimitsGranted_25
47;Credit providers total;2001 December;11.0;659.0;65.0;17.0;147.0;2883.0;2357.0;;7447;112;434;85;534;10842;20294;303;;95.0;1.0;14.0;11.0;46.0;1526.0;1639.0;12.0
48;Credit providers total;2002 January;15.0;644.0;100.0;19.0;185.0;2818.0;2304.0;;7481;134;500;86;591;10837;20489;333;;94.0;1.0;16.0;11.0;46.0;1507.0;1593.0;14.0
49;Credit providers total;2002 February;14.0;641.0;89.0;18.0;127.0;2797.0;2276.0;;7510;116;497;86;537;10883;20628;353;;93.0;1.0;11.0;11.0;41.0;1488.0;1586.0;11.0
50;Credit providers total;2002 March;15.0;637.0;97.0;19.0;137.0;2776.0;2264.0;;7525;119;519;86;534;10954;20756;402;;92.0;1.0;14.0;11.0;39.0;1475.0;1695.0;13.0
51;Credit providers total;2002 April;16.0;633.0;102.0;20.0;141.0;2758.0;2246.0;;7568;133;568;86;572;11036;20875;382;;91.0;1.0;21.0;11.0;41.0;1465.0;1686.0;19.0
52;Credit providers total;2002 May;15.0;630.0;101.0;19.0;135.0;2743.0;2235.0;;7607;109;508;86;573;11057;20998;375;;91.0;1.0;16.0;11.0;38.0;1453.0;1698.0;19.0
53;Credit providers total;2002 June;15.0;628.0;99.0;18.0;124.0;2736.0;2232.0;;7592;127;497;86;536;11104;21056;365;;91.0;1.0;18.0;11.0;31.0;1451.0;1699.0;14.0
54;Credit providers total;2002 July;17.0;625.0;117.0;20.0;144.0;2729.0;2225.0;;7607;146;587;82;548;11225;21405;434;;91.0;1.0;21.0;10.0;43.0;1440.0;1701.0;20.0
55;Credit providers total;2002 August;14.0;618.0;92.0;18.0;124.0;2714.0;2217.0;;7678;124;534;86;523;11322;21500;385;;90.0;1.0;23.0;11.0;36.0;1437.0;1700.0;21.0
56;Credit providers total;2002 September;14.0;605.0;90.0;17.0;122.0;2700.0;2202.0;;7758;119;547;87;478;11478;21640;360;;90.0;1.0;26.0;11.0;33.0;1441.0;1708.0;29.0
57;Credit providers total;2002 October;18.0;606.0;108.0;19.0;137.0;2690.0;2192.0;;7891;137;627;88;623;11570;21892;435;;90.0;1.0;29.0;11.0;36.0;1444.0;1712.0;24.0
58;Credit providers total;2002 November;15.0;609.0;93.0;18.0;143.0;2658.0;2165.0;;7935;138;556;88;547;11667;22028;401;;90.0;2.0;30.0;11.0;43.0;1441.0;1713.0;23.0
59;Credit providers total;2002 December;13.0;608.0;80.0;16.0;119.0;2634.0;2145.0;;7847;103;520;89;578;11698;22081;319;;91.0;1.0;25.0;11.0;34.0;1443.0;1721.0;20.0
60;Credit providers total;2003 January;15.0;593.0;103.0;19.0;143.0;2614.0;2135.0;;8071;139;500;89;603;11684;22344;362;;90.0;1.0;27.0;10.0;40.0;1440.0;1601.0;28.0
61;Credit providers total;2003 February;13.0;581.0;85.0;17.0;117.0;2599.0;2127.0;;8024;85;496;90;523;11746;22452;303;;90.0;1.0;30.0;10.0;38.0;1441.0;1601.0;31.0
62;Credit providers total;2003 March;13.0;569.0;91.0;18.0;125.0;2582.0;2116.0;;7967;123;524;88;538;11820;22566;364;;91.0;1.0;32.0;9.0;40.0;1442.0;1605.0;33.0
63;Credit providers total;2003 April;14.0;559.0;92.0;18.0;130.0;2562.0;2106.0;;7911;120;521;88;533;11896;22632;334;;91.0;2.0;28.0;9.0;38.0;1441.0;1606.0;35.0
64;Credit providers total;2003 May;13.0;547.0;91.0;18.0;114.0;2556.0;2102.0;;7731;109;533;92;571;11950;22644;356;;91.0;1.0;26.0;9.0;43.0;1434.0;1599.0;32.0
65;Credit providers total;2003 June;14.0;537.0;92.0;17.0;112.0;2554.0;2109.0;;7494;133;466;88;529;11976;22547;332;;90.0;1.0;25.0;9.0;41.0;1427.0;1594.0;29.0
66;Credit providers total;2003 July;16.0;527.0;122.0;20.0;136.0;2559.0;2119.0;;7558;129;559;89;559;12065;22826;358;;90.0;1.0;31.0;9.0;42.0;1425.0;1597.0;31.0
67;Credit providers total;2003 August;13.0;515.0;90.0;18.0;107.0;2560.0;2120.0;;7522;111;512;92;521;12148;22905;325;;90.0;1.0;27.0;9.0;39.0;1422.0;1593.0;25.0
68;Credit providers total;2003 September;14.0;504.0;94.0;19.0;125.0;2548.0;2114.0;;7541;127;582;92;567;12255;23015;379;;90.0;1.0;28.0;9.0;43.0;1417.0;1590.0;28.0
69;Credit providers total;2003 October;16.0;489.0;103.0;20.0;132.0;2538.0;2111.0;;7398;116;603;92;608;12342;23074;425;;90.0;1.0;27.0;9.0;40.0;1413.0;1583.0;27.0
70;Credit providers total;2003 November;14.0;474.0;94.0;17.0;126.0;2524.0;2105.0;;7251;118;543;92;577;12401;23052;380;;90.0;1.0;23.0;9.0;44.0;1402.0;1577.0;21.0
71;Credit providers total;2003 December;12.0;463.0;76.0;15.0;108.0;2507.0;2092.0;;7059;110;539;94;605;12428;23008;364;;89.0;1.0;21.0;9.0;37.0;1395.0;1567.0;22.0
72;Credit providers total;2004 January;16.0;457.0;88.0;17.0;121.0;2491.0;2081.0;;7344;115;506;91;557;12468;23369;375;;89.0;1.0;20.0;9.0;27.0;1397.0;1563.0;20.0
73;Credit providers total;2004 February;14.0;451.0;78.0;17.0;110.0;2475.0;2067.0;;7376;117;521;92;547;12534;23394;382;;89.0;1.0;20.0;9.0;28.0;1397.0;1557.0;24.0
74;Credit providers total;2004 March;17.0;448.0;91.0;18.0;116.0;2468.0;2052.0;;7444;143;570;92;569;12626;23551;459;;89.0;1.0;25.0;9.0;30.0;1400.0;1553.0;35.0
75;Credit providers total;2004 April;16.0;446.0;88.0;17.0;120.0;2453.0;2040.0;;7438;148;546;92;554;12711;23652;425;;89.0;1.0;21.0;8.0;32.0;1398.0;1548.0;25.0
76;Credit providers total;2004 May;13.0;441.0;73.0;14.0;110.0;2431.0;2014.0;;7411;134;492;94;558;12740;23702;419;;88.0;1.0;21.0;9.0;30.0;1398.0;1543.0;24.0
77;Credit providers total;2004 June;16.0;439.0;91.0;15.0;117.0;2420.0;2005.0;;7312;118;474;93;575;12732;23703;379;;88.0;1.0;18.0;8.0;29.0;1395.0;1533.0;15.0
78;Credit providers total;2004 July;15.0;435.0;84.0;15.0;123.0;2396.0;1987.0;;7417;117;564;91;570;12816;23963;396;;87.0;1.0;17.0;8.0;32.0;1388.0;1521.0;14.0
79;Credit providers total;2004 August;13.0;432.0;72.0;14.0;108.0;2374.0;1967.0;;7480;106;550;96;504;12958;24184;396;;87.0;1.0;19.0;8.0;29.0;1386.0;1513.0;21.0
80;Credit providers total;2004 September;15.0;428.0;79.0;15.0;114.0;2354.0;1949.0;;7506;125;583;94;565;13070;24314;425;;86.0;1.0;21.0;8.0;32.0;1383.0;1504.0;19.0
81;Credit providers total;2004 October;14.0;424.0;80.0;15.0;113.0;2336.0;1935.0;;7576;120;570;94;545;13189;24506;406;;86.0;1.0;18.0;8.0;25.0;1383.0;1496.0;13.0
82;Credit providers total;2004 November;16.0;421.0;86.0;15.0;118.0;2319.0;1919.0;;7540;130;586;93;573;13295;24590;431;;85.0;0.0;14.0;8.0;32.0;1374.0;1481.0;8.0
83;Credit providers total;2004 December;16.0;421.0;88.0;13.0;105.0;2315.0;1914.0;;7422;106;527;95;607;13311;24563;395;;84.0;0.0;11.0;8.0;32.0;1360.0;1466.0;8.0
84;Credit providers total;2005 January;15.0;418.0;102.0;14.0;114.0;2317.0;1922.0;3397.0;7659;105;473;97;562;13319;24861;373;82.0;83.0;0.0;5.0;9.0;40.0;1334.0;1440.0;5.0
85;Credit providers total;2005 February;13.0;416.0;77.0;13.0;121.0;2286.0;1904.0;3381.0;7725;125;474;96;574;13315;24896;389;81.0;81.0;0.0;4.0;9.0;41.0;1306.0;1413.0;5.0
86;Credit providers total;2005 March;15.0;416.0;85.0;14.0;119.0;2266.0;1890.0;3368.0;7744;120;546;97;608;13351;24906;419;79.0;80.0;0.0;5.0;8.0;46.0;1274.0;1387.0;5.0
87;Credit providers total;2005 April;15.0;418.0;97.0;13.0;112.0;2265.0;1895.0;3364.0;7793;122;571;97;618;13400;24989;427;78.0;79.0;0.0;5.0;8.0;34.0;1253.0;1360.0;5.0
88;Credit providers total;2005 May;14.0;415.0;76.0;12.0;108.0;2246.0;1883.0;3341.0;7796;115;493;98;638;13353;24949;374;77.0;77.0;0.0;5.0;8.0;41.0;1225.0;1334.0;4.0
89;Credit providers total;2005 June;14.0;413.0;85.0;13.0;109.0;2234.0;1881.0;3298.0;7746;101;477;97;638;13289;24906;354;76.0;76.0;0.0;5.0;8.0;42.0;1195.0;1308.0;4.0
90;Credit providers total;2005 July;14.0;412.0;84.0;12.0;97.0;2233.0;1882.0;3272.0;7705;128;492;97;594;13283;25000;384;74.0;75.0;0.0;4.0;8.0;44.0;1163.0;1281.0;3.0
91;Credit providers total;2005 August;15.0;410.0;83.0;12.0;107.0;2221.0;1876.0;3246.0;7730;123;508;97;615;13274;24926;402;73.0;73.0;0.0;5.0;7.0;38.0;1137.0;1253.0;3.0
92;Credit providers total;2005 September;17.0;412.0;80.0;12.0;123.0;2190.0;1852.0;3230.0;7825;108;489;96;594;13264;24981;364;71.0;71.0;0.0;5.0;7.0;36.0;1114.0;1231.0;7.0
93;Credit providers total;2005 October;15.0;411.0;84.0;11.0;112.0;2173.0;1847.0;3212.0;7844;115;471;95;594;13236;24976;362;70.0;70.0;0.0;5.0;7.0;36.0;1090.0;1209.0;4.0
94;Credit providers total;2005 November;16.0;409.0;90.0;12.0;98.0;2178.0;1853.0;3180.0;7818;111;485;95;613;13203;24913;391;69.0;69.0;0.0;4.0;7.0;36.0;1065.0;1183.0;4.0
95;Credit providers total;2005 December;14.0;407.0;75.0;10.0;102.0;2161.0;1842.0;3147.0;7723;104;443;93;597;13141;24802;341;68.0;68.0;0.0;4.0;7.0;33.0;1042.0;1161.0;4.0
96;Credit providers total;2006 January-I;14.0;405.0;96.0;14.0;106.0;2164.0;1847.0;3121.0;7718;95;454;95;654;13037;25039;314;68.0;68.0;;5.0;7.0;22.0;1032.0;1155.0;
97;Credit providers total;2006 January-II;14.0;425.0;94.0;13.0;121.0;2148.0;1830.0;3177.0;7797;93;453;101;-519;14214;26444;306;;;;;;;;;
98;Credit providers total;2006 February;13.0;423.0;91.0;13.0;79.0;2173.0;1857.0;3125.0;7804;89;449;101;590;14174;26452;317;;;;;;;;;
99;Credit providers total;2006 March;14.0;422.0;100.0;13.0;95.0;2192.0;1876.0;3087.0;7768;89;504;102;645;14135;26367;333;;;;;;;;;
100;Credit providers total;2006 April;14.0;420.0;102.0;13.0;92.0;2215.0;1898.0;3059.0;7775;105;463;102;591;14109;26366;344;;;;;;;;;
101;Credit providers total;2006 May;13.0;417.0;91.0;13.0;108.0;2210.0;1899.0;3013.0;7751;74;466;102;686;13991;26336;317;;;;;;;;;
102;Credit providers total;2006 June;13.0;421.0;84.0;13.0;90.0;2216.0;1904.0;2948.0;7473;87;438;101;615;13915;26068;327;;;;;;;;;
103;Credit providers total;2006 July;13.0;424.0;93.0;14.0;102.0;2221.0;1913.0;2913.0;7354;105;480;100;586;13910;26295;350;;;;;;;;;
104;Credit providers total;2006 August;13.0;416.0;85.0;13.0;106.0;2213.0;1913.0;2865.0;7349;93;494;101;591;13914;26343;364;;;;;;;;;
105;Credit providers total;2006 September;12.0;411.0;76.0;12.0;87.0;2214.0;1917.0;2777.0;7297;102;485;101;623;13876;26308;364;;;;;;;;;
106;Credit providers total;2006 October;14.0;407.0;96.0;15.0;102.0;2224.0;1915.0;2743.0;7278;81;503;102;604;13877;26326;359;;;;;;;;;
107;Credit providers total;2006 November;13.0;400.0;93.0;14.0;104.0;2227.0;1920.0;2699.0;7244;85;488;101;585;13881;26323;352;;;;;;;;;
108;Credit providers total;2006 December;10.0;394.0;67.0;12.0;94.0;2213.0;1915.0;2665.0;7182;95;444;99;572;13853;25998;323;;;;;;;;;
109;Credit providers total;2007 January;14.0;388.0;112.0;20.0;136.0;2208.0;1915.0;2680.0;7233;100;484;103;705;13734;26151;334;;;;;;;;;
110;Credit providers total;2007 February;11.0;385.0;90.0;17.0;113.0;2202.0;1909.0;2666.0;7263;100;456;102;594;13699;26154;342;;;;;;;;;
111;Credit providers total;2007 March;13.0;382.0;96.0;17.0;104.0;2213.0;1918.0;2669.0;7302;115;507;103;597;13712;26225;392;;;;;;;;;
112;Credit providers total;2007 April;11.0;382.0;89.0;15.0;89.0;2228.0;1930.0;2704.0;7406;98;456;104;534;13738;26396;322;;;;;;;;;
113;Credit providers total;2007 May;12.0;380.0;101.0;16.0;114.0;2231.0;1936.0;2707.0;7419;96;457;105;631;13669;26477;339;;;;;;;;;
114;Credit providers total;2007 June;13.0;379.0;111.0;17.0;90.0;2269.0;1964.0;2709.0;7452;121;445;104;603;13615;26536;362;;;;;;;;;
115;Credit providers total;2007 July;15.0;380.0;128.0;21.0;104.0;2314.0;1998.0;2731.0;7476;93;517;104;584;13652;26786;358;;;;;;;;;
116;Credit providers total;2007 August;15.0;381.0;119.0;21.0;95.0;2360.0;2036.0;2732.0;7511;105;506;105;573;13691;26874;379;;;;;;;;;
117;Credit providers total;2007 September;13.0;382.0;97.0;18.0;93.0;2382.0;2053.0;2772.0;7535;116;456;106;555;13698;26865;359;;;;;;;;;
118;Credit providers total;2007 October;14.0;382.0;110.0;21.0;104.0;2409.0;2074.0;2785.0;7568;107;520;105;619;13704;26941;401;;;;;;;;;
119;Credit providers total;2007 November;13.0;380.0;106.0;20.0;100.0;2435.0;2093.0;2811.0;7603;111;488;106;556;13742;27030;384;;;;;;;;;
120;Credit providers total;2007 December;10.0;376.0;74.0;14.0;97.0;2427.0;2085.0;2820.0;7622;116;433;104;532;13748;27020;324;;;;;;;;;
121;Credit providers total;2008 January;14.0;376.0;116.0;21.0;94.0;2470.0;2120.0;2802.0;7503;109;458;109;576;13739;27095;325;;;;;;;;;
122;Credit providers total;2008 February;14.0;376.0;120.0;21.0;107.0;2505.0;2145.0;2791.0;7507;122;472;111;569;13752;27108;369;;;;;;;;;
123;Credit providers total;2008 March;14.0;377.0;116.0;19.0;109.0;2532.0;2190.0;2790.0;7510;106;472;108;572;13760;27052;354;;;;;;;;;
124;Credit providers total;2008 April;16.0;380.0;149.0;27.0;106.0;2601.0;2247.0;2778.0;7519;110;494;109;621;13742;27060;366;;;;;;;;;
125;Credit providers total;2008 May;15.0;380.0;140.0;25.0;100.0;2667.0;2298.0;2766.0;7274;104;447;108;616;13681;26739;322;;;;;;;;;
126;Credit providers total;2008 June;14.0;381.0;141.0;26.0;123.0;2711.0;2331.0;2757.0;7206;111;455;109;613;13632;26598;342;;;;;;;;;
127;Credit providers total;2008 July;15.0;385.0;147.0;28.0;105.0;2780.0;2388.0;2731.0;7242;115;520;108;655;13605;26833;381;;;;;;;;;
128;Credit providers total;2008 August;12.0;385.0;117.0;26.0;101.0;2823.0;2417.0;2687.0;7109;100;461;109;590;13585;26632;331;;;;;;;;;
129;Credit providers total;2008 September;13.0;386.0;120.0;28.0;109.0;2862.0;2444.0;2665.0;6352;107;499;111;552;13644;25693;332;;;;;;;;;
130;Credit providers total;2008 October;13.0;386.0;117.0;27.0;104.0;2900.0;2468.0;2657.0;6107;86;477;108;568;13661;25398;354;;;;;;;;;
131;Credit providers total;2008 November;11.0;385.0;99.0;24.0;96.0;2928.0;2486.0;2640.0;6059;77;400;111;492;13681;25354;292;;;;;;;;;
132;Credit providers total;2008 December;10.0;384.0;87.0;21.0;104.0;2932.0;2483.0;2623.0;5989;76;413;111;507;13699;25202;268;;;;;;;;;
133;Credit providers total;2009 January;10.0;382.0;105.0;25.0;106.0;2956.0;2502.0;2592.0;5962;70;375;109;480;13703;25327;241;;;;;;;;;
134;Credit providers total;2009 February;10.0;379.0;106.0;26.0;111.0;2978.0;2516.0;2574.0;5933;64;395;107;506;13699;25306;305;;;;;;;;;
135;Credit providers total;2009 March;12.0;376.0;121.0;29.0;123.0;3004.0;2535.0;2563.0;5933;75;462;108;562;13707;25341;326;;;;;;;;;
136;Credit providers total;2009 April;11.0;375.0;106.0;24.0;115.0;3018.0;2544.0;2557.0;5924;64;425;107;510;13729;25340;270;;;;;;;;;
137;Credit providers total;2009 May;9.0;370.0;86.0;20.0;117.0;3007.0;2531.0;2534.0;5890;62;381;107;547;13670;25276;253;;;;;;;;;
138;Credit providers total;2009 June;9.0;367.0;86.0;18.0;131.0;2980.0;2507.0;2519.0;5843;61;392;108;552;13618;25210;249;;;;;;;;;
139;Credit providers total;2009 July;10.0;369.0;90.0;18.0;69.0;3019.0;2537.0;2500.0;5838;69;428;102;441;13706;25281;279;;;;;;;;;
140;Credit providers total;2009 August;9.0;366.0;73.0;15.0;120.0;2988.0;2514.0;2478.0;5806;58;379;103;463;13725;25230;236;;;;;;;;;
141;Credit providers total;2009 September;9.0;363.0;76.0;16.0;121.0;2958.0;2489.0;2478.0;5808;66;403;104;490;13741;25237;253;;;;;;;;;
142;Credit providers total;2009 October;9.0;359.0;76.0;15.0;117.0;2932.0;2467.0;2451.0;5803;55;372;100;430;13783;25185;223;;;;;;;;;
143;Credit providers total;2009 November;9.0;355.0;75.0;15.0;111.0;2911.0;2450.0;2431.0;5773;55;377;100;540;13721;25105;231;;;;;;;;;
144;Credit providers total;2009 December;8.0;350.0;64.0;14.0;122.0;2867.0;2413.0;2430.0;5755;60;381;99;611;13590;24947;230;;;;;;;;;
145;Credit providers total;2010 January;9.0;349.0;87.0;16.0;119.0;2851.0;2400.0;2414.0;5723;61;313;99;473;13528;24991;242;;;;;;;;;
