ID;EnergySourcesTechniques;EnergyApplication;Periods;FinalConsumptionInTerajoule_1;InTotalEnergeticFinalConsumption_2;AvoidedPrimaryEnergyInTJ_3;AvoidedPrimaryEnergyInTotalUse_4;AvoidedCarbonDioxideEmissionInKton_5;AvoidedCO2EmissionInOfTotEmiss_6
20;Total energy sources;Total energy applications;2010;86399.0;3.75;127265.0;3.66;;
21;Total energy sources;Total energy applications;2011;93350.0;4.33;134607.0;4.16;;
22;Total energy sources;Total energy applications;2012;97800.0;4.48;143622.0;4.41;;
23;Total energy sources;Total energy applications;2013;98792.0;4.52;140549.0;4.33;;
24;Total energy sources;Electricity;1990;2920.0;0.16;6646.0;0.25;474.0;0.3
25;Total energy sources;Electricity;1991;3360.0;0.17;7747.0;0.27;538.0;0.33
26;Total energy sources;Electricity;1992;3570.0;0.19;8192.0;0.29;557.0;0.34
27;Total energy sources;Electricity;1993;4095.0;0.21;9106.0;0.32;619.0;0.37
28;Total energy sources;Electricity;1994;4537.0;0.23;10072.0;0.35;701.0;0.42
29;Total energy sources;Electricity;1995;5150.0;0.25;11375.0;0.39;807.0;0.47
30;Total energy sources;Electricity;1996;6655.0;0.3;14416.0;0.47;1017.0;0.57
31;Total energy sources;Electricity;1997;7377.0;0.35;15050.0;0.5;1092.0;0.64
32;Total energy sources;Electricity;1998;8149.0;0.38;16684.0;0.56;1204.0;0.7
33;Total energy sources;Electricity;1999;9124.0;0.44;18939.0;0.64;1347.0;0.8
34;Total energy sources;Electricity;2000;10344.0;0.48;22004.0;0.72;1607.0;0.95
35;Total energy sources;Electricity;2001;11919.0;0.55;26515.0;0.84;2003.0;1.14
36;Total energy sources;Electricity;2002;14629.0;0.68;32629.0;1.04;2510.0;1.43
37;Total energy sources;Electricity;2003;14594.0;0.66;32858.0;1.02;2482.0;1.38
38;Total energy sources;Electricity;2004;18819.0;0.83;42343.0;1.28;3159.0;1.75
39;Total energy sources;Electricity;2005;26810.0;1.2;61267.0;1.86;4503.0;2.56
40;Total energy sources;Electricity;2006;28318.0;1.31;64674.0;2.01;4684.0;2.72
41;Total energy sources;Electricity;2007;26351.0;1.18;57504.0;1.72;4317.0;2.51
42;Total energy sources;Electricity;2008;33165.0;1.46;73736.0;2.22;5447.0;3.1
43;Total energy sources;Electricity;2009;38721.0;1.8;84753.0;2.62;6359.0;3.75
44;Total energy sources;Electricity;2010;42197.0;1.83;91294.0;2.62;6883.0;3.79
45;Total energy sources;Electricity;2011;43228.0;2.01;92337.0;2.86;6957.0;4.15
46;Total energy sources;Electricity;2012;45114.0;2.06;99062.0;3.04;7648.0;4.62
47;Total energy sources;Electricity;2013;43191.0;1.98;92904.0;2.86;7158.0;4.3
48;Total energy sources;Heat;1990;17967.0;0.99;9215.0;0.34;523.0;0.33
49;Total energy sources;Heat;1991;18485.0;0.95;9746.0;0.34;554.0;0.34
50;Total energy sources;Heat;1992;19021.0;0.99;10197.0;0.36;579.0;0.36
51;Total energy sources;Heat;1993;18439.0;0.93;10017.0;0.35;569.0;0.34
52;Total energy sources;Heat;1994;18395.0;0.94;9905.0;0.35;560.0;0.34
53;Total energy sources;Heat;1995;18914.0;0.93;10264.0;0.35;581.0;0.34
54;Total energy sources;Heat;1996;17625.0;0.8;10086.0;0.33;571.0;0.32
55;Total energy sources;Heat;1997;19652.0;0.93;12490.0;0.42;707.0;0.41
56;Total energy sources;Heat;1998;19894.0;0.94;12969.0;0.43;735.0;0.42
57;Total energy sources;Heat;1999;18827.0;0.91;12714.0;0.43;720.0;0.43
58;Total energy sources;Heat;2000;19032.0;0.89;13026.0;0.43;737.0;0.43
59;Total energy sources;Heat;2001;19143.0;0.88;13125.0;0.42;744.0;0.42
60;Total energy sources;Heat;2002;20242.0;0.94;14472.0;0.46;826.0;0.47
61;Total energy sources;Heat;2003;20694.0;0.94;15034.0;0.46;851.0;0.47
62;Total energy sources;Heat;2004;23068.0;1.02;17292.0;0.52;984.0;0.54
63;Total energy sources;Heat;2005;24692.0;1.11;18729.0;0.57;1070.0;0.61
64;Total energy sources;Heat;2006;27176.0;1.26;20825.0;0.65;1179.0;0.68
65;Total energy sources;Heat;2007;29117.0;1.31;22228.0;0.67;1272.0;0.74
66;Total energy sources;Heat;2008;31174.0;1.37;23442.0;0.71;1326.0;0.75
67;Total energy sources;Heat;2009;33740.0;1.57;25695.0;0.79;1458.0;0.86
68;Total energy sources;Heat;2010;34624.0;1.5;26394.0;0.76;1511.0;0.83
69;Total energy sources;Heat;2011;36684.0;1.7;28833.0;0.89;1624.0;0.97
70;Total energy sources;Heat;2012;39332.0;1.8;31207.0;0.96;1717.0;1.04
71;Total energy sources;Heat;2013;42677.0;1.95;34720.0;1.07;1878.0;1.13
72;Total energy sources;Transport;1990;0.0;0.0;0.0;0.0;0.0;0.0
73;Total energy sources;Transport;1991;0.0;0.0;0.0;0.0;0.0;0.0
74;Total energy sources;Transport;1992;0.0;0.0;0.0;0.0;0.0;0.0
75;Total energy sources;Transport;1993;0.0;0.0;0.0;0.0;0.0;0.0
76;Total energy sources;Transport;1994;0.0;0.0;0.0;0.0;0.0;0.0
77;Total energy sources;Transport;1995;0.0;0.0;0.0;0.0;0.0;0.0
78;Total energy sources;Transport;1996;0.0;0.0;0.0;0.0;0.0;0.0
79;Total energy sources;Transport;1997;0.0;0.0;0.0;0.0;0.0;0.0
80;Total energy sources;Transport;1998;0.0;0.0;0.0;0.0;0.0;0.0
81;Total energy sources;Transport;1999;0.0;0.0;0.0;0.0;0.0;0.0
82;Total energy sources;Transport;2000;0.0;0.0;0.0;0.0;0.0;0.0
83;Total energy sources;Transport;2001;0.0;0.0;0.0;0.0;0.0;0.0
84;Total energy sources;Transport;2002;0.0;0.0;0.0;0.0;0.0;0.0
85;Total energy sources;Transport;2003;134.0;0.01;134.0;0.0;;
86;Total energy sources;Transport;2004;134.0;0.01;134.0;0.0;;
87;Total energy sources;Transport;2005;101.0;0.0;101.0;0.0;;
88;Total energy sources;Transport;2006;1766.0;0.08;1766.0;0.05;;
89;Total energy sources;Transport;2007;13031.0;0.58;13031.0;0.39;;
90;Total energy sources;Transport;2008;12048.0;0.53;12048.0;0.36;;
91;Total energy sources;Transport;2009;15606.0;0.73;15606.0;0.48;;
92;Total energy sources;Transport;2010;9577.0;0.42;9577.0;0.28;;
93;Total energy sources;Transport;2011;13438.0;0.62;13438.0;0.42;;
94;Total energy sources;Transport;2012;13353.0;0.61;13353.0;0.41;;
95;Total energy sources;Transport;2013;12924.0;0.59;12924.0;0.4;;
96;Hydro power;Total energy applications;1990;306.0;0.02;775.0;0.03;55.0;0.03
97;Hydro power;Total energy applications;1991;340.0;0.02;861.0;0.03;60.0;0.04
98;Hydro power;Total energy applications;1992;371.0;0.02;941.0;0.03;64.0;0.04
99;Hydro power;Total energy applications;1993;361.0;0.02;923.0;0.03;63.0;0.04
100;Hydro power;Total energy applications;1994;361.0;0.02;920.0;0.03;64.0;0.04
101;Hydro power;Total energy applications;1995;353.0;0.02;895.0;0.03;64.0;0.04
102;Hydro power;Total energy applications;1996;344.0;0.02;852.0;0.03;60.0;0.03
103;Hydro power;Total energy applications;1997;342.0;0.02;810.0;0.03;58.0;0.03
104;Hydro power;Total energy applications;1998;349.0;0.02;824.0;0.03;59.0;0.03
105;Hydro power;Total energy applications;1999;347.0;0.02;820.0;0.03;57.0;0.03
106;Hydro power;Total energy applications;2000;362.0;0.02;865.0;0.03;62.0;0.04
107;Hydro power;Total energy applications;2001;367.0;0.02;890.0;0.03;63.0;0.04
108;Hydro power;Total energy applications;2002;369.0;0.02;898.0;0.03;64.0;0.04
109;Hydro power;Total energy applications;2003;361.0;0.02;872.0;0.03;61.0;0.03
110;Hydro power;Total energy applications;2004;360.0;0.02;859.0;0.03;60.0;0.03
111;Hydro power;Total energy applications;2005;361.0;0.02;857.0;0.03;59.0;0.03
112;Hydro power;Total energy applications;2006;361.0;0.02;840.0;0.03;59.0;0.03
113;Hydro power;Total energy applications;2007;358.0;0.02;825.0;0.02;57.0;0.03
114;Hydro power;Total energy applications;2008;360.0;0.02;846.0;0.03;58.0;0.03
115;Hydro power;Total energy applications;2009;360.0;0.02;829.0;0.03;57.0;0.03
116;Hydro power;Total energy applications;2010;364.0;0.02;820.0;0.02;55.0;0.03
117;Hydro power;Total energy applications;2011;358.0;0.02;790.0;0.02;53.0;0.03
118;Hydro power;Total energy applications;2012;361.0;0.02;825.0;0.03;59.0;0.04
119;Hydro power;Total energy applications;2013;362.0;0.02;817.0;0.03;60.0;0.04
120;Hydro power;Electricity;1990;306.0;0.02;775.0;0.03;55.0;0.03
121;Hydro power;Electricity;1991;340.0;0.02;861.0;0.03;60.0;0.04
122;Hydro power;Electricity;1992;371.0;0.02;941.0;0.03;64.0;0.04
123;Hydro power;Electricity;1993;361.0;0.02;923.0;0.03;63.0;0.04
124;Hydro power;Electricity;1994;361.0;0.02;920.0;0.03;64.0;0.04
125;Hydro power;Electricity;1995;353.0;0.02;895.0;0.03;64.0;0.04
126;Hydro power;Electricity;1996;344.0;0.02;852.0;0.03;60.0;0.03
127;Hydro power;Electricity;1997;342.0;0.02;810.0;0.03;58.0;0.03
128;Hydro power;Electricity;1998;349.0;0.02;824.0;0.03;59.0;0.03
129;Hydro power;Electricity;1999;347.0;0.02;820.0;0.03;57.0;0.03
130;Hydro power;Electricity;2000;362.0;0.02;865.0;0.03;62.0;0.04
131;Hydro power;Electricity;2001;367.0;0.02;890.0;0.03;63.0;0.04
132;Hydro power;Electricity;2002;369.0;0.02;898.0;0.03;64.0;0.04
133;Hydro power;Electricity;2003;361.0;0.02;872.0;0.03;61.0;0.03
134;Hydro power;Electricity;2004;360.0;0.02;859.0;0.03;60.0;0.03
135;Hydro power;Electricity;2005;361.0;0.02;857.0;0.03;59.0;0.03
136;Hydro power;Electricity;2006;361.0;0.02;840.0;0.03;59.0;0.03
137;Hydro power;Electricity;2007;358.0;0.02;825.0;0.02;57.0;0.03
138;Hydro power;Electricity;2008;360.0;0.02;846.0;0.03;58.0;0.03
139;Hydro power;Electricity;2009;360.0;0.02;829.0;0.03;57.0;0.03
140;Hydro power;Electricity;2010;364.0;0.02;820.0;0.02;55.0;0.03
141;Hydro power;Electricity;2011;358.0;0.02;790.0;0.02;53.0;0.03
142;Hydro power;Electricity;2012;361.0;0.02;825.0;0.03;59.0;0.04
143;Hydro power;Electricity;2013;362.0;0.02;817.0;0.03;60.0;0.04
144;Hydro power;Heat;1990;;;;;;
145;Hydro power;Heat;1991;;;;;;
146;Hydro power;Heat;1992;;;;;;
147;Hydro power;Heat;1993;;;;;;
148;Hydro power;Heat;1994;;;;;;
149;Hydro power;Heat;1995;;;;;;
150;Hydro power;Heat;1996;;;;;;
151;Hydro power;Heat;1997;;;;;;
152;Hydro power;Heat;1998;;;;;;
153;Hydro power;Heat;1999;;;;;;
154;Hydro power;Heat;2000;;;;;;
155;Hydro power;Heat;2001;;;;;;
156;Hydro power;Heat;2002;;;;;;
157;Hydro power;Heat;2003;;;;;;
158;Hydro power;Heat;2004;;;;;;
159;Hydro power;Heat;2005;;;;;;
160;Hydro power;Heat;2006;;;;;;
161;Hydro power;Heat;2007;;;;;;
162;Hydro power;Heat;2008;;;;;;
163;Hydro power;Heat;2009;;;;;;
164;Hydro power;Heat;2010;;;;;;
165;Hydro power;Heat;2011;;;;;;
166;Hydro power;Heat;2012;;;;;;
167;Hydro power;Heat;2013;;;;;;
168;Hydro power;Transport;1990;;;;;;
169;Hydro power;Transport;1991;;;;;;
170;Hydro power;Transport;1992;;;;;;
171;Hydro power;Transport;1993;;;;;;
172;Hydro power;Transport;1994;;;;;;
173;Hydro power;Transport;1995;;;;;;
174;Hydro power;Transport;1996;;;;;;
175;Hydro power;Transport;1997;;;;;;
176;Hydro power;Transport;1998;;;;;;
177;Hydro power;Transport;1999;;;;;;
178;Hydro power;Transport;2000;;;;;;
179;Hydro power;Transport;2001;;;;;;
180;Hydro power;Transport;2002;;;;;;
181;Hydro power;Transport;2003;;;;;;
182;Hydro power;Transport;2004;;;;;;
183;Hydro power;Transport;2005;;;;;;
184;Hydro power;Transport;2006;;;;;;
185;Hydro power;Transport;2007;;;;;;
186;Hydro power;Transport;2008;;;;;;
187;Hydro power;Transport;2009;;;;;;
188;Hydro power;Transport;2010;;;;;;
189;Hydro power;Transport;2011;;;;;;
190;Hydro power;Transport;2012;;;;;;
191;Hydro power;Transport;2013;;;;;;
192;Wind energy, total;Total energy applications;1990;202.0;0.01;510.0;0.02;36.0;0.02
193;Wind energy, total;Total energy applications;1991;317.0;0.02;802.0;0.03;56.0;0.03
194;Wind energy, total;Total energy applications;1992;492.0;0.03;1249.0;0.04;85.0;0.05
195;Wind energy, total;Total energy applications;1993;624.0;0.03;1595.0;0.06;109.0;0.07
196;Wind energy, total;Total energy applications;1994;794.0;0.04;2025.0;0.07;142.0;0.08
197;Wind energy, total;Total energy applications;1995;1132.0;0.06;2865.0;0.1;204.0;0.12
198;Wind energy, total;Total energy applications;1996;1568.0;0.07;3880.0;0.13;272.0;0.15
199;Wind energy, total;Total energy applications;1997;1761.0;0.08;4164.0;0.14;301.0;0.18
200;Wind energy, total;Total energy applications;1998;2056.0;0.1;4849.0;0.16;345.0;0.2
201;Wind energy, total;Total energy applications;1999;2312.0;0.11;5465.0;0.18;379.0;0.23
202;Wind energy, total;Total energy applications;2000;2680.0;0.13;6411.0;0.21;457.0;0.27
203;Wind energy, total;Total energy applications;2001;2959.0;0.14;7183.0;0.23;509.0;0.29
204;Wind energy, total;Total energy applications;2002;3671.0;0.17;8931.0;0.28;632.0;0.36
205;Wind energy, total;Total energy applications;2003;4890.0;0.22;11812.0;0.37;832.0;0.46
206;Wind energy, total;Total energy applications;2004;6345.0;0.28;15143.0;0.46;1054.0;0.58
207;Wind energy, total;Total energy applications;2005;7320.0;0.33;17387.0;0.53;1198.0;0.68
208;Wind energy, total;Total energy applications;2006;9145.0;0.42;21268.0;0.66;1487.0;0.86
209;Wind energy, total;Total energy applications;2007;11396.0;0.51;26259.0;0.79;1809.0;1.05
210;Wind energy, total;Total energy applications;2008;14131.0;0.62;33170.0;1.0;2285.0;1.3
211;Wind energy, total;Total energy applications;2009;16131.0;0.75;37168.0;1.15;2539.0;1.5
212;Wind energy, total;Total energy applications;2010;16210.0;0.7;36508.0;1.05;2457.0;1.35
213;Wind energy, total;Total energy applications;2011;17010.0;0.79;37633.0;1.16;2540.0;1.52
214;Wind energy, total;Total energy applications;2012;17780.0;0.81;40539.0;1.24;2886.0;1.74
215;Wind energy, total;Total energy applications;2013;19324.0;0.88;43355.0;1.34;3195.0;1.92
216;Wind energy, total;Electricity;1990;202.0;0.01;510.0;0.02;36.0;0.02
217;Wind energy, total;Electricity;1991;317.0;0.02;802.0;0.03;56.0;0.03
218;Wind energy, total;Electricity;1992;492.0;0.03;1249.0;0.04;85.0;0.05
219;Wind energy, total;Electricity;1993;624.0;0.03;1595.0;0.06;109.0;0.07
220;Wind energy, total;Electricity;1994;794.0;0.04;2025.0;0.07;142.0;0.08
221;Wind energy, total;Electricity;1995;1132.0;0.06;2865.0;0.1;204.0;0.12
222;Wind energy, total;Electricity;1996;1568.0;0.07;3880.0;0.13;272.0;0.15
223;Wind energy, total;Electricity;1997;1761.0;0.08;4164.0;0.14;301.0;0.18
224;Wind energy, total;Electricity;1998;2056.0;0.1;4849.0;0.16;345.0;0.2
225;Wind energy, total;Electricity;1999;2312.0;0.11;5465.0;0.18;379.0;0.23
226;Wind energy, total;Electricity;2000;2680.0;0.13;6411.0;0.21;457.0;0.27
227;Wind energy, total;Electricity;2001;2959.0;0.14;7183.0;0.23;509.0;0.29
228;Wind energy, total;Electricity;2002;3671.0;0.17;8931.0;0.28;632.0;0.36
229;Wind energy, total;Electricity;2003;4890.0;0.22;11812.0;0.37;832.0;0.46
230;Wind energy, total;Electricity;2004;6345.0;0.28;15143.0;0.46;1054.0;0.58
231;Wind energy, total;Electricity;2005;7320.0;0.33;17387.0;0.53;1198.0;0.68
232;Wind energy, total;Electricity;2006;9145.0;0.42;21268.0;0.66;1487.0;0.86
233;Wind energy, total;Electricity;2007;11396.0;0.51;26259.0;0.79;1809.0;1.05
234;Wind energy, total;Electricity;2008;14131.0;0.62;33170.0;1.0;2285.0;1.3
235;Wind energy, total;Electricity;2009;16131.0;0.75;37168.0;1.15;2539.0;1.5
236;Wind energy, total;Electricity;2010;16210.0;0.7;36508.0;1.05;2457.0;1.35
237;Wind energy, total;Electricity;2011;17010.0;0.79;37633.0;1.16;2540.0;1.52
238;Wind energy, total;Electricity;2012;17780.0;0.81;40539.0;1.24;2886.0;1.74
239;Wind energy, total;Electricity;2013;19324.0;0.88;43355.0;1.34;3195.0;1.92
240;Wind energy, total;Heat;1990;;;;;;
241;Wind energy, total;Heat;1991;;;;;;
242;Wind energy, total;Heat;1992;;;;;;
243;Wind energy, total;Heat;1993;;;;;;
244;Wind energy, total;Heat;1994;;;;;;
245;Wind energy, total;Heat;1995;;;;;;
246;Wind energy, total;Heat;1996;;;;;;
247;Wind energy, total;Heat;1997;;;;;;
248;Wind energy, total;Heat;1998;;;;;;
249;Wind energy, total;Heat;1999;;;;;;
250;Wind energy, total;Heat;2000;;;;;;
251;Wind energy, total;Heat;2001;;;;;;
252;Wind energy, total;Heat;2002;;;;;;
253;Wind energy, total;Heat;2003;;;;;;
254;Wind energy, total;Heat;2004;;;;;;
255;Wind energy, total;Heat;2005;;;;;;
256;Wind energy, total;Heat;2006;;;;;;
257;Wind energy, total;Heat;2007;;;;;;
258;Wind energy, total;Heat;2008;;;;;;
259;Wind energy, total;Heat;2009;;;;;;
260;Wind energy, total;Heat;2010;;;;;;
261;Wind energy, total;Heat;2011;;;;;;
262;Wind energy, total;Heat;2012;;;;;;
263;Wind energy, total;Heat;2013;;;;;;
264;Wind energy, total;Transport;1990;;;;;;
265;Wind energy, total;Transport;1991;;;;;;
266;Wind energy, total;Transport;1992;;;;;;
267;Wind energy, total;Transport;1993;;;;;;
268;Wind energy, total;Transport;1994;;;;;;
269;Wind energy, total;Transport;1995;;;;;;
270;Wind energy, total;Transport;1996;;;;;;
271;Wind energy, total;Transport;1997;;;;;;
272;Wind energy, total;Transport;1998;;;;;;
273;Wind energy, total;Transport;1999;;;;;;
274;Wind energy, total;Transport;2000;;;;;;
275;Wind energy, total;Transport;2001;;;;;;
276;Wind energy, total;Transport;2002;;;;;;
277;Wind energy, total;Transport;2003;;;;;;
278;Wind energy, total;Transport;2004;;;;;;
279;Wind energy, total;Transport;2005;;;;;;
280;Wind energy, total;Transport;2006;;;;;;
281;Wind energy, total;Transport;2007;;;;;;
282;Wind energy, total;Transport;2008;;;;;;
283;Wind energy, total;Transport;2009;;;;;;
284;Wind energy, total;Transport;2010;;;;;;
285;Wind energy, total;Transport;2011;;;;;;
286;Wind energy, total;Transport;2012;;;;;;
287;Wind energy, total;Transport;2013;;;;;;
288;Wind energy on shore;Total energy applications;1990;202.0;0.01;510.0;0.02;36.0;0.02
289;Wind energy on shore;Total energy applications;1991;317.0;0.02;802.0;0.03;56.0;0.03
290;Wind energy on shore;Total energy applications;1992;492.0;0.03;1249.0;0.04;85.0;0.05
291;Wind energy on shore;Total energy applications;1993;624.0;0.03;1595.0;0.06;109.0;0.07
292;Wind energy on shore;Total energy applications;1994;794.0;0.04;2025.0;0.07;142.0;0.08
293;Wind energy on shore;Total energy applications;1995;1132.0;0.06;2865.0;0.1;204.0;0.12
294;Wind energy on shore;Total energy applications;1996;1568.0;0.07;3880.0;0.13;272.0;0.15
295;Wind energy on shore;Total energy applications;1997;1761.0;0.08;4164.0;0.14;301.0;0.18
296;Wind energy on shore;Total energy applications;1998;2056.0;0.1;4849.0;0.16;345.0;0.2
297;Wind energy on shore;Total energy applications;1999;2312.0;0.11;5465.0;0.18;379.0;0.23
298;Wind energy on shore;Total energy applications;2000;2680.0;0.13;6411.0;0.21;457.0;0.27
299;Wind energy on shore;Total energy applications;2001;2959.0;0.14;7183.0;0.23;509.0;0.29
300;Wind energy on shore;Total energy applications;2002;3671.0;0.17;8931.0;0.28;632.0;0.36
301;Wind energy on shore;Total energy applications;2003;4890.0;0.22;11812.0;0.37;832.0;0.46
302;Wind energy on shore;Total energy applications;2004;6345.0;0.28;15143.0;0.46;1054.0;0.58
303;Wind energy on shore;Total energy applications;2005;7320.0;0.33;17387.0;0.53;1198.0;0.68
304;Wind energy on shore;Total energy applications;2006;8917.0;0.41;20737.0;0.64;1450.0;0.84
305;Wind energy on shore;Total energy applications;2007;10304.0;0.46;23742.0;0.71;1636.0;0.95
306;Wind energy on shore;Total energy applications;2008;12154.0;0.53;28530.0;0.86;1966.0;1.12
307;Wind energy on shore;Total energy applications;2009;13543.0;0.63;31206.0;0.96;2131.0;1.26
308;Wind energy on shore;Total energy applications;2010;13455.0;0.58;30303.0;0.87;2039.0;1.12
309;Wind energy on shore;Total energy applications;2011;14336.0;0.67;31718.0;0.98;2141.0;1.28
310;Wind energy on shore;Total energy applications;2012;14963.0;0.68;34292.0;1.05;2442.0;1.48
311;Wind energy on shore;Total energy applications;2013;16676.0;0.76;37219.0;1.15;2743.0;1.65
312;Wind energy on shore;Electricity;1990;202.0;0.01;510.0;0.02;36.0;0.02
313;Wind energy on shore;Electricity;1991;317.0;0.02;802.0;0.03;56.0;0.03
314;Wind energy on shore;Electricity;1992;492.0;0.03;1249.0;0.04;85.0;0.05
315;Wind energy on shore;Electricity;1993;624.0;0.03;1595.0;0.06;109.0;0.07
316;Wind energy on shore;Electricity;1994;794.0;0.04;2025.0;0.07;142.0;0.08
317;Wind energy on shore;Electricity;1995;1132.0;0.06;2865.0;0.1;204.0;0.12
318;Wind energy on shore;Electricity;1996;1568.0;0.07;3880.0;0.13;272.0;0.15
319;Wind energy on shore;Electricity;1997;1761.0;0.08;4164.0;0.14;301.0;0.18
320;Wind energy on shore;Electricity;1998;2056.0;0.1;4849.0;0.16;345.0;0.2
321;Wind energy on shore;Electricity;1999;2312.0;0.11;5465.0;0.18;379.0;0.23
322;Wind energy on shore;Electricity;2000;2680.0;0.13;6411.0;0.21;457.0;0.27
323;Wind energy on shore;Electricity;2001;2959.0;0.14;7183.0;0.23;509.0;0.29
324;Wind energy on shore;Electricity;2002;3671.0;0.17;8931.0;0.28;632.0;0.36
325;Wind energy on shore;Electricity;2003;4890.0;0.22;11812.0;0.37;832.0;0.46
326;Wind energy on shore;Electricity;2004;6345.0;0.28;15143.0;0.46;1054.0;0.58
327;Wind energy on shore;Electricity;2005;7320.0;0.33;17387.0;0.53;1198.0;0.68
328;Wind energy on shore;Electricity;2006;8917.0;0.41;20737.0;0.64;1450.0;0.84
329;Wind energy on shore;Electricity;2007;10304.0;0.46;23742.0;0.71;1636.0;0.95
330;Wind energy on shore;Electricity;2008;12154.0;0.53;28530.0;0.86;1966.0;1.12
331;Wind energy on shore;Electricity;2009;13543.0;0.63;31206.0;0.96;2131.0;1.26
332;Wind energy on shore;Electricity;2010;13455.0;0.58;30303.0;0.87;2039.0;1.12
333;Wind energy on shore;Electricity;2011;14336.0;0.67;31718.0;0.98;2141.0;1.28
334;Wind energy on shore;Electricity;2012;14963.0;0.68;34292.0;1.05;2442.0;1.48
335;Wind energy on shore;Electricity;2013;16676.0;0.76;37219.0;1.15;2743.0;1.65
336;Wind energy on shore;Heat;1990;;;;;;
337;Wind energy on shore;Heat;1991;;;;;;
338;Wind energy on shore;Heat;1992;;;;;;
339;Wind energy on shore;Heat;1993;;;;;;
340;Wind energy on shore;Heat;1994;;;;;;
341;Wind energy on shore;Heat;1995;;;;;;
342;Wind energy on shore;Heat;1996;;;;;;
343;Wind energy on shore;Heat;1997;;;;;;
344;Wind energy on shore;Heat;1998;;;;;;
345;Wind energy on shore;Heat;1999;;;;;;
346;Wind energy on shore;Heat;2000;;;;;;
347;Wind energy on shore;Heat;2001;;;;;;
348;Wind energy on shore;Heat;2002;;;;;;
349;Wind energy on shore;Heat;2003;;;;;;
350;Wind energy on shore;Heat;2004;;;;;;
351;Wind energy on shore;Heat;2005;;;;;;
352;Wind energy on shore;Heat;2006;;;;;;
353;Wind energy on shore;Heat;2007;;;;;;
354;Wind energy on shore;Heat;2008;;;;;;
355;Wind energy on shore;Heat;2009;;;;;;
356;Wind energy on shore;Heat;2010;;;;;;
357;Wind energy on shore;Heat;2011;;;;;;
358;Wind energy on shore;Heat;2012;;;;;;
359;Wind energy on shore;Heat;2013;;;;;;
360;Wind energy on shore;Transport;1990;;;;;;
361;Wind energy on shore;Transport;1991;;;;;;
362;Wind energy on shore;Transport;1992;;;;;;
363;Wind energy on shore;Transport;1993;;;;;;
364;Wind energy on shore;Transport;1994;;;;;;
365;Wind energy on shore;Transport;1995;;;;;;
366;Wind energy on shore;Transport;1996;;;;;;
367;Wind energy on shore;Transport;1997;;;;;;
368;Wind energy on shore;Transport;1998;;;;;;
369;Wind energy on shore;Transport;1999;;;;;;
370;Wind energy on shore;Transport;2000;;;;;;
371;Wind energy on shore;Transport;2001;;;;;;
372;Wind energy on shore;Transport;2002;;;;;;
373;Wind energy on shore;Transport;2003;;;;;;
374;Wind energy on shore;Transport;2004;;;;;;
375;Wind energy on shore;Transport;2005;;;;;;
376;Wind energy on shore;Transport;2006;;;;;;
377;Wind energy on shore;Transport;2007;;;;;;
378;Wind energy on shore;Transport;2008;;;;;;
379;Wind energy on shore;Transport;2009;;;;;;
380;Wind energy on shore;Transport;2010;;;;;;
381;Wind energy on shore;Transport;2011;;;;;;
382;Wind energy on shore;Transport;2012;;;;;;
383;Wind energy on shore;Transport;2013;;;;;;
384;Wind energy off shore;Total energy applications;1990;0.0;0.0;0.0;0.0;0.0;0.0
