ID;Perioden;Overheidsinkomsten_1;Overheidsuitgaven_2;Overheidssaldo_3;OverheidsschuldEMU_4;CollectieveLasten_5;Overheidsconsumptie_6;OverheidsinkomstenSeizoengecorrigeerd_7;OverheidsuitgavenSeizoengecorrigeerd_8;OverheidssaldoSeizoengecorrigeerd_9;NettoBesparingen_10;SaldoNettoBespEnKapitaaloverdr_11;Aardgasbaten_12;Overheidsinkomsten_13;Overheidsuitgaven_14;Overheidssaldo_15;OverheidsschuldEMU_16;CollectieveLasten_17;Overheidsconsumptie_18;OverheidsinkomstenSeizoengecorrigeerd_19;OverheidsuitgavenSeizoengecorrigeerd_20;OverheidssaldoSeizoengecorrigeerd_21;NettoBesparingen_22;SaldoNettoBespEnKapitaaloverdr_23;Aardgasbaten_24;WerkzamePersonen_25;Arbeidsjaren_26;GewerkteUren_27;MaterieleOverheidsconsumptieIMOC_28
52;2008 4e kwartaal;77368;74164;3204;354036.0;61993;40325;71968.0;72072.0;-104.0;5129;4793;;43.6;43.5;0.1;54.7;35.6;23.5;44.4;44.5;-0.1;1.1;1.0;;;;;
53;2008;282084;281277;807;354036.0;230335;152051;;;;7158;6375;15071.0;43.6;43.5;0.1;54.7;35.6;23.5;;;;1.1;1.0;2.3;1138.0;999.0;1592.0;3.2
54;2009 1e kwartaal;68712;72518;-3806;370304.0;55951;38482;67315.0;74601.0;-7286.0;-1479;-1903;;43.5;44.4;-0.9;57.5;35.6;24.0;42.7;47.3;-4.6;0.2;0.1;;;;;
55;2009 2e kwartaal;65767;75319;-9552;360860.0;53954;42124;66178.0;71952.0;-5774.0;-7032;-7556;;43.3;45.2;-1.9;56.6;35.4;24.7;42.7;46.5;-3.7;-0.7;-1.0;;;;;
56;2009 3e kwartaal;60777;72703;-11926;360394.0;50453;38777;66718.0;76219.0;-9501.0;-8565;-9633;;43.2;46.8;-3.5;57.2;35.3;25.3;42.8;48.9;-6.1;-1.9;-2.3;;;;;
57;2009 4e kwartaal;71407;78719;-7312;354763.0;57354;43061;66758.0;76512.0;-9754.0;-3913;-5886;;42.7;47.9;-5.2;56.8;34.8;26.0;42.7;48.9;-6.2;-3.4;-4.0;;;;;
58;2009;266663;299259;-32596;354763.0;217712;162444;;;;-20989;-24978;10398.0;42.7;47.9;-5.2;56.8;34.8;26.0;;;;-3.4;-4.0;1.7;1155.0;1013.0;1620.0;0.1
59;2010 1e kwartaal;68411;74265;-5854;359295.0;55360;39735;66656.0;76665.0;-10009.0;-3647;-4580;;42.7;48.2;-5.6;57.6;34.8;26.2;42.4;48.7;-6.4;-3.7;-4.4;;;;;
60;2010 2e kwartaal;69627;80512;-10885;372370.0;58329;43492;69922.0;76897.0;-6975.0;-8189;-8988;;43.0;48.7;-5.7;59.2;35.2;26.2;43.8;48.2;-4.4;-3.9;-4.6;;;;;
61;2010 3e kwartaal;60485;73688;-13203;374159.0;50564;40060;66440.0;76981.0;-10541.0;-11154;-11661;;42.6;48.5;-5.9;59.0;35.0;26.3;41.4;48.0;-6.6;-4.2;-4.9;;;;;
62;2010 4e kwartaal;75225;79413;-4188;378762.0;60847;44457;70877.0;77234.0;-6357.0;-1203;-3041;;42.8;48.2;-5.3;59.3;35.2;26.2;43.9;47.9;-3.9;-3.8;-4.4;;;;;
63;2010;273748;307878;-34130;378762.0;225100;167744;;;;-24193;-28270;10670.0;42.8;48.2;-5.3;59.3;35.2;26.2;;;;-3.8;-4.4;1.7;1172.0;1026.0;1633.0;1.5
64;2011 1e kwartaal;72399;74063;-1664;382802.0;58049;39837;70106.0;76673.0;-6567.0;342;-281;;43.1;47.8;-4.6;59.4;35.4;26.1;43.2;47.3;-4.0;-3.1;-3.7;;;;;
65;2011 2e kwartaal;68757;80195;-11438;390899.0;57206;43454;68874.0;76545.0;-7671.0;-10051;-10252;;42.8;47.5;-4.7;60.4;35.0;25.9;42.5;47.2;-4.7;-3.4;-3.9;;;;;
66;2011 3e kwartaal;64347;73789;-9442;396622.0;53766;40121;70519.0;76842.0;-6323.0;-7372;-7818;;43.2;47.3;-4.1;61.1;35.4;25.8;43.3;47.1;-3.9;-2.8;-3.3;;;;;
67;2011 4e kwartaal;72238;78584;-6346;401303.0;59441;44294;68897.0;76636.0;-7739.0;-5092;-6032;;42.7;47.1;-4.4;61.7;35.1;25.8;42.3;47.1;-4.8;-3.4;-3.7;;;;;
68;2011;277741;306631;-28890;401303.0;228462;167706;;;;-22173;-24383;11941.0;42.7;47.1;-4.4;61.7;35.1;25.8;;;;-3.4;-3.7;1.8;1151.0;1001.0;1593.0;1.6
69;2012 1e kwartaal;72894;73638;-744;407001.0;57937;40333;70185.0;76283.0;-6098.0;214;-203;;42.7;47.0;-4.3;62.5;35.1;25.8;43.1;46.9;-3.7;-3.4;-3.7;;;;;
70;2012 2e kwartaal;70928;80532;-9604;417095.0;58841;44049;70492.0;76693.0;-6201.0;-8352;-8738;;43.0;47.0;-4.0;64.0;35.3;25.9;43.2;47.0;-3.8;-3.2;-3.5;;;;;
71;2012 3e kwartaal;62908;73995;-11087;423104.0;52508;40551;69207.0;77032.0;-7825.0;-9211;-9712;;42.8;47.1;-4.3;64.9;35.1;26.0;42.5;47.3;-4.8;-3.4;-3.8;;;;;
72;2012 4e kwartaal;74640;78878;-4238;432462.0;60954;45012;71763.0;77206.0;-5443.0;-3491;-3875;;43.1;47.0;-3.9;66.2;35.3;26.0;43.8;47.1;-3.3;-3.2;-3.5;;;;;
73;2012;281370;307043;-25673;432462.0;230240;169945;;;;-20840;-22528;14586.0;43.1;47.0;-3.9;66.2;35.3;26.0;;;;-3.2;-3.5;2.2;1134.0;984.0;1560.0;1.2
74;2013 1e kwartaal;76123;75052;1071;435500.0;59647;41149;72929.0;77568.0;-4639.0;2796;1256;;43.6;47.2;-3.7;66.6;35.5;26.1;44.4;47.3;-2.8;-2.8;-3.2;;;;;
75;2013 2e kwartaal;73414;80761;-7347;447276.0;60932;44178;72701.0;76761.0;-4060.0;-6520;-6736;;43.8;47.1;-3.3;68.3;35.7;26.1;44.1;46.5;-2.5;-2.5;-2.9;;;;;
76;2013 3e kwartaal;66293;74960;-8667;446503.0;55631;40740;72847.0;78130.0;-5283.0;-7722;-7865;;44.1;47.0;-2.9;67.8;36.0;26.0;44.0;47.2;-3.2;-2.3;-2.6;;;;;
77;2013 4e kwartaal;74010;78595;-4585;447082.0;60091;44259;71710.0;77195.0;-5485.0;-4017;-4501;;43.9;46.8;-3.0;67.7;35.8;25.8;43.2;46.5;-3.3;-2.3;-2.7;;;;;
78;2013;289840;309368;-19528;447082.0;236301;170326;;;;-15463;-17846;15372.0;43.9;46.8;-3.0;67.7;35.8;25.8;;;;-2.3;-2.7;2.3;1120.0;972.0;1541.0;0.8
79;2014 1e kwartaal;75509;74959;550;445442.0;61823;41518;72212.0;77240.0;-5028.0;1154;646;;43.6;46.6;-3.0;67.1;35.9;25.7;43.1;46.1;-3.0;-2.6;-2.8;;;;;
80;2014 2e kwartaal;74805;81783;-6978;456088.0;63290;44590;73729.0;77582.0;-3853.0;-6247;-6722;;43.7;46.6;-3.0;68.6;36.2;25.7;44.2;46.5;-2.3;-2.5;-2.8;;;;;
81;2014 3e kwartaal;67296;73831;-6535;454543.0;57201;41399;73937.0;77126.0;-3189.0;-5923;-6402;;43.7;46.3;-2.6;68.1;36.3;25.7;44.1;46.0;-1.9;-2.3;-2.5;;;;;
82;2014 4e kwartaal;76743;78916;-2173;455886.0;63990;44958;74770.0;77671.0;-2901.0;-2321;-2555;;43.8;46.1;-2.3;67.9;36.7;25.7;44.1;45.8;-1.7;-2.0;-2.2;;;;;
83;2014;294353;309489;-15136;455886.0;246304;172465;;;;-13337;-15033;10387.0;43.8;46.1;-2.3;67.9;36.7;25.7;;;;-2.0;-2.2;1.5;1107.0;966.0;1540.0;0.1
84;2015 1e kwartaal;77534;75690;1844;464487.0;64762;41364;73936.0;77790.0;-3854.0;2423;2188;;44.0;46.0;-2.1;68.9;37.0;25.6;43.5;45.8;-2.3;-1.8;-2.0;;;;;
85;2015 2e kwartaal;74372;81418;-7046;453358.0;63234;44407;73300.0;77219.0;-3919.0;-6565;-6962;;43.6;45.6;-2.0;66.7;36.7;25.3;42.5;44.8;-2.3;-1.8;-2.0;;;;;
86;2015 3e kwartaal;67348;73880;-6532;451556.0;57719;41669;73655.0;77162.0;-3507.0;-6008;-6224;;43.2;45.2;-2.0;65.8;36.4;25.1;42.3;44.3;-2.0;-1.8;-2.0;;;;;
87;2015 4e kwartaal;76800;78477;-1677;446144.0;66091;44914;75446.0;77398.0;-1952.0;-1438;-1839;;42.9;44.8;-1.9;64.7;36.5;25.0;43.4;44.6;-1.1;-1.7;-1.9;;;;;
88;2015;296054;309465;-13411;446144.0;251806;172354;;;;-11588;-12837;5262.0;42.9;44.8;-1.9;64.7;36.5;25.0;;;;-1.7;-1.9;0.8;1100.0;959.0;1516.0;0.1
89;2016 1e kwartaal;79203;75620;3583;446681.0;68699;41641;75203.0;77639.0;-2436.0;4220;3856;;42.8;44.5;-1.7;64.3;36.8;24.8;43.0;44.4;-1.4;-1.4;-1.6;;;;;
90;2016 2e kwartaal;79605;81786;-2181;442349.0;69004;45187;78458.0;77548.0;910.0;-2127;-2185;;43.3;44.3;-1.0;63.3;37.4;24.8;44.6;44.1;0.5;-0.8;-0.9;;;;;
91;2016 3e kwartaal;72305;74920;-2615;433565.0;63033;42259;78791.0;78202.0;589.0;-2588;-2325;;43.8;44.2;-0.4;61.7;38.0;24.8;44.3;44.0;0.3;-0.3;-0.4;;;;;
92;2016 4e kwartaal;78953;76841;2112;438532.0;68205;45755;78165.0;75848.0;2317.0;3090;1830;;43.8;43.6;0.1;61.9;38.0;24.7;43.5;42.2;1.3;0.4;0.2;;;;;
93;2016;310066;309167;899;438532.0;268941;174842;;;;2595;1176;2698.0;43.8;43.6;0.1;61.9;38.0;24.7;;;;0.4;0.2;0.4;1096.0;956.0;1518.0;-0.1
94;2017 1e kwartaal;84255;75356;8899;427145.0;74004;42667;79538.0;77315.0;2223.0;9116;8934;;44.1;43.2;0.9;59.7;38.3;24.6;43.9;42.7;1.2;1.0;0.9;;;;;
95;2017 2e kwartaal;81189;82470;-1281;426379.0;70750;46321;80214.0;78317.0;1897.0;-2025;-1680;;43.8;42.8;1.0;59.0;38.2;24.5;43.6;42.5;1.0;1.0;0.9;;;;;
96;2017 3e kwartaal;74982;75767;-785;417906.0;65570;43286;81425.0;78979.0;2446.0;-957;-489;;43.7;42.5;1.2;57.2;38.1;24.4;43.9;42.5;1.3;1.3;1.2;;;;;
97;2017 4e kwartaal;83105;79817;3288;420440.0;72138;47217;82681.0;78732.0;3949.0;3031;3209;;43.8;42.5;1.4;57.0;38.3;24.3;44.0;41.9;2.1;1.2;1.4;;;;;
98;2017;323531;313410;10121;420440.0;282462;179491;;;;9165;9974;3248.0;43.8;42.5;1.4;57.0;38.3;24.3;;;;1.2;1.4;0.4;1099.0;955.0;1514.0;1.3
99;2018 1e kwartaal;89736;78000;11736;413056.0;79343;45188;84454.0;79974.0;4480.0;11523;11634;;44.0;42.3;1.7;55.2;38.5;24.3;44.2;41.8;2.3;1.5;1.7;;;;;
100;2018 2e kwartaal;85430;85338;92;409286.0;74137;47956;84547.0;81292.0;3255.0;304;-219;;44.0;42.1;1.9;54.1;38.5;24.3;44.0;42.3;1.7;1.8;1.9;;;;;
101;2018 3e kwartaal;79245;78733;512;406003.0;68994;45702;85828.0;82135.0;3693.0;314;734;;44.1;42.1;2.0;53.0;38.5;24.3;44.1;42.2;1.9;2.0;2.0;;;;;
102;2018 4e kwartaal;84456;85168;-712;405899.0;74462;49765;84106.0;83584.0;522.0;-185;-691;;43.8;42.3;1.5;52.4;38.4;24.4;42.8;42.6;0.3;1.5;1.5;;;;;
103;2018;338867;327239;11628;405899.0;296936;188611;;;;11956;11458;2541.0;43.8;42.3;1.5;52.4;38.4;24.4;;;;1.5;1.5;0.3;1103.0;957.0;1526.0;2.3
104;2019 1e kwartaal;95921;82712;13209;398407.0;85146;48017;90369.0;84779.0;5590.0;13715;13509;;44.0;42.4;1.7;50.9;38.6;24.4;44.9;42.1;2.8;1.8;1.7;;;;;
105;2019 2e kwartaal;89234;88932;302;403901.0;78384;51143;88359.0;85189.0;3170.0;556;576;;43.9;42.3;1.7;50.9;38.7;24.5;43.8;42.2;1.6;1.8;1.8;;;;;
106;2019 3e kwartaal;82171;83397;-1226;395209.0;72501;48596;88912.0;87063.0;1849.0;-593;-825;;43.8;42.3;1.4;49.2;38.6;24.6;43.7;42.8;0.9;1.7;1.6;;;;;
107;2019 4e kwartaal;89795;87452;2343;394825.0;79622;52378;89016.0;85136.0;3880.0;2615;2185;;43.9;42.1;1.8;48.6;38.8;24.6;43.3;41.4;1.9;2.0;1.9;;;;;
108;2019;357121;342493;14628;394825.0;315653;200134;;;;16293;15445;1045.0;43.9;42.1;1.8;48.6;38.8;24.6;;;;2.0;1.9;0.1;1125.0;975.0;1564.0;2.4
109;2020 1e kwartaal;95840;85657;10183;403482.0;85945;49977;90974.0;88023.0;2951.0;10447;10334;;43.7;42.3;1.4;49.4;38.8;24.8;44.5;43.0;1.4;1.6;1.5;;;;;
110;2020 2e kwartaal;82350;102736;-20386;441955.0;73574;51597;81267.0;98934.0;-17667.0;-20150;-20018;;43.7;44.9;-1.1;55.2;38.9;25.3;43.4;52.8;-9.4;-1.0;-1.0;;;;;
111;2020 3e kwartaal;81668;90730;-9062;441617.0;72604;50999;88460.0;94779.0;-6319.0;-8235;-8348;;43.8;45.9;-2.1;55.3;39.1;25.7;44.0;47.2;-3.1;-1.9;-2.0;;;;;
112;2020 4e kwartaal;91545;101868;-10323;435475.0;81811;54966;90048.0;98249.0;-8201.0;-9154;-9715;;44.1;47.8;-3.7;54.7;39.4;26.1;44.3;48.3;-4.0;-3.4;-3.5;;;;;
113;2020;351403;380991;-29588;435475.0;313934;207539;;;;-27092;-27747;162.0;44.1;47.8;-3.7;54.7;39.4;26.1;;;;-3.4;-3.5;0.0;1146.0;992.0;1582.0;1.7
114;2021 1e kwartaal;96303;96957;-654;440019.0;85792;52340;92541.0;100156.0;-7615.0;-396;-168;;44.0;49.1;-5.1;55.1;39.3;26.3;44.5;48.1;-3.7;-4.7;-4.8;;;;;
115;2021 2e kwartaal;94178;102993;-8815;447953.0;83604;56836;92269.0;99514.0;-7245.0;-8225;-8687;;43.9;47.4;-3.5;54.1;39.1;26.0;42.8;46.2;-3.4;-3.1;-3.3;;;;;
116;2021 3e kwartaal;88445;94798;-6353;443043.0;78137;55004;96094.0;98899.0;-2805.0;-5777;-6419;;43.7;46.8;-3.1;52.2;38.8;25.8;43.3;44.6;-1.3;-2.8;-2.9;;;;;
117;2021 4e kwartaal;101769;105413;-3644;449659.0;90062;60059;99259.0;101042.0;-1783.0;-502;-3160;;43.7;46.0;-2.2;51.7;38.8;25.8;44.2;45.0;-0.8;-1.7;-2.1;;;;;
118;2021;380695;400161;-19466;449659.0;337595;224239;;;;-14900;-18434;338.0;43.7;46.0;-2.2;51.7;38.8;25.8;;;;-1.7;-2.1;0.0;1176.0;1019.0;1640.0;3.8
119;2022 1e kwartaal;102098;96131;5967;447005.0;91957;56673;99553.0;99951.0;-398.0;6625;6216;;43.2;44.7;-1.4;50.0;38.4;25.6;43.0;43.2;-0.2;-0.9;-1.3;;;;;
120;2022 2e kwartaal;106415;104311;2104;458162.0;91886;60223;103151.0;100862.0;2289.0;1930;1670;;43.6;43.8;-0.2;50.0;38.5;25.3;43.6;42.6;1.0;0.2;-0.2;;;;;
121;2022 3e kwartaal;95543;102928;-7385;450984.0;82071;59046;104190.0;107080.0;-2890.0;-4976;-5325;;43.4;43.7;-0.3;48.2;38.0;25.2;43.0;44.2;-1.2;0.3;-0.1;;;;;
122;2022 4e kwartaal;111967;113551;-1584;480548.0;97954;64558;108688.0;108663.0;25.0;-946;-2371;;43.4;43.5;-0.1;50.1;38.0;25.1;43.8;43.8;0.0;0.3;0.0;;;;;
123;2022;416023;416921;-898;480548.0;363868;240500;;;;2633;190;5039.0;43.4;43.5;-0.1;50.1;38.0;25.1;;;;0.3;0.0;0.5;1209.0;1044.0;1664.0;7.7
