ID;Kenmerken;Perioden;EmotioneelUitgeput_1;LeegGevoel_2;SOchtendsMoeVoelen_3;UitgeputDoorWerk_4;OpZijn_5;BurnOutKlachten_6;Malaiseklachten_7;Migraine_8;WerkgebondenKlachtenBovensteLedematen_9;TotaalRugklachten_10;RSI_11;ZiekteverzuimDoorRSIInAfgelopenJaar_12;MinderGoedeGezondheid_13;ZiekteverzuimInAfgelopen2Maanden_14;k_15DagenVerzuimd_15;k_610DagenVerzuimd_16;k_11OfMeerDagenVerzuimd_17;VerzuimDoorOngeval_18;OngevalInVerkeer_19;OngevalOpWerk_20;Sportongeval_21;OngevalThuisOfElders_22;VerzuimAlleenDoorZiekte_23
12;18 tot 65 jarigen;2001;14;30;17;12;10;10;;;36.0;;;;13;23;61.0;13.0;25.0;10.0;16.0;26.0;28.0;30.0;90.0
13;18 tot 65 jarigen;2002;13;32;16;12;10;9;;;37.0;;;;13;23;61.0;14.0;25.0;8.0;19.0;35.0;17.0;30.0;92.0
14;18 tot 65 jarigen;2003;15;32;17;12;8;10;;;;;;;14;23;66.0;12.0;22.0;9.0;24.0;32.0;14.0;30.0;91.0
15;18 tot 65 jarigen;2004;15;32;18;13;10;11;;;;;;;13;21;66.0;12.0;21.0;8.0;21.0;26.0;21.0;32.0;91.0
16;Mannen;1997;15;33;15;13;8;10;7.0;4.0;31.0;23.0;18.0;2.0;11;19;65.0;14.0;21.0;15.0;14.0;41.0;19.0;27.0;85.0
17;Mannen;1998;11;28;12;11;7;8;7.0;4.0;27.0;23.0;16.0;3.0;11;17;58.0;18.0;23.0;12.0;;;;;88.0
18;Mannen;1999;12;30;13;13;8;9;8.0;4.0;33.0;23.0;20.0;4.0;12;21;63.0;14.0;23.0;11.0;7.0;37.0;30.0;26.0;89.0
19;Mannen;2000;12;29;14;11;8;8;10.0;6.0;34.0;21.0;22.0;3.0;12;21;64.0;12.0;23.0;13.0;19.0;38.0;17.0;26.0;87.0
20;Mannen;2001;13;32;17;12;9;9;;;33.0;;;;11;22;65.0;13.0;22.0;13.0;13.0;30.0;29.0;28.0;87.0
21;Mannen;2002;13;34;16;13;9;10;;;34.0;;;;12;19;62.0;14.0;24.0;11.0;;;;;89.0
22;Mannen;2003;14;33;17;12;8;10;;;;;;;12;19;65.0;13.0;23.0;12.0;22.0;36.0;15.0;27.0;88.0
23;Mannen;2004;15;34;18;14;10;10;;;;;;;12;19;67.0;13.0;20.0;11.0;23.0;31.0;19.0;26.0;89.0
24;Vrouwen;1997;16;30;15;14;11;10;15.0;12.0;38.0;30.0;20.0;3.0;13;25;66.0;11.0;23.0;6.0;;;;;94.0
25;Vrouwen;1998;14;29;14;11;7;8;15.0;12.0;31.0;29.0;16.0;2.0;15;24;69.0;10.0;21.0;5.0;;;;;95.0
26;Vrouwen;1999;16;29;16;13;11;10;14.0;15.0;39.0;27.0;23.0;3.0;15;25;60.0;13.0;26.0;7.0;;;;;93.0
27;Vrouwen;2000;14;27;13;12;10;8;16.0;13.0;41.0;27.0;25.0;3.0;13;24;62.0;14.0;24.0;5.0;;;;;95.0
28;Vrouwen;2001;14;28;17;13;10;10;;;39.0;;;;14;25;58.0;14.0;29.0;7.0;;;;;93.0
29;Vrouwen;2002;15;29;16;12;12;9;;;40.0;;;;14;28;61.0;13.0;26.0;6.0;;;;;94.0
30;Vrouwen;2003;16;30;17;12;9;10;;;;;;;16;27;67.0;11.0;22.0;5.0;;;;;95.0
31;Vrouwen;2004;16;29;18;13;10;11;;;;;;;13;25;66.0;11.0;23.0;6.0;;;;;94.0
32;15 tot 25 jarigen;1997;13;33;20;16;10;10;9.0;7.0;36.0;22.0;22.0;3.0;10;26;77.0;9.0;13.0;21.0;;;;;79.0
33;15 tot 25 jarigen;1998;8;23;15;11;5;6;10.0;8.0;30.0;19.0;17.0;2.0;12;21;71.0;18.0;11.0;15.0;;;;;85.0
34;15 tot 25 jarigen;1999;13;27;18;16;11;12;11.0;12.0;40.0;20.0;26.0;4.0;11;23;80.0;8.0;12.0;19.0;;;;;81.0
35;15 tot 25 jarigen;2000;8;18;15;10;6;7;11.0;9.0;38.0;16.0;27.0;3.0;10;26;82.0;7.0;11.0;12.0;;;;;88.0
36;15 tot 25 jarigen;2001;14;30;26;14;9;11;;;40.0;;;;9;27;72.0;10.0;18.0;16.0;;;;;84.0
37;15 tot 25 jarigen;2002;12;30;24;19;13;12;;;38.0;;;;11;28;79.0;8.0;13.0;14.0;;;;;86.0
38;15 tot 25 jarigen;2003;13;25;23;14;7;9;;;;;;;11;27;73.0;9.0;18.0;15.0;;;;;85.0
39;15 tot 25 jarigen;2004;16;27;27;15;11;10;;;;;;;13;27;80.0;8.0;11.0;11.0;;;;;89.0
40;25 tot 35 jarigen;1997;14;34;17;13;8;9;10.0;8.0;35.0;22.0;22.0;3.0;8;23;70.0;10.0;19.0;8.0;;;;;92.0
41;25 tot 35 jarigen;1998;12;31;14;9;6;7;9.0;7.0;27.0;21.0;16.0;2.0;9;22;68.0;11.0;21.0;9.0;;;;;91.0
42;25 tot 35 jarigen;1999;12;30;15;10;8;7;11.0;6.0;33.0;18.0;22.0;4.0;9;25;66.0;15.0;19.0;10.0;;;;;90.0
43;25 tot 35 jarigen;2000;13;31;16;11;8;6;11.0;9.0;38.0;18.0;27.0;4.0;9;24;67.0;13.0;20.0;10.0;;;;;90.0
44;25 tot 35 jarigen;2001;10;30;17;10;8;7;;;35.0;;;;9;25;67.0;16.0;17.0;10.0;;;;;90.0
45;25 tot 35 jarigen;2002;11;32;17;11;8;7;;;36.0;;;;10;26;67.0;11.0;21.0;10.0;;;;;90.0
46;25 tot 35 jarigen;2003;14;32;20;12;8;9;;;;;;;12;23;68.0;13.0;19.0;7.0;;;;;93.0
47;25 tot 35 jarigen;2004;16;34;24;15;10;12;;;;;;;8;23;73.0;10.0;17.0;7.0;;;;;93.0
48;35 tot 45 jarigen;1997;15;32;14;12;9;10;11.0;7.0;33.0;28.0;18.0;3.0;12;21;66.0;13.0;21.0;9.0;;;;;91.0
49;35 tot 45 jarigen;1998;13;30;13;12;7;9;10.0;9.0;32.0;28.0;17.0;3.0;12;20;63.0;15.0;22.0;8.0;;;;;92.0
50;35 tot 45 jarigen;1999;17;32;14;15;9;11;9.0;9.0;36.0;27.0;20.0;4.0;13;20;60.0;12.0;28.0;8.0;;;;;92.0
51;35 tot 45 jarigen;2000;12;30;13;12;9;9;14.0;8.0;36.0;25.0;22.0;2.0;12;21;59.0;14.0;28.0;8.0;;;;;92.0
52;35 tot 45 jarigen;2001;15;32;14;12;9;9;;;35.0;;;;12;23;61.0;12.0;27.0;9.0;;;;;91.0
53;35 tot 45 jarigen;2002;13;31;15;12;10;10;;;37.0;;;;12;23;57.0;18.0;25.0;7.0;;;;;93.0
54;35 tot 45 jarigen;2003;15;33;16;12;8;8;;;;;;;11;23;68.0;11.0;21.0;8.0;;;;;92.0
55;35 tot 45 jarigen;2004;13;33;15;11;9;9;;;;;;;12;21;64.0;11.0;25.0;9.0;;;;;91.0
56;45 tot 55 jarigen;1997;16;30;13;14;11;11;11.0;8.0;34.0;30.0;17.0;3.0;16;17;50.0;18.0;31.0;8.0;;;;;92.0
57;45 tot 55 jarigen;1998;14;27;9;13;8;8;11.0;8.0;27.0;30.0;13.0;2.0;16;17;55.0;18.0;27.0;5.0;;;;;95.0
58;45 tot 55 jarigen;1999;14;31;13;14;11;10;13.0;10.0;37.0;30.0;21.0;4.0;19;22;53.0;16.0;31.0;6.0;;;;;94.0
59;45 tot 55 jarigen;2000;12;28;12;12;9;10;12.0;10.0;36.0;28.0;20.0;3.0;17;19;57.0;15.0;28.0;9.0;;;;;91.0
60;45 tot 55 jarigen;2001;15;30;16;14;12;12;;;38.0;;;;16;20;49.0;14.0;38.0;8.0;;;;;92.0
61;45 tot 55 jarigen;2002;17;35;15;13;11;10;;;37.0;;;;16;19;49.0;16.0;35.0;7.0;;;;;93.0
62;45 tot 55 jarigen;2003;17;34;13;13;9;11;;;;;;;17;21;60.0;13.0;27.0;7.0;;;;;93.0
63;45 tot 55 jarigen;2004;17;33;15;13;10;11;;;;;;;16;19;61.0;14.0;25.0;9.0;;;;;91.0
64;55 tot 65 jarigen;1997;15;28;9;12;7;9;10.0;6.0;29.0;30.0;15.0;1.0;18;13;;;;;;;;;
65;55 tot 65 jarigen;1998;10;26;13;11;9;10;9.0;4.0;25.0;30.0;13.0;1.0;21;17;;;;;;;;;
66;55 tot 65 jarigen;1999;12;22;11;8;7;7;8.0;8.0;28.0;31.0;13.0;1.0;20;22;45.0;17.0;38.0;3.0;;;;;97.0
67;55 tot 65 jarigen;2000;16;26;11;13;10;10;12.0;7.0;30.0;30.0;16.0;2.0;21;20;41.0;18.0;41.0;12.0;;;;;88.0
68;55 tot 65 jarigen;2001;16;30;16;16;9;11;;;30.0;;;;22;19;53.0;13.0;34.0;14.0;;;;;86.0
69;55 tot 65 jarigen;2002;16;29;11;12;11;10;;;33.0;;;;19;14;50.0;13.0;37.0;2.0;;;;;98.0
70;55 tot 65 jarigen;2003;11;26;13;12;9;9;;;;;;;22;15;48.0;14.0;37.0;10.0;;;;;90.0
71;55 tot 65 jarigen;2004;15;31;13;13;10;11;;;;;;;20;18;49.0;23.0;29.0;8.0;;;;;92.0
72;Opleidingsniveau: basisonderwijs;1997;13;26;15;13;12;13;12.0;8.0;42.0;31.0;24.0;5.0;24;24;51.0;13.0;36.0;15.0;;;;;85.0
73;Opleidingsniveau: basisonderwijs;1998;14;24;12;13;11;12;16.0;7.0;40.0;30.0;22.0;5.0;26;26;44.0;27.0;29.0;13.0;;;;;87.0
74;Opleidingsniveau: basisonderwijs;1999;16;30;18;15;13;13;15.0;7.0;44.0;26.0;28.0;11.0;23;28;44.0;14.0;41.0;8.0;;;;;92.0
75;Opleidingsniveau: basisonderwijs;2000;13;29;16;18;14;10;13.0;12.0;44.0;24.0;29.0;6.0;23;29;53.0;12.0;35.0;12.0;;;;;88.0
76;Opleidingsniveau: basisonderwijs;2001;23;31;17;20;17;16;;;49.0;;;;28;27;52.0;14.0;34.0;12.0;;;;;88.0
77;Opleidingsniveau: basisonderwijs;2002;12;30;17;15;14;11;;;41.0;;;;24;27;42.0;19.0;38.0;18.0;;;;;82.0
78;Opleidingsniveau: basisonderwijs;2003;13;26;14;13;10;10;;;;;;;22;29;54.0;18.0;28.0;16.0;;;;;84.0
79;Opleidingsniveau: basisonderwijs;2004;18;28;22;16;15;14;;;;;;;26;25;47.0;19.0;33.0;12.0;;;;;88.0
80;Opleidingsniveau: vbo;1997;12;26;11;14;9;9;10.0;7.0;41.0;26.0;24.0;4.0;13;19;58.0;12.0;29.0;18.0;;;;;82.0
81;Opleidingsniveau: vbo;1998;8;21;9;10;5;6;7.0;9.0;32.0;23.0;19.0;5.0;13;20;54.0;21.0;25.0;14.0;;;;;86.0
82;Opleidingsniveau: vbo;1999;10;28;12;13;9;9;10.0;12.0;44.0;28.0;24.0;4.0;16;21;55.0;12.0;33.0;15.0;;;;;85.0
83;Opleidingsniveau: vbo;2000;9;22;11;11;10;8;12.0;7.0;45.0;29.0;24.0;4.0;15;21;55.0;16.0;28.0;15.0;;;;;85.0
84;Opleidingsniveau: vbo;2001;10;30;17;12;11;10;;;38.0;;;;14;23;53.0;17.0;31.0;13.0;;;;;87.0
85;Opleidingsniveau: vbo;2002;16;33;19;18;14;12;;;44.0;;;;16;27;55.0;18.0;28.0;14.0;;;;;86.0
86;Opleidingsniveau: vbo;2003;15;30;15;14;9;11;;;;;;;18;21;56.0;13.0;31.0;7.0;;;;;93.0
87;Opleidingsniveau: vbo;2004;19;28;22;17;15;15;;;;;;;18;21;58.0;17.0;24.0;13.0;;;;;87.0
88;Opleidingsniveau: mavo;1997;14;27;16;14;10;8;12.0;8.0;37.0;28.0;21.0;3.0;11;19;61.0;20.0;20.0;11.0;;;;;89.0
89;Opleidingsniveau: mavo;1998;13;25;14;12;9;8;13.0;10.0;27.0;28.0;14.0;2.0;13;21;60.0;9.0;30.0;7.0;;;;;93.0
90;Opleidingsniveau: mavo;1999;11;24;13;10;9;8;11.0;10.0;38.0;31.0;19.0;3.0;14;25;62.0;12.0;26.0;10.0;;;;;90.0
91;Opleidingsniveau: mavo;2000;11;24;12;11;7;8;13.0;10.0;37.0;22.0;24.0;4.0;12;23;60.0;13.0;26.0;4.0;;;;;96.0
92;Opleidingsniveau: mavo;2001;14;25;18;14;10;10;;;37.0;;;;12;27;59.0;15.0;26.0;11.0;;;;;89.0
93;Opleidingsniveau: mavo;2002;12;26;12;11;7;7;;;40.0;;;;10;21;70.0;10.0;20.0;5.0;;;;;95.0
94;Opleidingsniveau: mavo;2003;14;28;16;11;11;11;;;;;;;15;26;56.0;17.0;26.0;11.0;;;;;89.0
95;Opleidingsniveau: mavo;2004;13;30;15;15;12;10;;;;;;;13;23;72.0;8.0;20.0;7.0;;;;;93.0
96;Opleidingsniveau: havo/vwo, mbo;1997;13;31;14;11;8;8;10.0;7.0;34.0;26.0;19.0;2.0;10;21;66.0;13.0;21.0;12.0;;;;;88.0
97;Opleidingsniveau: havo/vwo, mbo;1998;11;28;11;10;6;6;9.0;8.0;30.0;26.0;16.0;2.0;10;19;63.0;15.0;22.0;9.0;;;;;91.0
98;Opleidingsniveau: havo/vwo, mbo;1999;13;29;14;14;10;10;12.0;9.0;36.0;23.0;22.0;3.0;12;22;65.0;14.0;22.0;11.0;;;;;89.0
99;Opleidingsniveau: havo/vwo, mbo;2000;11;24;12;10;7;6;13.0;10.0;37.0;23.0;24.0;3.0;11;21;63.0;14.0;23.0;12.0;;;;;88.0
100;Opleidingsniveau: havo/vwo, mbo;2001;11;27;14;10;7;7;;;36.0;;;;10;22;62.0;15.0;23.0;12.0;;;;;88.0
101;Opleidingsniveau: havo/vwo, mbo;2002;11;29;15;12;10;9;;;36.0;;;;11;22;64.0;13.0;23.0;7.0;;;;;93.0
102;Opleidingsniveau: havo/vwo, mbo;2003;14;29;17;12;8;9;;;;;;;13;22;66.0;11.0;23.0;9.0;;;;;91.0
103;Opleidingsniveau: havo/vwo, mbo;2004;14;30;20;11;8;9;;;;;;;13;20;68.0;11.0;21.0;11.0;;;;;89.0
104;Opleidingsniveau: hbo, universiteit;1997;21;39;17;15;10;12;10.0;7.0;24.0;23.0;14.0;1.0;7;21;77.0;9.0;14.0;4.0;;;;;96.0
105;Opleidingsniveau: hbo, universiteit;1998;15;35;16;12;7;9;9.0;6.0;21.0;23.0;12.0;1.0;10;18;80.0;6.0;14.0;3.0;;;;;97.0
106;Opleidingsniveau: hbo, universiteit;1999;16;34;15;12;8;9;8.0;7.0;25.0;22.0;16.0;1.0;10;20;70.0;15.0;15.0;4.0;;;;;96.0
107;Opleidingsniveau: hbo, universiteit;2000;16;37;17;12;9;10;11.0;8.0;28.0;21.0;19.0;2.0;10;21;73.0;11.0;17.0;5.0;;;;;95.0
108;Opleidingsniveau: hbo, universiteit;2001;16;37;20;13;10;10;;;29.0;;;;10;21;72.0;7.0;21.0;7.0;;;;;93.0
109;Opleidingsniveau: hbo, universiteit;2002;16;36;18;11;9;8;;;31.0;;;;10;21;67.0;10.0;22.0;5.0;;;;;95.0
110;Opleidingsniveau: hbo, universiteit;2003;17;38;19;12;7;9;;;;;;;9;22;78.0;8.0;14.0;5.0;;;;;95.0
111;Opleidingsniveau: hbo, universiteit;2004;14;29;17;14;10;11;;;;;;;10;22;70.0;11.0;19.0;3.0;;;;;97.0
112;Elementaire beroepen;1997;13;29;18;17;13;13;15.0;6.0;41.0;24.0;24.0;4.0;21;21;57.0;9.0;33.0;12.0;;;;;88.0
113;Elementaire beroepen;1998;7;21;13;9;8;8;9.0;7.0;35.0;24.0;21.0;5.0;20;22;44.0;16.0;40.0;17.0;;;;;83.0
114;Elementaire beroepen;1999;16;28;16;18;12;14;14.0;11.0;44.0;20.0;30.0;9.0;19;28;44.0;21.0;35.0;15.0;;;;;85.0
115;Elementaire beroepen;2000;8;28;16;19;14;11;18.0;9.0;49.0;23.0;33.0;6.0;19;28;57.0;13.0;29.0;11.0;;;;;89.0
116;Elementaire beroepen;2001;15;29;23;20;13;15;;;44.0;;;;18;27;49.0;19.0;32.0;21.0;;;;;79.0
117;Elementaire beroepen;2002;18;36;20;27;15;17;;;45.0;;;;20;33;48.0;14.0;38.0;12.0;;;;;88.0
118;Elementaire beroepen;2003;14;28;19;14;8;9;;;;;;;24;24;62.0;6.0;33.0;5.0;;;;;95.0
119;Elementaire beroepen;2004;17;38;20;12;9;11;;;;;;;20;24;58.0;19.0;23.0;9.0;;;;;91.0
120;Lagere beroepen;1997;12;28;14;14;9;9;10.0;7.0;41.0;27.0;24.0;4.0;14;23;58.0;13.0;29.0;16.0;;;;;84.0
121;Lagere beroepen;1998;10;25;11;12;8;7;11.0;9.0;35.0;27.0;19.0;4.0;15;23;57.0;20.0;23.0;11.0;;;;;89.0
122;Lagere beroepen;1999;11;27;14;14;10;9;12.0;11.0;43.0;26.0;26.0;5.0;15;23;52.0;15.0;33.0;10.0;;;;;90.0
123;Lagere beroepen;2000;10;22;11;10;9;7;13.0;10.0;44.0;25.0;27.0;5.0;16;24;54.0;16.0;30.0;12.0;;;;;88.0
124;Lagere beroepen;2001;13;28;18;15;11;10;;;44.0;;;;15;26;59.0;16.0;25.0;12.0;;;;;88.0
125;Lagere beroepen;2002;12;28;17;15;13;10;;;41.0;;;;16;27;59.0;16.0;24.0;14.0;;;;;86.0
126;Lagere beroepen;2003;14;29;21;15;12;13;;;;;;;18;27;56.0;17.0;27.0;11.0;;;;;89.0
127;Lagere beroepen;2004;14;30;19;16;13;12;;;;;;;14;23;63.0;11.0;25.0;10.0;;;;;90.0
128;Middelbare beroepen;1997;14;30;14;12;9;9;11.0;7.0;36.0;27.0;20.0;2.0;10;20;66.0;14.0;20.0;11.0;;;;;89.0
129;Middelbare beroepen;1998;12;27;12;10;6;7;10.0;8.0;29.0;26.0;16.0;2.0;11;19;63.0;14.0;23.0;10.0;;;;;90.0
130;Middelbare beroepen;1999;12;28;13;12;10;9;11.0;8.0;37.0;25.0;21.0;4.0;13;22;68.0;11.0;21.0;12.0;;;;;88.0
131;Middelbare beroepen;2000;12;25;13;12;8;8;12.0;9.0;37.0;24.0;22.0;3.0;12;21;64.0;13.0;23.0;11.0;;;;;89.0
132;Middelbare beroepen;2001;12;28;14;10;8;9;;;35.0;;;;12;22;61.0;14.0;26.0;9.0;;;;;91.0
133;Middelbare beroepen;2002;11;29;13;10;8;8;;;38.0;;;;12;22;65.0;14.0;21.0;7.0;;;;;93.0
134;Middelbare beroepen;2003;13;29;13;11;6;8;;;;;;;12;21;65.0;13.0;21.0;11.0;;;;;89.0
135;Middelbare beroepen;2004;14;30;16;13;9;10;;;;;;;14;19;68.0;12.0;20.0;12.0;;;;;88.0
136;Hogere beroepen;1997;19;37;16;14;8;11;11.0;8.0;23.0;26.0;13.0;1.0;10;20;71.0;12.0;16.0;4.0;;;;;96.0
137;Hogere beroepen;1998;15;35;14;13;7;9;10.0;7.0;21.0;24.0;10.0;1.0;11;17;72.0;10.0;18.0;4.0;;;;;96.0
138;Hogere beroepen;1999;16;34;16;14;7;10;8.0;7.0;26.0;24.0;17.0;2.0;11;22;68.0;15.0;17.0;3.0;;;;;97.0
139;Hogere beroepen;2000;15;35;14;11;8;8;11.0;8.0;27.0;21.0;19.0;1.0;10;20;73.0;8.0;19.0;5.0;;;;;95.0
140;Hogere beroepen;2001;16;35;17;12;9;11;;;29.0;;;;10;20;65.0;10.0;25.0;8.0;;;;;92.0
141;Hogere beroepen;2002;15;36;16;11;9;8;;;29.0;;;;10;19;64.0;11.0;25.0;4.0;;;;;96.0
142;Hogere beroepen;2003;16;37;18;12;8;8;;;;;;;9;20;79.0;6.0;15.0;4.0;;;;;96.0
143;Hogere beroepen;2004;16;35;19;10;8;9;;;;;;;9;20;76.0;9.0;15.0;4.0;;;;;96.0
144;Wetenschappelijke beroepen;1997;19;39;15;13;10;11;5.0;6.0;22.0;20.0;13.0;1.0;6;20;82.0;7.0;11.0;4.0;;;;;96.0
145;Wetenschappelijke beroepen;1998;13;34;13;11;8;8;7.0;6.0;22.0;25.0;16.0;2.0;10;19;83.0;5.0;12.0;2.0;;;;;98.0
146;Wetenschappelijke beroepen;1999;18;35;14;11;9;10;8.0;8.0;22.0;22.0;13.0;0.0;11;15;73.0;11.0;16.0;5.0;;;;;95.0
147;Wetenschappelijke beroepen;2000;17;37;20;11;11;11;13.0;9.0;31.0;18.0;21.0;1.0;9;20;73.0;16.0;11.0;6.0;;;;;94.0
148;Wetenschappelijke beroepen;2001;14;37;20;13;9;6;;;28.0;;;;10;22;78.0;7.0;14.0;4.0;;;;;96.0
149;Wetenschappelijke beroepen;2002;22;41;24;15;12;12;;;30.0;;;;10;20;59.0;10.0;31.0;4.0;;;;;96.0
150;Wetenschappelijke beroepen;2003;19;38;21;12;7;12;;;;;;;10;20;;;;;;;;;
151;Wetenschappelijke beroepen;2004;18;39;21;11;9;10;;;;;;;9;23;72.0;4.0;24.0;6.0;;;;;94.0
152;Arbeidsduur 12 tot 20 uur per week;1997;9;21;9;10;6;6;16.0;8.0;30.0;33.0;14.0;2.0;15;18;71.0;9.0;20.0;9.0;;;;;91.0
153;Arbeidsduur 12 tot 20 uur per week;1998;8;21;7;8;6;5;16.0;12.0;29.0;31.0;14.0;2.0;18;16;56.0;23.0;21.0;12.0;;;;;88.0
154;Arbeidsduur 12 tot 20 uur per week;1999;9;21;8;5;6;5;14.0;15.0;31.0;28.0;17.0;2.0;15;19;54.0;23.0;24.0;11.0;;;;;89.0
155;Arbeidsduur 12 tot 20 uur per week;2000;8;16;7;6;7;5;18.0;11.0;37.0;28.0;19.0;3.0;15;19;70.0;14.0;17.0;2.0;;;;;98.0
156;Arbeidsduur 12 tot 20 uur per week;2001;11;22;13;9;8;7;;;35.0;;;;16;19;61.0;9.0;30.0;7.0;;;;;93.0
157;Arbeidsduur 12 tot 20 uur per week;2002;9;19;11;9;7;6;;;32.0;;;;15;25;65.0;12.0;22.0;6.0;;;;;94.0
158;Arbeidsduur 12 tot 20 uur per week;2003;11;23;16;9;8;8;;;;;;;16;23;57.0;15.0;28.0;6.0;;;;;94.0
159;Arbeidsduur 12 tot 20 uur per week;2004;7;18;13;9;8;5;;;;;;;14;21;69.0;11.0;20.0;6.0;;;;;93.0
160;Arbeidsduur 20 tot 35 uur per week;1997;16;33;14;13;10;10;13.0;10.0;36.0;31.0;19.0;2.0;15;24;66.0;10.0;24.0;7.0;;;;;93.0
161;Arbeidsduur 20 tot 35 uur per week;1998;15;31;14;13;7;9;15.0;12.0;31.0;28.0;16.0;2.0;16;25;67.0;9.0;24.0;3.0;;;;;97.0
162;Arbeidsduur 20 tot 35 uur per week;1999;15;32;15;14;11;10;12.0;13.0;36.0;30.0;20.0;3.0;17;24;63.0;12.0;26.0;7.0;;;;;93.0
163;Arbeidsduur 20 tot 35 uur per week;2000;15;30;14;13;10;9;16.0;11.0;38.0;27.0;23.0;3.0;15;23;63.0;13.0;24.0;8.0;;;;;92.0
164;Arbeidsduur 20 tot 35 uur per week;2001;15;32;17;13;11;11;;;38.0;;;;14;26;61.0;14.0;25.0;7.0;;;;;93.0
165;Arbeidsduur 20 tot 35 uur per week;2002;15;32;17;14;12;11;;;39.0;;;;16;28;61.0;15.0;25.0;6.0;;;;;94.0
166;Arbeidsduur 20 tot 35 uur per week;2003;14;29;16;11;9;8;;;;;;;17;27;67.0;10.0;22.0;5.0;;;;;95.0
167;Arbeidsduur 20 tot 35 uur per week;2004;18;32;19;13;11;12;;;;;;;15;26;65.0;13.0;22.0;7.0;;;;;93.0
168;Arbeidsduur 35 uur of meer per week;1997;15;33;16;13;9;10;9.0;6.0;33.0;23.0;20.0;3.0;10;20;65.0;14.0;22.0;12.0;13.0;44.0;18.0;25.0;88.0
169;Arbeidsduur 35 uur of meer per week;1998;12;28;13;11;7;8;8.0;6.0;28.0;24.0;16.0;3.0;11;18;62.0;16.0;22.0;11.0;;;;;89.0
170;Arbeidsduur 35 uur of meer per week;1999;14;30;15;14;9;10;10.0;7.0;36.0;22.0;22.0;4.0;12;22;63.0;13.0;24.0;10.0;18.0;34.0;29.0;20.0;90.0
171;Arbeidsduur 35 uur of meer per week;2000;12;29;14;12;8;8;10.0;8.0;36.0;21.0;24.0;3.0;12;22;62.0;13.0;25.0;11.0;17.0;32.0;20.0;31.0;89.0
172;Arbeidsduur 35 uur of meer per week;2001;13;31;17;12;9;9;;;35.0;;;;11;22;62.0;14.0;24.0;12.0;15.0;26.0;26.0;32.0;88.0
173;Arbeidsduur 35 uur of meer per week;2002;14;34;16;12;10;9;;;36.0;;;;11;21;61.0;13.0;25.0;11.0;17.0;36.0;18.0;28.0;89.0
174;Arbeidsduur 35 uur of meer per week;2003;16;34;18;13;8;10;;;;;;;12;20;66.0;13.0;21.0;11.0;23.0;35.0;17.0;25.0;89.0
