ID;InstitutionalInvestors;Periods;TotalAssets_1;TotalCurrencyAndTransferableDeposits_2;InEuroS_3;InForeignCurrency_4;TotalDeposits_5;TotalInEuroS_6;MonetaryFinancialInstitutions_7;RestOfTheWorld_8;TotalInForeignCurrency_9;MonetaryFinancialInstitutions_10;RestOfTheWorld_11;TotalShortTermSecurities_12;TotalGovernment_13;CentralGovernment_14;TotalFinancialCorporations_15;MonetaryFinancialInstitutions_16;OtherFinIntermAndFinAux_17;TotalOtherDomestic_18;NonFinancialCorporations_19;PrivateCompanies_20;GovernmentCompanies_21;ShortTermSecuritiesRestOfTheWorld_22;TotalLongTermSecurities_23;TotalGovernment_24;CentralGovernment_25;LocalGovernment_26;TotalFinancialCorporations_27;MonetaryFinancialInstitutions_28;NonMMFInvestmentFunds_29;OtherFinIntermAndFinAux_30;CaptiveFinInstAndMoneyLenders_31;InsuranceCorporationsAndPensionFunds_32;TotalOtherDomestic_33;NonFinancialCorporations_34;PrivateCompanies_35;InstitutionsProvidingHealthCare_36;GovernmentCompanies_37;LongTermSecuritiesRestOfTheWorld_38;TotalShortTermLoans_39;TotalGovernment_40;CentralGovernment_41;LocalGovernment_42;SocialSecurityFunds_43;TotalFinancialCorporations_44;NonMMFInvestmentFunds_45;OtherFinIntermAndFinAux_46;InsuranceCorporationsAndPensionFunds_47;TotalOtherDomestic_48;NonFinancialCorporations_49;PrivateCompanies_50;GovernmentCompanies_51;HouseholdsIncludingNPISH_52;ShortTermLoansRestOfTheWorld_53;TotalLongTermLoans_54;TotalGovernment_55;CentralGovernment_56;LocalGovernment_57;SocialSecurityFunds_58;TotalFinancialCorporations_59;MonetaryFinancialInstitutions_60;NonMMFInvestmentFunds_61;OtherFinIntermAndFinAux_62;InsuranceCorporationsAndPensionFunds_63;TotalOtherDomestic_64;NonFinancialCorporations_65;PrivateCompanies_66;InstitutionsProvidingHealthCare_67;GovernmentCompanies_68;HousingCorporations_69;HouseholdsIncludingNPISH_70;LongTermLoansRestOfTheWorld_71;TotalMortgageLoans_72;HousesOfficesAndShops_73;RuralEstates_74;Other_75;RestOfTheWorld_76;TotalListedShares_77;TotalFinancialCorporations_78;MonetaryFinancialInstitutions_79;OtherFinIntermAndFinAux_80;CaptiveFinInstAndMoneyLenders_81;InsuranceCorporationsAndPensionFunds_82;NonFinancialCorporations_83;PrivateCompanies_84;GovernmentCompanies_85;ListedSharesRestOfTheWorld_86;TotalUnlistedShares_87;TotalFinancialCorporations_88;MonetaryFinancialInstitutions_89;OtherFinIntermAndFinAux_90;InsuranceCorporationsAndPensionFunds_91;NonFinancialCorporations_92;PrivateCompanies_93;UnlistedSharesRestOfTheWorld_94;InvestmentFundSharesOrUnitsTotal_95;TotalFinancialCorporations_96;MoneyMarketFunds_97;NonMMFInvestmentFunds_98;InvFundShOrUnitsRestOfTheWorld_99;InsPensionAndStGuaranteeSch_100;NonLifeInsuranceTechnicalReserves_101;OtherEntitlements_102;FinancialDerivatives_103;OtherAccountsReceivablePayable_104;TotalDirectProperty_105;Houses_106;OtherDomestic_107;OfficesAndShops_108;RuralEstates_109;Other_110;RestOfTheWorld_111;OtherAssets_112;TotalLiabilities_113;TotalShortTermSecurities_114;ShortTermSecuritiesRestOfTheWorld_115;TotalLongTermSecurities_116;TotalGovernment_117;CentralGovernment_118;LocalGovernment_119;SocialSecurityFunds_120;TotalFinancialCorporations_121;MonetaryFinancialInstitutions_122;NonMMFInvestmentFunds_123;OtherFinIntermAndFinAux_124;InsuranceCorporationsAndPensionFunds_125;TotalOtherDomestic_126;HouseholdsIncludingNPISH_127;LongTermSecuritiesRestOfTheWorld_128;TotalShortTermLoans_129;TotalGovernment_130;CentralGovernment_131;SocialSecurityFunds_132;TotalFinancialCorporations_133;MonetaryFinancialInstitutions_134;NonMMFInvestmentFunds_135;OtherFinIntermAndFinAux_136;InsuranceCorporationsAndPensionFunds_137;TotalOtherDomestic_138;NonFinancialCorporations_139;HouseholdsIncludingNPISH_140;ShortTermLoansRestOfTheWorld_141;TotalLongTermLoans_142;TotalGovernment_143;CentralGovernment_144;LocalGovernment_145;SocialSecurityFunds_146;TotalFinancialCorporations_147;MonetaryFinancialInstitutions_148;NonMMFInvestmentFunds_149;OtherFinIntermAndFinAux_150;InsuranceCorporationsAndPensionFunds_151;TotalOtherDomestic_152;NonFinancialCorporations_153;HouseholdsIncludingNPISH_154;LongTermLoansRestOfTheWorld_155;TotalEquityAndShares_156;TotalGovernment_157;CentralGovernment_158;LocalGovernment_159;SocialSecurityFunds_160;TotalFinancialCorporations_161;MonetaryFinancialInstitutions_162;NonMMFInvestmentFunds_163;OtherFinIntermAndFinAux_164;InsuranceCorporationsAndPensionFunds_165;TotalOtherDomestic_166;NonFinancialCorporations_167;HouseholdsIncludingNPISH_168;EquityAndSharesRestOfTheWorld_169;InsPensionAndStGuaranteeSch_170;NonLifeInsuranceTechnicalReserves_171;LifeInsuranceAndAnnuityEntitlements_172;PensionEntitlements_173;OtherEntitlements_174;ProvForCallsUnderStandGuarantees_175;EntitlementsToNonPensionBenefits_176;FinancialDerivatives_177;OtherAccountsReceivablePayable_178;OtherLiabilities_179
10;Total institutional investors;2007;1236049;13766;11456;2310;37840;35594;22376;13218;2246;1815;431;3246;193;193;372;127;245;13;13;13.0;0.0;2668;436633;36939;36939;0;38596;9265;0;29125;0;206;3950;3950;3942.0;0.0;8.0;357148;13643;466;466;0;0;10324;0;7038;3286;91;91;91.0;0.0;0;2762;42233;2148;1278;870;0;30429;15813;0;6407;8209;6471;5773;2588.0;705.0;662.0;1818.0;698;3185;36090.0;35241.0;96.0;714.0;39.0;349671;33608;811;32797;0;0;33824;33822.0;2.0;282239;33014;12187;539;6017;5631;1163;1163.0;19664;151951;43914;551;43363;108037.0;21157;;;1347;42509;50898;16749;20345;17985.0;1534.0;826.0;13804;2051;1236049;0;0;693;3;3;0;0;461;255;0;0;206;128;128;101;25611;22;0;22;16066;5302;0;7478;3286;338;258;80;9185;19390;809;800;0;9;18062;7220;0;2633;8209;293;293;0;226;121194;0;0;0;0;69397;0;2560;20403;46434;30677;0;30677;21120;1009033.0;;;;;;;;45950;14178
11;Total institutional investors;2008 before revision;1111638;20247;16721;3526;36924;33378;25555;7823;3546;3050;496;7220;836;836;1091;497;594;32;32;32.0;0.0;5261;414500;24574;24574;0;40978;7769;0;33006;0;203;4772;4772;4771.0;0.0;1.0;344176;36182;493;493;0;0;17147;0;11299;5848;350;213;213.0;0.0;137;18192;38792;2177;1392;785;0;26480;14562;0;5900;6018;6023;5469;2619.0;675.0;475.0;1700.0;554;4112;34832.0;33976.0;96.0;680.0;80.0;201204;7457;354;7103;0;0;20918;20918.0;0.0;172829;30218;6359;351;3381;2627;3774;3774.0;20085;129825;33565;549;33016;96260.0;23281;;;45520;40666;48484;15445;19066;16900.0;1529.0;637.0;13973;3743;1111638;0;0;782;5;5;0;0;559;356;0;0;203;117;117;101;62332;21;0;21;21474;5580;0;10046;5848;404;273;131;40433;17352;1109;1100;0;9;15069;7419;3;1632;6015;259;259;0;915;96464;0;0;0;0;53860;0;1328;18217;34315;23293;0;23293;19311;891427.0;;;;;;;;42512;769
12;Total institutional investors;2008 after revision;1311077;27815;19615;8200;20046;12131;10818;1313;7915;3220;4695;16763;240;240;999;721;278;19;19;;;15505;450152;29030;29030;0;26129;9150;0;16979;0;0;4344;4344;;;;390649;39100;301;301;0;0;14083;54;8938;5091;632;339;;;293;24084;90526;1812;1282;530;0;39949;22546;405;8817;8181;41984;7056;;;;;34928;6781;;;;;;183457;2771;893;1878;0;0;13720;;;166966;50911;13477;109;8216;5152;8006;;29428;242137;141531;1053;140478;100606.0;34442;29856.0;4586.0;47382;54666;51595;23165;27250;;;;1180;2085;1311077;0;0;158;0;0;0;0;0;0;0;0;0;0;0;158;44908;0;0;0;19031;3296;173;10590;4972;162;1;161;25715;24056;1105;1105;0;0;20655;4226;4;7843;8582;894;726;168;1402;224086;3103;734;2369;0;180643;773;21432;34240;124198;30134;2796;27338;10206;931586.0;44409.0;166792.0;709561.0;9660.0;1164.0;0.0;1274.0;97616;-12607
13;Total institutional investors;2009;1597293;28479;21232;7247;18636;12338;10183;2155;6298;2291;4007;11597;384;384;584;389;195;0;0;;;10629;482502;37111;37111;0;29738;11746;0;17692;300;0;5149;5149;;;;410504;48103;300;300;0;0;33385;42;7513;25830;504;379;;;125;13914;89554;1699;1169;530;0;37498;21560;2005;7680;6253;43421;6829;;;;;36592;6936;;;;;;252273;6160;830;2292;3038;0;13905;;;232208;48193;14378;138;6262;7978;8454;;25361;477639;366713;1120;365593;110926.0;29359;28973.0;386.0;11812;47326;49548;22377;26123;;;;1048;2272;1597293;0;0;588;0;0;0;0;0;0;0;0;0;0;0;588;79399;0;0;0;53238;9108;21371;18258;4501;491;280;211;25670;19544;504;504;0;0;15609;3181;4;4170;8254;786;600;186;2645;455326;4203;2059;2144;0;408995;559;27522;34865;346049;34620;2314;32306;7508;953874.0;44349.0;157925.0;730988.0;19358.0;1254.0;0.0;416.0;41798;46348
14;Total institutional investors;2010;1714250;23339;17911;5428;15674;8323;5684;2639;7351;2276;5075;5545;612;612;479;337;142;0;0;;;4454;497901;54567;54567;0;29416;14124;0;14987;305;0;4508;4508;;;;409410;45454;650;650;0;0;41098;49;36284;4765;289;172;;;117;3417;94343;1720;1135;585;0;36293;21812;2154;6597;5730;46404;6784;;;;;39620;9926;;;;;;286963;6609;776;2381;3452;0;15097;;;265257;49731;17685;190;6874;10621;8222;;23824;546385;418754;2226;416528;127631.0;29720;29369.0;351.0;17263;52194;48006;21056;25783;;;;1167;1732;1714250;0;0;1685;0;0;0;0;0;0;0;0;0;0;0;1685;41957;0;0;0;26927;2913;36;19200;4778;332;14;318;14698;20308;434;434;0;0;15598;4070;4;3644;7880;690;582;108;3586;513326;4051;2025;2026;0;464207;464;30867;36594;396282;35345;2471;32874;9723;1043655.0;43937.0;158098.0;821947.0;18279.0;1394.0;0.0;812.0;45318;47189
15;Total institutional investors;2011;1819802;23390;16989;6401;12268;6257;5445;812;6011;2122;3889;6402;1276;1276;694;578;116;0;0;;;4432;541163;84516;84516;0;31257;14647;0;16055;555;0;3739;3739;;;;421651;48338;100;100;0;0;42838;49;36518;6271;1269;1151;;;118;4131;91038;1755;1072;683;0;27316;16291;676;7460;2889;51567;6927;;;;;44640;10400;;;;;;278199;5787;590;1590;3607;0;12751;;;259661;51633;19964;144;8495;11325;6984;;24685;583299;453242;2210;451032;130057.0;34077;33583.0;494.0;58495;42495;47436;19525;26755;;;;1156;1569;1819802;0;0;1824;72;0;72;0;35;0;0;35;0;0;0;1717;46197;0;0;0;30667;1812;34;22535;6286;87;5;82;15443;17842;674;674;0;0;12691;5000;223;4126;3342;592;492;100;3885;538910;3121;1298;1823;0;502602;606;26824;39639;435533;24200;1899;22301;8987;1174326.0;46285.0;158082.0;955738.0;12672.0;1549.0;0.0;729.0;55803;-15829
16;Total institutional investors;2012;2053719;26937;19706;7231;12628;5183;3326;1857;7445;2418;5027;10109;2448;2448;360;284;76;5;5;;;7296;622900;92541;92541;0;31234;14159;0;16726;349;0;4610;4610;;;;494515;49735;272;272;0;0;45798;96;43405;2297;315;199;;;116;3350;98072;1488;745;743;0;28130;16712;723;7744;2951;53241;6862;;;;;46379;15213;;;;;;327364;5979;308;2344;3327;0;13085;;;308300;57976;19572;146;7977;11449;6988;;31416;658693;526752;3388;523364;131941.0;34058;33747.0;311.0;69720;38126;45876;19304;25595;;;;977;1525;2053719;0;0;2167;71;0;71;0;35;0;0;35;0;33;33;2028;41195;0;0;0;27824;3012;34;22419;2359;142;47;95;13229;17361;864;864;0;0;11478;4308;278;3496;3396;596;510;86;4423;617176;3390;1866;1524;0;576804;620;28054;41371;506759;25071;2251;22820;11911;1275072.0;47106.0;157710.0;1045461.0;23886.0;909.0;0.0;952.0;80762;19034
17;Total institutional investors;2013;2109937;16808;9414;7394;9614;4472;1340;3132;5142;2172;2970;4956;1223;1223;329;224;105;5;5;;;3399;628682;94896;94896;0;29423;11058;0;18067;298;0;3755;3755;;;;500608;49012;785;785;0;0;44683;84;43446;1153;424;377;;;47;3120;106773;1517;656;861;0;27663;18883;712;6899;1169;62245;7322;;;;;54923;15348;;;;;;364362;6779;365;3171;3243;0;13958;;;343625;57064;19180;156;7871;11153;7176;;30708;716229;581850;3509;578341;134379.0;35123;34653.0;470.0;32072;45334;43576;18677;24137;;;;762;332;2109937;128;128;2792;53;0;53;0;37;0;0;37;0;52;52;2650;29432;0;0;0;18665;1731;34;15697;1203;51;24;27;10716;15152;1004;1004;0;0;9721;5746;325;2094;1556;576;490;86;3851;669134;3037;2267;770;0;629764;703;27116;39567;562378;23557;1727;21830;12776;1252722.0;47171.0;150257.0;1018052.0;35958.0;1284.0;0.0;1035.0;76679;62863
18;Total institutional investors;2014;2482132;26031;15645;10386;9897;6647;1425;5222;3250;1122;2128;7942;1223;1223;480;324;156;100;100;;;6139;732904;110636;110636;0;30223;10558;9;19161;495;0;3674;3674;;;;588371;52739;0;0;0;0;49611;111;47701;1799;489;339;;;150;2639;116936;1346;616;730;0;28684;18868;932;7854;1030;69470;7844;;;;;61626;17436;;;;;;433498;6012;320;2675;3017;0;12103;;;415383;65289;19657;154;8149;11354;10103;;35529;843706;676343;7554;668789;167363.0;30539;30481.0;58.0;79252;41792;41228;18036;22409;;;;783;379;2482132;413;413;3488;61;0;61;0;47;0;0;38;9;50;50;3330;47023;0;0;0;34612;2230;34;30472;1876;334;60;274;12077;14056;784;784;0;0;8919;4793;425;2164;1537;1090;1011;79;3263;778755;2309;1615;694;0;730858;961;27789;49754;652354;28797;1958;26839;16791;1449560.0;43427.0;154409.0;1238960.0;11809.0;955.0;0.0;1145.0;95287;92405
19;Total institutional investors;2015;2493255;25151;14608;10543;8423;4964;802;4162;3459;1228;2231;8866;917;917;332;178;154;30;30;;;7587;751646;104128;104128;0;29695;11250;9;17941;495;0;3804;3804;;;;614019;45665;0;0;0;0;42920;113;41461;1346;638;379;;;259;2107;127855;1456;575;881;0;29653;19431;695;8490;1037;81958;8298;;;;;73660;14788;;;;;;436369;4054;321;1272;2461;0;12607;;;419708;65030;20126;154;8586;11386;10104;;34800;863109;694984;8222;686762;168125.0;30103;30057.0;46.0;51749;36255;42684;19477;22313;;;;894;350;2493255;41;41;1336;48;0;48;0;47;0;0;38;9;44;44;1197;39727;0;0;0;29502;1314;34;26729;1425;492;73;419;9733;12937;64;64;0;0;8320;5117;425;1471;1307;1127;1045;82;3426;796017;2832;2213;619;0;748588;587;26230;49853;671918;32839;2082;30757;11758;1509809.0;43257.0;141554.0;1315033.0;7667.0;814.0;1484.0;399.0;83692;49297
20;Total institutional investors;2016;2687787;26464;18411;8053;10632;7148;4445;2703;3484;1186;2298;13052;1273;1273;318;174;144;110;110;;;11351;778583;103219;103219;0;29502;10938;3;18066;495;0;4428;4428;;;;641434;49377;0;0;0;0;46406;68;44764;1574;368;236;;;132;2603;140968;1241;466;775;0;28574;19569;909;7187;909;96224;8877;;;;;87347;14929;;;;;;493386;6246;486;2698;3062;0;12414;;;474726;65677;19934;152;8495;11287;10142;;35601;944132;760932;5965;754967;183200.0;25427;25427.0;0.0;52711;42198;44900;22377;21705;;;;818;280;2687787;41;41;1393;43;0;43;0;42;0;0;39;3;63;63;1245;44198;0;0;0;33176;2433;14;29101;1628;156;84;72;10866;13405;33;33;0;0;8604;5297;425;1489;1393;1183;1095;88;3585;866870;622;15;607;0;820863;579;27406;54030;738848;34395;2087;32308;10990;1648471.0;42348.0;141857.0;1451089.0;8342.0;814.0;4021.0;324.0;71334;41751
21;Pension funds;1998;408566;1615;1291;324;4493;4307;4307;0;186;93;93;156;45;45;110;110;0;0;0;0.0;0.0;0;128584;50549;50122;427;14537;12962;11;1564;0;0;3176;3176;1744.0;2.0;1431.0;60321;1009;55;0;15;40;454;0;79;375;115;115;60.0;55.0;0;385;59176;17075;8646;8412;17;19152;10684;4;2971;5493;20683;20630;1256.0;3748.0;2516.0;13110.0;53;2266;13026.0;12528.0;1.0;493.0;4.0;140582;17155;2338;14817;0;0;33907;33436.0;471.0;89520;1193;7;0;7;0;181;181.0;1005;11206;11206;945;10261;;14315;;;646;10377;22071;10184;8877;7829.0;18.0;1030.0;3012;120;408566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3542;378;0;378;2294;1866;0;151;277;152;152;0;718;1590;25;0;7;18;1346;4;0;0;1342;202;133;69;17;12;0;0;0;0;12;0;0;12;0;0;0;0;0;400536.0;;;;;;;;2886;0
22;Pension funds;1999;476115;1121;1021;100;4628;4389;4382;8;239;8;231;55;22;22;15;15;0;13;13;13.0;0.0;5;136339;37573;37221;353;12792;10494;20;2279;0;0;2418;2418;958.0;0.0;1459.0;83557;810;54;0;30;24;191;0;11;180;87;87;76.0;11.0;0;479;46319;11343;4243;7100;0;16171;8327;0;3034;4811;16743;16715;1098.0;3050.0;1957.0;10610.0;28;2062;13211.0;12717.0;1.0;490.0;3.0;207119;16544;3054;13490;0;0;27764;27352.0;412.0;162811;4731;3416;0;3416;0;131;131.0;1184;11625;11625;719;10906;;15535;;;912;10099;23470;11791;8627;8070.0;122.0;435.0;3052;140;476115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5763;496;0;496;4236;3850;0;210;176;169;169;0;862;1986;17;0;7;10;1747;232;0;0;1515;202;133;69;20;10;0;0;0;0;10;0;0;10;0;0;0;0;0;463747.0;;;;;;;;4609;0
23;Pension funds;2000;488970;1692;1604;88;5500;5403;5403;0;97;67;30;77;27;27;48;48;0;0;0;0.0;0.0;2;157791;35803;35728;74;12537;9793;25;2720;0;0;2697;2697;2345.0;0.0;352.0;106754;1055;129;1;0;128;341;0;21;320;28;28;0.0;28.0;0;557;34494;7720;1340;6380;0;12233;7500;0;546;4187;12969;12944;610.0;2747.0;1511.0;8076.0;25;1572;14013.0;13475.0;0.0;535.0;3.0;200054;12368;1524;10844;0;0;25175;24948.0;227.0;162511;5640;4040;3;4037;0;102;102.0;1499;16818;16818;761;16057;;15788;;;1287;11286;23330;12340;7938;7245.0;187.0;506.0;3052;146;488971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2955;88;0;88;2267;2023;0;10;234;591;591;0;9;1878;169;0;113;56;1465;254;0;0;1211;224;131;93;20;10;0;0;0;0;10;0;0;10;0;0;0;0;0;481925.0;;;;;;;;2203;0
24;Pension funds;2001;477966;2086;1974;112;3688;3415;3411;4;273;71;202;40;0;0;11;11;0;0;0;0.0;0.0;29;159017;26933;26863;70;10111;7421;20;2670;0;0;3265;3265;3172.0;0.0;93.0;118708;1432;61;6;48;7;328;0;7;321;383;383;189.0;194.0;1;659;28029;5436;955;4481;0;11877;5930;0;426;5521;8888;8865;496.0;1933.0;697.0;5739.0;23;1828;14898.0;14763.0;0.0;121.0;14.0;199880;13833;1183;12634;0;16;16400;16400.0;0.0;169647;6562;3905;6;3899;0;177;177.0;2480;14749;14749;225;14524;;13035;;;1816;6596;25977;13936;9331;8469.0;226.0;636.0;2710;161;477966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2602;46;0;46;1767;1636;0;20;111;314;314;0;475;1976;117;0;105;12;1476;488;0;0;988;383;265;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465596.0;;;;;;;;7792;0
25;Pension funds;2002;452447;1973;1870;103;9943;7615;7615;0;2328;1875;453;3;0;0;0;0;0;0;0;0.0;0.0;3;178244;26545;26473;72;11825;7570;18;4237;0;0;3549;3549;3443.0;0.0;106.0;136325;1870;157;1;156;0;156;0;10;146;167;167;167.0;0.0;0;1390;21679;4232;835;3397;0;11369;6390;0;544;4435;4867;4351;477.0;1206.0;387.0;2281.0;516;1211;15971.0;15825.0;0.0;131.0;15.0;158075;12150;1390;10736;0;24;13377;13377.0;0.0;132548;7398;4035;17;4018;0;193;193.0;3170;13732;13732;210;13522;;6727;;;4254;8995;23414;14115;7723;6881.0;213.0;629.0;1576;169;452447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3634;15;0;15;1813;1642;0;6;165;368;368;0;1438;2652;0;0;0;0;2279;368;0;0;1911;373;253;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438514.0;;;;;;;;7647;0
26;Pension funds;2003;504171;2672;2368;304;8665;7311;6539;772;1354;903;451;208;0;0;208;208;0;0;0;0.0;0.0;0;189993;23745;23685;60;13480;6673;50;6757;0;0;3399;3399;3292.0;0.0;107.0;149369;995;8;0;8;0;243;0;23;220;200;200;200.0;0.0;0;544;17663;2290;790;1500;0;11343;4494;0;616;6233;3039;2869;730.0;665.0;196.0;1278.0;170;991;15049.0;14902.0;0.0;131.0;16.0;195248;12805;1416;11352;0;37;15891;15891.0;0.0;166552;10258;4178;21;4157;0;292;292.0;5788;16154;16154;273;15881;;6860;;;8461;8868;22933;13772;8488;7522.0;147.0;819.0;673;144;504171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4289;10;0;10;1301;1080;0;4;217;441;441;0;2537;2946;0;0;0;0;2596;621;0;0;1975;350;225;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;489664.0;;;;;;;;7272;0
27;Pension funds;2004;558254;3603;3072;531;8238;5745;4470;1275;2493;0;2493;250;0;0;250;250;0;0;0;0.0;0.0;0;219116;21419;21386;33;13528;6642;77;6809;0;0;3088;3088;2969.0;0.0;119.0;181081;1670;18;0;18;0;107;0;6;101;74;74;74.0;0.0;0;1471;11494;1668;728;940;0;7026;3292;0;639;3095;1913;1857;383.0;500.0;149.0;825.0;56;887;14489.0;14347.0;0.0;127.0;15.0;225055;13069;1308;11718;0;43;17541;17541.0;0.0;194445;11144;4645;25;4620;0;297;297.0;6202;18423;18423;305;18118;;3415;;;10536;7548;23107;13848;8348;7595.0;233.0;520.0;911;166;558255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4804;13;0;13;1826;1720;0;5;101;0;0;0;2965;2668;0;0;0;0;2343;727;0;0;1616;325;200;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543988.0;;;;;;;;6795;0
28;Pension funds;2005 before break;646919;4148;3325;823;11344;8824;5302;3522;2520;958;1562;4;0;0;0;0;0;0;0;0.0;0.0;4;252636;19943;19937;6;13578;6076;79;7423;0;0;2672;2672;2536.0;0.0;136.0;216443;1711;59;0;59;0;65;0;4;61;76;76;76.0;0.0;0;1511;10267;1329;679;650;0;6741;2813;0;624;3304;1519;1464;377.0;383.0;112.0;592.0;55;678;12593.0;12073.0;3.0;495.0;22.0;283857;13822;1552;12270;0;0;8788;8788.0;0.0;261247;13735;2194;0;2194;0;408;408.0;11133;20310;20310;316;19994;;3713;;;2352;7118;22948;13607;8497;7541.0;422.0;534.0;844;183;646919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6323;26;0;26;2621;2549;0;11;61;0;0;0;3676;2546;0;0;0;0;2221;763;0;0;1458;325;256;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;628329.0;;;;;;;;9721;0
29;Pension funds;2005 after break;646919;4148;3325;823;11344;8824;5302;3522;2520;958;1562;4;0;0;0;0;0;0;0;0.0;0.0;4;252636;19943;19937;6;13578;6076;79;7423;0;0;2672;2672;2536.0;0.0;136.0;216443;1711;59;0;59;0;65;0;4;61;76;76;76.0;0.0;0;1511;10267;1329;679;650;0;6741;2813;0;624;3304;1519;1464;377.0;383.0;112.0;592.0;55;678;12593.0;12073.0;3.0;495.0;22.0;220042;13822;1552;12270;0;0;8788;8788.0;0.0;197432;13735;2194;0;2194;0;408;408.0;11133;84125;20310;316;19994;63815.0;3713;;;2352;7118;22948;13607;8497;7541.0;422.0;534.0;844;183;646919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6323;26;0;26;2621;2549;0;11;61;0;0;0;3676;2546;0;0;0;0;2221;763;0;0;1458;325;256;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;628329.0;;;;;;;;9721;0
30;Pension funds;2006;721023;5089;4564;525;23769;20719;5463;15256;3050;1000;2050;1922;127;127;217;14;203;0;0;0.0;0.0;1578;275559;17665;17665;0;12822;5407;85;7330;0;0;2922;2922;2769.0;0.0;153.0;242150;8313;8;8;0;0;222;0;45;177;7;7;7.0;0.0;0;8076;8728;1199;600;599;0;5391;1991;0;605;2795;1343;1103;396.0;277.0;84.0;346.0;240;795;12503.0;12035.0;3.0;450.0;15.0;240627;13547;1539;12008;0;0;10079;10079.0;0.0;217001;19857;4338;0;4338;0;425;425.0;15094;87665;23003;395;22608;64662.0;2995;;;6135;7884;19795;9863;9023;8058.0;313.0;652.0;909;182;721023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30510;24;0;24;1532;1354;0;10;168;0;0;0;28954;1154;0;0;0;0;566;324;0;0;242;325;200;125;263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678601.0;;;;;;;;10758;0
31;Pension funds;2007;743370;5941;4302;1639;26830;25099;12099;13000;1731;1500;231;2741;29;29;113;19;94;13;13;13.0;0.0;2586;277610;16672;16672;0;13657;5105;0;8552;0;0;2082;2082;2081.0;0.0;1.0;245199;5050;8;8;0;0;2248;0;995;1253;25;25;25.0;0.0;0;2769;8851;963;564;399;0;4541;611;0;601;3329;686;220;68.0;54.0;34.0;64.0;466;2661;14659.0;14113.0;3.0;504.0;39.0;237183;9985;200;9785;0;0;8385;8385.0;0.0;218813;24033;3862;520;3331;11;615;615.0;19556;97995;18836;252;18584;79159.0;11237;;;-24;11480;19150;10878;7898;6796.0;874.0;228.0;374;634;743370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11649;20;0;20;3598;2530;0;9;1059;1;1;0;8030;1529;809;800;0;9;406;200;0;0;206;293;293;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;718741.0;;;;;;;;11451;0
32;Pension funds;2008 before revision;644833;9091;6808;2283;21464;18622;11058;7564;2842;2700;142;5319;0;0;195;104;91;5;5;5.0;0.0;5119;252327;9133;9133;0;14671;3853;0;10818;0;0;2313;2313;2312.0;0.0;1.0;226210;21279;8;8;0;0;3583;0;1940;1643;19;19;19.0;0.0;0;17669;7830;1098;824;274;0;2283;220;0;601;1462;608;259;59.0;75.0;25.0;100.0;349;3841;13187.0;12634.0;3.0;470.0;80.0;128048;2179;200;1979;0;0;4731;4731.0;0.0;121138;23243;2629;296;2323;10;2962;2962.0;17652;88260;15566;232;15334;72694.0;12644;;;35747;9413;16973;9741;7010;5951.0;869.0;190.0;222;8;644833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40215;20;0;20;3572;1985;0;0;1587;1;1;0;36622;1408;1109;1100;0;9;82;74;3;0;5;147;147;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595519.0;;;;;;;;7691;0
33;Pension funds;2008 after revision;729357;12216;6491;5725;14826;9837;8756;1081;4989;1208;3781;12963;19;19;180;0;180;0;0;;;12764;238082;10150;10150;0;11934;4352;0;7582;0;0;1311;1311;;;;214687;21678;301;301;0;0;235;14;209;12;36;36;;;0;21106;24162;1275;745;530;0;4657;1074;40;805;2738;14713;2314;;;;;12399;3517;;;;;;124775;1321;359;962;0;0;4625;;;118829;25533;4569;109;4186;274;2577;;18387;168767;95904;756;95148;72863.0;18545;14058.0;4487.0;36469;14982;16350;9534;6647;;;;169;9;729357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22580;0;0;0;4009;1184;133;2691;1;5;1;4;18566;1913;1100;1100;0;0;487;0;4;480;3;250;250;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;627731.0;;;618853.0;8878.0;;0.0;714.0;68841;7578
