ID;Sales;SBI08SectionsAndDivisions;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;WeightFactor_4
123;Total sales;B Mining and quarrying;2020 May;52.1;-4.8;-28.3;11409
124;Total sales;B Mining and quarrying;2020 June;51.0;-2.0;-24.5;11409
125;Total sales;B Mining and quarrying;2020 July;50.2;-1.6;-22.5;11409
126;Total sales;B Mining and quarrying;2020 August;50.8;1.1;-20.4;11409
127;Total sales;B Mining and quarrying;2020 September;56.4;11.0;-13.2;11409
128;Total sales;B Mining and quarrying;2020 October;58.6;4.0;-16.3;11409
129;Total sales;B Mining and quarrying;2020 November;62.5;6.5;-12.2;11409
130;Total sales;B Mining and quarrying;2020 December;63.0;0.9;-14.0;11409
131;Total sales;B Mining and quarrying;2020;58.2;;-19.2;11409
132;Total sales;B Mining and quarrying;2021 January;67.1;6.4;-7.6;11409
133;Total sales;B Mining and quarrying;2021 February;73.1;9.0;8.6;11409
134;Total sales;B Mining and quarrying;2021 March;70.7;-3.2;20.4;11409
135;Total sales;B Mining and quarrying;2021 April;70.8;0.0;29.4;11409
136;Total sales;B Mining and quarrying;2021 May;77.7;9.9;49.3;11409
137;Total sales;B Mining and quarrying;2021 June;85.2;9.6;66.9;11409
138;Total sales;B Mining and quarrying;2021 July;95.2;11.8;89.7;11409
139;Total sales;B Mining and quarrying;2021 August;106.2;11.5;109.1;11409
140;Total sales;B Mining and quarrying;2021 September;115.8;9.1;105.4;11409
141;Total sales;B Mining and quarrying;2021 October;135.6;17.1;131.2;11409
142;Total sales;B Mining and quarrying;2021 November;151.9;12.0;143.1;11409
143;Total sales;B Mining and quarrying;2021 December;150.7;-0.7;139.2;11409
144;Total sales;B Mining and quarrying;2021;100.0;;71.9;11409
145;Total sales;B Mining and quarrying;2022 January;173.5;15.1;158.6;11409
146;Total sales;B Mining and quarrying;2022 February;160.5;-7.5;119.6;11409
147;Total sales;B Mining and quarrying;2022 March;166.5;3.7;135.4;11409
148;Total sales;B Mining and quarrying;2022 April;;;;11409
149;Total sales;B Mining and quarrying;2022 May;184.9;;137.8;11409
150;Total sales;B Mining and quarrying;2022 June;185.9;0.5;118.2;11409
151;Total sales;B Mining and quarrying;2022 July;208.8;12.3;119.2;11409
152;Total sales;B Mining and quarrying;2022 August;276.7;32.5;160.6;11409
153;Total sales;B Mining and quarrying;2022 September;339.1;22.5;192.8;11409
154;Total sales;B Mining and quarrying;2022 October;337.7;-0.4;149.1;11409
155;Total sales;B Mining and quarrying;2022 November;309.7;-8.3;104.0;11409
156;Total sales;B Mining and quarrying;2022 December;266.7;-13.9;76.9;11409
157;Total sales;B Mining and quarrying;2022;;;;11409
158;Total sales;B Mining and quarrying;2023 January;249.9;-6.3;44.1;11409
159;Total sales;B Mining and quarrying;2023 February;250.4;0.2;56.0;11409
160;Total sales;B Mining and quarrying;2023 March;222.5;-11.1;33.6;11409
161;Total sales;B Mining and quarrying;2023 April;184.0;-17.3;;11409
162;Total sales;B Mining and quarrying;2023 May;167.0;-9.3;-9.7;11409
163;Total sales;B Mining and quarrying;2023 June;167.7;0.5;-9.8;11409
164;Total sales;B Mining and quarrying;2023 July;163.0;-2.8;-21.9;11409
165;Total sales;B Mining and quarrying;2023 August;160.4;-1.6;-42.0;11409
166;Total sales;B Mining and quarrying;2023 September;173.3;8.1;-48.9;11409
167;Total sales;B Mining and quarrying;2023 October;163.3;-5.8;-51.6;11409
168;Total sales;B Mining and quarrying;2023 November;179.5;9.9;-42.1;11409
169;Total sales;B Mining and quarrying;2023 December;185.4;3.3;-30.5;11409
170;Total sales;B Mining and quarrying;2023;188.9;;;11409
171;Total sales;B Mining and quarrying;2024 January;161.6;-12.8;-35.3;11409
172;Total sales;B Mining and quarrying;2024 February;141.1;-12.7;-43.6;11409
173;Total sales;B Mining and quarrying;2024 March;150.7;6.8;-32.2;11409
174;Total sales;B Mining and quarrying;2024 April;149.7;-0.7;-18.6;11409
175;Total sales;B Mining and quarrying;2024 May;150.8;0.7;-9.7;11409
176;Total sales;B Mining and quarrying;2024 June;161.2;6.9;-3.9;11409
177;Total sales;B Mining and quarrying;2024 July;171.0;6.1;4.9;11409
178;Total sales;B Mining and quarrying;2024 August;154.8;-9.5;-3.5;11409
179;Total sales;B Mining and quarrying;2024 September;163.8;5.8;-5.5;11409
180;Total sales;B Mining and quarrying;2024 October;151.6;-7.4;-7.1;11409
181;Total sales;B Mining and quarrying;2024 November;159.7;5.3;-11.0;11409
182;Total sales;B Mining and quarrying;2024 December;167.9;5.1;-9.4;11409
183;Total sales;B Mining and quarrying;2024;157.0;;-16.9;11409
184;Total sales;B Mining and quarrying;2025 January;170.0;1.3;5.2;11409
185;Total sales;B Mining and quarrying;2025 February;175.0;2.9;24.0;11409
186;Total sales;06 Extraction of crude petroleum and gas;2018 January;;;;7816
187;Total sales;06 Extraction of crude petroleum and gas;2018 February;;;;7816
188;Total sales;06 Extraction of crude petroleum and gas;2018 March;;;;7816
189;Total sales;06 Extraction of crude petroleum and gas;2018 April;;;;7816
190;Total sales;06 Extraction of crude petroleum and gas;2018 May;;;;7816
191;Total sales;06 Extraction of crude petroleum and gas;2018 June;;;;7816
192;Total sales;06 Extraction of crude petroleum and gas;2018 July;;;;7816
193;Total sales;06 Extraction of crude petroleum and gas;2018 August;;;;7816
194;Total sales;06 Extraction of crude petroleum and gas;2018 September;;;;7816
195;Total sales;06 Extraction of crude petroleum and gas;2018 October;;;;7816
196;Total sales;06 Extraction of crude petroleum and gas;2018 November;;;;7816
197;Total sales;06 Extraction of crude petroleum and gas;2018 December;;;;7816
198;Total sales;06 Extraction of crude petroleum and gas;2018;76.8;;;7816
199;Total sales;06 Extraction of crude petroleum and gas;2019 January;;;;7816
200;Total sales;06 Extraction of crude petroleum and gas;2019 February;;;;7816
201;Total sales;06 Extraction of crude petroleum and gas;2019 March;;;;7816
202;Total sales;06 Extraction of crude petroleum and gas;2019 April;;;;7816
203;Total sales;06 Extraction of crude petroleum and gas;2019 May;;;;7816
204;Total sales;06 Extraction of crude petroleum and gas;2019 June;;;;7816
205;Total sales;06 Extraction of crude petroleum and gas;2019 July;;;;7816
206;Total sales;06 Extraction of crude petroleum and gas;2019 August;;;;7816
207;Total sales;06 Extraction of crude petroleum and gas;2019 September;;;;7816
208;Total sales;06 Extraction of crude petroleum and gas;2019 October;;;;7816
209;Total sales;06 Extraction of crude petroleum and gas;2019 November;;;;7816
210;Total sales;06 Extraction of crude petroleum and gas;2019 December;;;;7816
211;Total sales;06 Extraction of crude petroleum and gas;2019;;;;7816
212;Total sales;06 Extraction of crude petroleum and gas;2020 January;;;;7816
213;Total sales;06 Extraction of crude petroleum and gas;2020 February;;;;7816
214;Total sales;06 Extraction of crude petroleum and gas;2020 March;;;;7816
215;Total sales;06 Extraction of crude petroleum and gas;2020 April;38.6;;;7816
216;Total sales;06 Extraction of crude petroleum and gas;2020 May;;;;7816
217;Total sales;06 Extraction of crude petroleum and gas;2020 June;;;;7816
218;Total sales;06 Extraction of crude petroleum and gas;2020 July;;;;7816
219;Total sales;06 Extraction of crude petroleum and gas;2020 August;;;;7816
220;Total sales;06 Extraction of crude petroleum and gas;2020 September;;;;7816
221;Total sales;06 Extraction of crude petroleum and gas;2020 October;;;;7816
222;Total sales;06 Extraction of crude petroleum and gas;2020 November;;;;7816
223;Total sales;06 Extraction of crude petroleum and gas;2020 December;;;;7816
224;Total sales;06 Extraction of crude petroleum and gas;2020;;;;7816
225;Total sales;06 Extraction of crude petroleum and gas;2021 January;;;;7816
226;Total sales;06 Extraction of crude petroleum and gas;2021 February;;;;7816
227;Total sales;06 Extraction of crude petroleum and gas;2021 March;;;;7816
228;Total sales;06 Extraction of crude petroleum and gas;2021 April;;;;7816
229;Total sales;06 Extraction of crude petroleum and gas;2021 May;;;;7816
230;Total sales;06 Extraction of crude petroleum and gas;2021 June;;;;7816
231;Total sales;06 Extraction of crude petroleum and gas;2021 July;;;;7816
232;Total sales;06 Extraction of crude petroleum and gas;2021 August;;;;7816
233;Total sales;06 Extraction of crude petroleum and gas;2021 September;;;;7816
234;Total sales;06 Extraction of crude petroleum and gas;2021 October;;;;7816
235;Total sales;06 Extraction of crude petroleum and gas;2021 November;;;;7816
236;Total sales;06 Extraction of crude petroleum and gas;2021 December;;;;7816
237;Total sales;06 Extraction of crude petroleum and gas;2021;100.0;;;7816
238;Total sales;06 Extraction of crude petroleum and gas;2022 January;;;;7816
239;Total sales;06 Extraction of crude petroleum and gas;2022 February;;;;7816
240;Total sales;06 Extraction of crude petroleum and gas;2022 March;;;;7816
241;Total sales;06 Extraction of crude petroleum and gas;2022 April;;;;7816
242;Total sales;06 Extraction of crude petroleum and gas;2022 May;;;;7816
243;Total sales;06 Extraction of crude petroleum and gas;2022 June;;;;7816
244;Total sales;06 Extraction of crude petroleum and gas;2022 July;;;;7816
245;Total sales;06 Extraction of crude petroleum and gas;2022 August;;;;7816
246;Total sales;06 Extraction of crude petroleum and gas;2022 September;;;;7816
247;Total sales;06 Extraction of crude petroleum and gas;2022 October;;;;7816
248;Total sales;06 Extraction of crude petroleum and gas;2022 November;;;;7816
249;Total sales;06 Extraction of crude petroleum and gas;2022 December;;;;7816
250;Total sales;06 Extraction of crude petroleum and gas;2022;;;;7816
251;Total sales;06 Extraction of crude petroleum and gas;2023 January;;;;7816
252;Total sales;06 Extraction of crude petroleum and gas;2023 February;;;;7816
253;Total sales;06 Extraction of crude petroleum and gas;2023 March;;;;7816
254;Total sales;06 Extraction of crude petroleum and gas;2023 April;;;;7816
255;Total sales;06 Extraction of crude petroleum and gas;2023 May;;;;7816
256;Total sales;06 Extraction of crude petroleum and gas;2023 June;;;;7816
257;Total sales;06 Extraction of crude petroleum and gas;2023 July;;;;7816
258;Total sales;06 Extraction of crude petroleum and gas;2023 August;;;;7816
259;Total sales;06 Extraction of crude petroleum and gas;2023 September;;;;7816
260;Total sales;06 Extraction of crude petroleum and gas;2023 October;;;;7816
261;Total sales;06 Extraction of crude petroleum and gas;2023 November;;;;7816
262;Total sales;06 Extraction of crude petroleum and gas;2023 December;;;;7816
263;Total sales;06 Extraction of crude petroleum and gas;2023;221.0;;;7816
264;Total sales;06 Extraction of crude petroleum and gas;2024 January;;;;7816
265;Total sales;06 Extraction of crude petroleum and gas;2024 February;;;;7816
266;Total sales;06 Extraction of crude petroleum and gas;2024 March;;;;7816
267;Total sales;06 Extraction of crude petroleum and gas;2024 April;160.9;;;7816
268;Total sales;06 Extraction of crude petroleum and gas;2024 May;163.0;1.3;;7816
269;Total sales;06 Extraction of crude petroleum and gas;2024 June;178.2;9.4;;7816
270;Total sales;06 Extraction of crude petroleum and gas;2024 July;192.2;7.8;;7816
271;Total sales;06 Extraction of crude petroleum and gas;2024 August;168.9;-12.1;;7816
272;Total sales;06 Extraction of crude petroleum and gas;2024 September;182.3;7.9;;7816
273;Total sales;06 Extraction of crude petroleum and gas;2024 October;164.3;-9.9;;7816
274;Total sales;06 Extraction of crude petroleum and gas;2024 November;175.8;7.0;;7816
275;Total sales;06 Extraction of crude petroleum and gas;2024 December;187.9;6.9;;7816
276;Total sales;06 Extraction of crude petroleum and gas;2024;172.0;;-22.2;7816
277;Total sales;06 Extraction of crude petroleum and gas;2025 January;190.3;1.3;;7816
278;Total sales;06 Extraction of crude petroleum and gas;2025 February;197.2;3.6;;7816
279;Total sales;061 Extraction of crude petroleum;2018 January;80.1;;;745
280;Total sales;061 Extraction of crude petroleum;2018 February;76.3;-4.8;;745
281;Total sales;061 Extraction of crude petroleum;2018 March;77.9;2.1;;745
282;Total sales;061 Extraction of crude petroleum;2018 April;80.7;3.5;;745
283;Total sales;061 Extraction of crude petroleum;2018 May;88.9;10.2;;745
284;Total sales;061 Extraction of crude petroleum;2018 June;90.3;1.6;;745
285;Total sales;061 Extraction of crude petroleum;2018 July;91.0;0.7;;745
286;Total sales;061 Extraction of crude petroleum;2018 August;91.0;0.1;;745
287;Total sales;061 Extraction of crude petroleum;2018 September;96.9;6.4;;745
288;Total sales;061 Extraction of crude petroleum;2018 October;101.4;4.7;;745
289;Total sales;061 Extraction of crude petroleum;2018 November;88.9;-12.4;;745
290;Total sales;061 Extraction of crude petroleum;2018 December;81.7;-8.0;;745
291;Total sales;061 Extraction of crude petroleum;2018;87.1;;;745
292;Total sales;061 Extraction of crude petroleum;2019 January;82.3;0.7;2.7;745
293;Total sales;061 Extraction of crude petroleum;2019 February;85.3;3.6;11.7;745
294;Total sales;061 Extraction of crude petroleum;2019 March;82.7;-3.0;6.2;745
295;Total sales;061 Extraction of crude petroleum;2019 April;83.1;0.4;3.0;745
296;Total sales;061 Extraction of crude petroleum;2019 May;82.5;-0.7;-7.2;745
297;Total sales;061 Extraction of crude petroleum;2019 June;73.3;-11.2;-18.8;745
298;Total sales;061 Extraction of crude petroleum;2019 July;71.6;-2.3;-21.3;745
299;Total sales;061 Extraction of crude petroleum;2019 August;67.6;-5.6;-25.7;745
300;Total sales;061 Extraction of crude petroleum;2019 September;70.4;4.1;-27.4;745
301;Total sales;061 Extraction of crude petroleum;2019 October;73.1;3.9;-27.9;745
302;Total sales;061 Extraction of crude petroleum;2019 November;78.6;7.5;-11.6;745
303;Total sales;061 Extraction of crude petroleum;2019 December;81.7;4.0;0.0;745
304;Total sales;061 Extraction of crude petroleum;2019;77.7;;-10.8;745
305;Total sales;061 Extraction of crude petroleum;2020 January;77.8;-4.8;-5.5;745
306;Total sales;061 Extraction of crude petroleum;2020 February;71.3;-8.3;-16.3;745
307;Total sales;061 Extraction of crude petroleum;2020 March;50.2;-29.6;-39.3;745
308;Total sales;061 Extraction of crude petroleum;2020 April;;;;745
309;Total sales;061 Extraction of crude petroleum;2020 May;37.8;;-54.2;745
310;Total sales;061 Extraction of crude petroleum;2020 June;45.0;19.0;-38.7;745
311;Total sales;061 Extraction of crude petroleum;2020 July;43.2;-3.9;-39.7;745
312;Total sales;061 Extraction of crude petroleum;2020 August;45.2;4.7;-33.1;745
313;Total sales;061 Extraction of crude petroleum;2020 September;51.4;13.6;-27.0;745
314;Total sales;061 Extraction of crude petroleum;2020 October;51.8;0.8;-29.1;745
315;Total sales;061 Extraction of crude petroleum;2020 November;55.8;7.6;-29.0;745
316;Total sales;061 Extraction of crude petroleum;2020 December;59.1;6.1;-27.6;745
317;Total sales;061 Extraction of crude petroleum;2020;;;;745
318;Total sales;061 Extraction of crude petroleum;2021 January;64.9;9.8;-16.5;745
319;Total sales;061 Extraction of crude petroleum;2021 February;72.1;11.1;1.1;745
320;Total sales;061 Extraction of crude petroleum;2021 March;73.8;2.4;47.0;745
321;Total sales;061 Extraction of crude petroleum;2021 April;73.9;0.0;;745
322;Total sales;061 Extraction of crude petroleum;2021 May;83.0;12.3;119.5;745
323;Total sales;061 Extraction of crude petroleum;2021 June;91.6;10.3;103.6;745
324;Total sales;061 Extraction of crude petroleum;2021 July;102.4;11.8;137.1;745
325;Total sales;061 Extraction of crude petroleum;2021 August;106.8;4.3;136.1;745
326;Total sales;061 Extraction of crude petroleum;2021 September;113.6;6.4;121.1;745
327;Total sales;061 Extraction of crude petroleum;2021 October;136.9;20.5;164.2;745
328;Total sales;061 Extraction of crude petroleum;2021 November;142.3;3.9;155.1;745
329;Total sales;061 Extraction of crude petroleum;2021 December;138.8;-2.4;134.7;745
330;Total sales;061 Extraction of crude petroleum;2021;100.0;;;745
331;Total sales;061 Extraction of crude petroleum;2022 January;153.7;10.7;136.6;745
332;Total sales;061 Extraction of crude petroleum;2022 February;153.5;-0.1;112.7;745
333;Total sales;061 Extraction of crude petroleum;2022 March;185.9;21.1;151.7;745
334;Total sales;061 Extraction of crude petroleum;2022 April;;;;745
335;Total sales;061 Extraction of crude petroleum;2022 May;191.9;;131.3;745
336;Total sales;061 Extraction of crude petroleum;2022 June;207.8;8.3;127.0;745
337;Total sales;061 Extraction of crude petroleum;2022 July;224.9;8.2;119.7;745
338;Total sales;061 Extraction of crude petroleum;2022 August;265.3;18.0;148.5;745
339;Total sales;061 Extraction of crude petroleum;2022 September;270.8;2.0;138.3;745
340;Total sales;061 Extraction of crude petroleum;2022 October;228.6;-15.6;67.0;745
341;Total sales;061 Extraction of crude petroleum;2022 November;233.1;2.0;63.8;745
342;Total sales;061 Extraction of crude petroleum;2022 December;215.1;-7.7;55.0;745
343;Total sales;061 Extraction of crude petroleum;2022;;;;745
344;Total sales;061 Extraction of crude petroleum;2023 January;229.9;6.9;49.6;745
345;Total sales;061 Extraction of crude petroleum;2023 February;226.8;-1.3;47.8;745
346;Total sales;061 Extraction of crude petroleum;2023 March;199.8;-11.9;7.5;745
347;Total sales;061 Extraction of crude petroleum;2023 April;155.8;-22.0;;745
348;Total sales;061 Extraction of crude petroleum;2023 May;135.7;-12.9;-29.3;745
349;Total sales;061 Extraction of crude petroleum;2023 June;129.1;-4.9;-37.9;745
350;Total sales;061 Extraction of crude petroleum;2023 July;125.3;-2.9;-44.3;745
351;Total sales;061 Extraction of crude petroleum;2023 August;130.8;4.4;-50.7;745
352;Total sales;061 Extraction of crude petroleum;2023 September;141.6;8.3;-47.7;745
353;Total sales;061 Extraction of crude petroleum;2023 October;150.9;6.6;-34.0;745
354;Total sales;061 Extraction of crude petroleum;2023 November;155.7;3.2;-33.2;745
355;Total sales;061 Extraction of crude petroleum;2023 December;151.4;-2.8;-29.6;745
356;Total sales;061 Extraction of crude petroleum;2023;161.1;;;745
357;Total sales;061 Extraction of crude petroleum;2024 January;136.7;-9.7;-40.6;745
358;Total sales;061 Extraction of crude petroleum;2024 February;129.7;-5.1;-42.8;745
359;Total sales;061 Extraction of crude petroleum;2024 March;130.6;0.7;-34.6;745
360;Total sales;061 Extraction of crude petroleum;2024 April;133.8;2.4;-14.1;745
361;Total sales;061 Extraction of crude petroleum;2024 May;135.1;1.0;-0.5;745
