ID;LeeftijdOp31December;RegioS;Perioden;MannenEnVrouwen_1;Mannen_2;Vrouwen_3;MannenEnVrouwen_4;Mannen_5;Vrouwen_6;MannenEnVrouwen_7;Mannen_8;Vrouwen_9;MannenEnVrouwen_10;Mannen_11;Vrouwen_12;MannenEnVrouwen_13;Mannen_14;Vrouwen_15
50;Totaal;Oost-Nederland (LD);2001;3367258.0;1671547.5;1695710.5;1495984.5;802155.5;693829.0;1536592.5;768534.0;768058.5;181897.5;34104.0;147793.5;152783.5;66754.0;86029.5
51;Totaal;Oost-Nederland (LD);2002;3398882.5;1687843.0;1711039.5;1518874.0;814264.5;704609.5;1538645.0;769620.5;769024.5;182401.0;34551.5;147849.5;158962.5;69406.5;89556.0
52;Totaal;Oost-Nederland (LD);2003;3422562.0;1699543.0;1723019.0;1537250.0;823573.5;713676.5;1538616.0;769600.0;769016.0;182633.0;34904.0;147729.0;164063.0;71465.5;92597.5
53;Totaal;Oost-Nederland (LD);2004;3439823.0;1707383.5;1732439.5;1552342.0;830543.0;721799.0;1535871.0;768199.5;767671.5;182817.0;35279.5;147537.5;168793.0;73361.5;95431.5
54;Totaal;Oost-Nederland (LD);2005;3453595.0;1713373.5;1740221.5;1565401.0;836389.5;729011.5;1531662.5;766050.5;765612.0;183104.5;35693.0;147411.5;173427.0;75240.5;98186.5
55;Totaal;Oost-Nederland (LD);2006;3464873.0;1718602.0;1746271.0;1576552.5;841708.0;734844.5;1527221.5;763770.5;763451.0;183046.0;35981.0;147065.0;178053.0;77142.5;100910.5
56;Totaal;Oost-Nederland (LD);2007;3476204.0;1724129.5;1752074.5;1586969.5;846825.0;740144.5;1523482.5;761820.5;761662.0;182897.0;36276.5;146620.5;182855.0;79207.5;103647.5
57;Totaal;Oost-Nederland (LD);2008;3491248.5;1732118.5;1759130.0;1599111.5;853225.5;745886.0;1521477.5;760790.0;760687.5;182761.5;36671.5;146090.0;187898.0;81431.5;106466.5
58;Totaal;Oost-Nederland (LD);2009;3508554.0;1741518.0;1767036.0;1606514.5;857540.0;748974.5;1520384.5;760335.5;760049.0;182816.0;37145.5;145670.5;198839.0;86497.0;112342.0
59;Totaal;Oost-Nederland (LD);2010;3524132.5;1749207.0;1774925.5;1612653.5;860477.5;752176.0;1518961.0;759629.5;759331.5;183000.0;37712.0;145288.0;209518.0;91388.0;118130.0
60;Totaal;Oost-Nederland (LD);2011;3537520.5;1755782.5;1781738.0;1622960.5;865300.0;757660.5;1516986.5;758573.5;758413.0;183012.0;38365.5;144646.5;214561.5;93543.5;121018.0
61;Totaal;Oost-Nederland (LD);2012;3548760.0;1761699.5;1787060.5;1631927.0;869743.5;762183.5;1513605.0;756878.0;756727.0;183118.5;39040.5;144078.0;220109.5;96037.5;124072.0
62;Totaal;Oost-Nederland (LD);2013;3556432.0;1766099.0;1790333.0;1639760.5;873998.5;765762.0;1507162.0;753619.5;753542.5;183200.5;39632.5;143568.0;226309.0;98848.5;127460.5
63;Totaal;Oost-Nederland (LD);2014;3564151.5;1770889.5;1793262.0;1648315.5;879030.5;769285.0;1499453.5;749692.0;749761.5;183228.0;40204.5;143023.5;233154.5;101962.5;131192.0
64;Totaal;Oost-Nederland (LD);2015;3576360.0;1778105.0;1798255.0;1659586.5;885364.5;774222.0;1494016.5;746969.5;747047.0;183258.0;40925.5;142332.5;239499.0;104845.5;134653.5
