ID;CharacteristicOfExporter;Periods;ExportGrowth_1;ContributionToTotalExportGrowth_2
140;13 Manufacture of textiles;2020;-45671.0;0.0
141;13 Manufacture of textiles;2021;238051.0;0.0
142;13 Manufacture of textiles;2022;;
143;14 Manufacture of wearing apparel;2012;-31558.0;0.0
144;14 Manufacture of wearing apparel;2013;24033.0;0.0
145;14 Manufacture of wearing apparel;2014;-6134.0;0.0
146;14 Manufacture of wearing apparel;2015;;
147;14 Manufacture of wearing apparel;2016;-17480.0;0.0
148;14 Manufacture of wearing apparel;2017;38065.0;0.0
149;14 Manufacture of wearing apparel;2018;-22063.0;0.0
150;14 Manufacture of wearing apparel;2019;-258.0;0.0
151;14 Manufacture of wearing apparel;2020;-20711.0;0.0
152;14 Manufacture of wearing apparel;2021;934.0;0.0
153;14 Manufacture of wearing apparel;2022;;
154;15 Manufacture of leather and footwear;2012;28176.0;0.0
155;15 Manufacture of leather and footwear;2013;28682.0;0.0
156;15 Manufacture of leather and footwear;2014;-43770.0;0.0
157;15 Manufacture of leather and footwear;2015;;
158;15 Manufacture of leather and footwear;2016;-9647.0;0.0
159;15 Manufacture of leather and footwear;2017;14399.0;0.0
160;15 Manufacture of leather and footwear;2018;7459.0;0.0
161;15 Manufacture of leather and footwear;2019;9257.0;0.0
162;15 Manufacture of leather and footwear;2020;-36591.0;0.0
163;15 Manufacture of leather and footwear;2021;46407.0;0.0
164;15 Manufacture of leather and footwear;2022;;
165;16 Manufacture of wood products;2012;7732.0;0.0
166;16 Manufacture of wood products;2013;32590.0;0.0
167;16 Manufacture of wood products;2014;38690.0;0.0
168;16 Manufacture of wood products;2015;;
169;16 Manufacture of wood products;2016;-8113.0;0.0
170;16 Manufacture of wood products;2017;43261.0;0.0
171;16 Manufacture of wood products;2018;16693.0;0.0
172;16 Manufacture of wood products;2019;27532.0;0.0
173;16 Manufacture of wood products;2020;-34900.0;0.0
174;16 Manufacture of wood products;2021;78132.0;0.0
175;16 Manufacture of wood products;2022;;
176;17 Manufacture of paper;2012;-589804.0;-0.1
177;17 Manufacture of paper;2013;485183.0;0.1
178;17 Manufacture of paper;2014;106304.0;0.0
179;17 Manufacture of paper;2015;;
180;17 Manufacture of paper;2016;-350739.0;-0.1
181;17 Manufacture of paper;2017;205051.0;0.0
182;17 Manufacture of paper;2018;-32529.0;0.0
183;17 Manufacture of paper;2019;-27402.0;0.0
184;17 Manufacture of paper;2020;-199748.0;0.0
185;17 Manufacture of paper;2021;479429.0;0.1
186;17 Manufacture of paper;2022;;
187;18 Printing and reproduction;2012;22064.0;0.0
188;18 Printing and reproduction;2013;10067.0;0.0
189;18 Printing and reproduction;2014;41103.0;0.0
190;18 Printing and reproduction;2015;;
191;18 Printing and reproduction;2016;-41212.0;0.0
192;18 Printing and reproduction;2017;-94244.0;0.0
193;18 Printing and reproduction;2018;-127565.0;0.0
194;18 Printing and reproduction;2019;-107187.0;0.0
195;18 Printing and reproduction;2020;-125805.0;0.0
196;18 Printing and reproduction;2021;105029.0;0.0
197;18 Printing and reproduction;2022;;
198;19 Manufacture of coke and petroleum;2012;5176887.0;1.3
199;19 Manufacture of coke and petroleum;2013;3281364.0;0.8
200;19 Manufacture of coke and petroleum;2014;-81580.0;0.0
201;19 Manufacture of coke and petroleum;2015;;
202;19 Manufacture of coke and petroleum;2016;-2910296.0;-0.7
203;19 Manufacture of coke and petroleum;2017;1688972.0;0.4
204;19 Manufacture of coke and petroleum;2018;1756950.0;0.4
205;19 Manufacture of coke and petroleum;2019;1618967.0;0.3
206;19 Manufacture of coke and petroleum;2020;-4707029.0;-0.9
207;19 Manufacture of coke and petroleum;2021;4091336.0;0.8
208;19 Manufacture of coke and petroleum;2022;;
209;20 Manufacture of chemicals;2012;1350919.0;0.3
210;20 Manufacture of chemicals;2013;-1230511.0;-0.3
211;20 Manufacture of chemicals;2014;-985175.0;-0.2
212;20 Manufacture of chemicals;2015;;
213;20 Manufacture of chemicals;2016;-1199384.0;-0.3
214;20 Manufacture of chemicals;2017;2550695.0;0.6
215;20 Manufacture of chemicals;2018;1054827.0;0.2
216;20 Manufacture of chemicals;2019;-864011.0;-0.2
217;20 Manufacture of chemicals;2020;-2834138.0;-0.6
218;20 Manufacture of chemicals;2021;7250327.0;1.5
219;20 Manufacture of chemicals;2022;;
220;21 Manufacture of pharmaceuticals;2012;-527555.0;-0.1
221;21 Manufacture of pharmaceuticals;2013;-1141064.0;-0.3
222;21 Manufacture of pharmaceuticals;2014;620786.0;0.1
223;21 Manufacture of pharmaceuticals;2015;;
224;21 Manufacture of pharmaceuticals;2016;-527449.0;-0.1
225;21 Manufacture of pharmaceuticals;2017;90129.0;0.0
226;21 Manufacture of pharmaceuticals;2018;-458578.0;-0.1
227;21 Manufacture of pharmaceuticals;2019;1213811.0;0.2
228;21 Manufacture of pharmaceuticals;2020;727837.0;0.1
229;21 Manufacture of pharmaceuticals;2021;1209205.0;0.3
230;21 Manufacture of pharmaceuticals;2022;;
231;22 Manufacture rubber, plastic products;2012;208440.0;0.1
232;22 Manufacture rubber, plastic products;2013;563677.0;0.1
233;22 Manufacture rubber, plastic products;2014;-479198.0;-0.1
234;22 Manufacture rubber, plastic products;2015;;
235;22 Manufacture rubber, plastic products;2016;141873.0;0.0
236;22 Manufacture rubber, plastic products;2017;359121.0;0.1
237;22 Manufacture rubber, plastic products;2018;166566.0;0.0
238;22 Manufacture rubber, plastic products;2019;-269147.0;-0.1
239;22 Manufacture rubber, plastic products;2020;-349933.0;-0.1
240;22 Manufacture rubber, plastic products;2021;789584.0;0.2
241;22 Manufacture rubber, plastic products;2022;;
242;23 Manufacture of building materials;2012;5767.0;0.0
243;23 Manufacture of building materials;2013;-16896.0;0.0
244;23 Manufacture of building materials;2014;24479.0;0.0
245;23 Manufacture of building materials;2015;;
246;23 Manufacture of building materials;2016;11103.0;0.0
247;23 Manufacture of building materials;2017;114338.0;0.0
248;23 Manufacture of building materials;2018;82584.0;0.0
249;23 Manufacture of building materials;2019;-57805.0;0.0
250;23 Manufacture of building materials;2020;-88101.0;0.0
251;23 Manufacture of building materials;2021;204674.0;0.0
252;23 Manufacture of building materials;2022;;
253;24 Manufacture of basic metals;2012;-308587.0;-0.1
254;24 Manufacture of basic metals;2013;-519129.0;-0.1
255;24 Manufacture of basic metals;2014;624956.0;0.1
256;24 Manufacture of basic metals;2015;;
257;24 Manufacture of basic metals;2016;-276176.0;-0.1
258;24 Manufacture of basic metals;2017;1067471.0;0.3
259;24 Manufacture of basic metals;2018;265668.0;0.1
260;24 Manufacture of basic metals;2019;-637610.0;-0.1
261;24 Manufacture of basic metals;2020;-1131049.0;-0.2
262;24 Manufacture of basic metals;2021;2208090.0;0.5
263;24 Manufacture of basic metals;2022;;
264;25 Manufacture of metal products;2012;-476215.0;-0.1
265;25 Manufacture of metal products;2013;426049.0;0.1
266;25 Manufacture of metal products;2014;-339344.0;-0.1
267;25 Manufacture of metal products;2015;;
268;25 Manufacture of metal products;2016;1133959.0;0.3
269;25 Manufacture of metal products;2017;-866673.0;-0.2
270;25 Manufacture of metal products;2018;13377.0;0.0
271;25 Manufacture of metal products;2019;-466273.0;-0.1
272;25 Manufacture of metal products;2020;-543951.0;-0.1
273;25 Manufacture of metal products;2021;1635246.0;0.3
274;25 Manufacture of metal products;2022;;
275;26 Manufacture of electronic products;2012;-639855.0;-0.2
276;26 Manufacture of electronic products;2013;-629743.0;-0.1
277;26 Manufacture of electronic products;2014;523964.0;0.1
278;26 Manufacture of electronic products;2015;;
279;26 Manufacture of electronic products;2016;-15056.0;0.0
280;26 Manufacture of electronic products;2017;304440.0;0.1
281;26 Manufacture of electronic products;2018;345461.0;0.1
282;26 Manufacture of electronic products;2019;-18758.0;0.0
283;26 Manufacture of electronic products;2020;-347715.0;-0.1
284;26 Manufacture of electronic products;2021;928082.0;0.2
285;26 Manufacture of electronic products;2022;;
286;27 Manufacture of electric equipment;2012;-4291.0;0.0
287;27 Manufacture of electric equipment;2013;170945.0;0.0
288;27 Manufacture of electric equipment;2014;137311.0;0.0
289;27 Manufacture of electric equipment;2015;;
290;27 Manufacture of electric equipment;2016;-85171.0;0.0
291;27 Manufacture of electric equipment;2017;17960.0;0.0
292;27 Manufacture of electric equipment;2018;-42427.0;0.0
293;27 Manufacture of electric equipment;2019;336406.0;0.1
294;27 Manufacture of electric equipment;2020;140049.0;0.0
295;27 Manufacture of electric equipment;2021;339088.0;0.1
296;27 Manufacture of electric equipment;2022;;
297;28 Manufacture of machinery n.e.c.;2012;-2039241.0;-0.5
298;28 Manufacture of machinery n.e.c.;2013;510563.0;0.1
299;28 Manufacture of machinery n.e.c.;2014;1196683.0;0.3
300;28 Manufacture of machinery n.e.c.;2015;;
301;28 Manufacture of machinery n.e.c.;2016;172821.0;0.0
302;28 Manufacture of machinery n.e.c.;2017;2811696.0;0.7
303;28 Manufacture of machinery n.e.c.;2018;4010841.0;0.9
304;28 Manufacture of machinery n.e.c.;2019;1658717.0;0.3
305;28 Manufacture of machinery n.e.c.;2020;-939689.0;-0.2
306;28 Manufacture of machinery n.e.c.;2021;4896041.0;1.0
307;28 Manufacture of machinery n.e.c.;2022;;
308;29 Manufacture of cars and trailers;2012;-313251.0;-0.1
309;29 Manufacture of cars and trailers;2013;218301.0;0.1
310;29 Manufacture of cars and trailers;2014;-162088.0;0.0
311;29 Manufacture of cars and trailers;2015;;
312;29 Manufacture of cars and trailers;2016;1015830.0;0.2
313;29 Manufacture of cars and trailers;2017;526952.0;0.1
314;29 Manufacture of cars and trailers;2018;189680.0;0.0
315;29 Manufacture of cars and trailers;2019;-352496.0;-0.1
316;29 Manufacture of cars and trailers;2020;-1375084.0;-0.3
317;29 Manufacture of cars and trailers;2021;162947.0;0.0
318;29 Manufacture of cars and trailers;2022;;
319;30 Manufacture of other transport;2012;547346.0;0.1
320;30 Manufacture of other transport;2013;-529582.0;-0.1
321;30 Manufacture of other transport;2014;46263.0;0.0
322;30 Manufacture of other transport;2015;;
323;30 Manufacture of other transport;2016;288387.0;0.1
324;30 Manufacture of other transport;2017;-788608.0;-0.2
325;30 Manufacture of other transport;2018;355898.0;0.1
326;30 Manufacture of other transport;2019;569264.0;0.1
327;30 Manufacture of other transport;2020;5000.0;0.0
328;30 Manufacture of other transport;2021;937782.0;0.2
329;30 Manufacture of other transport;2022;;
330;31 Manufacture of furniture;2012;69615.0;0.0
331;31 Manufacture of furniture;2013;10580.0;0.0
332;31 Manufacture of furniture;2014;49904.0;0.0
333;31 Manufacture of furniture;2015;;
334;31 Manufacture of furniture;2016;8274.0;0.0
335;31 Manufacture of furniture;2017;21931.0;0.0
336;31 Manufacture of furniture;2018;-64969.0;0.0
337;31 Manufacture of furniture;2019;-74654.0;0.0
338;31 Manufacture of furniture;2020;1290.0;0.0
339;31 Manufacture of furniture;2021;81840.0;0.0
340;31 Manufacture of furniture;2022;;
341;32 Manufacture of other products;2012;37724.0;0.0
342;32 Manufacture of other products;2013;57638.0;0.0
343;32 Manufacture of other products;2014;51361.0;0.0
344;32 Manufacture of other products;2015;;
345;32 Manufacture of other products;2016;-89368.0;0.0
346;32 Manufacture of other products;2017;115925.0;0.0
347;32 Manufacture of other products;2018;-57366.0;0.0
348;32 Manufacture of other products;2019;-41550.0;0.0
349;32 Manufacture of other products;2020;-76068.0;0.0
350;32 Manufacture of other products;2021;254566.0;0.1
351;32 Manufacture of other products;2022;;
352;33 Repair and installation of machinery;2012;-39160.0;0.0
353;33 Repair and installation of machinery;2013;136036.0;0.0
354;33 Repair and installation of machinery;2014;162790.0;0.0
355;33 Repair and installation of machinery;2015;;
356;33 Repair and installation of machinery;2016;175416.0;0.0
357;33 Repair and installation of machinery;2017;601127.0;0.1
358;33 Repair and installation of machinery;2018;627523.0;0.1
359;33 Repair and installation of machinery;2019;1862208.0;0.4
360;33 Repair and installation of machinery;2020;-524044.0;-0.1
361;33 Repair and installation of machinery;2021;-155007.0;0.0
362;33 Repair and installation of machinery;2022;;
363;D Energy supply;2012;2353053.0;0.6
364;D Energy supply;2013;358601.0;0.1
365;D Energy supply;2014;-3558054.0;-0.8
366;D Energy supply;2015;;
367;D Energy supply;2016;-1868439.0;-0.4
368;D Energy supply;2017;1490723.0;0.4
369;D Energy supply;2018;1208747.0;0.3
370;D Energy supply;2019;-2376539.0;-0.5
371;D Energy supply;2020;-2707583.0;-0.5
372;D Energy supply;2021;8839703.0;1.8
373;D Energy supply;2022;;
374;35 Energy supply;2012;2353053.0;0.6
375;35 Energy supply;2013;358601.0;0.1
376;35 Energy supply;2014;-3558054.0;-0.8
377;35 Energy supply;2015;;
378;35 Energy supply;2016;-1868439.0;-0.4
379;35 Energy supply;2017;1490723.0;0.4
380;35 Energy supply;2018;1208747.0;0.3
381;35 Energy supply;2019;-2376539.0;-0.5
382;35 Energy supply;2020;-2707583.0;-0.5
383;35 Energy supply;2021;8839703.0;1.8
384;35 Energy supply;2022;;
385;E Water supply and waste management;2012;197736.0;0.0
386;E Water supply and waste management;2013;-21103.0;0.0
387;E Water supply and waste management;2014;-30830.0;0.0
388;E Water supply and waste management;2015;;
389;E Water supply and waste management;2016;-116846.0;0.0
390;E Water supply and waste management;2017;195975.0;0.0
391;E Water supply and waste management;2018;165410.0;0.0
392;E Water supply and waste management;2019;-239565.0;0.0
393;E Water supply and waste management;2020;-42995.0;0.0
394;E Water supply and waste management;2021;478815.0;0.1
395;E Water supply and waste management;2022;;
396;36 Water collection and distribution;2012;6034.0;0.0
397;36 Water collection and distribution;2013;-7373.0;0.0
398;36 Water collection and distribution;2014;-1215.0;0.0
399;36 Water collection and distribution;2015;;
400;36 Water collection and distribution;2016;293.0;0.0
401;36 Water collection and distribution;2017;242.0;0.0
402;36 Water collection and distribution;2018;1352.0;0.0
403;36 Water collection and distribution;2019;-860.0;0.0
404;36 Water collection and distribution;2020;-570.0;0.0
405;36 Water collection and distribution;2021;1369.0;0.0
406;36 Water collection and distribution;2022;;
407;37 Sewerage;2012;-923.0;0.0
408;37 Sewerage;2013;5304.0;0.0
409;37 Sewerage;2014;530.0;0.0
410;37 Sewerage;2015;;
411;37 Sewerage;2016;3388.0;0.0
412;37 Sewerage;2017;-2564.0;0.0
413;37 Sewerage;2018;694.0;0.0
414;37 Sewerage;2019;2959.0;0.0
415;37 Sewerage;2020;1214.0;0.0
416;37 Sewerage;2021;2514.0;0.0
417;37 Sewerage;2022;;
418;38 Waste collection and treatment;2012;191951.0;0.0
419;38 Waste collection and treatment;2013;-18678.0;0.0
420;38 Waste collection and treatment;2014;-34548.0;0.0
421;38 Waste collection and treatment;2015;;
422;38 Waste collection and treatment;2016;-120456.0;0.0
423;38 Waste collection and treatment;2017;202716.0;0.0
424;38 Waste collection and treatment;2018;156006.0;0.0
425;38 Waste collection and treatment;2019;-239840.0;0.0
426;38 Waste collection and treatment;2020;-42083.0;0.0
427;38 Waste collection and treatment;2021;475183.0;0.1
428;38 Waste collection and treatment;2022;;
429;39 Remediation, other waste management;2012;675.0;0.0
430;39 Remediation, other waste management;2013;-357.0;0.0
431;39 Remediation, other waste management;2014;4403.0;0.0
432;39 Remediation, other waste management;2015;;
433;39 Remediation, other waste management;2016;-71.0;0.0
434;39 Remediation, other waste management;2017;-4419.0;0.0
435;39 Remediation, other waste management;2018;7357.0;0.0
436;39 Remediation, other waste management;2019;-1823.0;0.0
437;39 Remediation, other waste management;2020;-1556.0;0.0
438;39 Remediation, other waste management;2021;-251.0;0.0
439;39 Remediation, other waste management;2022;;
440;F Construction;2012;128100.0;0.0
441;F Construction;2013;55072.0;0.0
442;F Construction;2014;-68434.0;0.0
443;F Construction;2015;;
444;F Construction;2016;103289.0;0.0
445;F Construction;2017;231868.0;0.1
446;F Construction;2018;-122953.0;0.0
447;F Construction;2019;85434.0;0.0
448;F Construction;2020;23586.0;0.0
449;F Construction;2021;133224.0;0.0
450;F Construction;2022;;
451;41 Construction buildings, development;2012;22853.0;0.0
452;41 Construction buildings, development;2013;39742.0;0.0
453;41 Construction buildings, development;2014;16214.0;0.0
454;41 Construction buildings, development;2015;;
455;41 Construction buildings, development;2016;81122.0;0.0
456;41 Construction buildings, development;2017;61974.0;0.0
457;41 Construction buildings, development;2018;-8941.0;0.0
458;41 Construction buildings, development;2019;15850.0;0.0
459;41 Construction buildings, development;2020;-53733.0;0.0
460;41 Construction buildings, development;2021;28387.0;0.0
461;41 Construction buildings, development;2022;;
462;42 Civil engineering;2012;49139.0;0.0
463;42 Civil engineering;2013;-30504.0;0.0
464;42 Civil engineering;2014;-4453.0;0.0
465;42 Civil engineering;2015;;
466;42 Civil engineering;2016;-18410.0;0.0
467;42 Civil engineering;2017;176438.0;0.0
468;42 Civil engineering;2018;-54564.0;0.0
469;42 Civil engineering;2019;12989.0;0.0
470;42 Civil engineering;2020;133765.0;0.0
471;42 Civil engineering;2021;-118449.0;0.0
472;42 Civil engineering;2022;;
473;43 Specialised construction activities;2012;56108.0;0.0
474;43 Specialised construction activities;2013;45833.0;0.0
475;43 Specialised construction activities;2014;-80194.0;0.0
476;43 Specialised construction activities;2015;;
477;43 Specialised construction activities;2016;40577.0;0.0
478;43 Specialised construction activities;2017;-6544.0;0.0
479;43 Specialised construction activities;2018;-59448.0;0.0
480;43 Specialised construction activities;2019;56595.0;0.0
481;43 Specialised construction activities;2020;-56447.0;0.0
482;43 Specialised construction activities;2021;223286.0;0.0
483;43 Specialised construction activities;2022;;
484;G Wholesale and retail trade;2012;1529538.0;0.4
485;G Wholesale and retail trade;2013;-1228604.0;-0.3
486;G Wholesale and retail trade;2014;5731436.0;1.3
487;G Wholesale and retail trade;2015;;
488;G Wholesale and retail trade;2016;7112934.0;1.7
489;G Wholesale and retail trade;2017;10943449.0;2.6
490;G Wholesale and retail trade;2018;3675652.0;0.8
491;G Wholesale and retail trade;2019;427503.0;0.1
492;G Wholesale and retail trade;2020;-1775870.0;-0.3
493;G Wholesale and retail trade;2021;33919120.0;7.0
494;G Wholesale and retail trade;2022;;
495;45 Sale and repair of motor vehicles;2012;-167129.0;0.0
496;45 Sale and repair of motor vehicles;2013;105553.0;0.0
497;45 Sale and repair of motor vehicles;2014;168547.0;0.0
498;45 Sale and repair of motor vehicles;2015;;
499;45 Sale and repair of motor vehicles;2016;70036.0;0.0
500;45 Sale and repair of motor vehicles;2017;472409.0;0.1
501;45 Sale and repair of motor vehicles;2018;84339.0;0.0
502;45 Sale and repair of motor vehicles;2019;205350.0;0.0
503;45 Sale and repair of motor vehicles;2020;-391850.0;-0.1
504;45 Sale and repair of motor vehicles;2021;1776827.0;0.4
505;45 Sale and repair of motor vehicles;2022;;
506;46 Wholesale trade (no motor vehicles);2012;1562320.0;0.4
507;46 Wholesale trade (no motor vehicles);2013;-1456346.0;-0.3
508;46 Wholesale trade (no motor vehicles);2014;5744537.0;1.3
509;46 Wholesale trade (no motor vehicles);2015;;
510;46 Wholesale trade (no motor vehicles);2016;6783909.0;1.6
511;46 Wholesale trade (no motor vehicles);2017;8771918.0;2.1
512;46 Wholesale trade (no motor vehicles);2018;2384799.0;0.5
513;46 Wholesale trade (no motor vehicles);2019;-329369.0;-0.1
514;46 Wholesale trade (no motor vehicles);2020;-1630212.0;-0.3
515;46 Wholesale trade (no motor vehicles);2021;27835979.0;5.8
516;46 Wholesale trade (no motor vehicles);2022;;
517;47 Retail trade (not in motor vehicles);2012;134347.0;0.0
518;47 Retail trade (not in motor vehicles);2013;122190.0;0.0
519;47 Retail trade (not in motor vehicles);2014;-181648.0;0.0
520;47 Retail trade (not in motor vehicles);2015;;
521;47 Retail trade (not in motor vehicles);2016;258989.0;0.1
522;47 Retail trade (not in motor vehicles);2017;1699122.0;0.4
523;47 Retail trade (not in motor vehicles);2018;1206515.0;0.3
524;47 Retail trade (not in motor vehicles);2019;551523.0;0.1
525;47 Retail trade (not in motor vehicles);2020;246192.0;0.0
526;47 Retail trade (not in motor vehicles);2021;4306313.0;0.9
527;47 Retail trade (not in motor vehicles);2022;;
528;H Transportation and storage;2012;2958809.0;0.7
529;H Transportation and storage;2013;1518421.0;0.4
530;H Transportation and storage;2014;-2206843.0;-0.5
531;H Transportation and storage;2015;;
532;H Transportation and storage;2016;729328.0;0.2
533;H Transportation and storage;2017;-1176240.0;-0.3
534;H Transportation and storage;2018;-490616.0;-0.1
535;H Transportation and storage;2019;2174377.0;0.4
536;H Transportation and storage;2020;607066.0;0.1
537;H Transportation and storage;2021;12711213.0;2.6
538;H Transportation and storage;2022;;
539;49 Land transport;2012;99889.0;0.0
540;49 Land transport;2013;-79699.0;0.0
541;49 Land transport;2014;39619.0;0.0
542;49 Land transport;2015;;
