ID;Perioden;Indexcijfers_1;Mutaties_2;Indexcijfers_3;Mutaties_4;Indexcijfers_5;Mutaties_6
99;1995 december;95.6;-0.2;98.9;0.2;94.6;0.0
100;1995 4e kwartaal;98.2;0.3;97.0;0.0;95.2;0.3
101;1995;97.7;1.1;97.2;-0.1;94.9;1.0
102;1996 januari;96.3;0.2;96.3;-1.9;92.8;-1.7
103;1996 februari;97.5;0.5;95.8;-2.1;93.4;-1.6
104;1996 maart;98.5;-0.2;97.2;-0.1;95.7;-0.3
105;1996 1e kwartaal;97.5;0.2;96.4;-1.4;94.0;-1.2
106;1996 april;97.1;0.2;98.7;0.8;95.8;1.0
107;1996 mei;99.0;1.2;97.3;-0.1;96.4;1.0
108;1996 juni;99.1;0.7;96.1;-0.1;95.3;0.5
109;1996 2e kwartaal;98.4;0.7;97.4;0.2;95.8;0.8
110;1996 juli;98.1;0.6;97.2;0.3;95.3;0.9
111;1996 augustus;98.3;0.7;97.0;-0.1;95.4;0.7
112;1996 september;98.1;1.3;97.3;0.7;95.5;2.0
113;1996 3e kwartaal;98.2;0.9;97.2;0.3;95.4;1.2
114;1996 oktober;99.6;0.0;98.4;2.4;98.0;2.4
115;1996 november;99.6;0.3;97.5;1.7;97.1;2.0
116;1996 december;95.6;0.0;101.0;2.1;96.6;2.1
117;1996 4e kwartaal;98.3;0.1;99.0;2.1;97.2;2.2
118;1996;98.1;0.4;97.5;0.3;95.6;0.8
119;1997 januari;97.0;0.7;98.4;2.2;95.5;2.9
120;1997 februari;97.8;0.3;97.8;2.1;95.6;2.4
121;1997 maart;100.0;1.5;97.5;0.4;97.5;1.9
122;1997 1e kwartaal;98.3;0.8;97.9;1.6;96.2;2.4
123;1997 april;98.7;1.6;98.7;0.0;97.4;1.6
124;1997 mei;100.2;1.1;98.4;1.0;98.5;2.2
125;1997 juni;100.0;0.9;97.5;1.4;97.5;2.3
126;1997 2e kwartaal;99.6;1.2;98.2;0.8;97.8;2.0
127;1997 juli;98.2;0.2;100.2;3.1;98.4;3.3
128;1997 augustus;99.1;0.8;100.6;3.6;99.7;4.4
129;1997 september;99.1;1.0;99.1;1.8;98.1;2.8
130;1997 3e kwartaal;98.8;0.6;99.9;2.8;98.7;3.5
131;1997 oktober;101.0;1.4;100.0;1.6;101.0;3.0
132;1997 november;101.4;1.8;98.9;1.4;100.3;3.3
133;1997 december;97.9;2.4;100.8;-0.2;98.7;2.2
134;1997 4e kwartaal;100.1;1.9;99.9;0.9;100.0;2.8
135;1997;99.2;1.2;99.0;1.5;98.2;2.7
136;1998 januari;98.4;1.4;98.3;-0.1;96.7;1.3
137;1998 februari;99.2;1.4;97.2;-0.6;96.4;0.8
138;1998 maart;100.8;0.8;97.2;-0.4;98.0;0.5
139;1998 1e kwartaal;99.5;1.2;97.6;-0.4;97.0;0.8
140;1998 april;99.2;0.5;97.8;-0.9;97.0;-0.4
141;1998 mei;100.0;-0.1;96.6;-1.8;96.6;-1.9
142;1998 juni;100.9;0.9;94.6;-2.9;95.4;-2.1
143;1998 2e kwartaal;100.0;0.4;96.3;-1.9;96.3;-1.5
144;1998 juli;100.3;2.1;95.6;-4.6;95.8;-2.6
145;1998 augustus;100.0;0.9;94.9;-5.7;94.9;-4.8
146;1998 september;99.6;0.5;93.7;-5.4;93.3;-4.9
147;1998 3e kwartaal;100.0;1.2;94.7;-5.2;94.7;-4.1
148;1998 oktober;101.1;0.2;93.7;-6.3;94.8;-6.1
149;1998 november;101.5;0.1;92.7;-6.3;94.1;-6.2
150;1998 december;98.2;0.3;94.1;-6.6;92.4;-6.4
151;1998 4e kwartaal;100.3;0.2;93.5;-6.4;93.7;-6.2
152;1998;99.9;0.7;95.5;-3.5;95.4;-2.8
153;1999 januari;99.2;0.8;90.6;-7.9;89.8;-7.1
154;1999 februari;99.4;0.2;90.3;-7.1;89.7;-7.0
155;1999 maart;100.2;-0.6;92.2;-5.2;92.3;-5.8
156;1999 1e kwartaal;99.6;0.1;91.0;-6.7;90.6;-6.6
157;1999 april;99.2;0.1;93.2;-4.6;92.5;-4.6
158;1999 mei;100.5;0.4;92.7;-4.0;93.2;-3.6
159;1999 juni;100.7;-0.1;92.8;-2.0;93.4;-2.1
160;1999 2e kwartaal;100.1;0.1;92.9;-3.6;93.0;-3.4
161;1999 juli;99.5;-0.7;94.4;-1.2;94.0;-2.0
162;1999 augustus;100.0;0.0;94.6;-0.2;94.6;-0.3
163;1999 september;99.8;0.2;95.0;1.4;94.8;1.6
164;1999 3e kwartaal;99.8;-0.2;94.7;0.0;94.5;-0.2
165;1999 oktober;100.8;-0.3;94.1;0.4;94.8;0.1
166;1999 november;100.5;-0.9;95.6;3.1;96.1;2.2
167;1999 december;97.4;-0.8;99.2;5.5;96.6;4.6
168;1999 4e kwartaal;99.6;-0.7;96.3;3.0;95.9;2.3
169;1999;99.8;-0.2;93.8;-1.8;93.6;-1.9
170;2000 januari;99.2;0.0;95.6;5.6;94.9;5.6
171;2000 februari;98.9;-0.5;97.2;7.6;96.1;7.1
172;2000 maart;99.4;-0.8;97.8;6.1;97.2;5.2
173;2000 1e kwartaal;99.2;-0.4;96.9;6.4;96.0;6.0
174;2000 april;100.6;1.4;97.3;4.4;97.9;5.8
175;2000 mei;100.4;0.0;99.4;7.3;99.9;7.2
176;2000 juni;100.7;0.0;99.3;7.1;100.0;7.1
177;2000 2e kwartaal;100.6;0.4;98.7;6.2;99.3;6.7
178;2000 juli;100.1;0.5;99.7;5.7;99.8;6.2
179;2000 augustus;100.1;0.1;100.9;6.7;101.0;6.8
180;2000 september;100.2;0.4;102.8;8.1;103.0;8.6
181;2000 3e kwartaal;100.1;0.3;101.1;6.8;101.3;7.2
182;2000 oktober;99.8;-0.9;103.6;10.1;103.4;9.1
183;2000 november;99.5;-1.0;104.0;8.7;103.5;7.7
184;2000 december;100.9;3.6;101.0;1.8;101.9;5.5
185;2000 4e kwartaal;100.1;0.5;102.9;6.8;102.9;7.4
186;2000;100.0;0.2;100.0;6.6;100.0;6.8
187;2001 januari;102.0;2.8;98.3;2.8;100.3;5.7
188;2001 februari;101.4;2.5;99.4;2.3;100.8;4.9
189;2001 maart;101.7;2.4;98.7;0.9;100.4;3.3
190;2001 1e kwartaal;101.7;2.6;98.8;2.0;100.5;4.6
191;2001 april;102.4;1.8;98.6;1.3;101.0;3.1
192;2001 mei;101.8;1.3;100.2;0.8;102.0;2.1
193;2001 juni;101.2;0.5;100.3;1.0;101.5;1.4
194;2001 2e kwartaal;101.8;1.2;99.7;1.0;101.5;2.2
195;2001 juli;100.7;0.6;99.7;0.0;100.4;0.6
196;2001 augustus;100.4;0.3;98.7;-2.2;99.2;-1.9
197;2001 september;102.1;1.9;98.0;-4.6;100.0;-2.8
198;2001 3e kwartaal;101.1;1.0;98.8;-2.3;99.9;-1.4
199;2001 oktober;101.2;1.3;97.6;-5.7;98.8;-4.5
200;2001 november;102.6;3.1;96.5;-7.2;99.0;-4.4
201;2001 december;101.5;0.6;96.4;-4.6;97.8;-4.1
202;2001 4e kwartaal;101.8;1.7;96.8;-5.9;98.5;-4.3
203;2001;101.6;1.6;98.6;-1.4;100.1;0.1
204;2002 januari;103.3;1.3;93.0;-5.4;96.1;-4.2
205;2002 februari;102.4;1.0;93.8;-5.7;96.0;-4.8
206;2002 maart;101.5;-0.3;94.5;-4.3;95.9;-4.5
207;2002 1e kwartaal;102.4;0.7;93.8;-5.1;96.0;-4.5
208;2002 april;102.7;0.3;94.9;-3.7;97.5;-3.4
209;2002 mei;103.4;1.6;94.8;-5.4;98.0;-3.9
210;2002 juni;103.5;2.3;93.8;-6.5;97.0;-4.4
211;2002 2e kwartaal;103.2;1.4;94.5;-5.2;97.5;-3.9
212;2002 juli;102.5;1.7;94.1;-5.6;96.4;-4.0
213;2002 augustus;102.8;2.3;94.2;-4.6;96.8;-2.3
214;2002 september;103.7;1.6;94.2;-3.9;97.7;-2.3
215;2002 3e kwartaal;103.0;1.9;94.2;-4.7;97.0;-2.9
216;2002 oktober;103.5;2.3;94.6;-3.2;97.8;-1.0
217;2002 november;104.2;1.6;93.1;-3.5;97.0;-2.0
218;2002 december;103.3;1.8;93.6;-2.9;96.7;-1.2
219;2002 4e kwartaal;103.6;1.9;93.7;-3.2;97.1;-1.4
220;2002;103.1;1.5;94.0;-4.6;96.9;-3.2
221;2003 januari;103.7;0.3;93.2;0.2;96.6;0.6
222;2003 februari;103.7;1.3;93.8;0.0;97.3;1.4
223;2003 maart;103.7;2.2;92.9;-1.7;96.4;0.5
224;2003 1e kwartaal;103.7;1.3;93.3;-0.5;96.8;0.8
225;2003 april;104.2;1.4;92.1;-3.0;95.9;-1.6
226;2003 mei;104.6;1.1;91.4;-3.5;95.6;-2.4
227;2003 juni;104.0;0.5;90.9;-3.0;94.6;-2.5
228;2003 2e kwartaal;104.3;1.0;91.5;-3.2;95.4;-2.2
229;2003 juli;103.1;0.6;91.4;-2.9;94.2;-2.3
