ID;Perioden;Ruilvoet_1;Invoerprijs_2;Uitvoerprijs_3;Ruilvoet_4;Invoerprijs_5;Uitvoerprijs_6
159;2004 juni;101.1;81.5;82.4;-0.2;2.5;2.3
160;2004 2e kwartaal;100.2;81.5;81.7;-0.9;2.1;1.2
161;2004 juli;98.8;82.2;81.2;-1.0;3.0;2.0
162;2004 augustus;98.8;84.4;83.4;-1.4;2.8;1.4
163;2004 september;99.9;83.4;83.3;-1.8;3.8;2.0
164;2004 3e kwartaal;99.2;83.3;82.6;-1.4;3.3;1.8
165;2004 oktober;99.0;86.9;86.1;-0.7;3.5;2.7
166;2004 november;97.9;86.8;85.0;0.2;1.3;1.6
167;2004 december;101.8;84.9;86.4;1.1;0.8;2.0
168;2004 4e kwartaal;99.6;86.2;85.8;0.2;1.9;2.1
169;2004;99.2;82.8;82.2;-0.6;1.3;0.6
170;2005 januari;98.2;82.4;80.9;0.9;2.2;3.2
171;2005 februari;99.6;81.2;80.8;0.6;3.7;4.3
172;2005 maart;97.9;84.5;82.7;0.2;4.1;4.2
173;2005 1e kwartaal;98.6;82.7;81.5;0.6;3.3;3.9
174;2005 april;98.9;84.8;83.9;0.4;2.7;3.1
175;2005 mei;100.9;82.4;83.1;0.1;2.2;2.3
176;2005 juni;100.1;84.2;84.3;-1.0;3.3;2.3
177;2005 2e kwartaal;100.0;83.8;83.8;-0.2;2.7;2.6
178;2005 juli;99.2;84.6;83.9;0.4;3.0;3.4
179;2005 augustus;99.5;86.7;86.3;0.7;2.8;3.5
180;2005 september;100.4;85.8;86.1;0.5;2.9;3.4
181;2005 3e kwartaal;99.7;85.7;85.5;0.5;2.9;3.4
182;2005 oktober;99.8;89.1;89.0;0.8;2.5;3.4
183;2005 november;98.6;89.9;88.7;0.7;3.6;4.4
184;2005 december;102.2;89.6;91.6;0.4;5.6;6.0
185;2005 4e kwartaal;100.2;89.6;89.7;0.7;4.0;4.6
186;2005;99.6;85.5;85.2;0.4;3.2;3.6
187;2006 januari;97.8;88.2;86.3;-0.4;7.1;6.7
188;2006 februari;100.0;85.4;85.4;0.3;5.2;5.6
189;2006 maart;98.3;87.6;86.2;0.4;3.8;4.2
190;2006 1e kwartaal;98.7;87.1;86.0;0.1;5.3;5.4
191;2006 april;98.7;88.3;87.2;-0.2;4.2;4.0
192;2006 mei;100.4;86.7;87.1;-0.5;5.3;4.8
193;2006 juni;99.5;87.8;87.4;-0.6;4.4;3.7
194;2006 2e kwartaal;99.6;87.6;87.2;-0.4;4.6;4.1
195;2006 juli;98.7;88.3;87.2;-0.5;4.4;3.9
196;2006 augustus;99.8;89.6;89.4;0.3;3.3;3.7
197;2006 september;100.5;86.8;87.3;0.1;1.2;1.4
198;2006 3e kwartaal;99.7;88.2;88.0;0.0;2.9;2.9
199;2006 oktober;100.8;89.3;90.0;0.9;0.2;1.1
200;2006 november;99.3;90.8;90.2;0.6;1.0;1.6
201;2006 december;102.9;90.0;92.6;0.7;0.4;1.1
202;2006 4e kwartaal;101.0;90.0;90.9;0.8;0.5;1.3
203;2006;99.7;88.3;88.0;0.1;3.2;3.4
204;2007 januari;99.5;88.2;87.8;1.7;0.0;1.7
205;2007 februari;100.9;86.0;86.7;0.9;0.7;1.6
206;2007 maart;98.9;88.8;87.8;0.6;1.3;1.9
207;2007 1e kwartaal;99.8;87.7;87.5;1.1;0.7;1.7
208;2007 april;98.6;89.5;88.2;-0.2;1.3;1.1
209;2007 mei;99.7;88.5;88.3;-0.7;2.0;1.3
210;2007 juni;98.8;89.5;88.5;-0.7;1.9;1.2
211;2007 2e kwartaal;99.1;89.1;88.3;-0.5;1.7;1.2
212;2007 juli;99.1;88.9;88.1;0.4;0.6;1.1
213;2007 augustus;99.9;89.3;89.3;0.1;-0.3;-0.1
214;2007 september;99.7;88.6;88.3;-0.9;2.0;1.2
215;2007 3e kwartaal;99.6;88.9;88.6;-0.1;0.8;0.7
216;2007 oktober;99.9;92.3;92.2;-0.8;3.3;2.5
217;2007 november;98.2;94.4;92.7;-1.1;3.9;2.8
218;2007 december;101.2;94.0;95.2;-1.7;4.5;2.8
219;2007 4e kwartaal;99.7;93.6;93.3;-1.2;3.9;2.6
220;2007;99.5;89.9;89.4;-0.2;1.8;1.6
221;2008 januari;97.7;94.0;91.8;-1.8;6.5;4.5
222;2008 februari;99.6;91.3;90.9;-1.3;6.2;4.8
223;2008 maart;98.1;93.9;92.1;-0.9;5.8;4.8
224;2008 1e kwartaal;98.4;93.1;91.6;-1.3;6.1;4.7
225;2008 april;98.0;94.8;92.9;-0.6;5.9;5.3
226;2008 mei;98.5;95.3;93.9;-1.2;7.7;6.4
227;2008 juni;97.2;97.8;95.0;-1.7;9.2;7.4
228;2008 2e kwartaal;97.9;96.0;93.9;-1.2;7.6;6.3
229;2008 juli;97.7;96.9;94.7;-1.4;9.0;7.5
230;2008 augustus;98.6;97.3;96.0;-1.4;8.9;7.5
231;2008 september;100.1;93.8;93.9;0.4;5.9;6.3
232;2008 3e kwartaal;98.8;96.0;94.8;-0.8;7.9;7.0
233;2008 oktober;100.8;95.2;95.9;0.9;3.1;4.0
234;2008 november;100.7;92.8;93.5;2.6;-1.6;0.9
235;2008 december;103.3;89.3;92.2;2.1;-5.1;-3.1
236;2008 4e kwartaal;101.6;92.5;93.9;1.8;-1.1;0.7
237;2008;99.1;94.4;93.5;-0.4;5.0;4.6
238;2009 januari;101.1;86.4;87.3;3.5;-8.1;-4.8
239;2009 februari;101.1;84.4;85.4;1.6;-7.6;-6.1
240;2009 maart;100.1;85.3;85.4;2.1;-9.2;-7.2
241;2009 1e kwartaal;100.8;85.4;86.0;2.4;-8.3;-6.1
242;2009 april;99.8;84.7;84.5;1.8;-10.6;-9.0
243;2009 mei;100.1;84.1;84.2;1.6;-11.8;-10.4
244;2009 juni;99.2;86.6;85.9;2.1;-11.4;-9.6
245;2009 2e kwartaal;99.7;85.2;84.9;1.8;-11.3;-9.6
246;2009 juli;100.5;83.2;83.7;2.9;-14.1;-11.6
247;2009 augustus;99.7;85.6;85.3;1.1;-12.1;-11.1
248;2009 september;101.0;83.3;84.2;0.9;-11.2;-10.4
249;2009 3e kwartaal;100.4;84.0;84.3;1.6;-12.5;-11.0
250;2009 oktober;100.1;87.9;88.0;-0.7;-7.6;-8.3
251;2009 november;99.6;88.6;88.2;-1.1;-4.6;-5.7
252;2009 december;100.9;88.6;89.4;-2.3;-0.7;-3.0
253;2009 4e kwartaal;100.2;88.4;88.5;-1.4;-4.5;-5.8
254;2009;100.3;85.8;86.0;1.2;-9.1;-8.1
255;2010 januari;96.7;89.7;86.7;-4.4;3.8;-0.7
256;2010 februari;98.4;87.6;86.3;-2.7;3.8;1.1
257;2010 maart;97.4;90.5;88.2;-2.7;6.1;3.2
258;2010 1e kwartaal;97.5;89.3;87.1;-3.2;4.7;1.3
259;2010 april;97.3;92.9;90.4;-2.5;9.7;6.9
260;2010 mei;98.6;92.2;90.9;-1.5;9.7;8.0
261;2010 juni;98.3;93.7;92.1;-0.9;8.1;7.2
262;2010 2e kwartaal;98.0;92.9;91.1;-1.6;9.2;7.4
263;2010 juli;97.4;91.9;89.4;-3.2;10.4;6.9
264;2010 augustus;97.4;93.5;91.0;-2.3;9.2;6.7
265;2010 september;98.7;91.3;90.1;-2.2;9.5;7.1
266;2010 3e kwartaal;97.8;92.2;90.2;-2.6;9.7;6.9
267;2010 oktober;97.8;95.1;93.0;-2.3;8.2;5.7
268;2010 november;97.1;96.6;93.8;-2.5;9.1;6.4
269;2010 december;97.9;98.6;96.5;-3.0;11.2;7.9
270;2010 4e kwartaal;97.6;96.8;94.4;-2.6;9.5;6.7
271;2010;97.7;92.9;90.8;-2.5;8.3;5.6
272;2011 januari;96.2;97.4;93.7;-0.5;8.6;8.1
273;2011 februari;96.6;98.0;94.7;-1.8;11.9;9.8
274;2011 maart;96.6;98.8;95.5;-0.8;9.2;8.3
275;2011 1e kwartaal;96.5;98.1;94.7;-1.0;9.8;8.7
276;2011 april;95.4;100.6;96.1;-1.9;8.3;6.3
277;2011 mei;95.1;101.0;96.1;-3.5;9.6;5.7
278;2011 juni;95.9;99.3;95.3;-2.4;6.0;3.5
279;2011 2e kwartaal;95.5;100.3;95.8;-2.6;8.0;5.1
280;2011 juli;95.7;98.9;94.7;-1.7;7.7;5.9
281;2011 augustus;95.9;99.4;95.3;-1.5;6.3;4.7
282;2011 september;95.9;99.1;95.0;-2.9;8.5;5.4
283;2011 3e kwartaal;95.8;99.1;95.0;-2.0;7.5;5.3
284;2011 oktober;95.6;103.5;99.0;-2.2;8.8;6.4
285;2011 november;96.9;102.3;99.2;-0.2;5.9;5.7
286;2011 december;96.9;103.4;100.2;-0.9;4.9;3.9
287;2011 4e kwartaal;96.5;103.1;99.5;-1.1;6.4;5.3
288;2011;96.1;100.1;96.2;-1.7;7.8;6.0
289;2012 januari;97.1;101.2;98.3;0.9;4.0;4.9
290;2012 februari;96.8;101.6;98.3;0.1;3.7;3.8
291;2012 maart;96.8;102.2;98.9;0.2;3.4;3.6
292;2012 1e kwartaal;96.9;101.7;98.5;0.5;3.6;4.1
293;2012 april;95.2;103.5;98.6;0.4;2.9;2.6
294;2012 mei;94.7;103.6;98.2;-0.2;2.6;2.2
295;2012 juni;95.7;100.9;96.6;-0.3;1.6;1.3
296;2012 2e kwartaal;95.2;102.7;97.8;0.3;2.3;2.0
297;2012 juli;95.0;102.1;96.9;-0.2;3.2;2.4
298;2012 augustus;94.9;104.7;99.3;-0.3;5.4;4.3
299;2012 september;95.7;102.7;98.3;-0.8;3.7;3.5
300;2012 3e kwartaal;95.2;103.2;98.2;0.9;4.1;3.4
301;2012 oktober;96.1;106.1;102.0;-1.0;2.6;3.1
302;2012 november;97.2;104.4;101.6;-0.2;2.1;2.4
303;2012 december;97.8;104.3;102.0;-0.7;0.9;1.8
304;2012 4e kwartaal;97.1;104.9;101.9;0.6;1.8;2.4
305;2012;96.1;103.1;99.1;0.0;3.0;3.0
306;2013 januari;97.3;101.7;99.0;0.2;0.5;0.7
307;2013 februari;97.2;101.9;99.1;0.4;0.3;0.7
308;2013 maart;97.4;101.0;98.4;0.6;-1.1;-0.6
309;2013 1e kwartaal;97.3;101.6;98.8;0.4;-0.1;0.3
310;2013 april;96.3;100.7;96.9;1.1;-2.7;-1.7
311;2013 mei;95.3;101.8;97.0;0.6;-1.7;-1.2
312;2013 juni;96.0;99.9;95.9;0.3;-0.9;-0.7
313;2013 2e kwartaal;95.8;100.8;96.6;0.7;-1.8;-1.2
314;2013 juli;95.2;100.4;95.6;0.2;-1.6;-1.4
315;2013 augustus;95.8;101.1;96.9;1.0;-3.5;-2.5
316;2013 september;96.2;99.8;96.0;0.5;-2.8;-2.3
317;2013 3e kwartaal;95.7;100.4;96.1;0.6;-2.7;-2.1
318;2013 oktober;96.4;102.6;98.9;0.3;-3.3;-3.1
319;2013 november;96.9;101.8;98.6;-0.3;-2.6;-2.9
320;2013 december;98.4;102.0;100.4;0.6;-2.2;-1.6
321;2013 4e kwartaal;97.2;102.1;99.3;0.2;-2.7;-2.5
322;2013;96.5;101.2;97.7;0.4;-1.8;-1.4
323;2014 januari;97.6;99.2;96.8;0.2;-2.5;-2.2
324;2014 februari;97.4;99.1;96.5;0.2;-2.8;-2.6
325;2014 maart;97.3;97.7;95.1;0.0;-3.2;-3.3
326;2014 1e kwartaal;97.4;98.7;96.1;0.2;-2.9;-2.7
327;2014 april;95.4;98.9;94.3;-0.9;-1.8;-2.7
328;2014 mei;94.3;100.3;94.5;-1.1;-1.5;-2.6
329;2014 juni;95.0;99.2;94.2;-1.0;-0.7;-1.8
330;2014 2e kwartaal;94.9;99.4;94.4;-1.0;-1.4;-2.4
331;2014 juli;95.2;98.6;93.9;0.1;-1.8;-1.8
332;2014 augustus;96.1;98.7;94.9;0.3;-2.3;-2.0
333;2014 september;96.3;97.5;93.9;0.2;-2.4;-2.2
334;2014 3e kwartaal;95.9;98.3;94.2;0.2;-2.2;-2.0
335;2014 oktober;96.8;100.5;97.3;0.4;-2.0;-1.6
336;2014 november;97.4;98.6;96.0;0.5;-3.2;-2.7
337;2014 december;100.0;94.5;94.5;1.6;-7.4;-5.9
338;2014 4e kwartaal;98.0;97.8;95.9;0.8;-4.2;-3.4
339;2014;96.6;98.5;95.2;0.0;-2.7;-2.6
340;2015 januari;99.7;91.2;91.0;2.2;-8.1;-6.1
341;2015 februari;99.1;93.2;92.4;1.7;-5.9;-4.3
342;2015 maart;98.7;94.3;93.1;1.4;-3.5;-2.1
343;2015 1e kwartaal;99.2;93.0;92.2;1.8;-5.8;-4.1
344;2015 april;97.6;95.8;93.5;2.2;-3.1;-0.9
345;2015 mei;98.0;95.4;93.5;3.9;-4.8;-1.1
346;2015 juni;97.9;94.8;92.9;3.1;-4.4;-1.4
347;2015 2e kwartaal;97.8;95.4;93.3;3.1;-4.1;-1.1
348;2015 juli;98.6;94.3;93.0;3.6;-4.3;-0.9
349;2015 augustus;99.0;92.4;91.5;3.0;-6.4;-3.6
350;2015 september;98.9;91.9;90.9;2.7;-5.7;-3.2
351;2015 3e kwartaal;98.8;92.9;91.8;3.1;-5.5;-2.5
352;2015 oktober;99.6;93.4;93.0;2.9;-7.0;-4.4
353;2015 november;99.8;93.6;93.4;2.5;-5.0;-2.6
354;2015 december;99.2;92.5;91.7;-0.8;-2.2;-3.0
355;2015 4e kwartaal;99.5;93.2;92.7;1.5;-4.8;-3.3
356;2015;98.8;93.6;92.5;2.3;-5.0;-2.8
357;2016 januari;100.7;86.5;87.1;0.9;-5.2;-4.3
358;2016 februari;100.1;87.0;87.1;1.0;-6.7;-5.8
359;2016 maart;99.6;87.6;87.3;0.9;-7.1;-6.2
360;2016 1e kwartaal;100.1;87.1;87.2;0.9;-6.4;-5.4
361;2016 april;98.9;87.5;86.6;1.4;-8.7;-7.4
362;2016 mei;100.4;87.7;88.0;2.5;-8.1;-5.9
363;2016 juni;99.4;89.4;88.8;1.5;-5.8;-4.4
364;2016 2e kwartaal;99.6;88.2;87.8;1.8;-7.5;-5.9
365;2016 juli;99.9;88.9;88.8;1.3;-5.8;-4.5
366;2016 augustus;99.9;88.8;88.7;1.0;-4.0;-3.0
367;2016 september;99.9;89.0;88.9;1.0;-3.1;-2.1
368;2016 3e kwartaal;99.9;88.9;88.8;1.1;-4.3;-3.2
369;2016 oktober;100.6;91.7;92.3;1.1;-1.9;-0.8
370;2016 november;100.1;92.3;92.4;0.3;-1.4;-1.1
371;2016 december;99.3;94.6;94.0;0.2;2.3;2.5
372;2016 4e kwartaal;100.0;92.9;92.9;0.5;-0.4;0.2
373;2016;99.9;89.3;89.2;1.1;-4.6;-3.6
374;2017 januari;99.1;93.4;92.5;-1.6;7.9;6.3
375;2017 februari;98.7;94.7;93.5;-1.3;8.9;7.4
376;2017 maart;99.1;93.6;92.7;-0.6;6.8;6.2
377;2017 1e kwartaal;99.0;93.9;92.9;-1.2;7.8;6.6
378;2017 april;97.9;93.3;91.4;-1.0;6.6;5.5
379;2017 mei;100.4;90.9;91.3;0.0;3.7;3.7
380;2017 juni;99.6;90.6;90.2;0.2;1.4;1.6
381;2017 2e kwartaal;99.3;91.6;91.0;-0.3;3.8;3.6
382;2017 juli;100.3;90.2;90.5;0.4;1.5;1.9
383;2017 augustus;100.2;90.2;90.4;0.3;1.6;1.9
384;2017 september;100.2;90.9;91.1;0.3;2.1;2.4
385;2017 3e kwartaal;100.2;90.4;90.7;0.3;1.7;2.1
386;2017 oktober;100.5;93.2;93.7;-0.2;1.7;1.5
387;2017 november;99.7;94.3;94.0;-0.4;2.1;1.7
388;2017 december;99.3;95.3;94.7;0.0;0.7;0.7
389;2017 4e kwartaal;99.8;94.2;94.1;-0.2;1.5;1.3
390;2017;99.6;92.5;92.2;-0.3;3.6;3.3
391;2018 januari;100.4;92.9;93.2;1.3;-0.5;0.8
392;2018 februari;99.9;92.8;92.7;1.2;-2.0;-0.8
393;2018 maart;100.0;92.1;92.1;0.9;-1.6;-0.7
394;2018 1e kwartaal;100.1;92.6;92.7;1.1;-1.3;-0.3
395;2018 april;98.0;93.1;91.2;0.0;-0.3;-0.3
396;2018 mei;100.6;93.2;93.8;0.2;2.5;2.7
397;2018 juni;98.7;94.8;93.6;-0.9;4.7;3.8
398;2018 2e kwartaal;99.1;93.7;92.9;-0.2;2.3;2.1
399;2018 juli;99.9;94.5;94.4;-0.4;4.8;4.3
400;2018 augustus;99.2;95.4;94.6;-1.0;5.7;4.6
401;2018 september;98.9;95.6;94.6;-1.3;5.2;3.9
402;2018 3e kwartaal;99.3;95.2;94.5;-0.9;5.2;4.3
403;2018 oktober;99.4;98.3;97.6;-1.1;5.4;4.2
404;2018 november;99.5;96.8;96.3;-0.2;2.7;2.5
405;2018 december;99.0;95.9;95.0;-0.3;0.6;0.4
406;2018 4e kwartaal;99.3;97.0;96.4;-0.5;2.9;2.4
407;2018;99.4;94.6;94.1;-0.2;2.3;2.1
408;2019 januari;101.3;92.7;93.9;0.9;-0.1;0.7
409;2019 februari;100.7;94.2;94.9;0.9;1.5;2.3
410;2019 maart;100.4;94.1;94.4;0.4;2.2;2.6
