ID;NederlandseEconomie;Perioden;TotaalCO2_1;CO2ExclBiomassa_2;CO2Biomassa_3;N2O_4;CH4_5;BroeikasgasEquivalent_6;NOx_7;SO2_8;NH3_9;ZuurEquivalent_10;CFK12Equivalent_11;CO_12;NMVOS_13;PM10_14
38;Totaal particuliere huishoudens;1994;38608;37085;1523.1;1.0;30.7;39734;119.6;5.1;12.0;3.5;251.2;504.0;146.7;14.3
39;Totaal particuliere huishoudens;1995;41072;39491;1581.2;1.1;31.9;42320;117.2;4.8;9.5;3.2;144.3;498.1;136.7;15.9
40;Totaal particuliere huishoudens;1996;44956;43072;1883.3;1.2;35.2;46338;114.2;3.7;9.8;3.2;58.5;503.5;138.0;15.2
41;Totaal particuliere huishoudens;1997;40891;39225;1665.7;1.2;31.2;42173;104.9;2.3;10.3;3.0;48.8;489.5;129.6;15.1
42;Totaal particuliere huishoudens;1998;39735;38140;1594.8;1.2;29.9;40986;96.9;2.4;10.6;2.8;42.1;467.3;117.8;14.9
43;Totaal particuliere huishoudens;1999;39124;37565;1559.2;1.2;28.5;40278;93.2;2.5;11.0;2.7;45.1;452.2;109.7;14.4
44;Totaal particuliere huishoudens;2000;39790;38248;1542.6;1.1;27.9;41226;87.4;1.9;10.6;2.6;39.1;421.9;99.4;14.5
45;Totaal particuliere huishoudens;2001;40744;39108;1635.5;1.2;28.5;42082;82.1;1.1;11.9;2.5;34.6;416.6;94.1;14.3
46;Totaal particuliere huishoudens;2002;40118;38545;1573.3;1.1;27.6;41417;77.6;1.1;11.9;2.4;30.9;413.9;89.5;13.5
47;Totaal particuliere huishoudens;2003;40926;39241;1684.8;1.1;28.0;42236;74.1;0.8;11.9;2.3;27.6;419.8;86.4;13.8
48;Totaal particuliere huishoudens;2004;40357;38582;1775.4;1.1;27.1;41681;70.0;0.9;11.9;2.2;24.2;419.4;82.6;14.0
49;Totaal particuliere huishoudens;2005;39058;37254;1804.2;1.1;26.3;40364;65.1;0.7;12.0;2.1;21.2;399.6;79.7;13.6
50;Totaal particuliere huishoudens;2006;39006;37100;1906.6;1.1;26.0;40327;59.2;0.7;11.4;2.0;18.3;385.5;78.5;13.4
51;Totaal particuliere huishoudens;2007;36890;34663;2227.0;1.1;23.9;38171;55.0;0.7;10.9;1.9;15.3;370.8;78.0;13.0
52;Totaal particuliere huishoudens;2008;39202;36847;2355.0;1.1;25.7;40555;53.5;0.6;10.2;1.8;12.3;365.8;75.6;12.9
53;Totaal particuliere huishoudens;2009;39009;36464;2545.5;1.1;25.5;40405;50.1;0.6;10.1;1.7;9.3;359.2;73.9;12.4
54;Totaal particuliere huishoudens;2010;42607;39897;2709.6;1.2;28.4;44077;50.6;0.6;10.5;1.7;6.4;364.2;74.4;13.2
55;Totaal particuliere huishoudens;2011;37016;34605;2410.8;1.1;24.1;38371;46.2;0.6;10.7;1.6;3.4;335.2;70.7;11.6
56;Totaal particuliere huishoudens;2012;37986;35402;2584.3;1.1;25.2;39365;45.2;0.6;10.8;1.6;0.4;327.2;71.4;11.7
57;Totaal particuliere huishoudens;2013;39166;36452;2714.9;1.2;26.1;40568;45.2;0.6;11.3;1.7;0.0;324.5;71.3;11.9
58;Totaal particuliere huishoudens;2014;33404;31008;2395.3;1.1;21.8;34671;41.7;0.5;10.7;1.5;0.0;301.3;69.3;10.7
59;Totaal particuliere huishoudens;2015;34718;32207;2511.7;1.2;22.6;36023;40.9;0.5;10.6;1.5;0.0;300.8;69.7;11.0
60;Totaal particuliere huishoudens;2016;35532;33108;2423.9;1.2;23.5;36873;40.7;0.5;10.9;1.5;0.0;301.8;72.0;10.7
61;Totaal particuliere huishoudens;2017;34958;32512;2446.2;1.2;22.9;36274;39.2;0.5;10.6;1.5;0.0;296.7;71.1;10.2
62;Totaal particuliere huishoudens;2018;34864;32078;2786.2;1.2;21.6;36109;38.8;0.5;10.5;1.5;0.0;286.1;70.1;10.0
63;Totaal particuliere huishoudens;2019;34048;31078;2970.8;1.2;22.5;35323;36.4;0.5;10.3;1.4;0.0;271.9;69.7;9.4
64;Totaal particuliere huishoudens;2020;30546;27846;2700.6;1.2;21.6;31749;29.3;0.5;9.9;1.2;0.0;259.9;75.6;8.3
65;Totaal particuliere huishoudens;2021;33556;30326;3229.2;1.1;23.3;34793;29.8;0.5;10.0;1.2;0.0;245.8;73.0;8.3
66;Totaal particuliere huishoudens;2022;30378;27203;3174.5;1.2;20.8;31531;28.4;0.5;10.0;1.2;0.0;236.5;72.4;8.6
67;Totaal particuliere huishoudens;2023;28611;25498;3113.0;1.2;19.2;29748;27.9;0.5;10.2;1.2;0.0;227.2;69.6;9.0
68;Eigen vervoer particuliere huishoudens;1990;14370;14370;0.0;0.2;4.2;14542;133.8;4.8;0.8;3.1;0.0;558.1;129.2;7.3
69;Eigen vervoer particuliere huishoudens;1991;14258;14258;0.0;0.3;3.7;14437;124.3;4.7;1.0;2.9;0.0;505.6;118.3;6.6
70;Eigen vervoer particuliere huishoudens;1992;14774;14774;0.0;0.4;3.5;14972;115.8;4.7;1.3;2.7;0.0;483.2;109.8;6.4
71;Eigen vervoer particuliere huishoudens;1993;14836;14836;0.0;0.4;3.3;15044;106.1;4.5;1.5;2.5;0.0;451.9;101.4;6.0
72;Eigen vervoer particuliere huishoudens;1994;15256;15256;0.0;0.5;3.1;15481;98.7;4.3;1.6;2.4;0.0;429.9;94.5;5.7
73;Eigen vervoer particuliere huishoudens;1995;15858;15858;0.0;0.6;2.9;16093;92.9;4.0;2.0;2.3;0.0;406.2;82.5;5.7
74;Eigen vervoer particuliere huishoudens;1996;15576;15576;0.0;0.6;2.9;15816;86.6;3.0;2.3;2.1;0.0;410.6;81.7;5.2
75;Eigen vervoer particuliere huishoudens;1997;16140;16140;0.0;0.6;2.8;16382;81.7;1.7;2.7;2.0;0.0;397.7;75.6;5.0
76;Eigen vervoer particuliere huishoudens;1998;16145;16145;0.0;0.6;2.7;16380;75.1;1.8;3.0;1.9;0.0;377.2;68.8;4.9
77;Eigen vervoer particuliere huishoudens;1999;16711;16711;0.0;0.6;2.6;16944;71.9;1.9;3.4;1.8;0.0;371.7;62.7;4.8
78;Eigen vervoer particuliere huishoudens;2000;17384;17384;0.0;0.6;2.2;17615;66.9;1.4;4.0;1.7;0.0;339.2;48.5;4.8
79;Eigen vervoer particuliere huishoudens;2001;16994;16994;0.0;0.6;2.1;17214;60.3;0.5;4.2;1.6;0.0;329.8;42.8;4.6
80;Eigen vervoer particuliere huishoudens;2002;17211;17211;0.0;0.6;2.0;17426;56.7;0.6;4.4;1.5;0.0;331.3;39.3;4.4
81;Eigen vervoer particuliere huishoudens;2003;17408;17408;0.0;0.6;2.0;17617;53.3;0.4;4.5;1.4;0.0;333.0;36.0;4.3
82;Eigen vervoer particuliere huishoudens;2004;17722;17722;0.0;0.6;1.9;17924;50.6;0.4;4.6;1.4;0.0;330.8;32.9;4.2
83;Eigen vervoer particuliere huishoudens;2005;17196;17196;0.0;0.6;1.7;17392;47.2;0.2;4.3;1.3;0.0;311.5;30.1;3.9
84;Eigen vervoer particuliere huishoudens;2006;16957;16895;62.4;0.6;1.6;17149;44.2;0.3;4.0;1.2;0.0;296.5;27.5;3.7
85;Eigen vervoer particuliere huishoudens;2007;17045;16588;456.8;0.6;1.5;17236;42.1;0.3;3.8;1.1;0.0;286.4;26.1;3.6
86;Eigen vervoer particuliere huishoudens;2008;16845;16430;414.4;0.6;1.4;17033;39.4;0.2;3.5;1.1;0.0;274.9;24.8;3.3
87;Eigen vervoer particuliere huishoudens;2009;16695;16140;555.1;0.6;1.3;16882;36.3;0.1;3.3;1.0;0.0;267.4;23.0;3.1
88;Eigen vervoer particuliere huishoudens;2010;16604;16274;330.1;0.6;1.4;16793;35.3;0.1;3.2;1.0;0.0;257.4;21.4;2.9
89;Eigen vervoer particuliere huishoudens;2011;16631;16170;460.9;0.6;1.4;16824;34.7;0.1;3.2;0.9;0.0;249.1;21.1;2.7
90;Eigen vervoer particuliere huishoudens;2012;16218;15722;495.4;0.6;1.5;16409;33.5;0.1;3.1;0.9;0.0;235.8;20.1;2.6
91;Eigen vervoer particuliere huishoudens;2013;16064;15580;483.9;0.6;1.5;16256;33.3;0.1;3.0;0.9;0.0;229.2;19.6;2.5
92;Eigen vervoer particuliere huishoudens;2014;15970;15361;609.4;0.6;1.5;16163;32.8;0.1;3.0;0.9;0.0;225.6;19.5;2.4
93;Eigen vervoer particuliere huishoudens;2015;16044;15523;521.2;0.6;1.5;16238;32.0;0.1;2.9;0.9;0.0;219.1;18.9;2.3
94;Eigen vervoer particuliere huishoudens;2016;16147;15735;412.8;0.6;1.5;16351;32.0;0.1;3.0;0.9;0.0;220.4;18.7;2.3
95;Eigen vervoer particuliere huishoudens;2017;16144;15620;524.0;0.6;1.5;16356;31.5;0.1;3.0;0.9;0.0;220.3;18.5;2.3
96;Eigen vervoer particuliere huishoudens;2018;16169;15309;860.3;0.7;1.8;16395;31.4;0.1;2.8;0.9;0.0;211.8;17.8;2.2
97;Eigen vervoer particuliere huishoudens;2019;15945;14876;1069.3;0.7;2.0;16180;29.3;0.1;2.8;0.8;0.0;201.0;17.1;2.1
98;Eigen vervoer particuliere huishoudens;2020;13268;12395;873.5;0.6;1.8;13490;22.5;0.1;2.4;0.6;1.0;194.1;14.9;1.8
99;Eigen vervoer particuliere huishoudens;2021;13851;12800;1051.0;0.6;1.9;14066;22.2;0.1;2.5;0.6;1.0;171.6;15.1;1.9
100;Eigen vervoer particuliere huishoudens;2022;14257;13255;1002.3;0.6;2.0;14482;21.8;0.1;2.6;0.6;2.0;165.0;14.6;1.9
101;Eigen vervoer particuliere huishoudens;2023;14539;13608;930.5;0.7;1.8;14770;21.8;0.1;2.6;0.6;2.0;159.4;14.6;2.0
102;Overig particuliere huishoudens;1990;22520;21102;1418.1;0.4;27.7;23389;21.4;1.2;10.3;1.1;678.7;82.3;52.5;9.3
103;Overig particuliere huishoudens;1991;25753;24188;1565.3;0.4;30.0;26696;23.6;1.0;10.3;1.2;571.8;80.3;52.4;9.1
104;Overig particuliere huishoudens;1992;23696;22223;1473.0;0.4;28.1;24602;21.2;0.9;10.5;1.1;464.9;78.2;52.4;8.9
105;Overig particuliere huishoudens;1993;24924;23344;1579.9;0.5;28.9;25858;22.2;0.9;10.5;1.1;358.0;76.2;52.3;8.7
106;Overig particuliere huishoudens;1994;23352;21828;1523.1;0.5;27.5;24253;20.9;0.8;10.4;1.1;251.2;74.1;52.2;8.5
107;Overig particuliere huishoudens;1995;25214;23633;1581.2;0.5;29.0;26227;24.2;0.8;7.5;1.0;144.3;91.9;54.2;10.2
108;Overig particuliere huishoudens;1996;29380;27496;1883.3;0.6;32.2;30522;27.5;0.7;7.5;1.1;58.5;93.0;56.3;9.9
109;Overig particuliere huishoudens;1997;24751;23085;1665.7;0.6;28.3;25790;23.2;0.6;7.5;1.0;48.8;91.8;54.0;10.1
110;Overig particuliere huishoudens;1998;23591;21996;1594.8;0.6;27.2;24606;21.7;0.6;7.6;0.9;42.1;90.0;49.0;10.0
111;Overig particuliere huishoudens;1999;22413;20854;1559.2;0.5;25.9;23333;21.3;0.6;7.6;0.9;45.1;80.5;47.0;9.5
112;Overig particuliere huishoudens;2000;22407;20864;1542.6;0.5;25.7;23611;20.5;0.5;6.6;0.8;39.1;82.7;50.9;9.7
113;Overig particuliere huishoudens;2001;23750;22115;1635.5;0.5;26.5;24868;21.7;0.5;7.7;0.9;34.6;86.8;51.3;9.7
114;Overig particuliere huishoudens;2002;22907;21334;1573.3;0.5;25.6;23991;20.9;0.5;7.5;0.9;30.9;82.6;50.2;9.1
115;Overig particuliere huishoudens;2003;23518;21833;1684.8;0.5;26.0;24619;20.8;0.5;7.4;0.9;27.6;86.8;50.4;9.5
116;Overig particuliere huishoudens;2004;22636;20860;1775.4;0.5;25.2;23757;19.4;0.5;7.3;0.9;24.2;88.6;49.7;9.8
117;Overig particuliere huishoudens;2005;21862;20057;1804.2;0.6;24.6;22972;17.9;0.4;7.7;0.9;21.2;88.1;49.6;9.6
118;Overig particuliere huishoudens;2006;22049;20205;1844.2;0.5;24.4;23178;15.0;0.4;7.4;0.8;18.3;89.0;51.0;9.6
119;Overig particuliere huishoudens;2007;19845;18075;1770.2;0.5;22.4;20935;13.0;0.4;7.2;0.7;15.3;84.4;51.8;9.4
120;Overig particuliere huishoudens;2008;22357;20417;1940.6;0.5;24.3;23522;14.0;0.5;6.7;0.7;12.3;90.8;50.8;9.5
121;Overig particuliere huishoudens;2009;22314;20324;1990.4;0.6;24.2;23522;13.7;0.5;6.7;0.7;9.3;91.7;50.9;9.3
122;Overig particuliere huishoudens;2010;26003;23623;2379.6;0.6;27.0;27284;15.2;0.5;7.2;0.8;6.4;106.7;52.9;10.3
123;Overig particuliere huishoudens;2011;20385;18435;1950.0;0.6;22.6;21548;11.6;0.5;7.5;0.7;3.4;86.2;49.6;8.9
124;Overig particuliere huishoudens;2012;21768;19679;2088.9;0.6;23.7;22956;11.7;0.5;7.8;0.7;0.4;91.4;51.3;9.2
125;Overig particuliere huishoudens;2013;23102;20871;2231.0;0.6;24.6;24312;11.8;0.5;8.3;0.8;0.0;95.2;51.7;9.4
126;Overig particuliere huishoudens;2014;17434;15648;1785.9;0.6;20.2;18508;8.8;0.4;7.7;0.7;0.0;75.6;49.8;8.4
127;Overig particuliere huishoudens;2015;18675;16684;1990.5;0.6;21.1;19785;8.9;0.4;7.7;0.7;0.0;81.7;50.8;8.7
128;Overig particuliere huishoudens;2016;19385;17374;2011.1;0.6;22.0;20522;8.7;0.4;7.9;0.7;0.0;81.4;53.3;8.4
129;Overig particuliere huishoudens;2017;18814;16892;1922.2;0.5;21.4;19917;7.8;0.4;7.6;0.6;0.0;76.4;52.6;7.9
130;Overig particuliere huishoudens;2018;18695;16769;1925.9;0.6;19.8;19714;7.4;0.4;7.6;0.6;0.0;74.3;52.3;7.8
131;Overig particuliere huishoudens;2019;18103;16202;1901.5;0.6;20.6;19143;7.1;0.4;7.5;0.6;0.0;70.9;52.5;7.2
132;Overig particuliere huishoudens;2020;17278;15451;1827.1;0.5;19.8;18259;6.8;0.4;7.6;0.6;0.0;65.8;60.6;6.5
133;Overig particuliere huishoudens;2021;19705;17527;2178.2;0.5;21.4;20727;7.6;0.4;7.5;0.6;0.0;74.2;57.9;6.4
134;Overig particuliere huishoudens;2022;16120;13948;2172.2;0.5;18.8;17049;6.6;0.4;7.5;0.6;0.0;71.4;57.7;6.7
135;Overig particuliere huishoudens;2023;14072;11932;2140.6;0.5;17.3;14979;6.1;0.4;7.6;0.6;0.0;67.9;55.0;7.0
136;A-U Alle economische activiteiten;1990;142836;139756;3079.9;59.8;694.9;185238;665.3;260.2;335.6;42.3;5471.3;578.9;432.9;72.3
137;A-U Alle economische activiteiten;1991;146860;143666;3194.2;60.4;709.2;189721;639.9;223.8;349.5;41.4;4494.7;564.8;398.2;67.0
138;A-U Alle economische activiteiten;1992;148918;145748;3169.1;61.2;706.3;192930;652.0;223.6;286.2;38.0;3518.1;583.6;374.3;64.4
139;A-U Alle economische activiteiten;1993;148471;145072;3399.4;62.1;703.1;193348;646.5;218.7;312.4;39.2;2541.5;566.7;350.1;61.2
140;A-U Alle economische activiteiten;1994;152035;148743;3291.8;60.5;680.3;197608;634.9;210.2;281.0;36.9;1564.8;517.8;326.0;58.1
141;A-U Alle economische activiteiten;1995;153924;150451;3473.6;59.9;674.5;197026;631.9;209.2;210.5;32.6;588.2;464.7;304.6;56.6
142;A-U Alle economische activiteiten;1996;157872;153799;4073.1;60.0;660.3;204323;612.7;203.3;168.6;29.6;431.3;425.5;282.4;51.3
143;A-U Alle economische activiteiten;1997;157364;152803;4560.3;59.2;613.3;203079;604.6;193.2;164.2;28.8;319.4;395.5;261.6;49.0
144;A-U Alle economische activiteiten;1998;159954;155163;4790.9;57.3;604.8;205684;601.1;193.7;148.9;27.9;205.2;383.7;257.3;47.8
145;A-U Alle economische activiteiten;1999;157450;152411;5039.2;55.1;591.8;196308;628.5;199.9;143.5;28.3;196.5;374.3;251.4;49.9
146;A-U Alle economische activiteiten;2000;161252;155837;5415.1;53.0;570.5;196660;628.8;187.7;164.9;29.2;183.0;381.5;246.5;49.2
147;A-U Alle economische activiteiten;2001;165500;159783;5716.9;49.9;565.8;197605;619.0;185.0;157.4;28.5;168.5;381.3;222.6;47.3
148;A-U Alle economische activiteiten;2002;165326;159030;6296.5;46.9;539.7;196402;603.0;172.1;150.0;27.3;146.8;365.9;211.3;45.6
149;A-U Alle economische activiteiten;2003;167806;161895;5911.8;46.5;529.9;196808;603.9;167.9;146.8;27.0;122.8;357.2;207.0;43.2
150;A-U Alle economische activiteiten;2004;171348;164666;6682.0;47.7;528.2;200302;596.2;163.6;146.6;26.7;117.4;375.7;191.7;41.6
151;A-U Alle economische activiteiten;2005;169742;161760;7981.7;47.6;530.1;198537;595.3;169.9;143.7;26.7;111.9;361.1;197.6;41.3
152;A-U Alle economische activiteiten;2006;163141;154914;8227.0;47.9;529.7;192169;552.6;153.0;147.0;25.4;106.3;364.1;191.5;38.2
153;A-U Alle economische activiteiten;2007;166746;158575;8170.6;42.7;549.4;195072;549.5;149.9;143.7;25.1;100.5;352.3;194.1;37.7
154;A-U Alle economische activiteiten;2008;167213;157691;9521.8;30.1;570.2;192740;504.9;109.5;131.9;22.1;94.6;353.8;190.4;33.5
155;A-U Alle economische activiteiten;2009;162433;151516;10916.7;29.5;572.3;187914;464.3;92.3;127.8;20.5;88.7;293.4;191.4;30.9
156;A-U Alle economische activiteiten;2010;170879;159461;11418.2;28.5;579.6;196555;452.9;79.7;125.0;19.7;82.8;309.7;202.6;29.5
157;A-U Alle economische activiteiten;2011;163792;152142;11650.1;27.8;572.2;188840;425.7;64.7;123.1;18.5;77.1;294.0;201.5;27.8
158;A-U Alle economische activiteiten;2012;160574;148464;12109.3;27.2;564.2;185124;409.1;62.0;117.4;17.7;71.4;282.1;195.5;26.3
159;A-U Alle economische activiteiten;2013;158845;147784;11060.7;28.0;570.4;183933;409.8;62.0;114.4;17.6;68.5;265.4;196.6;26.2
160;A-U Alle economische activiteiten;2014;158369;147653;10716.2;28.5;567.2;183086;397.0;59.0;118.8;17.4;66.1;258.9;184.0;26.0
161;A-U Alle economische activiteiten;2015;163988;153250;10737.7;29.3;582.7;189522;389.9;47.0;120.3;17.0;64.0;261.0;192.7;24.8
162;A-U Alle economische activiteiten;2016;163649;152738;10910.9;28.3;594.4;189114;388.5;40.5;121.4;16.8;62.1;256.5;189.7;24.0
163;A-U Alle economische activiteiten;2017;161268;150142;11126.4;29.1;590.5;186835;380.4;38.7;123.4;16.7;60.3;247.4;190.6;23.7
164;A-U Alle economische activiteiten;2018;157906;146206;11699.9;28.4;568.2;182412;371.2;35.8;122.4;16.4;58.8;246.3;185.9;23.0
165;A-U Alle economische activiteiten;2019;156631;143049;13581.3;28.0;571.2;181112;354.9;32.7;116.5;15.6;57.5;245.3;181.6;22.3
166;A-U Alle economische activiteiten;2020;141723;124964;16759.0;27.4;568.2;165685;315.3;27.6;115.4;14.5;56.4;228.3;178.1;21.3
167;A-U Alle economische activiteiten;2021;146035;126891;19144.3;26.2;560.6;169623;329.9;28.5;114.0;14.8;55.4;211.8;176.1;21.8
168;A-U Alle economische activiteiten;2022;138753;120956;17797.6;24.6;547.9;161447;338.8;28.0;111.9;14.8;54.6;216.6;175.4;21.7
169;A-U Alle economische activiteiten;2023;127504;111964;15540.1;24.1;546.4;149953;320.4;27.7;112.1;14.4;54.6;209.5;173.6;21.1
170;A Landbouw, bosbouw en visserij;1990;10314;10304;10.1;32.3;584.0;35213;96.9;5.4;330.1;21.7;0.0;29.2;108.1;8.1
171;A Landbouw, bosbouw en visserij;1991;11208;11197;10.5;32.8;593.1;36501;99.3;5.3;343.6;22.5;0.0;14.7;97.5;7.7
172;A Landbouw, bosbouw en visserij;1992;10931;10918;12.5;33.3;589.5;36260;98.9;5.1;280.1;18.8;0.0;14.7;91.2;7.6
173;A Landbouw, bosbouw en visserij;1993;11410;11397;12.6;32.4;585.4;36395;101.7;5.0;306.5;20.4;0.0;15.0;85.2;7.6
174;A Landbouw, bosbouw en visserij;1994;10848;10836;12.3;31.3;565.8;34982;103.1;5.1;274.8;18.6;0.0;15.1;79.2;7.6
175;A Landbouw, bosbouw en visserij;1995;10964;10951;12.4;31.9;561.3;35146;98.7;5.2;204.2;14.3;0.0;26.4;75.5;7.9
176;A Landbouw, bosbouw en visserij;1996;11616;11603;12.5;32.0;550.3;35512;93.8;5.1;162.7;11.8;0.0;15.2;72.7;8.1
177;A Landbouw, bosbouw en visserij;1997;10194;10182;12.4;31.3;527.3;33258;91.2;5.2;159.0;11.5;0.0;14.8;73.3;8.1
178;A Landbouw, bosbouw en visserij;1998;10115;10102;12.6;29.3;518.2;32400;90.1;5.4;143.7;10.6;0.0;14.8;74.2;8.2
179;A Landbouw, bosbouw en visserij;1999;9856;9843;12.9;28.3;511.9;31701;88.4;5.3;138.5;10.2;0.0;14.9;75.1;8.4
180;A Landbouw, bosbouw en visserij;2000;10228;10215;13.0;25.7;494.2;30934;89.4;5.6;159.5;11.5;0.0;24.2;79.1;8.2
181;A Landbouw, bosbouw en visserij;2001;9892;9879;12.4;24.5;490.4;30205;85.7;5.9;151.6;11.0;0.0;23.9;76.9;8.3
182;A Landbouw, bosbouw en visserij;2002;9325;9313;11.9;22.5;464.8;28397;81.2;5.3;144.5;10.4;0.0;23.1;75.1;8.1
183;A Landbouw, bosbouw en visserij;2003;9417;9406;11.4;22.0;456.2;28129;80.9;5.9;141.2;10.2;0.0;23.0;81.7;7.4
184;A Landbouw, bosbouw en visserij;2004;9556;9544;11.9;21.2;456.1;28087;79.0;5.7;140.2;10.1;0.0;22.6;74.7;7.7
185;A Landbouw, bosbouw en visserij;2005;9818;9787;30.7;20.9;455.7;28264;79.0;5.9;138.0;10.0;0.0;22.7;73.2;8.0
