ID;Bedrijfstype;RegioS;VerblijfsaccommodatieTotaal_1;Verblijfsrecreatie_2;AangeslotenBijSVR_3;Ontvangstmogelijkheden_4;VerhuurVanRecreatiegoederen_5;VerwerkingEigenProductenTotaal_6;Kaas_7;ZuivelAndersDanKaas_8;Wijn_9;ProductenUitGroentenOfFruit_10;VerwerkingEigenProductenOverig_11;VerkoopAanHuisTotaal_12;Kaas_13;ZuivelAndersDanKaas_14;Wijn_15;Fruit_16;Groenten_17;Aardappelen_18;Sierteeltproducten_19;VerkoopAanHuisOverig_20;DuurzameEnergieproductieTotaal_21;DuurzameEnergieproductieEigenGebruik_22;DuurzameEnergieproductieVoorDerden_23;DuurzameEnergieEigenEnVoorDerden_24;EigenGebruik_25;LeveringAanDerden_26;EigenGebruikEnLeveringAanDerden_27;EigenGebruik_28;LeveringAanDerden_29;EigenGebruikEnLeveringAanDerden_30;EigenGebruik_31;LeveringAanDerden_32;EigenGebruikEnLeveringAanDerden_33;EigenGebruik_34;LeveringAanDerden_35;EigenGebruikEnLeveringAanDerden_36;EigenGebruik_37;LeveringAanDerden_38;EigenGebruikEnLeveringAanDerden_39;EigenGebruik_40;LeveringAanDerden_41;EigenGebruikEnLeveringAanDerden_42;EigenGebruik_43;LeveringAanDerden_44;EigenGebruikEnLeveringAanDerden_45;EigenGebruik_46;LeveringAanDerden_47;EigenGebruikEnLeveringAanDerden_48;ZorgtakenTotaal_49;Dagbesteding_50;WonenWerken_51;Arbeidstoeleiding_52;AgrNLBOvereenkomstTotaal_53;GeslotenMetMinisterieLNV_54;GeslotenMetProvincialeInstellingen_55;GeslotenMetGemeentelijkeInstellingen_56;GeslotenMetNatuurmonumenten_57;GeslotenMetStaatsbosbeheer_58;GeslotenMetOverigeOrganisaties_59;MetLoonwerkVoorDerden_60;MetAquacultuur_61;MetStallingmogelijkheden_62;MetNestbescherming_63;AangeslotenBijAgrNatuurvereniging_64;VerbredeLandbouwTotaal_65;TotaalAgrarischeBedrijven_66
10;Alle bedrijfstypen;Gelderland;400;240;80;147;97;123;37;37;3;25;50;821;89;63;16;208;114;260;163;275;262;242;18;2;6;5;0;33;2;2;51;1;1;7;1;1;0;1;1;5;0;0;121;1;0;44;0;1;97;77;19;28;1504;1168;176;58;50;69;402;576;19;621;2911;1270;3202;14532
11;Alle bedrijfstypen;Utrecht;92;38;11;54;15;64;49;14;0;2;9;214;49;31;10;73;24;42;37;61;109;96;11;2;3;0;0;25;0;0;6;0;0;0;1;1;0;0;1;2;0;0;72;0;0;12;1;0;21;13;7;6;615;216;171;21;27;29;286;249;5;296;931;715;1135;3404
12;Alle bedrijfstypen;Noord-Holland;238;147;46;71;51;137;32;21;1;23;83;440;70;28;4;74;69;153;126;85;299;262;35;2;7;54;14;33;1;0;34;0;0;1;0;0;1;0;0;0;0;0;111;0;0;82;0;0;31;23;5;12;748;325;110;16;35;94;417;459;28;381;1744;1206;1803;6225
13;Alle bedrijfstypen;Zuid-Holland;198;83;13;94;49;198;130;31;1;17;43;554;132;53;8;72;87;173;114;93;208;196;11;1;5;1;1;18;0;0;15;0;0;0;0;1;2;1;0;3;0;0;70;0;0;102;2;0;41;35;10;13;955;402;179;29;47;67;505;602;25;410;1729;1469;2148;9501
14;Alle bedrijfstypen;Zeeland;329;286;24;45;37;59;12;8;5;14;29;431;36;16;10;128;78;226;61;86;43;39;4;0;0;7;2;6;1;0;2;0;1;3;1;1;2;1;0;0;1;0;14;0;0;4;0;1;7;5;0;2;461;351;70;10;12;22;139;461;3;283;567;391;1416;3784
15;Alle bedrijfstypen;Noord-Brabant;328;187;53;140;76;154;41;20;4;52;57;1082;115;41;12;159;349;288;231;295;263;248;13;1;2;12;0;25;0;0;18;0;0;0;0;2;0;1;0;29;1;0;141;0;0;51;0;0;54;40;15;13;1021;632;186;29;52;120;299;662;35;674;2210;1122;3076;15136
16;Alle bedrijfstypen;Limburg;206;135;37;72;30;89;14;10;5;22;51;847;74;27;19;217;350;286;127;212;98;92;6;0;1;0;0;4;1;0;9;0;0;3;1;0;1;1;0;10;0;0;47;2;0;22;1;1;24;20;4;4;857;688;105;18;45;51;265;292;12;250;896;490;1837;5907
17;Alle bedrijfstypen;Bouwhoek en Hogeland;31;19;5;10;6;40;5;2;0;4;31;124;13;2;1;9;23;89;11;16;124;111;12;1;0;50;6;18;1;1;15;0;0;0;0;0;0;0;0;1;0;0;34;0;0;11;0;1;6;3;1;5;268;178;30;6;5;20;101;172;5;64;650;252;601;2049
18;Alle bedrijfstypen;Veenkoloniën en Oldambt;95;61;29;30;23;30;12;6;0;5;14;195;25;8;10;16;52;67;45;66;66;56;8;2;1;9;0;14;0;0;6;0;0;2;2;0;0;3;1;1;1;0;24;0;0;14;0;0;14;10;2;7;330;224;53;6;11;59;85;439;1;110;870;311;970;3848
19;Alle bedrijfstypen;Noordelijk weidegebied;250;175;63;76;56;80;34;23;0;6;33;244;54;35;5;25;30;57;47;93;453;383;65;5;3;74;8;128;1;2;86;1;0;3;2;1;0;0;0;2;0;0;175;0;0;41;1;0;33;26;3;12;2117;1638;313;24;68;200;591;462;9;314;3335;1198;2945;10383
20;Alle bedrijfstypen;Oostelijk veehouderijgebied;501;315;97;173;104;144;36;44;3;25;64;708;81;65;18;112;108;272;127;275;251;237;14;0;4;4;1;27;2;1;43;0;1;6;0;1;0;0;0;13;0;0;140;0;0;21;1;0;77;66;6;22;1661;1323;218;51;62;62;415;544;19;658;3791;1254;3317;15535
21;Alle bedrijfstypen;Centraal veehouderijgebied;106;67;33;35;27;31;12;11;1;3;12;168;24;25;4;16;14;42;41;58;62;55;6;1;3;2;0;11;0;0;17;1;0;2;0;0;0;0;0;2;0;0;28;1;0;3;0;0;38;25;11;17;472;368;70;23;9;27;113;180;6;246;867;269;974;4767
22;Alle bedrijfstypen;IJsselmeerpolders;50;17;5;33;12;86;10;7;0;8;68;150;17;9;5;27;28;72;25;33;275;260;14;1;2;184;33;7;1;0;16;0;0;1;0;0;0;0;1;1;0;0;33;0;0;11;1;0;11;8;4;3;192;123;39;2;2;11;73;373;5;97;684;266;874;2611
23;Alle bedrijfstypen;Westelijk Holland;272;169;47;86;52;181;69;29;0;31;76;596;102;43;8;76;98;194;179;94;309;274;34;1;8;30;1;29;1;0;36;0;0;0;0;1;1;1;0;3;0;0;96;0;0;136;2;0;28;24;5;13;596;235;100;29;41;52;332;523;38;429;1931;1360;1900;10327
24;Alle bedrijfstypen;Waterland en Droogmakerijen;44;16;3;21;13;14;7;7;1;0;4;76;13;9;1;13;8;25;12;21;62;50;10;2;3;1;0;14;0;0;4;0;0;0;0;0;1;0;0;0;0;0;21;0;0;32;0;0;12;9;2;3;348;187;40;1;10;52;194;74;3;89;468;362;495;1155
25;Alle bedrijfstypen;Hollands/Utrechts weidegebied;128;44;8;71;30;139;120;21;0;3;12;257;106;45;8;60;24;35;35;69;136;123;11;2;2;0;1;22;0;0;8;0;0;1;1;0;0;0;1;2;0;0;94;0;0;19;0;0;34;24;12;10;1098;378;241;24;43;52;615;345;5;317;1408;1389;1672;4413
26;Alle bedrijfstypen;Rivierengebied;104;44;12;56;23;53;19;14;1;10;21;406;44;24;6;156;53;98;76;105;105;97;7;1;2;2;0;16;0;1;7;0;0;1;1;1;0;1;1;2;0;0;43;0;0;34;1;1;31;23;6;6;459;320;70;8;16;26;138;291;5;237;759;426;1194;4823
27;Alle bedrijfstypen;Zuidwestelijk akkerbouwgebied;374;310;29;60;48;92;20;11;6;22;48;673;60;20;11;179;121;360;95;120;69;64;5;0;1;10;2;7;1;0;3;0;1;3;1;1;3;2;0;1;1;0;24;0;0;12;0;1;16;14;2;3;637;428;115;16;23;51;199;794;14;418;893;574;2162;6037
28;Alle bedrijfstypen;Zuidwest Brabant;45;20;4;17;21;28;5;5;2;16;7;238;27;7;3;45;94;68;48;51;35;35;0;0;1;3;0;5;0;0;1;0;0;0;0;0;0;0;0;2;0;0;16;0;0;7;0;0;8;5;2;4;92;21;21;12;9;24;22;120;8;104;308;164;473;2410
29;Alle bedrijfstypen;Zuidelijk veehouderijgebied;364;216;58;156;70;154;36;16;4;41;68;1291;114;42;20;197;525;300;269;360;285;267;16;1;1;5;0;22;1;0;25;0;0;1;1;2;0;1;0;35;1;0;150;1;0;59;1;1;56;42;15;10;1075;717;183;23;60;121;306;530;31;644;2453;1240;3203;15849
30;Alle bedrijfstypen;Zuid-Limburg;99;75;24;24;11;34;4;4;3;12;19;254;26;11;6;108;58;137;22;68;17;16;1;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;11;1;0;2;0;0;8;7;1;2;558;503;61;9;20;15;166;134;5;108;123;97;788;1294
31;Maaidorsbare gewassenbedr. (vanaf 1998);Nederland;26;24;1;3;2;3;2;0;0;0;2;22;2;0;0;2;3;11;2;7;11;8;3;0;1;2;0;4;1;0;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;1;0;1;91;68;17;3;2;2;19;86;2;53;170;88;238;1115
32;Maaidorsbare gewassenbedr. (vanaf 1998);Noord-Nederland;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;3;5;3;2;0;1;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;28;23;6;0;0;0;8;32;0;5;42;20;61;234
33;Maaidorsbare gewassenbedr. (vanaf 1998);Oost-Nederland;8;7;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;3;1;1;3;3;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;27;16;6;3;1;1;6;16;0;10;34;20;58;219
34;Maaidorsbare gewassenbedr. (vanaf 1998);West-Nederland;14;13;1;1;1;2;1;0;0;0;2;3;1;0;0;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;11;8;1;0;0;1;2;15;0;15;40;21;45;249
35;Maaidorsbare gewassenbedr. (vanaf 1998);Zuid-Nederland;3;3;0;1;1;1;1;0;0;0;0;10;1;0;0;1;2;5;1;3;2;1;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;21;4;0;1;0;3;23;2;23;54;27;74;413
36;Maaidorsbare gewassenbedr. (vanaf 1998);Groningen;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;3;2;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;18;3;0;0;0;4;25;0;1;29;15;44;173
37;Maaidorsbare gewassenbedr. (vanaf 1998);Friesland;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;1;0;0;1;4;3;4;12
38;Maaidorsbare gewassenbedr. (vanaf 1998);Drenthe;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;5;1;0;0;0;3;7;0;3;9;2;13;49
39;Maaidorsbare gewassenbedr. (vanaf 1998);Overijssel;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;4;2;1;1;3;3;0;0;10;6;16;60
40;Maaidorsbare gewassenbedr. (vanaf 1998);Flevoland;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;1;2;1;5;13
41;Maaidorsbare gewassenbedr. (vanaf 1998);Gelderland;4;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;1;2;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;2;1;0;0;3;10;0;9;22;13;37;146
42;Maaidorsbare gewassenbedr. (vanaf 1998);Utrecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
43;Maaidorsbare gewassenbedr. (vanaf 1998);Noord-Holland;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4;0;4;8;3;7;33
44;Maaidorsbare gewassenbedr. (vanaf 1998);Zuid-Holland;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;12;4;8;62
45;Maaidorsbare gewassenbedr. (vanaf 1998);Zeeland;12;12;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;10;8;1;0;0;0;2;6;0;8;20;14;30;151
46;Maaidorsbare gewassenbedr. (vanaf 1998);Noord-Brabant;3;3;0;1;1;0;0;0;0;0;0;4;1;0;0;1;1;2;0;2;2;1;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;9;2;0;0;0;1;16;2;19;40;19;44;296
47;Maaidorsbare gewassenbedr. (vanaf 1998);Limburg;0;0;0;0;0;1;1;0;0;0;0;6;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;2;0;1;0;2;7;0;4;14;8;30;117
48;Maaidorsbare gewassenbedr. (vanaf 1998);Bouwhoek en Hogeland;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;1;0;0;1;5;5;4;28
49;Maaidorsbare gewassenbedr. (vanaf 1998);Veenkoloniën en Oldambt;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;2;5;3;2;0;1;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;16;14;3;0;0;0;5;28;0;2;28;14;43;162
50;Maaidorsbare gewassenbedr. (vanaf 1998);Noordelijk weidegebied;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;9;2;0;0;0;2;3;0;1;10;2;15;42
51;Maaidorsbare gewassenbedr. (vanaf 1998);Oostelijk veehouderijgebied;5;4;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;10;6;3;1;1;6;9;0;9;22;12;41;164
52;Maaidorsbare gewassenbedr. (vanaf 1998);Centraal veehouderijgebied;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;1;0;1;1;1;6;18
53;Maaidorsbare gewassenbedr. (vanaf 1998);IJsselmeerpolders;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;0;1;3;2;6;17
54;Maaidorsbare gewassenbedr. (vanaf 1998);Westelijk Holland;2;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;5;0;4;11;2;8;48
55;Maaidorsbare gewassenbedr. (vanaf 1998);Waterland en Droogmakerijen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;5
56;Maaidorsbare gewassenbedr. (vanaf 1998);Hollands/Utrechts weidegebied;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;2;4
57;Maaidorsbare gewassenbedr. (vanaf 1998);Rivierengebied;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;11;6;7;39
58;Maaidorsbare gewassenbedr. (vanaf 1998);Zuidwestelijk akkerbouwgebied;12;12;1;0;1;2;1;0;0;0;2;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;10;8;1;0;0;0;2;11;1;12;32;20;38;209
59;Maaidorsbare gewassenbedr. (vanaf 1998);Zuidwest Brabant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;23
60;Maaidorsbare gewassenbedr. (vanaf 1998);Zuidelijk veehouderijgebied;3;3;0;1;1;1;1;0;0;0;0;6;1;0;0;1;2;3;0;2;2;1;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;13;4;0;0;0;1;16;1;15;42;21;49;319
61;Maaidorsbare gewassenbedr. (vanaf 1998);Zuid-Limburg;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;0;0;1;0;2;2;0;4;2;2;17;37
62;Gespec. hakvruchtbedrijven (vanaf 1998);Nederland;43;36;11;9;3;65;4;1;0;0;63;202;9;1;0;6;23;184;4;27;68;67;1;0;0;52;9;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;182;135;31;3;3;6;63;569;4;105;651;254;931;2963
63;Gespec. hakvruchtbedrijven (vanaf 1998);Noord-Nederland;15;11;5;5;0;19;1;0;0;0;19;87;6;0;0;2;12;80;2;7;24;23;1;0;0;17;3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;102;84;12;2;2;5;34;280;0;22;343;125;436;1365
64;Gespec. hakvruchtbedrijven (vanaf 1998);Oost-Nederland;3;2;1;1;0;9;0;0;0;0;9;35;0;0;0;0;1;31;1;7;22;22;0;0;0;20;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;20;9;0;0;0;8;114;2;21;145;43;179;515
65;Gespec. hakvruchtbedrijven (vanaf 1998);West-Nederland;22;20;2;3;3;29;2;1;0;0;28;46;3;0;0;2;5;42;0;7;22;22;0;0;0;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;24;12;8;1;0;0;7;118;1;35;104;56;205;663
66;Gespec. hakvruchtbedrijven (vanaf 1998);Zuid-Nederland;3;3;3;0;0;8;1;0;0;0;7;34;0;1;0;2;5;31;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;29;19;2;0;1;1;14;57;1;27;59;30;111;420
67;Gespec. hakvruchtbedrijven (vanaf 1998);Groningen;5;4;1;2;0;5;0;0;0;0;5;20;1;0;0;0;6;19;0;1;10;9;1;0;0;7;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;57;49;6;2;2;3;18;127;0;7;119;70;187;563
68;Gespec. hakvruchtbedrijven (vanaf 1998);Friesland;3;1;0;2;0;13;1;0;0;0;13;41;2;0;0;0;3;41;0;1;14;14;0;0;0;10;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;14;1;0;0;1;9;41;0;4;77;22;95;245
69;Gespec. hakvruchtbedrijven (vanaf 1998);Drenthe;7;6;4;1;0;1;0;0;0;0;1;26;3;0;0;2;3;20;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;21;5;0;0;1;7;112;0;11;147;33;154;557
70;Gespec. hakvruchtbedrijven (vanaf 1998);Overijssel;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;1;23;0;4;30;4;31;98
71;Gespec. hakvruchtbedrijven (vanaf 1998);Flevoland;1;1;1;0;0;9;0;0;0;0;9;10;0;0;0;0;1;7;1;2;21;21;0;0;0;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;16;8;0;0;0;5;69;2;10;91;28;108;315
