ID;GedragExporteur;Perioden;GroeiUitvoer_1;BijdrageAanTotaleGroeiUitvoer_2
53;Groei: nieuw product, bestaand land;2021;3254327.0;0.7
54;Groei: nieuw product, bestaand land;2022;;
55;Groei: nieuwe combi product/land;2012;8681442.0;2.1
56;Groei: nieuwe combi product/land;2013;8906510.0;2.1
57;Groei: nieuwe combi product/land;2014;7581796.0;1.8
58;Groei: nieuwe combi product/land;2015;;
59;Groei: nieuwe combi product/land;2016;8331402.0;2.0
60;Groei: nieuwe combi product/land;2017;10597660.0;2.5
61;Groei: nieuwe combi product/land;2018;7729186.0;1.7
62;Groei: nieuwe combi product/land;2019;9228724.0;1.9
63;Groei: nieuwe combi product/land;2020;8500454.0;1.6
64;Groei: nieuwe combi product/land;2021;13994801.0;2.9
65;Groei: nieuwe combi product/land;2022;;
66;Krimp: stoppen met uitvoeren;2012;-8868698.0;-2.2
67;Krimp: stoppen met uitvoeren;2013;-6391751.0;-1.5
68;Krimp: stoppen met uitvoeren;2014;-6072054.0;-1.4
69;Krimp: stoppen met uitvoeren;2015;;
70;Krimp: stoppen met uitvoeren;2016;-2173175.0;-0.5
71;Krimp: stoppen met uitvoeren;2017;-3838432.0;-0.9
72;Krimp: stoppen met uitvoeren;2018;-3381173.0;-0.7
73;Krimp: stoppen met uitvoeren;2019;-2540902.0;-0.5
74;Krimp: stoppen met uitvoeren;2020;-2850436.0;-0.6
75;Krimp: stoppen met uitvoeren;2021;-3910525.0;-0.8
76;Krimp: stoppen met uitvoeren;2022;;
77;Krimp: bestaande combi product/land;2012;-52732522.0;-12.9
78;Krimp: bestaande combi product/land;2013;-57379759.0;-13.4
79;Krimp: bestaande combi product/land;2014;-57207951.0;-13.2
80;Krimp: bestaande combi product/land;2015;;
81;Krimp: bestaande combi product/land;2016;-53314201.0;-12.7
82;Krimp: bestaande combi product/land;2017;-44370017.0;-10.5
83;Krimp: bestaande combi product/land;2018;-48838478.0;-10.4
84;Krimp: bestaande combi product/land;2019;-57672106.0;-11.6
85;Krimp: bestaande combi product/land;2020;-76113094.0;-14.8
86;Krimp: bestaande combi product/land;2021;-45975366.0;-9.5
87;Krimp: bestaande combi product/land;2022;;
88;Krimp: land afgestoten voor alle prod.;2012;-5825496.0;-1.4
89;Krimp: land afgestoten voor alle prod.;2013;-8523017.0;-2.0
90;Krimp: land afgestoten voor alle prod.;2014;-7556704.0;-1.7
91;Krimp: land afgestoten voor alle prod.;2015;;
92;Krimp: land afgestoten voor alle prod.;2016;-6370266.0;-1.5
93;Krimp: land afgestoten voor alle prod.;2017;-5993123.0;-1.4
94;Krimp: land afgestoten voor alle prod.;2018;-6678636.0;-1.4
95;Krimp: land afgestoten voor alle prod.;2019;-5249491.0;-1.1
96;Krimp: land afgestoten voor alle prod.;2020;-6560993.0;-1.3
97;Krimp: land afgestoten voor alle prod.;2021;-27166017.0;-5.6
98;Krimp: land afgestoten voor alle prod.;2022;;
99;Krimp: product afgestoten in alle landen;2012;-3183395.0;-0.8
100;Krimp: product afgestoten in alle landen;2013;-1953274.0;-0.5
101;Krimp: product afgestoten in alle landen;2014;-2516919.0;-0.6
102;Krimp: product afgestoten in alle landen;2015;;
103;Krimp: product afgestoten in alle landen;2016;-1955297.0;-0.5
104;Krimp: product afgestoten in alle landen;2017;-1980399.0;-0.5
105;Krimp: product afgestoten in alle landen;2018;-2083842.0;-0.4
106;Krimp: product afgestoten in alle landen;2019;-1824766.0;-0.4
107;Krimp: product afgestoten in alle landen;2020;-2104163.0;-0.4
108;Krimp: product afgestoten in alle landen;2021;-1516111.0;-0.3
109;Krimp: product afgestoten in alle landen;2022;;
110;Krimp: combi product/land afgestoten;2012;-7256284.0;-1.8
111;Krimp: combi product/land afgestoten;2013;-9203408.0;-2.1
112;Krimp: combi product/land afgestoten;2014;-8631286.0;-2.0
113;Krimp: combi product/land afgestoten;2015;;
114;Krimp: combi product/land afgestoten;2016;-7277170.0;-1.7
115;Krimp: combi product/land afgestoten;2017;-6813461.0;-1.6
116;Krimp: combi product/land afgestoten;2018;-6838005.0;-1.5
117;Krimp: combi product/land afgestoten;2019;-7360200.0;-1.5
118;Krimp: combi product/land afgestoten;2020;-6753503.0;-1.3
119;Krimp: combi product/land afgestoten;2021;-7165011.0;-1.5
120;Krimp: combi product/land afgestoten;2022;;
121;Groei of krimp onbekend;2012;6598445.0;1.6
122;Groei of krimp onbekend;2013;4624640.0;1.1
123;Groei of krimp onbekend;2014;1661812.0;0.4
124;Groei of krimp onbekend;2015;;
125;Groei of krimp onbekend;2016;-368531.0;-0.1
126;Groei of krimp onbekend;2017;17100744.0;4.0
127;Groei of krimp onbekend;2018;14752404.0;3.2
128;Groei of krimp onbekend;2019;5481867.0;1.1
129;Groei of krimp onbekend;2020;-15788490.0;-3.1
130;Groei of krimp onbekend;2021;25554940.0;5.3
131;Groei of krimp onbekend;2022;;
