ID;KnelpuntenVerkoop;SBI93Bedrijfsgrootte;BedrijvenZonderElektrVerkoopTotaal_1;BedrijvenZonderElekVerkoopfaciliteit_2;BedrijvenZonderElekVerkMetWebsite_3;BedrijvenMetElektrVerkoopTotaal_4;BedrijvenMetElektrVerkoop1_5
48;Kosten te hoog;10;21;26;20;12;12
49;Kosten te hoog;12;12;14;6;17;20
50;Kosten te hoog;13;14;17;6;12;14
51;Kosten te hoog;14;6;5;7;26;32
52;Kosten te hoog;15;11;16;9;3;0
53;Kosten te hoog;16;16;14;20;18;16
54;Kosten te hoog;17;17;14;21;18;17
55;Kosten te hoog;18;16;14;19;16;15
56;Kosten te hoog;19;18;19;14;13;12
57;Kosten te hoog;20;9;5;18;14;14
58;Kosten te hoog;21;8;5;14;12;15
59;Kosten te hoog;22;13;2;32;16;12
60;Kosten te hoog;23;6;11;4;18;18
61;Kosten te hoog;24;12;10;12;15;14
62;Kosten te hoog;25;13;11;12;15;15
63;Kosten te hoog;26;10;6;12;13;14
64;Kosten te hoog;27;9;5;11;14;12
65;Kosten te hoog;28;10;7;14;17;15
66;Kosten te hoog;29;9;8;11;16;14
67;Kosten te hoog;30;12;7;19;24;20
68;Kosten te hoog;31;8;4;14;13;16
69;Kosten te hoog;32;12;11;15;20;19
70;Kosten te hoog;33;15;16;12;15;15
71;Kosten te hoog;34;12;11;14;18;18
72;Kosten te hoog;35;17;13;19;17;14
73;Kosten te hoog;36;13;10;15;16;16
74;Kosten te hoog;37;11;8;12;10;8
75;Kosten te hoog;38;13;12;14;10;9
76;Betaling onzeker;1;8;8;9;15;15
77;Betaling onzeker;2;9;9;8;16;17
78;Betaling onzeker;3;8;7;10;13;12
79;Betaling onzeker;4;6;6;5;8;9
80;Betaling onzeker;5;6;7;0;22;22
81;Betaling onzeker;6;6;5;0;0;0
82;Betaling onzeker;11;0;0;0;0;0
83;Betaling onzeker;7;11;12;11;16;16
84;Betaling onzeker;8;14;15;14;19;18
85;Betaling onzeker;9;7;5;8;14;15
86;Betaling onzeker;10;10;12;10;8;9
87;Betaling onzeker;12;10;12;5;27;30
88;Betaling onzeker;13;11;12;4;27;33
89;Betaling onzeker;14;10;12;7;29;25
90;Betaling onzeker;15;6;12;1;12;0
91;Betaling onzeker;16;12;10;13;16;15
92;Betaling onzeker;17;13;11;13;18;18
93;Betaling onzeker;18;10;6;15;12;9
94;Betaling onzeker;19;13;19;10;4;5
95;Betaling onzeker;20;5;4;9;14;17
96;Betaling onzeker;21;3;1;10;16;21
97;Betaling onzeker;22;12;14;8;12;12
98;Betaling onzeker;23;0;0;0;8;9
99;Betaling onzeker;24;5;4;7;10;12
100;Betaling onzeker;25;5;3;7;10;11
101;Betaling onzeker;26;7;7;7;10;10
102;Betaling onzeker;27;4;7;3;14;18
103;Betaling onzeker;28;3;2;4;10;11
104;Betaling onzeker;29;2;3;1;12;13
105;Betaling onzeker;30;5;3;9;7;8
106;Betaling onzeker;31;2;1;3;2;4
107;Betaling onzeker;32;10;10;10;14;15
108;Betaling onzeker;33;8;7;7;18;19
109;Betaling onzeker;34;8;7;10;14;12
110;Betaling onzeker;35;9;7;10;12;12
111;Betaling onzeker;36;7;8;7;6;9
112;Betaling onzeker;37;5;4;5;6;6
113;Betaling onzeker;38;3;5;2;14;17
114;Rechtszekerheid transacties;1;7;7;7;12;11
115;Rechtszekerheid transacties;2;8;8;7;13;13
116;Rechtszekerheid transacties;3;6;5;7;10;10
117;Rechtszekerheid transacties;4;5;4;5;5;6
118;Rechtszekerheid transacties;5;6;7;0;17;17
119;Rechtszekerheid transacties;6;5;8;0;0;0
120;Rechtszekerheid transacties;11;0;0;0;7;0
121;Rechtszekerheid transacties;7;13;14;12;11;12
122;Rechtszekerheid transacties;8;18;18;19;12;12
123;Rechtszekerheid transacties;9;6;6;6;13;15
124;Rechtszekerheid transacties;10;7;5;7;5;5
125;Rechtszekerheid transacties;12;8;9;6;27;31
126;Rechtszekerheid transacties;13;10;11;7;36;43
127;Rechtszekerheid transacties;14;5;4;5;18;9
128;Rechtszekerheid transacties;15;10;12;8;9;0
129;Rechtszekerheid transacties;16;6;4;7;13;11
130;Rechtszekerheid transacties;17;5;4;5;15;13
131;Rechtszekerheid transacties;18;6;3;10;8;7
132;Rechtszekerheid transacties;19;7;6;8;4;5
133;Rechtszekerheid transacties;20;10;12;5;10;9
134;Rechtszekerheid transacties;21;8;10;0;13;10
135;Rechtszekerheid transacties;22;18;20;16;6;8
136;Rechtszekerheid transacties;23;4;0;6;5;8
137;Rechtszekerheid transacties;24;6;5;7;10;8
138;Rechtszekerheid transacties;25;7;5;7;11;9
139;Rechtszekerheid transacties;26;6;6;6;8;7
140;Rechtszekerheid transacties;27;7;8;4;7;9
141;Rechtszekerheid transacties;28;3;3;4;6;6
142;Rechtszekerheid transacties;29;2;2;2;6;5
143;Rechtszekerheid transacties;30;5;4;7;9;12
144;Rechtszekerheid transacties;31;2;1;4;1;0
145;Rechtszekerheid transacties;32;8;9;7;14;13
146;Rechtszekerheid transacties;33;7;6;6;13;12
147;Rechtszekerheid transacties;34;5;4;6;11;11
148;Rechtszekerheid transacties;35;10;11;9;7;8
149;Rechtszekerheid transacties;36;5;5;5;5;7
150;Rechtszekerheid transacties;37;5;2;6;4;4
151;Rechtszekerheid transacties;38;5;5;3;5;4
152;Logistiek complex;1;19;17;21;15;14
153;Logistiek complex;2;19;18;19;14;12
154;Logistiek complex;3;20;16;23;17;18
155;Logistiek complex;4;19;15;22;16;17
156;Logistiek complex;5;14;11;43;24;29
157;Logistiek complex;6;33;36;24;34;41
158;Logistiek complex;11;6;13;0;16;32
159;Logistiek complex;7;27;28;25;18;18
160;Logistiek complex;8;28;29;27;16;15
161;Logistiek complex;9;26;26;20;23;23
162;Logistiek complex;10;26;23;27;17;17
163;Logistiek complex;12;20;19;23;17;18
164;Logistiek complex;13;20;19;23;15;17
165;Logistiek complex;14;18;18;18;18;17
166;Logistiek complex;15;44;38;49;41;55
167;Logistiek complex;16;23;22;24;16;13
168;Logistiek complex;17;23;23;21;15;10
169;Logistiek complex;18;24;17;31;20;22
170;Logistiek complex;19;21;19;23;10;9
171;Logistiek complex;20;18;17;19;8;9
172;Logistiek complex;21;16;18;10;9;11
173;Logistiek complex;22;23;15;36;4;4
174;Logistiek complex;23;23;21;24;17;19
175;Logistiek complex;24;15;11;18;12;12
176;Logistiek complex;25;15;10;17;11;12
177;Logistiek complex;26;16;11;21;11;10
178;Logistiek complex;27;21;20;22;20;19
179;Logistiek complex;28;8;6;11;11;12
180;Logistiek complex;29;7;5;10;10;9
181;Logistiek complex;30;10;7;14;13;16
182;Logistiek complex;31;8;7;11;12;22
183;Logistiek complex;32;20;19;20;14;14
184;Logistiek complex;33;17;16;18;13;11
185;Logistiek complex;34;20;16;24;18;19
186;Logistiek complex;35;19;18;20;15;15
187;Logistiek complex;36;20;16;24;17;19
188;Logistiek complex;37;17;13;19;17;17
189;Logistiek complex;38;21;20;22;11;11
190;Huidige kanalen voldoen;1;20;18;20;16;16
191;Huidige kanalen voldoen;2;20;20;18;14;14
192;Huidige kanalen voldoen;3;20;15;25;19;19
193;Huidige kanalen voldoen;4;19;15;22;19;18
194;Huidige kanalen voldoen;5;18;16;36;18;15
195;Huidige kanalen voldoen;6;41;40;37;29;34
196;Huidige kanalen voldoen;11;10;20;0;34;49
197;Huidige kanalen voldoen;7;22;24;21;18;20
198;Huidige kanalen voldoen;8;20;25;14;14;14
199;Huidige kanalen voldoen;9;25;23;27;25;30
200;Huidige kanalen voldoen;10;26;24;26;18;17
201;Huidige kanalen voldoen;12;24;21;31;9;7
202;Huidige kanalen voldoen;13;22;21;22;0;0
203;Huidige kanalen voldoen;14;27;17;39;17;16
204;Huidige kanalen voldoen;15;40;35;44;36;53
205;Huidige kanalen voldoen;16;25;24;23;16;14
206;Huidige kanalen voldoen;17;26;28;20;14;12
207;Huidige kanalen voldoen;18;21;12;29;22;16
208;Huidige kanalen voldoen;19;23;20;26;18;18
209;Huidige kanalen voldoen;20;16;18;13;12;14
210;Huidige kanalen voldoen;21;15;18;6;8;11
211;Huidige kanalen voldoen;22;20;18;26;15;18
212;Huidige kanalen voldoen;23;27;36;24;25;22
213;Huidige kanalen voldoen;24;18;12;21;16;18
214;Huidige kanalen voldoen;25;18;12;22;17;19
215;Huidige kanalen voldoen;26;15;11;17;13;13
216;Huidige kanalen voldoen;27;27;14;30;14;12
217;Huidige kanalen voldoen;28;8;8;8;13;15
218;Huidige kanalen voldoen;29;7;8;5;13;15
219;Huidige kanalen voldoen;30;10;7;13;12;13
220;Huidige kanalen voldoen;31;6;6;7;16;22
221;Huidige kanalen voldoen;32;20;21;16;13;13
222;Huidige kanalen voldoen;33;20;19;19;15;15
223;Huidige kanalen voldoen;34;18;13;24;21;22
224;Huidige kanalen voldoen;35;24;18;27;15;13
225;Huidige kanalen voldoen;36;22;17;26;20;21
226;Huidige kanalen voldoen;37;16;11;20;17;15
227;Huidige kanalen voldoen;38;16;14;16;17;16
228;Producten ongeschikt;1;26;22;30;18;18
229;Producten ongeschikt;2;25;21;29;18;18
230;Producten ongeschikt;3;28;23;32;20;20
231;Producten ongeschikt;4;29;26;31;15;14
232;Producten ongeschikt;5;26;22;55;10;14
233;Producten ongeschikt;6;46;46;42;26;30
234;Producten ongeschikt;11;18;37;0;25;32
235;Producten ongeschikt;7;30;31;28;20;20
236;Producten ongeschikt;8;27;33;16;19;20
237;Producten ongeschikt;9;34;24;43;22;23
238;Producten ongeschikt;10;33;42;30;18;15
239;Producten ongeschikt;12;28;24;36;28;30
240;Producten ongeschikt;13;23;21;30;26;30
241;Producten ongeschikt;14;35;33;39;29;30
242;Producten ongeschikt;15;54;49;59;51;55
243;Producten ongeschikt;16;25;20;31;21;19
244;Producten ongeschikt;17;27;21;34;21;19
245;Producten ongeschikt;18;22;15;28;22;20
246;Producten ongeschikt;19;19;13;22;7;6
247;Producten ongeschikt;20;22;21;22;14;16
248;Producten ongeschikt;21;21;22;20;15;18
249;Producten ongeschikt;22;23;18;28;13;14
250;Producten ongeschikt;23;26;36;23;11;15
251;Producten ongeschikt;24;28;19;33;16;16
252;Producten ongeschikt;25;28;18;33;16;16
253;Producten ongeschikt;26;28;23;31;13;14
254;Producten ongeschikt;27;33;25;38;22;22
255;Producten ongeschikt;28;19;18;22;11;10
256;Producten ongeschikt;29;17;15;21;10;8
257;Producten ongeschikt;30;23;22;23;15;17
258;Producten ongeschikt;31;22;18;25;7;7
259;Producten ongeschikt;32;24;20;32;17;19
260;Producten ongeschikt;33;26;24;26;19;16
261;Producten ongeschikt;34;25;21;29;21;21
262;Producten ongeschikt;35;34;28;37;16;17
263;Producten ongeschikt;36;30;29;31;16;17
264;Producten ongeschikt;37;23;20;25;17;15
265;Producten ongeschikt;38;35;28;38;11;7
