ID;Populatie;Vervoerwijzen;KenmerkenVerplaatsing;RegioS;Perioden;Verplaatsingen_1;Afstand_2;Reisduur_3;Verplaatsingen_4;Afstand_5;Reisduur_6
23;Totaal;Totaal;Totaal;Oost-Nederland (LD);2017;2.52;31.04;58.53;874.0;10755.0;338.0
24;Totaal;Totaal;Totaal;West-Nederland (LD);2010;2.73;28.6;63.04;950.0;9941.0;365.2
25;Totaal;Totaal;Totaal;West-Nederland (LD);2011;2.64;29.4;63.52;920.0;10229.0;368.3
26;Totaal;Totaal;Totaal;West-Nederland (LD);2012;2.68;28.93;62.5;935.0;10098.0;363.6
27;Totaal;Totaal;Totaal;West-Nederland (LD);2013;2.65;29.28;62.95;922.0;10190.0;365.2
28;Totaal;Totaal;Totaal;West-Nederland (LD);2014;2.68;29.64;64.68;932.0;10314.0;375.1
29;Totaal;Totaal;Totaal;West-Nederland (LD);2015;2.57;28.13;61.67;896.0;9805.0;358.3
30;Totaal;Totaal;Totaal;West-Nederland (LD);2016;2.54;28.17;60.71;887.0;9841.0;353.5
31;Totaal;Totaal;Totaal;West-Nederland (LD);2017;2.46;27.87;59.72;854.0;9663.0;345.1
32;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2010;2.79;29.62;60.29;971.0;10293.0;349.2
33;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2011;2.7;30.92;58.93;941.0;10757.0;341.7
34;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2012;2.69;28.65;58.29;938.0;9988.0;338.6
35;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2013;2.73;31.25;60.25;949.0;10870.0;349.3
36;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2014;2.75;29.82;59.5;957.0;10370.0;344.9
37;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2015;2.63;28.98;57.57;917.0;10091.0;334.1
38;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2016;2.59;28.4;57.06;904.0;9923.0;332.3
39;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2017;2.55;29.11;55.81;883.0;10090.0;322.4
40;Totaal;Totaal;Totaal;Groningen (PV);2010;2.75;35.75;65.47;956.0;12427.0;379.3
41;Totaal;Totaal;Totaal;Groningen (PV);2011;2.68;35.85;63.57;935.0;12485.0;369.0
42;Totaal;Totaal;Totaal;Groningen (PV);2012;2.62;33.01;61.51;916.0;11522.0;357.8
43;Totaal;Totaal;Totaal;Groningen (PV);2013;2.62;31.84;57.71;910.0;11076.0;334.6
44;Totaal;Totaal;Totaal;Groningen (PV);2014;2.65;32.12;61.76;922.0;11183.0;358.4
45;Totaal;Totaal;Totaal;Groningen (PV);2015;2.6;32.39;60.21;906.0;11301.0;350.1
46;Totaal;Totaal;Totaal;Groningen (PV);2016;2.44;32.0;59.85;854.0;11187.0;348.7
47;Totaal;Totaal;Totaal;Groningen (PV);2017;2.63;32.19;60.08;912.0;11156.0;347.0
