ID;EnergyCommodities;Periods;Amount_1;ChangeYearOnYear_2;PriceIndex_3;ChangeYearOnYear_4
38;Total energy commodities;1997 April;256.0;9.6;37.7;5.8
39;Total energy commodities;1997 May;224.0;-4.9;38.4;9.1
40;Total energy commodities;1997 June;209.0;4.2;38.1;9.3
41;Total energy commodities;1997 2nd quarter;689.0;2.9;38.1;8.0
42;Total energy commodities;1997 July;203.0;1.0;37.8;4.8
43;Total energy commodities;1997 August;191.0;-4.5;38.1;4.8
44;Total energy commodities;1997 September;212.0;-1.7;37.6;1.4
45;Total energy commodities;1997 3rd quarter;605.0;-1.7;37.8;3.6
46;Total energy commodities;1997 October;252.0;4.1;38.4;1.3
47;Total energy commodities;1997 November;270.0;-3.3;37.8;1.3
48;Total energy commodities;1997 December;297.0;-9.7;37.3;-1.9
49;Total energy commodities;1997 4th quarter;819.0;-3.7;37.9;0.2
50;Total energy commodities;1997;3000.0;-3.4;38.1;6.6
51;Total energy commodities;1998 January;307.0;-14.0;37.8;-3.6
52;Total energy commodities;1998 February;268.0;0.4;37.0;-4.2
53;Total energy commodities;1998 March ;285.0;8.9;36.6;-3.3
54;Total energy commodities;1998 1st quarter;860.0;-2.9;37.1;-3.7
55;Total energy commodities;1998 April;239.0;-6.8;35.8;-5.2
56;Total energy commodities;1998 May;220.0;-1.8;36.1;-5.9
57;Total energy commodities;1998 June;212.0;1.2;35.0;-8.0
58;Total energy commodities;1998 2nd quarter;670.0;-2.7;35.6;-6.4
59;Total energy commodities;1998 July;206.0;1.6;33.4;-11.7
60;Total energy commodities;1998 August;205.0;7.6;33.5;-12.1
61;Total energy commodities;1998 September;223.0;5.3;33.3;-11.4
62;Total energy commodities;1998 3rd quarter;634.0;4.8;33.4;-11.7
63;Total energy commodities;1998 October;254.0;0.9;32.8;-14.6
64;Total energy commodities;1998 November;307.0;13.8;31.8;-15.9
65;Total energy commodities;1998 December;296.0;-0.3;31.1;-16.5
66;Total energy commodities;1998 4th quarter;858.0;4.7;31.9;-15.7
67;Total energy commodities;1998;3022.0;0.7;34.5;-9.3
68;Total energy commodities;1999 January;295.0;-3.9;30.6;-19.1
69;Total energy commodities;1999 February;287.0;6.8;30.9;-16.5
70;Total energy commodities;1999 March ;279.0;-2.1;31.9;-12.8
71;Total energy commodities;1999 1st quarter;861.0;0.1;31.1;-16.2
72;Total energy commodities;1999 April;242.0;1.5;32.7;-8.5
73;Total energy commodities;1999 May;217.0;-1.1;33.0;-8.7
74;Total energy commodities;1999 June;219.0;3.5;33.2;-5.2
75;Total energy commodities;1999 2nd quarter;680.0;1.4;33.0;-7.5
76;Total energy commodities;1999 July;208.0;0.8;35.9;7.4
77;Total energy commodities;1999 August;197.0;-3.6;36.3;8.4
78;Total energy commodities;1999 September;210.0;-5.8;37.3;11.8
79;Total energy commodities;1999 3rd quarter;617.0;-2.6;36.5;9.2
80;Total energy commodities;1999 October;241.0;-5.3;40.1;22.3
81;Total energy commodities;1999 November;281.0;-8.5;41.5;30.4
82;Total energy commodities;1999 December;315.0;6.3;42.5;36.6
83;Total energy commodities;1999 4th quarter;837.0;-2.4;41.4;29.6
84;Total energy commodities;1999;2994.0;-0.9;35.5;2.8
85;Total energy commodities;2000 January;308.0;4.3;46.1;50.6
86;Total energy commodities;2000 February;285.0;-0.7;47.3;53.2
87;Total energy commodities;2000 March;279.0;-0.2;46.8;46.7
88;Total energy commodities;2000 1st quarter;870.0;1.0;46.7;50.1
89;Total energy commodities;2000 April;237.0;-2.0;47.9;46.5
90;Total energy commodities;2000 May;228.0;4.8;51.8;57.1
91;Total energy commodities;2000 June;214.0;-2.6;50.6;52.5
92;Total energy commodities;2000 2nd quarter;680.0;0.0;50.1;52.0
93;Total energy commodities;2000 July;214.0;3.1;52.1;45.3
94;Total energy commodities;2000 August;216.0;9.4;54.6;50.3
95;Total energy commodities;2000 September;220.0;4.8;56.5;51.7
96;Total energy commodities;2000 3rd quarter;651.0;5.5;54.4;49.1
97;Total energy commodities;2000 October;260.0;8.0;58.9;46.8
98;Total energy commodities;2000 November;287.0;1.9;59.6;43.6
99;Total energy commodities;2000 December;317.0;0.7;56.3;32.4
100;Total energy commodities;2000 4th quarter;865.0;3.3;58.3;40.8
101;Total energy commodities;2000;3067.0;2.4;52.4;47.6
102;Total energy commodities;2001 January;327.0;6.3;59.8;29.8
103;Total energy commodities;2001 February;291.0;2.4;61.7;30.5
104;Total energy commodities;2001 March;310.0;11.1;60.5;29.2
105;Total energy commodities;2001 1st quarter;927.0;6.6;60.7;29.8
106;Total energy commodities;2001 April;259.0;8.9;60.8;27.0
107;Total energy commodities;2001 May;240.0;5.4;60.8;17.5
108;Total energy commodities;2001 June;206.0;-3.4;59.6;17.8
109;Total energy commodities;2001 2nd quarter;704.0;3.5;60.4;20.6
110;Total energy commodities;2001 July;211.0;-1.4;56.4;8.2
111;Total energy commodities;2001 August;228.0;5.3;56.5;3.4
112;Total energy commodities;2001 September;226.0;3.0;55.2;-2.3
113;Total energy commodities;2001 3rd quarter;665.0;2.2;56.0;3.0
114;Total energy commodities;2001 October;248.0;-4.5;51.5;-12.6
115;Total energy commodities;2001 November;283.0;-1.2;51.0;-14.4
116;Total energy commodities;2001 December;327.0;3.2;51.5;-8.5
117;Total energy commodities;2001 4th quarter;859.0;-0.7;51.4;-11.9
118;Total energy commodities;2001;3157.0;2.9;57.1;9.0
119;Total energy commodities;2002 January;325.0;-0.7;50.4;-15.7
120;Total energy commodities;2002 February;288.0;-1.2;52.4;-15.2
121;Total energy commodities;2002 March;289.0;-6.6;54.4;-10.1
122;Total energy commodities;2002 1st quarter;901.0;-2.8;52.4;-13.6
123;Total energy commodities;2002 April;253.0;-2.4;53.6;-11.9
124;Total energy commodities;2002 May;228.0;-4.9;51.8;-14.9
125;Total energy commodities;2002 June;217.0;5.2;50.5;-15.4
126;Total energy commodities;2002 2nd quarter;697.0;-1.0;51.9;-14.0
127;Total energy commodities;2002 July;221.0;4.7;52.5;-7.0
128;Total energy commodities;2002 August;215.0;-5.3;53.0;-6.0
129;Total energy commodities;2002 September;224.0;-0.8;54.1;-2.1
130;Total energy commodities;2002 3rd quarter;662.0;-0.5;53.2;-5.1
131;Total energy commodities;2002 October;285.0;14.8;54.6;6.0
132;Total energy commodities;2002 November;296.0;4.4;54.0;5.9
133;Total energy commodities;2002 December;324.0;-1.0;58.2;12.9
134;Total energy commodities;2002 4th quarter;905.0;5.4;55.6;8.3
135;Total energy commodities;2002;3166.0;0.3;53.3;-6.7
136;Total energy commodities;2003 January;341.0;4.9;61.4;21.9
137;Total energy commodities;2003 February;316.0;9.9;62.9;20.1
138;Total energy commodities;2003 March;281.0;-2.9;59.0;8.5
139;Total energy commodities;2003 1st quarter;938.0;4.1;61.1;16.7
140;Total energy commodities;2003 April;258.0;2.3;55.1;2.9
141;Total energy commodities;2003 May;252.0;10.2;55.3;6.9
142;Total energy commodities;2003 June;206.0;-5.2;56.0;11.0
143;Total energy commodities;2003 2nd quarter;716.0;2.7;55.5;6.8
144;Total energy commodities;2003 July;225.0;1.6;52.8;0.6
145;Total energy commodities;2003 August;216.0;0.1;53.7;1.2
146;Total energy commodities;2003 September;232.0;3.3;52.9;-2.2
147;Total energy commodities;2003 3rd quarter;673.0;1.7;53.1;-0.1
148;Total energy commodities;2003 October;305.0;6.9;54.4;-0.5
149;Total energy commodities;2003 November;289.0;-2.1;55.8;3.3
150;Total energy commodities;2003 December;330.0;1.7;57.5;-1.2
151;Total energy commodities;2003 4th quarter;925.0;2.2;55.9;0.5
152;Total energy commodities;2003;3251.0;2.7;56.4;5.9
153;Total energy commodities;2004 January;335.0;-1.8;57.3;-6.7
154;Total energy commodities;2004 February;316.0;-0.1;57.6;-8.4
155;Total energy commodities;2004 March;311.0;10.8;58.8;-0.5
156;Total energy commodities;2004 1st quarter;962.0;2.6;57.9;-5.3
157;Total energy commodities;2004 April;258.0;0.0;58.5;6.1
158;Total energy commodities;2004 May;242.0;-3.9;60.5;9.3
159;Total energy commodities;2004 June;234.0;13.5;59.3;5.8
160;Total energy commodities;2004 2nd quarter;734.0;2.5;59.4;7.1
161;Total energy commodities;2004 July;238.0;5.9;60.5;14.6
162;Total energy commodities;2004 August;229.0;6.0;63.1;17.6
163;Total energy commodities;2004 September;242.0;4.6;63.4;19.8
164;Total energy commodities;2004 3rd quarter;708.0;5.2;62.3;17.3
165;Total energy commodities;2004 October;266.0;-12.7;68.5;26.0
166;Total energy commodities;2004 November;301.0;4.0;65.6;17.5
167;Total energy commodities;2004 December;346.0;4.9;61.9;7.7
168;Total energy commodities;2004 4th quarter;913.0;-1.3;65.3;16.9
169;Total energy commodities;2004;3318.0;2.1;61.2;8.6
170;Total energy commodities;2005 January;331.0;-1.3;67.3;17.5
171;Total energy commodities;2005 February;318.0;0.6;68.3;18.6
172;Total energy commodities;2005 March;319.0;2.7;72.1;22.6
173;Total energy commodities;2005 1st quarter;968.0;0.6;69.2;19.6
174;Total energy commodities;2005 April;271.0;4.7;73.9;26.2
175;Total energy commodities;2005 May;256.0;5.8;72.4;19.7
176;Total energy commodities;2005 June;235.0;0.8;76.5;29.1
177;Total energy commodities;2005 2nd quarter;761.0;3.7;74.3;25.0
178;Total energy commodities;2005 July;225.0;-5.5;80.0;32.4
179;Total energy commodities;2005 August;233.0;1.7;83.2;31.7
180;Total energy commodities;2005 September;241.0;-0.8;83.4;31.6
181;Total energy commodities;2005 3rd quarter;699.0;-1.3;82.2;31.9
182;Total energy commodities;2005 October;252.0;-5.2;85.9;25.4
183;Total energy commodities;2005 November;302.0;0.5;84.5;28.8
184;Total energy commodities;2005 December;333.0;-3.6;87.8;41.9
185;Total energy commodities;2005 4th quarter;887.0;-2.8;86.1;31.8
186;Total energy commodities;2005;3316.0;-0.1;77.9;27.3
187;Total energy commodities;2006 January;352.0;6.4;95.6;42.0
188;Total energy commodities;2006 February;314.0;-1.2;94.0;37.7
189;Total energy commodities;2006 March;329.0;3.0;96.5;33.9
190;Total energy commodities;2006 1st quarter;994.0;2.7;95.4;37.8
191;Total energy commodities;2006 April;258.0;-4.6;97.0;31.3
192;Total energy commodities;2006 May;242.0;-5.4;95.9;32.4
193;Total energy commodities;2006 June;225.0;-4.5;96.1;25.6
194;Total energy commodities;2006 2nd quarter;725.0;-4.7;96.3;29.7
195;Total energy commodities;2006 July;224.0;-0.6;98.7;23.3
196;Total energy commodities;2006 August;228.0;-1.9;98.3;18.2
197;Total energy commodities;2006 September;227.0;-5.5;94.2;12.9
198;Total energy commodities;2006 3rd quarter;679.0;-2.9;97.1;18.1
199;Total energy commodities;2006 October;249.0;-1.5;92.8;8.1
200;Total energy commodities;2006 November;281.0;-6.9;94.9;12.4
201;Total energy commodities;2006 December;307.0;-7.9;94.7;7.8
202;Total energy commodities;2006 4th quarter;837.0;-5.6;94.1;9.4
203;Total energy commodities;2006;3236.0;-2.4;95.7;22.8
204;Total energy commodities;2007 January;324.0;-8.0;93.3;-2.5
205;Total energy commodities;2007 February;297.0;-5.5;92.6;-1.6
206;Total energy commodities;2007 March;292.0;-11.2;95.4;-1.1
207;Total energy commodities;2007 1st quarter;914.0;-8.0;93.7;-1.7
208;Total energy commodities;2007 April;245.0;-5.2;94.8;-2.3
209;Total energy commodities;2007 May;254.0;4.9;94.9;-1.0
210;Total energy commodities;2007 June;242.0;7.8;94.8;-1.3
211;Total energy commodities;2007 2nd quarter;741.0;2.2;94.9;-1.5
212;Total energy commodities;2007 July;244.0;9.0;99.2;0.5
213;Total energy commodities;2007 August;245.0;7.2;96.5;-1.8
214;Total energy commodities;2007 September;255.0;12.1;99.1;5.2
215;Total energy commodities;2007 3rd quarter;742.0;9.3;98.3;1.3
216;Total energy commodities;2007 October;295.0;18.7;102.0;9.9
217;Total energy commodities;2007 November;318.0;13.1;106.4;12.1
218;Total energy commodities;2007 December;345.0;12.3;106.7;12.7
219;Total energy commodities;2007 4th quarter;958.0;14.5;105.0;11.6
220;Total energy commodities;2007;3355.0;3.7;98.0;2.4
221;Total energy commodities;2008 January;338.0;4.4;109.8;17.7
222;Total energy commodities;2008 February;316.0;6.4;111.8;20.8
223;Total energy commodities;2008 March;320.0;9.4;112.6;18.0
224;Total energy commodities;2008 1st quarter;973.0;6.5;111.4;18.8
225;Total energy commodities;2008 April;273.0;11.5;118.4;24.9
226;Total energy commodities;2008 May;246.0;-3.3;124.8;31.5
227;Total energy commodities;2008 June;234.0;-3.7;132.8;40.0
228;Total energy commodities;2008 2nd quarter;751.0;1.3;125.3;32.1
229;Total energy commodities;2008 July;242.0;-0.6;143.2;44.4
230;Total energy commodities;2008 August;236.0;-3.6;137.3;42.2
231;Total energy commodities;2008 September;248.0;-2.6;130.6;31.8
232;Total energy commodities;2008 3rd quarter;725.0;-2.3;137.0;39.4
233;Total energy commodities;2008 October;283.0;-4.1;122.8;20.4
234;Total energy commodities;2008 November;284.0;-10.6;113.4;6.5
235;Total energy commodities;2008 December;318.0;-7.9;105.9;-0.7
236;Total energy commodities;2008 4th quarter;885.0;-7.6;114.1;8.6
237;Total energy commodities;2008;3334.0;-0.6;122.0;24.5
238;Total energy commodities;2009 January;342.0;1.0;99.5;-9.4
239;Total energy commodities;2009 February;303.0;-4.0;98.6;-11.8
240;Total energy commodities;2009 March;299.0;-6.5;94.9;-15.7
241;Total energy commodities;2009 1st quarter;944.0;-3.0;97.7;-12.3
242;Total energy commodities;2009 April;238.0;-12.8;85.1;-28.1
243;Total energy commodities;2009 May;237.0;-3.5;86.9;-30.4
244;Total energy commodities;2009 June;223.0;-4.5;90.3;-32.0
245;Total energy commodities;2009 2nd quarter;699.0;-6.9;87.4;-30.3
246;Total energy commodities;2009 July;235.0;-2.9;83.7;-41.5
247;Total energy commodities;2009 August;229.0;-2.9;85.2;-37.9
248;Total energy commodities;2009 September;248.0;0.0;84.0;-35.7
249;Total energy commodities;2009 3rd quarter;714.0;-1.5;84.3;-38.5
250;Total energy commodities;2009 October;279.0;-1.6;89.0;-27.6
251;Total energy commodities;2009 November;287.0;0.8;91.3;-19.4
252;Total energy commodities;2009 December;346.0;8.9;90.4;-14.6
253;Total energy commodities;2009 4th quarter;910.0;2.8;90.2;-20.9
254;Total energy commodities;2009;3266.0;-2.0;89.9;-26.3
255;Total energy commodities;2010 January;371.0;8.7;92.3;-7.2
256;Total energy commodities;2010 February;326.0;7.4;91.6;-7.1
257;Total energy commodities;2010 March;319.0;6.6;94.0;-1.0
258;Total energy commodities;2010 1st quarter;1018.0;7.8;92.6;-5.2
259;Total energy commodities;2010 April;271.0;14.1;98.7;16.0
260;Total energy commodities;2010 May;266.0;12.2;98.0;12.8
261;Total energy commodities;2010 June;240.0;7.4;98.9;9.5
262;Total energy commodities;2010 2nd quarter;776.0;11.0;98.5;12.7
263;Total energy commodities;2010 July;235.0;0.2;101.1;20.7
264;Total energy commodities;2010 August;233.0;1.9;101.7;19.4
265;Total energy commodities;2010 September;248.0;0.0;102.8;22.3
266;Total energy commodities;2010 3rd quarter;718.0;0.6;101.9;20.8
267;Total energy commodities;2010 October;290.0;4.1;103.5;16.3
268;Total energy commodities;2010 November;320.0;11.6;107.1;17.3
269;Total energy commodities;2010 December;371.0;7.3;110.4;22.1
270;Total energy commodities;2010 4th quarter;981.0;7.8;107.0;18.6
271;Total energy commodities;2010;3493.0;7.0;100.0;11.2
272;Total energy commodities;2011 January;337.0;-9.3;115.7;25.4
273;Total energy commodities;2011 February;303.0;-7.0;118.1;28.9
274;Total energy commodities;2011 March;303.0;-4.9;121.8;29.6
275;Total energy commodities;2011 1st quarter;941.0;-7.6;118.5;28.0
276;Total energy commodities;2011 April;241.0;-11.3;126.8;28.5
277;Total energy commodities;2011 May;245.0;-7.8;121.5;24.0
278;Total energy commodities;2011 June;233.0;-2.8;120.7;22.1
279;Total energy commodities;2011 2nd quarter;719.0;-7.3;123.0;24.9
280;Total energy commodities;2011 July;235.0;-0.1;123.4;22.1
281;Total energy commodities;2011 August;236.0;1.3;121.1;19.0
282;Total energy commodities;2011 September;241.0;-2.8;123.5;20.1
283;Total energy commodities;2011 3rd quarter;713.0;-0.7;122.6;20.4
284;Total energy commodities;2011 October;270.0;-6.8;126.9;22.6
285;Total energy commodities;2011 November;293.0;-8.4;128.2;19.7
286;Total energy commodities;2011 December;310.0;-16.5;129.7;17.4
287;Total energy commodities;2011 4th quarter;872.0;-11.1;128.2;19.8
288;Total energy commodities;2011;3246.0;-7.1;123.1;23.1
289;Total energy commodities;2012 January;325.0;-3.5;132.0;14.1
290;Total energy commodities;2012 February;343.0;13.1;132.7;12.4
291;Total energy commodities;2012 March;287.0;-5.3;137.1;12.6
292;Total energy commodities;2012 1st quarter;955.0;1.5;134.0;13.0
293;Total energy commodities;2012 April;267.0;11.0;135.2;6.6
294;Total energy commodities;2012 May;244.0;-0.4;130.9;7.7
295;Total energy commodities;2012 June;228.0;-1.9;126.2;4.5
296;Total energy commodities;2012 2nd quarter;740.0;2.9;130.7;6.3
297;Total energy commodities;2012 July;231.0;-1.9;130.4;5.7
298;Total energy commodities;2012 August;230.0;-2.7;134.1;10.7
299;Total energy commodities;2012 September;233.0;-3.4;134.5;9.0
300;Total energy commodities;2012 3rd quarter;694.0;-2.7;133.0;8.4
301;Total energy commodities;2012 October;273.0;0.9;134.8;6.2
302;Total energy commodities;2012 November;292.0;-0.2;134.0;4.5
303;Total energy commodities;2012 December;316.0;1.9;132.1;1.9
304;Total energy commodities;2012 4th quarter;880.0;0.9;133.6;4.2
305;Total energy commodities;2012;3269.0;0.7;132.8;7.9
306;Total energy commodities;2013 January;339.0;4.5;131.5;-0.4
307;Total energy commodities;2013 February;309.0;-10.0;131.6;-0.9
308;Total energy commodities;2013 March;321.0;11.7;130.4;-4.9
309;Total energy commodities;2013 1st quarter;968.0;1.4;131.1;-2.1
310;Total energy commodities;2013 April;261.0;-2.2;128.2;-5.2
311;Total energy commodities;2013 May;252.0;3.0;125.5;-4.1
312;Total energy commodities;2013 June;228.0;-0.2;124.5;-1.3
313;Total energy commodities;2013 2nd quarter;741.0;0.1;126.0;-3.6
314;Total energy commodities;2013 July;230.0;-0.4;126.5;-3.0
315;Total energy commodities;2013 August;230.0;0.0;126.4;-5.7
316;Total energy commodities;2013 September;235.0;0.9;126.9;-5.6
317;Total energy commodities;2013 3rd quarter;694.0;0.0;126.6;-4.8
318;Total energy commodities;2013 October;256.0;-6.0;125.4;-6.9
319;Total energy commodities;2013 November;290.0;-0.9;126.5;-5.6
320;Total energy commodities;2013 December;306.0;-3.2;127.0;-3.9
321;Total energy commodities;2013 4th quarter;852.0;-3.2;126.3;-5.5
322;Total energy commodities;2013;3255.0;-0.4;127.5;-4.0
323;Total energy commodities;2014 January;308.0;-9.2;125.0;-4.9
324;Total energy commodities;2014 February;278.0;-10.0;122.8;-6.6
325;Total energy commodities;2014 March;273.0;-14.9;118.9;-8.8
326;Total energy commodities;2014 1st quarter;859.0;-11.3;122.3;-6.8
327;Total energy commodities;2014 April;243.0;-6.8;114.8;-10.4
328;Total energy commodities;2014 May;243.0;-3.5;113.4;-9.6
329;Total energy commodities;2014 June;223.0;-2.3;113.5;-8.9
330;Total energy commodities;2014 2nd quarter;708.0;-4.5;113.9;-9.6
331;Total energy commodities;2014 July;222.0;-3.4;109.2;-13.7
332;Total energy commodities;2014 August;229.0;-0.3;108.1;-14.5
333;Total energy commodities;2014 September;229.0;-2.8;109.4;-13.8
334;Total energy commodities;2014 3rd quarter;680.0;-2.0;108.9;-14.0
335;Total energy commodities;2014 October;234.0;-8.5;108.6;-13.4
336;Total energy commodities;2014 November;263.0;-9.4;105.5;-16.6
337;Total energy commodities;2014 December;305.0;-0.3;97.2;-23.4
338;Total energy commodities;2014 4th quarter;801.0;-6.0;103.8;-17.8
339;Total energy commodities;2014;3048.0;-6.4;112.2;-12.0
340;Total energy commodities;2015 January;316.0;2.6;88.1;-29.5
341;Total energy commodities;2015 February;285.0;2.7;94.1;-23.4
342;Total energy commodities;2015 March;282.0;3.2;95.9;-19.4
343;Total energy commodities;2015 1st quarter;882.0;2.7;92.7;-24.2
344;Total energy commodities;2015 April;240.0;-1.2;96.0;-16.4
345;Total energy commodities;2015 May;226.0;-7.1;93.0;-18.0
346;Total energy commodities;2015 June;210.0;-5.8;92.6;-18.4
347;Total energy commodities;2015 2nd quarter;675.0;-4.7;93.9;-17.6
348;Total energy commodities;2015 July;231.0;4.1;90.0;-17.6
349;Total energy commodities;2015 August;224.0;-2.1;84.0;-22.2
350;Total energy commodities;2015 September;249.0;8.6;85.8;-21.7
351;Total energy commodities;2015 3rd quarter;703.0;3.4;86.6;-20.5
352;Total energy commodities;2015 October;278.0;18.7;83.1;-23.5
353;Total energy commodities;2015 November;268.0;2.2;79.4;-24.8
354;Total energy commodities;2015 December;286.0;-6.1;75.0;-22.9
355;Total energy commodities;2015 4th quarter;833.0;4.0;79.2;-23.7
356;Total energy commodities;2015;3094.0;1.5;88.1;-21.5
357;Total energy commodities;2016 January;307.0;-2.8;62.6;-29.0
358;Total energy commodities;2016 February;292.0;2.4;59.0;-37.3
359;Total energy commodities;2016 March;297.0;5.4;63.7;-33.5
360;Total energy commodities;2016 1st quarter;895.0;1.5;61.8;-33.4
361;Total energy commodities;2016 April;253.0;5.1;59.6;-37.9
362;Total energy commodities;2016 May;226.0;0.3;65.9;-29.2
363;Total energy commodities;2016 June;216.0;3.0;70.5;-23.9
364;Total energy commodities;2016 2nd quarter;695.0;3.0;65.3;-30.4
365;Total energy commodities;2016 July;222.0;-3.9;66.5;-26.1
366;Total energy commodities;2016 August;225.0;0.4;63.8;-24.1
367;Total energy commodities;2016 September;234.0;-6.0;63.3;-26.2
368;Total energy commodities;2016 3rd quarter;681.0;-3.1;64.5;-25.5
369;Total energy commodities;2016 October;268.0;-3.7;70.7;-15.0
370;Total energy commodities;2016 November;295.0;9.9;74.1;-6.7
371;Total energy commodities;2016 December;309.0;8.0;81.4;8.6
372;Total energy commodities;2016 4th quarter;871.0;4.6;75.4;-4.8
373;Total energy commodities;2016;3141.0;1.5;66.8;-24.2
374;Total energy commodities;2017 January;346.0;12.6;86.1;37.5
375;Total energy commodities;2017 February;299.0;2.3;87.6;48.5
376;Total energy commodities;2017 March;285.0;-4.0;84.6;32.7
377;Total energy commodities;2017 1st quarter;;;86.1;39.4
378;Total energy commodities;2017 April;250.0;-0.9;80.8;35.5
379;Total energy commodities;2017 May;227.0;0.5;78.3;18.9
380;Total energy commodities;2017 June;223.0;3.1;76.4;8.5
381;Total energy commodities;2017 2nd quarter;;;78.5;20.2
382;Total energy commodities;2017 July;231.0;4.2;73.5;10.5
383;Total energy commodities;2017 August;219.0;-2.9;75.0;17.5
384;Total energy commodities;2017 September;233.0;-0.1;79.7;26.0
385;Total energy commodities;2017 3rd quarter;;;76.0;17.9
386;Total energy commodities;2017 October;248.0;-7.4;81.6;15.5
387;Total energy commodities;2017 November;281.0;-4.7;85.9;16.0
388;Total energy commodities;2017 December;309.0;-0.3;82.8;1.6
389;Total energy commodities;2017 4th quarter;;;83.4;10.7
390;Total energy commodities;2017;3151.0;0.3;81.0;21.4
391;Natural gas;1995 January;182.0;10.4;40.6;4.4
392;Natural gas;1995 February;144.0;-15.5;40.5;4.1
393;Natural gas;1995 March ;161.0;8.0;40.5;4.0
394;Natural gas;1995 1st quarter;487.0;0.5;40.6;4.2
395;Natural gas;1995 April;114.0;-4.0;41.8;8.5
396;Natural gas;1995 May;86.0;-2.8;41.8;8.9
397;Natural gas;1995 June;82.0;3.4;41.8;8.6
398;Natural gas;1995 2nd quarter;283.0;-1.6;41.8;8.6
399;Natural gas;1995 July;68.0;1.9;41.0;4.4
400;Natural gas;1995 August;74.0;2.2;41.1;4.6
401;Natural gas;1995 September;87.0;-7.0;41.0;4.3
402;Natural gas;1995 3rd quarter;229.0;-1.6;41.0;4.4
403;Natural gas;1995 October;103.0;-17.3;38.7;-1.3
404;Natural gas;1995 November;143.0;18.1;38.7;-1.2
405;Natural gas;1995 December;207.0;28.7;38.6;-1.6
406;Natural gas;1995 4th quarter;453.0;11.5;38.7;-1.4
407;Natural gas;1995;1451.0;2.9;40.5;3.9
408;Natural gas;1996 January;214.0;17.9;39.2;-3.5
409;Natural gas;1996 February;197.0;37.1;39.2;-3.3
410;Natural gas;1996 March ;176.0;9.7;39.2;-3.3
411;Natural gas;1996 1st quarter;588.0;20.9;39.2;-3.4
412;Natural gas;1996 April;113.0;-1.3;41.7;-0.2
413;Natural gas;1996 May;104.0;20.7;41.7;-0.2
414;Natural gas;1996 June;77.0;-5.5;41.7;-0.2
415;Natural gas;1996 2nd quarter;294.0;4.2;41.7;-0.2
416;Natural gas;1996 July;75.0;10.7;43.7;6.7
417;Natural gas;1996 August;75.0;2.0;43.7;6.5
418;Natural gas;1996 September;93.0;7.0;43.7;6.6
419;Natural gas;1996 3rd quarter;244.0;6.5;43.7;6.6
420;Natural gas;1996 October;116.0;12.6;43.4;12.4
421;Natural gas;1996 November;152.0;6.6;43.4;12.4
422;Natural gas;1996 December;204.0;-1.8;43.4;12.4
423;Natural gas;1996 4th quarter;472.0;4.1;43.4;12.4
424;Natural gas;1996;1598.0;10.1;42.0;3.7
