ID;Gewicht;Perioden;Geborenen_1;Levendgeborenen_2;Doodgeborenen_3;Overleden1eWeek_4;PerinataleSterfteTMDag7_5;DoodgeborenenPer1000Geborenen_6;Overleden1eWeek1000Levendgeborenen_7;PerinatStTMDag71000Geborenen_8;Geborenen_9;Levendgeborenen_10;Doodgeborenen_11;NeonataleSterfte_12;PerinataleSterfteTMDag28_13;DoodgeborenenPer1000Geborenen_14;NeonataleSterfte1000Levendgeborenen_15;PerinatStTMDag281000Geborenen_16;Levendgeborenen_17;Overleden1eWeek_18;NeonataleSterfte_19;Zuigelingensterfte_20;Overleden1eWeek1000Levendgeborenen_21;NeonataleSterfte1000Levendgeborenen_22;Zuigelingensterfte1000Levendgeborenen_23
12;Totaal gewichtsklassen;2016;167260;166494;766.0;323.0;1089.0;4.6;1.9;6.5;167260;166494;766.0;401.0;1167.0;4.6;2.4;7.0;166494;323.0;401.0;548.0;1.9;2.4;3.3
13;Minder dan 500 gram;2004;245;25;220.0;21.0;242.0;899.9;874.3;987.4;245;25;220.0;21.0;242.0;899.9;874.3;987.4;25;21.0;21.0;22.0;874.3;874.3;915.9
14;Minder dan 500 gram;2005;287;48;240.0;40.0;280.0;834.5;846.8;974.7;287;48;240.0;40.0;280.0;834.5;846.8;974.7;48;40.0;40.0;41.0;846.8;846.8;868.1
15;Minder dan 500 gram;2006;271;40;230.0;37.0;268.0;851.4;924.9;988.8;271;40;230.0;37.0;268.0;851.4;924.9;988.8;40;37.0;37.0;39.0;924.9;924.9;974.6
16;Minder dan 500 gram;2007;272;48;224.0;45.0;269.0;822.8;935.6;988.6;272;48;224.0;46.0;270.0;822.8;958.0;992.6;48;45.0;46.0;46.0;935.6;958.0;958.0
17;Minder dan 500 gram;2008;304;52;252.0;52.0;304.0;829.0;1000.0;1000.0;304;52;252.0;52.0;304.0;829.0;1000.0;1000.0;52;52.0;52.0;52.0;1000.0;1000.0;1000.0
18;Minder dan 500 gram;2009;284;40;244.0;38.0;282.0;859.8;946.3;992.5;284;40;244.0;38.0;282.0;859.8;946.3;992.5;40;38.0;38.0;39.0;946.3;946.3;974.4
19;Minder dan 500 gram;2010;286;70;216.0;61.0;277.0;756.5;879.7;970.7;286;70;216.0;67.0;283.0;756.5;956.1;989.3;70;61.0;67.0;67.0;879.7;956.1;956.1
20;Minder dan 500 gram;2011;268;61;207.0;51.0;259.0;774.2;847.1;965.5;268;61;207.0;54.0;262.0;774.2;898.3;977.0;61;51.0;54.0;56.0;847.1;898.3;931.8
21;Minder dan 500 gram;2012;290;55;235.0;48.0;283.0;808.9;870.9;975.3;290;55;235.0;48.0;283.0;808.9;870.9;975.3;55;48.0;48.0;51.0;870.9;870.9;926.1
22;Minder dan 500 gram;2013;241;51;190.0;43.0;233.0;788.4;843.1;966.8;241;51;190.0;45.0;235.0;788.4;882.4;975.1;51;43.0;45.0;47.0;843.1;882.4;921.6
23;Minder dan 500 gram;2014;247;66;181.0;56.0;237.0;732.8;844.3;958.4;247;66;181.0;59.0;240.0;732.8;891.4;971.0;66;56.0;59.0;63.0;844.3;891.4;954.0
24;Minder dan 500 gram;2015;242;44;198.0;38.0;236.0;816.9;863.4;975.0;242;44;198.0;41.0;239.0;816.9;931.1;987.4;44;38.0;41.0;43.0;863.4;931.1;977.0
25;Minder dan 500 gram;2016;240;58;181.0;53.0;235.0;757.3;912.9;978.9;240;58;181.0;53.0;235.0;757.3;912.9;978.9;58;53.0;53.0;55.0;912.9;912.9;947.6
26;500 tot 1000 gram;2004;717;429;287.0;133.0;421.0;401.0;310.3;586.9;717;429;287.0;152.0;439.0;401.0;353.4;612.7;429;133.0;152.0;158.0;310.3;353.4;368.2
27;500 tot 1000 gram;2005;670;436;234.0;166.0;400.0;348.7;381.5;597.1;670;436;234.0;180.0;413.0;348.7;412.0;617.0;436;166.0;180.0;196.0;381.5;412.0;448.3
28;500 tot 1000 gram;2006;729;439;291.0;140.0;431.0;398.4;318.9;590.2;729;439;291.0;167.0;457.0;398.4;380.3;627.2;439;140.0;167.0;177.0;318.9;380.3;403.2
29;500 tot 1000 gram;2007;711;440;270.0;165.0;435.0;380.6;374.3;612.4;711;440;270.0;193.0;463.0;380.6;437.7;651.7;440;165.0;193.0;208.0;374.3;437.7;471.8
30;500 tot 1000 gram;2008;733;461;272.0;142.0;414.0;370.8;308.8;565.1;733;461;272.0;167.0;439.0;370.8;362.9;599.1;461;142.0;167.0;187.0;308.8;362.9;406.5
31;500 tot 1000 gram;2009;736;460;275.0;145.0;421.0;374.2;315.8;571.8;736;460;275.0;172.0;448.0;374.2;374.5;608.6;460;145.0;172.0;190.0;315.8;374.5;412.2
32;500 tot 1000 gram;2010;727;450;277.0;141.0;418.0;381.3;312.6;574.7;727;450;277.0;164.0;441.0;381.3;364.2;606.7;450;141.0;164.0;174.0;312.6;364.2;387.0
33;500 tot 1000 gram;2011;694;462;233.0;137.0;369.0;334.8;295.9;531.7;694;462;233.0;167.0;399.0;334.8;361.3;575.2;462;137.0;167.0;177.0;295.9;361.3;383.5
34;500 tot 1000 gram;2012;708;452;256.0;119.0;375.0;362.0;263.7;530.3;708;452;256.0;146.0;402.0;362.0;323.1;568.2;452;119.0;146.0;171.0;263.7;323.1;378.0
35;500 tot 1000 gram;2013;678;459;219.0;123.0;342.0;323.0;268.0;504.4;678;459;219.0;150.0;370.0;323.0;326.8;545.7;459;123.0;150.0;179.0;268.0;326.8;390.0
36;500 tot 1000 gram;2014;690;445;246.0;119.0;365.0;355.7;268.0;528.4;690;445;246.0;144.0;390.0;355.7;324.8;565.0;445;119.0;144.0;162.0;268.0;324.8;364.2
37;500 tot 1000 gram;2015;685;455;230.0;120.0;350.0;335.5;264.6;511.3;685;455;230.0;154.0;384.0;335.5;337.8;560.0;455;120.0;154.0;173.0;264.6;337.8;380.7
38;500 tot 1000 gram;2016;652;427;225.0;117.0;342.0;344.8;274.6;524.7;652;427;225.0;135.0;359.0;344.8;315.3;551.3;427;117.0;135.0;149.0;274.6;315.3;348.2
39;1000 tot 1500 gram;2004;809;723;86.0;35.0;121.0;106.3;47.8;149.0;809;723;86.0;49.0;134.0;106.3;67.1;166.3;723;35.0;49.0;56.0;47.8;67.1;77.1
40;1000 tot 1500 gram;2005;895;796;98.0;33.0;131.0;109.9;41.1;146.5;895;796;98.0;58.0;156.0;109.9;72.6;174.6;796;33.0;58.0;66.0;41.1;72.6;82.9
41;1000 tot 1500 gram;2006;770;681;89.0;18.0;107.0;116.1;25.8;138.9;770;681;89.0;37.0;127.0;116.1;54.6;164.4;681;18.0;37.0;46.0;25.8;54.6;68.1
42;1000 tot 1500 gram;2007;846;756;90.0;31.0;120.0;106.2;40.4;142.3;846;756;90.0;44.0;134.0;106.2;58.1;158.2;756;31.0;44.0;56.0;40.4;58.1;73.5
43;1000 tot 1500 gram;2008;828;752;76.0;17.0;94.0;92.3;22.9;113.0;828;752;76.0;31.0;107.0;92.3;40.7;129.2;752;17.0;31.0;37.0;22.9;40.7;49.1
44;1000 tot 1500 gram;2009;791;722;70.0;30.0;100.0;87.9;41.6;125.9;791;722;70.0;45.0;114.0;87.9;62.3;144.7;722;30.0;45.0;55.0;41.6;62.3;76.3
45;1000 tot 1500 gram;2010;756;704;52.0;25.0;77.0;68.6;35.3;101.5;756;704;52.0;37.0;88.0;68.6;51.9;116.9;704;25.0;37.0;49.0;35.3;51.9;69.4
46;1000 tot 1500 gram;2011;712;654;58.0;19.0;77.0;81.5;28.6;107.8;712;654;58.0;27.0;85.0;81.5;41.3;119.4;654;19.0;27.0;41.0;28.6;41.3;63.0
47;1000 tot 1500 gram;2012;702;639;63.0;23.0;86.0;90.0;36.0;122.8;702;639;63.0;32.0;95.0;90.0;50.5;136.0;639;23.0;32.0;41.0;36.0;50.5;63.4
48;1000 tot 1500 gram;2013;729;687;42.0;32.0;75.0;57.6;46.6;102.9;729;687;42.0;41.0;84.0;57.6;59.7;115.2;687;32.0;41.0;46.0;46.6;59.7;67.0
49;1000 tot 1500 gram;2014;752;696;56.0;22.0;78.0;75.0;31.0;103.7;752;696;56.0;36.0;92.0;75.0;51.6;122.7;696;22.0;36.0;51.0;31.0;51.6;72.9
50;1000 tot 1500 gram;2015;646;592;54.0;21.0;75.0;83.5;35.3;115.9;646;592;54.0;37.0;91.0;83.5;62.7;141.0;592;21.0;37.0;42.0;35.3;62.7;71.4
51;1000 tot 1500 gram;2016;670;617;54.0;11.0;64.0;80.0;17.3;95.9;670;617;54.0;18.0;71.0;80.0;28.8;106.5;617;11.0;18.0;25.0;17.3;28.8;40.2
52;1500 tot 2000 gram;2004;1656;1548;108.0;27.0;135.0;65.3;17.3;81.4;1656;1548;108.0;29.0;137.0;65.3;18.6;82.7;1548;27.0;29.0;44.0;17.3;18.6;28.3
53;1500 tot 2000 gram;2005;1614;1539;75.0;37.0;112.0;46.4;24.3;69.5;1614;1539;75.0;50.0;125.0;46.4;32.3;77.2;1539;37.0;50.0;65.0;24.3;32.3;42.4
54;1500 tot 2000 gram;2006;1647;1577;71.0;38.0;108.0;42.8;23.8;65.6;1647;1577;71.0;49.0;120.0;42.8;31.1;72.6;1577;38.0;49.0;61.0;23.8;31.1;38.7
55;1500 tot 2000 gram;2007;1468;1399;70.0;25.0;94.0;47.4;17.8;64.3;1468;1399;70.0;32.0;102.0;47.4;22.9;69.2;1399;25.0;32.0;35.0;17.8;22.9;25.2
56;1500 tot 2000 gram;2008;1493;1418;75.0;23.0;98.0;50.1;16.3;65.6;1493;1418;75.0;29.0;104.0;50.1;20.7;69.7;1418;23.0;29.0;36.0;16.3;20.7;25.1
57;1500 tot 2000 gram;2009;1511;1431;80.0;19.0;99.0;53.1;13.0;65.3;1511;1431;80.0;26.0;106.0;53.1;18.1;70.2;1431;19.0;26.0;41.0;13.0;18.1;29.0
58;1500 tot 2000 gram;2010;1520;1450;69.0;27.0;97.0;45.7;18.7;63.5;1520;1450;69.0;33.0;103.0;45.7;23.1;67.7;1450;27.0;33.0;40.0;18.7;23.1;27.3
59;1500 tot 2000 gram;2011;1452;1392;59.0;20.0;79.0;41.0;14.3;54.7;1452;1392;59.0;26.0;86.0;41.0;19.0;59.2;1392;20.0;26.0;34.0;14.3;19.0;24.1
60;1500 tot 2000 gram;2012;1337;1282;55.0;18.0;73.0;41.1;14.3;54.8;1337;1282;55.0;26.0;81.0;41.1;20.6;60.9;1282;18.0;26.0;39.0;14.3;20.6;30.3
61;1500 tot 2000 gram;2013;1418;1373;45.0;20.0;65.0;31.7;14.6;45.8;1418;1373;45.0;25.0;70.0;31.7;18.2;49.4;1373;20.0;25.0;30.0;14.6;18.2;21.8
62;1500 tot 2000 gram;2014;1467;1414;54.0;23.0;76.0;36.5;16.0;51.9;1467;1414;54.0;29.0;82.0;36.5;20.5;56.2;1414;23.0;29.0;35.0;16.0;20.5;24.8
63;1500 tot 2000 gram;2015;1311;1267;44.0;12.0;55.0;33.4;9.1;42.2;1311;1267;44.0;17.0;60.0;33.4;13.0;46.0;1267;12.0;17.0;22.0;9.1;13.0;17.1
64;1500 tot 2000 gram;2016;1442;1384;57.0;19.0;77.0;39.8;13.9;53.1;1442;1384;57.0;27.0;84.0;39.8;19.2;58.3;1384;19.0;27.0;39.0;13.9;19.2;28.3
65;2000 tot 2500 gram;2004;5551;5440;111.0;39.0;151.0;20.1;7.2;27.1;5551;5440;111.0;48.0;159.0;20.1;8.7;28.6;5440;39.0;48.0;69.0;7.2;8.7;12.6
66;2000 tot 2500 gram;2005;5256;5137;118.0;40.0;158.0;22.5;7.7;30.0;5256;5137;118.0;51.0;169.0;22.5;9.9;32.2;5137;40.0;51.0;71.0;7.7;9.9;13.8
67;2000 tot 2500 gram;2006;5183;5112;71.0;31.0;102.0;13.8;6.0;19.7;5183;5112;71.0;44.0;115.0;13.8;8.6;22.2;5112;31.0;44.0;62.0;6.0;8.6;12.2
68;2000 tot 2500 gram;2007;5105;5022;83.0;28.0;111.0;16.2;5.6;21.7;5105;5022;83.0;42.0;124.0;16.2;8.3;24.3;5022;28.0;42.0;62.0;5.6;8.3;12.3
69;2000 tot 2500 gram;2008;5136;5067;70.0;28.0;98.0;13.6;5.6;19.1;5136;5067;70.0;35.0;104.0;13.6;6.8;20.3;5067;28.0;35.0;52.0;5.6;6.8;10.3
70;2000 tot 2500 gram;2009;5172;5101;71.0;34.0;106.0;13.8;6.7;20.5;5172;5101;71.0;49.0;120.0;13.8;9.6;23.3;5101;34.0;49.0;68.0;6.7;9.6;13.4
71;2000 tot 2500 gram;2010;5199;5144;55.0;29.0;84.0;10.5;5.7;16.2;5199;5144;55.0;38.0;93.0;10.5;7.3;17.8;5144;29.0;38.0;55.0;5.7;7.3;10.8
72;2000 tot 2500 gram;2011;4966;4897;69.0;24.0;94.0;13.9;5.0;18.8;4966;4897;69.0;32.0;101.0;13.9;6.5;20.3;4897;24.0;32.0;45.0;5.0;6.5;9.2
73;2000 tot 2500 gram;2012;4994;4932;62.0;25.0;87.0;12.4;5.2;17.5;4994;4932;62.0;33.0;95.0;12.4;6.6;19.0;4932;25.0;33.0;47.0;5.2;6.6;9.6
74;2000 tot 2500 gram;2013;4883;4833;50.0;30.0;80.0;10.2;6.2;16.4;4883;4833;50.0;40.0;90.0;10.2;8.3;18.4;4833;30.0;40.0;48.0;6.2;8.3;9.9
75;2000 tot 2500 gram;2014;5099;5042;57.0;21.0;78.0;11.2;4.1;15.3;5099;5042;57.0;29.0;86.0;11.2;5.7;16.9;5042;21.0;29.0;41.0;4.1;5.7;8.1
76;2000 tot 2500 gram;2015;4847;4781;67.0;15.0;82.0;13.8;3.0;16.8;4847;4781;67.0;20.0;87.0;13.8;4.1;17.8;4781;15.0;20.0;32.0;3.0;4.1;6.7
77;2000 tot 2500 gram;2016;4758;4713;46.0;26.0;72.0;9.6;5.6;15.1;4758;4713;46.0;33.0;78.0;9.6;6.9;16.4;4713;26.0;33.0;47.0;5.6;6.9;9.9
78;2500 tot 3000 gram;2004;23413;23303;110.0;59.0;169.0;4.7;2.5;7.2;23413;23303;110.0;88.0;198.0;4.7;3.8;8.5;23303;59.0;88.0;125.0;2.5;3.8;5.3
79;2500 tot 3000 gram;2005;22803;22680;123.0;56.0;179.0;5.4;2.5;7.8;22803;22680;123.0;73.0;196.0;5.4;3.2;8.6;22680;56.0;73.0;114.0;2.5;3.2;5.0
80;2500 tot 3000 gram;2006;22470;22371;99.0;43.0;142.0;4.4;1.9;6.3;22470;22371;99.0;64.0;163.0;4.4;2.9;7.3;22371;43.0;64.0;94.0;1.9;2.9;4.2
81;2500 tot 3000 gram;2007;21945;21853;92.0;24.0;116.0;4.2;1.1;5.3;21945;21853;92.0;46.0;138.0;4.2;2.1;6.3;21853;24.0;46.0;69.0;1.1;2.1;3.1
82;2500 tot 3000 gram;2008;22071;21962;109.0;29.0;138.0;5.0;1.3;6.3;22071;21962;109.0;43.0;152.0;5.0;1.9;6.9;21962;29.0;43.0;65.0;1.3;1.9;3.0
83;2500 tot 3000 gram;2009;22681;22615;66.0;33.0;98.0;2.9;1.4;4.3;22681;22615;66.0;42.0;108.0;2.9;1.8;4.8;22615;33.0;42.0;82.0;1.4;1.8;3.6
84;2500 tot 3000 gram;2010;23252;23166;86.0;39.0;126.0;3.7;1.7;5.4;23252;23166;86.0;52.0;139.0;3.7;2.3;6.0;23166;39.0;52.0;75.0;1.7;2.3;3.2
85;2500 tot 3000 gram;2011;22623;22534;89.0;35.0;124.0;3.9;1.6;5.5;22623;22534;89.0;50.0;139.0;3.9;2.2;6.2;22534;35.0;50.0;71.0;1.6;2.2;3.2
86;2500 tot 3000 gram;2012;22375;22308;67.0;20.0;87.0;3.0;0.9;3.9;22375;22308;67.0;28.0;96.0;3.0;1.3;4.3;22308;20.0;28.0;51.0;0.9;1.3;2.3
87;2500 tot 3000 gram;2013;22518;22453;66.0;27.0;93.0;2.9;1.2;4.1;22518;22453;66.0;41.0;107.0;2.9;1.8;4.8;22453;27.0;41.0;62.0;1.2;1.8;2.8
88;2500 tot 3000 gram;2014;22796;22725;72.0;30.0;102.0;3.1;1.3;4.5;22796;22725;72.0;45.0;116.0;3.1;2.0;5.1;22725;30.0;45.0;72.0;1.3;2.0;3.2
89;2500 tot 3000 gram;2015;22117;22052;65.0;26.0;91.0;3.0;1.2;4.1;22117;22052;65.0;39.0;105.0;3.0;1.8;4.7;22052;26.0;39.0;57.0;1.2;1.8;2.6
90;2500 tot 3000 gram;2016;22222;22139;83.0;26.0;109.0;3.7;1.2;4.9;22222;22139;83.0;36.0;118.0;3.7;1.6;5.3;22139;26.0;36.0;67.0;1.2;1.6;3.0
91;3000 tot 3500 gram;2004;61901;61788;113.0;53.0;165.0;1.8;0.9;2.7;61901;61788;113.0;82.0;194.0;1.8;1.3;3.1;61788;53.0;82.0;118.0;0.9;1.3;1.9
92;3000 tot 3500 gram;2005;59763;59656;107.0;57.0;164.0;1.8;1.0;2.7;59763;59656;107.0;74.0;181.0;1.8;1.2;3.0;59656;57.0;74.0;131.0;1.0;1.2;2.2
93;3000 tot 3500 gram;2006;59581;59471;110.0;58.0;168.0;1.8;1.0;2.8;59581;59471;110.0;78.0;188.0;1.8;1.3;3.2;59471;58.0;78.0;129.0;1.0;1.3;2.2
94;3000 tot 3500 gram;2007;58608;58507;101.0;47.0;148.0;1.7;0.8;2.5;58608;58507;101.0;69.0;170.0;1.7;1.2;2.9;58507;47.0;69.0;114.0;0.8;1.2;1.9
95;3000 tot 3500 gram;2008;58775;58681;93.0;39.0;133.0;1.6;0.7;2.3;58775;58681;93.0;59.0;153.0;1.6;1.0;2.6;58681;39.0;59.0;89.0;0.7;1.0;1.5
96;3000 tot 3500 gram;2009;59842;59763;80.0;40.0;120.0;1.3;0.7;2.0;59842;59763;80.0;60.0;140.0;1.3;1.0;2.3;59763;40.0;60.0;102.0;0.7;1.0;1.7
97;3000 tot 3500 gram;2010;60515;60448;66.0;41.0;108.0;1.1;0.7;1.8;60515;60448;66.0;66.0;132.0;1.1;1.1;2.2;60448;41.0;66.0;110.0;0.7;1.1;1.8
98;3000 tot 3500 gram;2011;59589;59518;71.0;46.0;117.0;1.2;0.8;2.0;59589;59518;71.0;58.0;128.0;1.2;1.0;2.1;59518;46.0;58.0;103.0;0.8;1.0;1.7
99;3000 tot 3500 gram;2012;58792;58737;55.0;28.0;83.0;0.9;0.5;1.4;58792;58737;55.0;42.0;97.0;0.9;0.7;1.6;58737;28.0;42.0;88.0;0.5;0.7;1.5
100;3000 tot 3500 gram;2013;57667;57616;51.0;23.0;74.0;0.9;0.4;1.3;57667;57616;51.0;35.0;86.0;0.9;0.6;1.5;57616;23.0;35.0;58.0;0.4;0.6;1.0
101;3000 tot 3500 gram;2014;59474;59414;61.0;33.0;93.0;1.0;0.5;1.6;59474;59414;61.0;48.0;109.0;1.0;0.8;1.8;59414;33.0;48.0;89.0;0.5;0.8;1.5
102;3000 tot 3500 gram;2015;58423;58360;63.0;33.0;96.0;1.1;0.6;1.6;58423;58360;63.0;52.0;115.0;1.1;0.9;2.0;58360;33.0;52.0;75.0;0.6;0.9;1.3
103;3000 tot 3500 gram;2016;58618;58549;69.0;38.0;108.0;1.2;0.7;1.8;58618;58549;69.0;56.0;125.0;1.2;1.0;2.1;58549;38.0;56.0;83.0;0.7;1.0;1.4
104;3500 tot 4000 gram;2004;62508;62446;62.0;43.0;106.0;1.0;0.7;1.7;62508;62446;62.0;67.0;130.0;1.0;1.1;2.1;62446;43.0;67.0;109.0;0.7;1.1;1.7
105;3500 tot 4000 gram;2005;60452;60399;53.0;36.0;90.0;0.9;0.6;1.5;60452;60399;53.0;52.0;106.0;0.9;0.9;1.7;60399;36.0;52.0;89.0;0.6;0.9;1.5
106;3500 tot 4000 gram;2006;59415;59366;49.0;37.0;86.0;0.8;0.6;1.4;59415;59366;49.0;52.0;101.0;0.8;0.9;1.7;59366;37.0;52.0;84.0;0.6;0.9;1.4
107;3500 tot 4000 gram;2007;58286;58237;49.0;30.0;79.0;0.8;0.5;1.4;58286;58237;49.0;38.0;87.0;0.8;0.7;1.5;58237;30.0;38.0;62.0;0.5;0.7;1.1
108;3500 tot 4000 gram;2008;59979;59915;64.0;35.0;99.0;1.1;0.6;1.6;59979;59915;64.0;44.0;109.0;1.1;0.7;1.8;59915;35.0;44.0;73.0;0.6;0.7;1.2
109;3500 tot 4000 gram;2009;59298;59262;36.0;17.0;53.0;0.6;0.3;0.9;59298;59262;36.0;23.0;59.0;0.6;0.4;1.0;59262;17.0;23.0;56.0;0.3;0.4;0.9
110;3500 tot 4000 gram;2010;59099;59049;50.0;18.0;68.0;0.8;0.3;1.1;59099;59049;50.0;31.0;81.0;0.8;0.5;1.4;59049;18.0;31.0;61.0;0.3;0.5;1.0
111;3500 tot 4000 gram;2011;58233;58188;45.0;21.0;66.0;0.8;0.4;1.1;58233;58188;45.0;27.0;72.0;0.8;0.5;1.2;58188;21.0;27.0;48.0;0.4;0.5;0.8
112;3500 tot 4000 gram;2012;56709;56665;44.0;22.0;66.0;0.8;0.4;1.2;56709;56665;44.0;28.0;71.0;0.8;0.5;1.3;56665;22.0;28.0;56.0;0.4;0.5;1.0
113;3500 tot 4000 gram;2013;54883;54846;37.0;20.0;57.0;0.7;0.4;1.0;54883;54846;37.0;27.0;64.0;0.7;0.5;1.2;54846;20.0;27.0;49.0;0.4;0.5;0.9
114;3500 tot 4000 gram;2014;55796;55757;39.0;17.0;56.0;0.7;0.3;1.0;55796;55757;39.0;27.0;66.0;0.7;0.5;1.2;55757;17.0;27.0;46.0;0.3;0.5;0.8
115;3500 tot 4000 gram;2015;54895;54865;30.0;15.0;45.0;0.5;0.3;0.8;54895;54865;30.0;22.0;52.0;0.5;0.4;0.9;54865;15.0;22.0;45.0;0.3;0.4;0.8
116;3500 tot 4000 gram;2016;56247;56211;36.0;22.0;58.0;0.6;0.4;1.0;56247;56211;36.0;33.0;69.0;0.6;0.6;1.2;56211;22.0;33.0;65.0;0.4;0.6;1.2
117;4000 tot 4500 gram;2004;25202;25187;15.0;10.0;25.0;0.6;0.4;1.0;25202;25187;15.0;19.0;33.0;0.6;0.7;1.3;25187;10.0;19.0;29.0;0.4;0.7;1.2
118;4000 tot 4500 gram;2005;24253;24223;30.0;16.0;47.0;1.2;0.7;1.9;24253;24223;30.0;22.0;52.0;1.2;0.9;2.2;24223;16.0;22.0;26.0;0.7;0.9;1.1
119;4000 tot 4500 gram;2006;23831;23802;28.0;12.0;41.0;1.2;0.5;1.7;23831;23802;28.0;18.0;46.0;1.2;0.7;1.9;23802;12.0;18.0;25.0;0.5;0.7;1.1
120;4000 tot 4500 gram;2007;23265;23239;26.0;10.0;36.0;1.1;0.4;1.5;23265;23239;26.0;13.0;39.0;1.1;0.6;1.7;23239;10.0;13.0;18.0;0.4;0.6;0.8
121;4000 tot 4500 gram;2008;24141;24122;18.0;12.0;30.0;0.8;0.5;1.3;24141;24122;18.0;18.0;37.0;0.8;0.8;1.5;24122;12.0;18.0;29.0;0.5;0.8;1.2
122;4000 tot 4500 gram;2009;23469;23455;14.0;9.0;23.0;0.6;0.4;1.0;23469;23455;14.0;13.0;28.0;0.6;0.6;1.2;23455;9.0;13.0;23.0;0.4;0.6;1.0
123;4000 tot 4500 gram;2010;22521;22504;17.0;5.0;23.0;0.8;0.2;1.0;22521;22504;17.0;7.0;25.0;0.8;0.3;1.1;22504;5.0;7.0;18.0;0.2;0.3;0.8
124;4000 tot 4500 gram;2011;21575;21563;12.0;11.0;23.0;0.6;0.5;1.1;21575;21563;12.0;16.0;28.0;0.6;0.7;1.3;21563;11.0;16.0;28.0;0.5;0.7;1.3
125;4000 tot 4500 gram;2012;20614;20598;15.0;8.0;23.0;0.7;0.4;1.1;20614;20598;15.0;10.0;25.0;0.7;0.5;1.2;20598;8.0;10.0;22.0;0.4;0.5;1.1
126;4000 tot 4500 gram;2013;19337;19330;7.0;8.0;15.0;0.4;0.4;0.8;19337;19330;7.0;12.0;19.0;0.4;0.6;1.0;19330;8.0;12.0;22.0;0.4;0.6;1.1
127;4000 tot 4500 gram;2014;20058;20053;5.0;9.0;14.0;0.3;0.4;0.7;20058;20053;5.0;14.0;19.0;0.3;0.7;1.0;20053;9.0;14.0;21.0;0.4;0.7;1.0
128;4000 tot 4500 gram;2015;19252;19237;14.0;6.0;20.0;0.7;0.3;1.0;19252;19237;14.0;7.0;21.0;0.7;0.3;1.1;19237;6.0;7.0;10.0;0.3;0.3;0.5
