ID;Leeftijd;Regiokenmerken;Inwoners_1;Bijstandontvangers_2;Bijstandsdichtheid_3;Instroom_4;Instroom_5;Uitstroom_6;Uitstroom_7;UitstroomNaarWerk_8;UitstroomNaarWerk_9;PersonenMetReIntegratievoorziening_10;WerkNaReIntegratie_11;WerkNaReIntegratie_12;PersonenMetBijstandEnReIntegratie_13;BijstandontvangersMetReIntegratie_14;ReIntegratieontvangersMetBijstand_15;WSWWerknemers_16;WSWDichtheid_17
43;15 jaar of ouder;Delft en Westland (CR);192190;5420;28.0;1540;23.0;1400;21.0;670.0;11.0;1680.0;610.0;18.5;1330.0;27.5;79.5;890.0;4.5
44;15 jaar of ouder;Oost-Zuid-Holland (CR);268480;6270;23.5;2050;26.0;1600;20.5;810.0;11.5;1730.0;590.0;20.0;1210.0;21.5;70.0;1440.0;5.5
45;15 jaar of ouder;Groot-Rijnmond (CR);1187450;67300;56.5;16710;20.0;14990;18.0;6900.0;9.5;15290.0;4810.0;17.0;12080.0;20.5;79.0;4940.0;4.0
46;15 jaar of ouder;Zuidoost-Zuid-Holland (CR);331790;10470;31.5;3300;25.0;2720;20.5;1290.0;10.5;2770.0;720.0;17.5;1950.0;20.5;70.5;1820.0;5.5
47;15 jaar of ouder;Zeeuwsch-Vlaanderen (CR);90880;2100;23.0;730;26.5;600;22.0;290.0;11.5;1310.0;360.0;21.5;980.0;51.5;75.0;740.0;8.0
48;15 jaar of ouder;Overig Zeeland (CR);231080;6710;29.0;2090;24.5;1690;20.0;860.0;11.0;1910.0;550.0;19.5;1460.0;23.5;76.5;1570.0;7.0
49;15 jaar of ouder;West-Noord-Brabant (CR);531080;15340;29.0;4400;23.0;3610;19.0;1650.0;9.5;4690.0;1410.0;16.5;3630.0;26.0;77.5;4120.0;8.0
50;15 jaar of ouder;Midden-Noord-Brabant (CR);397220;12240;31.0;3740;23.5;3600;22.5;1740.0;11.5;3530.0;1190.0;23.5;2480.0;22.0;70.0;2720.0;7.0
51;15 jaar of ouder;Noordoost-Noord-Brabant (CR);546700;12480;23.0;4160;26.0;3400;21.0;1740.0;12.0;4990.0;1380.0;17.0;3610.0;32.0;72.5;5490.0;10.0
52;15 jaar of ouder;Zuidoost-Noord-Brabant (CR);643290;18250;28.5;5230;23.0;4280;19.0;2060.0;10.0;3510.0;1470.0;17.0;2520.0;15.0;72.0;4960.0;7.5
53;15 jaar of ouder;Noord-Limburg (CR);239290;6660;28.0;2120;25.0;1780;21.0;930.0;12.0;1200.0;380.0;20.0;750.0;12.5;62.5;2190.0;9.0
54;15 jaar of ouder;Midden-Limburg (CR);203370;5500;27.0;1820;25.5;1450;20.5;690.0;10.5;3470.0;860.0;18.5;2790.0;56.0;80.5;1820.0;9.0
55;15 jaar of ouder;Zuid-Limburg (CR);525890;20790;39.5;5440;21.0;5200;20.0;2360.0;9.5;7300.0;1690.0;16.0;5500.0;28.5;75.5;6080.0;11.5
56;15 jaar of ouder;Flevoland (CR);328520;12340;37.5;3990;25.0;3270;20.5;1640.0;11.0;4800.0;1410.0;18.5;3640.0;32.5;76.0;1240.0;4.0
57;15 jaar of ouder;Aa en Hunze;21710;420;19.0;180;32.0;150;27.0;90.0;16.5;160.0;30.0;12.5;90.0;22.5;56.5;130.0;6.0
58;15 jaar of ouder;Aalburg;10540;140;13.0;80;42.0;40;21.5;20.0;11.5;10.0;10.0;38.5;10.0;4.5;60.0;40.0;4.0
59;15 jaar of ouder;Aalsmeer;25520;290;11.5;100;25.5;90;23.5;30.0;9.5;180.0;50.0;18.5;140.0;53.0;79.5;40.0;1.5
60;15 jaar of ouder;Aalten;22590;380;16.5;130;26.5;90;19.0;40.0;8.5;220.0;50.0;13.5;170.0;47.5;75.5;300.0;13.5
61;15 jaar of ouder;Achtkarspelen;22780;770;33.5;200;20.0;190;20.0;90.0;9.5;390.0;90.0;16.5;310.0;41.5;78.5;220.0;10.0
62;15 jaar of ouder;Alblasserdam;16070;400;24.5;120;24.0;90;19.5;50.0;12.0;80.0;30.0;24.5;40.0;11.5;53.0;60.0;4.0
63;15 jaar of ouder;Albrandswaard;20430;330;16.0;110;28.0;70;18.0;30.0;9.0;210.0;30.0;13.5;160.0;52.0;75.5;40.0;2.0
64;15 jaar of ouder;Alkmaar;91050;3020;33.0;910;24.0;740;19.5;360.0;10.5;830.0;430.0;26.5;630.0;23.5;75.5;510.0;5.5
65;15 jaar of ouder;Almelo;60290;3680;61.0;910;20.0;790;17.5;380.0;9.5;1120.0;160.0;10.5;950.0;29.5;85.0;580.0;9.5
66;15 jaar of ouder;Almere;162100;7030;43.5;2190;24.5;1910;21.0;1000.0;12.0;2350.0;800.0;19.0;1810.0;28.5;77.0;530.0;3.5
67;15 jaar of ouder;Alphen aan den Rijn;90250;2080;23.0;770;29.0;570;21.5;300.0;12.5;540.0;230.0;23.5;400.0;21.5;75.0;530.0;6.0
68;15 jaar of ouder;Alphen-Chaam;8510;110;13.0;40;30.5;20;15.5;10.0;7.0;20.0;10.0;21.5;10.0;10.0;52.5;40.0;4.5
69;15 jaar of ouder;Ameland;3020;10;3.5;0;;0;;0.0;;0.0;0.0;;0.0;;;20.0;5.5
70;15 jaar of ouder;Amersfoort;124740;4080;32.5;1140;22.5;970;19.0;470.0;10.0;1400.0;540.0;21.5;1070.0;29.5;76.5;870.0;7.0
71;15 jaar of ouder;Amstelveen;73750;1310;18.0;400;24.5;340;21.0;170.0;12.0;700.0;200.0;20.5;530.0;46.5;76.0;120.0;1.5
72;15 jaar of ouder;Amsterdam;718500;49460;69.0;11580;19.0;10300;17.0;4710.0;9.0;19390.0;3780.0;12.5;12230.0;29.0;63.0;3340.0;4.5
73;15 jaar of ouder;Apeldoorn;134120;4190;31.0;1440;26.5;1290;23.5;510.0;10.0;2520.0;750.0;13.0;1990.0;51.0;79.0;1000.0;7.5
74;15 jaar of ouder;Appingedam;10160;520;51.5;160;23.5;170;24.5;80.0;12.0;130.0;40.0;14.0;120.0;23.5;89.0;190.0;18.5
75;15 jaar of ouder;Arnhem;130310;9330;71.5;2410;21.5;1870;17.0;880.0;8.5;770.0;270.0;16.5;430.0;5.0;56.5;1340.0;10.5
76;15 jaar of ouder;Assen;55900;2390;42.5;810;26.0;710;23.0;380.0;12.5;760.0;220.0;17.0;500.0;22.0;65.5;670.0;12.0
77;15 jaar of ouder;Asten;14110;240;17.0;70;22.5;50;17.5;30.0;10.5;30.0;20.0;15.0;20.0;9.0;74.0;90.0;6.5
78;15 jaar of ouder;Baarle-Nassau;5740;90;15.0;30;31.5;20;18.0;10.0;7.0;20.0;0.0;;10.0;12.5;41.5;30.0;4.5
79;15 jaar of ouder;Baarn;20580;410;20.0;120;23.5;110;21.0;60.0;12.5;410.0;70.0;12.0;310.0;81.5;74.0;60.0;2.5
80;15 jaar of ouder;Barendrecht;38950;600;15.5;190;26.0;160;21.5;70.0;10.0;310.0;60.0;13.0;250.0;46.0;81.5;80.0;2.0
81;15 jaar of ouder;Barneveld;44210;690;15.5;230;27.0;190;21.5;110.0;13.0;490.0;130.0;19.5;390.0;60.0;79.5;120.0;3.0
82;15 jaar of ouder;Bedum;8760;190;22.0;80;29.5;70;27.5;30.0;13.0;170.0;40.0;18.0;130.0;70.5;77.0;70.0;8.0
83;15 jaar of ouder;Beek (L.);13960;350;25.0;80;19.5;80;17.5;40.0;9.0;80.0;20.0;19.0;60.0;17.0;72.5;80.0;6.0
84;15 jaar of ouder;Beemster;7690;90;12.0;20;16.5;10;13.0;10.0;10.0;40.0;10.0;18.5;20.0;27.0;63.0;10.0;2.0
85;15 jaar of ouder;Beesel;11390;270;23.5;110;28.0;100;27.0;50.0;15.5;80.0;30.0;32.5;60.0;23.0;68.0;90.0;7.5
86;15 jaar of ouder;Bellingwedde;7770;250;32.0;140;36.5;70;19.0;30.0;9.0;160.0;20.0;6.0;130.0;55.5;84.0;110.0;14.5
87;15 jaar of ouder;Berg en Dal;29920;920;30.5;310;27.0;220;19.5;120.0;11.0;100.0;40.0;16.5;60.0;6.5;56.0;220.0;7.0
88;15 jaar of ouder;Bergeijk;15550;180;11.5;60;24.0;60;26.0;20.0;11.0;130.0;20.0;15.0;110.0;62.0;84.0;130.0;8.5
89;15 jaar of ouder;Bergen (L.);11260;210;18.5;80;28.0;50;19.5;40.0;14.5;110.0;40.0;21.5;80.0;41.0;74.0;130.0;12.0
90;15 jaar of ouder;Bergen (NH.);26040;340;13.0;100;24.0;60;14.5;30.0;6.5;130.0;10.0;9.5;90.0;29.0;72.5;70.0;2.5
91;15 jaar of ouder;Bergen op Zoom;56180;2110;37.5;580;21.5;540;20.0;230.0;9.5;600.0;150.0;16.5;430.0;22.5;71.5;500.0;9.0
92;15 jaar of ouder;Berkelland;37450;700;18.5;260;30.5;180;21.0;100.0;11.5;740.0;150.0;16.5;560.0;85.0;76.5;320.0;8.5
93;15 jaar of ouder;Bernheze;25210;330;13.0;90;24.0;60;15.0;40.0;10.0;170.0;30.0;13.0;130.0;41.0;79.5;230.0;9.0
94;15 jaar of ouder;Best;24390;500;20.5;150;23.5;140;21.5;60.0;10.5;250.0;60.0;17.0;160.0;35.0;64.0;150.0;6.0
95;15 jaar of ouder;Beuningen;21490;480;22.0;150;24.5;110;18.5;50.0;9.0;30.0;20.0;13.0;20.0;4.5;63.5;140.0;6.5
96;15 jaar of ouder;Beverwijk;33980;1160;34.5;370;24.0;350;23.0;170.0;12.0;300.0;100.0;19.5;230.0;21.0;74.5;200.0;6.0
97;15 jaar of ouder;het Bildt;8710;300;34.5;120;28.5;70;16.5;30.0;8.0;160.0;40.0;15.0;130.0;45.0;84.5;50.0;6.0
98;15 jaar of ouder;De Bilt;35490;750;21.0;200;22.0;180;19.5;80.0;10.0;230.0;70.0;21.0;170.0;24.5;73.5;70.0;2.0
99;15 jaar of ouder;Binnenmaas;24410;280;11.5;130;35.5;60;15.5;30.0;9.5;210.0;40.0;16.5;180.0;64.5;84.0;50.0;2.0
100;15 jaar of ouder;Bladel;16870;180;10.5;70;30.0;60;25.0;30.0;13.5;130.0;40.0;26.0;90.0;55.0;73.0;270.0;16.0
101;15 jaar of ouder;Blaricum;8480;130;15.5;40;27.0;40;23.5;20.0;14.0;90.0;20.0;17.0;70.0;54.0;75.0;10.0;1.0
102;15 jaar of ouder;Bloemendaal;18790;210;11.5;50;21.5;40;17.5;20.0;9.5;210.0;40.0;13.5;170.0;87.0;80.0;30.0;2.0
103;15 jaar of ouder;Bodegraven-Reeuwijk;27590;360;13.0;130;30.5;90;19.5;50.0;12.0;150.0;30.0;15.0;130.0;38.5;81.5;100.0;3.5
104;15 jaar of ouder;Boekel;8620;100;11.0;40;33.5;30;21.5;10.0;9.0;40.0;10.0;17.5;30.0;32.5;68.0;70.0;8.0
105;15 jaar of ouder;Ten Boer;5960;110;18.5;30;19.5;20;16.0;10.0;9.0;40.0;10.0;22.0;30.0;31.0;76.5;30.0;4.5
106;15 jaar of ouder;Borger-Odoorn;21730;570;26.0;200;27.0;140;19.5;70.0;9.5;320.0;110.0;25.0;250.0;46.0;80.0;220.0;10.5
107;15 jaar of ouder;Borne;18770;410;22.0;210;35.5;100;17.5;60.0;10.5;60.0;20.0;22.0;40.0;11.0;66.5;130.0;7.0
108;15 jaar of ouder;Borsele;18680;260;14.0;80;26.0;70;22.0;30.0;9.5;160.0;40.0;15.0;130.0;53.0;79.5;80.0;4.0
109;15 jaar of ouder;Boxmeer;24440;400;16.5;210;35.5;130;22.5;70.0;12.0;170.0;50.0;26.5;110.0;29.5;66.0;250.0;10.0
110;15 jaar of ouder;Boxtel;25660;510;19.5;170;24.5;170;25.5;110.0;17.0;180.0;60.0;19.5;110.0;25.5;61.5;410.0;16.0
111;15 jaar of ouder;Breda;153260;5650;37.0;1520;22.0;1210;17.5;550.0;8.5;2250.0;620.0;17.0;1920.0;37.0;85.0;1140.0;7.5
112;15 jaar of ouder;Brielle;14430;260;18.0;70;22.5;60;20.0;40.0;11.0;100.0;20.0;21.5;70.0;29.5;76.0;20.0;1.5
113;15 jaar of ouder;Bronckhorst;31080;400;13.0;170;31.5;110;21.0;50.0;9.0;210.0;50.0;17.5;130.0;35.5;64.0;190.0;6.0
114;15 jaar of ouder;Brummen;17870;360;20.0;120;26.0;100;22.0;50.0;11.0;210.0;60.0;12.0;170.0;50.5;81.0;90.0;5.0
115;15 jaar of ouder;Brunssum;24640;1080;43.5;250;18.0;270;20.0;130.0;10.5;250.0;120.0;24.5;200.0;20.0;80.0;470.0;19.0
116;15 jaar of ouder;Bunnik;12400;150;12.0;50;29.5;40;21.5;20.0;12.0;60.0;20.0;29.0;40.0;28.0;71.0;20.0;1.5
117;15 jaar of ouder;Bunschoten;16870;210;12.5;60;24.5;60;22.0;40.0;14.5;190.0;40.0;16.0;170.0;86.0;88.5;50.0;2.5
118;15 jaar of ouder;Buren;22000;260;12.0;120;34.0;90;24.5;40.0;11.5;110.0;20.0;13.5;70.0;27.5;66.5;100.0;4.5
119;15 jaar of ouder;Capelle aan den IJssel;55460;2720;49.0;790;23.0;760;22.0;370.0;11.5;1460.0;380.0;16.5;1200.0;49.5;82.0;310.0;5.5
120;15 jaar of ouder;Castricum;29970;360;12.0;120;27.5;100;22.0;50.0;11.0;200.0;50.0;16.0;170.0;47.5;81.5;50.0;1.5
121;15 jaar of ouder;Coevorden;29810;1000;33.5;300;23.0;290;22.0;150.0;12.0;530.0;230.0;20.5;450.0;47.0;85.0;200.0;7.0
122;15 jaar of ouder;Cranendonck;17630;330;18.5;150;33.5;70;16.0;30.0;7.5;70.0;50.0;44.5;50.0;18.0;79.5;100.0;6.0
123;15 jaar of ouder;Cromstrijen;10900;110;10.5;40;26.5;20;13.5;10.0;9.5;70.0;20.0;22.5;60.0;53.0;82.5;30.0;3.0
124;15 jaar of ouder;Cuijk;20840;550;26.5;180;26.0;150;22.0;80.0;12.5;80.0;80.0;35.0;50.0;11.0;68.0;270.0;13.0
125;15 jaar of ouder;Culemborg;22990;780;34.0;190;19.5;170;17.5;90.0;10.5;250.0;40.0;12.5;220.0;32.0;87.0;160.0;7.0
126;15 jaar of ouder;Dalfsen;23110;290;12.5;120;31.0;90;24.0;50.0;15.0;80.0;30.0;31.0;50.0;18.5;68.0;140.0;6.0
127;15 jaar of ouder;Dantumadiel;15740;550;35.0;150;21.5;130;18.5;70.0;11.0;100.0;30.0;17.5;70.0;13.0;71.0;210.0;13.0
128;15 jaar of ouder;Delft;88560;3730;42.0;1070;23.0;1000;21.5;470.0;11.0;1100.0;420.0;16.5;890.0;26.5;81.0;520.0;6.0
129;15 jaar of ouder;Delfzijl;21390;1120;52.5;410;27.5;290;19.5;150.0;10.5;270.0;80.0;14.5;230.0;21.5;86.5;210.0;9.5
130;15 jaar of ouder;Deurne;27060;500;18.5;150;25.0;100;17.0;50.0;9.5;60.0;40.0;22.5;40.0;9.0;75.0;200.0;7.5
131;15 jaar of ouder;Deventer;82300;3510;42.5;1050;24.0;850;19.5;400.0;9.5;1640.0;280.0;9.0;1270.0;39.0;77.5;830.0;10.0
132;15 jaar of ouder;Diemen;23140;630;27.0;160;20.5;170;21.5;90.0;13.5;290.0;90.0;21.5;160.0;31.5;56.0;90.0;4.0
133;15 jaar of ouder;Dinkelland;21950;240;11.0;120;33.5;50;15.0;20.0;6.5;90.0;10.0;9.0;70.0;29.5;74.5;120.0;5.5
134;15 jaar of ouder;Doesburg;9750;390;40.0;130;24.0;120;23.5;70.0;14.0;270.0;90.0;23.0;230.0;64.5;83.0;100.0;10.0
135;15 jaar of ouder;Doetinchem;47850;1460;30.5;450;24.5;350;19.0;150.0;9.0;420.0;150.0;21.5;250.0;18.5;60.5;410.0;8.5
136;15 jaar of ouder;Dongen;21530;350;16.0;140;29.0;120;26.0;60.0;13.5;270.0;50.0;13.5;160.0;52.0;59.0;90.0;4.0
137;15 jaar of ouder;Dongeradeel;19720;710;36.0;160;19.0;150;18.5;70.0;9.0;150.0;40.0;17.5;110.0;16.0;71.5;300.0;15.5
138;15 jaar of ouder;Dordrecht;99520;4900;49.0;1580;25.0;1330;21.0;610.0;10.5;930.0;270.0;17.0;550.0;12.5;59.5;780.0;8.0
139;15 jaar of ouder;Drechterland;16140;190;11.5;70;30.0;50;19.0;20.0;10.0;100.0;30.0;20.5;90.0;50.5;89.0;60.0;3.5
140;15 jaar of ouder;Drimmelen;22900;220;9.5;100;34.5;80;26.0;40.0;15.5;140.0;40.0;19.5;90.0;46.0;68.0;90.0;4.0
141;15 jaar of ouder;Dronten;33670;820;24.5;300;27.0;220;19.5;100.0;9.0;400.0;90.0;15.5;330.0;44.5;82.0;80.0;2.5
142;15 jaar of ouder;Druten;15540;340;22.0;110;25.0;90;21.5;50.0;11.5;60.0;20.0;18.0;50.0;14.5;74.0;120.0;7.5
143;15 jaar of ouder;Duiven;21390;520;24.5;170;25.5;140;22.0;80.0;12.5;160.0;50.0;21.5;120.0;24.0;72.5;100.0;4.5
144;15 jaar of ouder;Echt-Susteren;27760;570;20.5;210;27.0;150;19.5;70.0;10.0;240.0;40.0;14.0;150.0;29.0;63.0;230.0;8.5
145;15 jaar of ouder;Edam-Volendam;29730;380;13.0;120;26.0;90;19.0;40.0;9.5;180.0;60.0;21.5;140.0;38.5;80.0;90.0;3.0
146;15 jaar of ouder;Ede;92670;2290;24.5;730;25.5;530;18.5;280.0;11.0;1230.0;290.0;16.5;980.0;47.5;80.0;440.0;4.5
147;15 jaar of ouder;Eemnes;7480;110;14.5;30;26.5;20;15.5;10.0;8.0;50.0;10.0;15.0;40.0;45.5;82.5;20.0;2.0
148;15 jaar of ouder;Eemsmond;13210;500;38.0;180;27.5;140;21.0;60.0;9.0;490.0;90.0;13.0;400.0;82.5;82.5;220.0;17.0
149;15 jaar of ouder;Eersel;15740;190;12.0;70;30.0;50;21.0;20.0;11.5;130.0;30.0;22.5;110.0;63.0;82.5;160.0;10.5
150;15 jaar of ouder;Eijsden-Margraten;21900;250;11.5;60;20.0;50;17.0;30.0;11.5;130.0;20.0;14.0;100.0;39.0;75.0;80.0;4.0
151;15 jaar of ouder;Eindhoven;193660;8420;43.5;2250;22.0;1750;17.0;850.0;9.0;1000.0;520.0;15.5;660.0;9.0;66.5;1450.0;7.5
152;15 jaar of ouder;Elburg;18610;280;15.0;120;34.0;90;26.0;60.0;16.0;150.0;70.0;38.5;90.0;34.5;61.0;150.0;8.0
153;15 jaar of ouder;Emmen;91200;4170;46.0;1150;22.0;1060;20.0;570.0;11.5;1790.0;560.0;19.0;1460.0;36.5;81.5;1180.0;13.0
154;15 jaar of ouder;Enkhuizen;15500;410;26.5;120;22.5;130;24.5;70.0;14.0;160.0;80.0;31.0;130.0;34.5;81.5;80.0;5.0
155;15 jaar of ouder;Enschede;133700;8790;66.0;2240;20.5;2110;19.5;960.0;9.5;3230.0;780.0;17.0;2700.0;34.5;83.5;1330.0;10.0
156;15 jaar of ouder;Epe;27630;510;18.5;160;24.5;150;23.0;70.0;11.0;310.0;90.0;13.0;230.0;50.0;73.5;220.0;8.0
157;15 jaar of ouder;Ermelo;22520;380;16.5;110;22.0;120;24.5;70.0;14.0;140.0;50.0;21.0;100.0;27.0;69.5;160.0;7.0
158;15 jaar of ouder;Etten-Leur;35720;850;24.0;260;24.5;220;20.5;120.0;12.0;160.0;60.0;12.5;110.0;15.0;72.0;280.0;7.5
