ID;Eigendomsvorm;RegioS;Perioden;AantalWoningenBouwvergunningVerleend_1;GemiddeldeBouwkostenPerWoning_2;GemiddeldeInhoudPerWoning_3;GemiddeldeBouwkostenPerKubiekeMeter_4;GemiddeldeProjectgrootte_5
116;Huurwoningen;Zuid-Nederland (LD);1998;3784;51;343;149;30
117;Huurwoningen;Zuid-Nederland (LD);1999;2362;61;367;166;20
118;Huurwoningen;Zuid-Nederland (LD);2000;2198;69;391;177;18
119;Huurwoningen;Zuid-Nederland (LD);2001;1503;79;419;189;16
120;Huurwoningen;Zuid-Nederland (LD);2002;2506;80;412;194;20
121;Huurwoningen;Zuid-Nederland (LD);2003;3620;85;363;233;31
122;Huurwoningen;Zuid-Nederland (LD);2004;3231;86;388;223;24
123;Huurwoningen;Zuid-Nederland (LD);2005;5004;81;342;238;25
124;Huurwoningen;Zuid-Nederland (LD);2006;4433;93;397;234;21
125;Huurwoningen;Zuid-Nederland (LD);2007;5190;109;408;266;22
126;Huurwoningen;Zuid-Nederland (LD);2008;4504;101;397;255;18
127;Huurwoningen;Zuid-Nederland (LD);2009;4542;97;378;258;24
128;Huurwoningen;Zuid-Nederland (LD);2010;3955;104;391;266;25
129;Huurwoningen;Zuid-Nederland (LD);2011;3935;98;395;249;26
130;Huurwoningen;Zuid-Nederland (LD);2012;4522;98;379;260;16
131;Huurwoningen;Zuid-Nederland (LD);2013;2133;97;379;255;25
132;Huurwoningen;Zuid-Nederland (LD);2014;2416;98;402;242;20
133;Huurwoningen;Zuid-Nederland (LD);2015;2895;87;343;254;25
134;Huurwoningen;Zuid-Nederland (LD);2016;3031;90;348;259;20
135;Huurwoningen;Groningen (PV);1990;677;44;312;142;24
136;Huurwoningen;Groningen (PV);1991;851;42;276;154;27
137;Huurwoningen;Groningen (PV);1992;647;41;285;143;14
138;Huurwoningen;Groningen (PV);1993;759;44;283;155;20
139;Huurwoningen;Groningen (PV);1994;1037;44;287;153;22
140;Huurwoningen;Groningen (PV);1995;916;48;308;157;29
141;Huurwoningen;Groningen (PV);1996;737;46;304;151;28
142;Huurwoningen;Groningen (PV);1997;709;48;256;187;30
143;Huurwoningen;Groningen (PV);1998;323;50;308;162;18
144;Huurwoningen;Groningen (PV);1999;289;54;312;174;15
145;Huurwoningen;Groningen (PV);2000;292;65;372;176;13
146;Huurwoningen;Groningen (PV);2001;775;79;475;165;18
147;Huurwoningen;Groningen (PV);2002;401;83;356;232;9
148;Huurwoningen;Groningen (PV);2003;490;92;430;214;20
149;Huurwoningen;Groningen (PV);2004;303;86;438;197;23
150;Huurwoningen;Groningen (PV);2005;778;81;385;212;19
151;Huurwoningen;Groningen (PV);2006;1080;90;419;216;17
152;Huurwoningen;Groningen (PV);2007;1187;78;370;211;21
153;Huurwoningen;Groningen (PV);2008;692;71;289;245;31
154;Huurwoningen;Groningen (PV);2009;673;131;461;284;25
155;Huurwoningen;Groningen (PV);2010;737;104;414;251;21
156;Huurwoningen;Groningen (PV);2011;825;100;427;233;21
157;Huurwoningen;Groningen (PV);2012;487;70;274;254;32
158;Huurwoningen;Groningen (PV);2013;181;92;332;276;20
159;Huurwoningen;Groningen (PV);2014;837;88;360;244;19
160;Huurwoningen;Groningen (PV);2015;242;85;365;232;12
161;Huurwoningen;Groningen (PV);2016;938;44;165;265;39
162;Huurwoningen;Friesland (PV);1990;546;41;318;128;18
163;Huurwoningen;Friesland (PV);1991;519;40;299;135;13
164;Huurwoningen;Friesland (PV);1992;650;40;293;135;12
165;Huurwoningen;Friesland (PV);1993;767;40;299;135;15
166;Huurwoningen;Friesland (PV);1994;782;45;307;146;17
167;Huurwoningen;Friesland (PV);1995;843;46;312;148;13
168;Huurwoningen;Friesland (PV);1996;719;48;322;150;19
169;Huurwoningen;Friesland (PV);1997;361;49;312;158;11
170;Huurwoningen;Friesland (PV);1998;419;53;317;167;19
171;Huurwoningen;Friesland (PV);1999;381;61;353;173;14
172;Huurwoningen;Friesland (PV);2000;486;66;375;176;16
173;Huurwoningen;Friesland (PV);2001;357;74;391;191;11
174;Huurwoningen;Friesland (PV);2002;357;88;448;197;15
175;Huurwoningen;Friesland (PV);2003;359;102;462;222;10
176;Huurwoningen;Friesland (PV);2004;750;79;424;186;16
177;Huurwoningen;Friesland (PV);2005;444;90;400;225;9
178;Huurwoningen;Friesland (PV);2006;970;93;407;230;13
179;Huurwoningen;Friesland (PV);2007;715;90;371;242;10
180;Huurwoningen;Friesland (PV);2008;1109;97;388;249;15
181;Huurwoningen;Friesland (PV);2009;786;105;426;245;24
182;Huurwoningen;Friesland (PV);2010;319;90;435;207;11
183;Huurwoningen;Friesland (PV);2011;534;105;393;267;13
184;Huurwoningen;Friesland (PV);2012;1238;77;307;253;38
185;Huurwoningen;Friesland (PV);2013;443;95;362;264;14
186;Huurwoningen;Friesland (PV);2014;495;99;385;258;18
187;Huurwoningen;Friesland (PV);2015;432;91;350;261;18
188;Huurwoningen;Friesland (PV);2016;401;79;303;262;15
189;Huurwoningen;Drenthe (PV);1990;560;41;322;127;15
190;Huurwoningen;Drenthe (PV);1991;603;40;314;129;17
191;Huurwoningen;Drenthe (PV);1992;530;39;283;137;20
192;Huurwoningen;Drenthe (PV);1993;815;43;304;142;25
193;Huurwoningen;Drenthe (PV);1994;798;44;293;152;23
194;Huurwoningen;Drenthe (PV);1995;745;47;321;146;21
195;Huurwoningen;Drenthe (PV);1996;322;52;324;162;15
196;Huurwoningen;Drenthe (PV);1997;509;52;325;159;26
197;Huurwoningen;Drenthe (PV);1998;538;56;349;161;27
198;Huurwoningen;Drenthe (PV);1999;365;60;329;182;32
199;Huurwoningen;Drenthe (PV);2000;186;66;416;160;11
200;Huurwoningen;Drenthe (PV);2001;257;89;441;202;4
201;Huurwoningen;Drenthe (PV);2002;281;70;330;212;24
202;Huurwoningen;Drenthe (PV);2003;496;95;392;242;34
203;Huurwoningen;Drenthe (PV);2004;586;95;384;247;22
204;Huurwoningen;Drenthe (PV);2005;574;88;384;228;30
205;Huurwoningen;Drenthe (PV);2006;614;88;405;218;17
206;Huurwoningen;Drenthe (PV);2007;310;70;282;250;14
207;Huurwoningen;Drenthe (PV);2008;538;84;364;231;16
208;Huurwoningen;Drenthe (PV);2009;546;78;447;174;39
209;Huurwoningen;Drenthe (PV);2010;432;87;427;203;27
210;Huurwoningen;Drenthe (PV);2011;456;111;428;259;26
211;Huurwoningen;Drenthe (PV);2012;246;83;382;217;21
212;Huurwoningen;Drenthe (PV);2013;316;97;366;264;28
213;Huurwoningen;Drenthe (PV);2014;250;90;409;220;10
214;Huurwoningen;Drenthe (PV);2015;373;91;384;238;16
215;Huurwoningen;Drenthe (PV);2016;325;86;367;234;16
216;Huurwoningen;Overijssel (PV);1990;1258;36;286;127;19
217;Huurwoningen;Overijssel (PV);1991;1244;37;287;130;16
218;Huurwoningen;Overijssel (PV);1992;1477;38;285;134;19
219;Huurwoningen;Overijssel (PV);1993;1405;41;288;141;24
220;Huurwoningen;Overijssel (PV);1994;2379;42;304;139;29
221;Huurwoningen;Overijssel (PV);1995;2049;44;314;140;21
222;Huurwoningen;Overijssel (PV);1996;1887;50;308;162;31
223;Huurwoningen;Overijssel (PV);1997;1553;45;283;160;21
224;Huurwoningen;Overijssel (PV);1998;1105;50;295;170;28
225;Huurwoningen;Overijssel (PV);1999;872;59;326;180;25
226;Huurwoningen;Overijssel (PV);2000;720;57;369;154;18
227;Huurwoningen;Overijssel (PV);2001;646;70;398;176;16
228;Huurwoningen;Overijssel (PV);2002;652;76;357;213;17
229;Huurwoningen;Overijssel (PV);2003;577;71;330;216;17
230;Huurwoningen;Overijssel (PV);2004;1337;79;360;219;24
231;Huurwoningen;Overijssel (PV);2005;1328;79;372;214;21
232;Huurwoningen;Overijssel (PV);2006;2150;82;372;221;23
233;Huurwoningen;Overijssel (PV);2007;1669;91;387;234;25
234;Huurwoningen;Overijssel (PV);2008;1256;92;376;244;17
235;Huurwoningen;Overijssel (PV);2009;1055;89;359;248;16
236;Huurwoningen;Overijssel (PV);2010;1567;99;394;251;28
237;Huurwoningen;Overijssel (PV);2011;1147;95;386;245;16
238;Huurwoningen;Overijssel (PV);2012;1036;91;375;244;20
239;Huurwoningen;Overijssel (PV);2013;812;92;365;252;15
240;Huurwoningen;Overijssel (PV);2014;575;80;364;220;19
241;Huurwoningen;Overijssel (PV);2015;759;91;415;219;16
242;Huurwoningen;Overijssel (PV);2016;859;86;360;238;18
243;Huurwoningen;Flevoland (PV);1990;1235;39;293;133;82
244;Huurwoningen;Flevoland (PV);1991;857;44;329;134;44
245;Huurwoningen;Flevoland (PV);1992;1381;47;336;139;66
246;Huurwoningen;Flevoland (PV);1993;1339;52;398;130;45
247;Huurwoningen;Flevoland (PV);1994;1070;41;293;140;91
248;Huurwoningen;Flevoland (PV);1995;1484;43;285;150;57
249;Huurwoningen;Flevoland (PV);1996;1139;47;291;160;94
250;Huurwoningen;Flevoland (PV);1997;1618;50;281;178;67
251;Huurwoningen;Flevoland (PV);1998;512;42;316;133;43
252;Huurwoningen;Flevoland (PV);1999;1102;60;402;149;87
253;Huurwoningen;Flevoland (PV);2000;1521;44;299;146;147
254;Huurwoningen;Flevoland (PV);2001;82;77;337;228;20
255;Huurwoningen;Flevoland (PV);2002;188;73;277;264;17
256;Huurwoningen;Flevoland (PV);2003;497;75;339;222;43
257;Huurwoningen;Flevoland (PV);2004;469;52;253;207;28
258;Huurwoningen;Flevoland (PV);2005;459;88;362;242;97
259;Huurwoningen;Flevoland (PV);2006;727;74;355;208;38
260;Huurwoningen;Flevoland (PV);2007;446;72;288;249;33
261;Huurwoningen;Flevoland (PV);2008;585;97;433;223;37
262;Huurwoningen;Flevoland (PV);2009;1061;95;388;245;39
263;Huurwoningen;Flevoland (PV);2010;279;113;473;240;40
264;Huurwoningen;Flevoland (PV);2011;384;85;407;210;46
265;Huurwoningen;Flevoland (PV);2012;410;85;343;247;47
266;Huurwoningen;Flevoland (PV);2013;140;69;305;226;30
267;Huurwoningen;Flevoland (PV);2014;249;74;354;208;22
268;Huurwoningen;Flevoland (PV);2015;354;71;345;207;34
269;Huurwoningen;Flevoland (PV);2016;345;100;360;278;24
270;Huurwoningen;Gelderland (PV);1990;2373;35;292;121;17
271;Huurwoningen;Gelderland (PV);1991;2653;39;296;131;18
272;Huurwoningen;Gelderland (PV);1992;2392;38;288;130;16
273;Huurwoningen;Gelderland (PV);1993;3278;41;281;145;19
274;Huurwoningen;Gelderland (PV);1994;3635;43;284;151;24
275;Huurwoningen;Gelderland (PV);1995;3840;44;280;159;25
276;Huurwoningen;Gelderland (PV);1996;2996;46;298;154;20
277;Huurwoningen;Gelderland (PV);1997;1973;48;296;162;22
278;Huurwoningen;Gelderland (PV);1998;2027;52;311;167;27
279;Huurwoningen;Gelderland (PV);1999;1146;49;340;144;24
280;Huurwoningen;Gelderland (PV);2000;1283;63;327;193;21
281;Huurwoningen;Gelderland (PV);2001;1031;64;346;185;18
282;Huurwoningen;Gelderland (PV);2002;1386;73;340;215;18
283;Huurwoningen;Gelderland (PV);2003;2153;86;376;229;25
284;Huurwoningen;Gelderland (PV);2004;1617;94;384;245;18
285;Huurwoningen;Gelderland (PV);2005;1826;90;358;250;21
286;Huurwoningen;Gelderland (PV);2006;2270;89;364;245;18
287;Huurwoningen;Gelderland (PV);2007;2722;100;389;257;24
288;Huurwoningen;Gelderland (PV);2008;2706;97;363;268;20
289;Huurwoningen;Gelderland (PV);2009;2842;104;373;279;21
290;Huurwoningen;Gelderland (PV);2010;2707;99;380;261;25
291;Huurwoningen;Gelderland (PV);2011;2642;98;412;238;22
292;Huurwoningen;Gelderland (PV);2012;2233;102;396;256;23
293;Huurwoningen;Gelderland (PV);2013;1723;97;382;254;28
294;Huurwoningen;Gelderland (PV);2014;1839;89;395;226;21
295;Huurwoningen;Gelderland (PV);2015;2143;90;366;245;26
296;Huurwoningen;Gelderland (PV);2016;1524;85;353;240;23
297;Huurwoningen;Utrecht (PV);1990;2472;35;284;125;31
298;Huurwoningen;Utrecht (PV);1991;2449;38;274;139;29
299;Huurwoningen;Utrecht (PV);1992;1900;39;271;145;29
300;Huurwoningen;Utrecht (PV);1993;1524;38;268;144;33
301;Huurwoningen;Utrecht (PV);1994;1912;45;304;149;35
302;Huurwoningen;Utrecht (PV);1995;2520;46;296;155;38
303;Huurwoningen;Utrecht (PV);1996;1686;50;313;159;34
304;Huurwoningen;Utrecht (PV);1997;1446;48;321;148;35
305;Huurwoningen;Utrecht (PV);1998;1768;51;335;152;41
306;Huurwoningen;Utrecht (PV);1999;767;50;322;156;29
307;Huurwoningen;Utrecht (PV);2000;1433;71;410;174;42
308;Huurwoningen;Utrecht (PV);2001;930;66;375;176;33
309;Huurwoningen;Utrecht (PV);2002;1158;79;329;241;43
310;Huurwoningen;Utrecht (PV);2003;933;110;403;273;33
311;Huurwoningen;Utrecht (PV);2004;1603;62;286;215;67
312;Huurwoningen;Utrecht (PV);2005;1267;88;360;245;40
313;Huurwoningen;Utrecht (PV);2006;1386;75;311;240;36
314;Huurwoningen;Utrecht (PV);2007;1086;107;411;261;67
315;Huurwoningen;Utrecht (PV);2008;2369;102;409;250;68
316;Huurwoningen;Utrecht (PV);2009;1628;104;397;261;46
317;Huurwoningen;Utrecht (PV);2010;1247;105;443;238;31
318;Huurwoningen;Utrecht (PV);2011;1116;98;415;236;24
319;Huurwoningen;Utrecht (PV);2012;732;105;387;271;25
320;Huurwoningen;Utrecht (PV);2013;893;102;391;262;25
321;Huurwoningen;Utrecht (PV);2014;1370;91;379;239;33
322;Huurwoningen;Utrecht (PV);2015;2132;62;227;271;53
323;Huurwoningen;Utrecht (PV);2016;2646;80;307;260;64
324;Huurwoningen;Noord-Holland (PV);1990;7616;37;294;127;39
325;Huurwoningen;Noord-Holland (PV);1991;5580;39;292;135;31
326;Huurwoningen;Noord-Holland (PV);1992;6563;41;287;141;29
327;Huurwoningen;Noord-Holland (PV);1993;4533;41;282;145;25
328;Huurwoningen;Noord-Holland (PV);1994;5639;44;282;154;32
329;Huurwoningen;Noord-Holland (PV);1995;6280;47;302;154;33
330;Huurwoningen;Noord-Holland (PV);1996;4182;48;296;161;31
331;Huurwoningen;Noord-Holland (PV);1997;3422;51;296;174;30
332;Huurwoningen;Noord-Holland (PV);1998;3325;50;290;172;32
333;Huurwoningen;Noord-Holland (PV);1999;2259;55;332;166;29
334;Huurwoningen;Noord-Holland (PV);2000;2446;60;334;179;37
335;Huurwoningen;Noord-Holland (PV);2001;2821;83;368;225;25
336;Huurwoningen;Noord-Holland (PV);2002;2751;76;404;189;35
337;Huurwoningen;Noord-Holland (PV);2003;3416;88;358;245;37
338;Huurwoningen;Noord-Holland (PV);2004;3083;82;346;237;41
339;Huurwoningen;Noord-Holland (PV);2005;3739;80;338;237;26
340;Huurwoningen;Noord-Holland (PV);2006;4388;72;307;234;43
341;Huurwoningen;Noord-Holland (PV);2007;5375;99;369;267;37
342;Huurwoningen;Noord-Holland (PV);2008;5041;103;382;270;42
343;Huurwoningen;Noord-Holland (PV);2009;5598;99;355;277;44
344;Huurwoningen;Noord-Holland (PV);2010;3454;108;401;270;29
345;Huurwoningen;Noord-Holland (PV);2011;3045;111;391;284;31
346;Huurwoningen;Noord-Holland (PV);2012;2527;105;394;267;25
347;Huurwoningen;Noord-Holland (PV);2013;1771;106;385;274;25
348;Huurwoningen;Noord-Holland (PV);2014;3027;74;284;259;52
349;Huurwoningen;Noord-Holland (PV);2015;4688;80;315;255;60
350;Huurwoningen;Noord-Holland (PV);2016;2673;93;352;263;50
351;Huurwoningen;Zuid-Holland (PV);1990;7033;40;294;136;31
352;Huurwoningen;Zuid-Holland (PV);1991;7388;40;295;135;34
353;Huurwoningen;Zuid-Holland (PV);1992;7456;43;301;143;32
354;Huurwoningen;Zuid-Holland (PV);1993;6757;42;291;146;30
355;Huurwoningen;Zuid-Holland (PV);1994;7892;45;295;154;35
356;Huurwoningen;Zuid-Holland (PV);1995;9349;48;321;150;39
357;Huurwoningen;Zuid-Holland (PV);1996;5239;51;339;151;38
358;Huurwoningen;Zuid-Holland (PV);1997;5300;54;327;164;41
359;Huurwoningen;Zuid-Holland (PV);1998;5220;54;328;165;42
360;Huurwoningen;Zuid-Holland (PV);1999;4631;59;361;164;46
361;Huurwoningen;Zuid-Holland (PV);2000;3619;61;345;176;40
362;Huurwoningen;Zuid-Holland (PV);2001;2605;66;319;206;41
363;Huurwoningen;Zuid-Holland (PV);2002;3417;77;365;212;42
364;Huurwoningen;Zuid-Holland (PV);2003;3002;100;434;232;43
365;Huurwoningen;Zuid-Holland (PV);2004;4046;81;336;240;51
366;Huurwoningen;Zuid-Holland (PV);2005;3002;92;372;247;40
367;Huurwoningen;Zuid-Holland (PV);2006;5513;95;398;239;45
368;Huurwoningen;Zuid-Holland (PV);2007;4669;106;397;266;48
369;Huurwoningen;Zuid-Holland (PV);2008;4800;106;402;264;41
370;Huurwoningen;Zuid-Holland (PV);2009;6466;99;368;267;57
371;Huurwoningen;Zuid-Holland (PV);2010;4419;90;304;296;58
372;Huurwoningen;Zuid-Holland (PV);2011;3239;101;387;262;32
373;Huurwoningen;Zuid-Holland (PV);2012;1809;94;341;276;28
374;Huurwoningen;Zuid-Holland (PV);2013;2213;76;270;283;51
375;Huurwoningen;Zuid-Holland (PV);2014;2539;88;397;223;39
376;Huurwoningen;Zuid-Holland (PV);2015;3143;78;316;248;43
377;Huurwoningen;Zuid-Holland (PV);2016;2801;89;351;252;41
378;Huurwoningen;Zeeland (PV);1990;264;40;315;129;15
379;Huurwoningen;Zeeland (PV);1991;235;44;333;132;10
380;Huurwoningen;Zeeland (PV);1992;267;46;334;136;11
381;Huurwoningen;Zeeland (PV);1993;251;47;290;164;14
382;Huurwoningen;Zeeland (PV);1994;343;46;325;142;21
383;Huurwoningen;Zeeland (PV);1995;223;48;286;169;13
384;Huurwoningen;Zeeland (PV);1996;457;51;353;144;16
385;Huurwoningen;Zeeland (PV);1997;169;54;306;178;17
386;Huurwoningen;Zeeland (PV);1998;431;44;224;197;41
387;Huurwoningen;Zeeland (PV);1999;150;66;294;223;29
388;Huurwoningen;Zeeland (PV);2000;127;60;309;195;12
389;Huurwoningen;Zeeland (PV);2001;101;85;381;223;11
390;Huurwoningen;Zeeland (PV);2002;62;116;380;304;10
391;Huurwoningen;Zeeland (PV);2003;305;90;396;227;23
392;Huurwoningen;Zeeland (PV);2004;275;97;375;259;37
393;Huurwoningen;Zeeland (PV);2005;216;84;370;226;12
394;Huurwoningen;Zeeland (PV);2006;386;103;401;258;30
395;Huurwoningen;Zeeland (PV);2007;374;115;453;253;23
396;Huurwoningen;Zeeland (PV);2008;141;100;346;289;19
397;Huurwoningen;Zeeland (PV);2009;754;115;383;300;35
398;Huurwoningen;Zeeland (PV);2010;281;115;445;259;16
399;Huurwoningen;Zeeland (PV);2011;358;99;387;256;12
400;Huurwoningen;Zeeland (PV);2012;244;90;326;276;26
401;Huurwoningen;Zeeland (PV);2013;101;80;317;252;9
402;Huurwoningen;Zeeland (PV);2014;107;89;352;252;9
403;Huurwoningen;Zeeland (PV);2015;430;94;383;246;16
404;Huurwoningen;Zeeland (PV);2016;303;94;382;245;12
405;Huurwoningen;Noord-Brabant (PV);1990;3209;35;285;123;16
406;Huurwoningen;Noord-Brabant (PV);1991;2978;36;297;121;18
407;Huurwoningen;Noord-Brabant (PV);1992;3795;38;298;126;21
408;Huurwoningen;Noord-Brabant (PV);1993;3790;40;298;133;17
409;Huurwoningen;Noord-Brabant (PV);1994;5152;41;292;141;21
410;Huurwoningen;Noord-Brabant (PV);1995;3979;43;307;139;21
