ID;SeasonalAndWorkingDayAdjustment;Periods;GrossDomesticProduct_1;GrossOperatingSurplus_2;GrossNationalIncome_3;GrossDisposableIncome_4;GrossSaving_5;NetLendingOrNetBorrowing_6;ValueAdded_7;GrossOperatingSurplus_8;GrossFixedCapitalFormation_9;CompensationOfEmployees_10;FinalConsumptionExpenditure_11;GrossFixedCapitalFormation_12;TotalRevenue_13;TotalExpenditure_14;BalanceGeneralGovernmentSectorEMU_15;CompensationOfEmployees_16;PropertyIncome_17;SocialBenefitsInCash_18;OtherCurrentTransfers_19;AdjustmChangeInPensionEntitlements_20;FinalConsumptionExpenditure_21;GrossFixedCapitalFormation_22;PropertyIncome_23;CurrentTaxesOnIncomeAndWealth_24;NetSocialContributions_25;OtherCurrentTransfers_26;AdjustmChangeInPensionEntitlements_27;GrossOperatingSurplus_28;GrossDisposableIncome_29;GrossSaving_30;ImportsFromTheRestOfTheWorld_31;ReceivedPrimaryIncome_32;ReceivedCurrentTransfers_33;AdjustmChangeInPensionEntitlements_34;ReceivedCapitalTransfers_35;ExportsToTheRestOfTheWorld_36;PaidPrimaryIncome_37;PaidCurrentTransfers_38;AdjustmChangeInPensionEntitlements_39;PaidCapitalTransfers_40
20;Original, unadjusted data;2004 1st quarter;129990;55026;128767;126097;33670;6974;74327;31036;10734;43992;28300;5119;54398;57321;-2923;61640;8781;21263;6442;4297;64109;10233;3882;7884;31438;5684;0;13606;62844;3032;65228;31448;3709;18;194;75976;30225;1039;0;321
21;Original, unadjusted data;2004 2nd quarter;134167;45715;131030;129044;32181;5714;75659;23492;12283;52730;31195;5122;57918;61767;-3849;73835;14126;25370;6411;5442;65656;9709;4075;9869;32904;5763;0;13503;80634;20420;71559;30485;3089;12;244;82361;27348;1103;0;281
22;Original, unadjusted data;2004 3rd quarter;129615;55167;128276;126044;31788;6615;73970;31091;11030;43427;28466;5075;53778;56423;-2645;60731;11085;21359;6605;4938;65775;7765;4096;7996;30569;5812;0;14395;65702;4865;72821;34420;3293;15;268;82989;33081;1061;0;291
23;Original, unadjusted data;2004 4th quarter;137801;57818;135911;134109;37358;8482;76489;32650;12403;44548;31720;5729;61675;61959;-284;64443;9766;22101;6753;4576;65018;9346;4027;9429;32713;5993;0;14763;65664;5222;79367;39370;2868;13;184;91417;37480;1066;0;310
24;Original, unadjusted data;2005 1st quarter;134225;58220;132940;130028;35890;8611;76348;32841;11749;44194;29185;5022;56288;56865;-577;62049;8833;21645;7066;4986;64936;9939;3877;8319;32312;6254;0;14097;62928;2978;71665;36618;3906;17;468;84585;35333;994;0;372
25;Original, unadjusted data;2005 2nd quarter;139590;49149;135519;133726;34498;6235;79481;26234;12655;53745;32114;5234;58897;61993;-3096;75158;12202;26344;6598;4427;67103;10501;3935;10915;32599;5844;0;13671;80680;18004;78467;42144;3208;11;218;90471;38073;1415;0;319
26;Original, unadjusted data;2005 3rd quarter;135254;58203;131962;130081;32695;6041;77409;33476;12227;44369;29407;5260;56371;56935;-564;61900;12183;21939;6924;5387;67961;9656;3745;8160;31383;6190;0;14891;68359;5785;78895;41564;3422;18;235;90018;38272;1541;0;338
27;Original, unadjusted data;2005 4th quarter;144053;61833;144915;142780;42457;11669;79753;34871;12286;45310;32695;5880;65764;64374;1390;65564;10554;21755;7289;5164;67616;10054;4220;8779;34687;6580;0;15207;66103;3651;84427;47148;3759;12;683;97696;48010;1624;0;362
28;Original, unadjusted data;2006 1st quarter;143129;64774;145787;143075;43931;14606;81634;37258;12245;45074;32249;5558;61470;61645;-175;63032;9871;23123;5045;3592;66892;10442;4249;8900;33523;4529;0;15476;65346;2046;81702;43757;3859;3;180;96438;46415;1147;0;294
29;Original, unadjusted data;2006 2nd quarter;148135;54375;143336;141329;36600;6398;84134;29487;13693;55045;35307;5910;64698;66819;-2121;77081;14310;25211;5420;4298;69420;11271;5110;11337;32861;4451;0;15809;84072;18950;87000;50411;3461;2;389;100250;45612;1454;0;334
30;Original, unadjusted data;2006 3rd quarter;143199;63758;140520;138024;35714;6469;82167;37022;12790;45696;32623;5741;61142;61711;-569;63305;11972;23093;5085;3329;69686;9976;5606;9118;31783;4535;0;16706;69119;2762;86005;47292;3764;1;375;97751;44613;1268;0;263
31;Original, unadjusted data;2006 4th quarter;152981;65760;153517;150510;45674;10487;84496;36464;14755;48497;36137;6567;71113;68077;3036;69292;11059;24237;5470;1580;68714;11245;6195;9721;35042;4488;0;17244;71856;4722;92178;49885;4440;-15;371;105879;50421;1433;0;354
32;Original, unadjusted data;2007 1st quarter;152466;68683;152742;150086;46294;13486;86674;39522;13946;47845;34372;5839;65792;64756;1036;66202;10571;23455;5127;3191;69422;12345;7001;9123;33840;4699;0;17751;68443;2212;86578;52739;4142;-2;196;102450;53015;1486;0;174
33;Original, unadjusted data;2007 2nd quarter;156556;58908;150594;148774;39520;5950;89952;32816;14945;57919;37563;6123;66362;69748;-3386;80038;15794;25937;5129;4219;71694;12737;6806;12850;33047;4514;0;17392;87073;19598;92232;67654;3713;-3;307;106064;61692;1893;0;194
34;Original, unadjusted data;2007 3rd quarter;151720;69215;149994;147775;40964;8063;88395;40584;14012;48490;34548;5870;60347;64013;-3666;66007;13115;23544;5151;3445;72264;10784;7360;10314;31747;4661;0;18137;71872;3053;92621;61910;3937;-1;275;104663;60184;1718;0;228
35;Original, unadjusted data;2007 4th quarter;162033;69530;161506;158892;48129;6345;90199;38789;26499;52059;38290;6724;75347;70949;4398;73152;12504;24746;5244;2768;72493;12041;7494;11255;36271;4757;0;18866;74735;5010;109011;62219;4678;-20;359;114732;61692;2064;0;54
36;Original, unadjusted data;2008 1st quarter;160481;71679;152736;149883;41296;5265;91300;40192;14679;51752;36222;6728;72319;70395;1924;70513;11616;24744;5372;4163;72349;13031;7337;10852;37738;4839;0;18600;70079;1893;96639;57127;4617;16;916;113459;49382;1764;0;123
37;Original, unadjusted data;2008 2nd quarter;165102;60484;155752;153932;39434;2572;94602;33317;16802;61911;39579;6866;71506;74412;-2906;84723;17912;27079;5607;6248;74911;12723;7869;12726;37169;4391;0;17968;91134;22471;101217;61719;4067;8;279;115411;52369;2247;0;135
38;Original, unadjusted data;2008 3rd quarter;159601;71774;154756;152962;41768;5853;93257;42633;16341;51252;36462;6001;65395;67495;-2100;69307;14092;24494;5881;4782;74721;11186;8253;14606;30591;4959;0;18756;74121;4182;100652;58681;3628;11;287;113565;53836;1834;0;124
39;Original, unadjusted data;2008 4th quarter;166115;71018;155962;153258;39839;1735;92822;39264;16424;54640;40502;6639;79017;75958;3059;76273;14652;24859;6349;5415;72923;11669;7596;11317;40257;5157;0;18738;76544;9036;95830;55345;4819;-6;437;110906;45192;2115;0;116
40;Original, unadjusted data;2009 1st quarter;157417;67834;147854;144684;34890;186;90892;38695;15020;53061;38754;6800;70367;74004;-3637;72031;10910;25742;5951;5692;71030;11666;5236;12075;38573;5221;0;15621;69150;3812;82532;52445;4902;10;317;95735;42882;1732;0;133
41;Original, unadjusted data;2009 2nd quarter;158785;54404;155711;156727;42643;9464;90193;28324;16000;62970;42409;7022;67246;76748;-9502;86472;17167;28353;5737;7546;71660;11377;5107;14947;35808;4708;0;15544;92703;28589;82033;48899;1125;15;418;93742;45825;2141;0;188
42;Original, unadjusted data;2009 3rd quarter;153012;66249;146268;144599;33529;3190;88034;37535;14493;51288;39058;6742;62281;74088;-11807;69963;11506;25555;5825;5784;71991;8984;4735;11193;35365;4880;0;16173;72849;6642;82998;46482;3628;21;390;94772;39738;1959;0;311
43;Original, unadjusted data;2009 4th quarter;160959;66932;157704;155533;40932;8486;88294;35006;14517;54385;43350;6942;73134;80336;-7202;76509;12504;25882;6301;4846;71246;9667;4617;12693;37748;5117;0;16834;77855;11455;89629;48135;4671;5;419;103949;44880;2500;0;196
44;Original, unadjusted data;2010 1st quarter;156203;67869;152990;149973;39118;7426;87328;36617;14660;51630;39970;6578;70155;75992;-5837;71220;11355;26892;6203;4211;70897;9277;4717;11812;36886;5192;0;15693;72756;6070;90182;57891;4895;-12;597;104232;54678;1878;0;176
45;Original, unadjusted data;2010 2nd quarter;163370;59580;165133;163373;46788;9976;91918;31214;16468;61700;43739;7169;71175;81952;-10777;85899;14300;30461;6171;5284;72861;9811;4458;15345;37388;5226;0;15308;89722;22145;98918;59405;3880;-15;324;110136;61168;2120;0;194
46;Original, unadjusted data;2010 3rd quarter;157373;70640;156402;154340;40412;9530;90142;40097;13657;51075;40297;6568;62043;75151;-13108;70208;11918;27196;6193;4826;73637;8656;3722;11553;35386;4886;0;15907;75875;7064;97306;58666;4040;-6;576;110270;57695;1978;0;162
47;Original, unadjusted data;2010 4th quarter;166076;69313;165081;163326;45180;12589;90461;36029;13767;55457;44704;7028;76918;81128;-4210;78310;11667;27146;6304;4303;73462;8958;4500;12514;39812;5385;0;16481;77697;8538;104515;60391;4438;-20;1277;120895;59396;2683;0;227
48;Original, unadjusted data;2011 1st quarter;161609;70298;166484;164006;50383;16182;90618;37664;17087;53526;40105;7196;74184;76470;-2286;73352;11415;28245;6579;4066;73539;8595;4854;12190;38926;5393;0;16116;74344;4871;107481;61611;4478;-21;1107;121995;66486;2000;0;161
49;Original, unadjusted data;2011 2nd quarter;166706;61156;162717;161205;41632;6922;94468;31733;17645;63735;43743;7194;70330;81573;-11243;87902;16584;30743;6219;6579;75843;9041;5290;16528;36579;5248;0;16488;94291;25027;109826;66429;3981;-13;71;122531;62440;2469;0;179
50;Original, unadjusted data;2011 3rd quarter;160349;71351;160900;159165;42851;11642;92290;40443;14027;52701;40393;6776;65822;75052;-9230;71850;12541;27629;6188;5710;75930;7946;4887;12122;37899;5000;0;16506;74806;4586;108248;62635;3754;-9;215;121120;63186;2019;0;146
51;Original, unadjusted data;2011 4th quarter;167349;69145;165018;162822;43382;11623;91722;35291;15895;57159;44586;6747;74085;80321;-6236;79941;11489;27922;6430;4593;74878;8917;4227;13201;40015;5766;0;16736;79309;9024;111231;69024;4987;-24;385;127513;66693;2791;0;172
52;Original, unadjusted data;2012 1st quarter;162189;70379;161075;158333;43464;4019;91744;37436;16667;54744;40586;6044;74756;75346;-590;74537;12612;28296;6437;5579;74280;7431;3810;12141;40499;5348;0;15362;75446;6745;112546;62804;4618;3;242;129109;61690;1876;0;168
53;Original, unadjusted data;2012 2nd quarter;167778;61074;168167;166682;46423;12043;96033;31840;18217;65085;44324;6221;72547;82043;-9496;89273;16142;31195;6241;8505;75923;7627;3242;16902;40275;5283;0;15077;92226;24808;116082;59376;3909;12;169;130061;59765;2424;0;147
54;Original, unadjusted data;2012 3rd quarter;159711;70086;157144;155576;38869;9669;92384;39449;13406;53655;40820;6571;64569;75587;-11018;72899;12092;28062;6184;6952;75873;7430;2521;12087;38969;5202;0;15336;75794;6873;113761;61985;3868;14;269;127631;59418;2300;0;161
55;Original, unadjusted data;2012 4th quarter;168554;68846;165838;164835;44960;16049;92670;35420;15554;57830;45293;6549;76470;80622;-4152;80749;11475;28227;6304;5813;74586;7508;2669;12968;41701;5323;0;15883;79977;11204;117173;65641;4221;-4;234;136991;62925;3218;0;178
56;Original, unadjusted data;2013 1st quarter;162665;68705;164635;162294;46251;19837;91751;36631;14583;55312;41388;5970;78121;76955;1166;75596;11917;28482;6221;6781;74638;6284;2567;12269;42652;5550;0;15004;74182;6325;113132;60178;4659;17;348;133012;62148;2318;0;137
57;Original, unadjusted data;2013 2nd quarter;169400;61220;165549;163974;42913;9010;96802;31905;17112;65417;44441;6325;75161;82362;-7201;89589;16034;31663;6326;8981;76600;6605;2486;16343;41862;5537;0;15151;92535;24916;116506;64064;4152;20;264;132260;60213;2577;0;172
58;Original, unadjusted data;2013 3rd quarter;162775;71855;163122;160869;42605;13076;94480;41166;14564;53741;40998;6393;68108;76434;-8326;73179;12293;28781;6212;7539;77246;6827;2804;11972;40543;5418;0;16597;76325;6618;116094;59875;4521;20;133;131001;60222;2268;0;125
59;Original, unadjusted data;2013 4th quarter;170727;71486;168432;166383;45472;12009;94200;37237;19751;57340;44540;6218;75993;80674;-4681;80266;11930;29546;6158;6653;76354;7480;3002;13206;41945;5380;0;17445;81812;12111;122033;62200;4976;17;387;138651;59905;2927;0;135
60;Original, unadjusted data;2014 1st quarter;166170;70969;165231;162558;44942;15755;92793;37400;14701;55284;41836;5929;77545;77566;-21;75543;12386;29451;6138;6329;75774;7669;2956;12110;42538;5665;0;17015;77264;7819;116085;66107;5145;6;980;135537;65168;2472;0;140
61;Original, unadjusted data;2014 2nd quarter;171688;61553;170601;167896;44996;-1893;96591;30756;16160;65886;44941;6192;76612;83314;-6702;90007;16614;33060;6082;8847;77954;7465;2643;17252;41311;5703;0;16573;95427;26320;119638;65319;5304;5;335;136769;64232;2599;0;163
62;Original, unadjusted data;2014 3rd quarter;165628;72981;164497;163239;43222;14868;95328;40728;13220;54565;41731;6123;69109;75433;-6324;74229;12431;29577;6105;7125;78280;7684;2221;13034;40532;5415;0;17304;78444;7289;119671;63768;3804;6;281;136969;62637;2546;0;126
63;Original, unadjusted data;2014 4th quarter;175141;72391;172150;170110;47140;15952;97478;38233;17208;59282;45318;5928;78707;80873;-2166;82894;13567;29317;5700;6763;77652;7663;2024;14756;43463;5258;0;17482;83459;12570;121909;63851;5196;0;254;143007;60860;3156;0;140
64;Original, unadjusted data;2015 1st quarter;168781;73164;168570;165205;46888;25779;95873;40164;7886;55777;41684;6252;79682;77472;2210;75913;12012;30069;6141;5784;76659;8269;1872;14264;41952;5589;0;16664;77122;6247;119619;65790;5787;-26;250;147982;65579;2422;0;276
65;Original, unadjusted data;2015 2nd quarter;177623;67063;174812;172818;47986;-37306;101797;35392;47167;66645;44800;6326;76208;82975;-6767;90824;15960;33484;6138;7595;80057;9073;1990;20659;37445;5546;0;17005;97771;25309;157366;71197;4789;-25;267;145201;68386;2795;0;178
66;Original, unadjusted data;2015 3rd quarter;172816;79015;168188;167000;44213;12160;100146;45426;14293;54888;42046;6251;69192;75589;-6397;74884;14098;29606;6012;7369;80764;8376;2239;12670;40996;5513;0;18518;81700;8305;126150;67873;3875;-23;258;144109;63245;2687;0;190
67;Original, unadjusted data;2015 4th quarter;179955;76021;176983;174615;50031;13912;100939;41323;19755;59865;45281;6336;78873;80353;-1480;83284;13855;29571;5946;5753;79335;8858;2287;13887;44873;5155;0;19188;85642;12060;130573;69660;5561;-32;322;149958;66688;3193;0;157
68;Original, unadjusted data;2016 1st quarter;174168;74430;170816;167877;47418;14494;99418;41535;17811;57919;42014;6073;81337;77374;3963;78326;12578;30268;6061;6226;78476;9404;1912;13747;43752;5677;0;18428;80573;8323;119587;67308;5395;-31;467;140640;63956;2456;0;167
69;Original, unadjusted data;2016 2nd quarter;182901;68342;174458;173003;46427;8189;105391;36632;19149;69082;45634;6130;81394;83430;-2036;93631;15268;34249;6222;6878;80972;10391;1716;17746;42249;5575;0;18298;100382;26288;126689;73851;4382;-30;281;144834;65408;2927;0;193
70;Original, unadjusted data;2016 3rd quarter;177259;79263;171107;169549;44851;10242;102503;45390;16028;57351;42665;6257;74151;76626;-2475;77790;13729;30294;5957;7544;82061;9533;1517;12617;43734;5446;0;19338;83794;9277;126047;69875;4477;-28;260;144007;63723;2919;0;152
71;Original, unadjusted data;2016 4th quarter;185847;77826;182432;184141;56418;18899;104726;42535;18549;62579;46176;6383;81032;78849;2183;86335;13906;30337;6014;6055;81588;9668;1874;14781;45058;5350;0;20889;90418;14885;132203;71472;1527;-41;678;153209;68057;3236;0;236
72;Original, unadjusted data;2017 1st quarter;181360;78658;181453;179288;54486;18872;104271;44645;18140;59683;43124;6092;86264;77798;8466;80468;12480;31048;6295;5674;81707;10447;1704;17031;42420;5866;0;19923;83193;7160;135828;70607;4682;-29;1071;157500;70700;2517;0;160
73;Original, unadjusted data;2017 2nd quarter;191083;72354;182025;180542;48992;7461;110156;38865;19360;71582;46848;5964;82912;84121;-1209;96554;15558;34796;6216;7597;84760;11612;1870;18896;44209;5691;0;20270;102728;25565;138361;82257;4466;-58;161;157773;73199;2983;0;178
74;Original, unadjusted data;2017 3rd quarter;184915;83497;181633;180322;50307;13682;107573;48027;17358;59817;43778;6491;76714;77386;-672;80379;12975;31410;6030;5379;86289;10602;2065;14083;43603;5591;0;21286;86738;5828;139156;75389;4018;-52;270;157176;72107;2707;0;145
75;Original, unadjusted data;2017 4th quarter;193503;81242;192039;191112;59041;18878;109510;44551;19076;65441;47720;6808;85053;81754;3299;89847;13485;30974;6087;5172;84407;11300;2107;17700;45486;5524;0;22294;91870;12635;145795;75536;4109;-56;328;167131;74072;3182;0;254
76;Original, unadjusted data;2018 1st quarter;191374;82766;192654;189992;58626;19806;109515;46118;20083;63415;45680;6132;91780;79904;11876;84721;12033;31729;6233;5299;85730;11729;2215;18280;43805;5804;0;22173;86785;6354;144600;70406;5369;-44;300;165887;71686;2707;0;154
77;Original, unadjusted data;2018 2nd quarter;200034;75735;193021;191576;54365;1561;115674;40038;20735;75891;48486;6325;87169;86989;180;100721;16486;35388;6265;7373;88766;13160;2251;14919;49917;5714;0;22391;108450;27057;150316;82512;4526;-41;325;169843;75499;3081;0;221
78;Original, unadjusted data;2018 3rd quarter;193600;86389;191421;189943;54101;16343;112647;49381;16286;63542;46189;6617;80215;80320;-105;84785;14056;31904;6197;6634;89701;11845;2349;16320;44748;5568;0;23001;90958;7891;152389;78977;4357;-48;180;172301;76798;2879;0;193
79;Original, unadjusted data;2018 4th quarter;202265;83874;205333;203323;64961;23343;114513;45776;19540;69124;50294;7251;86582;86930;-348;94542;14136;31968;6142;5468;88103;12853;2386;17907;46698;5491;0;23959;98265;15630;154980;76734;5585;-35;270;177341;79802;3575;0;153
80;Original, unadjusted data;2019 1st quarter;201510;86658;201162;197885;60840;17370;115796;48557;21013;67356;48538;6907;97746;84689;13057;89549;13560;32698;6423;6581;88540;13417;1905;21433;45058;6008;0;23572;91398;9439;150215;69556;6078;-33;263;171314;69208;2801;0;153
81;Original, unadjusted data;2019 2nd quarter;211574;79787;200025;198582;55147;5513;122287;42217;22012;80401;51689;7082;90868;90456;412;106305;18256;36844;6229;8806;91768;14743;1785;15490;53901;5825;0;23638;114271;31309;157870;85794;4585;-22;185;178262;74245;3142;0;229
82;Original, unadjusted data;2019 3rd quarter;203971;90916;200868;199101;57367;13592;119218;52774;19106;66749;49122;7013;83878;85072;-1194;88975;14742;32777;6252;7649;92625;13125;1383;17136;47213;5799;0;23585;94800;9824;157900;75575;4793;-13;273;176178;72472;3026;0;243
83;Original, unadjusted data;2019 4th quarter;212712;87352;209650;208104;63948;18234;121008;48425;22867;72966;52913;7150;91611;89101;2510;99519;17381;33554;6033;7070;91343;13702;1427;19598;50517;5593;0;24768;104120;19847;159292;70483;5287;-100;327;182211;67421;3741;0;183
84;Original, unadjusted data;2020 1st quarter;205820;86585;200896;194753;54775;9392;117675;47549;22828;70576;50520;7041;98148;88725;9423;94025;13073;34609;6926;6083;89487;14317;1016;25697;43801;5970;0;24218;96367;12963;150222;58707;9179;-29;1180;171641;53783;3036;0;151
85;Original, unadjusted data;2020 2nd quarter;196847;75924;189165;186890;52621;8276;111369;39062;19646;81024;52190;7307;84375;104487;-20112;107959;15545;38336;6776;7728;82120;14533;1278;12581;55942;5827;0;22855;115843;41451;133207;63080;5334;-41;220;151435;55398;3059;0;184
86;Original, unadjusted data;2020 3rd quarter;201902;89009;195986;194417;53326;12631;116186;50742;17806;68090;51511;7193;83727;93086;-9359;91430;13595;35345;6416;7273;89640;13740;1213;18100;46879;5387;0;24259;99466;17099;145043;58868;4606;-60;193;164937;52952;3037;0;253
87;Original, unadjusted data;2020 4th quarter;211894;89075;204954;202110;59202;14173;120115;50532;21010;76181;55522;8249;94670;104079;-9409;104398;14628;35291;6648;5233;87456;14383;991;20299;49621;5303;0;24337;109088;26865;151149;62624;6460;-70;436;175294;55684;3616;0;178
88;Original, unadjusted data;2021 1st quarter;207934;91601;217260;214178;75479;26913;118949;51973;23395;72101;52667;7068;98856;99020;-164;96538;11589;35747;7210;5164;86089;14931;833;23119;45105;6054;0;25076;101049;20124;154250;54566;6237;-57;230;174935;63892;3155;0;180
89;Original, unadjusted data;2021 2nd quarter;226546;89553;229373;227126;73662;23283;132109;49799;22999;86246;57651;7409;96255;105405;-9150;113967;16118;40195;6988;6800;95873;16064;1146;11148;59124;5768;0;26499;126581;37508;166296;69579;5878;-60;241;188457;72406;3631;0;228
90;Original, unadjusted data;2021 3rd quarter;223337;102979;226752;224827;69386;20842;131166;62136;18674;71656;55620;7769;90143;97283;-7140;96092;13957;36154;6436;6405;99876;14685;1187;21248;45067;5595;0;27138;106680;13209;177909;63405;5427;-55;284;197210;66820;3502;0;163
91;Original, unadjusted data;2021 4th quarter;233733;101815;228991;227609;68654;18631;133296;59670;22788;78526;60433;8165;104318;107463;-3145;108215;14718;35949;6593;5213;98589;15363;1588;24588;49079;5433;0;27569;112356;18980;185407;80595;5316;-67;327;210143;75853;3934;0;279
