ID;NederlandseZeehavens;Vervoerstroom;SoortLading;Perioden;BrutoplusgewichtOvergeslagenGoederen_1
26;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2020 2e kwartaal;144448
27;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2020 3e kwartaal;138544
28;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2020 4e kwartaal;151007
29;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2020;587139
30;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2021 1e kwartaal;152826
31;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2021 2e kwartaal;155539
32;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2021 3e kwartaal;156740
33;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2021 4e kwartaal;156879
34;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2021;621984
35;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2022 1e kwartaal;151419
36;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2022 2e kwartaal;162772
37;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2022 3e kwartaal;160735
38;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2022 4e kwartaal;155519
39;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2022;630446
40;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2023 1e kwartaal;148666
41;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2023 2e kwartaal;146984
42;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2023 3e kwartaal;143072
43;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2023 4e kwartaal;144266
44;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2023;582988
45;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2024 1e kwartaal;143919
46;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2024 2e kwartaal;146655
47;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2024 3e kwartaal;143417
48;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2015 1e kwartaal;39274
49;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2015 2e kwartaal;40595
50;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2015 3e kwartaal;37080
51;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2015 4e kwartaal;41296
52;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2015;158245
53;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2016 1e kwartaal;36405
54;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2016 2e kwartaal;34444
55;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2016 3e kwartaal;38012
56;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2016 4e kwartaal;39906
57;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2016;148767
58;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2017 1e kwartaal;39896
59;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2017 2e kwartaal;37937
60;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2017 3e kwartaal;36532
61;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2017 4e kwartaal;37443
62;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2017;151808
63;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2018 1e kwartaal;36926
64;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2018 2e kwartaal;36264
65;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2018 3e kwartaal;37104
66;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2018 4e kwartaal;40828
67;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2018;151122
68;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2019 1e kwartaal;38700
69;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2019 2e kwartaal;36703
70;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2019 3e kwartaal;35755
71;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2019 4e kwartaal;36003
72;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2019;147161
73;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2020 1e kwartaal;32369
74;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2020 2e kwartaal;27908
75;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2020 3e kwartaal;28102
76;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2020 4e kwartaal;31997
77;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2020;120375
78;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2021 1e kwartaal;34086
79;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2021 2e kwartaal;35657
80;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2021 3e kwartaal;36200
81;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2021 4e kwartaal;38210
82;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2021;144152
83;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2022 1e kwartaal;36331
84;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2022 2e kwartaal;39836
85;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2022 3e kwartaal;38307
86;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2022 4e kwartaal;37965
87;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2022;152439
88;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2023 1e kwartaal;33476
89;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2023 2e kwartaal;31972
90;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2023 3e kwartaal;30835
91;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2023 4e kwartaal;33530
92;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2023;129813
93;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2024 1e kwartaal;31422
94;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2024 2e kwartaal;33735
95;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Droge bulk lading;2024 3e kwartaal;31602
96;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2015 1e kwartaal;71080
97;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2015 2e kwartaal;75143
98;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2015 3e kwartaal;69788
99;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2015 4e kwartaal;69277
100;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2015;285288
101;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2016 1e kwartaal;74390
102;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2016 2e kwartaal;68565
103;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2016 3e kwartaal;70995
104;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2016 4e kwartaal;72359
105;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2016;286309
106;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2017 1e kwartaal;72811
107;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2017 2e kwartaal;71226
108;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2017 3e kwartaal;66721
109;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2017 4e kwartaal;69074
110;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2017;279831
111;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2018 1e kwartaal;74733
112;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2018 2e kwartaal;66497
113;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2018 3e kwartaal;69882
114;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2018 4e kwartaal;69761
115;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2018;280873
116;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2019 1e kwartaal;75988
117;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2019 2e kwartaal;71502
118;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2019 3e kwartaal;68850
119;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2019 4e kwartaal;66762
120;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2019;283102
121;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2020 1e kwartaal;67846
122;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2020 2e kwartaal;66241
123;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2020 3e kwartaal;57353
124;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2020 4e kwartaal;64174
125;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2020;255613
126;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2021 1e kwartaal;66347
127;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2021 2e kwartaal;63673
128;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2021 3e kwartaal;65780
129;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2021 4e kwartaal;65442
130;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2021;261242
131;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2022 1e kwartaal;64139
132;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2022 2e kwartaal;71072
133;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2022 3e kwartaal;70905
134;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2022 4e kwartaal;69770
135;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2022;275886
136;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2023 1e kwartaal;69055
137;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2023 2e kwartaal;65414
138;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2023 3e kwartaal;64631
139;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2023 4e kwartaal;65641
140;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2023;264741
141;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2024 1e kwartaal;66156
142;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2024 2e kwartaal;63316
143;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Natte bulk lading;2024 3e kwartaal;63186
144;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2015 1e kwartaal;31554
145;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2015 2e kwartaal;32186
146;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2015 3e kwartaal;30459
147;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2015 4e kwartaal;29922
148;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2015;124121
149;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2016 1e kwartaal;30744
150;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2016 2e kwartaal;31243
151;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2016 3e kwartaal;31303
152;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2016 4e kwartaal;32208
153;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2016;125498
154;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2017 1e kwartaal;33978
155;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2017 2e kwartaal;35437
156;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2017 3e kwartaal;36441
157;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2017 4e kwartaal;36535
158;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2017;142391
159;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2018 1e kwartaal;36260
160;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2018 2e kwartaal;37937
161;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2018 3e kwartaal;37713
162;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2018 4e kwartaal;38458
163;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2018;150368
164;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2019 1e kwartaal;38663
165;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2019 2e kwartaal;39708
166;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2019 3e kwartaal;38094
167;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2019 4e kwartaal;38332
168;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2019;154797
169;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2020 1e kwartaal;38440
170;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2020 2e kwartaal;37111
171;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2020 3e kwartaal;38519
172;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2020 4e kwartaal;39182
173;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2020;153252
174;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2021 1e kwartaal;38496
175;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2021 2e kwartaal;40571
176;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2021 3e kwartaal;39517
177;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2021 4e kwartaal;38071
178;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2021;156655
179;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2022 1e kwartaal;36041
180;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2022 2e kwartaal;35608
181;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2022 3e kwartaal;35997
182;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2022 4e kwartaal;33226
183;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2022;140872
184;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2023 1e kwartaal;32134
185;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2023 2e kwartaal;33304
186;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2023 3e kwartaal;33849
187;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2023 4e kwartaal;32471
188;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2023;131758
189;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2024 1e kwartaal;32853
190;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2024 2e kwartaal;35096
191;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Containers;2024 3e kwartaal;34361
192;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2015 1e kwartaal;9224
193;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2015 2e kwartaal;9606
194;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2015 3e kwartaal;10179
195;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2015 4e kwartaal;9567
196;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2015;38576
197;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2016 1e kwartaal;9477
198;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2016 2e kwartaal;10255
199;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2016 3e kwartaal;10070
200;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2016 4e kwartaal;9868
201;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2016;39670
202;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2017 1e kwartaal;9857
203;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2017 2e kwartaal;10303
204;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2017 3e kwartaal;10481
205;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2017 4e kwartaal;10285
206;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2017;40927
207;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2018 1e kwartaal;9954
208;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2018 2e kwartaal;9861
209;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2018 3e kwartaal;10233
210;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2018 4e kwartaal;9438
211;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2018;39486
212;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2019 1e kwartaal;10929
213;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2019 2e kwartaal;9986
214;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2019 3e kwartaal;10284
215;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2019 4e kwartaal;10716
216;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2019;41914
217;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2020 1e kwartaal;10197
218;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2020 2e kwartaal;8397
219;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2020 3e kwartaal;10475
220;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2020 4e kwartaal;11254
221;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2020;40323
222;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2021 1e kwartaal;9590
223;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2021 2e kwartaal;10709
224;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2021 3e kwartaal;10655
225;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2021 4e kwartaal;10308
226;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2021;41262
227;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2022 1e kwartaal;10084
228;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2022 2e kwartaal;10834
229;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2022 3e kwartaal;10444
230;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2022 4e kwartaal;9850
231;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2022;41212
232;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2023 1e kwartaal;9676
233;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2023 2e kwartaal;10026
234;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2023 3e kwartaal;9799
235;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2023 4e kwartaal;8947
236;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2023;38448
237;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2024 1e kwartaal;9488
238;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2024 2e kwartaal;9708
239;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Roro-eenheden;2024 3e kwartaal;9686
240;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2015 1e kwartaal;3687
241;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2015 2e kwartaal;3827
242;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2015 3e kwartaal;3677
243;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2015 4e kwartaal;3567
244;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2015;14757
245;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2016 1e kwartaal;3413
246;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2016 2e kwartaal;3489
247;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2016 3e kwartaal;3524
248;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2016 4e kwartaal;3665
249;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2016;14091
250;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2017 1e kwartaal;3693
251;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2017 2e kwartaal;4010
252;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2017 3e kwartaal;3701
253;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2017 4e kwartaal;3510
254;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2017;14915
255;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2018 1e kwartaal;3672
256;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2018 2e kwartaal;3998
257;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2018 3e kwartaal;4233
258;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2018 4e kwartaal;3741
259;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2018;15645
260;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2019 1e kwartaal;4182
261;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2019 2e kwartaal;3617
262;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2019 3e kwartaal;3520
263;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2019 4e kwartaal;3842
264;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2019;15161
265;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2020 1e kwartaal;3933
266;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2020 2e kwartaal;4538
267;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2020 3e kwartaal;3784
268;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Stukgoederen/Overig;2020 4e kwartaal;4114
