ID;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
34;"Inbound transport; total";Total;Asia;2008;140452;106969;173935;24.0;27;9.0;73813;66878;80748;9.0;12;9.0
35;"Inbound transport; total";Total;Asia;2009;128895;97378;160412;24.0;30;9.0;67086;59873;74300;11.0;13;2.0
36;"Inbound transport; total";Total;Asia;2010;160792;122590;198994;24.0;31;9.0;71636;64143;79128;10.0;13;9.0
37;"Inbound transport; total";Total;Asia;2011;150412;113773;187051;24.0;29;9.0;72750;65333;80168;10.0;13;9.0
38;"Inbound transport; total";Total;Asia;2012;174819;136036;213603;22.0;30;9.0;69093;62324;75862;10.0;12;9.0
39;"Inbound transport; total";Total;Asia;2013;168148;128126;208171;24.0;29;9.0;62263;55982;68544;10.0;11;2.0
40;"Inbound transport; total";Total;Asia;2014;168789;125403;212176;26.0;30;9.0;63736;57323;70149;10.0;11;9.0
41;"Inbound transport; total";Total;Asia;2015;198609;149270;247949;25.0;33;9.0;65849;59112;72585;10.0;11;9.0
42;"Inbound transport; total";Total;Asia;2016;195780;146735;244825;25.0;34;9.0;74990;67081;82900;11.0;13;5.0
43;"Inbound transport; total";Total;Asia;2017;212712;164030;261394;23.0;33;9.0;79882;71374;88389;11.0;13;9.0
44;"Inbound transport; total";Total;Europe;2007;235493;219343;251644;7.0;52;;340084;319835;360334;6.0;58;
45;"Inbound transport; total";Total;Europe;2008;262096;240123;284069;8.0;51;5.0;340886;320323;361449;6.0;57;9.0
46;"Inbound transport; total";Total;Europe;2009;214417;189462;239372;12.0;50;1.0;322632;302277;342986;6.0;62;9.0
47;"Inbound transport; total";Total;Europe;2010;252067;228459;275675;9.0;49;5.0;343342;321655;365029;6.0;60;4.0
48;"Inbound transport; total";Total;Europe;2011;267500;248791;286208;7.0;51;9.0;330022;309707;350337;6.0;58;9.0
49;"Inbound transport; total";Total;Europe;2012;291562;264607;318518;9.0;50;4.0;328658;308271;349045;6.0;58;9.0
50;"Inbound transport; total";Total;Europe;2013;287589;262624;312554;9.0;50;9.0;327893;307692;348093;6.0;58;9.0
51;"Inbound transport; total";Total;Europe;2014;281871;256530;307211;9.0;50;9.0;338784;315243;362325;7.0;59;9.0
52;"Inbound transport; total";Total;Europe;2015;299852;259597;340107;13.0;49;9.0;350073;325609;374537;7.0;59;9.0
53;"Inbound transport; total";Total;Europe;2016;284780;249916;319644;12.0;49;9.0;355773;334158;377388;6.0;60;9.0
54;"Inbound transport; total";Total;Europe;2017;310087;280053;340120;10.0;48;9.0;370404;350452;390357;5.0;61;9.0
55;"Inbound transport; total";Total;Oceania;2007;2946;2669;3223;9.0;1;;10940;9106;12773;17.0;2;
56;"Inbound transport; total";Total;Oceania;2008;3650;3236;4065;11.0;1;5.0;9798;8158;11439;17.0;2;9.0
57;"Inbound transport; total";Total;Oceania;2009;2665;2417;2913;9.0;1;1.0;6557;5599;7515;15.0;1;1.0
58;"Inbound transport; total";Total;Oceania;2010;3886;3432;4340;12.0;1;5.0;8345;6772;9918;19.0;1;5.0
59;"Inbound transport; total";Total;Oceania;2011;5638;5005;6270;11.0;1;5.0;9186;7641;10731;17.0;2;9.0
60;"Inbound transport; total";Total;Oceania;2012;3991;3504;4477;12.0;1;1.0;8731;7057;10404;19.0;2;9.0
61;"Inbound transport; total";Total;Oceania;2013;3693;3305;4081;11.0;1;9.0;8407;6674;10141;21.0;1;9.0
62;"Inbound transport; total";Total;Oceania;2014;4196;3754;4639;11.0;1;5.0;9982;7921;12043;21.0;2;9.0
63;"Inbound transport; total";Total;Oceania;2015;3595;3179;4011;12.0;1;1.0;8698;6872;10523;21.0;1;9.0
64;"Inbound transport; total";Total;Oceania;2016;3850;3425;4274;11.0;1;9.0;10531;8335;12726;21.0;2;9.0
65;"Inbound transport; total";Total;Oceania;2017;4855;4382;5327;10.0;1;5.0;10381;8804;11958;15.0;2;9.0
66;"Inbound transport; total";Total;Unspecified countries and areas;2007;397;368;426;7.0;0;;1995;1561;2429;22.0;0;
67;"Inbound transport; total";Total;Unspecified countries and areas;2008;612;512;712;16.0;0;5.0;870;718;1021;17.0;0;1.0
68;"Inbound transport; total";Total;Unspecified countries and areas;2009;555;463;647;17.0;0;9.0;1758;1426;2089;19.0;0;5.0
69;"Inbound transport; total";Total;Unspecified countries and areas;2010;684;580;788;15.0;0;5.0;818;665;971;19.0;0;1.0
70;"Inbound transport; total";Total;Unspecified countries and areas;2011;3260;2367;4152;27.0;1;5.0;4506;3465;5547;23.0;1;5.0
71;"Inbound transport; total";Total;Unspecified countries and areas;2012;3855;2868;4843;26.0;1;9.0;6209;4869;7550;22.0;1;5.0
72;"Inbound transport; total";Total;Unspecified countries and areas;2013;3787;2819;4754;26.0;1;9.0;6759;5305;8214;22.0;1;9.0
73;"Inbound transport; total";Total;Unspecified countries and areas;2014;1827;1529;2124;16.0;0;1.0;1290;1103;1476;14.0;0;1.0
74;"Inbound transport; total";Total;Unspecified countries and areas;2015;2628;2223;3033;15.0;0;5.0;4653;3950;5355;15.0;1;5.0
75;"Inbound transport; total";Total;Unspecified countries and areas;2016;2805;2363;3248;16.0;0;9.0;6829;5720;7938;16.0;1;5.0
76;"Inbound transport; total";Total;Unspecified countries and areas;2017;3532;2935;4129;17.0;1;5.0;8489;7105;9872;16.0;1;5.0
77;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2007;14836;13290;16383;10.0;3;;28048;25180;30916;10.0;5;
78;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2008;15097;13575;16619;10.0;3;9.0;25496;23084;27908;9.0;4;2.0
79;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2009;14426;12914;15938;10.0;3;9.0;24606;22249;26964;10.0;5;9.0
80;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2010;15481;13907;17054;10.0;3;9.0;27421;24837;30004;9.0;5;5.0
81;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2011;20460;18200;22720;11.0;4;5.0;31348;28438;34259;9.0;5;5.0
82;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2012;19060;16944;21176;11.0;3;9.0;29835;26949;32720;10.0;5;9.0
83;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2013;20480;18154;22807;11.0;4;9.0;32130;28710;35549;11.0;6;9.0
84;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2014;18591;16523;20659;11.0;3;9.0;31506;28617;34395;9.0;5;9.0
85;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2015;23538;20771;26306;12.0;4;5.0;31911;28953;34869;9.0;5;9.0
86;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2016;21897;19596;24198;11.0;4;9.0;32581;29488;35674;9.0;6;9.0
87;"Inbound transport; total";0 Agricultural products and live animals;Total all continents;2017;25136;21954;28318;13.0;4;5.0;38071;34122;42021;10.0;6;5.0
88;"Inbound transport; total";0 Agricultural products and live animals;Africa;2007;1430;1169;1690;18.0;0;;1381;1139;1623;18.0;0;
89;"Inbound transport; total";0 Agricultural products and live animals;Africa;2008;1621;1363;1879;16.0;0;9.0;870;629;1110;28.0;0;1.0
90;"Inbound transport; total";0 Agricultural products and live animals;Africa;2009;1548;1251;1846;19.0;0;9.0;1291;1043;1538;19.0;0;5.0
91;"Inbound transport; total";0 Agricultural products and live animals;Africa;2010;1756;1379;2132;21.0;0;9.0;1484;1138;1830;23.0;0;9.0
92;"Inbound transport; total";0 Agricultural products and live animals;Africa;2011;1825;1427;2224;22.0;0;9.0;1617;1297;1937;20.0;0;9.0
93;"Inbound transport; total";0 Agricultural products and live animals;Africa;2012;1761;1399;2123;21.0;0;9.0;1564;1257;1872;20.0;0;9.0
94;"Inbound transport; total";0 Agricultural products and live animals;Africa;2013;2032;1572;2492;23.0;0;9.0;1811;1455;2167;20.0;0;9.0
95;"Inbound transport; total";0 Agricultural products and live animals;Africa;2014;1813;1460;2166;19.0;0;9.0;1548;1243;1854;20.0;0;9.0
96;"Inbound transport; total";0 Agricultural products and live animals;Africa;2015;2073;1760;2387;15.0;0;9.0;1685;1393;1977;17.0;0;9.0
97;"Inbound transport; total";0 Agricultural products and live animals;Africa;2016;2136;1664;2608;22.0;0;9.0;1685;1335;2035;21.0;0;9.0
98;"Inbound transport; total";0 Agricultural products and live animals;Africa;2017;2394;1846;2941;23.0;0;9.0;1933;1534;2333;21.0;0;9.0
99;"Inbound transport; total";0 Agricultural products and live animals;America;2007;3605;2600;4610;28.0;1;;5038;3759;6317;25.0;1;
100;"Inbound transport; total";0 Agricultural products and live animals;America;2008;3369;2347;4391;30.0;1;9.0;1895;745;3045;61.0;0;1.0
101;"Inbound transport; total";0 Agricultural products and live animals;America;2009;3244;2204;4285;32.0;1;9.0;3083;1998;4168;35.0;1;9.0
102;"Inbound transport; total";0 Agricultural products and live animals;America;2010;3365;2378;4352;29.0;1;9.0;4128;3062;5194;26.0;1;9.0
103;"Inbound transport; total";0 Agricultural products and live animals;America;2011;4716;3508;5925;26.0;1;5.0;5421;4281;6562;21.0;1;5.0
104;"Inbound transport; total";0 Agricultural products and live animals;America;2012;4302;3085;5518;28.0;1;9.0;4986;3919;6053;21.0;1;9.0
105;"Inbound transport; total";0 Agricultural products and live animals;America;2013;4742;3429;6054;28.0;1;9.0;5334;4215;6454;21.0;1;9.0
106;"Inbound transport; total";0 Agricultural products and live animals;America;2014;4180;2855;5505;32.0;1;9.0;4735;3600;5869;24.0;1;9.0
107;"Inbound transport; total";0 Agricultural products and live animals;America;2015;5568;4106;7031;26.0;1;9.0;4206;3240;5172;23.0;1;9.0
108;"Inbound transport; total";0 Agricultural products and live animals;America;2016;5342;3829;6855;28.0;1;9.0;4649;3519;5779;24.0;1;9.0
109;"Inbound transport; total";0 Agricultural products and live animals;America;2017;5888;4201;7574;29.0;1;9.0;5502;4263;6741;23.0;1;9.0
110;"Inbound transport; total";0 Agricultural products and live animals;Asia;2007;2149;1498;2800;30.0;0;;2090;1543;2637;26.0;0;
111;"Inbound transport; total";0 Agricultural products and live animals;Asia;2008;2062;1414;2710;31.0;0;9.0;803;293;1314;64.0;0;1.0
112;"Inbound transport; total";0 Agricultural products and live animals;Asia;2009;2328;1596;3059;31.0;1;9.0;1231;770;1692;37.0;0;9.0
113;"Inbound transport; total";0 Agricultural products and live animals;Asia;2010;2311;1590;3032;31.0;0;9.0;1522;1101;1943;28.0;0;9.0
114;"Inbound transport; total";0 Agricultural products and live animals;Asia;2011;3507;2658;4356;24.0;1;5.0;1941;1548;2333;20.0;0;9.0
115;"Inbound transport; total";0 Agricultural products and live animals;Asia;2012;3060;2268;3852;26.0;1;9.0;1850;1467;2233;21.0;0;9.0
116;"Inbound transport; total";0 Agricultural products and live animals;Asia;2013;3034;2259;3810;26.0;1;9.0;1896;1506;2286;21.0;0;9.0
117;"Inbound transport; total";0 Agricultural products and live animals;Asia;2014;2877;2059;3695;28.0;1;9.0;1889;1467;2311;22.0;0;9.0
118;"Inbound transport; total";0 Agricultural products and live animals;Asia;2015;3825;2854;4796;25.0;1;9.0;1982;1551;2414;22.0;0;9.0
119;"Inbound transport; total";0 Agricultural products and live animals;Asia;2016;3661;2648;4674;28.0;1;9.0;2043;1581;2505;23.0;0;9.0
120;"Inbound transport; total";0 Agricultural products and live animals;Asia;2017;4247;3077;5416;28.0;1;9.0;2406;2003;2810;17.0;0;9.0
121;"Inbound transport; total";0 Agricultural products and live animals;Europe;2007;7500;6534;8466;13.0;2;;19386;16826;21946;13.0;3;
122;"Inbound transport; total";0 Agricultural products and live animals;Europe;2008;7894;6988;8799;11.0;2;9.0;21793;19703;23884;10.0;4;5.0
123;"Inbound transport; total";0 Agricultural products and live animals;Europe;2009;7094;6285;7903;11.0;2;1.0;18768;16711;20826;11.0;4;1.0
124;"Inbound transport; total";0 Agricultural products and live animals;Europe;2010;7875;6916;8833;12.0;2;9.0;19992;17657;22327;12.0;4;9.0
125;"Inbound transport; total";0 Agricultural products and live animals;Europe;2011;9574;7831;11317;18.0;2;5.0;21702;19003;24402;12.0;4;9.0
126;"Inbound transport; total";0 Agricultural products and live animals;Europe;2012;9368;7800;10936;17.0;2;9.0;20843;18148;23538;13.0;4;9.0
127;"Inbound transport; total";0 Agricultural products and live animals;Europe;2013;9877;8097;11656;18.0;2;9.0;22540;19284;25796;14.0;4;9.0
128;"Inbound transport; total";0 Agricultural products and live animals;Europe;2014;9098;7682;10515;16.0;2;9.0;22820;20172;25469;12.0;4;9.0
129;"Inbound transport; total";0 Agricultural products and live animals;Europe;2015;11568;9353;13784;19.0;2;5.0;23498;20709;26287;12.0;4;9.0
130;"Inbound transport; total";0 Agricultural products and live animals;Europe;2016;10365;8901;11830;14.0;2;9.0;23696;20816;26576;12.0;4;9.0
131;"Inbound transport; total";0 Agricultural products and live animals;Europe;2017;12070;9479;14662;21.0;2;9.0;26980;23205;30755;14.0;4;5.0
132;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2007;143;117;169;18.0;0;;149;121;177;19.0;0;
133;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2008;140;118;163;16.0;0;9.0;115;99;132;14.0;0;1.0
134;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2009;207;169;245;18.0;0;5.0;227;188;265;17.0;0;5.0
135;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2010;170;147;192;13.0;0;1.0;288;245;332;15.0;0;5.0
136;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2011;829;596;1062;28.0;0;5.0;663;516;810;22.0;0;5.0
137;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2012;563;415;711;26.0;0;1.0;587;463;711;21.0;0;9.0
138;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2013;787;578;996;27.0;0;5.0;542;433;651;20.0;0;9.0
139;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2014;616;455;777;26.0;0;1.0;511;402;620;21.0;0;9.0
140;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2015;495;375;615;24.0;0;1.0;537;426;649;21.0;0;9.0
141;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2016;386;299;473;23.0;0;1.0;503;405;600;19.0;0;9.0
142;"Inbound transport; total";0 Agricultural products and live animals;Oceania;2017;530;404;657;24.0;0;5.0;1238;1027;1450;17.0;0;5.0
143;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2007;10;9;11;6.0;0;;4;4;5;15.0;0;
144;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2008;11;10;12;12.0;0;9.0;18;16;20;10.0;0;5.0
145;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2009;4;4;5;14.0;0;1.0;7;6;7;11.0;0;1.0
146;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2010;5;4;5;15.0;0;9.0;6;5;7;14.0;0;9.0
147;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2011;8;7;10;15.0;0;5.0;4;4;5;16.0;0;1.0
148;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2012;6;5;7;13.0;0;1.0;5;4;5;16.0;0;9.0
149;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2013;8;6;10;26.0;0;5.0;8;6;9;23.0;0;5.0
150;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2014;7;6;9;21.0;0;9.0;3;2;3;20.0;0;1.0
151;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2015;7;6;9;24.0;0;9.0;3;2;3;16.0;0;9.0
152;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2016;6;5;7;15.0;0;9.0;6;5;7;14.0;0;5.0
153;"Inbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2017;7;6;8;16.0;0;9.0;12;10;13;15.0;0;5.0
154;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2007;33045;29340;36749;11.0;7;;53604;48549;58659;9.0;9;
155;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2008;37671;33528;41815;11.0;7;5.0;53428;48473;58384;9.0;9;9.0
156;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2009;31818;28424;35211;11.0;7;1.0;50153;45745;54561;9.0;10;9.0
157;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2010;38206;34336;42076;10.0;7;5.0;53024;48573;57476;8.0;9;9.0
158;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2011;44159;39263;49054;11.0;8;5.0;59371;54661;64081;8.0;10;5.0
159;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2012;48323;42820;53826;11.0;8;9.0;53746;49562;57931;8.0;9;2.0
160;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2013;47650;42227;53074;11.0;8;9.0;56418;51843;60993;8.0;10;9.0
161;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2014;50646;44537;56756;12.0;9;9.0;56597;51650;61544;9.0;10;9.0
162;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2015;53167;46856;59478;12.0;9;9.0;55448;50413;60484;9.0;9;9.0
163;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2016;51930;45857;58003;12.0;9;9.0;54997;49790;60205;9.0;9;9.0
164;"Inbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2017;59276;52195;66358;12.0;9;5.0;57515;52027;63003;10.0;10;9.0
165;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2007;1860;1498;2222;19.0;0;;1365;1121;1610;18.0;0;
166;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2008;2087;1755;2420;16.0;0;9.0;1218;1049;1387;14.0;0;9.0
167;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2009;2226;2090;2363;6.0;1;9.0;1056;940;1173;11.0;0;1.0
168;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2010;2726;2405;3046;12.0;1;5.0;1199;1014;1383;15.0;0;9.0
169;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2011;3050;2679;3421;12.0;1;9.0;1431;1221;1641;15.0;0;5.0
170;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2012;2424;2151;2697;11.0;0;1.0;1194;1039;1350;13.0;0;1.0
171;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2013;2181;2040;2322;6.0;0;1.0;1022;919;1126;10.0;0;1.0
172;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2014;2525;2354;2697;7.0;0;5.0;1147;1029;1264;10.0;0;5.0
173;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2015;3234;2900;3568;10.0;1;5.0;1346;1154;1539;14.0;0;5.0
174;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2016;3386;2746;4027;19.0;1;9.0;1331;1089;1574;18.0;0;9.0
175;"Inbound transport; total";1 Foodstuffs and animal fodder;Africa;2017;3536;2829;4244;20.0;1;9.0;1529;1260;1799;18.0;0;9.0
176;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2007;8187;5856;10519;28.0;2;;14856;11737;17975;21.0;3;
177;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2008;9558;6647;12469;30.0;2;9.0;16228;12817;19640;21.0;3;9.0
178;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2009;7201;4790;9613;33.0;2;1.0;13610;10709;16511;21.0;3;9.0
179;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2010;9062;6496;11629;28.0;2;9.0;14164;11636;16692;18.0;2;9.0
180;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2011;10793;7169;14417;34.0;2;9.0;14813;11756;17871;21.0;3;9.0
181;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2012;12418;8657;16179;30.0;2;9.0;13155;10807;15503;18.0;2;9.0
182;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2013;12247;8092;16403;34.0;2;9.0;14630;11710;17550;20.0;3;9.0
183;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2014;13600;9504;17696;30.0;2;9.0;14646;11669;17623;20.0;3;9.0
184;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2015;13292;9458;17126;29.0;2;9.0;14730;11615;17844;21.0;2;9.0
185;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2016;11749;8402;15096;28.0;2;9.0;14188;11362;17014;20.0;2;9.0
186;"Inbound transport; total";1 Foodstuffs and animal fodder;America;2017;12908;9292;16524;28.0;2;9.0;13792;10931;16653;21.0;2;9.0
187;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2007;5325;3967;6683;26.0;1;;8689;6870;10508;21.0;1;
188;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2008;6170;4495;7846;27.0;1;9.0;8110;6287;9933;22.0;1;9.0
189;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2009;4402;3119;5685;29.0;1;1.0;7178;5560;8796;23.0;1;9.0
190;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2010;6436;4716;8156;27.0;1;5.0;7693;5866;9521;24.0;1;9.0
191;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2011;6910;4887;8934;29.0;1;9.0;6962;5404;8520;22.0;1;9.0
192;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2012;7759;5573;9945;28.0;1;9.0;7506;5750;9261;23.0;1;9.0
193;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2013;7339;5161;9518;30.0;1;9.0;8225;6270;10181;24.0;1;9.0
194;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2014;8049;5807;10291;28.0;1;9.0;8158;6341;9974;22.0;1;9.0
195;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2015;8123;5823;10423;28.0;1;9.0;7800;5973;9627;23.0;1;9.0
196;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2016;7893;5685;10102;28.0;1;9.0;7431;5733;9129;23.0;1;9.0
197;"Inbound transport; total";1 Foodstuffs and animal fodder;Asia;2017;10081;7323;12839;27.0;2;9.0;8364;6476;10252;23.0;1;9.0
198;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2007;16943;14400;19486;15.0;4;;28259;24396;32121;14.0;5;
199;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2008;19091;16599;21583;13.0;4;9.0;27269;23653;30885;13.0;5;9.0
200;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2009;17297;15265;19329;12.0;4;9.0;27221;23785;30658;13.0;5;9.0
201;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2010;19225;16601;21848;14.0;4;9.0;29293;25731;32854;12.0;5;9.0
202;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2011;22261;19547;24975;12.0;4;5.0;35107;30661;39553;13.0;6;5.0
203;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2012;24531;20936;28126;15.0;4;9.0;30693;27254;34132;11.0;5;1.0
