ID;Kenmerken;Perioden;WerkzameBeroepsbevolkingTotaal_1;TotaalCreatieveBeroepen_2;Kunsten_3;MediaEnEntertainment_4;CreatieveZakelijkeDienstverlening_5;OverigeCreatieveBeroepen_6;WerkzPersMetNietCreatiefBeroep_7;WerkzPersMetBeroepOnbekend_8
113;1;2006/2008;141.0;67.0;24.0;5.0;15.0;20.0;74.0;2.0
114;1;2007/2009;150.0;71.0;26.0;6.0;16.0;21.0;79.0;2.0
115;1;2008/2010;151.0;70.0;25.0;7.0;16.0;20.0;81.0;2.0
116;1;2009/2011;152.0;68.0;24.0;7.0;15.0;20.0;83.0;2.0
117;2;2001/2003;35.0;7.0;;2.0;2.0;2.0;29.0;
118;2;2002/2004;35.0;7.0;;2.0;3.0;2.0;28.0;
119;2;2003/2005;38.0;8.0;;2.0;4.0;;30.0;
120;2;2004/2006;41.0;9.0;;2.0;5.0;2.0;32.0;
121;2;2005/2007;43.0;10.0;;2.0;5.0;2.0;33.0;
122;2;2006/2008;45.0;10.0;;2.0;5.0;2.0;35.0;
123;2;2007/2009;48.0;10.0;;2.0;5.0;2.0;37.0;
124;2;2008/2010;48.0;11.0;;2.0;6.0;3.0;37.0;
125;2;2009/2011;48.0;12.0;;2.0;6.0;3.0;36.0;
126;3;2001/2003;6758.0;467.0;28.0;32.0;52.0;262.0;6291.0;94.0
127;3;2002/2004;6748.0;446.0;31.0;32.0;54.0;252.0;6303.0;77.0
128;3;2003/2005;6729.0;430.0;32.0;32.0;55.0;248.0;6299.0;63.0
129;3;2004/2006;6761.0;424.0;32.0;33.0;53.0;247.0;6337.0;60.0
130;3;2005/2007;6874.0;441.0;32.0;33.0;50.0;255.0;6433.0;71.0
131;3;2006/2008;7043.0;465.0;32.0;36.0;51.0;263.0;6578.0;84.0
132;3;2007/2009;7159.0;476.0;33.0;36.0;53.0;266.0;6683.0;89.0
133;3;2008/2010;7187.0;486.0;33.0;36.0;54.0;269.0;6701.0;94.0
134;3;2009/2011;7149.0;493.0;35.0;36.0;56.0;266.0;6656.0;100.0
135;9;2001/2003;62.0;6.0;;;;2.0;55.0;3.0
136;9;2002/2004;66.0;6.0;;;;2.0;59.0;3.0
137;9;2003/2005;66.0;5.0;;;;2.0;60.0;2.0
138;9;2004/2006;72.0;5.0;;;;2.0;66.0;2.0
139;9;2005/2007;73.0;6.0;;;;2.0;68.0;2.0
140;9;2006/2008;73.0;5.0;;;;2.0;68.0;
141;9;2007/2009;70.0;5.0;;;;2.0;66.0;
142;9;2008/2010;67.0;5.0;;;;2.0;62.0;2.0
143;9;2009/2011;68.0;6.0;;;;2.0;62.0;3.0
144;Arbeidsduur: 12 tot 20 uur per week;2001/2003;665.0;36.0;4.0;2.0;;23.0;629.0;5.0
145;Arbeidsduur: 12 tot 20 uur per week;2002/2004;679.0;35.0;5.0;2.0;;23.0;644.0;5.0
146;Arbeidsduur: 12 tot 20 uur per week;2003/2005;689.0;34.0;5.0;2.0;;22.0;655.0;4.0
147;Arbeidsduur: 12 tot 20 uur per week;2004/2006;701.0;33.0;4.0;3.0;2.0;21.0;667.0;3.0
148;Arbeidsduur: 12 tot 20 uur per week;2005/2007;718.0;34.0;4.0;3.0;2.0;22.0;683.0;4.0
149;Arbeidsduur: 12 tot 20 uur per week;2006/2008;729.0;35.0;3.0;3.0;2.0;22.0;694.0;5.0
150;Arbeidsduur: 12 tot 20 uur per week;2007/2009;732.0;34.0;3.0;2.0;2.0;22.0;697.0;5.0
151;Arbeidsduur: 12 tot 20 uur per week;2008/2010;723.0;34.0;3.0;2.0;2.0;20.0;690.0;6.0
152;Arbeidsduur: 12 tot 20 uur per week;2009/2011;715.0;34.0;4.0;3.0;2.0;19.0;681.0;6.0
153;Arbeidsduur: 20 tot 35 uur per week;2001/2003;1773.0;131.0;17.0;11.0;11.0;70.0;1642.0;22.0
154;Arbeidsduur: 20 tot 35 uur per week;2002/2004;1843.0;131.0;20.0;12.0;12.0;69.0;1712.0;19.0
155;Arbeidsduur: 20 tot 35 uur per week;2003/2005;1882.0;130.0;20.0;12.0;13.0;69.0;1752.0;16.0
156;Arbeidsduur: 20 tot 35 uur per week;2004/2006;1917.0;129.0;19.0;12.0;13.0;69.0;1788.0;16.0
157;Arbeidsduur: 20 tot 35 uur per week;2005/2007;1975.0;134.0;19.0;13.0;12.0;71.0;1842.0;18.0
158;Arbeidsduur: 20 tot 35 uur per week;2006/2008;2064.0;140.0;18.0;14.0;13.0;73.0;1923.0;23.0
159;Arbeidsduur: 20 tot 35 uur per week;2007/2009;2157.0;144.0;18.0;14.0;14.0;73.0;2013.0;25.0
160;Arbeidsduur: 20 tot 35 uur per week;2008/2010;2233.0;149.0;17.0;15.0;14.0;75.0;2084.0;28.0
161;Arbeidsduur: 20 tot 35 uur per week;2009/2011;2279.0;152.0;18.0;15.0;13.0;75.0;2127.0;30.0
162;Arbeidsduur: 35 uur of meer per week;2001/2003;4533.0;372.0;28.0;24.0;56.0;193.0;4161.0;70.0
163;Arbeidsduur: 35 uur of meer per week;2002/2004;4451.0;354.0;30.0;25.0;58.0;184.0;4096.0;57.0
164;Arbeidsduur: 35 uur of meer per week;2003/2005;4390.0;342.0;31.0;24.0;60.0;181.0;4048.0;46.0
165;Arbeidsduur: 35 uur of meer per week;2004/2006;4386.0;338.0;32.0;25.0;58.0;179.0;4049.0;44.0
166;Arbeidsduur: 35 uur of meer per week;2005/2007;4434.0;352.0;34.0;25.0;55.0;185.0;4082.0;53.0
167;Arbeidsduur: 35 uur of meer per week;2006/2008;4510.0;373.0;36.0;27.0;57.0;192.0;4137.0;60.0
168;Arbeidsduur: 35 uur of meer per week;2007/2009;4537.0;384.0;39.0;28.0;59.0;196.0;4153.0;63.0
169;Arbeidsduur: 35 uur of meer per week;2008/2010;4497.0;390.0;39.0;28.0;60.0;199.0;4107.0;65.0
170;Arbeidsduur: 35 uur of meer per week;2009/2011;4423.0;394.0;39.0;27.0;62.0;197.0;4029.0;69.0
171;Werkkring: werkn. vaste arbeidsrelatie;2001/2003;5284.0;369.0;10.0;20.0;44.0;218.0;4914.0;77.0
172;Werkkring: werkn. vaste arbeidsrelatie;2002/2004;5271.0;351.0;12.0;20.0;45.0;211.0;4920.0;63.0
173;Werkkring: werkn. vaste arbeidsrelatie;2003/2005;5225.0;331.0;12.0;20.0;46.0;204.0;4894.0;50.0
174;Werkkring: werkn. vaste arbeidsrelatie;2004/2006;5196.0;318.0;11.0;19.0;44.0;197.0;4879.0;46.0
175;Werkkring: werkn. vaste arbeidsrelatie;2005/2007;5199.0;326.0;11.0;19.0;42.0;199.0;4873.0;54.0
176;Werkkring: werkn. vaste arbeidsrelatie;2006/2008;5247.0;341.0;12.0;20.0;42.0;201.0;4907.0;65.0
177;Werkkring: werkn. vaste arbeidsrelatie;2007/2009;5291.0;346.0;12.0;19.0;44.0;201.0;4945.0;69.0
178;Werkkring: werkn. vaste arbeidsrelatie;2008/2010;5297.0;351.0;12.0;18.0;45.0;202.0;4946.0;73.0
179;Werkkring: werkn. vaste arbeidsrelatie;2009/2011;5252.0;353.0;11.0;17.0;47.0;200.0;4899.0;78.0
180;Werkkring: werkn. flexibele arbeidsrel..;2001/2003;816.0;66.0;6.0;4.0;5.0;32.0;751.0;19.0
181;Werkkring: werkn. flexibele arbeidsrel..;2002/2004;816.0;60.0;5.0;4.0;6.0;31.0;756.0;15.0
182;Werkkring: werkn. flexibele arbeidsrel..;2003/2005;828.0;59.0;4.0;4.0;6.0;32.0;770.0;13.0
183;Werkkring: werkn. flexibele arbeidsrel..;2004/2006;872.0;64.0;4.0;4.0;7.0;35.0;808.0;14.0
184;Werkkring: werkn. flexibele arbeidsrel..;2005/2007;961.0;73.0;4.0;5.0;7.0;39.0;888.0;18.0
185;Werkkring: werkn. flexibele arbeidsrel..;2006/2008;1053.0;79.0;4.0;5.0;8.0;41.0;974.0;21.0
186;Werkkring: werkn. flexibele arbeidsrel..;2007/2009;1107.0;79.0;4.0;5.0;8.0;41.0;1028.0;21.0
187;Werkkring: werkn. flexibele arbeidsrel..;2008/2010;1114.0;79.0;4.0;5.0;8.0;40.0;1035.0;22.0
188;Werkkring: werkn. flexibele arbeidsrel..;2009/2011;1110.0;78.0;4.0;5.0;8.0;39.0;1032.0;22.0
189;Werkkring: zelfstandige;2001/2003;871.0;103.0;34.0;13.0;18.0;35.0;767.0;2.0
190;Werkkring: zelfstandige;2002/2004;886.0;110.0;38.0;15.0;21.0;34.0;776.0;2.0
191;Werkkring: zelfstandige;2003/2005;907.0;116.0;40.0;15.0;22.0;36.0;791.0;3.0
192;Werkkring: zelfstandige;2004/2006;935.0;118.0;40.0;17.0;21.0;38.0;817.0;3.0
193;Werkkring: zelfstandige;2005/2007;966.0;121.0;41.0;17.0;21.0;41.0;845.0;2.0
194;Werkkring: zelfstandige;2006/2008;1002.0;128.0;40.0;19.0;21.0;45.0;874.0;2.0
195;Werkkring: zelfstandige;2007/2009;1027.0;137.0;43.0;20.0;23.0;48.0;890.0;3.0
196;Werkkring: zelfstandige;2008/2010;1042.0;143.0;44.0;22.0;23.0;51.0;899.0;4.0
197;Werkkring: zelfstandige;2009/2011;1055.0;149.0;45.0;23.0;23.0;52.0;906.0;5.0
198;Werkkring: positie onbekend;2001/2003;;;;;;;;
199;Werkkring: positie onbekend;2002/2004;;;;;;;;
200;Werkkring: positie onbekend;2003/2005;;;;;;;;
201;Werkkring: positie onbekend;2004/2006;;;;;;;;
202;Werkkring: positie onbekend;2005/2007;;;;;;;;
203;Werkkring: positie onbekend;2006/2008;;;;;;;;
204;Werkkring: positie onbekend;2007/2009;;;;;;;;
205;Werkkring: positie onbekend;2008/2010;;;;;;;;
206;Werkkring: positie onbekend;2009/2011;;;;;;;;
207;Bedrijfsgrootte: 1-10 werkzame personen;2001/2003;;;;;;;;
208;Bedrijfsgrootte: 1-10 werkzame personen;2002/2004;;;;;;;;
209;Bedrijfsgrootte: 1-10 werkzame personen;2003/2005;;;;;;;;
210;Bedrijfsgrootte: 1-10 werkzame personen;2004/2006;1253.0;135.0;40.0;17.0;24.0;48.0;1118.0;5.0
211;Bedrijfsgrootte: 1-10 werkzame personen;2005/2007;1333.0;141.0;42.0;19.0;25.0;52.0;1192.0;5.0
212;Bedrijfsgrootte: 1-10 werkzame personen;2006/2008;1368.0;148.0;42.0;20.0;25.0;56.0;1220.0;6.0
213;Bedrijfsgrootte: 1-10 werkzame personen;2007/2009;1394.0;157.0;45.0;21.0;27.0;58.0;1236.0;6.0
214;Bedrijfsgrootte: 1-10 werkzame personen;2008/2010;1404.0;164.0;45.0;23.0;27.0;61.0;1240.0;7.0
215;Bedrijfsgrootte: 1-10 werkzame personen;2009/2011;1409.0;172.0;47.0;24.0;28.0;63.0;1237.0;9.0
216;Bedrijfsgrootte:10-100 werkzame personen;2001/2003;;;;;;;;
217;Bedrijfsgrootte:10-100 werkzame personen;2002/2004;;;;;;;;
218;Bedrijfsgrootte:10-100 werkzame personen;2003/2005;;;;;;;;
219;Bedrijfsgrootte:10-100 werkzame personen;2004/2006;1144.0;68.0;4.0;4.0;13.0;38.0;1076.0;8.0
220;Bedrijfsgrootte:10-100 werkzame personen;2005/2007;1313.0;81.0;5.0;4.0;15.0;45.0;1232.0;11.0
221;Bedrijfsgrootte:10-100 werkzame personen;2006/2008;1323.0;86.0;6.0;5.0;15.0;47.0;1237.0;12.0
222;Bedrijfsgrootte:10-100 werkzame personen;2007/2009;1320.0;88.0;6.0;6.0;16.0;48.0;1232.0;13.0
223;Bedrijfsgrootte:10-100 werkzame personen;2008/2010;1296.0;88.0;5.0;6.0;17.0;49.0;1208.0;12.0
224;Bedrijfsgrootte:10-100 werkzame personen;2009/2011;1270.0;86.0;5.0;5.0;16.0;46.0;1184.0;13.0
225;Bedrijfsgrootte: >=100 werkzame personen;2001/2003;;;;;;;;
226;Bedrijfsgrootte: >=100 werkzame personen;2002/2004;;;;;;;;
227;Bedrijfsgrootte: >=100 werkzame personen;2003/2005;;;;;;;;
228;Bedrijfsgrootte: >=100 werkzame personen;2004/2006;4078.0;265.0;7.0;16.0;31.0;169.0;3812.0;43.0
229;Bedrijfsgrootte: >=100 werkzame personen;2005/2007;4240.0;279.0;7.0;16.0;28.0;175.0;3961.0;53.0
230;Bedrijfsgrootte: >=100 werkzame personen;2006/2008;4354.0;294.0;7.0;17.0;29.0;177.0;4060.0;64.0
231;Bedrijfsgrootte: >=100 werkzame personen;2007/2009;4439.0;297.0;7.0;16.0;30.0;176.0;4142.0;68.0
232;Bedrijfsgrootte: >=100 werkzame personen;2008/2010;4467.0;301.0;7.0;15.0;30.0;175.0;4166.0;73.0
233;Bedrijfsgrootte: >=100 werkzame personen;2009/2011;4434.0;299.0;7.0;15.0;31.0;171.0;4134.0;76.0
234;Bedrijfsgrootte: onbekend;2001/2003;;;;;;;;
235;Bedrijfsgrootte: onbekend;2002/2004;;;;;;;;
236;Bedrijfsgrootte: onbekend;2003/2005;;;;;;;;
237;Bedrijfsgrootte: onbekend;2004/2006;530.0;32.0;4.0;3.0;4.0;15.0;497.0;7.0
238;Bedrijfsgrootte: onbekend;2005/2007;240.0;19.0;3.0;;2.0;7.0;221.0;5.0
239;Bedrijfsgrootte: onbekend;2006/2008;258.0;19.0;2.0;;2.0;8.0;239.0;6.0
240;Bedrijfsgrootte: onbekend;2007/2009;274.0;20.0;2.0;;2.0;8.0;254.0;6.0
241;Bedrijfsgrootte: onbekend;2008/2010;287.0;20.0;2.0;;2.0;9.0;267.0;6.0
242;Bedrijfsgrootte: onbekend;2009/2011;304.0;23.0;2.0;;2.0;11.0;281.0;6.0
