ID;Geslacht;Onderwijssoort;Populatie;Herkomstgroepering;RegioS;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
47;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Vier grootste gemeenten (G4);2004/'05;;;90.0
48;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Gemeenten >= 100 000 inwoners (excl.G4) ;2003/'04;;;94.0
49;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Gemeenten >= 100 000 inwoners (excl.G4) ;2004/'05;;;93.0
50;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Gemeenten < 100 000 inwoners;2003/'04;;;95.0
51;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Gemeenten < 100 000 inwoners;2004/'05;;;95.0
52;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Niet in te delen (GM);2003/'04;;;
53;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Niet in te delen (GM);2004/'05;;;
54;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Groningen (RP);2003/'04;;;
55;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Groningen (RP);2004/'05;;;
56;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Oost-Groningen (RP);2003/'04;;;
57;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Oost-Groningen (RP);2004/'05;;;
58;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Centraal-Groningen (RP);2003/'04;;;
59;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Centraal-Groningen (RP);2004/'05;;;
60;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Fryslân (RP);2003/'04;;;
61;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Fryslân (RP);2004/'05;;;
62;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zuid- en Midden-Drenthe (RP);2003/'04;;;
63;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zuid- en Midden-Drenthe (RP);2004/'05;;;
64;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;IJssel en Vecht (RP);2003/'04;;;
65;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;IJssel en Vecht (RP);2004/'05;;;
66;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Twente (RP);2003/'04;;;
67;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Twente (RP);2004/'05;;;
68;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noordwest-Veluwe (RP);2003/'04;;;
69;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noordwest-Veluwe (RP);2004/'05;;;
70;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Stedendriehoek (RP);2003/'04;;;
71;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Stedendriehoek (RP);2004/'05;;;
72;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;De Vallei (RP);2003/'04;;;
73;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;De Vallei (RP);2004/'05;;;
74;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;IJssel en Rijn (RP);2003/'04;;;
75;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;IJssel en Rijn (RP);2004/'05;;;
76;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Achterhoek (RP);2003/'04;;;
77;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Achterhoek (RP);2004/'05;;;
78;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Nijmegen (RP);2003/'04;;;
79;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Nijmegen (RP);2004/'05;;;
80;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Rivierenland (RP);2003/'04;;;
81;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Rivierenland (RP);2004/'05;;;
82;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Flevoland (RP);2003/'04;;;
83;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Flevoland (RP);2004/'05;;;
84;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Gooi en Vechtstreek (RP);2003/'04;;;
85;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Gooi en Vechtstreek (RP);2004/'05;;;
86;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Eemland (RP);2003/'04;;;
87;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Eemland (RP);2004/'05;;;
88;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Utrecht-Midden (RP);2003/'04;;;
89;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Utrecht-Midden (RP);2004/'05;;;
90;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Holland-Noord (RP);2003/'04;;;
91;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Holland-Noord (RP);2004/'05;;;
92;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zuidelijk Noord-Holland (RP);2003/'04;;;
93;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zuidelijk Noord-Holland (RP);2004/'05;;;
94;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Rijn-Gouwe (RP);2003/'04;;;
95;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Rijn-Gouwe (RP);2004/'05;;;
96;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Haaglanden (RP);2003/'04;;;
97;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Haaglanden (RP);2004/'05;;;
98;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Rijnmond (RP);2003/'04;;;
99;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Rijnmond (RP);2004/'05;;;
100;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zeeland (RP);2003/'04;;;
101;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zeeland (RP);2004/'05;;;
102;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;West-Brabant (RP);2003/'04;;;
103;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;West-Brabant (RP);2004/'05;;;
104;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Midden-Brabant (RP);2003/'04;;;
105;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Midden-Brabant (RP);2004/'05;;;
106;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noordoost-Brabant (RP);2003/'04;;;
107;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noordoost-Brabant (RP);2004/'05;;;
108;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zuidoost-Brabant (RP);2003/'04;;;
109;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zuidoost-Brabant (RP);2004/'05;;;
110;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Limburg (RP);2003/'04;;;
111;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Limburg (RP);2004/'05;;;
112;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Weert (RP);2003/'04;;;
113;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Weert (RP);2004/'05;;;
114;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Roermond (RP);2003/'04;;;
115;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Roermond (RP);2004/'05;;;
116;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Westelijke Mijnstreek (RP);2003/'04;;;
117;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Westelijke Mijnstreek (RP);2004/'05;;;
118;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Parkstad Limburg (RP);2003/'04;;;
119;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Parkstad Limburg (RP);2004/'05;;;
120;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Maastricht Mergelland (RP);2003/'04;;;
121;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Maastricht Mergelland (RP);2004/'05;;;
122;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Niet in te delen (RP);2003/'04;;;
123;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Niet in te delen (RP);2004/'05;;;
124;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Nederland;2003/'04;;;95.0
125;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Nederland;2004/'05;;;95.0
126;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Nederland (LD);2003/'04;;;94.0
127;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Nederland (LD);2004/'05;;;94.0
128;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Oost-Nederland (LD);2003/'04;;;95.0
129;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Oost-Nederland (LD);2004/'05;;;95.0
130;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;West-Nederland (LD);2003/'04;;;95.0
131;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;West-Nederland (LD);2004/'05;;;95.0
132;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zuid-Nederland (LD);2003/'04;;;96.0
133;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zuid-Nederland (LD);2004/'05;;;96.0
134;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Niet in te delen (LD);2003/'04;;;
135;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Niet in te delen (LD);2004/'05;;;
136;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Groningen (PV);2003/'04;;;
137;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Groningen (PV);2004/'05;;;
138;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Friesland (PV);2003/'04;;;
139;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Friesland (PV);2004/'05;;;
140;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Drenthe (PV);2003/'04;;;
141;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Drenthe (PV);2004/'05;;;
142;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Overijssel (PV);2003/'04;;;
143;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Overijssel (PV);2004/'05;;;
144;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Flevoland (PV);2003/'04;;;
145;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Flevoland (PV);2004/'05;;;
146;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Gelderland (PV);2003/'04;;;
147;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Gelderland (PV);2004/'05;;;
148;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Utrecht (PV);2003/'04;;;
149;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Utrecht (PV);2004/'05;;;
150;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Holland (PV);2003/'04;;;
151;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Holland (PV);2004/'05;;;
152;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zuid-Holland (PV);2003/'04;;;
153;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zuid-Holland (PV);2004/'05;;;
154;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zeeland (PV);2003/'04;;;
155;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zeeland (PV);2004/'05;;;
156;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Brabant (PV);2003/'04;;;
157;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Brabant (PV);2004/'05;;;
158;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Limburg (PV);2003/'04;;;
159;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Limburg (PV);2004/'05;;;
160;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Niet in te delen (PV);2003/'04;;;
161;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Niet in te delen (PV);2004/'05;;;
162;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Amsterdam;2003/'04;;;95.0
163;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Amsterdam;2004/'05;;;94.0
164;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;'s-Gravenhage (gemeente);2003/'04;;;96.0
165;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;'s-Gravenhage (gemeente);2004/'05;;;93.0
166;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Rotterdam;2003/'04;;;92.0
167;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Rotterdam;2004/'05;;;91.0
168;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Utrecht (gemeente);2003/'04;;;94.0
169;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Utrecht (gemeente);2004/'05;;;95.0
170;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Vier grootste gemeenten (G4);2003/'04;;;94.0
171;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Vier grootste gemeenten (G4);2004/'05;;;93.0
172;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Gemeenten >= 100 000 inwoners (excl.G4) ;2003/'04;;;95.0
173;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Gemeenten >= 100 000 inwoners (excl.G4) ;2004/'05;;;94.0
174;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Gemeenten < 100 000 inwoners;2003/'04;;;95.0
175;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Gemeenten < 100 000 inwoners;2004/'05;;;95.0
176;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Niet in te delen (GM);2003/'04;;;
177;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Niet in te delen (GM);2004/'05;;;
178;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Groningen (RP);2003/'04;;;
179;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Groningen (RP);2004/'05;;;
180;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Oost-Groningen (RP);2003/'04;;;
181;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Oost-Groningen (RP);2004/'05;;;
182;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Centraal-Groningen (RP);2003/'04;;;
183;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Centraal-Groningen (RP);2004/'05;;;
184;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Fryslân (RP);2003/'04;;;
185;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Fryslân (RP);2004/'05;;;
186;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zuid- en Midden-Drenthe (RP);2003/'04;;;
187;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zuid- en Midden-Drenthe (RP);2004/'05;;;
188;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;IJssel en Vecht (RP);2003/'04;;;
189;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;IJssel en Vecht (RP);2004/'05;;;
190;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Twente (RP);2003/'04;;;
191;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Twente (RP);2004/'05;;;
192;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noordwest-Veluwe (RP);2003/'04;;;
193;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noordwest-Veluwe (RP);2004/'05;;;
194;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Stedendriehoek (RP);2003/'04;;;
195;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Stedendriehoek (RP);2004/'05;;;
196;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;De Vallei (RP);2003/'04;;;
197;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;De Vallei (RP);2004/'05;;;
198;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;IJssel en Rijn (RP);2003/'04;;;
199;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;IJssel en Rijn (RP);2004/'05;;;
200;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Achterhoek (RP);2003/'04;;;
201;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Achterhoek (RP);2004/'05;;;
202;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Nijmegen (RP);2003/'04;;;
203;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Nijmegen (RP);2004/'05;;;
204;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Rivierenland (RP);2003/'04;;;
205;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Rivierenland (RP);2004/'05;;;
206;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Flevoland (RP);2003/'04;;;
207;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Flevoland (RP);2004/'05;;;
208;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Gooi en Vechtstreek (RP);2003/'04;;;
209;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Gooi en Vechtstreek (RP);2004/'05;;;
210;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Eemland (RP);2003/'04;;;
211;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Eemland (RP);2004/'05;;;
212;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Utrecht-Midden (RP);2003/'04;;;
213;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Utrecht-Midden (RP);2004/'05;;;
214;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Holland-Noord (RP);2003/'04;;;
215;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Holland-Noord (RP);2004/'05;;;
216;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zuidelijk Noord-Holland (RP);2003/'04;;;
217;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zuidelijk Noord-Holland (RP);2004/'05;;;
218;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Rijn-Gouwe (RP);2003/'04;;;
219;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Rijn-Gouwe (RP);2004/'05;;;
220;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Haaglanden (RP);2003/'04;;;
221;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Haaglanden (RP);2004/'05;;;
222;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Rijnmond (RP);2003/'04;;;
223;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Rijnmond (RP);2004/'05;;;
224;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zeeland (RP);2003/'04;;;
225;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zeeland (RP);2004/'05;;;
226;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;West-Brabant (RP);2003/'04;;;
227;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;West-Brabant (RP);2004/'05;;;
228;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Midden-Brabant (RP);2003/'04;;;
229;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Midden-Brabant (RP);2004/'05;;;
230;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noordoost-Brabant (RP);2003/'04;;;
231;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noordoost-Brabant (RP);2004/'05;;;
232;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zuidoost-Brabant (RP);2003/'04;;;
233;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Zuidoost-Brabant (RP);2004/'05;;;
234;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Limburg (RP);2003/'04;;;
235;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Noord-Limburg (RP);2004/'05;;;
236;Totaal mannen en vrouwen;Vwo;Woonregio;Autochtoon;Weert (RP);2003/'04;;;
