ID;Nomenclature;CountriesGroups;Periods;Imports_1;Exports_2;BalanceOfTrade_3
88;Total goods;Total countries (groups);2002 November;17512854.0;20096373.0;2583519.0
89;Total goods;Total countries (groups);2002 December;16697191.0;19119068.0;2421877.0
90;Total goods;Total countries (groups);2002;205574624.0;232701891.0;27127267.0
91;Total goods;Total countries (groups);2003 January;17502845.0;19788203.0;2285358.0
92;Total goods;Total countries (groups);2003 February;17135990.0;19420583.0;2284593.0
93;Total goods;Total countries (groups);2003 March;18499843.0;21024850.0;2525007.0
94;Total goods;Total countries (groups);2003 April;16934106.0;18803350.0;1869244.0
95;Total goods;Total countries (groups);2003 May;16567257.0;18882153.0;2314896.0
96;Total goods;Total countries (groups);2003 June;16267355.0;18783149.0;2515794.0
97;Total goods;Total countries (groups);2003 July;16624427.0;18613174.0;1988747.0
98;Total goods;Total countries (groups);2003 August;15130132.0;16784383.0;1654251.0
99;Total goods;Total countries (groups);2003 September;17532093.0;20795077.0;3262984.0
100;Total goods;Total countries (groups);2003 October;18897046.0;21561045.0;2663999.0
101;Total goods;Total countries (groups);2003 November;17638960.0;19996486.0;2357526.0
102;Total goods;Total countries (groups);2003 December;18136733.0;19713638.0;1576905.0
103;Total goods;Total countries (groups);2003;206866787.0;234166091.0;27299304.0
104;Total goods;Total countries (groups);2004 January;16973493.0;19116138.0;2142645.0
105;Total goods;Total countries (groups);2004 February;17345353.0;19309626.0;1964273.0
106;Total goods;Total countries (groups);2004 March;20238848.0;22760331.0;2521483.0
107;Total goods;Total countries (groups);2004 April;18223201.0;20350357.0;2127156.0
108;Total goods;Total countries (groups);2004 May;17821837.0;19724480.0;1902643.0
109;Total goods;Total countries (groups);2004 June;19684056.0;22388185.0;2704129.0
110;Total goods;Total countries (groups);2004 July;18391655.0;20812233.0;2420578.0
111;Total goods;Total countries (groups);2004 August;18186091.0;19593802.0;1407711.0
112;Total goods;Total countries (groups);2004 September;19896955.0;23209461.0;3312506.0
113;Total goods;Total countries (groups);2004 October;20189196.0;22835096.0;2645900.0
114;Total goods;Total countries (groups);2004 November;20739130.0;23138694.0;2399564.0
115;Total goods;Total countries (groups);2004 December;20557330.0;22422080.0;1864750.0
116;Total goods;Total countries (groups);2004;228247145.0;255660483.0;27413338.0
117;Total goods;Total countries (groups);2005 January;18715040.0;21100399.0;2385359.0
118;Total goods;Total countries (groups);2005 February;18703544.0;21272396.0;2568852.0
119;Total goods;Total countries (groups);2005 March;21076443.0;24217668.0;3141225.0
120;Total goods;Total countries (groups);2005 April;20290636.0;23128630.0;2837994.0
121;Total goods;Total countries (groups);2005 May;19338258.0;22232002.0;2893744.0
122;Total goods;Total countries (groups);2005 June;20868309.0;23708889.0;2840580.0
123;Total goods;Total countries (groups);2005 July;20149483.0;22155795.0;2006312.0
124;Total goods;Total countries (groups);2005 August;20408509.0;22315276.0;1906767.0
125;Total goods;Total countries (groups);2005 September;22330693.0;25426071.0;3095378.0
126;Total goods;Total countries (groups);2005 October;22283993.0;24916161.0;2632168.0
127;Total goods;Total countries (groups);2005 November;23044819.0;25913779.0;2868960.0
128;Total goods;Total countries (groups);2005 December;22635046.0;24913076.0;2278030.0
129;Total goods;Total countries (groups);2005;249844773.0;281300142.0;31455369.0
130;Total goods;Total countries (groups);2006 January;22775850.0;24921109.0;2145259.0
131;Total goods;Total countries (groups);2006 February;21509474.0;24701682.0;3192208.0
132;Total goods;Total countries (groups);2006 March;25392437.0;29255284.0;3862847.0
133;Total goods;Total countries (groups);2006 April;22442086.0;24908112.0;2466026.0
134;Total goods;Total countries (groups);2006 May;24214963.0;26420421.0;2205458.0
135;Total goods;Total countries (groups);2006 June;24103431.0;27202153.0;3098722.0
136;Total goods;Total countries (groups);2006 July;22782249.0;24361560.0;1579311.0
137;Total goods;Total countries (groups);2006 August;23178057.0;25403972.0;2225915.0
138;Total goods;Total countries (groups);2006 September;24147563.0;27460352.0;3312789.0
139;Total goods;Total countries (groups);2006 October;25644936.0;28186861.0;2541925.0
140;Total goods;Total countries (groups);2006 November;25550434.0;29211835.0;3661401.0
141;Total goods;Total countries (groups);2006 December;23628312.0;26920006.0;3291694.0
142;Total goods;Total countries (groups);2006;285369792.0;318953347.0;33583555.0
143;Total goods;Total countries (groups);2007 January;24469235.0;27368922.0;2899687.0
144;Total goods;Total countries (groups);2007 February;23763195.0;26723325.0;2960130.0
145;Total goods;Total countries (groups);2007 March;26469586.0;30757846.0;4288260.0
146;Total goods;Total countries (groups);2007 April;24262128.0;26722315.0;2460187.0
147;Total goods;Total countries (groups);2007 May;26003258.0;28335526.0;2332268.0
148;Total goods;Total countries (groups);2007 June;25729777.0;29256714.0;3526937.0
149;Total goods;Total countries (groups);2007 July;25094386.0;27864237.0;2769851.0
150;Total goods;Total countries (groups);2007 August;24879511.0;27638749.0;2759238.0
151;Total goods;Total countries (groups);2007 September;25436497.0;29305829.0;3869332.0
152;Total goods;Total countries (groups);2007 October;27745143.0;31916164.0;4171021.0
153;Total goods;Total countries (groups);2007 November;28232502.0;32910158.0;4677656.0
154;Total goods;Total countries (groups);2007 December;25188968.0;28701669.0;3512701.0
155;Total goods;Total countries (groups);2007;307274186.0;347501454.0;40227268.0
156;Total goods;Total countries (groups);2008 January;28099178.0;31023984.0;2924806.0
157;Total goods;Total countries (groups);2008 February;27899280.0;31067622.0;3168342.0
158;Total goods;Total countries (groups);2008 March;28077384.0;31617917.0;3540533.0
159;Total goods;Total countries (groups);2008 April;28478372.0;32018882.0;3540510.0
160;Total goods;Total countries (groups);2008 May;28155509.0;30466230.0;2310721.0
161;Total goods;Total countries (groups);2008 June;29217571.0;31959623.0;2742052.0
162;Total goods;Total countries (groups);2008 July;28781464.0;31388599.0;2607135.0
163;Total goods;Total countries (groups);2008 August;27077983.0;28861854.0;1783871.0
164;Total goods;Total countries (groups);2008 September;30030792.0;33142730.0;3111938.0
165;Total goods;Total countries (groups);2008 October;29578336.0;33349610.0;3771274.0
166;Total goods;Total countries (groups);2008 November;26531002.0;29078492.0;2547490.0
167;Total goods;Total countries (groups);2008 December;23994446.0;26504797.0;2510351.0
168;Total goods;Total countries (groups);2008;335921317.0;370480340.0;34559023.0
169;Total goods;Total countries (groups);2009 January;22066340.0;24974290.0;2907950.0
170;Total goods;Total countries (groups);2009 February;21817270.0;24642950.0;2825680.0
171;Total goods;Total countries (groups);2009 March;23786287.0;26625535.0;2839248.0
172;Total goods;Total countries (groups);2009 April;21550358.0;23976016.0;2425658.0
173;Total goods;Total countries (groups);2009 May;21309221.0;23897106.0;2587885.0
174;Total goods;Total countries (groups);2009 June;22394223.0;25581868.0;3187645.0
175;Total goods;Total countries (groups);2009 July;22905589.0;25973341.0;3067752.0
176;Total goods;Total countries (groups);2009 August;21429711.0;23528445.0;2098734.0
177;Total goods;Total countries (groups);2009 September;23491569.0;27489751.0;3998182.0
178;Total goods;Total countries (groups);2009 October;24143158.0;28052338.0;3909180.0
179;Total goods;Total countries (groups);2009 November;24437430.0;27912179.0;3474749.0
180;Total goods;Total countries (groups);2009 December;24688891.0;26705265.0;2016374.0
181;Total goods;Total countries (groups);2009;274020047.0;309359084.0;35339037.0
182;Total goods;Total countries (groups);2010 January;24568841.0;26787545.0;2218704.0
183;Total goods;Total countries (groups);2010 February;23753659.0;27599019.0;3845360.0
184;Total goods;Total countries (groups);2010 March;28472274.0;32769273.0;4296999.0
185;Total goods;Total countries (groups);2010 April;27050583.0;29621900.0;2571317.0
186;Total goods;Total countries (groups);2010 May;27080713.0;29299021.0;2218308.0
187;Total goods;Total countries (groups);2010 June;29634122.0;32151783.0;2517661.0
188;Total goods;Total countries (groups);2010 July;27714893.0;30698865.0;2983972.0
189;Total goods;Total countries (groups);2010 August;26372096.0;29461904.0;3089808.0
190;Total goods;Total countries (groups);2010 September;28008366.0;32707867.0;4699501.0
191;Total goods;Total countries (groups);2010 October;29471590.0;32822287.0;3350697.0
192;Total goods;Total countries (groups);2010 November;30004794.0;34071966.0;4067172.0
193;Total goods;Total countries (groups);2010 December;29776456.0;33549752.0;3773296.0
194;Total goods;Total countries (groups);2010;331908387.0;371541182.0;39632795.0
195;Total goods;Total countries (groups);2011 January;28885040.0;32166144.0;3281104.0
196;Total goods;Total countries (groups);2011 February;28547939.0;32831337.0;4283398.0
197;Total goods;Total countries (groups);2011 March;33346663.0;37339510.0;3992847.0
198;Total goods;Total countries (groups);2011 April;29016499.0;33745537.0;4729038.0
199;Total goods;Total countries (groups);2011 May;30922756.0;34480544.0;3557788.0
200;Total goods;Total countries (groups);2011 June;30433863.0;33307743.0;2873880.0
201;Total goods;Total countries (groups);2011 July;29430186.0;33056539.0;3626353.0
202;Total goods;Total countries (groups);2011 August;30289533.0;32807939.0;2518406.0
203;Total goods;Total countries (groups);2011 September;31285406.0;35315177.0;4029771.0
204;Total goods;Total countries (groups);2011 October;30621859.0;33988323.0;3366464.0
205;Total goods;Total countries (groups);2011 November;31741242.0;35798450.0;4057208.0
206;Total goods;Total countries (groups);2011 December;30390590.0;34507289.0;4116699.0
207;Total goods;Total countries (groups);2011;364911576.0;409344532.0;44432956.0
208;Total goods;Total countries (groups);2012 January;30728130.0;34353481.0;3625351.0
209;Total goods;Total countries (groups);2012 February;32169794.0;35052742.0;2882948.0
210;Total goods;Total countries (groups);2012 March;33914923.0;38200796.0;4285873.0
211;Total goods;Total countries (groups);2012 April;31300915.0;35243748.0;3942833.0
212;Total goods;Total countries (groups);2012 May;33222434.0;37192452.0;3970018.0
213;Total goods;Total countries (groups);2012 June;32278432.0;36122905.0;3844473.0
214;Total goods;Total countries (groups);2012 July;32162739.0;34954488.0;2791749.0
215;Total goods;Total countries (groups);2012 August;32863544.0;34494850.0;1631306.0
216;Total goods;Total countries (groups);2012 September;31616385.0;35195174.0;3578789.0
217;Total goods;Total countries (groups);2012 October;34923529.0;38784512.0;3860983.0
218;Total goods;Total countries (groups);2012 November;34046789.0;37881688.0;3834899.0
219;Total goods;Total countries (groups);2012 December;30639870.0;33942371.0;3302501.0
220;Total goods;Total countries (groups);2012;389867484.0;431419207.0;41551723.0
221;Total goods;European Union (EU);1996 January;7255110.0;10078028.0;2822917.0
222;Total goods;European Union (EU);1996 February;7297910.0;9797736.0;2499825.0
223;Total goods;European Union (EU);1996 March;8019784.0;10935333.0;2915548.0
224;Total goods;European Union (EU);1996 April;7217662.0;9625422.0;2407760.0
225;Total goods;European Union (EU);1996 May;7394536.0;10096052.0;2701516.0
226;Total goods;European Union (EU);1996 June;7393161.0;10039131.0;2645971.0
227;Total goods;European Union (EU);1996 July;7220003.0;9556343.0;2336340.0
228;Total goods;European Union (EU);1996 August;6480810.0;8992831.0;2512022.0
229;Total goods;European Union (EU);1996 September;7662311.0;10573630.0;2911319.0
230;Total goods;European Union (EU);1996 October;8259236.0;10885750.0;2626514.0
231;Total goods;European Union (EU);1996 November;7709818.0;10656032.0;2946214.0
232;Total goods;European Union (EU);1996 December;7705967.0;10537154.0;2831187.0
233;Total goods;European Union (EU);1996;89616308.0;121773441.0;32157133.0
234;Total goods;European Union (EU);1997 January;7640274.0;10831521.0;3191247.0
235;Total goods;European Union (EU);1997 February;7820979.0;10582458.0;2761480.0
236;Total goods;European Union (EU);1997 March;8364353.0;11221299.0;2856946.0
237;Total goods;European Union (EU);1997 April;8287517.0;11057401.0;2769884.0
238;Total goods;European Union (EU);1997 May;7878145.0;10650209.0;2772064.0
239;Total goods;European Union (EU);1997 June;8515177.0;11239596.0;2724420.0
240;Total goods;European Union (EU);1997 July;8132173.0;10568192.0;2436019.0
241;Total goods;European Union (EU);1997 August;6886427.0;9821359.0;2934932.0
242;Total goods;European Union (EU);1997 September;8603953.0;12078403.0;3474449.0
243;Total goods;European Union (EU);1997 October;8902387.0;12468237.0;3565850.0
244;Total goods;European Union (EU);1997 November;8464428.0;11585211.0;3120783.0
245;Total goods;European Union (EU);1997 December;8451801.0;11528677.0;3076876.0
246;Total goods;European Union (EU);1997;97947616.0;133632565.0;35684949.0
247;Total goods;European Union (EU);1998 January;7995519.0;11523303.0;3527784.0
248;Total goods;European Union (EU);1998 February;8324818.0;11535825.0;3211006.0
249;Total goods;European Union (EU);1998 March;9266290.0;13036723.0;3770433.0
250;Total goods;European Union (EU);1998 April;8679443.0;11684258.0;3004815.0
251;Total goods;European Union (EU);1998 May;8316800.0;11296850.0;2980050.0
252;Total goods;European Union (EU);1998 June;8889600.0;11909566.0;3019965.0
253;Total goods;European Union (EU);1998 July;8375168.0;11405921.0;3030754.0
254;Total goods;European Union (EU);1998 August;6966189.0;9984448.0;3018258.0
255;Total goods;European Union (EU);1998 September;8615960.0;12540598.0;3924638.0
256;Total goods;European Union (EU);1998 October;8764868.0;12396040.0;3631172.0
257;Total goods;European Union (EU);1998 November;8746080.0;12076200.0;3330120.0
258;Total goods;European Union (EU);1998 December;8547869.0;11854453.0;3306584.0
259;Total goods;European Union (EU);1998;101488606.0;141244184.0;39755578.0
260;Total goods;European Union (EU);1999 January;7725918.0;11004875.0;3278957.0
261;Total goods;European Union (EU);1999 February;8058074.0;11026705.0;2968631.0
262;Total goods;European Union (EU);1999 March;9413801.0;13427603.0;4013801.0
263;Total goods;European Union (EU);1999 April;8510225.0;11603485.0;3093260.0
264;Total goods;European Union (EU);1999 May;8222203.0;11319148.0;3096945.0
265;Total goods;European Union (EU);1999 June;9034428.0;12742577.0;3708149.0
266;Total goods;European Union (EU);1999 July;8459428.0;11364246.0;2904818.0
267;Total goods;European Union (EU);1999 August;7494388.0;10943935.0;3449547.0
268;Total goods;European Union (EU);1999 September;9258931.0;13341638.0;4082706.0
269;Total goods;European Union (EU);1999 October;9175452.0;13178514.0;4003062.0
270;Total goods;European Union (EU);1999 November;9757822.0;13819683.0;4061860.0
271;Total goods;European Union (EU);1999 December;9788970.0;13699477.0;3910508.0
272;Total goods;European Union (EU);1999;104899640.0;147471884.0;42572244.0
273;Total goods;European Union (EU);2000 January;8672002.0;12864714.0;4192712.0
274;Total goods;European Union (EU);2000 February;9576665.0;13979945.0;4403280.0
275;Total goods;European Union (EU);2000 March;10718821.0;15910232.0;5191412.0
276;Total goods;European Union (EU);2000 April;9302818.0;13545111.0;4242293.0
277;Total goods;European Union (EU);2000 May;10302627.0;15255993.0;4953366.0
278;Total goods;European Union (EU);2000 June;9796298.0;14671371.0;4875073.0
279;Total goods;European Union (EU);2000 July;9147803.0;13748008.0;4600205.0
280;Total goods;European Union (EU);2000 August;9019645.0;14395524.0;5375879.0
281;Total goods;European Union (EU);2000 September;9884099.0;15890410.0;6006311.0
282;Total goods;European Union (EU);2000 October;10624866.0;16203668.0;5578802.0
283;Total goods;European Union (EU);2000 November;11178204.0;16928022.0;5749818.0
284;Total goods;European Union (EU);2000 December;10495966.0;15580124.0;5084158.0
285;Total goods;European Union (EU);2000;118719813.0;178973123.0;60253310.0
286;Total goods;European Union (EU);2001 January;10297632.0;16124764.0;5827132.0
287;Total goods;European Union (EU);2001 February;10116148.0;15496897.0;5380749.0
288;Total goods;European Union (EU);2001 March;11003010.0;17688865.0;6685855.0
289;Total goods;European Union (EU);2001 April;9616228.0;15074122.0;5457894.0
290;Total goods;European Union (EU);2001 May;10427645.0;16398008.0;5970363.0
291;Total goods;European Union (EU);2001 June;10346664.0;16403818.0;6057154.0
292;Total goods;European Union (EU);2001 July;9614274.0;14399265.0;4784991.0
293;Total goods;European Union (EU);2001 August;8935314.0;14172858.0;5237544.0
294;Total goods;European Union (EU);2001 September;9582137.0;15546764.0;5964627.0
295;Total goods;European Union (EU);2001 October;10089856.0;15854807.0;5764951.0
296;Total goods;European Union (EU);2001 November;9969313.0;15535983.0;5566670.0
297;Total goods;European Union (EU);2001 December;9271573.0;14617530.0;5345957.0
298;Total goods;European Union (EU);2001;119269794.0;187313681.0;68043887.0
299;Total goods;European Union (EU);2002 January;9356104.0;14270574.0;4914470.0
300;Total goods;European Union (EU);2002 February;9337401.0;14013328.0;4675927.0
301;Total goods;European Union (EU);2002 March;10149051.0;15911567.0;5762516.0
302;Total goods;European Union (EU);2002 April;9788154.0;14289806.0;4501652.0
303;Total goods;European Union (EU);2002 May;9769985.0;14744201.0;4974216.0
304;Total goods;European Union (EU);2002 June;9911241.0;14721293.0;4810052.0
305;Total goods;European Union (EU);2002 July;9429461.0;13917830.0;4488369.0
306;Total goods;European Union (EU);2002 August;8774941.0;13263407.0;4488466.0
307;Total goods;European Union (EU);2002 September;10189022.0;15660296.0;5471274.0
308;Total goods;European Union (EU);2002 October;10529356.0;15628566.0;5099210.0
309;Total goods;European Union (EU);2002 November;9913741.0;15113088.0;5199347.0
310;Total goods;European Union (EU);2002 December;9789524.0;14525957.0;4736433.0
311;Total goods;European Union (EU);2002;116937981.0;176059913.0;59121932.0
312;Total goods;European Union (EU);2003 January;9624597.0;15131886.0;5507289.0
313;Total goods;European Union (EU);2003 February;9728969.0;14907991.0;5179022.0
314;Total goods;European Union (EU);2003 March;10589133.0;16167474.0;5578341.0
315;Total goods;European Union (EU);2003 April;9610743.0;14122165.0;4511422.0
316;Total goods;European Union (EU);2003 May;9388324.0;13985123.0;4596799.0
317;Total goods;European Union (EU);2003 June;9509765.0;14236373.0;4726608.0
318;Total goods;European Union (EU);2003 July;9690470.0;13921080.0;4230610.0
319;Total goods;European Union (EU);2003 August;8434079.0;12394057.0;3959978.0
320;Total goods;European Union (EU);2003 September;9843826.0;15454369.0;5610543.0
321;Total goods;European Union (EU);2003 October;10600852.0;16145595.0;5544743.0
322;Total goods;European Union (EU);2003 November;9942243.0;15106970.0;5164727.0
323;Total goods;European Union (EU);2003 December;10229456.0;14593260.0;4363804.0
324;Total goods;European Union (EU);2003;117192457.0;176166343.0;58973886.0
325;Total goods;European Union (EU);2004 January;9381103.0;14694549.0;5313446.0
326;Total goods;European Union (EU);2004 February;9635161.0;14512959.0;4877798.0
327;Total goods;European Union (EU);2004 March;11228072.0;17070846.0;5842774.0
328;Total goods;European Union (EU);2004 April;9998677.0;15179101.0;5180424.0
329;Total goods;European Union (EU);2004 May;10089326.0;15459643.0;5370317.0
330;Total goods;European Union (EU);2004 June;11621673.0;17172793.0;5551120.0
331;Total goods;European Union (EU);2004 July;10532597.0;15938332.0;5405735.0
332;Total goods;European Union (EU);2004 August;9964698.0;15003338.0;5038640.0
333;Total goods;European Union (EU);2004 September;11566999.0;18215904.0;6648905.0
334;Total goods;European Union (EU);2004 October;11321366.0;17847338.0;6525972.0
335;Total goods;European Union (EU);2004 November;11686146.0;18028825.0;6342679.0
336;Total goods;European Union (EU);2004 December;11746718.0;17281016.0;5534298.0
337;Total goods;European Union (EU);2004;128772536.0;196404644.0;67632108.0
338;Total goods;European Union (EU);2005 January;10595438.0;16705637.0;6110199.0
339;Total goods;European Union (EU);2005 February;10750790.0;16749789.0;5998999.0
340;Total goods;European Union (EU);2005 March;12198773.0;18911621.0;6712848.0
341;Total goods;European Union (EU);2005 April;11690114.0;17763253.0;6073139.0
342;Total goods;European Union (EU);2005 May;10977514.0;16736086.0;5758572.0
343;Total goods;European Union (EU);2005 June;11752725.0;18061412.0;6308687.0
344;Total goods;European Union (EU);2005 July;10839337.0;16712746.0;5873409.0
345;Total goods;European Union (EU);2005 August;10517933.0;16769425.0;6251492.0
346;Total goods;European Union (EU);2005 September;12183335.0;19514121.0;7330786.0
347;Total goods;European Union (EU);2005 October;11967300.0;19251184.0;7283884.0
348;Total goods;European Union (EU);2005 November;12363210.0;19950793.0;7587583.0
349;Total goods;European Union (EU);2005 December;12358927.0;19052032.0;6693105.0
350;Total goods;European Union (EU);2005;138195396.0;216178099.0;77982703.0
351;Total goods;European Union (EU);2006 January;12162191.0;19554765.0;7392574.0
352;Total goods;European Union (EU);2006 February;12096347.0;19082735.0;6986388.0
353;Total goods;European Union (EU);2006 March;14324540.0;22533958.0;8209418.0
354;Total goods;European Union (EU);2006 April;12670055.0;18854122.0;6184067.0
355;Total goods;European Union (EU);2006 May;13865218.0;19801115.0;5935897.0
356;Total goods;European Union (EU);2006 June;13562736.0;20345884.0;6783148.0
357;Total goods;European Union (EU);2006 July;12733624.0;18168957.0;5435333.0
358;Total goods;European Union (EU);2006 August;12463875.0;19086514.0;6622639.0
359;Total goods;European Union (EU);2006 September;13388895.0;20842012.0;7453117.0
360;Total goods;European Union (EU);2006 October;13961161.0;21602200.0;7641039.0
361;Total goods;European Union (EU);2006 November;14088470.0;22360055.0;8271585.0
362;Total goods;European Union (EU);2006 December;13142898.0;20334021.0;7191123.0
363;Total goods;European Union (EU);2006;158460010.0;242566338.0;84106328.0
364;Total goods;European Union (EU);2007 January;13413256.0;21214910.0;7801654.0
365;Total goods;European Union (EU);2007 February;13579201.0;20530330.0;6951129.0
366;Total goods;European Union (EU);2007 March;15387956.0;23152150.0;7764194.0
367;Total goods;European Union (EU);2007 April;13707766.0;20134012.0;6426246.0
368;Total goods;European Union (EU);2007 May;14688647.0;21192685.0;6504038.0
369;Total goods;European Union (EU);2007 June;14882912.0;21627696.0;6744784.0
370;Total goods;European Union (EU);2007 July;13990877.0;20823023.0;6832146.0
