ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
131;Total sales;B Mining and quarrying;2022 February;203.8;-8.0;124.6
132;Total sales;B Mining and quarrying;2022 March;213.8;4.9;145.9
133;Total sales;B Mining and quarrying;2022 April;269.7;26.1;207.0
134;Total sales;B Mining and quarrying;2022 May;236.8;-12.2;145.7
135;Total sales;B Mining and quarrying;2022 June;241.6;2.0;127.8
136;Total sales;B Mining and quarrying;2022 July;276.3;14.3;129.8
137;Total sales;B Mining and quarrying;2022 August;372.3;34.8;175.7
138;Total sales;B Mining and quarrying;2022 September;447.7;20.2;203.6
139;Total sales;B Mining and quarrying;2022 October;429.6;-4.0;146.9
140;Total sales;B Mining and quarrying;2022 November;400.1;-6.8;105.0
141;Total sales;B Mining and quarrying;2022 December;349.4;-12.7;80.1
142;Total sales;B Mining and quarrying;2022;305.2;;141.4
143;Total sales;B Mining and quarrying;2023 January;334.8;-4.2;51.2
144;Total sales;B Mining and quarrying;2023 February;334.6;0.0;64.2
145;Total sales;B Mining and quarrying;2023 March;295.2;-11.8;38.1
146;Total sales;B Mining and quarrying;2023 April;237.1;-19.7;-12.1
147;Total sales;B Mining and quarrying;2023 May;213.1;-10.1;-10.0
148;Total sales;B Mining and quarrying;2023 June;212.1;-0.5;-12.2
149;Total sales;B Mining and quarrying;2023 July;204.8;-3.5;-25.9
150;Total sales;B Mining and quarrying;2023 August;200.8;-1.9;-46.1
151;Total sales;B Mining and quarrying;2023 September;217.1;8.1;-51.5
152;Total sales;B Mining and quarrying;2023 October;209.0;-3.7;-51.3
153;Total sales;B Mining and quarrying;2023 November;230.1;10.1;-42.5
154;Total sales;B Mining and quarrying;2023 December;236.9;2.9;-32.2
155;Total sales;B Mining and quarrying;2023;243.8;;-20.1
156;Total sales;05 Coal and lignite;2012 January;;;
157;Total sales;05 Coal and lignite;2012 February;;;
158;Total sales;05 Coal and lignite;2012 March;;;
159;Total sales;05 Coal and lignite;2012 April;;;
160;Total sales;05 Coal and lignite;2012 May;;;
161;Total sales;05 Coal and lignite;2012 June;;;
162;Total sales;05 Coal and lignite;2012 July;;;
163;Total sales;05 Coal and lignite;2012 August;;;
164;Total sales;05 Coal and lignite;2012 September;;;
165;Total sales;05 Coal and lignite;2012 October;;;
166;Total sales;05 Coal and lignite;2012 November;;;
167;Total sales;05 Coal and lignite;2012 December;;;
168;Total sales;05 Coal and lignite;2012;;;
169;Total sales;05 Coal and lignite;2013 January;;;
170;Total sales;05 Coal and lignite;2013 February;;;
171;Total sales;05 Coal and lignite;2013 March;;;
172;Total sales;05 Coal and lignite;2013 April;;;
173;Total sales;05 Coal and lignite;2013 May;;;
174;Total sales;05 Coal and lignite;2013 June;;;
175;Total sales;05 Coal and lignite;2013 July;;;
176;Total sales;05 Coal and lignite;2013 August;;;
177;Total sales;05 Coal and lignite;2013 September;;;
178;Total sales;05 Coal and lignite;2013 October;;;
179;Total sales;05 Coal and lignite;2013 November;;;
180;Total sales;05 Coal and lignite;2013 December;;;
181;Total sales;05 Coal and lignite;2013;;;
182;Total sales;05 Coal and lignite;2014 January;;;
183;Total sales;05 Coal and lignite;2014 February;;;
184;Total sales;05 Coal and lignite;2014 March;;;
185;Total sales;05 Coal and lignite;2014 April;;;
186;Total sales;05 Coal and lignite;2014 May;;;
187;Total sales;05 Coal and lignite;2014 June;;;
188;Total sales;05 Coal and lignite;2014 July;;;
189;Total sales;05 Coal and lignite;2014 August;;;
190;Total sales;05 Coal and lignite;2014 September;;;
191;Total sales;05 Coal and lignite;2014 October;;;
192;Total sales;05 Coal and lignite;2014 November;;;
193;Total sales;05 Coal and lignite;2014 December;;;
194;Total sales;05 Coal and lignite;2014;;;
195;Total sales;05 Coal and lignite;2015 January;;;
196;Total sales;05 Coal and lignite;2015 February;;;
197;Total sales;05 Coal and lignite;2015 March;;;
198;Total sales;05 Coal and lignite;2015 April;;;
199;Total sales;05 Coal and lignite;2015 May;;;
200;Total sales;05 Coal and lignite;2015 June;;;
201;Total sales;05 Coal and lignite;2015 July;;;
202;Total sales;05 Coal and lignite;2015 August;;;
203;Total sales;05 Coal and lignite;2015 September;;;
204;Total sales;05 Coal and lignite;2015 October;;;
205;Total sales;05 Coal and lignite;2015 November;;;
206;Total sales;05 Coal and lignite;2015 December;;;
207;Total sales;05 Coal and lignite;2015;;;
208;Total sales;05 Coal and lignite;2016 January;;;
209;Total sales;05 Coal and lignite;2016 February;;;
210;Total sales;05 Coal and lignite;2016 March;;;
211;Total sales;05 Coal and lignite;2016 April;;;
212;Total sales;05 Coal and lignite;2016 May;;;
213;Total sales;05 Coal and lignite;2016 June;;;
214;Total sales;05 Coal and lignite;2016 July;;;
215;Total sales;05 Coal and lignite;2016 August;;;
216;Total sales;05 Coal and lignite;2016 September;;;
217;Total sales;05 Coal and lignite;2016 October;;;
218;Total sales;05 Coal and lignite;2016 November;;;
219;Total sales;05 Coal and lignite;2016 December;;;
220;Total sales;05 Coal and lignite;2016;;;
221;Total sales;05 Coal and lignite;2017 January;;;
222;Total sales;05 Coal and lignite;2017 February;;;
223;Total sales;05 Coal and lignite;2017 March;;;
224;Total sales;05 Coal and lignite;2017 April;;;
225;Total sales;05 Coal and lignite;2017 May;;;
226;Total sales;05 Coal and lignite;2017 June;;;
227;Total sales;05 Coal and lignite;2017 July;;;
228;Total sales;05 Coal and lignite;2017 August;;;
229;Total sales;05 Coal and lignite;2017 September;;;
230;Total sales;05 Coal and lignite;2017 October;;;
231;Total sales;05 Coal and lignite;2017 November;;;
232;Total sales;05 Coal and lignite;2017 December;;;
233;Total sales;05 Coal and lignite;2017;;;
234;Total sales;05 Coal and lignite;2018 January;;;
235;Total sales;05 Coal and lignite;2018 February;;;
236;Total sales;05 Coal and lignite;2018 March;;;
237;Total sales;05 Coal and lignite;2018 April;;;
238;Total sales;05 Coal and lignite;2018 May;;;
239;Total sales;05 Coal and lignite;2018 June;;;
240;Total sales;05 Coal and lignite;2018 July;;;
241;Total sales;05 Coal and lignite;2018 August;;;
242;Total sales;05 Coal and lignite;2018 September;;;
243;Total sales;05 Coal and lignite;2018 October;;;
244;Total sales;05 Coal and lignite;2018 November;;;
245;Total sales;05 Coal and lignite;2018 December;;;
246;Total sales;05 Coal and lignite;2018;;;
247;Total sales;05 Coal and lignite;2019 January;;;
248;Total sales;05 Coal and lignite;2019 February;;;
249;Total sales;05 Coal and lignite;2019 March;;;
250;Total sales;05 Coal and lignite;2019 April;;;
251;Total sales;05 Coal and lignite;2019 May;;;
252;Total sales;05 Coal and lignite;2019 June;;;
253;Total sales;05 Coal and lignite;2019 July;;;
254;Total sales;05 Coal and lignite;2019 August;;;
255;Total sales;05 Coal and lignite;2019 September;;;
256;Total sales;05 Coal and lignite;2019 October;;;
257;Total sales;05 Coal and lignite;2019 November;;;
258;Total sales;05 Coal and lignite;2019 December;;;
259;Total sales;05 Coal and lignite;2019;;;
260;Total sales;05 Coal and lignite;2020 January;;;
261;Total sales;05 Coal and lignite;2020 February;;;
262;Total sales;05 Coal and lignite;2020 March;;;
263;Total sales;05 Coal and lignite;2020 April;;;
264;Total sales;05 Coal and lignite;2020 May;;;
265;Total sales;05 Coal and lignite;2020 June;;;
266;Total sales;05 Coal and lignite;2020 July;;;
267;Total sales;05 Coal and lignite;2020 August;;;
268;Total sales;05 Coal and lignite;2020 September;;;
269;Total sales;05 Coal and lignite;2020 October;;;
270;Total sales;05 Coal and lignite;2020 November;;;
271;Total sales;05 Coal and lignite;2020 December;;;
272;Total sales;05 Coal and lignite;2020;;;
273;Total sales;05 Coal and lignite;2021 January;;;
274;Total sales;05 Coal and lignite;2021 February;;;
275;Total sales;05 Coal and lignite;2021 March;;;
276;Total sales;05 Coal and lignite;2021 April;;;
277;Total sales;05 Coal and lignite;2021 May;;;
278;Total sales;05 Coal and lignite;2021 June;;;
279;Total sales;05 Coal and lignite;2021 July;;;
280;Total sales;05 Coal and lignite;2021 August;;;
281;Total sales;05 Coal and lignite;2021 September;;;
282;Total sales;05 Coal and lignite;2021 October;;;
283;Total sales;05 Coal and lignite;2021 November;;;
284;Total sales;05 Coal and lignite;2021 December;;;
285;Total sales;05 Coal and lignite;2021;;;
286;Total sales;05 Coal and lignite;2022 January;;;
287;Total sales;05 Coal and lignite;2022 February;;;
288;Total sales;05 Coal and lignite;2022 March;;;
289;Total sales;05 Coal and lignite;2022 April;;;
290;Total sales;05 Coal and lignite;2022 May;;;
291;Total sales;05 Coal and lignite;2022 June;;;
292;Total sales;05 Coal and lignite;2022 July;;;
293;Total sales;05 Coal and lignite;2022 August;;;
294;Total sales;05 Coal and lignite;2022 September;;;
295;Total sales;05 Coal and lignite;2022 October;;;
296;Total sales;05 Coal and lignite;2022 November;;;
297;Total sales;05 Coal and lignite;2022 December;;;
298;Total sales;05 Coal and lignite;2022;;;
299;Total sales;05 Coal and lignite;2023 January;;;
300;Total sales;05 Coal and lignite;2023 February;;;
301;Total sales;05 Coal and lignite;2023 March;;;
302;Total sales;05 Coal and lignite;2023 April;;;
303;Total sales;05 Coal and lignite;2023 May;;;
304;Total sales;05 Coal and lignite;2023 June;;;
305;Total sales;05 Coal and lignite;2023 July;;;
306;Total sales;05 Coal and lignite;2023 August;;;
307;Total sales;05 Coal and lignite;2023 September;;;
308;Total sales;05 Coal and lignite;2023 October;;;
309;Total sales;05 Coal and lignite;2023 November;;;
310;Total sales;05 Coal and lignite;2023 December;;;
311;Total sales;05 Coal and lignite;2023;;;
312;Total sales;051 Hard coal;2012 January;;;
313;Total sales;051 Hard coal;2012 February;;;
314;Total sales;051 Hard coal;2012 March;;;
315;Total sales;051 Hard coal;2012 April;;;
316;Total sales;051 Hard coal;2012 May;;;
317;Total sales;051 Hard coal;2012 June;;;
318;Total sales;051 Hard coal;2012 July;;;
319;Total sales;051 Hard coal;2012 August;;;
320;Total sales;051 Hard coal;2012 September;;;
321;Total sales;051 Hard coal;2012 October;;;
322;Total sales;051 Hard coal;2012 November;;;
323;Total sales;051 Hard coal;2012 December;;;
324;Total sales;051 Hard coal;2012;;;
325;Total sales;051 Hard coal;2013 January;;;
326;Total sales;051 Hard coal;2013 February;;;
327;Total sales;051 Hard coal;2013 March;;;
328;Total sales;051 Hard coal;2013 April;;;
329;Total sales;051 Hard coal;2013 May;;;
330;Total sales;051 Hard coal;2013 June;;;
331;Total sales;051 Hard coal;2013 July;;;
332;Total sales;051 Hard coal;2013 August;;;
333;Total sales;051 Hard coal;2013 September;;;
334;Total sales;051 Hard coal;2013 October;;;
335;Total sales;051 Hard coal;2013 November;;;
336;Total sales;051 Hard coal;2013 December;;;
337;Total sales;051 Hard coal;2013;;;
338;Total sales;051 Hard coal;2014 January;;;
339;Total sales;051 Hard coal;2014 February;;;
340;Total sales;051 Hard coal;2014 March;;;
341;Total sales;051 Hard coal;2014 April;;;
342;Total sales;051 Hard coal;2014 May;;;
343;Total sales;051 Hard coal;2014 June;;;
344;Total sales;051 Hard coal;2014 July;;;
345;Total sales;051 Hard coal;2014 August;;;
346;Total sales;051 Hard coal;2014 September;;;
347;Total sales;051 Hard coal;2014 October;;;
348;Total sales;051 Hard coal;2014 November;;;
349;Total sales;051 Hard coal;2014 December;;;
350;Total sales;051 Hard coal;2014;;;
351;Total sales;051 Hard coal;2015 January;;;
352;Total sales;051 Hard coal;2015 February;;;
353;Total sales;051 Hard coal;2015 March;;;
354;Total sales;051 Hard coal;2015 April;;;
355;Total sales;051 Hard coal;2015 May;;;
356;Total sales;051 Hard coal;2015 June;;;
357;Total sales;051 Hard coal;2015 July;;;
358;Total sales;051 Hard coal;2015 August;;;
359;Total sales;051 Hard coal;2015 September;;;
360;Total sales;051 Hard coal;2015 October;;;
361;Total sales;051 Hard coal;2015 November;;;
362;Total sales;051 Hard coal;2015 December;;;
363;Total sales;051 Hard coal;2015;;;
364;Total sales;051 Hard coal;2016 January;;;
365;Total sales;051 Hard coal;2016 February;;;
366;Total sales;051 Hard coal;2016 March;;;
367;Total sales;051 Hard coal;2016 April;;;
368;Total sales;051 Hard coal;2016 May;;;
369;Total sales;051 Hard coal;2016 June;;;
370;Total sales;051 Hard coal;2016 July;;;
371;Total sales;051 Hard coal;2016 August;;;
372;Total sales;051 Hard coal;2016 September;;;
373;Total sales;051 Hard coal;2016 October;;;
374;Total sales;051 Hard coal;2016 November;;;
375;Total sales;051 Hard coal;2016 December;;;
376;Total sales;051 Hard coal;2016;;;
377;Total sales;051 Hard coal;2017 January;;;
378;Total sales;051 Hard coal;2017 February;;;
379;Total sales;051 Hard coal;2017 March;;;
380;Total sales;051 Hard coal;2017 April;;;
381;Total sales;051 Hard coal;2017 May;;;
382;Total sales;051 Hard coal;2017 June;;;
383;Total sales;051 Hard coal;2017 July;;;
384;Total sales;051 Hard coal;2017 August;;;
385;Total sales;051 Hard coal;2017 September;;;
386;Total sales;051 Hard coal;2017 October;;;
387;Total sales;051 Hard coal;2017 November;;;
388;Total sales;051 Hard coal;2017 December;;;
389;Total sales;051 Hard coal;2017;;;
390;Total sales;051 Hard coal;2018 January;;;
391;Total sales;051 Hard coal;2018 February;;;
392;Total sales;051 Hard coal;2018 March;;;
393;Total sales;051 Hard coal;2018 April;;;
394;Total sales;051 Hard coal;2018 May;;;
395;Total sales;051 Hard coal;2018 June;;;
396;Total sales;051 Hard coal;2018 July;;;
397;Total sales;051 Hard coal;2018 August;;;
398;Total sales;051 Hard coal;2018 September;;;
399;Total sales;051 Hard coal;2018 October;;;
400;Total sales;051 Hard coal;2018 November;;;
401;Total sales;051 Hard coal;2018 December;;;
402;Total sales;051 Hard coal;2018;;;
403;Total sales;051 Hard coal;2019 January;;;
404;Total sales;051 Hard coal;2019 February;;;
405;Total sales;051 Hard coal;2019 March;;;
406;Total sales;051 Hard coal;2019 April;;;
407;Total sales;051 Hard coal;2019 May;;;
408;Total sales;051 Hard coal;2019 June;;;
409;Total sales;051 Hard coal;2019 July;;;
410;Total sales;051 Hard coal;2019 August;;;
411;Total sales;051 Hard coal;2019 September;;;
412;Total sales;051 Hard coal;2019 October;;;
413;Total sales;051 Hard coal;2019 November;;;
414;Total sales;051 Hard coal;2019 December;;;
415;Total sales;051 Hard coal;2019;;;
416;Total sales;051 Hard coal;2020 January;;;
417;Total sales;051 Hard coal;2020 February;;;
418;Total sales;051 Hard coal;2020 March;;;
419;Total sales;051 Hard coal;2020 April;;;
420;Total sales;051 Hard coal;2020 May;;;
421;Total sales;051 Hard coal;2020 June;;;
422;Total sales;051 Hard coal;2020 July;;;
423;Total sales;051 Hard coal;2020 August;;;
424;Total sales;051 Hard coal;2020 September;;;
425;Total sales;051 Hard coal;2020 October;;;
426;Total sales;051 Hard coal;2020 November;;;
427;Total sales;051 Hard coal;2020 December;;;
428;Total sales;051 Hard coal;2020;;;
429;Total sales;051 Hard coal;2021 January;;;
430;Total sales;051 Hard coal;2021 February;;;
431;Total sales;051 Hard coal;2021 March;;;
432;Total sales;051 Hard coal;2021 April;;;
433;Total sales;051 Hard coal;2021 May;;;
434;Total sales;051 Hard coal;2021 June;;;
435;Total sales;051 Hard coal;2021 July;;;
436;Total sales;051 Hard coal;2021 August;;;
437;Total sales;051 Hard coal;2021 September;;;
438;Total sales;051 Hard coal;2021 October;;;
439;Total sales;051 Hard coal;2021 November;;;
440;Total sales;051 Hard coal;2021 December;;;
441;Total sales;051 Hard coal;2021;;;
442;Total sales;051 Hard coal;2022 January;;;
443;Total sales;051 Hard coal;2022 February;;;
444;Total sales;051 Hard coal;2022 March;;;
445;Total sales;051 Hard coal;2022 April;;;
446;Total sales;051 Hard coal;2022 May;;;
447;Total sales;051 Hard coal;2022 June;;;
448;Total sales;051 Hard coal;2022 July;;;
449;Total sales;051 Hard coal;2022 August;;;
450;Total sales;051 Hard coal;2022 September;;;
451;Total sales;051 Hard coal;2022 October;;;
452;Total sales;051 Hard coal;2022 November;;;
453;Total sales;051 Hard coal;2022 December;;;
454;Total sales;051 Hard coal;2022;;;
455;Total sales;051 Hard coal;2023 January;;;
456;Total sales;051 Hard coal;2023 February;;;
457;Total sales;051 Hard coal;2023 March;;;
458;Total sales;051 Hard coal;2023 April;;;
459;Total sales;051 Hard coal;2023 May;;;
460;Total sales;051 Hard coal;2023 June;;;
461;Total sales;051 Hard coal;2023 July;;;
462;Total sales;051 Hard coal;2023 August;;;
463;Total sales;051 Hard coal;2023 September;;;
464;Total sales;051 Hard coal;2023 October;;;
465;Total sales;051 Hard coal;2023 November;;;
466;Total sales;051 Hard coal;2023 December;;;
467;Total sales;051 Hard coal;2023;;;
468;Total sales;052 Lignite;2012 January;;;
469;Total sales;052 Lignite;2012 February;;;
470;Total sales;052 Lignite;2012 March;;;
471;Total sales;052 Lignite;2012 April;;;
472;Total sales;052 Lignite;2012 May;;;
473;Total sales;052 Lignite;2012 June;;;
474;Total sales;052 Lignite;2012 July;;;
475;Total sales;052 Lignite;2012 August;;;
476;Total sales;052 Lignite;2012 September;;;
477;Total sales;052 Lignite;2012 October;;;
478;Total sales;052 Lignite;2012 November;;;
479;Total sales;052 Lignite;2012 December;;;
480;Total sales;052 Lignite;2012;;;
481;Total sales;052 Lignite;2013 January;;;
482;Total sales;052 Lignite;2013 February;;;
483;Total sales;052 Lignite;2013 March;;;
484;Total sales;052 Lignite;2013 April;;;
485;Total sales;052 Lignite;2013 May;;;
486;Total sales;052 Lignite;2013 June;;;
487;Total sales;052 Lignite;2013 July;;;
488;Total sales;052 Lignite;2013 August;;;
489;Total sales;052 Lignite;2013 September;;;
490;Total sales;052 Lignite;2013 October;;;
491;Total sales;052 Lignite;2013 November;;;
492;Total sales;052 Lignite;2013 December;;;
493;Total sales;052 Lignite;2013;;;
494;Total sales;052 Lignite;2014 January;;;
495;Total sales;052 Lignite;2014 February;;;
496;Total sales;052 Lignite;2014 March;;;
497;Total sales;052 Lignite;2014 April;;;
498;Total sales;052 Lignite;2014 May;;;
499;Total sales;052 Lignite;2014 June;;;
500;Total sales;052 Lignite;2014 July;;;
501;Total sales;052 Lignite;2014 August;;;
502;Total sales;052 Lignite;2014 September;;;
503;Total sales;052 Lignite;2014 October;;;
504;Total sales;052 Lignite;2014 November;;;
505;Total sales;052 Lignite;2014 December;;;
506;Total sales;052 Lignite;2014;;;
507;Total sales;052 Lignite;2015 January;;;
508;Total sales;052 Lignite;2015 February;;;
509;Total sales;052 Lignite;2015 March;;;
510;Total sales;052 Lignite;2015 April;;;
511;Total sales;052 Lignite;2015 May;;;
512;Total sales;052 Lignite;2015 June;;;
513;Total sales;052 Lignite;2015 July;;;
514;Total sales;052 Lignite;2015 August;;;
515;Total sales;052 Lignite;2015 September;;;
