ID;Regions;Periods;PriceIndex_1;ChangesOnePeriodPrevious_2;ChangesOneYearPrevious_3;Number_4;ChangesOnePeriodPrevious_5;ChangesOneYearPrevious_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
79;Oost-Groningen (CR);1999 3rd quarter;63.1;3.4;12.2;668.0;16.8;24.9;100731.0;67.0
80;Oost-Groningen (CR);1999 October;;;;;;;;
81;Oost-Groningen (CR);1999 November;;;;;;;;
82;Oost-Groningen (CR);1999 December;;;;;;;;
83;Oost-Groningen (CR);1999 4th quarter;65.0;3.0;10.9;694.0;3.9;21.1;101105.0;70.0
84;Oost-Groningen (CR);1999;63.1;9.4;9.4;2383.0;12.2;12.2;96740.0;231.0
85;Oost-Groningen (CR);2000 January;;;;;;;;
86;Oost-Groningen (CR);2000 February;;;;;;;;
87;Oost-Groningen (CR);2000 March;;;;;;;;
88;Oost-Groningen (CR);2000 1st quarter;67.4;3.7;16.1;456.0;-34.3;1.6;99567.0;45.0
89;Oost-Groningen (CR);2000 April;;;;;;;;
90;Oost-Groningen (CR);2000 May;;;;;;;;
91;Oost-Groningen (CR);2000 June;;;;;;;;
92;Oost-Groningen (CR);2000 2nd quarter;71.1;5.5;16.6;502.0;10.1;-12.2;105311.0;53.0
93;Oost-Groningen (CR);2000 July;;;;;;;;
94;Oost-Groningen (CR);2000 August;;;;;;;;
95;Oost-Groningen (CR);2000 September;;;;;;;;
96;Oost-Groningen (CR);2000 3rd quarter;75.0;5.5;19.0;532.0;6.0;-20.4;116633.0;62.0
97;Oost-Groningen (CR);2000 October;;;;;;;;
98;Oost-Groningen (CR);2000 November;;;;;;;;
99;Oost-Groningen (CR);2000 December;;;;;;;;
100;Oost-Groningen (CR);2000 4th quarter;77.2;2.8;18.7;580.0;9.0;-16.4;116206.0;67.0
101;Oost-Groningen (CR);2000;74.2;17.7;17.7;2070.0;-13.1;-13.1;110008.0;228.0
102;Oost-Groningen (CR);2001 January;;;;;;;;
103;Oost-Groningen (CR);2001 February;;;;;;;;
104;Oost-Groningen (CR);2001 March;;;;;;;;
105;Oost-Groningen (CR);2001 1st quarter;78.8;2.2;17.0;368.0;-36.6;-19.3;118541.0;44.0
106;Oost-Groningen (CR);2001 April;;;;;;;;
107;Oost-Groningen (CR);2001 May;;;;;;;;
108;Oost-Groningen (CR);2001 June;;;;;;;;
109;Oost-Groningen (CR);2001 2nd quarter;81.0;2.7;13.9;463.0;25.8;-7.8;125316.0;58.0
110;Oost-Groningen (CR);2001 July;;;;;;;;
111;Oost-Groningen (CR);2001 August;;;;;;;;
112;Oost-Groningen (CR);2001 September;;;;;;;;
113;Oost-Groningen (CR);2001 3rd quarter;85.9;6.1;14.5;556.0;20.1;4.5;127480.0;71.0
114;Oost-Groningen (CR);2001 October;;;;;;;;
115;Oost-Groningen (CR);2001 November;;;;;;;;
116;Oost-Groningen (CR);2001 December;;;;;;;;
117;Oost-Groningen (CR);2001 4th quarter;87.0;1.3;12.8;533.0;-4.1;-8.1;131724.0;70.0
118;Oost-Groningen (CR);2001;85.0;14.5;14.5;1920.0;-7.2;-7.2;126423.0;243.0
119;Oost-Groningen (CR);2002 January;;;;;;;;
120;Oost-Groningen (CR);2002 February;;;;;;;;
121;Oost-Groningen (CR);2002 March;;;;;;;;
122;Oost-Groningen (CR);2002 1st quarter;89.0;2.2;12.8;413.0;-22.5;12.2;132741.0;55.0
123;Oost-Groningen (CR);2002 April;;;;;;;;
124;Oost-Groningen (CR);2002 May;;;;;;;;
125;Oost-Groningen (CR);2002 June;;;;;;;;
126;Oost-Groningen (CR);2002 2nd quarter;90.8;2.0;12.1;459.0;11.1;-0.9;133496.0;61.0
127;Oost-Groningen (CR);2002 July;;;;;;;;
128;Oost-Groningen (CR);2002 August;;;;;;;;
129;Oost-Groningen (CR);2002 September;;;;;;;;
130;Oost-Groningen (CR);2002 3rd quarter;91.9;1.2;7.0;466.0;1.5;-16.2;144583.0;67.0
131;Oost-Groningen (CR);2002 October;;;;;;;;
132;Oost-Groningen (CR);2002 November;;;;;;;;
133;Oost-Groningen (CR);2002 December;;;;;;;;
134;Oost-Groningen (CR);2002 4th quarter;90.9;-1.1;4.4;503.0;7.9;-5.6;146119.0;73.0
135;Oost-Groningen (CR);2002;92.4;8.7;8.7;1841.0;-4.1;-4.1;139582.0;257.0
136;Oost-Groningen (CR);2003 January;;;;;;;;
137;Oost-Groningen (CR);2003 February;;;;;;;;
138;Oost-Groningen (CR);2003 March;;;;;;;;
139;Oost-Groningen (CR);2003 1st quarter;91.4;0.5;2.7;398.0;-20.9;-3.6;149462.0;59.0
140;Oost-Groningen (CR);2003 April;;;;;;;;
141;Oost-Groningen (CR);2003 May;;;;;;;;
142;Oost-Groningen (CR);2003 June;;;;;;;;
143;Oost-Groningen (CR);2003 2nd quarter;93.4;2.3;2.9;490.0;23.1;6.8;138567.0;68.0
144;Oost-Groningen (CR);2003 July;;;;;;;;
145;Oost-Groningen (CR);2003 August;;;;;;;;
146;Oost-Groningen (CR);2003 September;;;;;;;;
147;Oost-Groningen (CR);2003 3rd quarter;95.3;1.9;3.6;468.0;-4.5;0.4;149318.0;70.0
148;Oost-Groningen (CR);2003 October;;;;;;;;
149;Oost-Groningen (CR);2003 November;;;;;;;;
150;Oost-Groningen (CR);2003 December;;;;;;;;
151;Oost-Groningen (CR);2003 4th quarter;95.5;0.3;5.1;548.0;17.1;8.9;142189.0;78.0
152;Oost-Groningen (CR);2003;92.8;0.4;0.4;1904.0;3.4;3.4;144529.0;275.0
153;Oost-Groningen (CR);2004 January;;;;;;;;
154;Oost-Groningen (CR);2004 February;;;;;;;;
155;Oost-Groningen (CR);2004 March;;;;;;;;
156;Oost-Groningen (CR);2004 1st quarter;96.4;0.9;5.6;340.0;-38.0;-14.6;144020.0;49.0
157;Oost-Groningen (CR);2004 April;;;;;;;;
158;Oost-Groningen (CR);2004 May;;;;;;;;
159;Oost-Groningen (CR);2004 June;;;;;;;;
160;Oost-Groningen (CR);2004 2nd quarter;96.5;0.0;3.2;413.0;21.5;-15.7;150746.0;62.0
161;Oost-Groningen (CR);2004 July;;;;;;;;
162;Oost-Groningen (CR);2004 August;;;;;;;;
163;Oost-Groningen (CR);2004 September;;;;;;;;
164;Oost-Groningen (CR);2004 3rd quarter;98.3;2.0;3.2;457.0;10.7;-2.4;147314.0;67.0
165;Oost-Groningen (CR);2004 October;;;;;;;;
166;Oost-Groningen (CR);2004 November;;;;;;;;
167;Oost-Groningen (CR);2004 December;;;;;;;;
168;Oost-Groningen (CR);2004 4th quarter;96.8;-1.5;1.4;530.0;16.0;-3.3;142156.0;75.0
169;Oost-Groningen (CR);2004;95.8;3.2;3.2;1740.0;-8.6;-8.6;145914.0;254.0
170;Oost-Groningen (CR);2005 January;;;;;;;;
171;Oost-Groningen (CR);2005 February;;;;;;;;
172;Oost-Groningen (CR);2005 March;;;;;;;;
173;Oost-Groningen (CR);2005 1st quarter;97.7;0.9;1.3;370.0;-30.2;8.8;142238.0;53.0
174;Oost-Groningen (CR);2005 April;;;;;;;;
175;Oost-Groningen (CR);2005 May;;;;;;;;
176;Oost-Groningen (CR);2005 June;;;;;;;;
177;Oost-Groningen (CR);2005 2nd quarter;99.8;2.1;3.4;464.0;25.4;12.3;153522.0;71.0
178;Oost-Groningen (CR);2005 July;;;;;;;;
179;Oost-Groningen (CR);2005 August;;;;;;;;
180;Oost-Groningen (CR);2005 September;;;;;;;;
181;Oost-Groningen (CR);2005 3rd quarter;101.0;1.2;2.7;570.0;22.8;24.7;154658.0;88.0
182;Oost-Groningen (CR);2005 October;;;;;;;;
183;Oost-Groningen (CR);2005 November;;;;;;;;
184;Oost-Groningen (CR);2005 December;;;;;;;;
185;Oost-Groningen (CR);2005 4th quarter;101.6;0.6;4.9;546.0;-4.2;3.0;158515.0;87.0
186;Oost-Groningen (CR);2005;100.0;4.4;4.4;1950.0;12.1;12.1;153111.0;299.0
187;Oost-Groningen (CR);2006 January;;;;;;;;
188;Oost-Groningen (CR);2006 February;;;;;;;;
189;Oost-Groningen (CR);2006 March;;;;;;;;
190;Oost-Groningen (CR);2006 1st quarter;102.2;0.6;4.6;429.0;-21.4;15.9;157917.0;68.0
191;Oost-Groningen (CR);2006 April;;;;;;;;
192;Oost-Groningen (CR);2006 May;;;;;;;;
193;Oost-Groningen (CR);2006 June;;;;;;;;
194;Oost-Groningen (CR);2006 2nd quarter;105.5;3.2;5.7;484.0;12.8;4.3;156536.0;76.0
195;Oost-Groningen (CR);2006 July;;;;;;;;
196;Oost-Groningen (CR);2006 August;;;;;;;;
197;Oost-Groningen (CR);2006 September;;;;;;;;
198;Oost-Groningen (CR);2006 3rd quarter;104.7;-0.8;3.7;464.0;-4.1;-18.6;167939.0;78.0
199;Oost-Groningen (CR);2006 October;;;;;;;;
200;Oost-Groningen (CR);2006 November;;;;;;;;
201;Oost-Groningen (CR);2006 December;;;;;;;;
202;Oost-Groningen (CR);2006 4th quarter;104.0;-0.6;2.4;514.0;10.8;-5.9;162995.0;84.0
203;Oost-Groningen (CR);2006;104.3;4.3;4.3;1891.0;-3.0;-3.0;161403.0;305.0
204;Oost-Groningen (CR);2007 January;;;;;;;;
205;Oost-Groningen (CR);2007 February;;;;;;;;
206;Oost-Groningen (CR);2007 March;;;;;;;;
207;Oost-Groningen (CR);2007 1st quarter;105.0;0.9;2.8;395.0;-23.2;-7.9;165267.0;65.0
208;Oost-Groningen (CR);2007 April;;;;;;;;
209;Oost-Groningen (CR);2007 May;;;;;;;;
210;Oost-Groningen (CR);2007 June;;;;;;;;
211;Oost-Groningen (CR);2007 2nd quarter;106.0;0.9;0.4;471.0;19.2;-2.7;174148.0;82.0
212;Oost-Groningen (CR);2007 July;;;;;;;;
213;Oost-Groningen (CR);2007 August;;;;;;;;
214;Oost-Groningen (CR);2007 September;;;;;;;;
215;Oost-Groningen (CR);2007 3rd quarter;108.3;2.2;3.5;459.0;-2.5;-1.1;177680.0;82.0
216;Oost-Groningen (CR);2007 October;;;;;;;;
217;Oost-Groningen (CR);2007 November;;;;;;;;
218;Oost-Groningen (CR);2007 December;;;;;;;;
219;Oost-Groningen (CR);2007 4th quarter;107.8;-0.5;3.6;478.0;4.1;-7.0;172162.0;82.0
220;Oost-Groningen (CR);2007;106.9;2.5;2.5;1803.0;-4.7;-4.7;172575.0;311.0
221;Oost-Groningen (CR);2008 January;;;;;;;;
222;Oost-Groningen (CR);2008 February;;;;;;;;
223;Oost-Groningen (CR);2008 March;;;;;;;;
224;Oost-Groningen (CR);2008 1st quarter;109.7;1.7;4.4;361.0;-24.5;-8.6;170974.0;62.0
225;Oost-Groningen (CR);2008 April;;;;;;;;
226;Oost-Groningen (CR);2008 May;;;;;;;;
227;Oost-Groningen (CR);2008 June;;;;;;;;
228;Oost-Groningen (CR);2008 2nd quarter;109.5;-0.2;3.3;409.0;13.3;-13.2;167372.0;68.0
229;Oost-Groningen (CR);2008 July;;;;;;;;
230;Oost-Groningen (CR);2008 August;;;;;;;;
231;Oost-Groningen (CR);2008 September;;;;;;;;
232;Oost-Groningen (CR);2008 3rd quarter;111.2;1.5;2.6;465.0;13.7;1.3;169700.0;79.0
233;Oost-Groningen (CR);2008 October;;;;;;;;
234;Oost-Groningen (CR);2008 November;;;;;;;;
235;Oost-Groningen (CR);2008 December;;;;;;;;
236;Oost-Groningen (CR);2008 4th quarter;111.1;0.0;3.1;381.0;-18.1;-20.3;180269.0;69.0
237;Oost-Groningen (CR);2008;110.5;3.4;3.4;1616.0;-10.4;-10.4;171887.0;278.0
238;Oost-Groningen (CR);2009 January;;;;;;;;
239;Oost-Groningen (CR);2009 February;;;;;;;;
240;Oost-Groningen (CR);2009 March;;;;;;;;
241;Oost-Groningen (CR);2009 1st quarter;104.7;-5.8;-4.5;265.0;-30.4;-26.6;154992.0;41.0
242;Oost-Groningen (CR);2009 April;;;;;;;;
243;Oost-Groningen (CR);2009 May;;;;;;;;
244;Oost-Groningen (CR);2009 June;;;;;;;;
245;Oost-Groningen (CR);2009 2nd quarter;103.9;-0.8;-5.1;289.0;9.1;-29.3;161926.0;47.0
246;Oost-Groningen (CR);2009 July;;;;;;;;
247;Oost-Groningen (CR);2009 August;;;;;;;;
248;Oost-Groningen (CR);2009 September;;;;;;;;
249;Oost-Groningen (CR);2009 3rd quarter;104.3;0.4;-6.2;264.0;-8.7;-43.2;153661.0;41.0
250;Oost-Groningen (CR);2009 October;;;;;;;;
251;Oost-Groningen (CR);2009 November;;;;;;;;
252;Oost-Groningen (CR);2009 December;;;;;;;;
253;Oost-Groningen (CR);2009 4th quarter;104.0;-0.3;-6.4;303.0;14.8;-20.5;159104.0;48.0
254;Oost-Groningen (CR);2009;104.3;-5.7;-5.7;1121.0;-30.6;-30.6;157578.0;177.0
255;Oost-Groningen (CR);2010 January;;;;;;;;
256;Oost-Groningen (CR);2010 February;;;;;;;;
257;Oost-Groningen (CR);2010 March;;;;;;;;
258;Oost-Groningen (CR);2010 1st quarter;104.2;0.3;-0.5;210.0;-30.7;-20.8;148996.0;31.0
259;Oost-Groningen (CR);2010 April;;;;;;;;
260;Oost-Groningen (CR);2010 May;;;;;;;;
261;Oost-Groningen (CR);2010 June;;;;;;;;
262;Oost-Groningen (CR);2010 2nd quarter;103.0;-1.2;-0.9;268.0;27.6;-7.3;157343.0;42.0
263;Oost-Groningen (CR);2010 July;;;;;;;;
264;Oost-Groningen (CR);2010 August;;;;;;;;
265;Oost-Groningen (CR);2010 September;;;;;;;;
266;Oost-Groningen (CR);2010 3rd quarter;106.1;3.1;1.7;292.0;9.0;10.6;160622.0;47.0
267;Oost-Groningen (CR);2010 October;;;;;;;;
268;Oost-Groningen (CR);2010 November;;;;;;;;
269;Oost-Groningen (CR);2010 December;;;;;;;;
270;Oost-Groningen (CR);2010 4th quarter;101.3;-4.6;-2.6;285.0;-2.4;-5.9;157174.0;45.0
271;Oost-Groningen (CR);2010;103.8;-0.5;-0.5;1055.0;-5.9;-5.9;156544.0;165.0
272;Oost-Groningen (CR);2011 January;;;;;;;;
273;Oost-Groningen (CR);2011 February;;;;;;;;
274;Oost-Groningen (CR);2011 March;;;;;;;;
275;Oost-Groningen (CR);2011 1st quarter;99.8;-1.5;-4.3;219.0;-23.2;4.3;162990.0;36.0
276;Oost-Groningen (CR);2011 April;;;;;;;;
277;Oost-Groningen (CR);2011 May;;;;;;;;
278;Oost-Groningen (CR);2011 June;;;;;;;;
279;Oost-Groningen (CR);2011 2nd quarter;99.3;-0.5;-3.6;236.0;7.8;-11.9;149603.0;35.0
280;Oost-Groningen (CR);2011 July;;;;;;;;
281;Oost-Groningen (CR);2011 August;;;;;;;;
282;Oost-Groningen (CR);2011 September;;;;;;;;
283;Oost-Groningen (CR);2011 3rd quarter;97.1;-2.1;-8.5;254.0;7.6;-13.0;149639.0;38.0
284;Oost-Groningen (CR);2011 October;;;;;;;;
285;Oost-Groningen (CR);2011 November;;;;;;;;
286;Oost-Groningen (CR);2011 December;;;;;;;;
287;Oost-Groningen (CR);2011 4th quarter;96.1;-1.1;-5.1;262.0;3.1;-8.1;159543.0;42.0
288;Oost-Groningen (CR);2011;96.9;-6.6;-6.6;971.0;-8.0;-8.0;155314.0;151.0
289;Oost-Groningen (CR);2012 January;;;;;;;;
290;Oost-Groningen (CR);2012 February;;;;;;;;
291;Oost-Groningen (CR);2012 March;;;;;;;;
292;Oost-Groningen (CR);2012 1st quarter;95.5;-0.7;-4.3;178.0;-32.1;-18.7;156978.0;28.0
293;Oost-Groningen (CR);2012 April;;;;;;;;
294;Oost-Groningen (CR);2012 May;;;;;;;;
295;Oost-Groningen (CR);2012 June;;;;;;;;
296;Oost-Groningen (CR);2012 2nd quarter;94.7;-0.8;-4.6;255.0;43.3;8.1;146853.0;37.0
297;Oost-Groningen (CR);2012 July;;;;;;;;
298;Oost-Groningen (CR);2012 August;;;;;;;;
299;Oost-Groningen (CR);2012 September;;;;;;;;
300;Oost-Groningen (CR);2012 3rd quarter;92.1;-2.7;-5.1;208.0;-18.4;-18.1;149491.0;31.0
301;Oost-Groningen (CR);2012 October;;;;;;;;
302;Oost-Groningen (CR);2012 November;;;;;;;;
303;Oost-Groningen (CR);2012 December;;;;;;;;
304;Oost-Groningen (CR);2012 4th quarter;91.6;-0.6;-4.7;264.0;26.9;0.8;146667.0;39.0
305;Oost-Groningen (CR);2012;92.8;-4.3;-4.3;905.0;-6.8;-6.8;149397.0;135.0
306;Delfzijl en omgeving (CR);1995 January;;;;;;;;
307;Delfzijl en omgeving (CR);1995 February;;;;;;;;
308;Delfzijl en omgeving (CR);1995 March ;;;;;;;;
309;Delfzijl en omgeving (CR);1995 1st quarter;45.3;;;83.0;;;62976.0;5.0
310;Delfzijl en omgeving (CR);1995 April;;;;;;;;
311;Delfzijl en omgeving (CR);1995 May;;;;;;;;
312;Delfzijl en omgeving (CR);1995 June;;;;;;;;
313;Delfzijl en omgeving (CR);1995 2nd quarter;44.4;-1.9;;98.0;18.1;;64104.0;6.0
314;Delfzijl en omgeving (CR);1995 July;;;;;;;;
315;Delfzijl en omgeving (CR);1995 August;;;;;;;;
316;Delfzijl en omgeving (CR);1995 September;;;;;;;;
317;Delfzijl en omgeving (CR);1995 3rd quarter;46.3;4.3;;123.0;25.5;;71029.0;9.0
318;Delfzijl en omgeving (CR);1995 October;;;;;;;;
319;Delfzijl en omgeving (CR);1995 November;;;;;;;;
320;Delfzijl en omgeving (CR);1995 December;;;;;;;;
321;Delfzijl en omgeving (CR);1995 4th quarter;45.0;-2.9;;208.0;69.1;;57604.0;12.0
322;Delfzijl en omgeving (CR);1995;43.1;;;512.0;;;62944.0;32.0
323;Delfzijl en omgeving (CR);1996 January;;;;;;;;
324;Delfzijl en omgeving (CR);1996 February;;;;;;;;
325;Delfzijl en omgeving (CR);1996 March ;;;;;;;;
326;Delfzijl en omgeving (CR);1996 1st quarter;48.0;6.8;6.1;125.0;-39.9;50.6;57865.0;7.0
327;Delfzijl en omgeving (CR);1996 April;;;;;;;;
328;Delfzijl en omgeving (CR);1996 May;;;;;;;;
329;Delfzijl en omgeving (CR);1996 June;;;;;;;;
330;Delfzijl en omgeving (CR);1996 2nd quarter;46.5;-3.1;4.7;165.0;32.0;68.4;56830.0;9.0
331;Delfzijl en omgeving (CR);1996 July;;;;;;;;
332;Delfzijl en omgeving (CR);1996 August;;;;;;;;
333;Delfzijl en omgeving (CR);1996 September;;;;;;;;
334;Delfzijl en omgeving (CR);1996 3rd quarter;49.2;5.9;6.3;163.0;-1.2;32.5;70245.0;11.0
335;Delfzijl en omgeving (CR);1996 October;;;;;;;;
336;Delfzijl en omgeving (CR);1996 November;;;;;;;;
337;Delfzijl en omgeving (CR);1996 December;;;;;;;;
338;Delfzijl en omgeving (CR);1996 4th quarter;49.5;0.6;10.2;148.0;-9.2;-28.8;68551.0;10.0
339;Delfzijl en omgeving (CR);1996;46.2;7.2;7.2;601.0;17.4;17.4;63570.0;38.0
340;Delfzijl en omgeving (CR);1997 January;;;;;;;;
341;Delfzijl en omgeving (CR);1997 February;;;;;;;;
342;Delfzijl en omgeving (CR);1997 March ;;;;;;;;
343;Delfzijl en omgeving (CR);1997 1st quarter;50.9;2.8;6.0;105.0;-29.1;-16.0;68122.0;7.0
344;Delfzijl en omgeving (CR);1997 April;;;;;;;;
345;Delfzijl en omgeving (CR);1997 May;;;;;;;;
346;Delfzijl en omgeving (CR);1997 June;;;;;;;;
347;Delfzijl en omgeving (CR);1997 2nd quarter;52.8;3.7;13.5;133.0;26.7;-19.4;80542.0;11.0
348;Delfzijl en omgeving (CR);1997 July;;;;;;;;
349;Delfzijl en omgeving (CR);1997 August;;;;;;;;
350;Delfzijl en omgeving (CR);1997 September;;;;;;;;
351;Delfzijl en omgeving (CR);1997 3rd quarter;53.4;1.1;8.4;137.0;3.0;-16.0;75251.0;10.0
352;Delfzijl en omgeving (CR);1997 October;;;;;;;;
353;Delfzijl en omgeving (CR);1997 November;;;;;;;;
354;Delfzijl en omgeving (CR);1997 December;;;;;;;;
355;Delfzijl en omgeving (CR);1997 4th quarter;52.7;-1.4;6.3;179.0;30.7;20.9;71658.0;13.0
356;Delfzijl en omgeving (CR);1997;50.3;8.9;8.9;554.0;-7.8;-7.8;74009.0;41.0
357;Delfzijl en omgeving (CR);1998 January;;;;;;;;
358;Delfzijl en omgeving (CR);1998 February;;;;;;;;
359;Delfzijl en omgeving (CR);1998 March ;;;;;;;;
360;Delfzijl en omgeving (CR);1998 1st quarter;55.0;4.4;8.0;99.0;-44.7;-5.7;64288.0;6.0
361;Delfzijl en omgeving (CR);1998 April;;;;;;;;
362;Delfzijl en omgeving (CR);1998 May;;;;;;;;
363;Delfzijl en omgeving (CR);1998 June;;;;;;;;
364;Delfzijl en omgeving (CR);1998 2nd quarter;55.5;1.0;5.2;135.0;36.4;1.5;71143.0;10.0
365;Delfzijl en omgeving (CR);1998 July;;;;;;;;
366;Delfzijl en omgeving (CR);1998 August;;;;;;;;
367;Delfzijl en omgeving (CR);1998 September;;;;;;;;
368;Delfzijl en omgeving (CR);1998 3rd quarter;54.5;-1.9;2.0;154.0;14.1;12.4;77971.0;12.0
369;Delfzijl en omgeving (CR);1998 October;;;;;;;;
370;Delfzijl en omgeving (CR);1998 November;;;;;;;;
371;Delfzijl en omgeving (CR);1998 December;;;;;;;;
372;Delfzijl en omgeving (CR);1998 4th quarter;59.3;8.9;12.6;177.0;14.9;-1.1;78101.0;14.0
373;Delfzijl en omgeving (CR);1998;53.6;6.5;6.5;565.0;2.0;2.0;73983.0;42.0
374;Delfzijl en omgeving (CR);1999 January;;;;;;;;
375;Delfzijl en omgeving (CR);1999 February;;;;;;;;
376;Delfzijl en omgeving (CR);1999 March ;;;;;;;;
377;Delfzijl en omgeving (CR);1999 1st quarter;60.0;1.1;9.1;112.0;-36.7;13.1;78065.0;9.0
378;Delfzijl en omgeving (CR);1999 April;;;;;;;;
379;Delfzijl en omgeving (CR);1999 May;;;;;;;;
380;Delfzijl en omgeving (CR);1999 June;;;;;;;;
