ID;AfzetMotorbrandstoffen;Perioden;TotaalAfzet_1;TotaalWegverkeerEnOverigeAfnemers_2;AutogasLpg_3;TotaalMotorbenzine_4;Euro95_5;SuperOngelood98_6;NormaalGelood_7;SuperGelood_8;TotaalDiesel_9;Laagzwavelig_10;Hoogzwavelig_11;Aardgas_12;Elektriciteit_13;TotaalScheepvaart_14;TotaalGasolieEnLichteStookolie_15;AfzetAanBinnenvaart_16;AfzetAanZeevaart_17;AfzetAanHandelarenScheepvaart_18;TotaalStookolie_19;Laagzwavelig_20;Hoogzwavelig_21;TotaalLuchtvaart_22;Vliegtuigkerosine_23;Vliegtuigbenzine_24;JetfuelOpBenzinebasis_25;TotaalRailverkeer_26;Diesel_27;Elektriciteit_28;AutogasLpg_29;TotaalMotorbenzine_30;Euro95_31;SuperOngelood98_32;NormaalGelood_33;SuperGelood_34;TotaalDiesel_35;Laagzwavelig_36;Hoogzwavelig_37;Aardgas_38;Elektriciteit_39;TotaalGasolieEnLichteStookolie_40;AfzetAanBinnenvaart_41;AfzetAanZeevaart_42;AfzetAanHandelarenScheepvaart_43;TotaalStookolie_44;Laagzwavelig_45;Hoogzwavelig_46;Vliegtuigkerosine_47;Vliegtuigbenzine_48;JetfuelOpBenzinebasis_49;Diesel_50;Elektriciteit_51;AutogasLpg_52;TotaalMotorbenzine_53;Euro95_54;SuperOngelood98_55;NormaalGelood_56;SuperGelood_57;TotaalDiesel_58;Laagzwavelig_59;Hoogzwavelig_60
24;Totaal afzet;1970;608.2;177.6;2.7;133.5;;;24.0;109.6;41.4;;41.4;;;399.8;;7.6;;87.7;304.5;;;30.7;22.4;0.6;7.7;;;;59.0;3035.0;;;545.0;2490.0;970.0;;970.0;;;;179.0;;2053.0;7427.0;;;515.0;14.0;177.0;;;107.0;4097.0;;;736.0;3361.0;1167.0;;1167.0
25;Totaal afzet;1971;641.0;192.6;2.8;142.6;;;22.9;119.8;47.2;;47.2;;;414.6;;7.0;;83.8;323.8;;;33.8;28.2;0.4;5.2;;;;61.0;3242.0;;;520.0;2722.0;1105.0;;1105.0;;;;163.0;;1963.0;7898.0;;;649.0;10.0;119.0;;;111.0;4369.0;;;702.0;3667.0;1331.0;;1331.0
26;Totaal afzet;1972;749.7;205.5;3.8;150.4;;;22.0;128.3;51.4;;51.4;;;509.2;;8.3;;104.2;396.7;;;34.9;30.8;0.4;3.7;;;;83.0;3418.0;;;501.0;2917.0;1203.0;;1203.0;;;;195.0;;2440.0;9676.0;;;707.0;10.0;86.0;;;151.0;4585.0;;;671.0;3914.0;1448.0;;1448.0
27;Totaal afzet;1973;789.1;214.7;4.7;156.5;;;21.9;134.6;53.5;;53.5;;;536.9;;9.4;;106.7;420.8;;;37.6;32.9;0.4;4.4;;;;103.0;3556.0;;;497.0;3059.0;1254.0;;1254.0;;;;219.0;;2498.0;10264.0;;;756.0;9.0;100.0;;;187.0;4792.0;;;670.0;4122.0;1506.0;;1506.0
28;Totaal afzet;1974;671.1;204.2;5.7;140.9;;;18.6;122.3;57.6;;57.6;;;429.6;;8.3;;86.2;335.1;;;37.3;32.2;0.4;4.8;;;;126.0;3202.0;;;423.0;2779.0;1350.0;;1350.0;;;;194.0;;2018.0;8174.0;;;740.0;8.0;110.0;;;229.0;4300.0;;;568.0;3732.0;1606.0;;1606.0
29;Totaal afzet;1975;739.5;222.4;7.4;152.8;;;18.9;133.9;62.1;;62.1;;;476.9;;8.1;;93.6;375.3;;;37.0;32.0;0.4;4.6;3.2;;3.2;164.0;3473.0;;;430.0;3043.0;1455.0;;1455.0;;;;190.0;;2191.0;9153.0;;;736.0;8.0;106.0;;899.0;298.0;4675.0;;;586.0;4089.0;1740.0;;1740.0
30;Totaal afzet;1976;797.5;245.9;9.5;161.0;;;21.8;139.2;75.4;;75.4;;;511.4;;9.2;;106.6;395.6;;;36.9;32.4;0.3;4.2;3.3;;3.3;211.0;3659.0;;;495.0;3164.0;1766.0;;1766.0;;;;215.0;;2497.0;9648.0;;;745.0;7.0;96.0;;917.0;384.0;4931.0;;;676.0;4255.0;2114.0;;2114.0
31;Totaal afzet;1977;799.1;256.6;12.2;167.2;;;23.5;143.7;77.2;;77.2;;;500.6;;13.0;;105.0;382.6;;;38.7;34.4;0.3;4.0;3.3;;3.3;269.0;3800.0;;;534.0;3266.0;1809.0;;1809.0;;;;305.0;;2458.0;9332.0;;;790.0;7.0;92.0;;905.0;490.0;5124.0;;;728.0;4396.0;2167.0;;2167.0
32;Totaal afzet;1978;812.1;273.3;16.0;174.0;;;25.8;148.2;83.3;;83.3;;;498.4;;11.8;;102.3;384.3;;;37.1;32.9;0.2;4.0;3.3;;3.3;355.0;3954.0;;;586.0;3368.0;1951.0;;1951.0;;;;276.0;;2395.0;9374.0;;;756.0;5.0;92.0;;921.0;645.0;5332.0;;;798.0;4534.0;2350.0;;2350.0
33;Totaal afzet;1979;765.2;281.7;20.2;175.1;;;27.1;148.0;86.4;;86.4;;;438.1;103.0;16.9;45.6;40.5;335.1;;;42.0;38.5;0.3;3.2;3.4;;3.4;446.0;3979.0;;;616.0;3363.0;2024.0;;2024.0;;;2412.0;397.0;1067.0;948.0;8173.0;;;886.0;6.0;74.0;;952.0;811.0;5343.0;;;834.0;4509.0;2408.0;;2408.0
34;Totaal afzet;1980;752.2;287.8;31.5;165.7;;;29.3;136.4;90.5;;90.5;;;420.1;96.4;19.4;46.2;30.8;323.7;;;40.7;37.4;0.3;3.1;3.5;;3.5;696.0;3854.0;;;682.0;3172.0;2120.0;;2120.0;;;2258.0;454.0;1082.0;722.0;7896.0;;;860.0;6.0;71.0;;978.0;1266.0;5144.0;;;896.0;4248.0;2527.0;;2527.0
35;Totaal afzet;1981;733.5;290.8;36.6;158.5;;;32.2;126.3;95.7;;95.7;;;399.4;99.9;16.9;41.5;41.5;299.5;;;39.7;35.8;0.4;3.5;3.6;;3.6;810.0;3685.0;;;748.0;2937.0;2242.0;;2242.0;;;2340.0;396.0;972.0;972.0;7305.0;;;824.0;9.0;80.0;;1013.0;1473.0;4890.0;;;960.0;3930.0;2663.0;;2663.0
36;Totaal afzet;1982;711.4;287.2;41.1;156.2;;;34.2;122.0;89.9;;89.9;;;376.5;92.1;23.3;42.2;26.6;284.4;;;43.8;40.1;0.2;3.5;3.8;;3.8;909.0;3633.0;;;795.0;2838.0;2106.0;;2106.0;;;2157.0;546.0;988.0;623.0;6937.0;;;922.0;6.0;79.0;;1052.0;1652.0;4846.0;;;1057.0;3789.0;2505.0;;2505.0
37;Totaal afzet;1983;694.8;294.5;40.4;154.5;;;34.8;119.7;99.7;;99.7;;;351.0;91.6;20.1;35.9;35.6;259.4;;;45.4;43.0;0.2;2.2;3.8;;3.8;893.0;3592.0;;;809.0;2783.0;2334.0;;2334.0;;;2146.0;471.0;842.0;833.0;6327.0;;;988.0;5.0;51.0;;1059.0;1624.0;4801.0;;;1076.0;3725.0;2798.0;;2798.0
38;Totaal afzet;1984;677.3;299.6;39.4;155.4;;;34.7;120.7;104.7;;104.7;;;326.0;93.3;24.9;46.7;21.7;232.7;;;47.8;45.0;0.2;2.6;3.9;;3.9;872.0;3614.0;;;807.0;2807.0;2453.0;;2453.0;;;2185.0;582.0;1095.0;508.0;5676.0;;;1033.0;4.0;60.0;;1086.0;1586.0;4837.0;;;1077.0;3759.0;2913.0;;2913.0
39;Totaal afzet;1985;728.9;297.3;37.7;146.0;;;31.6;114.5;113.6;;113.6;;;375.2;99.0;27.0;53.5;18.5;276.3;;;52.4;47.4;0.2;4.8;4.0;;4.0;834.0;3396.0;;;734.0;2662.0;2660.0;;2660.0;;;2318.0;632.0;1253.0;433.0;6738.0;;;1091.0;5.0;110.0;;1106.0;1516.0;4567.0;;;984.0;3583.0;3166.0;;3166.0
40;Totaal afzet;1986;782.9;312.7;38.3;146.9;;;28.5;118.4;127.5;;127.5;;;410.2;96.6;20.8;60.7;15.1;313.6;;;55.8;52.4;0.2;3.2;4.1;;4.1;847.0;3466.0;;;673.0;2793.0;2986.0;;2986.0;;;2262.0;487.0;1421.0;354.0;7649.0;;;1204.0;5.0;74.0;;1142.0;1540.0;4664.0;;;914.0;3750.0;3554.0;;3554.0
41;Totaal afzet;1987;776.3;310.5;37.0;142.0;29.4;;0.0;112.5;131.5;;131.5;;;400.6;93.2;17.5;59.9;15.8;307.4;;;60.9;59.3;0.2;1.4;4.2;;4.2;819.0;3405.0;706.0;;1.0;2698.0;3081.0;;3081.0;;;2183.0;409.0;1403.0;371.0;7497.0;;;1363.0;5.0;32.0;;1172.0;1490.0;4554.0;954.0;;1.0;3599.0;3674.0;;3674.0
42;Totaal afzet;1988;845.8;323.5;38.4;139.8;36.7;;0.0;103.0;145.3;;145.3;;;453.7;94.9;31.6;59.1;4.2;358.8;;;64.4;64.1;0.2;0.0;4.2;;4.2;850.0;3353.0;881.0;;0.0;2471.0;3403.0;;3403.0;;;2224.0;741.0;1385.0;98.0;8752.0;;;1475.0;5.0;1.0;;1161.0;1545.0;4482.0;1183.0;;0.0;3299.0;4051.0;;4051.0
43;Totaal afzet;1989;847.7;338.6;41.9;142.2;53.9;;;88.3;154.5;;154.5;;;439.1;93.2;27.5;60.4;5.3;345.9;;;65.8;65.6;0.2;;4.3;;4.3;928.0;3418.0;1295.0;;;2123.0;3617.0;;3617.0;;;2182.0;644.0;1414.0;124.0;8437.0;;;1507.0;5.0;;;1200.0;1686.0;4568.0;1733.0;;;2836.0;4302.0;;4302.0
44;Totaal afzet;1990;955.6;420.1;41.1;142.9;56.3;14.3;;72.3;236.0;;236.0;;0.0;461.4;94.2;42.0;52.2;;367.3;2.8;364.5;68.3;68.1;0.2;;5.8;1.2;4.6;909.0;3436.0;1354.0;344.0;;1738.0;5489.0;;5489.0;;5.0;2190.0;976.0;1214.0;;8957.0;67.0;8890.0;1566.0;5.0;;29.0;1273.0;1699.0;4584.0;1806.0;459.0;;2320.0;6542.0;;6542.0
45;Totaal afzet;1991;980.1;429.5;40.2;143.4;64.9;21.0;;57.5;245.9;;245.9;;0.0;472.0;95.4;45.7;49.6;;376.6;2.2;374.4;72.5;72.3;0.2;;6.1;1.2;4.9;890.0;3455.0;1564.0;506.0;;1385.0;5718.0;;5718.0;;5.0;2218.0;1064.0;1154.0;;9186.0;54.0;9133.0;1662.0;5.0;;29.0;1355.0;1663.0;4610.0;2085.0;676.0;;1849.0;6815.0;;6815.0
46;Totaal afzet;1992;1010.7;449.1;39.4;148.7;82.9;22.3;;43.5;261.0;;261.0;;0.0;471.5;90.8;42.4;48.4;;380.7;2.7;378.0;83.8;83.6;0.2;;6.2;1.2;5.0;872.0;3591.0;2001.0;539.0;;1051.0;6070.0;;6070.0;;5.0;2113.0;987.0;1126.0;;9285.0;65.0;9220.0;1922.0;5.0;;29.0;1385.0;1629.0;4791.0;2668.0;720.0;;1403.0;7235.0;;7235.0
47;Totaal afzet;1993;1009.9;459.2;38.2;157.0;93.2;25.1;;38.6;264.1;;264.1;;0.0;452.8;85.8;42.7;43.2;;367.0;2.9;364.1;91.3;91.1;0.2;;6.5;1.2;5.2;844.0;3793.0;2252.0;607.0;;933.0;6141.0;;6141.0;;5.0;1996.0;992.0;1004.0;;8952.0;72.0;8880.0;2095.0;5.0;;29.0;1450.0;1578.0;5060.0;3003.0;810.0;;1246.0;7319.0;;7319.0
48;Totaal afzet;1994;1014.5;447.6;36.1;160.6;105.7;23.8;;31.1;250.9;12.4;238.4;;0.0;464.8;82.1;42.3;39.8;;382.7;2.2;380.5;95.6;95.4;0.2;;6.4;1.3;5.2;799.0;3890.0;2560.0;577.0;;752.0;5834.0;289.0;5545.0;;5.0;1909.0;984.0;925.0;;9334.0;53.0;9281.0;2193.0;5.0;;29.0;1439.0;1493.0;5188.0;3413.0;771.0;;1004.0;6955.0;346.0;6609.0
49;Totaal afzet;1995;1027.7;453.8;35.9;165.3;114.0;24.7;;26.6;252.6;19.0;233.6;;0.0;456.9;86.0;42.1;43.9;;370.9;0.8;370.1;110.4;110.1;0.2;;6.6;1.3;5.3;795.0;4003.0;2760.0;597.0;;645.0;5874.0;442.0;5432.0;;5.0;1999.0;979.0;1020.0;;9047.0;19.0;9028.0;2532.0;6.0;;30.0;1473.0;1486.0;5339.0;3681.0;797.0;;861.0;7003.0;529.0;6474.0
50;Totaal afzet;1996;1073.8;473.8;35.5;172.5;127.7;24.5;;20.3;265.8;102.8;163.0;;0.0;475.2;85.4;44.4;41.0;;389.8;1.5;388.3;117.8;117.6;0.2;;6.9;1.3;5.6;785.0;4177.0;3093.0;592.0;;;6167.0;2386.0;3781.0;;5.0;1982.0;1031.0;951.0;;9507.0;38.0;9470.0;2704.0;5.0;;31.0;1560.0;1467.0;4914.0;4124.0;790.0;;;7361.0;2854.0;4507.0
51;Totaal afzet;1997;1115.1;471.6;33.9;170.2;133.9;21.7;;14.6;267.6;267.6;;;0.0;509.3;83.7;43.5;40.2;;425.6;2.8;422.8;127.1;126.9;0.2;;7.1;1.4;5.6;749.0;3777.0;3251.0;526.0;;;6208.0;6208.0;;;5.0;1943.0;1009.0;934.0;;10380.0;67.0;10312.0;2917.0;5.0;;33.0;1566.0;1400.0;5036.0;4334.0;702.0;;;7426.0;7426.0;
52;Totaal afzet;1998;1129.5;479.5;32.6;171.1;141.4;20.0;;9.7;275.8;275.8;;;0.0;508.8;83.3;44.3;39.0;;425.5;2.1;423.4;133.9;133.7;0.2;;7.2;1.4;5.8;720.0;3916.0;3432.0;485.0;;;6400.0;6400.0;;;5.0;1932.0;1027.0;905.0;;10379.0;51.0;10328.0;3074.0;5.0;;32.0;1624.0;1346.0;5223.0;4576.0;647.0;;;7656.0;7656.0;
53;Totaal afzet;1999;1158.7;482.0;29.0;171.1;146.0;18.4;;6.7;281.8;281.8;;;0.0;526.9;82.3;45.1;37.2;;444.6;2.6;442.0;142.6;142.4;0.2;;7.2;1.3;5.9;641.0;3991.0;3543.0;447.0;;;6539.0;6539.0;;0.0;5.0;1909.0;1045.0;864.0;;10844.0;63.0;10781.0;3274.0;5.0;;30.0;1634.0;1199.0;5322.0;4724.0;597.0;;;7822.0;7822.0;
54;Totaal afzet;2000;1185.4;481.6;25.2;166.0;147.7;14.9;;3.5;290.3;290.3;;0.0;0.0;554.5;82.8;44.8;38.0;;471.7;1.8;469.9;141.9;141.7;0.2;;7.4;1.6;5.9;558.0;3945.0;3584.0;361.0;;;6736.0;6736.0;;0.0;5.0;1922.0;1040.0;882.0;;11504.0;43.0;11461.0;3257.0;4.0;;36.0;1625.0;1044.0;5260.0;4778.0;482.0;;;8057.0;8057.0;
55;Totaal afzet;2001;1237.4;487.0;23.4;169.8;155.2;13.0;;1.6;293.7;293.7;;0.0;0.0;605.9;84.8;49.0;35.7;;521.1;1.4;519.7;137.4;137.2;0.2;;7.1;1.5;5.7;518.0;4083.0;3767.0;316.0;;;6814.0;6814.0;;0.0;5.0;1967.0;1137.0;829.0;;12710.0;35.0;12676.0;3154.0;4.0;;34.0;1572.0;969.0;5444.0;5023.0;421.0;;;8151.0;8151.0;
56;Totaal afzet;2002;1247.8;493.7;22.6;171.7;158.6;12.0;;1.1;299.3;299.3;;0.0;0.0;603.4;82.7;48.4;34.3;;520.7;1.6;519.0;143.6;143.4;0.2;;7.0;1.4;5.6;501.0;4141.0;3850.0;291.0;;;6945.0;6945.0;;1.0;6.0;1920.0;1123.0;797.0;;12699.0;40.0;12660.0;3297.0;4.0;;33.0;1551.0;937.0;5522.0;5134.0;388.0;;;8307.0;8307.0;
57;Totaal afzet;2003;1215.6;501.0;19.8;172.4;161.4;10.4;;0.6;308.7;308.7;;0.0;0.0;566.1;77.7;46.8;31.0;;488.4;0.4;487.9;141.4;141.2;0.2;;7.1;1.4;5.7;438.0;4170.0;3917.0;253.0;;;7163.0;7163.0;;1.0;6.0;1804.0;1086.0;718.0;;11911.0;10.0;11901.0;3247.0;3.0;;33.0;1579.0;819.0;5560.0;5223.0;337.0;;;8568.0;8568.0;
58;Totaal afzet;2004;1281.4;506.3;19.7;170.6;161.5;8.9;;0.3;316.0;316.0;;0.0;0.0;616.7;76.4;46.7;29.8;;540.2;0.6;539.6;151.0;150.9;0.1;;7.4;1.5;5.9;435.0;4135.0;3919.0;216.0;;;7331.0;7331.0;;1.0;6.0;1774.0;1083.0;691.0;;13176.0;15.0;13161.0;3468.0;3.0;;34.0;1643.0;813.0;5514.0;5225.0;289.0;;;8769.0;8769.0;
59;Totaal afzet;2005;1335.2;512.1;18.8;169.1;162.1;7.0;;0.0;324.2;324.2;;0.0;0.0;660.2;77.8;47.0;30.8;;582.4;0.7;581.7;155.7;155.5;0.1;;7.2;1.4;5.8;415.0;4103.0;3934.0;169.0;;;7523.0;7523.0;;1.0;6.0;1806.0;1091.0;714.0;;14204.0;17.0;14187.0;3576.0;2.0;;33.0;1603.0;776.0;5471.0;5245.0;226.0;;;8999.0;8999.0;
60;Totaal afzet;2006;1394.2;525.4;18.0;172.3;165.7;6.6;;0.0;335.0;335.0;;0.1;0.0;704.7;77.7;48.1;29.6;;627.0;0.7;626.4;157.0;156.8;0.1;;7.2;1.4;5.8;399.0;4171.0;4012.0;159.0;;;7772.0;7772.0;;2.0;6.0;1802.0;1115.0;687.0;;15293.0;17.0;15277.0;3606.0;2.0;;33.0;1603.0;746.0;5561.0;5349.0;212.0;;;9297.0;9297.0;
61;Totaal afzet;2007;1416.0;527.1;15.2;174.9;169.8;5.0;;;336.9;336.9;;0.1;0.0;723.7;80.9;48.6;32.3;;642.8;0.8;642.0;158.1;158.0;0.1;;7.1;1.4;5.7;336.0;4184.0;4063.0;121.0;;;7854.0;7854.0;;3.0;6.0;1877.0;1127.0;750.0;;15678.0;19.0;15659.0;3631.0;2.0;;33.0;1575.0;629.0;5578.0;5417.0;161.0;;;9395.0;9395.0;
62;Totaal afzet;2008;1393.6;530.3;15.4;174.5;170.2;4.2;;;340.3;340.3;;0.1;0.0;695.9;77.1;47.4;29.7;;618.8;0.4;618.4;160.2;160.1;0.1;;7.2;1.4;5.8;341.0;4174.0;4072.0;102.0;;;7913.0;7913.0;;4.0;7.0;1784.0;1096.0;688.0;;15093.0;9.0;15083.0;3681.0;2.0;;33.0;1607.0;637.0;5565.0;5430.0;136.0;;;9465.0;9465.0;
63;Totaal afzet;2009;1287.3;508.4;15.4;175.2;172.1;3.1;;;317.6;317.6;;0.3;0.0;623.1;74.7;45.3;29.4;;548.4;1.8;546.7;148.5;148.4;0.1;;7.3;1.3;6.0;340.0;4171.0;4098.0;73.0;;;7403.0;7403.0;;8.0;8.0;1730.0;1048.0;682.0;;13376.0;43.0;13333.0;3412.0;2.0;;30.0;1659.0;635.0;5561.0;5463.0;98.0;;;8855.0;8855.0;
64;Totaal afzet;2010;1254.2;509.5;14.4;175.1;172.9;2.2;;;319.7;319.7;;0.4;0.0;592.0;80.7;49.7;31.0;;511.2;72.7;438.5;145.1;145.0;0.1;;7.6;1.4;6.2;318.0;4168.0;4116.0;52.0;;;7417.0;7417.0;;12.0;10.0;1868.0;1150.0;719.0;;12469.0;1773.0;10696.0;3333.0;2.0;;33.0;1746.0;594.0;5558.0;5489.0;69.0;;;8872.0;8872.0;
