ID;Perioden;TotaalVervoerdGewicht_1;RuweAardolieNaarBelgie_2;RuweAardolieNaarDuitsland_3;AardolieproductenNaarDuitsland_4;TotaleVervoersprestatie_5;RuweAardolie_6;Aardolieproducten_7
95;1998 maart;4532;2290;1435;808;523;400;124
96;1998 1e kwartaal;13174;6782;4114;2279;1509;1161;349
97;1998 april;4409;2255;1369;785;506;386;120
98;1998 mei;4470;2371;1383;717;506;396;110
99;1998 juni;4434;2315;1369;749;505;390;115
100;1998 2e kwartaal;13313;6941;4121;2251;1517;1172;345
101;1998 juli;4549;2365;1368;816;518;393;125
102;1998 augustus;4380;2240;1350;790;503;382;121
103;1998 september;4281;2174;1323;783;493;373;120
104;1998 3e kwartaal;13210;6779;4041;2389;1514;1148;366
105;1998 oktober;4637;2468;1363;806;523;399;123
106;1998 november;4158;2329;1072;757;456;341;116
107;1998 december;4673;2514;1340;818;524;399;125
108;1998 4e kwartaal;13468;7311;3775;2381;1503;1139;364
109;1998;53164;27814;16051;9299;6043;4620;1423
110;1999 januari;4459;2192;1463;803;521;398;123
111;1999 februari;4195;2159;1290;747;480;366;114
112;1999 maart;4603;2395;1391;817;524;399;125
113;1999 1e kwartaal;13257;6746;4144;2367;1525;1163;362
114;1999 april;4576;2459;1345;772;514;396;118
115;1999 mei;4196;2357;1024;814;459;334;125
116;1999 juni;4033;2077;1170;787;460;340;120
117;1999 2e kwartaal;12805;6893;3539;2373;1433;1070;363
118;1999 juli;4242;2101;1317;825;493;367;126
119;1999 augustus;4288;2197;1290;801;491;369;123
120;1999 september;4477;2286;1390;801;514;392;123
121;1999 3e kwartaal;13007;6584;3997;2427;1498;1128;372
122;1999 oktober;4522;2358;1341;823;514;388;126
123;1999 november;4525;2297;1471;757;522;406;116
124;1999 december;4478;2277;1371;830;515;388;127
125;1999 4e kwartaal;13525;6932;4183;2410;1551;1182;369
126;1999;52595;27156;15863;9576;6008;4543;1465
127;2000 januari;4513;2383;1384;745;511;397;114
128;2000 februari;4068;2120;1267;681;464;359;104
129;2000 maart;4358;2385;1222;752;485;370;115
130;2000 1e kwartaal;12939;6888;3873;2178;1460;1126;333
131;2000 april;4115;2285;1010;820;452;327;125
132;2000 mei;3504;1730;981;793;406;284;121
133;2000 juni;3435;1701;937;797;397;275;122
134;2000 2e kwartaal;11054;5716;2928;2410;1255;886;368
135;2000 juli;4316;2073;1433;810;509;385;124
136;2000 augustus;4656;2469;1390;797;526;404;122
137;2000 september;4568;2467;1320;781;512;392;119
138;2000 3e kwartaal;13540;7009;4143;2388;1547;1181;365
139;2000 oktober;4989;2645;1580;764;565;448;117
140;2000 november;4524;2480;1287;757;503;387;116
141;2000 december;4807;2590;1375;843;539;410;129
142;2000 4e kwartaal;14320;7715;4242;2364;1607;1245;362
143;2000;51851;27327;15185;9339;5869;4440;1429
144;2001 januari;4773;2508;1464;801;542;419;123
145;2001 februari;4123;2109;1302;712;474;365;109
146;2001 maart;3803;1770;1251;782;453;333;120
147;2001 1e kwartaal;12699;6387;4017;2295;1469;1117;352
148;2001 april;3778;1686;1301;791;457;336;121
149;2001 mei;4632;2466;1368;798;522;400;122
150;2001 juni;4055;2179;1130;746;454;340;114
151;2001 2e kwartaal;12465;6330;3800;2335;1434;1076;357
152;2001 juli;4587;2418;1348;822;519;393;126
153;2001 augustus;4535;2448;1342;746;509;395;114
154;2001 september;4257;2297;1156;804;476;353;123
155;2001 3e kwartaal;13379;7163;3846;2372;1504;1141;363
156;2001 oktober;4147;2233;1085;829;463;336;127
157;2001 november;3797;1827;1169;801;445;323;122
158;2001 december;4378;2135;1412;830;512;385;127
159;2001 4e kwartaal;12322;6195;3666;2460;1420;1044;376
160;2001;50865;26075;15328;9463;5827;4379;1448
161;2002 januari;4589;2432;1383;774;519;401;118
162;2002 februari;4195;2166;1364;665;481;379;102
163;2002 maart;4413;2234;1440;738;510;397;113
164;2002 1e kwartaal;13196;6832;4188;2177;1510;1176;333
165;2002 april;4475;2447;1347;680;499;395;104
166;2002 mei;4319;2501;1145;673;468;365;103
167;2002 juni;4495;2526;1298;671;495;392;103
168;2002 2e kwartaal;13289;7475;3791;2023;1462;1153;310
169;2002 juli;4599;2534;1349;716;511;402;110
170;2002 augustus;4680;2482;1477;722;530;420;110
171;2002 september;4489;2507;1215;767;494;377;117
172;2002 3e kwartaal;13769;7522;4041;2206;1536;1198;337
173;2002 oktober;4649;2421;1492;736;531;418;113
174;2002 november;4409;2414;1385;609;493;400;93
175;2002 december;4404;2470;1280;654;486;386;100
176;2002 4e kwartaal;13462;7305;4158;1999;1509;1204;306
177;2002;53716;29134;16177;8405;6017;4731;1286
178;2003 januari;4818;2594;1496;728;542;431;111
179;2003 februari;4046;2276;1174;596;446;354;91
180;2003 maart;4816;2779;1365;672;524;421;103
181;2003 1e kwartaal;13679;7648;4035;1996;1511;1206;305
182;2003 april;4685;2585;1376;725;521;410;111
183;2003 mei;4723;2631;1429;662;523;422;101
184;2003 juni;4463;2369;1322;772;504;386;118
185;2003 2e kwartaal;13871;7585;4127;2159;1548;1217;330
186;2003 juli;4685;2658;1275;753;513;397;115
187;2003 augustus;4550;2561;1239;750;500;385;115
188;2003 september;4336;2412;1189;735;479;366;112
189;2003 3e kwartaal;13572;7631;3703;2238;1491;1148;342
190;2003 oktober;4787;2627;1333;827;532;405;126
191;2003 november;4538;2496;1268;774;504;385;118
192;2003 december;4894;2685;1434;775;545;426;119
193;2003 4e kwartaal;14219;7809;4035;2375;1581;1217;363
194;2003;55341;30673;15900;8768;6131;4788;1341
195;2004 januari;4678;2601;1287;789;516;396;121
196;2004 februari;4504;2504;1294;706;498;390;108
197;2004 maart;4496;2370;1376;750;510;395;115
198;2004 1e kwartaal;13678;7476;3957;2246;1525;1181;344
199;2004 april;4589;2551;1290;748;507;393;114
200;2004 mei;4446;2565;1232;649;483;384;99
201;2004 juni;4321;2432;1319;570;477;390;87
202;2004 2e kwartaal;13356;7548;3841;1967;1467;1166;301
203;2004 juli;4829;2639;1436;755;539;424;116
204;2004 augustus;4705;2597;1363;744;522;408;114
205;2004 september;4396;2430;1175;791;486;365;121
206;2004 3e kwartaal;13930;7666;3974;2290;1547;1197;350
207;2004 oktober;4588;2529;1311;749;509;395;115
208;2004 november;4594;2526;1349;719;511;401;110
209;2004 december;4798;2670;1363;765;530;413;117
210;2004 4e kwartaal;13980;7725;4023;2233;1551;1209;342
211;2004;54944;30415;15795;8735;6090;4753;1336
212;2005 januari;4610;2490;1359;760;517;400;116
213;2005 februari;4351;2393;1220;738;483;370;113
214;2005 maart;4711;2562;1380;769;526;409;118
215;2005 1e kwartaal;13672;7446;3959;2267;1526;1179;347
216;2005 april;4494;2621;1154;719;484;374;110
217;2005 mei;3960;1941;1353;666;464;362;102
218;2005 juni;3626;1693;1239;694;432;326;106
219;2005 2e kwartaal;12081;6255;3746;2080;1380;1062;318
220;2005 juli;4085;2026;1395;665;477;375;102
221;2005 augustus;4540;2464;1302;773;507;389;118
222;2005 september;4554;2513;1319;722;506;395;110
223;2005 3e kwartaal;13178;7003;4016;2160;1489;1159;330
224;2005 oktober;4634;2569;1300;764;513;396;117
225;2005 november;4383;2332;1330;722;495;385;110
226;2005 december;4824;2662;1397;765;536;418;117
227;2005 4e kwartaal;13841;7563;4027;2251;1543;1199;344
228;2005;52772;28266;15748;8758;5939;4599;1340
229;2006 januari;4654;2562;1317;775;517;398;119
230;2006 februari;4280;2355;1225;700;476;368;107
231;2006 maart;4490;2443;1276;771;501;383;118
232;2006 1e kwartaal;13424;7360;3818;2246;1493;1150;344
233;2006 april;4572;2580;1282;710;502;393;109
234;2006 mei;4645;2683;1374;589;506;416;90
235;2006 juni;4529;2548;1340;641;499;401;98
236;2006 2e kwartaal;13745;7811;3996;1939;1507;1210;297
237;2006 juli;4408;2478;1277;653;486;386;100
238;2006 augustus;4564;2569;1303;693;502;396;106
239;2006 september;4356;2416;1251;688;482;377;105
240;2006 3e kwartaal;13328;7463;3832;2034;1470;1159;311
241;2006 oktober;4492;2463;1274;755;500;384;115
242;2006 november;3155;1182;1218;755;403;287;116
243;2006 december;4023;2121;1206;697;456;349;107
244;2006 4e kwartaal;11670;5766;3697;2207;1358;1021;338
245;2006;52167;28400;15343;8425;5828;4539;1289
246;2007 januari;4561;2635;1298;628;496;400;96
247;2007 februari;4240;2455;1188;597;460;369;91
248;2007 maart;4224;2270;1343;611;476;383;94
249;2007 1e kwartaal;13025;7360;3829;1836;1432;1151;281
250;2007 april;3540;2052;895;593;382;292;91
251;2007 mei;3958;2399;948;610;418;324;93
252;2007 juni;4186;2545;1173;468;444;372;72
253;2007 2e kwartaal;11684;6996;3017;1671;1244;989;256
254;2007 juli;4459;2718;1213;527;472;391;81
255;2007 augustus;4591;2772;1182;637;487;389;98
256;2007 september;4364;2676;1029;659;458;357;101
257;2007 3e kwartaal;13414;8166;3424;1824;1416;1137;279
258;2007 oktober;4704;2818;1335;551;503;419;84
259;2007 november;4532;2699;1254;579;485;397;89
260;2007 december;4635;2701;1312;622;502;407;95
261;2007 4e kwartaal;13871;8218;3901;1752;1490;1222;268
262;2007;51994;30740;14170;7083;5583;4499;1084
263;2008 januari;4807;2728;1362;716;527;417;110
264;2008 februari;4382;2479;1199;703;480;372;108
265;2008 maart;4548;2508;1408;632;507;410;97
266;2008 1e kwartaal;13737;7715;3969;2052;1513;1199;314
267;2008 april;4493;2599;1328;566;489;402;87
268;2008 mei;4568;2685;1312;570;493;406;87
269;2008 juni;4155;2354;1265;536;457;375;82
270;2008 2e kwartaal;13216;7638;3904;1673;1439;1183;256
271;2008 juli;4644;2763;1252;628;497;401;96
272;2008 augustus;4806;2749;1311;746;524;410;114
273;2008 september;4414;2422;1256;736;491;378;113
274;2008 3e kwartaal;13864;7934;3820;2110;1512;1189;323
275;2008 oktober;4744;2631;1382;731;526;414;112
276;2008 november;4380;2372;1309;699;491;384;107
277;2008 december;4475;2593;1274;609;486;393;93
278;2008 4e kwartaal;13600;7595;3965;2039;1503;1191;312
279;2008;54416;30883;15658;7874;5967;4762;1205
280;2009 januari;4459;2406;1224;829;498;372;127
281;2009 februari;4351;2451;1122;778;476;357;119
282;2009 maart;4420;2364;1281;776;497;378;119
283;2009 1e kwartaal;13230;7220;3627;2383;1472;1108;365
284;2009 april;4209;2279;1251;679;472;368;104
285;2009 mei;4370;2511;1266;593;477;386;91
286;2009 juni;4037;2322;1187;528;441;360;81
287;2009 2e kwartaal;12616;7112;3704;1800;1389;1113;275
288;2009 juli;4086;2251;1137;698;453;346;107
289;2009 augustus;4369;2519;1197;653;475;375;100
290;2009 september;3997;2383;896;719;424;314;110
291;2009 3e kwartaal;12453;7153;3230;2069;1352;1036;317
292;2009 oktober;4275;2318;1137;820;476;351;125
293;2009 november;4310;2360;1157;793;478;357;121
294;2009 december;4272;2562;1108;602;455;363;92
295;2009 4e kwartaal;12857;7240;3401;2215;1409;1071;339
296;2009;51155;28725;13963;8467;5622;4327;1295
297;2010 januari;4376;2645;1034;697;462;356;107
298;2010 februari;4055;2294;1132;629;445;348;96
299;2010 maart;3863;1976;1126;761;442;326;116
300;2010 1e kwartaal;12293;6914;3292;2087;1349;1030;319
301;2010 april;4164;2554;1015;595;437;346;91
302;2010 mei;4183;2597;1015;571;437;349;87
303;2010 juni;4337;2502;1136;699;470;363;107
304;2010 2e kwartaal;12684;7652;3167;1865;1344;1059;285
305;2010 juli;4365;2474;1220;672;478;376;103
306;2010 augustus;4532;2532;1280;720;500;390;110
307;2010 september;4381;2453;1222;707;483;374;108
308;2010 3e kwartaal;13278;7458;3721;2099;1461;1140;321
309;2010 oktober;4465;2477;1191;796;493;371;122
310;2010 november;4624;2590;1211;823;508;382;126
311;2010 december;4458;2528;1313;617;489;395;94
312;2010 4e kwartaal;13546;7595;3715;2236;1490;1148;342
313;2010;51818;29619;13912;8287;5647;4379;1268
314;2011 januari;4511;2525;1278;709;497;389;108
315;2011 februari;4162;2310;1152;700;460;353;107
316;2011 maart;4316;2380;1167;769;478;360;118
317;2011 1e kwartaal;12989;7215;3597;2177;1435;1102;333
318;2011 april;3829;2020;1142;667;434;332;102
319;2011 mei;3957;2108;1187;662;446;345;101
320;2011 juni;4187;2279;1256;652;468;369;100
321;2011 2e kwartaal;11973;6407;3586;1981;1348;1045;303
322;2011 juli;4250;2363;1173;713;469;360;109
323;2011 augustus;4493;2533;1291;670;494;392;102
324;2011 september;4185;2311;1188;687;464;359;105
325;2011 3e kwartaal;12928;7206;3652;2070;1428;1111;317
326;2011 oktober;3902;1982;1238;682;450;345;104
327;2011 november;3384;1606;1034;744;399;285;114
328;2011 december;3908;2062;1166;680;443;338;104
329;2011 4e kwartaal;11195;5650;3438;2107;1291;969;322
330;2011;49085;26478;14273;8334;5502;4227;1275
331;2012 januari;4278;2523;1157;598;460;368;91
332;2012 februari;4352;2531;1189;633;471;374;97
333;2012 maart;4130;2421;1190;519;446;367;79
334;2012 1e kwartaal;12760;7475;3535;1749;1377;1109;268
335;2012 april;4359;2592;1117;650;466;366;100
336;2012 mei;3998;2553;772;674;408;305;103
337;2012 juni;4109;2559;908;641;427;328;98
338;2012 2e kwartaal;12466;7704;2797;1965;1300;999;301
339;2012 juli;4540;2505;1248;787;503;382;120
340;2012 augustus;4207;2373;1226;609;463;370;93
341;2012 september;4169;2276;1264;629;466;370;96
342;2012 3e kwartaal;12916;7154;3738;2025;1432;1122;310
343;2012 oktober;4427;2441;1323;662;492;391;101
344;2012 november;4425;2485;1250;690;487;381;106
345;2012 december;4454;2592;1321;542;484;401;83
346;2012 4e kwartaal;13306;7518;3894;1894;1463;1173;290
347;2012;51449;29851;13964;7634;5572;4404;1168
348;2013 januari;4486;2547;1275;663;491;390;101
349;2013 februari;3998;2282;1053;663;436;334;101
350;2013 maart;4398;2619;1023;756;468;352;116
351;2013 1e kwartaal;12882;7448;3352;2082;1395;1076;319
352;2013 april;3866;2271;857;738;413;300;113
353;2013 mei;3932;1974;1205;752;454;339;115
354;2013 juni;3931;2093;1159;679;443;339;104
355;2013 2e kwartaal;11729;6338;3221;2170;1311;979;332
356;2013 juli;4338;2286;1334;718;492;382;110
357;2013 augustus;4243;2210;1311;721;484;373;110
358;2013 september;3859;2098;1187;574;432;344;88
359;2013 3e kwartaal;12439;6594;3832;2013;1408;1100;308
360;2013 oktober;3330;1280;1307;744;423;309;114
361;2013 november;3664;1633;1255;776;443;324;119
362;2013 december;3729;1964;1291;475;426;353;73
363;2013 4e kwartaal;10724;4877;3853;1994;1292;987;305
364;2013;47775;25257;14258;8260;5405;4141;1264
365;2014 januari;3941;1982;1326;633;457;360;97
366;2014 februari;4055;2193;1125;737;453;340;113
367;2014 maart;4742;2631;1403;708;526;417;108
368;2014 1e kwartaal;12739;6806;3854;2078;1436;1118;318
369;2014 april;4622;2601;1282;740;508;395;113
370;2014 mei;4508;2569;1172;766;491;374;117
371;2014 juni;4305;2424;1299;582;475;386;89
372;2014 2e kwartaal;13435;7594;3753;2088;1474;1154;319
373;2014 juli;4542;2486;1275;781;505;386;120
374;2014 augustus;4623;2565;1345;713;512;403;109
375;2014 september;4293;2490;1040;764;463;346;117
376;2014 3e kwartaal;13459;7541;3660;2258;1480;1135;346
377;2014 oktober;4446;2557;1211;679;484;380;104
378;2014 november;4348;2362;1274;713;486;377;109
379;2014 december;4299;2393;1348;559;477;392;85
380;2014 4e kwartaal;13094;7311;3832;1950;1447;1149;298
381;2014;52726;29252;15099;8375;5837;4556;1281
382;2015 januari;4698;2664;1307;728;515;403;111
383;2015 februari;4341;2317;1281;744;489;375;114
384;2015 maart;4609;2388;1430;791;527;406;121
385;2015 1e kwartaal;13649;7368;4017;2263;1530;1184;346
386;2015 april;4573;2541;1342;692;506;401;106
387;2015 mei;4766;2643;1377;745;528;414;114
388;2015 juni;4486;2497;1327;662;497;395;101
389;2015 2e kwartaal;13825;7681;4046;2099;1531;1210;321
390;2015 juli;4729;2619;1350;760;524;408;116
391;2015 augustus;4656;2510;1318;828;521;395;127
392;2015 september;4389;2349;1273;768;494;376;118
393;2015 3e kwartaal;13774;7478;3941;2356;1539;1178;360
394;2015 oktober;4175;2247;1144;785;467;347;120
395;2015 november;4063;2222;1067;773;451;333;118
396;2015 december;4679;2528;1437;714;525;416;109
397;2015 4e kwartaal;12917;6997;3648;2272;1444;1096;347
398;2015;54166;29524;15652;8989;6044;4668;1375
399;2016 januari;4713;2570;1377;766;526;409;117
400;2016 februari;4464;2446;1243;775;496;378;119
401;2016 maart;4573;2403;1390;781;519;400;119
402;2016 1e kwartaal;13750;7419;4009;2322;1541;1186;355
403;2016 april;4296;2302;1246;748;483;368;114
404;2016 mei;4536;2472;1269;795;505;384;122
405;2016 juni;4276;2394;1343;538;474;391;82
406;2016 2e kwartaal;13108;7168;3859;2081;1462;1143;318
407;2016 juli;4637;2440;1422;774;526;408;118
408;2016 augustus;4763;2449;1483;830;546;419;127
409;2016 september;4375;2361;1249;765;490;373;117
410;2016 3e kwartaal;13774;7250;4154;2370;1562;1199;363
411;2016 oktober;4457;2344;1264;849;504;374;130
412;2016 november;4033;2150;1117;765;453;336;117
413;2016 december;4646;2474;1381;791;524;403;121
414;2016 4e kwartaal;13137;6968;3763;2405;1482;1114;368
415;2016;53769;28805;15785;9179;6047;4642;1404
416;2017 januari;4637;2475;1349;814;522;398;124
417;2017 februari;4063;1974;1347;742;477;363;113
418;2017 maart;4669;2506;1332;831;524;397;127
419;2017 1e kwartaal;13369;6955;4028;2386;1523;1158;365
420;2017 april;4614;2387;1407;820;527;402;125
421;2017 mei;4525;2391;1371;763;512;396;117
422;2017 juni;4594;2462;1354;778;517;398;119
423;2017 2e kwartaal;13733;7240;4132;2361;1556;1195;361
424;2017 juli;4708;2492;1366;850;532;402;130
425;2017 augustus;4644;2601;1350;693;512;406;106
426;2017 september;4449;2368;1356;725;503;392;111
427;2017 3e kwartaal;13801;7460;4073;2268;1547;1200;347
428;2017 oktober;4402;2366;1306;729;495;383;112
429;2017 november;4414;2307;1276;831;501;374;127
430;2017 december;4680;2551;1358;772;522;404;118
431;2017 4e kwartaal;13496;7224;3940;2332;1518;1161;357
432;2017;54400;28881;16173;9346;6143;4713;1430
433;2018 januari;4478;2354;1328;795;508;386;122
434;2018 februari;3979;2153;1104;722;445;334;110
435;2018 maart;3925;1835;1280;809;466;342;124
436;2018 1e kwartaal;12381;6342;3712;2327;1418;1062;356
437;2018 april;3527;1680;1083;764;415;298;117
438;2018 mei;3847;1910;1133;804;446;322;123
439;2018 juni;4376;2357;1257;762;491;374;117
440;2018 2e kwartaal;11750;5947;3473;2330;1352;994;357
441;2018 juli;4537;2522;1182;833;500;372;127
442;2018 augustus;4675;2677;1179;818;508;383;125
443;2018 september;4128;2601;761;766;423;306;117
444;2018 3e kwartaal;13340;7800;3122;2417;1431;1061;369
445;2018 oktober;4257;2692;722;843;435;306;129
446;2018 november;4111;2597;713;802;420;298;123
447;2018 december;4524;2715;986;822;478;352;126
448;2018 4e kwartaal;12892;8004;2421;2467;1333;956;378
449;2018;50364;28093;12728;9540;5535;4073;1460
450;2019 januari;4758;2701;1298;759;520;404;116
451;2019 februari;4201;2372;1078;751;459;345;115
452;2019 maart;4673;2595;1249;829;516;389;127
453;2019 1e kwartaal;13632;7668;3625;2339;1495;1138;358
454;2019 april;4457;2486;1206;765;491;374;117
455;2019 mei;4649;2474;1344;831;524;397;127
456;2019 juni;4437;2416;1218;802;494;371;123
457;2019 2e kwartaal;13543;7376;3768;2398;1509;1142;367
458;2019 juli;4374;2432;1193;750;483;368;115
459;2019 augustus;4662;2564;1272;825;517;391;126
460;2019 september;4114;2354;933;827;445;319;126
461;2019 3e kwartaal;13150;7350;3398;2402;1445;1078;367
462;2019 oktober;4199;2365;1014;820;459;333;125
463;2019 november;4124;2377;961;787;445;325;120
464;2019 december;4392;2413;1188;792;487;366;121
465;2019 4e kwartaal;12715;7155;3163;2399;1391;1024;366
466;2019;53040;29549;13954;9538;5840;4382;1458
467;2020 januari;4589;2504;1274;811;511;387;124
468;2020 februari;4333;2430;1170;733;476;364;112
469;2020 maart;4497;2507;1267;724;497;386;111
470;2020 1e kwartaal;13419;7441;3711;2268;1484;1137;347
471;2020 april;3984;2368;1195;421;429;364;64
472;2020 mei;4194;2441;1291;462;456;386;71
473;2020 juni;3429;1880;1181;368;385;329;56
474;2020 2e kwartaal;11607;6689;3667;1251;1270;1079;191
475;2020 juli;3606;1977;1075;554;402;317;85
476;2020 augustus;3819;2259;1068;492;410;335;75
477;2020 september;3529;1953;1087;489;392;317;75
478;2020 3e kwartaal;10954;6189;3230;1535;1204;969;235
479;2020 oktober;2781;888;1221;673;371;268;103
480;2020 november;3512;1732;1042;738;408;295;113
481;2020 december;4209;2433;1145;631;457;360;97
482;2020 4e kwartaal;10502;5053;3408;2042;1236;923;313
483;2020;46482;25372;14016;7096;5194;4108;1086
484;2021 januari;4269;2640;1113;516;448;369;79
485;2021 februari;3804;2395;969;439;395;328;67
486;2021 maart;4525;2675;1189;662;485;384;101
487;2021 1e kwartaal;12598;7710;3271;1617;1328;1081;247
488;2021 april;4685;2286;1600;799;550;427;122
489;2021 mei;4780;2518;1454;808;542;418;124
490;2021 juni;4870;2456;1612;801;564;441;123
491;2021 2e kwartaal;14335;7260;4666;2408;1656;1286;369
492;2021 juli;5050;2566;1696;788;583;463;121
493;2021 augustus;5146;2593;1725;828;596;470;127
494;2021 september;4864;2497;1574;792;559;437;121
495;2021 3e kwartaal;15060;7656;4995;2408;1738;1370;369
496;2021 oktober;4743;2700;1247;796;517;396;122
497;2021 november;4562;2579;1273;711;500;392;109
498;2021 december;4287;2439;1208;640;469;371;98
499;2021 4e kwartaal;13593;7718;3728;2147;1487;1159;328
500;2021;55586;30344;16661;8580;6209;4896;1313
501;2022 januari;4497;2477;1328;692;500;394;106
502;2022 februari;4164;2355;1221;588;458;368;90
503;2022 maart;3874;1923;1229;722;450;340;111
504;2022 1e kwartaal;12535;6755;3778;2002;1408;1102;307
505;2022 april;3446;1403;1305;738;430;317;113
506;2022 mei;4115;2272;1101;741;455;342;113
507;2022 juni;4595;2688;1245;662;496;394;101
508;2022 2e kwartaal;12156;6363;3651;2141;1381;1053;327
509;2022 juli;4807;2750;1324;734;524;412;112
510;2022 augustus;4362;2656;902;804;457;334;123
511;2022 september;4456;2522;1154;780;487;368;119
512;2022 3e kwartaal;13625;7928;3380;2318;1468;1114;354
513;2022 oktober;4448;2468;1281;698;492;386;107
514;2022 november;4270;2426;1230;614;468;374;94
