ID;WereldEUEnNietEU;Perioden;Invoerwaarde_1;Uitvoerwaarde_2
71;Totaal landen;2013 juli;32229699;36102722
72;Totaal landen;2013 augustus;30287254;33885542
73;Totaal landen;2013 september;31918369;35415873
74;Totaal landen;2013 oktober;33853193;38053084
75;Totaal landen;2013 november;32232455;37181170
76;Totaal landen;2013 december;31484455;34787238
77;Totaal landen;2013 ;386354665;433106011
78;Totaal landen;2014 januari;31901613;36074302
79;Totaal landen;2014 februari;30259768;34965859
80;Totaal landen;2014 maart;32823052;37482409
81;Totaal landen;2014 april;32018345;36108816
82;Totaal landen;2014 mei;32100334;35519958
83;Totaal landen;2014 juni;31951558;36123022
84;Totaal landen;2014 juli;33273934;36256492
85;Totaal landen;2014 augustus;29490765;32456324
86;Totaal landen;2014 september;32751389;37748367
87;Totaal landen;2014 oktober;33643285;38461439
88;Totaal landen;2014 november;31225781;36343557
89;Totaal landen;2014 december;30976427;35864909
90;Totaal landen;2014;382416252;433405454
91;Totaal landen;2015 januari;28305865;33055026
92;Totaal landen;2015 februari;28559828;33473262
93;Totaal landen;2015 maart;34021325;37198362
94;Totaal landen;2015 april;31602411;35239820
95;Totaal landen;2015 mei;30739753;33566924
96;Totaal landen;2015 juni;32881257;37623063
97;Totaal landen;2015 juli;32015198;36153516
98;Totaal landen;2015 augustus;28752192;31689246
99;Totaal landen;2015 september;31059138;35184719
100;Totaal landen;2015 oktober;31686281;35427643
101;Totaal landen;2015 november;31017974;35463556
102;Totaal landen;2015 december;31553605;34907115
103;Totaal landen;2015;372194826;418982251
104;Totaal landen;2016 januari;27904723;32235254
105;Totaal landen;2016 februari;29404157;33078142
106;Totaal landen;2016 maart;30801168;36031220
107;Totaal landen;2016 april;30062369;34662713
108;Totaal landen;2016 mei;30056053;34453401
109;Totaal landen;2016 juni;31931291;36850143
110;Totaal landen;2016 juli;29134665;33620087
111;Totaal landen;2016 augustus;29551869;33558656
112;Totaal landen;2016 september;32133665;36738508
113;Totaal landen;2016 oktober;31901448;35704539
114;Totaal landen;2016 november;33358223;38679146
115;Totaal landen;2016 december;32620969;37616034
116;Totaal landen;2016;368860601;423227843
117;Totaal landen;2017 januari;33215369;37789808
118;Totaal landen;2017 februari;32372275;37421786
119;Totaal landen;2017 maart;37059589;43551106
120;Totaal landen;2017 april;31674598;35547586
121;Totaal landen;2017 mei;35179371;39851303
122;Totaal landen;2017 juni;34314444;40649317
123;Totaal landen;2017 juli;32082705;36813865
124;Totaal landen;2017 augustus;33147757;36766535
125;Totaal landen;2017 september;33561718;39350265
126;Totaal landen;2017 oktober;34810659;39335482
127;Totaal landen;2017 november;37051495;42231541
128;Totaal landen;2017 december;34414547;38125441
129;Totaal landen;2017;408884527;467434035
130;Totaal landen;2018 januari;36786528;40661969
131;Totaal landen;2018 februari;34447789;38895876
132;Totaal landen;2018 maart;37320014;43482749
133;Totaal landen;2018 april;35008899;38603735
134;Totaal landen;2018 mei;36725151;42077987
135;Totaal landen;2018 juni;36847560;42093154
136;Totaal landen;2018 juli;36199389;40511253
137;Totaal landen;2018 augustus;36847891;40700475
138;Totaal landen;2018 september;36231387;42142017
139;Totaal landen;2018 oktober;40534152;44842909
140;Totaal landen;2018 november;38644538;44864612
141;Totaal landen;2018 december;35681273;38997581
142;Totaal landen;2018;441274570;497874316
143;Totaal landen;2019 januari;38632173;41347128
144;Totaal landen;2019 februari;36041534;41120751
145;Totaal landen;2019 maart;39617741;45245394
146;Totaal landen;2019 april;39105808;42750828
147;Totaal landen;2019 mei;39665234;44752192
148;Totaal landen;2019 juni;36950599;41631537
149;Totaal landen;2019 juli;38313087;42386257
150;Totaal landen;2019 augustus;35796947;39998421
151;Totaal landen;2019 september;38080380;43269189
152;Totaal landen;2019 oktober;40506103;46694944
153;Totaal landen;2019 november;39259748;43816860
154;Totaal landen;2019 december;37924037;42250839
155;Totaal landen;2019;459893391;515264341
156;Totaal landen;2020 januari;38840270;43336828
157;Totaal landen;2020 februari;35572893;41329035
158;Totaal landen;2020 maart;37321585;43083613
159;Totaal landen;2020 april;30693612;33852519
160;Totaal landen;2020 mei;30481913;33935855
161;Totaal landen;2020 juni;35258072;39223449
162;Totaal landen;2020 juli;34790679;40204278
163;Totaal landen;2020 augustus;31920037;35743388
164;Totaal landen;2020 september;36745252;42069715
165;Totaal landen;2020 oktober;36894830;43968224
166;Totaal landen;2020 november;37558957;43313118
167;Totaal landen;2020 december;37744547;42652920
168;Totaal landen;2020;423822646;482712943
169;Totaal landen;2021 januari;35574233;40957350
170;Totaal landen;2021 februari;36247088;42298541
171;Totaal landen;2021 maart;44799287;51751350
172;Totaal landen;2021 april;41657676;46448031
173;Totaal landen;2021 mei;40738013;46097059
174;Totaal landen;2021 juni;44032968;50798812
175;Totaal landen;2021 juli;43260593;48889799
176;Totaal landen;2021 augustus;42954930;47161351
177;Totaal landen;2021 september;46421496;52181114
178;Totaal landen;2021 oktober;47883779;51337317
179;Totaal landen;2021 november;52261796;56528747
180;Totaal landen;2021 december;51223067;54752785
181;Totaal landen;2021;527054926;589202255
182;Totaal landen;2022 januari;46955502;49540636
183;Totaal landen;2022 februari;45548544;48927942
184;Totaal landen;2022 maart;56146414;60342273
185;Totaal landen;2022 april;53800930;57118881
186;Totaal landen;2022 mei;58232271;61718416
187;Totaal landen;2022 juni;58500839;63670470
188;Totaal landen;2022 juli;54347682;58902650
189;Totaal landen;2022 augustus;58215248;60227259
190;Totaal landen;2022 januari-augustus;431747431;460448526
191;EU (exclusief Nederland);2008 januari;15341880;24126985
192;EU (exclusief Nederland);2008 februari;15795541;23737861
193;EU (exclusief Nederland);2008 maart;15435124;24429298
194;EU (exclusief Nederland);2008 april;16195024;24374242
195;EU (exclusief Nederland);2008 mei;15571785;23158794
196;EU (exclusief Nederland);2008 juni;16223303;23943383
197;EU (exclusief Nederland);2008 juli;15920969;23729253
198;EU (exclusief Nederland);2008 augustus;14142968;21821710
199;EU (exclusief Nederland);2008 september;16290328;24957603
200;EU (exclusief Nederland);2008 oktober;16579415;25672631
201;EU (exclusief Nederland);2008 november;14313683;22547257
202;EU (exclusief Nederland);2008 december;13317908;20236223
203;EU (exclusief Nederland);2008;185127926;282735241
204;EU (exclusief Nederland);2009 januari;11937757;19555112
205;EU (exclusief Nederland);2009 februari;12573855;18848312
206;EU (exclusief Nederland);2009 maart;13297883;20229328
207;EU (exclusief Nederland);2009 april;12124252;18027377
208;EU (exclusief Nederland);2009 mei;11757052;17720619
209;EU (exclusief Nederland);2009 juni;12802879;18721178
210;EU (exclusief Nederland);2009 juli;12799612;18629566
211;EU (exclusief Nederland);2009 augustus;11292860;17035310
212;EU (exclusief Nederland);2009 september;12992237;20277685
213;EU (exclusief Nederland);2009 oktober;13426115;21295484
214;EU (exclusief Nederland);2009 november;13173774;21170299
215;EU (exclusief Nederland);2009 december;13647892;19833973
216;EU (exclusief Nederland);2009;151826168;231344242
217;EU (exclusief Nederland);2010 januari;12800742;20918015
218;EU (exclusief Nederland);2010 februari;13183055;20577997
219;EU (exclusief Nederland);2010 maart;15702654;24478633
220;EU (exclusief Nederland);2010 april;14859042;22398319
221;EU (exclusief Nederland);2010 mei;14349982;21772772
222;EU (exclusief Nederland);2010 juni;16444291;23618602
223;EU (exclusief Nederland);2010 juli;14207160;22190109
224;EU (exclusief Nederland);2010 augustus;13328897;21005204
225;EU (exclusief Nederland);2010 september;14795443;23852370
226;EU (exclusief Nederland);2010 oktober;15248097;24265289
227;EU (exclusief Nederland);2010 november;16081141;25907511
228;EU (exclusief Nederland);2010 december;15669762;24681094
229;EU (exclusief Nederland);2010;176670267;275665916
230;EU (exclusief Nederland);2011 januari;14805277;24205698
231;EU (exclusief Nederland);2011 februari;15778700;24493234
232;EU (exclusief Nederland);2011 maart;17945268;28115144
233;EU (exclusief Nederland);2011 april;15280353;24732298
234;EU (exclusief Nederland);2011 mei;16772650;25553566
235;EU (exclusief Nederland);2011 juni;16361616;24935201
236;EU (exclusief Nederland);2011 juli;15774412;23980870
237;EU (exclusief Nederland);2011 augustus;15504680;23990002
238;EU (exclusief Nederland);2011 september;16397164;25974643
239;EU (exclusief Nederland);2011 oktober;16059655;25552316
240;EU (exclusief Nederland);2011 november;16748413;26348906
241;EU (exclusief Nederland);2011 december;16136694;25000876
242;EU (exclusief Nederland);2011;193564881;302882752
243;EU (exclusief Nederland);2012 januari;15522823;25155385
244;EU (exclusief Nederland);2012 februari;16266543;25932625
245;EU (exclusief Nederland);2012 maart;18065513;27938286
246;EU (exclusief Nederland);2012 april;16105230;25096904
247;EU (exclusief Nederland);2012 mei;16882677;26159941
248;EU (exclusief Nederland);2012 juni;17034115;25662599
249;EU (exclusief Nederland);2012 juli;16452434;25244585
250;EU (exclusief Nederland);2012 augustus;16234214;24406254
251;EU (exclusief Nederland);2012 september;16658224;25531551
252;EU (exclusief Nederland);2012 oktober;18133386;28552474
253;EU (exclusief Nederland);2012 november;17488095;27772383
254;EU (exclusief Nederland);2012 december;15852791;24270813
255;EU (exclusief Nederland);2012;200696042;311723800
256;EU (exclusief Nederland);2013 januari;17198239;26916374
257;EU (exclusief Nederland);2013 februari;16719374;25488830
258;EU (exclusief Nederland);2013 maart;17634802;27667434
259;EU (exclusief Nederland);2013 april;16726066;25701565
260;EU (exclusief Nederland);2013 mei;17502521;26701291
261;EU (exclusief Nederland);2013 juni;17073583;26168190
262;EU (exclusief Nederland);2013 juli;17054233;26051849
263;EU (exclusief Nederland);2013 augustus;15450943;24337646
264;EU (exclusief Nederland);2013 september;16373925;26445413
265;EU (exclusief Nederland);2013 oktober;17242494;28576007
266;EU (exclusief Nederland);2013 november;16684384;27471920
267;EU (exclusief Nederland);2013 december;16488625;25504233
268;EU (exclusief Nederland);2013 ;202149191;317030751
269;EU (exclusief Nederland);2014 januari;16327080;27144355
270;EU (exclusief Nederland);2014 februari;16407336;25641754
271;EU (exclusief Nederland);2014 maart;17292071;27460307
272;EU (exclusief Nederland);2014 april;17076209;26574189
273;EU (exclusief Nederland);2014 mei;16671690;25903219
274;EU (exclusief Nederland);2014 juni;16411707;26336009
275;EU (exclusief Nederland);2014 juli;16880110;26603551
276;EU (exclusief Nederland);2014 augustus;14216633;23622952
277;EU (exclusief Nederland);2014 september;17058066;27574742
278;EU (exclusief Nederland);2014 oktober;17818191;27849157
279;EU (exclusief Nederland);2014 november;16258962;26543241
280;EU (exclusief Nederland);2014 december;15964658;25695405
281;EU (exclusief Nederland);2014;198382714;316948881
282;EU (exclusief Nederland);2015 januari;15238632;24170774
283;EU (exclusief Nederland);2015 februari;15513461;24431636
284;EU (exclusief Nederland);2015 maart;18108429;27250345
285;EU (exclusief Nederland);2015 april;16769816;25204625
286;EU (exclusief Nederland);2015 mei;16217714;24110853
287;EU (exclusief Nederland);2015 juni;17860005;26819869
288;EU (exclusief Nederland);2015 juli;17474219;25502984
289;EU (exclusief Nederland);2015 augustus;14924747;23077533
290;EU (exclusief Nederland);2015 september;16887224;25766792
291;EU (exclusief Nederland);2015 oktober;17331233;25901495
292;EU (exclusief Nederland);2015 november;16953863;25699781
293;EU (exclusief Nederland);2015 december;17201661;24567940
294;EU (exclusief Nederland);2015;200481005;302504626
295;EU (exclusief Nederland);2016 januari;15092801;23729192
296;EU (exclusief Nederland);2016 februari;15916297;24742418
297;EU (exclusief Nederland);2016 maart;17147737;26528166
298;EU (exclusief Nederland);2016 april;16310712;25575665
299;EU (exclusief Nederland);2016 mei;16246602;24911959
300;EU (exclusief Nederland);2016 juni;17411945;26311961
301;EU (exclusief Nederland);2016 juli;15982653;24067827
302;EU (exclusief Nederland);2016 augustus;15906699;24248147
303;EU (exclusief Nederland);2016 september;17196946;26299197
304;EU (exclusief Nederland);2016 oktober;17298826;26167448
305;EU (exclusief Nederland);2016 november;18068561;27622085
306;EU (exclusief Nederland);2016 december;17814755;26390369
307;EU (exclusief Nederland);2016;200394534;306594436
308;EU (exclusief Nederland);2017 januari;17340677;27262292
309;EU (exclusief Nederland);2017 februari;17145748;27139227
310;EU (exclusief Nederland);2017 maart;20029619;31138721
311;EU (exclusief Nederland);2017 april;16704245;25284268
312;EU (exclusief Nederland);2017 mei;18967960;28512089
313;EU (exclusief Nederland);2017 juni;18882916;28729678
314;EU (exclusief Nederland);2017 juli;17717282;26100099
315;EU (exclusief Nederland);2017 augustus;17563225;26123804
316;EU (exclusief Nederland);2017 september;18526064;28006145
317;EU (exclusief Nederland);2017 oktober;19129101;28308471
318;EU (exclusief Nederland);2017 november;20714293;30167056
319;EU (exclusief Nederland);2017 december;19052628;26876787
320;EU (exclusief Nederland);2017;221773758;333648638
321;EU (exclusief Nederland);2018 januari;19041298;28932424
322;EU (exclusief Nederland);2018 februari;18977721;27648323
323;EU (exclusief Nederland);2018 maart;20496708;30766494
324;EU (exclusief Nederland);2018 april;18911359;27650819
325;EU (exclusief Nederland);2018 mei;19676071;30004462
326;EU (exclusief Nederland);2018 juni;20065330;29985194
327;EU (exclusief Nederland);2018 juli;19422342;28292632
328;EU (exclusief Nederland);2018 augustus;18559671;28358037
329;EU (exclusief Nederland);2018 september;19412985;29566254
330;EU (exclusief Nederland);2018 oktober;21632492;31976074
331;EU (exclusief Nederland);2018 november;20677637;31771522
332;EU (exclusief Nederland);2018 december;19028822;27430212
333;EU (exclusief Nederland);2018;235902435;352382448
334;EU (exclusief Nederland);2019 januari;20238844;30423263
335;EU (exclusief Nederland);2019 februari;19458258;29471601
336;EU (exclusief Nederland);2019 maart;21328318;32241981
337;EU (exclusief Nederland);2019 april;20630393;29927342
338;EU (exclusief Nederland);2019 mei;21452839;31567259
339;EU (exclusief Nederland);2019 juni;19652785;28626501
340;EU (exclusief Nederland);2019 juli;19894616;29640764
341;EU (exclusief Nederland);2019 augustus;17910318;27380402
342;EU (exclusief Nederland);2019 september;20344956;29860884
343;EU (exclusief Nederland);2019 oktober;21304199;32081030
344;EU (exclusief Nederland);2019 november;20453315;30214081
345;EU (exclusief Nederland);2019 december;19933557;28129553
346;EU (exclusief Nederland);2019;242602399;359564660
347;EU (exclusief Nederland);2020 januari;20193226;30899950
348;EU (exclusief Nederland);2020 februari;17072899;25896113
349;EU (exclusief Nederland);2020 maart;18136932;26560162
350;EU (exclusief Nederland);2020 april;14612653;20811281
351;EU (exclusief Nederland);2020 mei;14705906;21683247
352;EU (exclusief Nederland);2020 juni;17368453;24764693
353;EU (exclusief Nederland);2020 juli;17320288;24640377
354;EU (exclusief Nederland);2020 augustus;15427036;22908872
355;EU (exclusief Nederland);2020 september;18110875;26621923
356;EU (exclusief Nederland);2020 oktober;18338587;27744258
357;EU (exclusief Nederland);2020 november;18737104;27148099
358;EU (exclusief Nederland);2020 december;18748896;25714305
359;EU (exclusief Nederland);2020;208772854;305393278
360;EU (exclusief Nederland);2021 januari;17544435;26887115
361;EU (exclusief Nederland);2021 februari;18541991;27378748
362;EU (exclusief Nederland);2021 maart;21799530;33221602
363;EU (exclusief Nederland);2021 april;20238578;30128725
364;EU (exclusief Nederland);2021 mei;19898008;29994641
365;EU (exclusief Nederland);2021 juni;21739509;32430714
366;EU (exclusief Nederland);2021 juli;20924748;31732091
367;EU (exclusief Nederland);2021 augustus;19155410;30065149
368;EU (exclusief Nederland);2021 september;22463350;34375314
369;EU (exclusief Nederland);2021 oktober;22543110;35455281
370;EU (exclusief Nederland);2021 november;24121785;37173591
371;EU (exclusief Nederland);2021 december;24055862;36035304
372;EU (exclusief Nederland);2021;253026317;384878275
373;EU (exclusief Nederland);2022 januari;22319782;34124514
374;EU (exclusief Nederland);2022 februari;22545884;32983737
375;EU (exclusief Nederland);2022 maart;26269107;41165285
376;EU (exclusief Nederland);2022 april;24446861;39051420
377;EU (exclusief Nederland);2022 mei;26197349;40701074
378;EU (exclusief Nederland);2022 juni;26749192;42278221
379;EU (exclusief Nederland);2022 juli;24642318;38914917
380;EU (exclusief Nederland);2022 augustus;24132771;40407043
381;EU (exclusief Nederland);2022 januari-augustus;197303264;309626213
382;Niet-EU;2008 januari;12757667;6897742
383;Niet-EU;2008 februari;12104154;7330331
384;Niet-EU;2008 maart;12642601;7189386
385;Niet-EU;2008 april;12283853;7645357
386;Niet-EU;2008 mei;12584105;7308158
387;Niet-EU;2008 juni;12995544;8017006
388;Niet-EU;2008 juli;12860787;7659986
389;Niet-EU;2008 augustus;12935384;7040851
390;Niet-EU;2008 september;13740867;8185790
391;Niet-EU;2008 oktober;12999285;7677668
392;Niet-EU;2008 november;12217859;6532004
393;Niet-EU;2008 december;10676885;6269261
394;Niet-EU;2008;150798991;87753540
395;Niet-EU;2009 januari;10129107;5419873
396;Niet-EU;2009 februari;9243878;5795329
397;Niet-EU;2009 maart;10488811;6396854
398;Niet-EU;2009 april;9426470;5949377
399;Niet-EU;2009 mei;9552408;6177516
400;Niet-EU;2009 juni;9591825;6861776
401;Niet-EU;2009 juli;10106393;7344661
402;Niet-EU;2009 augustus;10137271;6494168
403;Niet-EU;2009 september;10499806;7213027
404;Niet-EU;2009 oktober;10717387;6757893
405;Niet-EU;2009 november;11264091;6742509
406;Niet-EU;2009 december;11041412;6871970
407;Niet-EU;2009;122198860;78024952
408;Niet-EU;2010 januari;11768473;5870287
409;Niet-EU;2010 februari;10571007;7021690
410;Niet-EU;2010 maart;12769995;8291283
411;Niet-EU;2010 april;12191938;7224364
412;Niet-EU;2010 mei;12731177;7526853
413;Niet-EU;2010 juni;13190284;8533696
414;Niet-EU;2010 juli;13508151;8509430
415;Niet-EU;2010 augustus;13043648;8457312
416;Niet-EU;2010 september;13213354;8856183
417;Niet-EU;2010 oktober;14223874;8557637
418;Niet-EU;2010 november;13924183;8165142
419;Niet-EU;2010 december;14107199;8869419
420;Niet-EU;2010;155243282;95883297
421;Niet-EU;2011 januari;14081222;7962548
422;Niet-EU;2011 februari;12770246;8339476
423;Niet-EU;2011 maart;15402411;9225669
424;Niet-EU;2011 april;13736965;9014507
425;Niet-EU;2011 mei;14151147;8928351
426;Niet-EU;2011 juni;14073027;8373703
427;Niet-EU;2011 juli;13656482;9076554
428;Niet-EU;2011 augustus;14785562;8818858
429;Niet-EU;2011 september;14888899;9341471
430;Niet-EU;2011 oktober;14562825;8436822
431;Niet-EU;2011 november;14993400;9450328
432;Niet-EU;2011 december;14254514;9507168
433;Niet-EU;2011;171356699;106475455
434;Niet-EU;2012 januari;15216900;9490872
435;Niet-EU;2012 februari;15819253;9270729
436;Niet-EU;2012 maart;15881708;10145814
437;Niet-EU;2012 april;15207256;9908016
438;Niet-EU;2012 mei;16356629;10574192
439;Niet-EU;2012 juni;15327640;10053674
440;Niet-EU;2012 juli;15717854;9298603
441;Niet-EU;2012 augustus;16430866;9933521
442;Niet-EU;2012 september;14753339;9562144
443;Niet-EU;2012 oktober;16757203;10177659
444;Niet-EU;2012 november;16431106;10033095
445;Niet-EU;2012 december;14853184;9544472
446;Niet-EU;2012;188752938;117992792
447;Niet-EU;2013 januari;15648029;9569681
448;Niet-EU;2013 februari;14648701;9471285
449;Niet-EU;2013 maart;15495342;10386469
450;Niet-EU;2013 april;14938822;9581404
451;Niet-EU;2013 mei;15636360;10659815
452;Niet-EU;2013 juni;15127401;9368045
453;Niet-EU;2013 juli;15175466;10050873
454;Niet-EU;2013 augustus;14836311;9547896
455;Niet-EU;2013 september;15544443;8970460
456;Niet-EU;2013 oktober;16610699;9477077
457;Niet-EU;2013 november;15548070;9709249
458;Niet-EU;2013 december;14995830;9283006
459;Niet-EU;2013 ;184205474;116075260
460;Niet-EU;2014 januari;15574533;8929947
461;Niet-EU;2014 februari;13852432;9324105
462;Niet-EU;2014 maart;15530981;10022102
463;Niet-EU;2014 april;14942136;9534628
464;Niet-EU;2014 mei;15428645;9616739
465;Niet-EU;2014 juni;15539850;9787012
466;Niet-EU;2014 juli;16393824;9652941
467;Niet-EU;2014 augustus;15274132;8833372
468;Niet-EU;2014 september;15693324;10173625
469;Niet-EU;2014 oktober;15825094;10612281
470;Niet-EU;2014 november;14966819;9800316
471;Niet-EU;2014 december;15011769;10169504
472;Niet-EU;2014;184033538;116456573
473;Niet-EU;2015 januari;13067233;8884252
474;Niet-EU;2015 februari;13046367;9041626
475;Niet-EU;2015 maart;15912895;9948017
476;Niet-EU;2015 april;14832594;10035196
477;Niet-EU;2015 mei;14522038;9456071
478;Niet-EU;2015 juni;15021252;10803193
479;Niet-EU;2015 juli;14540978;10650532
480;Niet-EU;2015 augustus;13827445;8611712
481;Niet-EU;2015 september;14171914;9417927
482;Niet-EU;2015 oktober;14355047;9526149
483;Niet-EU;2015 november;14064112;9763775
484;Niet-EU;2015 december;14351944;10339175
485;Niet-EU;2015;171713821;116477625
486;Niet-EU;2016 januari;12811922;8506062
487;Niet-EU;2016 februari;13487861;8335723
488;Niet-EU;2016 maart;13653431;9503054
489;Niet-EU;2016 april;13751657;9087048
490;Niet-EU;2016 mei;13809451;9541442
491;Niet-EU;2016 juni;14519347;10538181
492;Niet-EU;2016 juli;13152013;9552260
493;Niet-EU;2016 augustus;13645170;9310509
494;Niet-EU;2016 september;14936719;10439311
495;Niet-EU;2016 oktober;14602622;9537091
496;Niet-EU;2016 november;15289662;11057060
497;Niet-EU;2016 december;14806214;11225665
498;Niet-EU;2016;168466067;116633407
499;Niet-EU;2017 januari;15874692;10527516
500;Niet-EU;2017 februari;15226527;10282559
501;Niet-EU;2017 maart;17029971;12412385
502;Niet-EU;2017 april;14970353;10263317
503;Niet-EU;2017 mei;16211411;11339214
504;Niet-EU;2017 juni;15431528;11919639
505;Niet-EU;2017 juli;14365424;10713766
506;Niet-EU;2017 augustus;15584532;10642730
507;Niet-EU;2017 september;15035653;11344121
508;Niet-EU;2017 oktober;15681558;11027011
509;Niet-EU;2017 november;16337202;12064485
510;Niet-EU;2017 december;15361919;11248654
511;Niet-EU;2017;187110770;133785397
512;Niet-EU;2018 januari;17745231;11729545
513;Niet-EU;2018 februari;15470068;11247553
514;Niet-EU;2018 maart;16823306;12716254
515;Niet-EU;2018 april;16097540;10952916
516;Niet-EU;2018 mei;17049080;12073524
517;Niet-EU;2018 juni;16782230;12107960
518;Niet-EU;2018 juli;16777047;12218621
519;Niet-EU;2018 augustus;18288220;12342437
520;Niet-EU;2018 september;16818402;12575763
521;Niet-EU;2018 oktober;18901659;12866835
522;Niet-EU;2018 november;17966901;13093090
523;Niet-EU;2018 december;16652451;11567370
524;Niet-EU;2018;205372135;145491868
525;Niet-EU;2019 januari;18393329;10923865
526;Niet-EU;2019 februari;16583276;11649150
527;Niet-EU;2019 maart;18289423;13003413
528;Niet-EU;2019 april;18475414;12823486
529;Niet-EU;2019 mei;18212395;13184933
530;Niet-EU;2019 juni;17297814;13005036
531;Niet-EU;2019 juli;18418472;12745494
532;Niet-EU;2019 augustus;17886628;12618019
533;Niet-EU;2019 september;17735423;13408305
534;Niet-EU;2019 oktober;19201904;14613914
535;Niet-EU;2019 november;18806433;13602778
536;Niet-EU;2019 december;17990480;14121286
537;Niet-EU;2019;217290992;155699680
538;Niet-EU;2020 januari;18647044;12436879
539;Niet-EU;2020 februari;18499994;15432922
540;Niet-EU;2020 maart;19184653;16523451
541;Niet-EU;2020 april;16080959;13041238
542;Niet-EU;2020 mei;15776007;12252608
543;Niet-EU;2020 juni;17889619;14458756
544;Niet-EU;2020 juli;17470391;15563901
545;Niet-EU;2020 augustus;16493001;12834517
546;Niet-EU;2020 september;18634377;15447793
547;Niet-EU;2020 oktober;18556244;16223966
548;Niet-EU;2020 november;18821854;16165019
549;Niet-EU;2020 december;18995650;16938615
550;Niet-EU;2020;215049792;177319665
551;Niet-EU;2021 januari;18029798;14070235
552;Niet-EU;2021 februari;17705097;14919793
553;Niet-EU;2021 maart;22999758;18529747
554;Niet-EU;2021 april;21419098;16319307
555;Niet-EU;2021 mei;20840005;16102418
556;Niet-EU;2021 juni;22293459;18368097
557;Niet-EU;2021 juli;22335845;17157709
558;Niet-EU;2021 augustus;23799520;17096202
559;Niet-EU;2021 september;23958146;17805800
560;Niet-EU;2021 oktober;25340668;15882036
561;Niet-EU;2021 november;28140011;19355156
562;Niet-EU;2021 december;27167204;18717480
563;Niet-EU;2021;274028609;204323979
564;Niet-EU;2022 januari;24635719;15416122
565;Niet-EU;2022 februari;23002660;15944204
566;Niet-EU;2022 maart;29877307;19176988
567;Niet-EU;2022 april;29354070;18067461
568;Niet-EU;2022 mei;32034922;21017341
569;Niet-EU;2022 juni;31751647;21392249
570;Niet-EU;2022 juli;29705364;19987733
