ID;SIC2008;InvestmentMotives;Periods;InvestmentExpectation_1;InvestmentRealization_2
61;307000;Total;2024;100.0;
62;307000;Emission reduction;2023;;16.0
63;307000;Emission reduction;2024;7.0;
64;307000;Energy reduction;2023;;0.0
65;307000;Energy reduction;2024;0.0;
66;307000;Circular production;2023;;2.0
67;307000;Circular production;2024;6.0;
68;307000;Digitization;2023;;0.0
69;307000;Digitization;2024;1.0;
70;307000;Other;2023;;82.0
71;307000;Other;2024;86.0;
72;307500;Total;2023;100.0;100.0
73;307500;Total;2024;100.0;
74;307500;Emission reduction;2023;7.0;5.0
75;307500;Emission reduction;2024;5.0;
76;307500;Energy reduction;2023;8.0;6.0
77;307500;Energy reduction;2024;6.0;
78;307500;Circular production;2023;4.0;4.0
79;307500;Circular production;2024;4.0;
80;307500;Digitization;2023;4.0;4.0
81;307500;Digitization;2024;3.0;
82;307500;Other;2023;77.0;81.0
83;307500;Other;2024;82.0;
84;307610;Total;2023;100.0;100.0
85;307610;Total;2024;100.0;
86;307610;Emission reduction;2023;8.0;4.0
87;307610;Emission reduction;2024;5.0;
88;307610;Energy reduction;2023;12.0;7.0
89;307610;Energy reduction;2024;9.0;
90;307610;Circular production;2023;4.0;5.0
91;307610;Circular production;2024;4.0;
92;307610;Digitization;2023;4.0;5.0
93;307610;Digitization;2024;4.0;
94;307610;Other;2023;72.0;79.0
95;307610;Other;2024;78.0;
96;307600;Total;2023;100.0;100.0
97;307600;Total;2024;100.0;
98;307600;Emission reduction;2023;6.0;4.0
99;307600;Emission reduction;2024;4.0;
100;307600;Energy reduction;2023;12.0;7.0
101;307600;Energy reduction;2024;10.0;
102;307600;Circular production;2023;3.0;4.0
103;307600;Circular production;2024;3.0;
104;307600;Digitization;2023;3.0;4.0
105;307600;Digitization;2024;4.0;
106;307600;Other;2023;76.0;81.0
107;307600;Other;2024;79.0;
108;311300;Total;2023;100.0;
109;311300;Total;2024;;
110;311300;Emission reduction;2023;;
111;311300;Emission reduction;2024;;
112;311300;Energy reduction;2023;;
113;311300;Energy reduction;2024;;
114;311300;Circular production;2023;;
115;311300;Circular production;2024;;
116;311300;Digitization;2023;;
117;311300;Digitization;2024;;
118;311300;Other;2023;;
119;311300;Other;2024;;
120;312200;Total;2023;100.0;
121;312200;Total;2024;;
122;312200;Emission reduction;2023;;
123;312200;Emission reduction;2024;;
124;312200;Energy reduction;2023;;
125;312200;Energy reduction;2024;;
126;312200;Circular production;2023;;
127;312200;Circular production;2024;;
128;312200;Digitization;2023;;
129;312200;Digitization;2024;;
130;312200;Other;2023;;
131;312200;Other;2024;;
132;312500;Total;2023;100.0;100.0
133;312500;Total;2024;100.0;
134;312500;Emission reduction;2023;5.0;2.0
135;312500;Emission reduction;2024;2.0;
136;312500;Energy reduction;2023;11.0;8.0
137;312500;Energy reduction;2024;12.0;
138;312500;Circular production;2023;8.0;4.0
139;312500;Circular production;2024;11.0;
140;312500;Digitization;2023;10.0;5.0
141;312500;Digitization;2024;4.0;
142;312500;Other;2023;66.0;81.0
143;312500;Other;2024;71.0;
144;312505;Total;2023;100.0;100.0
145;312505;Total;2024;100.0;
146;312505;Emission reduction;2023;6.0;2.0
147;312505;Emission reduction;2024;4.0;
148;312505;Energy reduction;2023;11.0;7.0
149;312505;Energy reduction;2024;12.0;
150;312505;Circular production;2023;7.0;3.0
151;312505;Circular production;2024;11.0;
152;312505;Digitization;2023;11.0;7.0
153;312505;Digitization;2024;5.0;
154;312505;Other;2023;65.0;81.0
155;312505;Other;2024;68.0;
156;314000;Total;2023;100.0;100.0
157;314000;Total;2024;100.0;
158;314000;Emission reduction;2023;0.0;3.0
159;314000;Emission reduction;2024;5.0;
160;314000;Energy reduction;2023;14.0;4.0
161;314000;Energy reduction;2024;4.0;
162;314000;Circular production;2023;0.0;10.0
163;314000;Circular production;2024;7.0;
164;314000;Digitization;2023;21.0;23.0
165;314000;Digitization;2024;37.0;
166;314000;Other;2023;65.0;60.0
167;314000;Other;2024;47.0;
168;315200;Total;2023;100.0;100.0
169;315200;Total;2024;100.0;
170;315200;Emission reduction;2023;13.0;1.0
171;315200;Emission reduction;2024;16.0;
172;315200;Energy reduction;2023;6.0;5.0
173;315200;Energy reduction;2024;12.0;
174;315200;Circular production;2023;5.0;2.0
175;315200;Circular production;2024;8.0;
176;315200;Digitization;2023;16.0;15.0
177;315200;Digitization;2024;13.0;
178;315200;Other;2023;60.0;77.0
179;315200;Other;2024;51.0;
180;315805;Total;2023;100.0;100.0
181;315805;Total;2024;100.0;
182;315805;Emission reduction;2023;5.0;6.0
183;315805;Emission reduction;2024;4.0;
184;315805;Energy reduction;2023;8.0;7.0
185;315805;Energy reduction;2024;6.0;
186;315805;Circular production;2023;4.0;5.0
187;315805;Circular production;2024;7.0;
188;315805;Digitization;2023;3.0;3.0
189;315805;Digitization;2024;4.0;
190;315805;Other;2023;80.0;79.0
191;315805;Other;2024;79.0;
192;315800;Total;2023;100.0;100.0
193;315800;Total;2024;100.0;
194;315800;Emission reduction;2023;2.0;2.0
195;315800;Emission reduction;2024;2.0;
196;315800;Energy reduction;2023;7.0;8.0
197;315800;Energy reduction;2024;6.0;
198;315800;Circular production;2023;11.0;2.0
199;315800;Circular production;2024;2.0;
200;315800;Digitization;2023;5.0;5.0
201;315800;Digitization;2024;7.0;
202;315800;Other;2023;75.0;83.0
203;315800;Other;2024;83.0;
204;317105;Total;2023;100.0;100.0
205;317105;Total;2024;100.0;
206;317105;Emission reduction;2023;4.0;3.0
207;317105;Emission reduction;2024;7.0;
208;317105;Energy reduction;2023;8.0;7.0
209;317105;Energy reduction;2024;9.0;
210;317105;Circular production;2023;5.0;4.0
211;317105;Circular production;2024;2.0;
212;317105;Digitization;2023;4.0;4.0
213;317105;Digitization;2024;3.0;
214;317105;Other;2023;79.0;82.0
215;317105;Other;2024;79.0;
216;317100;Total;2023;100.0;100.0
217;317100;Total;2024;100.0;
218;317100;Emission reduction;2023;4.0;3.0
219;317100;Emission reduction;2024;10.0;
220;317100;Energy reduction;2023;8.0;7.0
221;317100;Energy reduction;2024;10.0;
222;317100;Circular production;2023;6.0;4.0
223;317100;Circular production;2024;3.0;
224;317100;Digitization;2023;3.0;4.0
225;317100;Digitization;2024;3.0;
226;317100;Other;2023;79.0;82.0
227;317100;Other;2024;74.0;
228;318600;Total;2023;100.0;100.0
229;318600;Total;2024;100.0;
230;318600;Emission reduction;2023;1.0;1.0
231;318600;Emission reduction;2024;1.0;
232;318600;Energy reduction;2023;9.0;9.0
233;318600;Energy reduction;2024;6.0;
234;318600;Circular production;2023;5.0;2.0
235;318600;Circular production;2024;1.0;
236;318600;Digitization;2023;6.0;3.0
237;318600;Digitization;2024;2.0;
238;318600;Other;2023;79.0;85.0
239;318600;Other;2024;90.0;
240;320005;Total;2023;100.0;100.0
241;320005;Total;2024;100.0;
242;320005;Emission reduction;2023;10.0;5.0
243;320005;Emission reduction;2024;8.0;
244;320005;Energy reduction;2023;6.0;5.0
245;320005;Energy reduction;2024;5.0;
246;320005;Circular production;2023;6.0;6.0
247;320005;Circular production;2024;6.0;
248;320005;Digitization;2023;3.0;3.0
249;320005;Digitization;2024;3.0;
250;320005;Other;2023;75.0;81.0
251;320005;Other;2024;78.0;
252;320000;Total;2023;100.0;100.0
253;320000;Total;2024;100.0;
254;320000;Emission reduction;2023;;0.0
255;320000;Emission reduction;2024;3.0;
256;320000;Energy reduction;2023;;0.0
257;320000;Energy reduction;2024;8.0;
258;320000;Circular production;2023;;0.0
259;320000;Circular production;2024;0.0;
260;320000;Digitization;2023;;1.0
261;320000;Digitization;2024;1.0;
262;320000;Other;2023;;99.0
263;320000;Other;2024;88.0;
264;320700;Total;2023;100.0;100.0
265;320700;Total;2024;100.0;
266;320700;Emission reduction;2023;15.0;8.0
267;320700;Emission reduction;2024;13.0;
268;320700;Energy reduction;2023;8.0;6.0
269;320700;Energy reduction;2024;6.0;
270;320700;Circular production;2023;8.0;9.0
271;320700;Circular production;2024;8.0;
272;320700;Digitization;2023;1.0;2.0
273;320700;Digitization;2024;3.0;
274;320700;Other;2023;68.0;75.0
275;320700;Other;2024;70.0;
276;323200;Total;2023;100.0;100.0
277;323200;Total;2024;100.0;
278;323200;Emission reduction;2023;;1.0
279;323200;Emission reduction;2024;1.0;
280;323200;Energy reduction;2023;;3.0
281;323200;Energy reduction;2024;2.0;
282;323200;Circular production;2023;;2.0
283;323200;Circular production;2024;1.0;
284;323200;Digitization;2023;;6.0
285;323200;Digitization;2024;3.0;
286;323200;Other;2023;;88.0
287;323200;Other;2024;93.0;
288;323700;Total;2023;100.0;100.0
289;323700;Total;2024;100.0;
290;323700;Emission reduction;2023;2.0;2.0
291;323700;Emission reduction;2024;4.0;
292;323700;Energy reduction;2023;9.0;7.0
293;323700;Energy reduction;2024;8.0;
294;323700;Circular production;2023;8.0;4.0
295;323700;Circular production;2024;14.0;
296;323700;Digitization;2023;7.0;4.0
297;323700;Digitization;2024;6.0;
298;323700;Other;2023;74.0;83.0
299;323700;Other;2024;68.0;
300;324600;Total;2023;100.0;100.0
301;324600;Total;2024;100.0;
302;324600;Emission reduction;2023;6.0;7.0
303;324600;Emission reduction;2024;6.0;
304;324600;Energy reduction;2023;9.0;6.0
305;324600;Energy reduction;2024;6.0;
306;324600;Circular production;2023;2.0;6.0
307;324600;Circular production;2024;9.0;
308;324600;Digitization;2023;2.0;2.0
309;324600;Digitization;2024;3.0;
310;324600;Other;2023;81.0;79.0
311;324600;Other;2024;76.0;
312;328100;Total;2023;100.0;100.0
313;328100;Total;2024;100.0;
314;328100;Emission reduction;2023;5.0;11.0
315;328100;Emission reduction;2024;2.0;
316;328100;Energy reduction;2023;5.0;1.0
317;328100;Energy reduction;2024;2.0;
318;328100;Circular production;2023;1.0;0.0
319;328100;Circular production;2024;1.0;
320;328100;Digitization;2023;2.0;0.0
321;328100;Digitization;2024;2.0;
322;328100;Other;2023;87.0;88.0
323;328100;Other;2024;93.0;
324;328105;Total;2023;100.0;100.0
325;328105;Total;2024;100.0;
326;328105;Emission reduction;2023;4.0;8.0
327;328105;Emission reduction;2024;3.0;
328;328105;Energy reduction;2023;8.0;5.0
329;328105;Energy reduction;2024;4.0;
330;328105;Circular production;2023;3.0;3.0
331;328105;Circular production;2024;2.0;
332;328105;Digitization;2023;4.0;3.0
333;328105;Digitization;2024;4.0;
334;328105;Other;2023;81.0;81.0
335;328105;Other;2024;87.0;
336;328110;Total;2023;100.0;100.0
337;328110;Total;2024;100.0;
338;328110;Emission reduction;2023;3.0;5.0
339;328110;Emission reduction;2024;2.0;
340;328110;Energy reduction;2023;5.0;5.0
341;328110;Energy reduction;2024;4.0;
342;328110;Circular production;2023;2.0;2.0
343;328110;Circular production;2024;1.0;
344;328110;Digitization;2023;4.0;4.0
345;328110;Digitization;2024;3.0;
346;328110;Other;2023;86.0;84.0
347;328110;Other;2024;90.0;
348;330300;Total;2023;100.0;100.0
349;330300;Total;2024;100.0;
350;330300;Emission reduction;2023;4.0;4.0
351;330300;Emission reduction;2024;4.0;
352;330300;Energy reduction;2023;9.0;10.0
353;330300;Energy reduction;2024;8.0;
354;330300;Circular production;2023;3.0;6.0
355;330300;Circular production;2024;4.0;
356;330300;Digitization;2023;5.0;5.0
357;330300;Digitization;2024;7.0;
358;330300;Other;2023;79.0;75.0
359;330300;Other;2024;77.0;
360;332900;Total;2023;100.0;100.0
361;332900;Total;2024;100.0;
362;332900;Emission reduction;2023;4.0;5.0
363;332900;Emission reduction;2024;6.0;
364;332900;Energy reduction;2023;6.0;6.0
365;332900;Energy reduction;2024;9.0;
366;332900;Circular production;2023;3.0;4.0
367;332900;Circular production;2024;3.0;
368;332900;Digitization;2023;8.0;7.0
369;332900;Digitization;2024;9.0;
370;332900;Other;2023;79.0;78.0
371;332900;Other;2024;73.0;
372;332905;Total;2023;100.0;100.0
373;332905;Total;2024;100.0;
374;332905;Emission reduction;2023;1.0;2.0
375;332905;Emission reduction;2024;1.0;
376;332905;Energy reduction;2023;4.0;4.0
377;332905;Energy reduction;2024;2.0;
378;332905;Circular production;2023;1.0;1.0
379;332905;Circular production;2024;1.0;
380;332905;Digitization;2023;4.0;3.0
381;332905;Digitization;2024;2.0;
382;332905;Other;2023;90.0;90.0
383;332905;Other;2024;94.0;
384;334800;Total;2023;100.0;100.0
385;334800;Total;2024;100.0;
386;334800;Emission reduction;2023;2.0;2.0
387;334800;Emission reduction;2024;5.0;
388;334800;Energy reduction;2023;6.0;3.0
389;334800;Energy reduction;2024;4.0;
390;334800;Circular production;2023;2.0;1.0
391;334800;Circular production;2024;2.0;
392;334800;Digitization;2023;4.0;3.0
393;334800;Digitization;2024;5.0;
394;334800;Other;2023;86.0;91.0
395;334800;Other;2024;84.0;
396;336500;Total;2023;100.0;100.0
397;336500;Total;2024;100.0;
398;336500;Emission reduction;2023;1.0;2.0
399;336500;Emission reduction;2024;1.0;
400;336500;Energy reduction;2023;3.0;3.0
401;336500;Energy reduction;2024;2.0;
402;336500;Circular production;2023;0.0;0.0
403;336500;Circular production;2024;0.0;
404;336500;Digitization;2023;3.0;3.0
405;336500;Digitization;2024;2.0;
406;336500;Other;2023;93.0;92.0
407;336500;Other;2024;95.0;
408;339200;Total;2023;100.0;100.0
409;339200;Total;2024;100.0;
410;339200;Emission reduction;2023;9.0;4.0
411;339200;Emission reduction;2024;4.0;
412;339200;Energy reduction;2023;6.0;6.0
413;339200;Energy reduction;2024;6.0;
414;339200;Circular production;2023;3.0;3.0
415;339200;Circular production;2024;1.0;
416;339200;Digitization;2023;3.0;9.0
417;339200;Digitization;2024;6.0;
418;339200;Other;2023;79.0;78.0
419;339200;Other;2024;83.0;
420;339205;Total;2023;100.0;100.0
421;339205;Total;2024;100.0;
422;339205;Emission reduction;2023;5.0;4.0
423;339205;Emission reduction;2024;4.0;
424;339205;Energy reduction;2023;5.0;8.0
425;339205;Energy reduction;2024;8.0;
426;339205;Circular production;2023;2.0;3.0
427;339205;Circular production;2024;2.0;
428;339205;Digitization;2023;3.0;8.0
429;339205;Digitization;2024;7.0;
430;339205;Other;2023;85.0;77.0
431;339205;Other;2024;79.0;
432;340200;Total;2023;100.0;100.0
433;340200;Total;2024;100.0;
434;340200;Emission reduction;2023;2.0;4.0
435;340200;Emission reduction;2024;4.0;
436;340200;Energy reduction;2023;4.0;10.0
437;340200;Energy reduction;2024;12.0;
438;340200;Circular production;2023;1.0;4.0
439;340200;Circular production;2024;3.0;
440;340200;Digitization;2023;2.0;8.0
441;340200;Digitization;2024;9.0;
442;340200;Other;2023;91.0;74.0
443;340200;Other;2024;72.0;
444;300023;Total;2023;100.0;100.0
445;300023;Total;2024;100.0;
446;300023;Emission reduction;2023;7.0;5.0
447;300023;Emission reduction;2024;7.0;
448;300023;Energy reduction;2023;7.0;7.0
449;300023;Energy reduction;2024;7.0;
450;300023;Circular production;2023;1.0;3.0
451;300023;Circular production;2024;3.0;
452;300023;Digitization;2023;4.0;6.0
453;300023;Digitization;2024;6.0;
454;300023;Other;2023;81.0;79.0
455;300023;Other;2024;77.0;
456;341600;Total;2023;100.0;100.0
457;341600;Total;2024;100.0;
458;341600;Emission reduction;2023;2.0;5.0
459;341600;Emission reduction;2024;3.0;
460;341600;Energy reduction;2023;6.0;12.0
461;341600;Energy reduction;2024;6.0;
462;341600;Circular production;2023;1.0;8.0
463;341600;Circular production;2024;8.0;
464;341600;Digitization;2023;4.0;11.0
465;341600;Digitization;2024;9.0;
466;341600;Other;2023;87.0;64.0
467;341600;Other;2024;74.0;
468;342400;Total;2023;100.0;100.0
469;342400;Total;2024;100.0;
470;342400;Emission reduction;2023;3.0;4.0
471;342400;Emission reduction;2024;5.0;
472;342400;Energy reduction;2023;8.0;8.0
473;342400;Energy reduction;2024;9.0;
474;342400;Circular production;2023;2.0;1.0
475;342400;Circular production;2024;2.0;
476;342400;Digitization;2023;4.0;8.0
477;342400;Digitization;2024;6.0;
478;342400;Other;2023;83.0;79.0
479;342400;Other;2024;78.0;
480;344400;Total;2023;100.0;100.0
481;344400;Total;2024;100.0;
482;344400;Emission reduction;2023;12.0;6.0
483;344400;Emission reduction;2024;10.0;
484;344400;Energy reduction;2023;7.0;4.0
485;344400;Energy reduction;2024;6.0;
486;344400;Circular production;2023;1.0;2.0
487;344400;Circular production;2024;2.0;
488;344400;Digitization;2023;5.0;4.0
489;344400;Digitization;2024;4.0;
490;344400;Other;2023;75.0;84.0
491;344400;Other;2024;78.0;
492;346600;Total;2023;;100.0
493;346600;Total;2024;100.0;
494;346600;Emission reduction;2023;;16.0
495;346600;Emission reduction;2024;7.0;
496;346600;Energy reduction;2023;;30.0
497;346600;Energy reduction;2024;46.0;
498;346600;Circular production;2023;;0.0
499;346600;Circular production;2024;0.0;
500;346600;Digitization;2023;;0.0
501;346600;Digitization;2024;0.0;
502;346600;Other;2023;;54.0
503;346600;Other;2024;47.0;
504;346700;Total;2023;;100.0
505;346700;Total;2024;100.0;
506;346700;Emission reduction;2023;;16.0
507;346700;Emission reduction;2024;7.0;
508;346700;Energy reduction;2023;;30.0
509;346700;Energy reduction;2024;46.0;
510;346700;Circular production;2023;;0.0
511;346700;Circular production;2024;0.0;
512;346700;Digitization;2023;;0.0
513;346700;Digitization;2024;0.0;
514;346700;Other;2023;;54.0
515;346700;Other;2024;47.0;
516;348000;Total;2023;;100.0
517;348000;Total;2024;100.0;
518;348000;Emission reduction;2023;;7.0
519;348000;Emission reduction;2024;4.0;
520;348000;Energy reduction;2023;;14.0
521;348000;Energy reduction;2024;12.0;
522;348000;Circular production;2023;;15.0
523;348000;Circular production;2024;10.0;
524;348000;Digitization;2023;;4.0
525;348000;Digitization;2024;2.0;
526;348000;Other;2023;;60.0
527;348000;Other;2024;72.0;
528;348100;Total;2023;;100.0
529;348100;Total;2024;100.0;
530;348100;Emission reduction;2023;;5.0
531;348100;Emission reduction;2024;0.0;
532;348100;Energy reduction;2023;;21.0
533;348100;Energy reduction;2024;22.0;
534;348100;Circular production;2023;;5.0
535;348100;Circular production;2024;0.0;
536;348100;Digitization;2023;;6.0
537;348100;Digitization;2024;1.0;
538;348100;Other;2023;;63.0
539;348100;Other;2024;77.0;
540;348400;Total;2023;;100.0
541;348400;Total;2024;100.0;
542;348400;Emission reduction;2023;;16.0
543;348400;Emission reduction;2024;14.0;
544;348400;Energy reduction;2023;;2.0
545;348400;Energy reduction;2024;2.0;
546;348400;Circular production;2023;;17.0
547;348400;Circular production;2024;27.0;
548;348400;Digitization;2023;;8.0
549;348400;Digitization;2024;5.0;
550;348400;Other;2023;;57.0
551;348400;Other;2024;52.0;
552;348700;Total;2023;;100.0
553;348700;Total;2024;100.0;
554;348700;Emission reduction;2023;;7.0
555;348700;Emission reduction;2024;6.0;
556;348700;Energy reduction;2023;;9.0
557;348700;Energy reduction;2024;5.0;
558;348700;Circular production;2023;;23.0
559;348700;Circular production;2024;16.0;
560;348700;Digitization;2023;;3.0
561;348700;Digitization;2024;2.0;
562;348700;Other;2023;;58.0
563;348700;Other;2024;71.0;
564;349700;Total;2023;;100.0
565;349700;Total;2024;100.0;
566;349700;Emission reduction;2023;;1.0
567;349700;Emission reduction;2024;6.0;
568;349700;Energy reduction;2023;;1.0
569;349700;Energy reduction;2024;1.0;
570;349700;Circular production;2023;;1.0
571;349700;Circular production;2024;2.0;
572;349700;Digitization;2023;;1.0
573;349700;Digitization;2024;2.0;
574;349700;Other;2023;;96.0
575;349700;Other;2024;89.0;
576;350000;Total;2023;;100.0
577;350000;Total;2024;100.0;
578;350000;Emission reduction;2023;;9.0
579;350000;Emission reduction;2024;14.0;
580;350000;Energy reduction;2023;;4.0
581;350000;Energy reduction;2024;6.0;
582;350000;Circular production;2023;;2.0
583;350000;Circular production;2024;2.0;
584;350000;Digitization;2023;;4.0
585;350000;Digitization;2024;5.0;
586;350000;Other;2023;;81.0
587;350000;Other;2024;73.0;
588;350100;Total;2023;;100.0
589;350100;Total;2024;100.0;
590;350100;Emission reduction;2023;;6.0
591;350100;Emission reduction;2024;4.0;
592;350100;Energy reduction;2023;;3.0
593;350100;Energy reduction;2024;3.0;
594;350100;Circular production;2023;;1.0
595;350100;Circular production;2024;1.0;
596;350100;Digitization;2023;;3.0
597;350100;Digitization;2024;3.0;
598;350100;Other;2023;;87.0
599;350100;Other;2024;89.0;
600;350600;Total;2023;;100.0
601;350600;Total;2024;100.0;
602;350600;Emission reduction;2023;;6.0
603;350600;Emission reduction;2024;22.0;
604;350600;Energy reduction;2023;;2.0
605;350600;Energy reduction;2024;7.0;
606;350600;Circular production;2023;;2.0
607;350600;Circular production;2024;1.0;
608;350600;Digitization;2023;;4.0
609;350600;Digitization;2024;2.0;
610;350600;Other;2023;;86.0
611;350600;Other;2024;68.0;
612;351900;Total;2023;;100.0
613;351900;Total;2024;100.0;
614;351900;Emission reduction;2023;;13.0
615;351900;Emission reduction;2024;17.0;
616;351900;Energy reduction;2023;;7.0
617;351900;Energy reduction;2024;7.0;
618;351900;Circular production;2023;;3.0
619;351900;Circular production;2024;3.0;
620;351900;Digitization;2023;;5.0
621;351900;Digitization;2024;8.0;
622;351900;Other;2023;;72.0
623;351900;Other;2024;65.0;
