ID;TypeOfCapitalGood;SectorsBranchesSIC2008;Periods;CapitalStockClosingBalanceSheet_1;VolumeIndices2010100_2;CapitalStockOpeningBalanceSheet_3;Revaluation_4;InvestInFixedAssetsProdAndImport_5;Depreciation_6;TradeAndOtherChanges_7;StatisticalDiscrepancy_8;CapitalStockClosingBalanceSheet_9
66;Total capital stock;B Mining and quarrying ;1995;18122.0;84.4;17353.0;434.0;1295.0;854.0;0.0;-105.0;18122.0
67;Total capital stock;B Mining and quarrying ;1996;18719.0;85.2;18122.0;387.0;1330.0;888.0;0.0;-232.0;18719.0
68;Total capital stock;B Mining and quarrying ;1997;20250.0;90.6;18719.0;432.0;1910.0;947.0;0.0;135.0;20250.0
69;Total capital stock;B Mining and quarrying ;1998;21245.0;93.0;20250.0;450.0;1730.0;1006.0;0.0;-178.0;21245.0
70;Total capital stock;B Mining and quarrying ;1999;21858.0;93.1;21245.0;534.0;1414.0;1056.0;0.0;-279.0;21858.0
71;Total capital stock;B Mining and quarrying ;2000;22584.0;92.0;21858.0;804.0;1368.0;1112.0;0.0;-334.0;22584.0
72;Total capital stock;B Mining and quarrying ;2001;24006.0;91.2;22584.0;1140.0;1729.0;1184.0;0.0;-263.0;24006.0
73;Total capital stock;B Mining and quarrying ;2002;25278.0;92.3;24006.0;971.0;1874.0;1254.0;0.0;-319.0;25278.0
74;Total capital stock;B Mining and quarrying ;2003;26316.0;93.7;25278.0;637.0;1916.0;1306.0;0.0;-209.0;26316.0
75;Total capital stock;B Mining and quarrying ;2004;26405.0;93.1;26316.0;261.0;1552.0;1335.0;0.0;-389.0;26405.0
76;Total capital stock;B Mining and quarrying ;2005;26785.0;93.1;26405.0;395.0;1857.0;1358.0;0.0;-514.0;26785.0
77;Total capital stock;B Mining and quarrying ;2006;28240.0;94.9;26785.0;907.0;2179.0;1421.0;0.0;-211.0;28240.0
78;Total capital stock;B Mining and quarrying ;2007;29046.0;95.2;28240.0;726.0;1847.0;1479.0;0.0;-288.0;29046.0
79;Total capital stock;B Mining and quarrying ;2008;30707.0;96.7;29046.0;1169.0;2522.0;1554.0;0.0;-476.0;30707.0
80;Total capital stock;B Mining and quarrying ;2009;31768.0;97.8;30707.0;700.0;2366.0;1607.0;0.0;-398.0;31768.0
81;Total capital stock;B Mining and quarrying ;2010;32652.0;100.0;31768.0;175.0;2347.0;1638.0;0.0;0.0;32652.0
82;Total capital stock;B Mining and quarrying ;2011;35338.0;106.5;32652.0;515.0;3880.0;1709.0;0.0;0.0;35338.0
83;Total capital stock;B Mining and quarrying ;2012;37606.0;111.5;35338.0;608.0;3462.0;1802.0;0.0;0.0;37606.0
84;Total capital stock;B Mining and quarrying ;2013;39549.0;115.4;37606.0;588.0;3246.0;1891.0;0.0;0.0;39549.0
85;Total capital stock;B Mining and quarrying ;2014;41707.0;120.5;39549.0;414.0;3729.0;1985.0;0.0;0.0;41707.0
86;Total capital stock;B Mining and quarrying ;2015;43114.0;124.6;41707.0;-13.0;3482.0;2062.0;0.0;0.0;43114.0
87;Total capital stock;B Mining and quarrying ;2016;44721.0;128.5;43114.0;237.0;3503.0;2156.0;0.0;23.0;44721.0
88;Total capital stock;C Manufacturing;1995;111359.0;111.0;109163.0;964.0;9651.0;8820.0;104.0;297.0;111359.0
89;Total capital stock;C Manufacturing;1996;113012.0;110.0;111359.0;620.0;10055.0;8960.0;-32.0;-31.0;113012.0
90;Total capital stock;C Manufacturing;1997;116171.0;111.2;113012.0;663.0;10494.0;9127.0;-8.0;1137.0;116171.0
91;Total capital stock;C Manufacturing;1998;119308.0;111.8;116171.0;846.0;11350.0;9402.0;-5.0;348.0;119308.0
92;Total capital stock;C Manufacturing;1999;122491.0;111.6;119308.0;1142.0;11682.0;9718.0;-4.0;80.0;122491.0
93;Total capital stock;C Manufacturing;2000;127500.0;111.1;122491.0;3311.0;11860.0;10221.0;-4.0;64.0;127500.0
94;Total capital stock;C Manufacturing;2001;131409.0;102.2;127500.0;3077.0;11586.0;10707.0;-5.0;-43.0;131409.0
95;Total capital stock;C Manufacturing;2002;135595.0;102.5;131409.0;3873.0;11387.0;11139.0;-6.0;71.0;135595.0
96;Total capital stock;C Manufacturing;2003;136410.0;102.3;135595.0;1053.0;10959.0;11286.0;-4.0;93.0;136410.0
97;Total capital stock;C Manufacturing;2004;137307.0;101.6;136410.0;1773.0;10509.0;11421.0;-4.0;41.0;137307.0
98;Total capital stock;C Manufacturing;2005;138787.0;101.2;137307.0;2126.0;10884.0;11586.0;-8.0;64.0;138787.0
99;Total capital stock;C Manufacturing;2006;141402.0;101.1;138787.0;2753.0;11620.0;11843.0;-11.0;95.0;141402.0
100;Total capital stock;C Manufacturing;2007;144795.0;101.5;141402.0;2806.0;12553.0;12153.0;-10.0;197.0;144795.0
101;Total capital stock;C Manufacturing;2008;149567.0;102.0;144795.0;4057.0;13076.0;12573.0;-10.0;222.0;149567.0
102;Total capital stock;C Manufacturing;2009;152087.0;101.4;149567.0;3393.0;11902.0;12866.0;-14.0;105.0;152087.0
103;Total capital stock;C Manufacturing;2010;152604.0;100.0;152087.0;2628.0;10879.0;12972.0;-17.0;0.0;152604.0
104;Total capital stock;C Manufacturing;2011;152784.0;99.5;152604.0;946.0;12241.0;12985.0;-22.0;0.0;152784.0
105;Total capital stock;C Manufacturing;2012;154141.0;99.3;152784.0;1675.0;12780.0;13087.0;-11.0;0.0;154141.0
106;Total capital stock;C Manufacturing;2013;153308.0;98.2;154141.0;834.0;12617.0;13022.0;-1262.0;0.0;153308.0
107;Total capital stock;C Manufacturing;2014;153957.0;98.3;153308.0;517.0;13355.0;13183.0;-40.0;0.0;153957.0
108;Total capital stock;C Manufacturing;2015;156769.0;99.2;153957.0;1369.0;14961.0;13498.0;-34.0;15.0;156769.0
109;Total capital stock;C Manufacturing;2016;159235.0;100.2;156769.0;892.0;15374.0;13736.0;-8.0;-56.0;159235.0
110;Total capital stock;10-12 Manufacture of food and beverages;1995;18098.0;110.5;17866.0;131.0;1384.0;1311.0;0.0;29.0;18098.0
111;Total capital stock;10-12 Manufacture of food and beverages;1996;18398.0;109.7;18098.0;59.0;1571.0;1331.0;0.0;1.0;18398.0
112;Total capital stock;10-12 Manufacture of food and beverages;1997;18805.0;110.2;18398.0;87.0;1686.0;1361.0;0.0;-5.0;18805.0
113;Total capital stock;10-12 Manufacture of food and beverages;1998;19085.0;109.5;18805.0;79.0;1578.0;1394.0;0.0;16.0;19085.0
114;Total capital stock;10-12 Manufacture of food and beverages;1999;19509.0;108.9;19085.0;134.0;1731.0;1436.0;0.0;-5.0;19509.0
115;Total capital stock;10-12 Manufacture of food and beverages;2000;20232.0;108.0;19509.0;481.0;1782.0;1511.0;0.0;-28.0;20232.0
116;Total capital stock;10-12 Manufacture of food and beverages;2001;20834.0;98.4;20232.0;428.0;1764.0;1578.0;0.0;-13.0;20834.0
117;Total capital stock;10-12 Manufacture of food and beverages;2002;21614.0;99.3;20834.0;585.0;1894.0;1647.0;0.0;-52.0;21614.0
118;Total capital stock;10-12 Manufacture of food and beverages;2003;21839.0;99.9;21614.0;100.0;1827.0;1674.0;0.0;-28.0;21839.0
119;Total capital stock;10-12 Manufacture of food and beverages;2004;22179.0;100.1;21839.0;288.0;1798.0;1707.0;0.0;-38.0;22179.0
120;Total capital stock;10-12 Manufacture of food and beverages;2005;22710.0;101.0;22179.0;332.0;1976.0;1746.0;0.0;-31.0;22710.0
121;Total capital stock;10-12 Manufacture of food and beverages;2006;22989.0;100.5;22710.0;404.0;1702.0;1783.0;0.0;-44.0;22989.0
122;Total capital stock;10-12 Manufacture of food and beverages;2007;23500.0;100.8;22989.0;442.0;1950.0;1821.0;0.0;-59.0;23500.0
123;Total capital stock;10-12 Manufacture of food and beverages;2008;24238.0;101.2;23500.0;625.0;2018.0;1876.0;0.0;-30.0;24238.0
124;Total capital stock;10-12 Manufacture of food and beverages;2009;24649.0;100.6;24238.0;578.0;1814.0;1920.0;0.0;-60.0;24649.0
125;Total capital stock;10-12 Manufacture of food and beverages;2010;24917.0;100.0;24649.0;409.0;1800.0;1942.0;0.0;0.0;24917.0
126;Total capital stock;10-12 Manufacture of food and beverages;2011;24776.0;99.0;24917.0;99.0;1706.0;1945.0;0.0;0.0;24776.0
127;Total capital stock;10-12 Manufacture of food and beverages;2012;25111.0;99.0;24776.0;343.0;1960.0;1969.0;0.0;0.0;25111.0
128;Total capital stock;10-12 Manufacture of food and beverages;2013;25456.0;99.9;25111.0;110.0;2230.0;1995.0;0.0;0.0;25456.0
129;Total capital stock;10-12 Manufacture of food and beverages;2014;25994.0;101.8;25456.0;65.0;2510.0;2036.0;0.0;0.0;25994.0
130;Total capital stock;10-12 Manufacture of food and beverages;2015;26702.0;103.7;25994.0;216.0;2600.0;2108.0;0.0;0.0;26702.0
131;Total capital stock;10-12 Manufacture of food and beverages;2016;27303.0;105.5;26702.0;;;;;;27303.0
132;Total capital stock;13-15 Man. of textile-, leather products;1995;2561.0;171.7;2584.0;22.0;127.0;173.0;0.0;1.0;2561.0
133;Total capital stock;13-15 Man. of textile-, leather products;1996;2520.0;164.9;2561.0;6.0;123.0;171.0;0.0;0.0;2520.0
134;Total capital stock;13-15 Man. of textile-, leather products;1997;2488.0;160.1;2520.0;14.0;123.0;169.0;0.0;1.0;2488.0
135;Total capital stock;13-15 Man. of textile-, leather products;1998;2479.0;156.1;2488.0;12.0;148.0;170.0;0.0;1.0;2479.0
136;Total capital stock;13-15 Man. of textile-, leather products;1999;2489.0;152.5;2479.0;17.0;165.0;173.0;0.0;1.0;2489.0
137;Total capital stock;13-15 Man. of textile-, leather products;2000;2518.0;147.5;2489.0;59.0;148.0;179.0;0.0;1.0;2518.0
138;Total capital stock;13-15 Man. of textile-, leather products;2001;2517.0;132.3;2518.0;50.0;132.0;183.0;0.0;0.0;2517.0
139;Total capital stock;13-15 Man. of textile-, leather products;2002;2522.0;128.9;2517.0;71.0;119.0;187.0;0.0;2.0;2522.0
140;Total capital stock;13-15 Man. of textile-, leather products;2003;2445.0;124.9;2522.0;1.0;106.0;185.0;0.0;1.0;2445.0
141;Total capital stock;13-15 Man. of textile-, leather products;2004;2408.0;121.5;2445.0;30.0;115.0;184.0;0.0;1.0;2408.0
142;Total capital stock;13-15 Man. of textile-, leather products;2005;2374.0;118.1;2408.0;34.0;115.0;183.0;0.0;0.0;2374.0
143;Total capital stock;13-15 Man. of textile-, leather products;2006;2332.0;113.9;2374.0;44.0;96.0;182.0;0.0;0.0;2332.0
144;Total capital stock;13-15 Man. of textile-, leather products;2007;2323.0;111.2;2332.0;48.0;123.0;182.0;0.0;1.0;2323.0
145;Total capital stock;13-15 Man. of textile-, leather products;2008;2354.0;109.7;2323.0;63.0;153.0;185.0;0.0;0.0;2354.0
146;Total capital stock;13-15 Man. of textile-, leather products;2009;2301.0;104.7;2354.0;58.0;73.0;186.0;0.0;1.0;2301.0
147;Total capital stock;13-15 Man. of textile-, leather products;2010;2270.0;100.0;2301.0;75.0;78.0;184.0;0.0;0.0;2270.0
148;Total capital stock;13-15 Man. of textile-, leather products;2011;2172.0;95.7;2270.0;0.0;80.0;178.0;0.0;0.0;2172.0
149;Total capital stock;13-15 Man. of textile-, leather products;2012;2103.0;91.7;2172.0;23.0;81.0;174.0;0.0;0.0;2103.0
150;Total capital stock;13-15 Man. of textile-, leather products;2013;2041.0;88.4;2103.0;14.0;94.0;169.0;0.0;0.0;2041.0
151;Total capital stock;13-15 Man. of textile-, leather products;2014;1987.0;86.0;2041.0;2.0;108.0;165.0;0.0;0.0;1987.0
152;Total capital stock;13-15 Man. of textile-, leather products;2015;1948.0;83.6;1987.0;15.0;110.0;164.0;0.0;0.0;1948.0
153;Total capital stock;13-15 Man. of textile-, leather products;2016;1906.0;81.5;1948.0;;;;;;1906.0
154;Total capital stock;16-18 Man. wood en paper prod., printing;1995;11009.0;126.2;10695.0;51.0;911.0;681.0;0.0;33.0;11009.0
155;Total capital stock;16-18 Man. wood en paper prod., printing;1996;11265.0;126.1;11009.0;-15.0;953.0;696.0;0.0;15.0;11265.0
156;Total capital stock;16-18 Man. wood en paper prod., printing;1997;11570.0;127.3;11265.0;30.0;1030.0;718.0;0.0;-37.0;11570.0
157;Total capital stock;16-18 Man. wood en paper prod., printing;1998;12056.0;129.8;11570.0;16.0;1205.0;753.0;0.0;18.0;12056.0
158;Total capital stock;16-18 Man. wood en paper prod., printing;1999;12350.0;129.3;12056.0;39.0;1035.0;790.0;0.0;9.0;12350.0
159;Total capital stock;16-18 Man. wood en paper prod., printing;2000;12743.0;127.6;12350.0;241.0;970.0;830.0;0.0;12.0;12743.0
160;Total capital stock;16-18 Man. wood en paper prod., printing;2001;13020.0;114.3;12743.0;178.0;943.0;855.0;0.0;11.0;13020.0
161;Total capital stock;16-18 Man. wood en paper prod., printing;2002;13390.0;114.6;13020.0;328.0;909.0;881.0;0.0;15.0;13390.0
162;Total capital stock;16-18 Man. wood en paper prod., printing;2003;13149.0;112.6;13390.0;-9.0;639.0;877.0;0.0;6.0;13149.0
163;Total capital stock;16-18 Man. wood en paper prod., printing;2004;13205.0;111.7;13149.0;160.0;770.0;879.0;0.0;5.0;13205.0
164;Total capital stock;16-18 Man. wood en paper prod., printing;2005;13374.0;111.5;13205.0;194.0;858.0;892.0;0.0;8.0;13374.0
165;Total capital stock;16-18 Man. wood en paper prod., printing;2006;13391.0;109.8;13374.0;233.0;682.0;907.0;0.0;9.0;13391.0
166;Total capital stock;16-18 Man. wood en paper prod., printing;2007;13476.0;108.4;13391.0;251.0;746.0;921.0;0.0;9.0;13476.0
167;Total capital stock;16-18 Man. wood en paper prod., printing;2008;13644.0;106.8;13476.0;371.0;727.0;938.0;0.0;8.0;13644.0
168;Total capital stock;16-18 Man. wood en paper prod., printing;2009;13538.0;103.8;13644.0;294.0;539.0;944.0;0.0;6.0;13538.0
169;Total capital stock;16-18 Man. wood en paper prod., printing;2010;13276.0;100.0;13538.0;240.0;437.0;938.0;0.0;0.0;13276.0
170;Total capital stock;16-18 Man. wood en paper prod., printing;2011;12885.0;97.0;13276.0;6.0;519.0;916.0;0.0;0.0;12885.0
171;Total capital stock;16-18 Man. wood en paper prod., printing;2012;12595.0;93.9;12885.0;125.0;494.0;910.0;0.0;0.0;12595.0
172;Total capital stock;16-18 Man. wood en paper prod., printing;2013;12249.0;91.0;12595.0;45.0;509.0;900.0;0.0;0.0;12249.0
173;Total capital stock;16-18 Man. wood en paper prod., printing;2014;11856.0;88.1;12249.0;-6.0;499.0;885.0;0.0;0.0;11856.0
174;Total capital stock;16-18 Man. wood en paper prod., printing;2015;11614.0;85.4;11856.0;132.0;510.0;884.0;0.0;0.0;11614.0
175;Total capital stock;16-18 Man. wood en paper prod., printing;2016;11304.0;82.7;11614.0;;;;;;11304.0
176;Total capital stock;19 Manufacture of coke and petroleum ;1995;5407.0;122.3;5440.0;104.0;446.0;619.0;0.0;36.0;5407.0
177;Total capital stock;19 Manufacture of coke and petroleum ;1996;5342.0;118.0;5407.0;118.0;402.0;615.0;0.0;30.0;5342.0
178;Total capital stock;19 Manufacture of coke and petroleum ;1997;6313.0;137.1;5342.0;90.0;462.0;625.0;0.0;1044.0;6313.0
179;Total capital stock;19 Manufacture of coke and petroleum ;1998;6280.0;133.5;6313.0;121.0;446.0;633.0;0.0;33.0;6280.0
180;Total capital stock;19 Manufacture of coke and petroleum ;1999;6056.0;125.2;6280.0;170.0;399.0;607.0;0.0;-186.0;6056.0
181;Total capital stock;19 Manufacture of coke and petroleum ;2000;6025.0;119.1;6056.0;262.0;406.0;585.0;0.0;-114.0;6025.0
182;Total capital stock;19 Manufacture of coke and petroleum ;2001;6018.0;112.1;6025.0;317.0;411.0;574.0;0.0;-161.0;6018.0
183;Total capital stock;19 Manufacture of coke and petroleum ;2002;6127.0;109.4;6018.0;257.0;367.0;567.0;0.0;52.0;6127.0
184;Total capital stock;19 Manufacture of coke and petroleum ;2003;6055.0;105.7;6127.0;141.0;375.0;558.0;0.0;-30.0;6055.0
185;Total capital stock;19 Manufacture of coke and petroleum ;2004;5981.0;103.1;6055.0;75.0;378.0;546.0;0.0;18.0;5981.0
186;Total capital stock;19 Manufacture of coke and petroleum ;2005;6038.0;102.4;5981.0;102.0;416.0;546.0;0.0;85.0;6038.0
187;Total capital stock;19 Manufacture of coke and petroleum ;2006;6154.0;101.2;6038.0;187.0;498.0;560.0;0.0;-8.0;6154.0
188;Total capital stock;19 Manufacture of coke and petroleum ;2007;6298.0;101.4;6154.0;133.0;429.0;570.0;0.0;152.0;6298.0
189;Total capital stock;19 Manufacture of coke and petroleum ;2008;6562.0;102.0;6298.0;224.0;603.0;592.0;0.0;29.0;6562.0
190;Total capital stock;19 Manufacture of coke and petroleum ;2009;6781.0;101.6;6562.0;247.0;519.0;616.0;0.0;70.0;6781.0
191;Total capital stock;19 Manufacture of coke and petroleum ;2010;6727.0;100.0;6781.0;53.0;509.0;616.0;0.0;0.0;6727.0
192;Total capital stock;19 Manufacture of coke and petroleum ;2011;6856.0;100.7;6727.0;81.0;669.0;622.0;0.0;0.0;6856.0
193;Total capital stock;19 Manufacture of coke and petroleum ;2012;7198.0;103.9;6856.0;119.0;866.0;643.0;0.0;0.0;7198.0
194;Total capital stock;19 Manufacture of coke and petroleum ;2013;7254.0;103.3;7198.0;98.0;614.0;656.0;0.0;0.0;7254.0
195;Total capital stock;19 Manufacture of coke and petroleum ;2014;7507.0;106.3;7254.0;45.0;872.0;663.0;0.0;0.0;7507.0
196;Total capital stock;19 Manufacture of coke and petroleum ;2015;7799.0;109.2;7507.0;81.0;898.0;687.0;0.0;0.0;7799.0
197;Total capital stock;19 Manufacture of coke and petroleum ;2016;8073.0;112.3;7799.0;;;;;;8073.0
198;Total capital stock;20 Manufacture of chemicals;1995;23373.0;106.2;23238.0;100.0;1377.0;1452.0;0.0;111.0;23373.0
199;Total capital stock;20 Manufacture of chemicals;1996;23529.0;104.4;23373.0;-57.0;1575.0;1466.0;0.0;105.0;23529.0
200;Total capital stock;20 Manufacture of chemicals;1997;23923.0;104.4;23529.0;32.0;1776.0;1465.0;0.0;52.0;23923.0
201;Total capital stock;20 Manufacture of chemicals;1998;24405.0;104.2;23923.0;59.0;1732.0;1474.0;0.0;164.0;24405.0
