ID;Periods;Euro95_1;Diesel_2;LPG_3
42;2006 Sunday 12 February;1.323;1.013;0.56
43;2006 Monday 13 February;1.322;1.014;0.559
44;2006 Tuesday 14 February;1.321;1.014;0.556
45;2006 Wednesday 15 February;1.314;1.011;0.547
46;2006 Thursday 16 February;1.31;1.007;0.551
47;2006 Friday 17 February;1.311;1.007;0.549
48;2006 Saturday 18 February;1.315;1.009;0.55
49;2006 Sunday 19 February;1.316;1.008;0.547
50;2006 Monday 20 February;1.316;1.01;0.545
51;2006 Tuesday 21 February;1.326;1.023;0.547
52;2006 Wednesday 22 February;1.33;1.026;0.54
53;2006 Thursday 23 February;1.329;1.024;0.539
54;2006 Friday 24 February;1.324;1.02;0.539
55;2006 Saturday 25 February;1.325;1.023;0.537
56;2006 Sunday 26 February;1.323;1.023;0.536
57;2006 Monday 27 February;1.323;1.025;0.538
58;2006 Tuesday 28 February;1.324;1.026;0.542
59;2006 Wednesday 1 March;1.322;1.026;0.535
60;2006 Thursday 2 March;1.324;1.031;0.532
61;2006 Friday 3 March;1.329;1.043;0.53
62;2006 Saturday 4 March;1.333;1.053;0.525
63;2006 Sunday 5 March;1.333;1.052;0.528
64;2006 Monday 6 March;1.334;1.053;0.527
65;2006 Tuesday 7 March;1.335;1.055;0.527
66;2006 Wednesday 8 March;1.329;1.049;0.523
67;2006 Thursday 9 March;1.326;1.047;0.522
68;2006 Friday 10 March;1.331;1.044;0.525
69;2006 Saturday 11 March;1.349;1.041;0.522
70;2006 Sunday 12 March;1.349;1.041;0.523
71;2006 Monday 13 March;1.35;1.041;0.524
72;2006 Tuesday 14 March;1.351;1.038;0.518
73;2006 Wednesday 15 March;1.364;1.041;0.519
74;2006 Thursday 16 March;1.366;1.043;0.517
75;2006 Friday 17 March;1.368;1.044;0.52
76;2006 Saturday 18 March;1.373;1.046;0.522
77;2006 Sunday 19 March;1.372;1.045;0.524
78;2006 Monday 20 March;1.372;1.045;0.522
79;2006 Tuesday 21 March;1.372;1.043;0.518
80;2006 Wednesday 22 March;1.365;1.038;0.518
81;2006 Thursday 23 March;1.362;1.036;0.519
82;2006 Friday 24 March;1.361;1.038;0.52
83;2006 Saturday 25 March;1.374;1.047;0.518
84;2006 Sunday 26 March;1.373;1.047;0.518
85;2006 Monday 27 March;1.373;1.049;0.52
86;2006 Tuesday 28 March;1.376;1.052;0.522
87;2006 Wednesday 29 March;1.38;1.052;0.519
88;2006 Thursday 30 March;1.394;1.056;0.517
89;2006 Friday 31 March;1.403;1.06;0.519
90;2006 Saturday 1 April;1.407;1.062;0.517
91;2006 Sunday 2 April;1.405;1.062;0.517
92;2006 Monday 3 April;1.406;1.062;0.519
93;2006 Tuesday 4 April;1.406;1.063;0.521
94;2006 Wednesday 5 April;1.407;1.063;0.529
95;2006 Thursday 6 April;1.407;1.061;0.53
96;2006 Friday 7 April;1.419;1.059;0.528
97;2006 Saturday 8 April;1.421;1.057;0.528
98;2006 Sunday 9 April;1.421;1.056;0.53
99;2006 Monday 10 April;1.421;1.058;0.532
100;2006 Tuesday 11 April;1.425;1.062;0.53
101;2006 Wednesday 12 April;1.434;1.075;0.526
102;2006 Thursday 13 April;1.436;1.077;0.526
103;2006 Friday 14 April;1.438;1.08;0.525
104;2006 Saturday 15 April;1.437;1.081;0.521
105;2006 Sunday 16 April;1.436;1.079;0.524
106;2006 Monday 17 April;1.437;1.08;0.525
107;2006 Tuesday 18 April;1.439;1.081;0.523
108;2006 Wednesday 19 April;1.443;1.085;0.523
109;2006 Thursday 20 April;1.443;1.088;0.522
110;2006 Friday 21 April;1.45;1.095;0.52
111;2006 Saturday 22 April;1.449;1.099;0.523
112;2006 Sunday 23 April;1.448;1.099;0.524
113;2006 Monday 24 April;1.448;1.101;0.521
114;2006 Tuesday 25 April;1.447;1.1;0.523
115;2006 Wednesday 26 April;1.448;1.101;0.515
116;2006 Thursday 27 April;1.449;1.101;0.514
117;2006 Friday 28 April;1.446;1.096;0.516
118;2006 Saturday 29 April;1.434;1.083;0.513
119;2006 Sunday 30 April;1.433;1.082;0.511
120;2006 Monday 1 May;1.432;1.083;0.51
121;2006 Tuesday 2 May;1.437;1.084;0.51
122;2006 Wednesday 3 May;1.449;1.086;0.506
123;2006 Thursday 4 May;1.455;1.089;0.503
124;2006 Friday 5 May;1.456;1.087;0.504
125;2006 Saturday 6 May;1.441;1.075;0.5
126;2006 Sunday 7 May;1.441;1.072;0.501
127;2006 Monday 8 May;1.44;1.073;0.503
128;2006 Tuesday 9 May;1.437;1.069;0.502
129;2006 Wednesday 10 May;1.43;1.066;0.501
130;2006 Thursday 11 May;1.428;1.067;0.502
131;2006 Friday 12 May;1.444;1.081;0.503
132;2006 Saturday 13 May;1.451;1.084;0.502
133;2006 Sunday 14 May;1.451;1.083;0.5
134;2006 Monday 15 May;1.452;1.084;0.501
135;2006 Tuesday 16 May;1.445;1.076;0.502
136;2006 Wednesday 17 May;1.433;1.069;0.498
137;2006 Thursday 18 May;1.426;1.068;0.501
138;2006 Friday 19 May;1.416;1.062;0.498
139;2006 Saturday 20 May;1.419;1.067;0.496
140;2006 Sunday 21 May;1.417;1.067;0.497
141;2006 Monday 22 May;1.418;1.068;0.497
142;2006 Tuesday 23 May;1.414;1.064;0.5
143;2006 Wednesday 24 May;1.418;1.065;0.497
144;2006 Thursday 25 May;1.422;1.066;0.496
145;2006 Friday 26 May;1.421;1.066;0.493
146;2006 Saturday 27 May;1.423;1.066;0.494
147;2006 Sunday 28 May;1.423;1.065;0.495
148;2006 Monday 29 May;1.423;1.067;0.496
149;2006 Tuesday 30 May;1.43;1.071;0.494
150;2006 Wednesday 31 May;1.435;1.075;0.49
151;2006 Thursday 1 June;1.437;1.075;0.492
152;2006 Friday 2 June;1.436;1.076;0.495
153;2006 Saturday 3 June;1.446;1.074;0.491
154;2006 Sunday 4 June;1.446;1.073;0.49
155;2006 Monday 5 June;1.446;1.073;0.491
156;2006 Tuesday 6 June;1.447;1.074;0.493
157;2006 Wednesday 7 June;1.453;1.081;0.49
158;2006 Thursday 8 June;1.454;1.082;0.493
159;2006 Friday 9 June;1.449;1.078;0.492
160;2006 Saturday 10 June;1.45;1.077;0.488
161;2006 Sunday 11 June;1.449;1.078;0.49
162;2006 Monday 12 June;1.45;1.079;0.49
163;2006 Tuesday 13 June;1.457;1.093;0.494
164;2006 Wednesday 14 June;1.454;1.091;0.494
165;2006 Thursday 15 June;1.442;1.087;0.499
166;2006 Friday 16 June;1.437;1.082;0.498
167;2006 Saturday 17 June;1.436;1.078;0.499
168;2006 Sunday 18 June;1.437;1.081;0.497
169;2006 Monday 19 June;1.437;1.081;0.501
170;2006 Tuesday 20 June;1.432;1.076;0.497
171;2006 Wednesday 21 June;1.43;1.074;0.497
172;2006 Thursday 22 June;1.427;1.069;0.499
173;2006 Friday 23 June;1.436;1.074;0.495
174;2006 Saturday 24 June;1.438;1.074;0.494
175;2006 Sunday 25 June;1.437;1.074;0.493
176;2006 Monday 26 June;1.438;1.075;0.498
177;2006 Tuesday 27 June;1.446;1.077;0.499
178;2006 Wednesday 28 June;1.456;1.083;0.502
179;2006 Thursday 29 June;1.456;1.084;0.506
180;2006 Friday 30 June;1.458;1.085;0.505
181;2006 Saturday 1 July;1.459;1.086;0.503
182;2006 Sunday 2 July;1.459;1.085;0.505
183;2006 Monday 3 July;1.459;1.086;0.505
184;2006 Tuesday 4 July;1.461;1.086;0.504
185;2006 Wednesday 5 July;1.463;1.086;0.506
186;2006 Thursday 6 July;1.462;1.085;0.51
187;2006 Friday 7 July;1.469;1.086;0.509
188;2006 Saturday 8 July;1.475;1.088;0.507
189;2006 Sunday 9 July;1.474;1.088;0.508
190;2006 Monday 10 July;1.474;1.088;0.511
191;2006 Tuesday 11 July;1.47;1.081;0.509
192;2006 Wednesday 12 July;1.468;1.077;0.508
193;2006 Thursday 13 July;1.468;1.076;0.513
194;2006 Friday 14 July;1.477;1.082;0.51
195;2006 Saturday 15 July;1.484;1.089;0.512
196;2006 Sunday 16 July;1.484;1.089;0.507
197;2006 Monday 17 July;1.482;1.089;0.512
198;2006 Tuesday 18 July;1.49;1.096;0.517
199;2006 Wednesday 19 July;1.49;1.096;0.518
200;2006 Thursday 20 July;1.488;1.094;0.521
201;2006 Friday 21 July;1.482;1.086;0.52
202;2006 Saturday 22 July;1.479;1.082;0.522
203;2006 Sunday 23 July;1.477;1.081;0.52
204;2006 Monday 24 July;1.478;1.081;0.523
205;2006 Tuesday 25 July;1.477;1.077;0.521
206;2006 Wednesday 26 July;1.483;1.08;0.526
207;2006 Thursday 27 July;1.484;1.081;0.532
208;2006 Friday 28 July;1.483;1.08;0.53
209;2006 Saturday 29 July;1.484;1.08;0.529
210;2006 Sunday 30 July;1.484;1.081;0.529
211;2006 Monday 31 July;1.484;1.081;0.528
212;2006 Tuesday 1 August;1.475;1.081;0.533
213;2006 Wednesday 2 August;1.475;1.088;0.534
214;2006 Thursday 3 August;1.474;1.092;0.532
215;2006 Friday 4 August;1.484;1.099;0.536
216;2006 Saturday 5 August;1.486;1.1;0.532
217;2006 Sunday 6 August;1.487;1.1;0.534
218;2006 Monday 7 August;1.487;1.101;0.534
219;2006 Tuesday 8 August;1.487;1.1;0.535
220;2006 Wednesday 9 August;1.479;1.101;0.535
221;2006 Thursday 10 August;1.475;1.101;0.534
222;2006 Friday 11 August;1.46;1.1;0.536
223;2006 Saturday 12 August;1.451;1.101;0.532
224;2006 Sunday 13 August;1.449;1.101;0.53
225;2006 Monday 14 August;1.449;1.101;0.534
226;2006 Tuesday 15 August;1.442;1.091;0.533
227;2006 Wednesday 16 August;1.435;1.092;0.531
228;2006 Thursday 17 August;1.43;1.091;0.529
229;2006 Friday 18 August;1.419;1.085;0.533
230;2006 Saturday 19 August;1.413;1.082;0.533
231;2006 Sunday 20 August;1.412;1.082;0.536
232;2006 Monday 21 August;1.412;1.082;0.53
233;2006 Tuesday 22 August;1.411;1.082;0.532
234;2006 Wednesday 23 August;1.405;1.085;0.534
235;2006 Thursday 24 August;1.402;1.086;0.532
236;2006 Friday 25 August;1.393;1.086;0.532
237;2006 Saturday 26 August;1.389;1.086;0.533
238;2006 Sunday 27 August;1.389;1.085;0.531
239;2006 Monday 28 August;1.389;1.086;0.529
240;2006 Tuesday 29 August;1.389;1.087;0.534
241;2006 Wednesday 30 August;1.381;1.081;0.532
242;2006 Thursday 31 August;1.373;1.08;0.536
243;2006 Friday 1 September;1.371;1.08;0.532
244;2006 Saturday 2 September;1.367;1.08;0.531
245;2006 Sunday 3 September;1.366;1.08;0.533
246;2006 Monday 4 September;1.367;1.08;0.533
247;2006 Tuesday 5 September;1.351;1.067;0.531
248;2006 Wednesday 6 September;1.349;1.064;0.534
249;2006 Thursday 7 September;1.344;1.06;0.536
250;2006 Friday 8 September;1.34;1.054;0.534
251;2006 Saturday 9 September;1.338;1.052;0.536
252;2006 Sunday 10 September;1.338;1.053;0.533
253;2006 Monday 11 September;1.338;1.053;0.535
254;2006 Tuesday 12 September;1.329;1.038;0.535
255;2006 Wednesday 13 September;1.328;1.035;0.532
256;2006 Thursday 14 September;1.322;1.024;0.537
257;2006 Friday 15 September;1.32;1.014;0.533
258;2006 Saturday 16 September;1.317;1.003;0.536
259;2006 Sunday 17 September;1.316;1.003;0.534
260;2006 Monday 18 September;1.317;1.003;0.534
261;2006 Tuesday 19 September;1.315;1.001;0.535
262;2006 Wednesday 20 September;1.318;1.005;0.534
263;2006 Thursday 21 September;1.313;1.005;0.53
264;2006 Friday 22 September;1.3;0.997;0.529
265;2006 Saturday 23 September;1.299;0.995;0.531
266;2006 Sunday 24 September;1.298;0.994;0.526
267;2006 Monday 25 September;1.298;0.995;0.531
268;2006 Tuesday 26 September;1.291;0.989;0.53
269;2006 Wednesday 27 September;1.29;0.988;0.523
270;2006 Thursday 28 September;1.293;0.992;0.52
271;2006 Friday 29 September;1.3;1.008;0.515
272;2006 Saturday 30 September;1.3;1.01;0.516
273;2006 Sunday 1 October;1.299;1.009;0.518
274;2006 Monday 2 October;1.3;1.01;0.518
275;2006 Tuesday 3 October;1.301;1.013;0.52
276;2006 Wednesday 4 October;1.291;1.005;0.513
277;2006 Thursday 5 October;1.287;0.999;0.509
278;2006 Friday 6 October;1.285;0.999;0.51
279;2006 Saturday 7 October;1.291;1.004;0.51
280;2006 Sunday 8 October;1.289;1.004;0.509
281;2006 Monday 9 October;1.291;1.004;0.512
282;2006 Tuesday 10 October;1.296;1.01;0.51
283;2006 Wednesday 11 October;1.297;1.013;0.508
284;2006 Thursday 12 October;1.295;1.012;0.509
285;2006 Friday 13 October;1.291;1.013;0.507
286;2006 Saturday 14 October;1.29;1.014;0.506
287;2006 Sunday 15 October;1.289;1.014;0.504
288;2006 Monday 16 October;1.29;1.015;0.502
289;2006 Tuesday 17 October;1.291;1.019;0.505
290;2006 Wednesday 18 October;1.296;1.028;0.506
291;2006 Thursday 19 October;1.295;1.027;0.512
292;2006 Friday 20 October;1.294;1.022;0.51
293;2006 Saturday 21 October;1.295;1.017;0.504
294;2006 Sunday 22 October;1.294;1.016;0.509
295;2006 Monday 23 October;1.295;1.017;0.511
296;2006 Tuesday 24 October;1.286;1.007;0.509
297;2006 Wednesday 25 October;1.285;1.005;0.509
298;2006 Thursday 26 October;1.286;1.006;0.51
299;2006 Friday 27 October;1.288;1.009;0.507
300;2006 Saturday 28 October;1.289;1.008;0.509
301;2006 Sunday 29 October;1.287;1.008;0.506
302;2006 Monday 30 October;1.29;1.009;0.507
303;2006 Tuesday 31 October;1.292;1.006;0.509
304;2006 Wednesday 1 November;1.286;0.997;0.509
305;2006 Thursday 2 November;1.284;0.994;0.508
306;2006 Friday 3 November;1.279;0.993;0.506
307;2006 Saturday 4 November;1.275;0.991;0.507
308;2006 Sunday 5 November;1.275;0.99;0.508
309;2006 Monday 6 November;1.275;0.991;0.506
310;2006 Tuesday 7 November;1.283;0.999;0.503
311;2006 Wednesday 8 November;1.288;0.999;0.502
312;2006 Thursday 9 November;1.286;0.997;0.503
313;2006 Friday 10 November;1.293;1.0;0.504
314;2006 Saturday 11 November;1.292;0.997;0.503
315;2006 Sunday 12 November;1.294;0.999;0.506
316;2006 Monday 13 November;1.295;1.001;0.506
317;2006 Tuesday 14 November;1.295;0.997;0.502
318;2006 Wednesday 15 November;1.295;0.994;0.503
319;2006 Thursday 16 November;1.295;0.994;0.505
320;2006 Friday 17 November;1.301;1.003;0.501
321;2006 Saturday 18 November;1.29;0.995;0.504
322;2006 Sunday 19 November;1.29;0.994;0.503
323;2006 Monday 20 November;1.289;0.995;0.501
324;2006 Tuesday 21 November;1.285;0.992;0.503
325;2006 Wednesday 22 November;1.292;0.998;0.506
326;2006 Thursday 23 November;1.293;0.999;0.508
327;2006 Friday 24 November;1.294;0.997;0.512
328;2006 Saturday 25 November;1.29;0.993;0.507
329;2006 Sunday 26 November;1.289;0.992;0.508
330;2006 Monday 27 November;1.29;0.992;0.51
331;2006 Tuesday 28 November;1.288;0.991;0.511
332;2006 Wednesday 29 November;1.292;0.995;0.507
333;2006 Thursday 30 November;1.297;0.999;0.507
334;2006 Friday 1 December;1.307;1.009;0.507
335;2006 Saturday 2 December;1.309;1.012;0.506
336;2006 Sunday 3 December;1.309;1.012;0.504
337;2006 Monday 4 December;1.31;1.012;0.507
338;2006 Tuesday 5 December;1.309;1.007;0.507
339;2006 Wednesday 6 December;1.308;1.001;0.503
340;2006 Thursday 7 December;1.307;0.998;0.501
341;2006 Friday 8 December;1.307;0.996;0.504
342;2006 Saturday 9 December;1.306;0.996;0.503
343;2006 Sunday 10 December;1.306;0.996;0.5
344;2006 Monday 11 December;1.306;0.997;0.502
345;2006 Tuesday 12 December;1.303;0.994;0.505
346;2006 Wednesday 13 December;1.3;0.991;0.504
347;2006 Thursday 14 December;1.298;0.989;0.502
348;2006 Friday 15 December;1.302;0.991;0.501
349;2006 Saturday 16 December;1.312;0.999;0.504
350;2006 Sunday 17 December;1.312;0.998;0.508
351;2006 Monday 18 December;1.313;1.0;0.5
352;2006 Tuesday 19 December;1.314;0.999;0.503
353;2006 Wednesday 20 December;1.307;0.988;0.507
354;2006 Thursday 21 December;1.305;0.986;0.503
355;2006 Friday 22 December;1.306;0.986;0.502
356;2006 Saturday 23 December;1.309;0.985;0.505
357;2006 Sunday 24 December;1.308;0.986;0.5
358;2006 Monday 25 December;1.306;0.984;0.501
359;2006 Tuesday 26 December;1.308;0.986;0.502
360;2006 Wednesday 27 December;1.308;0.986;0.505
361;2006 Thursday 28 December;1.308;0.985;0.501
362;2006 Friday 29 December;1.306;0.985;0.504
363;2006 Saturday 30 December;1.31;0.988;0.504
364;2006 Sunday 31 December;1.31;0.988;0.499
365;2007 Monday 1 January;1.318;0.992;0.506
366;2007 Tuesday 2 January;1.319;0.993;0.504
367;2007 Wednesday 3 January;1.324;0.993;0.504
368;2007 Thursday 4 January;1.326;0.992;0.501
369;2007 Friday 5 January;1.322;0.988;0.503
370;2007 Saturday 6 January;1.314;0.974;0.502
371;2007 Sunday 7 January;1.313;0.972;0.499
372;2007 Monday 8 January;1.313;0.973;0.501
373;2007 Tuesday 9 January;1.314;0.973;0.502
374;2007 Wednesday 10 January;1.314;0.972;0.506
375;2007 Thursday 11 January;1.312;0.971;0.502
376;2007 Friday 12 January;1.308;0.969;0.501
377;2007 Saturday 13 January;1.299;0.964;0.502
378;2007 Sunday 14 January;1.298;0.964;0.499
379;2007 Monday 15 January;1.298;0.964;0.502
380;2007 Tuesday 16 January;1.297;0.961;0.502
381;2007 Wednesday 17 January;1.295;0.961;0.5
382;2007 Thursday 18 January;1.288;0.958;0.5
383;2007 Friday 19 January;1.286;0.957;0.496
384;2007 Saturday 20 January;1.284;0.957;0.498
385;2007 Sunday 21 January;1.283;0.955;0.496
386;2007 Monday 22 January;1.284;0.956;0.498
387;2007 Tuesday 23 January;1.286;0.959;0.498
388;2007 Wednesday 24 January;1.291;0.964;0.488
389;2007 Thursday 25 January;1.297;0.968;0.49
390;2007 Friday 26 January;1.303;0.97;0.488
391;2007 Saturday 27 January;1.302;0.97;0.489
392;2007 Sunday 28 January;1.301;0.97;0.486
393;2007 Monday 29 January;1.302;0.97;0.487
394;2007 Tuesday 30 January;1.302;0.971;0.488
395;2007 Wednesday 31 January;1.301;0.969;0.49
396;2007 Thursday 1 February;1.307;0.977;0.492
397;2007 Friday 2 February;1.308;0.98;0.493
398;2007 Saturday 3 February;1.31;0.983;0.488
399;2007 Sunday 4 February;1.31;0.984;0.493
400;2007 Monday 5 February;1.312;0.984;0.495
401;2007 Tuesday 6 February;1.316;0.99;0.495
402;2007 Wednesday 7 February;1.321;0.998;0.496
403;2007 Thursday 8 February;1.322;0.998;0.495
404;2007 Friday 9 February;1.322;0.996;0.495
405;2007 Saturday 10 February;1.322;0.996;0.493
406;2007 Sunday 11 February;1.321;0.995;0.496
407;2007 Monday 12 February;1.322;0.996;0.497
408;2007 Tuesday 13 February;1.323;0.997;0.498
409;2007 Wednesday 14 February;1.321;0.992;0.504
410;2007 Thursday 15 February;1.32;0.989;0.503
411;2007 Friday 16 February;1.32;0.988;0.504
412;2007 Saturday 17 February;1.319;0.982;0.503
413;2007 Sunday 18 February;1.318;0.981;0.5
414;2007 Monday 19 February;1.318;0.981;0.503
415;2007 Tuesday 20 February;1.322;0.982;0.502
416;2007 Wednesday 21 February;1.324;0.982;0.499
417;2007 Thursday 22 February;1.326;0.982;0.505
418;2007 Friday 23 February;1.336;0.988;0.5
419;2007 Saturday 24 February;1.35;0.998;0.501
420;2007 Sunday 25 February;1.351;0.998;0.507
421;2007 Monday 26 February;1.35;0.998;0.501
422;2007 Tuesday 27 February;1.357;1.002;0.504
423;2007 Wednesday 28 February;1.362;1.003;0.505
424;2007 Thursday 1 March;1.365;1.003;0.503
425;2007 Friday 2 March;1.375;1.006;0.502
426;2007 Saturday 3 March;1.384;1.009;0.502
427;2007 Sunday 4 March;1.384;1.009;0.503
428;2007 Monday 5 March;1.383;1.009;0.504
429;2007 Tuesday 6 March;1.383;1.01;0.505
430;2007 Wednesday 7 March;1.382;1.01;0.509
431;2007 Thursday 8 March;1.381;1.01;0.504
432;2007 Friday 9 March;1.382;1.01;0.505
433;2007 Saturday 10 March;1.386;1.01;0.506
434;2007 Sunday 11 March;1.386;1.008;0.501
435;2007 Monday 12 March;1.386;1.01;0.506
436;2007 Tuesday 13 March;1.384;1.007;0.504
437;2007 Wednesday 14 March;1.384;1.005;0.51
438;2007 Thursday 15 March;1.383;1.003;0.511
439;2007 Friday 16 March;1.379;1.003;0.513
440;2007 Saturday 17 March;1.369;1.0;0.514
441;2007 Sunday 18 March;1.367;1.0;0.509
442;2007 Monday 19 March;1.366;1.0;0.512
443;2007 Tuesday 20 March;1.365;0.997;0.515
444;2007 Wednesday 21 March;1.362;0.995;0.509
445;2007 Thursday 22 March;1.361;0.995;0.514
446;2007 Friday 23 March;1.362;0.995;0.512
447;2007 Saturday 24 March;1.367;0.998;0.507
448;2007 Sunday 25 March;1.367;0.999;0.512
449;2007 Monday 26 March;1.366;0.999;0.511
450;2007 Tuesday 27 March;1.381;1.006;0.512
451;2007 Wednesday 28 March;1.39;1.008;0.504
452;2007 Thursday 29 March;1.402;1.018;0.506
453;2007 Friday 30 March;1.402;1.026;0.504
454;2007 Saturday 31 March;1.416;1.038;0.504
455;2007 Sunday 1 April;1.414;1.036;0.504
456;2007 Monday 2 April;1.416;1.039;0.505
457;2007 Tuesday 3 April;1.416;1.038;0.507
458;2007 Wednesday 4 April;1.412;1.035;0.514
459;2007 Thursday 5 April;1.41;1.034;0.513
460;2007 Friday 6 April;1.417;1.035;0.512
461;2007 Saturday 7 April;1.42;1.035;0.514
462;2007 Sunday 8 April;1.418;1.033;0.514
463;2007 Monday 9 April;1.418;1.034;0.514
464;2007 Tuesday 10 April;1.419;1.036;0.513
465;2007 Wednesday 11 April;1.416;1.029;0.515
466;2007 Thursday 12 April;1.416;1.028;0.517
467;2007 Friday 13 April;1.42;1.033;0.518
468;2007 Saturday 14 April;1.428;1.037;0.519
469;2007 Sunday 15 April;1.427;1.037;0.517
470;2007 Monday 16 April;1.427;1.038;0.519
471;2007 Tuesday 17 April;1.428;1.038;0.518
472;2007 Wednesday 18 April;1.428;1.037;0.515
473;2007 Thursday 19 April;1.418;1.024;0.515
474;2007 Friday 20 April;1.416;1.022;0.516
475;2007 Saturday 21 April;1.426;1.019;0.516
476;2007 Sunday 22 April;1.425;1.019;0.515
477;2007 Monday 23 April;1.425;1.019;0.516
478;2007 Tuesday 24 April;1.435;1.022;0.513
479;2007 Wednesday 25 April;1.451;1.027;0.512
480;2007 Thursday 26 April;1.45;1.027;0.514
481;2007 Friday 27 April;1.45;1.027;0.511
482;2007 Saturday 28 April;1.45;1.027;0.512
483;2007 Sunday 29 April;1.449;1.027;0.513
484;2007 Monday 30 April;1.45;1.026;0.516
485;2007 Tuesday 1 May;1.452;1.028;0.515
486;2007 Wednesday 2 May;1.462;1.028;0.511
487;2007 Thursday 3 May;1.467;1.028;0.509
488;2007 Friday 4 May;1.468;1.028;0.511
489;2007 Saturday 5 May;1.463;1.027;0.509
490;2007 Sunday 6 May;1.462;1.027;0.514
491;2007 Monday 7 May;1.462;1.028;0.508
492;2007 Tuesday 8 May;1.46;1.027;0.51
493;2007 Wednesday 9 May;1.453;1.023;0.506
494;2007 Thursday 10 May;1.449;1.021;0.504
495;2007 Friday 11 May;1.45;1.021;0.506
496;2007 Saturday 12 May;1.464;1.027;0.501
497;2007 Sunday 13 May;1.464;1.028;0.498
498;2007 Monday 14 May;1.465;1.029;0.503
499;2007 Tuesday 15 May;1.468;1.029;0.503
500;2007 Wednesday 16 May;1.467;1.029;0.508
501;2007 Thursday 17 May;1.466;1.029;0.508
502;2007 Friday 18 May;1.466;1.028;0.507
503;2007 Saturday 19 May;1.474;1.031;0.506
504;2007 Sunday 20 May;1.474;1.031;0.51
505;2007 Monday 21 May;1.475;1.031;0.51
506;2007 Tuesday 22 May;1.482;1.037;0.509
507;2007 Wednesday 23 May;1.483;1.039;0.52
508;2007 Thursday 24 May;1.476;1.039;0.523
509;2007 Friday 25 May;1.47;1.043;0.52
510;2007 Saturday 26 May;1.472;1.046;0.521
511;2007 Sunday 27 May;1.471;1.046;0.52
512;2007 Monday 28 May;1.471;1.047;0.522
513;2007 Tuesday 29 May;1.472;1.047;0.523
514;2007 Wednesday 30 May;1.471;1.043;0.529
515;2007 Thursday 31 May;1.463;1.037;0.536
516;2007 Friday 1 June;1.458;1.035;0.537
517;2007 Saturday 2 June;1.455;1.035;0.534
518;2007 Sunday 3 June;1.455;1.036;0.532
519;2007 Monday 4 June;1.456;1.037;0.539
520;2007 Tuesday 5 June;1.454;1.042;0.536
521;2007 Wednesday 6 June;1.452;1.045;0.533
522;2007 Thursday 7 June;1.453;1.046;0.536
523;2007 Friday 8 June;1.451;1.048;0.531
524;2007 Saturday 9 June;1.452;1.052;0.53
525;2007 Sunday 10 June;1.451;1.052;0.535
526;2007 Monday 11 June;1.451;1.053;0.532
527;2007 Tuesday 12 June;1.448;1.052;0.534
528;2007 Wednesday 13 June;1.446;1.05;0.524
529;2007 Thursday 14 June;1.445;1.05;0.525
530;2007 Friday 15 June;1.448;1.055;0.524
531;2007 Saturday 16 June;1.455;1.059;0.521
532;2007 Sunday 17 June;1.455;1.059;0.521
533;2007 Monday 18 June;1.457;1.06;0.526
534;2007 Tuesday 19 June;1.46;1.061;0.522
535;2007 Wednesday 20 June;1.461;1.061;0.521
