ID;BedrijfstakkenSBI93;LoonklassenJaarloon;WoonregioS;WerkregioS;Perioden;TotaalHoofdbanenVanWerknemers_1;HoofdbaanBinnenWoongemeente_2;HoofdbaanBuitenWoongemeente_3;HoofdbaanBinnenWoonCOROP_4;HoofdbaanBuitenWoonCOROP_5;HoofdbaanBinnenWoonprovincie_6;HoofdbaanBuitenWoonprovincie_7;GemiddeldeWoonwerkafstand_8
115;0;0;Nederland inclusief buitenland;Arnhem/Nijmegen (CR);2005 30 september;298.7;124.1;174.6;225.6;73.1;254.6;44.2;
116;0;0;Nederland inclusief buitenland;Zuidwest-Gelderland (CR);1998 31 december;74.2;29.8;44.4;50.0;24.2;55.8;18.5;
117;0;0;Nederland inclusief buitenland;Zuidwest-Gelderland (CR);2000 31 december;76.5;32.4;44.1;51.1;25.4;56.9;19.6;
118;0;0;Nederland inclusief buitenland;Zuidwest-Gelderland (CR);2004 30 september;85.2;37.0;48.2;56.5;28.7;63.0;22.2;
119;0;0;Nederland inclusief buitenland;Zuidwest-Gelderland (CR);2005 30 september;85.7;37.1;48.6;56.5;29.2;62.9;22.7;
120;0;0;Nederland inclusief buitenland;Utrecht (CR);1998 31 december;556.5;194.1;362.4;371.1;185.4;371.1;185.4;
121;0;0;Nederland inclusief buitenland;Utrecht (CR);2000 31 december;563.2;189.7;373.5;367.1;196.1;367.1;196.1;
122;0;0;Nederland inclusief buitenland;Utrecht (CR);2004 30 september;594.7;216.1;378.6;394.2;200.5;394.2;200.5;
123;0;0;Nederland inclusief buitenland;Utrecht (CR);2005 30 september;601.7;218.3;383.4;396.3;205.4;396.3;205.4;
124;0;0;Nederland inclusief buitenland;Kop van Noord-Holland (CR);1998 31 december;113.3;57.9;55.4;94.6;18.7;104.7;8.6;
125;0;0;Nederland inclusief buitenland;Kop van Noord-Holland (CR);2000 31 december;114.9;57.3;57.6;95.4;19.5;106.3;8.7;
126;0;0;Nederland inclusief buitenland;Kop van Noord-Holland (CR);2004 30 september;122.4;63.8;58.6;102.2;20.2;113.2;9.2;
127;0;0;Nederland inclusief buitenland;Kop van Noord-Holland (CR);2005 30 september;121.9;61.7;60.1;101.0;20.8;112.4;9.5;
128;0;0;Nederland inclusief buitenland;Alkmaar en omgeving (CR);1998 31 december;81.7;34.4;47.4;57.7;24.0;78.9;2.8;
129;0;0;Nederland inclusief buitenland;Alkmaar en omgeving (CR);2000 31 december;84.5;34.3;50.2;57.9;26.6;80.0;4.4;
130;0;0;Nederland inclusief buitenland;Alkmaar en omgeving (CR);2004 30 september;92.0;39.1;52.9;61.5;30.5;87.1;4.9;
131;0;0;Nederland inclusief buitenland;Alkmaar en omgeving (CR);2005 30 september;91.1;38.5;52.6;61.0;30.0;86.5;4.5;
132;0;0;Nederland inclusief buitenland;IJmond (CR);1998 31 december;62.0;22.2;39.7;37.8;24.1;58.5;3.5;
133;0;0;Nederland inclusief buitenland;IJmond (CR);2000 31 december;62.1;22.2;40.0;38.0;24.1;57.7;4.5;
