ID;Bedrijfstakken;Bedrijfskenmerken;Perioden;Bedrijven_1
77;A Landbouw, jacht en bosbouw;100 werkzame personen of meer;2007, 1 januari;45
78;A Landbouw, jacht en bosbouw;100 werkzame personen of meer;2008, 1 januari;35
79;A Landbouw, jacht en bosbouw;100 werkzame personen of meer;2009, 1 januari;30
80;A Landbouw, jacht en bosbouw;Natuurlijke personen;2006, 1 januari;89815
81;A Landbouw, jacht en bosbouw;Natuurlijke personen;2007, 1 januari;88040
82;A Landbouw, jacht en bosbouw;Natuurlijke personen;2008, 1 januari;86285
83;A Landbouw, jacht en bosbouw;Natuurlijke personen;2009, 1 januari;86090
84;A Landbouw, jacht en bosbouw;Rechtspersonen;2006, 1 januari;5560
85;A Landbouw, jacht en bosbouw;Rechtspersonen;2007, 1 januari;5505
86;A Landbouw, jacht en bosbouw;Rechtspersonen;2008, 1 januari;5705
87;A Landbouw, jacht en bosbouw;Rechtspersonen;2009, 1 januari;5930
88;01 Landbouw, jacht en dienstverlening ..;Totaal aantal bedrijven;2006, 1 januari;94955
89;01 Landbouw, jacht en dienstverlening ..;Totaal aantal bedrijven;2007, 1 januari;93135
90;01 Landbouw, jacht en dienstverlening ..;Totaal aantal bedrijven;2008, 1 januari;91550
91;01 Landbouw, jacht en dienstverlening ..;Totaal aantal bedrijven;2009, 1 januari;91550
92;01 Landbouw, jacht en dienstverlening ..;1 werkzame persoon;2006, 1 januari;57665
93;01 Landbouw, jacht en dienstverlening ..;1 werkzame persoon;2007, 1 januari;51190
94;01 Landbouw, jacht en dienstverlening ..;1 werkzame persoon;2008, 1 januari;49255
95;01 Landbouw, jacht en dienstverlening ..;1 werkzame persoon;2009, 1 januari;49415
96;01 Landbouw, jacht en dienstverlening ..;2 werkzame personen;2006, 1 januari;23210
97;01 Landbouw, jacht en dienstverlening ..;2 werkzame personen;2007, 1 januari;26075
98;01 Landbouw, jacht en dienstverlening ..;2 werkzame personen;2008, 1 januari;26260
99;01 Landbouw, jacht en dienstverlening ..;2 werkzame personen;2009, 1 januari;25770
100;01 Landbouw, jacht en dienstverlening ..;3 tot 5 werkzame personen;2006, 1 januari;9010
101;01 Landbouw, jacht en dienstverlening ..;3 tot 5 werkzame personen;2007, 1 januari;9730
102;01 Landbouw, jacht en dienstverlening ..;3 tot 5 werkzame personen;2008, 1 januari;9980
103;01 Landbouw, jacht en dienstverlening ..;3 tot 5 werkzame personen;2009, 1 januari;10065
104;01 Landbouw, jacht en dienstverlening ..;5 tot 10 werkzame personen;2006, 1 januari;3545
105;01 Landbouw, jacht en dienstverlening ..;5 tot 10 werkzame personen;2007, 1 januari;3910
106;01 Landbouw, jacht en dienstverlening ..;5 tot 10 werkzame personen;2008, 1 januari;3940
107;01 Landbouw, jacht en dienstverlening ..;5 tot 10 werkzame personen;2009, 1 januari;4025
108;01 Landbouw, jacht en dienstverlening ..;10 tot 20 werkzame personen;2006, 1 januari;1110
109;01 Landbouw, jacht en dienstverlening ..;10 tot 20 werkzame personen;2007, 1 januari;1585
110;01 Landbouw, jacht en dienstverlening ..;10 tot 20 werkzame personen;2008, 1 januari;1460
111;01 Landbouw, jacht en dienstverlening ..;10 tot 20 werkzame personen;2009, 1 januari;1580
112;01 Landbouw, jacht en dienstverlening ..;20 tot 50 werkzame personen;2006, 1 januari;345
113;01 Landbouw, jacht en dienstverlening ..;20 tot 50 werkzame personen;2007, 1 januari;505
114;01 Landbouw, jacht en dienstverlening ..;20 tot 50 werkzame personen;2008, 1 januari;520
115;01 Landbouw, jacht en dienstverlening ..;20 tot 50 werkzame personen;2009, 1 januari;550
116;01 Landbouw, jacht en dienstverlening ..;50 tot 100 werkzame personen;2006, 1 januari;45
117;01 Landbouw, jacht en dienstverlening ..;50 tot 100 werkzame personen;2007, 1 januari;95
118;01 Landbouw, jacht en dienstverlening ..;50 tot 100 werkzame personen;2008, 1 januari;95
119;01 Landbouw, jacht en dienstverlening ..;50 tot 100 werkzame personen;2009, 1 januari;115
120;01 Landbouw, jacht en dienstverlening ..;100 werkzame personen of meer;2006, 1 januari;25
121;01 Landbouw, jacht en dienstverlening ..;100 werkzame personen of meer;2007, 1 januari;45
122;01 Landbouw, jacht en dienstverlening ..;100 werkzame personen of meer;2008, 1 januari;35
123;01 Landbouw, jacht en dienstverlening ..;100 werkzame personen of meer;2009, 1 januari;30
124;01 Landbouw, jacht en dienstverlening ..;Natuurlijke personen;2006, 1 januari;89460
125;01 Landbouw, jacht en dienstverlening ..;Natuurlijke personen;2007, 1 januari;87700
126;01 Landbouw, jacht en dienstverlening ..;Natuurlijke personen;2008, 1 januari;85920
127;01 Landbouw, jacht en dienstverlening ..;Natuurlijke personen;2009, 1 januari;85700
128;01 Landbouw, jacht en dienstverlening ..;Rechtspersonen;2006, 1 januari;5495
129;01 Landbouw, jacht en dienstverlening ..;Rechtspersonen;2007, 1 januari;5435
130;01 Landbouw, jacht en dienstverlening ..;Rechtspersonen;2008, 1 januari;5630
131;01 Landbouw, jacht en dienstverlening ..;Rechtspersonen;2009, 1 januari;5850
132;011 Akker- en tuinbouw;Totaal aantal bedrijven;2006, 1 januari;28605
133;011 Akker- en tuinbouw;Totaal aantal bedrijven;2007, 1 januari;27895
134;011 Akker- en tuinbouw;Totaal aantal bedrijven;2008, 1 januari;26215
135;011 Akker- en tuinbouw;Totaal aantal bedrijven;2009, 1 januari;25360
136;011 Akker- en tuinbouw;1 werkzame persoon;2006, 1 januari;15675
137;011 Akker- en tuinbouw;1 werkzame persoon;2007, 1 januari;14470
138;011 Akker- en tuinbouw;1 werkzame persoon;2008, 1 januari;12810
139;011 Akker- en tuinbouw;1 werkzame persoon;2009, 1 januari;12260
140;011 Akker- en tuinbouw;2 werkzame personen;2006, 1 januari;6300
141;011 Akker- en tuinbouw;2 werkzame personen;2007, 1 januari;6530
142;011 Akker- en tuinbouw;2 werkzame personen;2008, 1 januari;6440
143;011 Akker- en tuinbouw;2 werkzame personen;2009, 1 januari;6210
144;011 Akker- en tuinbouw;3 tot 5 werkzame personen;2006, 1 januari;3790
145;011 Akker- en tuinbouw;3 tot 5 werkzame personen;2007, 1 januari;3460
146;011 Akker- en tuinbouw;3 tot 5 werkzame personen;2008, 1 januari;3535
147;011 Akker- en tuinbouw;3 tot 5 werkzame personen;2009, 1 januari;3435
148;011 Akker- en tuinbouw;5 tot 10 werkzame personen;2006, 1 januari;2190
149;011 Akker- en tuinbouw;5 tot 10 werkzame personen;2007, 1 januari;2240
150;011 Akker- en tuinbouw;5 tot 10 werkzame personen;2008, 1 januari;2265
151;011 Akker- en tuinbouw;5 tot 10 werkzame personen;2009, 1 januari;2230
152;011 Akker- en tuinbouw;10 tot 20 werkzame personen;2006, 1 januari;535
153;011 Akker- en tuinbouw;10 tot 20 werkzame personen;2007, 1 januari;890
154;011 Akker- en tuinbouw;10 tot 20 werkzame personen;2008, 1 januari;835
155;011 Akker- en tuinbouw;10 tot 20 werkzame personen;2009, 1 januari;885
156;011 Akker- en tuinbouw;20 tot 50 werkzame personen;2006, 1 januari;105
157;011 Akker- en tuinbouw;20 tot 50 werkzame personen;2007, 1 januari;240
158;011 Akker- en tuinbouw;20 tot 50 werkzame personen;2008, 1 januari;265
159;011 Akker- en tuinbouw;20 tot 50 werkzame personen;2009, 1 januari;260
160;011 Akker- en tuinbouw;50 tot 100 werkzame personen;2006, 1 januari;5
161;011 Akker- en tuinbouw;50 tot 100 werkzame personen;2007, 1 januari;50
162;011 Akker- en tuinbouw;50 tot 100 werkzame personen;2008, 1 januari;55
163;011 Akker- en tuinbouw;50 tot 100 werkzame personen;2009, 1 januari;65
164;011 Akker- en tuinbouw;100 werkzame personen of meer;2006, 1 januari;0
165;011 Akker- en tuinbouw;100 werkzame personen of meer;2007, 1 januari;20
166;011 Akker- en tuinbouw;100 werkzame personen of meer;2008, 1 januari;20
167;011 Akker- en tuinbouw;100 werkzame personen of meer;2009, 1 januari;15
168;011 Akker- en tuinbouw;Natuurlijke personen;2006, 1 januari;26080
169;011 Akker- en tuinbouw;Natuurlijke personen;2007, 1 januari;25385
170;011 Akker- en tuinbouw;Natuurlijke personen;2008, 1 januari;23750
171;011 Akker- en tuinbouw;Natuurlijke personen;2009, 1 januari;22900
172;011 Akker- en tuinbouw;Rechtspersonen;2006, 1 januari;2525
173;011 Akker- en tuinbouw;Rechtspersonen;2007, 1 januari;2505
174;011 Akker- en tuinbouw;Rechtspersonen;2008, 1 januari;2465
175;011 Akker- en tuinbouw;Rechtspersonen;2009, 1 januari;2460
176;0111 Akkerbouw;Totaal aantal bedrijven;2006, 1 januari;13575
177;0111 Akkerbouw;Totaal aantal bedrijven;2007, 1 januari;13425
178;0111 Akkerbouw;Totaal aantal bedrijven;2008, 1 januari;12470
179;0111 Akkerbouw;Totaal aantal bedrijven;2009, 1 januari;12260
180;0111 Akkerbouw;1 werkzame persoon;2006, 1 januari;9965
181;0111 Akkerbouw;1 werkzame persoon;2007, 1 januari;9410
182;0111 Akkerbouw;1 werkzame persoon;2008, 1 januari;8375
183;0111 Akkerbouw;1 werkzame persoon;2009, 1 januari;8165
184;0111 Akkerbouw;2 werkzame personen;2006, 1 januari;2655
185;0111 Akkerbouw;2 werkzame personen;2007, 1 januari;2950
186;0111 Akkerbouw;2 werkzame personen;2008, 1 januari;2950
187;0111 Akkerbouw;2 werkzame personen;2009, 1 januari;2915
188;0111 Akkerbouw;3 tot 5 werkzame personen;2006, 1 januari;775
189;0111 Akkerbouw;3 tot 5 werkzame personen;2007, 1 januari;840
190;0111 Akkerbouw;3 tot 5 werkzame personen;2008, 1 januari;915
191;0111 Akkerbouw;3 tot 5 werkzame personen;2009, 1 januari;935
192;0111 Akkerbouw;5 tot 10 werkzame personen;2006, 1 januari;140
193;0111 Akkerbouw;5 tot 10 werkzame personen;2007, 1 januari;150
194;0111 Akkerbouw;5 tot 10 werkzame personen;2008, 1 januari;165
195;0111 Akkerbouw;5 tot 10 werkzame personen;2009, 1 januari;175
196;0111 Akkerbouw;10 tot 20 werkzame personen;2006, 1 januari;30
197;0111 Akkerbouw;10 tot 20 werkzame personen;2007, 1 januari;55
198;0111 Akkerbouw;10 tot 20 werkzame personen;2008, 1 januari;50
199;0111 Akkerbouw;10 tot 20 werkzame personen;2009, 1 januari;60
200;0111 Akkerbouw;20 tot 50 werkzame personen;2006, 1 januari;5
201;0111 Akkerbouw;20 tot 50 werkzame personen;2007, 1 januari;10
202;0111 Akkerbouw;20 tot 50 werkzame personen;2008, 1 januari;10
203;0111 Akkerbouw;20 tot 50 werkzame personen;2009, 1 januari;10
204;0111 Akkerbouw;50 tot 100 werkzame personen;2006, 1 januari;0
205;0111 Akkerbouw;50 tot 100 werkzame personen;2007, 1 januari;0
206;0111 Akkerbouw;50 tot 100 werkzame personen;2008, 1 januari;0
207;0111 Akkerbouw;50 tot 100 werkzame personen;2009, 1 januari;0
208;0111 Akkerbouw;100 werkzame personen of meer;2006, 1 januari;0
209;0111 Akkerbouw;100 werkzame personen of meer;2007, 1 januari;0
210;0111 Akkerbouw;100 werkzame personen of meer;2008, 1 januari;0
211;0111 Akkerbouw;100 werkzame personen of meer;2009, 1 januari;0
212;0111 Akkerbouw;Natuurlijke personen;2006, 1 januari;13000
213;0111 Akkerbouw;Natuurlijke personen;2007, 1 januari;12835
214;0111 Akkerbouw;Natuurlijke personen;2008, 1 januari;11920
215;0111 Akkerbouw;Natuurlijke personen;2009, 1 januari;11695
216;0111 Akkerbouw;Rechtspersonen;2006, 1 januari;575
217;0111 Akkerbouw;Rechtspersonen;2007, 1 januari;590
218;0111 Akkerbouw;Rechtspersonen;2008, 1 januari;550
219;0111 Akkerbouw;Rechtspersonen;2009, 1 januari;565
220;01121 Teelt van groenten, bloemen en ..;Totaal aantal bedrijven;2006, 1 januari;10240
221;01121 Teelt van groenten, bloemen en ..;Totaal aantal bedrijven;2007, 1 januari;9745
222;01121 Teelt van groenten, bloemen en ..;Totaal aantal bedrijven;2008, 1 januari;9055
223;01121 Teelt van groenten, bloemen en ..;Totaal aantal bedrijven;2009, 1 januari;8540
224;01121 Teelt van groenten, bloemen en ..;1 werkzame persoon;2006, 1 januari;3175
225;01121 Teelt van groenten, bloemen en ..;1 werkzame persoon;2007, 1 januari;2845
226;01121 Teelt van groenten, bloemen en ..;1 werkzame persoon;2008, 1 januari;2365
227;01121 Teelt van groenten, bloemen en ..;1 werkzame persoon;2009, 1 januari;2185
228;01121 Teelt van groenten, bloemen en ..;2 werkzame personen;2006, 1 januari;2470
229;01121 Teelt van groenten, bloemen en ..;2 werkzame personen;2007, 1 januari;2295
230;01121 Teelt van groenten, bloemen en ..;2 werkzame personen;2008, 1 januari;2165
231;01121 Teelt van groenten, bloemen en ..;2 werkzame personen;2009, 1 januari;2005
232;01121 Teelt van groenten, bloemen en ..;3 tot 5 werkzame personen;2006, 1 januari;2325
233;01121 Teelt van groenten, bloemen en ..;3 tot 5 werkzame personen;2007, 1 januari;1930
234;01121 Teelt van groenten, bloemen en ..;3 tot 5 werkzame personen;2008, 1 januari;1900
235;01121 Teelt van groenten, bloemen en ..;3 tot 5 werkzame personen;2009, 1 januari;1715
236;01121 Teelt van groenten, bloemen en ..;5 tot 10 werkzame personen;2006, 1 januari;1725
237;01121 Teelt van groenten, bloemen en ..;5 tot 10 werkzame personen;2007, 1 januari;1705
238;01121 Teelt van groenten, bloemen en ..;5 tot 10 werkzame personen;2008, 1 januari;1705
239;01121 Teelt van groenten, bloemen en ..;5 tot 10 werkzame personen;2009, 1 januari;1655
240;01121 Teelt van groenten, bloemen en ..;10 tot 20 werkzame personen;2006, 1 januari;450
241;01121 Teelt van groenten, bloemen en ..;10 tot 20 werkzame personen;2007, 1 januari;720
242;01121 Teelt van groenten, bloemen en ..;10 tot 20 werkzame personen;2008, 1 januari;655
243;01121 Teelt van groenten, bloemen en ..;10 tot 20 werkzame personen;2009, 1 januari;700
244;01121 Teelt van groenten, bloemen en ..;20 tot 50 werkzame personen;2006, 1 januari;90
245;01121 Teelt van groenten, bloemen en ..;20 tot 50 werkzame personen;2007, 1 januari;190
246;01121 Teelt van groenten, bloemen en ..;20 tot 50 werkzame personen;2008, 1 januari;215
247;01121 Teelt van groenten, bloemen en ..;20 tot 50 werkzame personen;2009, 1 januari;215
248;01121 Teelt van groenten, bloemen en ..;50 tot 100 werkzame personen;2006, 1 januari;5
249;01121 Teelt van groenten, bloemen en ..;50 tot 100 werkzame personen;2007, 1 januari;40
250;01121 Teelt van groenten, bloemen en ..;50 tot 100 werkzame personen;2008, 1 januari;40
251;01121 Teelt van groenten, bloemen en ..;50 tot 100 werkzame personen;2009, 1 januari;55
252;01121 Teelt van groenten, bloemen en ..;100 werkzame personen of meer;2006, 1 januari;0
253;01121 Teelt van groenten, bloemen en ..;100 werkzame personen of meer;2007, 1 januari;15
254;01121 Teelt van groenten, bloemen en ..;100 werkzame personen of meer;2008, 1 januari;15
255;01121 Teelt van groenten, bloemen en ..;100 werkzame personen of meer;2009, 1 januari;15
256;01121 Teelt van groenten, bloemen en ..;Natuurlijke personen;2006, 1 januari;8700
257;01121 Teelt van groenten, bloemen en ..;Natuurlijke personen;2007, 1 januari;8240
258;01121 Teelt van groenten, bloemen en ..;Natuurlijke personen;2008, 1 januari;7555
259;01121 Teelt van groenten, bloemen en ..;Natuurlijke personen;2009, 1 januari;7055
260;01121 Teelt van groenten, bloemen en ..;Rechtspersonen;2006, 1 januari;1540
261;01121 Teelt van groenten, bloemen en ..;Rechtspersonen;2007, 1 januari;1505
262;01121 Teelt van groenten, bloemen en ..;Rechtspersonen;2008, 1 januari;1495
263;01121 Teelt van groenten, bloemen en ..;Rechtspersonen;2009, 1 januari;1485
264;01122 Teelt van boomkwekerijgewassen;Totaal aantal bedrijven;2006, 1 januari;2980
265;01122 Teelt van boomkwekerijgewassen;Totaal aantal bedrijven;2007, 1 januari;2965
266;01122 Teelt van boomkwekerijgewassen;Totaal aantal bedrijven;2008, 1 januari;2900
267;01122 Teelt van boomkwekerijgewassen;Totaal aantal bedrijven;2009, 1 januari;2815
268;01122 Teelt van boomkwekerijgewassen;1 werkzame persoon;2006, 1 januari;1420
269;01122 Teelt van boomkwekerijgewassen;1 werkzame persoon;2007, 1 januari;1295
270;01122 Teelt van boomkwekerijgewassen;1 werkzame persoon;2008, 1 januari;1190
271;01122 Teelt van boomkwekerijgewassen;1 werkzame persoon;2009, 1 januari;1115
272;01122 Teelt van boomkwekerijgewassen;2 werkzame personen;2006, 1 januari;745
273;01122 Teelt van boomkwekerijgewassen;2 werkzame personen;2007, 1 januari;785
274;01122 Teelt van boomkwekerijgewassen;2 werkzame personen;2008, 1 januari;775
275;01122 Teelt van boomkwekerijgewassen;2 werkzame personen;2009, 1 januari;760
276;01122 Teelt van boomkwekerijgewassen;3 tot 5 werkzame personen;2006, 1 januari;485
277;01122 Teelt van boomkwekerijgewassen;3 tot 5 werkzame personen;2007, 1 januari;435
278;01122 Teelt van boomkwekerijgewassen;3 tot 5 werkzame personen;2008, 1 januari;445
279;01122 Teelt van boomkwekerijgewassen;3 tot 5 werkzame personen;2009, 1 januari;485
280;01122 Teelt van boomkwekerijgewassen;5 tot 10 werkzame personen;2006, 1 januari;270
281;01122 Teelt van boomkwekerijgewassen;5 tot 10 werkzame personen;2007, 1 januari;305
282;01122 Teelt van boomkwekerijgewassen;5 tot 10 werkzame personen;2008, 1 januari;325
283;01122 Teelt van boomkwekerijgewassen;5 tot 10 werkzame personen;2009, 1 januari;310
284;01122 Teelt van boomkwekerijgewassen;10 tot 20 werkzame personen;2006, 1 januari;50
285;01122 Teelt van boomkwekerijgewassen;10 tot 20 werkzame personen;2007, 1 januari;100
286;01122 Teelt van boomkwekerijgewassen;10 tot 20 werkzame personen;2008, 1 januari;110
287;01122 Teelt van boomkwekerijgewassen;10 tot 20 werkzame personen;2009, 1 januari;105
288;01122 Teelt van boomkwekerijgewassen;20 tot 50 werkzame personen;2006, 1 januari;10
289;01122 Teelt van boomkwekerijgewassen;20 tot 50 werkzame personen;2007, 1 januari;35
290;01122 Teelt van boomkwekerijgewassen;20 tot 50 werkzame personen;2008, 1 januari;35
291;01122 Teelt van boomkwekerijgewassen;20 tot 50 werkzame personen;2009, 1 januari;30
292;01122 Teelt van boomkwekerijgewassen;50 tot 100 werkzame personen;2006, 1 januari;0
293;01122 Teelt van boomkwekerijgewassen;50 tot 100 werkzame personen;2007, 1 januari;5
294;01122 Teelt van boomkwekerijgewassen;50 tot 100 werkzame personen;2008, 1 januari;10
295;01122 Teelt van boomkwekerijgewassen;50 tot 100 werkzame personen;2009, 1 januari;5
296;01122 Teelt van boomkwekerijgewassen;100 werkzame personen of meer;2006, 1 januari;0
297;01122 Teelt van boomkwekerijgewassen;100 werkzame personen of meer;2007, 1 januari;5
298;01122 Teelt van boomkwekerijgewassen;100 werkzame personen of meer;2008, 1 januari;5
299;01122 Teelt van boomkwekerijgewassen;100 werkzame personen of meer;2009, 1 januari;0
300;01122 Teelt van boomkwekerijgewassen;Natuurlijke personen;2006, 1 januari;2630
301;01122 Teelt van boomkwekerijgewassen;Natuurlijke personen;2007, 1 januari;2605
302;01122 Teelt van boomkwekerijgewassen;Natuurlijke personen;2008, 1 januari;2535
303;01122 Teelt van boomkwekerijgewassen;Natuurlijke personen;2009, 1 januari;2460
304;01122 Teelt van boomkwekerijgewassen;Rechtspersonen;2006, 1 januari;350
305;01122 Teelt van boomkwekerijgewassen;Rechtspersonen;2007, 1 januari;355
306;01122 Teelt van boomkwekerijgewassen;Rechtspersonen;2008, 1 januari;360
307;01122 Teelt van boomkwekerijgewassen;Rechtspersonen;2009, 1 januari;355
308;0113 Fruitteelt;Totaal aantal bedrijven;2006, 1 januari;1810
309;0113 Fruitteelt;Totaal aantal bedrijven;2007, 1 januari;1760
310;0113 Fruitteelt;Totaal aantal bedrijven;2008, 1 januari;1795
311;0113 Fruitteelt;Totaal aantal bedrijven;2009, 1 januari;1745
312;0113 Fruitteelt;1 werkzame persoon;2006, 1 januari;1115
313;0113 Fruitteelt;1 werkzame persoon;2007, 1 januari;920
314;0113 Fruitteelt;1 werkzame persoon;2008, 1 januari;875
315;0113 Fruitteelt;1 werkzame persoon;2009, 1 januari;795
316;0113 Fruitteelt;2 werkzame personen;2006, 1 januari;430
317;0113 Fruitteelt;2 werkzame personen;2007, 1 januari;500
318;0113 Fruitteelt;2 werkzame personen;2008, 1 januari;550
319;0113 Fruitteelt;2 werkzame personen;2009, 1 januari;530
320;0113 Fruitteelt;3 tot 5 werkzame personen;2006, 1 januari;205
321;0113 Fruitteelt;3 tot 5 werkzame personen;2007, 1 januari;250
322;0113 Fruitteelt;3 tot 5 werkzame personen;2008, 1 januari;275
323;0113 Fruitteelt;3 tot 5 werkzame personen;2009, 1 januari;300
324;0113 Fruitteelt;5 tot 10 werkzame personen;2006, 1 januari;55
325;0113 Fruitteelt;5 tot 10 werkzame personen;2007, 1 januari;80
326;0113 Fruitteelt;5 tot 10 werkzame personen;2008, 1 januari;70
