ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
81;Listed monuments total;Noord-Nederland (LD);1987;5469
82;Listed monuments total;Noord-Nederland (LD);1988;5492
83;Listed monuments total;Noord-Nederland (LD);1989;5519
84;Listed monuments total;Noord-Nederland (LD);1990;5539
85;Listed monuments total;Noord-Nederland (LD);1991;5596
86;Listed monuments total;Noord-Nederland (LD);1992;5617
87;Listed monuments total;Noord-Nederland (LD);1993;5640
88;Listed monuments total;Noord-Nederland (LD);1994;5979
89;Listed monuments total;Noord-Nederland (LD);1995;6337
90;Listed monuments total;Noord-Nederland (LD);1996;6394
91;Listed monuments total;Noord-Nederland (LD);1997;6579
92;Listed monuments total;Noord-Nederland (LD);1998;6860
93;Listed monuments total;Noord-Nederland (LD);1999;7263
94;Listed monuments total;Noord-Nederland (LD);2000;7490
95;Listed monuments total;Noord-Nederland (LD);2001;8162
96;Listed monuments total;Noord-Nederland (LD);2002;8240
97;Listed monuments total;Noord-Nederland (LD);2003;8366
98;Listed monuments total;Noord-Nederland (LD);2004;8450
99;Listed monuments total;Noord-Nederland (LD);2005;8555
100;Listed monuments total;Noord-Nederland (LD);2006;8579
101;Listed monuments total;Noord-Nederland (LD);2007;8589
102;Listed monuments total;Noord-Nederland (LD);2008;8588
103;Listed monuments total;Noord-Nederland (LD);2009;8586
104;Listed monuments total;Noord-Nederland (LD);2010;8592
105;Listed monuments total;Noord-Nederland (LD);2011;8598
106;Listed monuments total;Noord-Nederland (LD);2012;8595
107;Listed monuments total;Noord-Nederland (LD);2013;8509
108;Listed monuments total;Noord-Nederland (LD);2014;8503
109;Listed monuments total;Noord-Nederland (LD);2015;8494
110;Listed monuments total;Noord-Nederland (LD);2016;8492
111;Listed monuments total;Noord-Nederland (LD);2017;8487
112;Listed monuments total;Noord-Nederland (LD);2018;8481
113;Listed monuments total;Noord-Nederland (LD);2019;8474
114;Listed monuments total;Noord-Nederland (LD);2020;8464
115;Listed monuments total;Noord-Nederland (LD);2021;8460
116;Listed monuments total;Noord-Nederland (LD);2022;8455
117;Listed monuments total;Noord-Nederland (LD);2023;8447
118;Listed monuments total;Oost-Nederland (LD);1965;448
119;Listed monuments total;Oost-Nederland (LD);1966;1354
120;Listed monuments total;Oost-Nederland (LD);1967;1921
121;Listed monuments total;Oost-Nederland (LD);1968;2488
122;Listed monuments total;Oost-Nederland (LD);1969;2539
123;Listed monuments total;Oost-Nederland (LD);1970;2882
124;Listed monuments total;Oost-Nederland (LD);1971;4167
125;Listed monuments total;Oost-Nederland (LD);1972;4770
126;Listed monuments total;Oost-Nederland (LD);1973;5379
127;Listed monuments total;Oost-Nederland (LD);1974;5477
128;Listed monuments total;Oost-Nederland (LD);1975;5613
129;Listed monuments total;Oost-Nederland (LD);1976;5759
130;Listed monuments total;Oost-Nederland (LD);1977;5869
131;Listed monuments total;Oost-Nederland (LD);1978;6016
132;Listed monuments total;Oost-Nederland (LD);1979;6053
133;Listed monuments total;Oost-Nederland (LD);1980;6145
134;Listed monuments total;Oost-Nederland (LD);1981;6194
135;Listed monuments total;Oost-Nederland (LD);1982;6232
136;Listed monuments total;Oost-Nederland (LD);1983;6255
137;Listed monuments total;Oost-Nederland (LD);1984;6274
138;Listed monuments total;Oost-Nederland (LD);1985;6306
139;Listed monuments total;Oost-Nederland (LD);1986;6346
140;Listed monuments total;Oost-Nederland (LD);1987;6372
141;Listed monuments total;Oost-Nederland (LD);1988;6393
142;Listed monuments total;Oost-Nederland (LD);1989;6389
143;Listed monuments total;Oost-Nederland (LD);1990;6389
144;Listed monuments total;Oost-Nederland (LD);1991;6429
145;Listed monuments total;Oost-Nederland (LD);1992;6471
146;Listed monuments total;Oost-Nederland (LD);1993;6519
147;Listed monuments total;Oost-Nederland (LD);1994;6606
148;Listed monuments total;Oost-Nederland (LD);1995;6623
149;Listed monuments total;Oost-Nederland (LD);1996;6626
150;Listed monuments total;Oost-Nederland (LD);1997;6814
151;Listed monuments total;Oost-Nederland (LD);1998;6950
152;Listed monuments total;Oost-Nederland (LD);1999;7438
153;Listed monuments total;Oost-Nederland (LD);2000;7931
154;Listed monuments total;Oost-Nederland (LD);2001;8338
155;Listed monuments total;Oost-Nederland (LD);2002;9117
156;Listed monuments total;Oost-Nederland (LD);2003;9201
157;Listed monuments total;Oost-Nederland (LD);2004;9471
158;Listed monuments total;Oost-Nederland (LD);2005;9932
159;Listed monuments total;Oost-Nederland (LD);2006;10284
160;Listed monuments total;Oost-Nederland (LD);2007;10416
161;Listed monuments total;Oost-Nederland (LD);2008;10468
162;Listed monuments total;Oost-Nederland (LD);2009;10480
163;Listed monuments total;Oost-Nederland (LD);2010;10624
164;Listed monuments total;Oost-Nederland (LD);2011;10663
165;Listed monuments total;Oost-Nederland (LD);2012;10792
166;Listed monuments total;Oost-Nederland (LD);2013;10521
167;Listed monuments total;Oost-Nederland (LD);2014;10574
168;Listed monuments total;Oost-Nederland (LD);2015;10619
169;Listed monuments total;Oost-Nederland (LD);2016;10622
170;Listed monuments total;Oost-Nederland (LD);2017;10627
171;Listed monuments total;Oost-Nederland (LD);2018;10618
172;Listed monuments total;Oost-Nederland (LD);2019;10607
173;Listed monuments total;Oost-Nederland (LD);2020;10601
174;Listed monuments total;Oost-Nederland (LD);2021;10601
175;Listed monuments total;Oost-Nederland (LD);2022;10593
176;Listed monuments total;Oost-Nederland (LD);2023;10579
177;Listed monuments total;West-Nederland (LD);1965;487
178;Listed monuments total;West-Nederland (LD);1966;3192
179;Listed monuments total;West-Nederland (LD);1967;6018
180;Listed monuments total;West-Nederland (LD);1968;7689
181;Listed monuments total;West-Nederland (LD);1969;9332
182;Listed monuments total;West-Nederland (LD);1970;16101
183;Listed monuments total;West-Nederland (LD);1971;16741
184;Listed monuments total;West-Nederland (LD);1972;17404
185;Listed monuments total;West-Nederland (LD);1973;18761
186;Listed monuments total;West-Nederland (LD);1974;19291
187;Listed monuments total;West-Nederland (LD);1975;19656
188;Listed monuments total;West-Nederland (LD);1976;20173
189;Listed monuments total;West-Nederland (LD);1977;20375
190;Listed monuments total;West-Nederland (LD);1978;20561
191;Listed monuments total;West-Nederland (LD);1979;20651
192;Listed monuments total;West-Nederland (LD);1980;20761
193;Listed monuments total;West-Nederland (LD);1981;20838
194;Listed monuments total;West-Nederland (LD);1982;20911
195;Listed monuments total;West-Nederland (LD);1983;20962
196;Listed monuments total;West-Nederland (LD);1984;21029
197;Listed monuments total;West-Nederland (LD);1985;21183
198;Listed monuments total;West-Nederland (LD);1986;21238
199;Listed monuments total;West-Nederland (LD);1987;21281
200;Listed monuments total;West-Nederland (LD);1988;21350
201;Listed monuments total;West-Nederland (LD);1989;21380
202;Listed monuments total;West-Nederland (LD);1990;21477
203;Listed monuments total;West-Nederland (LD);1991;21601
204;Listed monuments total;West-Nederland (LD);1992;21848
205;Listed monuments total;West-Nederland (LD);1993;22166
206;Listed monuments total;West-Nederland (LD);1994;22357
207;Listed monuments total;West-Nederland (LD);1995;22404
208;Listed monuments total;West-Nederland (LD);1996;22664
209;Listed monuments total;West-Nederland (LD);1997;22884
210;Listed monuments total;West-Nederland (LD);1998;23505
211;Listed monuments total;West-Nederland (LD);1999;24258
212;Listed monuments total;West-Nederland (LD);2000;24891
213;Listed monuments total;West-Nederland (LD);2001;26296
214;Listed monuments total;West-Nederland (LD);2002;27494
215;Listed monuments total;West-Nederland (LD);2003;27781
216;Listed monuments total;West-Nederland (LD);2004;28171
217;Listed monuments total;West-Nederland (LD);2005;28372
218;Listed monuments total;West-Nederland (LD);2006;28623
219;Listed monuments total;West-Nederland (LD);2007;28722
220;Listed monuments total;West-Nederland (LD);2008;28814
221;Listed monuments total;West-Nederland (LD);2009;28876
222;Listed monuments total;West-Nederland (LD);2010;29003
223;Listed monuments total;West-Nederland (LD);2011;29164
224;Listed monuments total;West-Nederland (LD);2012;29301
225;Listed monuments total;West-Nederland (LD);2013;29007
226;Listed monuments total;West-Nederland (LD);2014;29016
227;Listed monuments total;West-Nederland (LD);2015;29034
228;Listed monuments total;West-Nederland (LD);2016;29155
229;Listed monuments total;West-Nederland (LD);2017;29174
230;Listed monuments total;West-Nederland (LD);2018;29136
231;Listed monuments total;West-Nederland (LD);2019;29118
232;Listed monuments total;West-Nederland (LD);2020;29091
233;Listed monuments total;West-Nederland (LD);2021;29100
234;Listed monuments total;West-Nederland (LD);2022;29090
235;Listed monuments total;West-Nederland (LD);2023;29074
236;Listed monuments total;Zuid-Nederland (LD);1965;492
237;Listed monuments total;Zuid-Nederland (LD);1966;4193
238;Listed monuments total;Zuid-Nederland (LD);1967;6517
239;Listed monuments total;Zuid-Nederland (LD);1968;6909
240;Listed monuments total;Zuid-Nederland (LD);1969;7018
241;Listed monuments total;Zuid-Nederland (LD);1970;7320
242;Listed monuments total;Zuid-Nederland (LD);1971;7720
243;Listed monuments total;Zuid-Nederland (LD);1972;7935
244;Listed monuments total;Zuid-Nederland (LD);1973;8424
245;Listed monuments total;Zuid-Nederland (LD);1974;8755
246;Listed monuments total;Zuid-Nederland (LD);1975;8892
247;Listed monuments total;Zuid-Nederland (LD);1976;9104
248;Listed monuments total;Zuid-Nederland (LD);1977;9170
249;Listed monuments total;Zuid-Nederland (LD);1978;9248
250;Listed monuments total;Zuid-Nederland (LD);1979;9385
251;Listed monuments total;Zuid-Nederland (LD);1980;9528
252;Listed monuments total;Zuid-Nederland (LD);1981;9564
253;Listed monuments total;Zuid-Nederland (LD);1982;9607
254;Listed monuments total;Zuid-Nederland (LD);1983;9663
255;Listed monuments total;Zuid-Nederland (LD);1984;9939
256;Listed monuments total;Zuid-Nederland (LD);1985;9976
257;Listed monuments total;Zuid-Nederland (LD);1986;10030
258;Listed monuments total;Zuid-Nederland (LD);1987;10045
259;Listed monuments total;Zuid-Nederland (LD);1988;10076
260;Listed monuments total;Zuid-Nederland (LD);1989;10092
261;Listed monuments total;Zuid-Nederland (LD);1990;10095
262;Listed monuments total;Zuid-Nederland (LD);1991;10110
263;Listed monuments total;Zuid-Nederland (LD);1992;10152
264;Listed monuments total;Zuid-Nederland (LD);1993;10206
265;Listed monuments total;Zuid-Nederland (LD);1994;10233
266;Listed monuments total;Zuid-Nederland (LD);1995;10281
267;Listed monuments total;Zuid-Nederland (LD);1996;10381
268;Listed monuments total;Zuid-Nederland (LD);1997;10907
269;Listed monuments total;Zuid-Nederland (LD);1998;11103
270;Listed monuments total;Zuid-Nederland (LD);1999;11262
271;Listed monuments total;Zuid-Nederland (LD);2000;11712
272;Listed monuments total;Zuid-Nederland (LD);2001;12636
273;Listed monuments total;Zuid-Nederland (LD);2002;14488
274;Listed monuments total;Zuid-Nederland (LD);2003;14700
275;Listed monuments total;Zuid-Nederland (LD);2004;14984
276;Listed monuments total;Zuid-Nederland (LD);2005;15034
277;Listed monuments total;Zuid-Nederland (LD);2006;15187
278;Listed monuments total;Zuid-Nederland (LD);2007;15233
279;Listed monuments total;Zuid-Nederland (LD);2008;15230
280;Listed monuments total;Zuid-Nederland (LD);2009;15241
281;Listed monuments total;Zuid-Nederland (LD);2010;15260
282;Listed monuments total;Zuid-Nederland (LD);2011;15285
283;Listed monuments total;Zuid-Nederland (LD);2012;15283
284;Listed monuments total;Zuid-Nederland (LD);2013;15124
285;Listed monuments total;Zuid-Nederland (LD);2014;15108
286;Listed monuments total;Zuid-Nederland (LD);2015;15136
287;Listed monuments total;Zuid-Nederland (LD);2016;15136
288;Listed monuments total;Zuid-Nederland (LD);2017;15135
289;Listed monuments total;Zuid-Nederland (LD);2018;15130
290;Listed monuments total;Zuid-Nederland (LD);2019;15122
291;Listed monuments total;Zuid-Nederland (LD);2020;15116
292;Listed monuments total;Zuid-Nederland (LD);2021;15114
293;Listed monuments total;Zuid-Nederland (LD);2022;15102
294;Listed monuments total;Zuid-Nederland (LD);2023;15094
295;Listed monuments total;Groningen (PV);1965;0
296;Listed monuments total;Groningen (PV);1966;0
297;Listed monuments total;Groningen (PV);1967;0
298;Listed monuments total;Groningen (PV);1968;84
299;Listed monuments total;Groningen (PV);1969;84
300;Listed monuments total;Groningen (PV);1970;106
301;Listed monuments total;Groningen (PV);1971;499
302;Listed monuments total;Groningen (PV);1972;642
303;Listed monuments total;Groningen (PV);1973;1051
304;Listed monuments total;Groningen (PV);1974;1059
305;Listed monuments total;Groningen (PV);1975;1151
306;Listed monuments total;Groningen (PV);1976;1266
307;Listed monuments total;Groningen (PV);1977;1299
308;Listed monuments total;Groningen (PV);1978;1349
309;Listed monuments total;Groningen (PV);1979;1360
310;Listed monuments total;Groningen (PV);1980;1384
311;Listed monuments total;Groningen (PV);1981;1411
312;Listed monuments total;Groningen (PV);1982;1431
313;Listed monuments total;Groningen (PV);1983;1442
314;Listed monuments total;Groningen (PV);1984;1456
315;Listed monuments total;Groningen (PV);1985;1464
316;Listed monuments total;Groningen (PV);1986;1473
317;Listed monuments total;Groningen (PV);1987;1478
318;Listed monuments total;Groningen (PV);1988;1482
319;Listed monuments total;Groningen (PV);1989;1503
320;Listed monuments total;Groningen (PV);1990;1502
321;Listed monuments total;Groningen (PV);1991;1506
322;Listed monuments total;Groningen (PV);1992;1508
323;Listed monuments total;Groningen (PV);1993;1512
324;Listed monuments total;Groningen (PV);1994;1513
325;Listed monuments total;Groningen (PV);1995;1800
326;Listed monuments total;Groningen (PV);1996;1801
327;Listed monuments total;Groningen (PV);1997;1809
328;Listed monuments total;Groningen (PV);1998;1913
329;Listed monuments total;Groningen (PV);1999;2098
330;Listed monuments total;Groningen (PV);2000;2195
331;Listed monuments total;Groningen (PV);2001;2618
332;Listed monuments total;Groningen (PV);2002;2647
333;Listed monuments total;Groningen (PV);2003;2689
334;Listed monuments total;Groningen (PV);2004;2720
335;Listed monuments total;Groningen (PV);2005;2775
336;Listed monuments total;Groningen (PV);2006;2783
337;Listed monuments total;Groningen (PV);2007;2784
338;Listed monuments total;Groningen (PV);2008;2784
339;Listed monuments total;Groningen (PV);2009;2784
340;Listed monuments total;Groningen (PV);2010;2791
341;Listed monuments total;Groningen (PV);2011;2799
342;Listed monuments total;Groningen (PV);2012;2799
343;Listed monuments total;Groningen (PV);2013;2770
344;Listed monuments total;Groningen (PV);2014;2769
345;Listed monuments total;Groningen (PV);2015;2770
346;Listed monuments total;Groningen (PV);2016;2771
347;Listed monuments total;Groningen (PV);2017;2770
348;Listed monuments total;Groningen (PV);2018;2770
349;Listed monuments total;Groningen (PV);2019;2767
350;Listed monuments total;Groningen (PV);2020;2764
351;Listed monuments total;Groningen (PV);2021;2764
352;Listed monuments total;Groningen (PV);2022;2764
353;Listed monuments total;Groningen (PV);2023;2762
354;Listed monuments total;Fryslân (PV);1965;85
355;Listed monuments total;Fryslân (PV);1966;594
356;Listed monuments total;Fryslân (PV);1967;1354
357;Listed monuments total;Fryslân (PV);1968;1976
358;Listed monuments total;Fryslân (PV);1969;1978
359;Listed monuments total;Fryslân (PV);1970;2259
360;Listed monuments total;Fryslân (PV);1971;2729
361;Listed monuments total;Fryslân (PV);1972;2807
362;Listed monuments total;Fryslân (PV);1973;2879
363;Listed monuments total;Fryslân (PV);1974;2931
364;Listed monuments total;Fryslân (PV);1975;3125
365;Listed monuments total;Fryslân (PV);1976;3182
366;Listed monuments total;Fryslân (PV);1977;3205
367;Listed monuments total;Fryslân (PV);1978;3225
368;Listed monuments total;Fryslân (PV);1979;3270
369;Listed monuments total;Fryslân (PV);1980;3281
370;Listed monuments total;Fryslân (PV);1981;3283
371;Listed monuments total;Fryslân (PV);1982;3292
372;Listed monuments total;Fryslân (PV);1983;3342
373;Listed monuments total;Fryslân (PV);1984;3352
374;Listed monuments total;Fryslân (PV);1985;3360
375;Listed monuments total;Fryslân (PV);1986;3369
376;Listed monuments total;Fryslân (PV);1987;3374
377;Listed monuments total;Fryslân (PV);1988;3389
378;Listed monuments total;Fryslân (PV);1989;3393
379;Listed monuments total;Fryslân (PV);1990;3398
380;Listed monuments total;Fryslân (PV);1991;3439
381;Listed monuments total;Fryslân (PV);1992;3447
382;Listed monuments total;Fryslân (PV);1993;3455
383;Listed monuments total;Fryslân (PV);1994;3490
384;Listed monuments total;Fryslân (PV);1995;3487
385;Listed monuments total;Fryslân (PV);1996;3540
386;Listed monuments total;Fryslân (PV);1997;3612
387;Listed monuments total;Fryslân (PV);1998;3670
388;Listed monuments total;Fryslân (PV);1999;3884
389;Listed monuments total;Fryslân (PV);2000;4010
390;Listed monuments total;Fryslân (PV);2001;4239
391;Listed monuments total;Fryslân (PV);2002;4285
392;Listed monuments total;Fryslân (PV);2003;4348
393;Listed monuments total;Fryslân (PV);2004;4365
394;Listed monuments total;Fryslân (PV);2005;4401
395;Listed monuments total;Fryslân (PV);2006;4417
396;Listed monuments total;Fryslân (PV);2007;4419
397;Listed monuments total;Fryslân (PV);2008;4418
398;Listed monuments total;Fryslân (PV);2009;4418
399;Listed monuments total;Fryslân (PV);2010;4417
400;Listed monuments total;Fryslân (PV);2011;4415
401;Listed monuments total;Fryslân (PV);2012;4414
402;Listed monuments total;Fryslân (PV);2013;4365
403;Listed monuments total;Fryslân (PV);2014;4353
404;Listed monuments total;Fryslân (PV);2015;4352
405;Listed monuments total;Fryslân (PV);2016;4349
406;Listed monuments total;Fryslân (PV);2017;4344
407;Listed monuments total;Fryslân (PV);2018;4339
408;Listed monuments total;Fryslân (PV);2019;4336
409;Listed monuments total;Fryslân (PV);2020;4332
410;Listed monuments total;Fryslân (PV);2021;4328
411;Listed monuments total;Fryslân (PV);2022;4324
412;Listed monuments total;Fryslân (PV);2023;4318
413;Listed monuments total;Drenthe (PV);1965;324
414;Listed monuments total;Drenthe (PV);1966;330
415;Listed monuments total;Drenthe (PV);1967;332
416;Listed monuments total;Drenthe (PV);1968;346
417;Listed monuments total;Drenthe (PV);1969;352
418;Listed monuments total;Drenthe (PV);1970;357
419;Listed monuments total;Drenthe (PV);1971;371
420;Listed monuments total;Drenthe (PV);1972;374
421;Listed monuments total;Drenthe (PV);1973;387
422;Listed monuments total;Drenthe (PV);1974;388
423;Listed monuments total;Drenthe (PV);1975;407
424;Listed monuments total;Drenthe (PV);1976;408
425;Listed monuments total;Drenthe (PV);1977;414
426;Listed monuments total;Drenthe (PV);1978;441
427;Listed monuments total;Drenthe (PV);1979;461
428;Listed monuments total;Drenthe (PV);1980;470
429;Listed monuments total;Drenthe (PV);1981;477
430;Listed monuments total;Drenthe (PV);1982;509
431;Listed monuments total;Drenthe (PV);1983;534
432;Listed monuments total;Drenthe (PV);1984;545
433;Listed monuments total;Drenthe (PV);1985;604
434;Listed monuments total;Drenthe (PV);1986;614
435;Listed monuments total;Drenthe (PV);1987;617
436;Listed monuments total;Drenthe (PV);1988;621
437;Listed monuments total;Drenthe (PV);1989;623
438;Listed monuments total;Drenthe (PV);1990;639
439;Listed monuments total;Drenthe (PV);1991;651
440;Listed monuments total;Drenthe (PV);1992;662
441;Listed monuments total;Drenthe (PV);1993;673
442;Listed monuments total;Drenthe (PV);1994;976
443;Listed monuments total;Drenthe (PV);1995;1050
444;Listed monuments total;Drenthe (PV);1996;1053
445;Listed monuments total;Drenthe (PV);1997;1158
446;Listed monuments total;Drenthe (PV);1998;1277
447;Listed monuments total;Drenthe (PV);1999;1281
448;Listed monuments total;Drenthe (PV);2000;1285
449;Listed monuments total;Drenthe (PV);2001;1305
450;Listed monuments total;Drenthe (PV);2002;1308
451;Listed monuments total;Drenthe (PV);2003;1329
452;Listed monuments total;Drenthe (PV);2004;1365
453;Listed monuments total;Drenthe (PV);2005;1379
454;Listed monuments total;Drenthe (PV);2006;1379
455;Listed monuments total;Drenthe (PV);2007;1386
456;Listed monuments total;Drenthe (PV);2008;1386
457;Listed monuments total;Drenthe (PV);2009;1384
458;Listed monuments total;Drenthe (PV);2010;1384
459;Listed monuments total;Drenthe (PV);2011;1384
460;Listed monuments total;Drenthe (PV);2012;1382
461;Listed monuments total;Drenthe (PV);2013;1374
462;Listed monuments total;Drenthe (PV);2014;1381
463;Listed monuments total;Drenthe (PV);2015;1372
464;Listed monuments total;Drenthe (PV);2016;1372
465;Listed monuments total;Drenthe (PV);2017;1373
466;Listed monuments total;Drenthe (PV);2018;1372
467;Listed monuments total;Drenthe (PV);2019;1371
468;Listed monuments total;Drenthe (PV);2020;1368
469;Listed monuments total;Drenthe (PV);2021;1368
470;Listed monuments total;Drenthe (PV);2022;1367
471;Listed monuments total;Drenthe (PV);2023;1367
472;Listed monuments total;Overijssel (PV);1965;117
473;Listed monuments total;Overijssel (PV);1966;275
474;Listed monuments total;Overijssel (PV);1967;599
475;Listed monuments total;Overijssel (PV);1968;1049
476;Listed monuments total;Overijssel (PV);1969;1059
477;Listed monuments total;Overijssel (PV);1970;1065
478;Listed monuments total;Overijssel (PV);1971;1357
479;Listed monuments total;Overijssel (PV);1972;1931
480;Listed monuments total;Overijssel (PV);1973;2360
481;Listed monuments total;Overijssel (PV);1974;2365
482;Listed monuments total;Overijssel (PV);1975;2438
483;Listed monuments total;Overijssel (PV);1976;2474
484;Listed monuments total;Overijssel (PV);1977;2522
485;Listed monuments total;Overijssel (PV);1978;2605
486;Listed monuments total;Overijssel (PV);1979;2623
487;Listed monuments total;Overijssel (PV);1980;2666
488;Listed monuments total;Overijssel (PV);1981;2681
489;Listed monuments total;Overijssel (PV);1982;2701
490;Listed monuments total;Overijssel (PV);1983;2707
491;Listed monuments total;Overijssel (PV);1984;2710
492;Listed monuments total;Overijssel (PV);1985;2731
493;Listed monuments total;Overijssel (PV);1986;2754
494;Listed monuments total;Overijssel (PV);1987;2762
495;Listed monuments total;Overijssel (PV);1988;2769
496;Listed monuments total;Overijssel (PV);1989;2768
497;Listed monuments total;Overijssel (PV);1990;2765
498;Listed monuments total;Overijssel (PV);1991;2799
499;Listed monuments total;Overijssel (PV);1992;2822
500;Listed monuments total;Overijssel (PV);1993;2824
501;Listed monuments total;Overijssel (PV);1994;2883
502;Listed monuments total;Overijssel (PV);1995;2900
503;Listed monuments total;Overijssel (PV);1996;2902
504;Listed monuments total;Overijssel (PV);1997;3083
505;Listed monuments total;Overijssel (PV);1998;3203
506;Listed monuments total;Overijssel (PV);1999;3580
507;Listed monuments total;Overijssel (PV);2000;3626
508;Listed monuments total;Overijssel (PV);2001;3653
509;Listed monuments total;Overijssel (PV);2002;3773
510;Listed monuments total;Overijssel (PV);2003;3781
511;Listed monuments total;Overijssel (PV);2004;3834
512;Listed monuments total;Overijssel (PV);2005;3981
513;Listed monuments total;Overijssel (PV);2006;4080
514;Listed monuments total;Overijssel (PV);2007;4121
515;Listed monuments total;Overijssel (PV);2008;4146
516;Listed monuments total;Overijssel (PV);2009;4153
517;Listed monuments total;Overijssel (PV);2010;4161
518;Listed monuments total;Overijssel (PV);2011;4161
519;Listed monuments total;Overijssel (PV);2012;4162
520;Listed monuments total;Overijssel (PV);2013;4061
521;Listed monuments total;Overijssel (PV);2014;4059
522;Listed monuments total;Overijssel (PV);2015;4060
523;Listed monuments total;Overijssel (PV);2016;4059
524;Listed monuments total;Overijssel (PV);2017;4055
525;Listed monuments total;Overijssel (PV);2018;4048
526;Listed monuments total;Overijssel (PV);2019;4045
527;Listed monuments total;Overijssel (PV);2020;4044
528;Listed monuments total;Overijssel (PV);2021;4044
529;Listed monuments total;Overijssel (PV);2022;4040
530;Listed monuments total;Overijssel (PV);2023;4032
531;Listed monuments total;Flevoland (PV);1965;2
532;Listed monuments total;Flevoland (PV);1966;2
533;Listed monuments total;Flevoland (PV);1967;2
534;Listed monuments total;Flevoland (PV);1968;2
535;Listed monuments total;Flevoland (PV);1969;3
536;Listed monuments total;Flevoland (PV);1970;3
537;Listed monuments total;Flevoland (PV);1971;3
538;Listed monuments total;Flevoland (PV);1972;3
539;Listed monuments total;Flevoland (PV);1973;27
