ID;Geslacht;Landen;MeerOfMinderjarig;Perioden;BeslissingenOntvangenDublinVerzoeken_1;BeslissingenVerzondenDublinVerzoeken_2;TotaalEersteBeslissingen_3;TotaalHeroverwegingsBeslissingen_4;PositieveEersteBeslissingen_5;NegatieveEersteBeslissingen_6;PositieveHeroverwegingsbeslissingen_7;NegatieveHeroverwegingsbeslissingen_8;TotaalEersteBeslissingen_9;TotaalHeroverwegingsbeslissingen_10;PositieveEersteBeslissingen_11;NegatieveEersteBeslissingen_12;PositieveHeroverwegingsbeslissingen_13;NegatieveHeroverwegingsbeslissingen_14
138;Totaal mannen en vrouwen;Cyprus;Meerderjarig;2022;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;10.0;0.0;0.0;0.0
139;Totaal mannen en vrouwen;Cyprus;Meerderjarig;2023;20.0;25.0;15.0;5.0;5.0;15.0;0.0;5.0;20.0;0.0;5.0;15.0;0.0;0.0
140;Totaal mannen en vrouwen;Cyprus;Minderjarig met ouder of voogd;2014;;;;;;;;;;;;;;
141;Totaal mannen en vrouwen;Cyprus;Minderjarig met ouder of voogd;2015;;;;;;;;;;;;;;
142;Totaal mannen en vrouwen;Cyprus;Minderjarig met ouder of voogd;2016;;;;;;;;;;;;;;
143;Totaal mannen en vrouwen;Cyprus;Minderjarig met ouder of voogd;2017;;;;;;;;;;;;;;
144;Totaal mannen en vrouwen;Cyprus;Minderjarig met ouder of voogd;2018;;;;;;;;;;;;;;
145;Totaal mannen en vrouwen;Cyprus;Minderjarig met ouder of voogd;2019;;;;;;;;;;;;;;
146;Totaal mannen en vrouwen;Cyprus;Minderjarig met ouder of voogd;2020;;;;;;;;;;;;;;
147;Totaal mannen en vrouwen;Cyprus;Minderjarig met ouder of voogd;2021;5.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
148;Totaal mannen en vrouwen;Cyprus;Minderjarig met ouder of voogd;2022;20.0;0.0;15.0;5.0;0.0;15.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
149;Totaal mannen en vrouwen;Cyprus;Minderjarig met ouder of voogd;2023;35.0;5.0;20.0;15.0;0.0;20.0;5.0;10.0;5.0;0.0;5.0;0.0;0.0;0.0
150;Totaal mannen en vrouwen;Cyprus;Minderjarig zonder ouder of voogd;2014;;;;;;;;;;;;;;
151;Totaal mannen en vrouwen;Cyprus;Minderjarig zonder ouder of voogd;2015;;;;;;;;;;;;;;
152;Totaal mannen en vrouwen;Cyprus;Minderjarig zonder ouder of voogd;2016;;;;;;;;;;;;;;
153;Totaal mannen en vrouwen;Cyprus;Minderjarig zonder ouder of voogd;2017;;;;;;;;;;;;;;
154;Totaal mannen en vrouwen;Cyprus;Minderjarig zonder ouder of voogd;2018;;;;;;;;;;;;;;
155;Totaal mannen en vrouwen;Cyprus;Minderjarig zonder ouder of voogd;2019;;;;;;;;;;;;;;
156;Totaal mannen en vrouwen;Cyprus;Minderjarig zonder ouder of voogd;2020;;;;;;;;;;;;;;
157;Totaal mannen en vrouwen;Cyprus;Minderjarig zonder ouder of voogd;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
158;Totaal mannen en vrouwen;Cyprus;Minderjarig zonder ouder of voogd;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
159;Totaal mannen en vrouwen;Cyprus;Minderjarig zonder ouder of voogd;2023;15.0;0.0;5.0;10.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
160;Totaal mannen en vrouwen;Denemarken;Totaal;2014;30.0;30.0;30.0;0.0;10.0;20.0;0.0;0.0;25.0;5.0;15.0;10.0;5.0;5.0
161;Totaal mannen en vrouwen;Denemarken;Totaal;2015;55.0;35.0;40.0;15.0;15.0;25.0;5.0;10.0;35.0;0.0;20.0;15.0;0.0;0.0
162;Totaal mannen en vrouwen;Denemarken;Totaal;2016;95.0;95.0;85.0;5.0;45.0;45.0;5.0;0.0;85.0;10.0;50.0;35.0;5.0;5.0
163;Totaal mannen en vrouwen;Denemarken;Totaal;2017;75.0;85.0;70.0;5.0;30.0;40.0;5.0;5.0;75.0;10.0;50.0;25.0;5.0;10.0
164;Totaal mannen en vrouwen;Denemarken;Totaal;2018;85.0;90.0;70.0;15.0;30.0;35.0;15.0;0.0;85.0;10.0;50.0;35.0;0.0;5.0
165;Totaal mannen en vrouwen;Denemarken;Totaal;2019;30.0;100.0;30.0;0.0;30.0;0.0;0.0;0.0;95.0;5.0;65.0;30.0;5.0;0.0
166;Totaal mannen en vrouwen;Denemarken;Totaal;2020;40.0;65.0;35.0;0.0;20.0;15.0;0.0;0.0;60.0;5.0;30.0;25.0;5.0;0.0
167;Totaal mannen en vrouwen;Denemarken;Totaal;2021;35.0;165.0;35.0;0.0;20.0;15.0;0.0;0.0;155.0;10.0;120.0;35.0;10.0;5.0
168;Totaal mannen en vrouwen;Denemarken;Totaal;2022;60.0;130.0;55.0;5.0;35.0;20.0;0.0;5.0;125.0;5.0;95.0;30.0;0.0;5.0
169;Totaal mannen en vrouwen;Denemarken;Totaal;2023;55.0;105.0;50.0;0.0;35.0;15.0;0.0;0.0;105.0;5.0;65.0;35.0;0.0;0.0
170;Totaal mannen en vrouwen;Denemarken;Meerderjarig;2014;;;;;;;;;;;;;;
171;Totaal mannen en vrouwen;Denemarken;Meerderjarig;2015;;;;;;;;;;;;;;
172;Totaal mannen en vrouwen;Denemarken;Meerderjarig;2016;;;;;;;;;;;;;;
173;Totaal mannen en vrouwen;Denemarken;Meerderjarig;2017;;;;;;;;;;;;;;
174;Totaal mannen en vrouwen;Denemarken;Meerderjarig;2018;;;;;;;;;;;;;;
175;Totaal mannen en vrouwen;Denemarken;Meerderjarig;2019;;;;;;;;;;;;;;
176;Totaal mannen en vrouwen;Denemarken;Meerderjarig;2020;;;;;;;;;;;;;;
177;Totaal mannen en vrouwen;Denemarken;Meerderjarig;2021;35.0;110.0;30.0;0.0;20.0;10.0;0.0;0.0;100.0;10.0;70.0;30.0;5.0;5.0
178;Totaal mannen en vrouwen;Denemarken;Meerderjarig;2022;60.0;90.0;55.0;5.0;35.0;20.0;0.0;5.0;90.0;0.0;60.0;25.0;0.0;0.0
179;Totaal mannen en vrouwen;Denemarken;Meerderjarig;2023;50.0;95.0;50.0;0.0;35.0;15.0;0.0;0.0;90.0;0.0;60.0;30.0;0.0;0.0
180;Totaal mannen en vrouwen;Denemarken;Minderjarig met ouder of voogd;2014;;;;;;;;;;;;;;
181;Totaal mannen en vrouwen;Denemarken;Minderjarig met ouder of voogd;2015;;;;;;;;;;;;;;
182;Totaal mannen en vrouwen;Denemarken;Minderjarig met ouder of voogd;2016;;;;;;;;;;;;;;
183;Totaal mannen en vrouwen;Denemarken;Minderjarig met ouder of voogd;2017;;;;;;;;;;;;;;
184;Totaal mannen en vrouwen;Denemarken;Minderjarig met ouder of voogd;2018;;;;;;;;;;;;;;
185;Totaal mannen en vrouwen;Denemarken;Minderjarig met ouder of voogd;2019;;;;;;;;;;;;;;
186;Totaal mannen en vrouwen;Denemarken;Minderjarig met ouder of voogd;2020;;;;;;;;;;;;;;
