ID;NECSectors;EmissionsToAir;Periods;EmissionToAir_1
58;Total stationary and mobile sources;Sulphur dioxide (SO2);2004;69.4
59;Total stationary and mobile sources;Sulphur dioxide (SO2);2005;67.8
60;Total stationary and mobile sources;Sulphur dioxide (SO2);2006;68.1
61;Total stationary and mobile sources;Sulphur dioxide (SO2);2007;64.2
62;Total stationary and mobile sources;Sulphur dioxide (SO2);2008;53.3
63;Total stationary and mobile sources;Sulphur dioxide (SO2);2009;39.6
64;Total stationary and mobile sources;Sulphur dioxide (SO2);2010;36.1
65;Total stationary and mobile sources;Sulphur dioxide (SO2);2011;35.0
66;Total stationary and mobile sources;Sulphur dioxide (SO2);2012;35.4
67;Total stationary and mobile sources;Sulphur dioxide (SO2);2013;31.1
68;Total stationary and mobile sources;Sulphur dioxide (SO2);2014;30.9
69;Total stationary and mobile sources;Sulphur dioxide (SO2);2015;31.0
70;Total stationary and mobile sources;Sulphur dioxide (SO2);2016;28.8
71;Total stationary and mobile sources;Sulphur dioxide (SO2);2017;27.2
72;Total stationary and mobile sources;Sulphur dioxide (SO2);2018;25.2
73;Total stationary and mobile sources;Sulphur dioxide (SO2);2019;22.9
74;Total stationary and mobile sources;Sulphur dioxide (SO2);2020;19.6
75;Total stationary and mobile sources;Sulphur dioxide (SO2);2021;20.9
76;Total stationary and mobile sources;Sulphur dioxide (SO2);2022;19.6
77;Total stationary and mobile sources;Sulphur dioxide (SO2);2023;17.5
78;Total stationary and mobile sources;NMVOC;1990;503.2
79;Total stationary and mobile sources;NMVOC;1995;367.0
80;Total stationary and mobile sources;NMVOC;2000;264.0
81;Total stationary and mobile sources;NMVOC;2001;238.2
82;Total stationary and mobile sources;NMVOC;2002;223.9
83;Total stationary and mobile sources;NMVOC;2003;210.0
84;Total stationary and mobile sources;NMVOC;2004;197.5
85;Total stationary and mobile sources;NMVOC;2005;202.2
86;Total stationary and mobile sources;NMVOC;2006;197.0
87;Total stationary and mobile sources;NMVOC;2007;196.3
88;Total stationary and mobile sources;NMVOC;2008;189.2
89;Total stationary and mobile sources;NMVOC;2009;178.8
90;Total stationary and mobile sources;NMVOC;2010;191.4
91;Total stationary and mobile sources;NMVOC;2011;186.0
92;Total stationary and mobile sources;NMVOC;2012;180.3
93;Total stationary and mobile sources;NMVOC;2013;177.5
94;Total stationary and mobile sources;NMVOC;2014;169.2
95;Total stationary and mobile sources;NMVOC;2015;166.4
96;Total stationary and mobile sources;NMVOC;2016;159.2
97;Total stationary and mobile sources;NMVOC;2017;161.6
98;Total stationary and mobile sources;NMVOC;2018;158.4
99;Total stationary and mobile sources;NMVOC;2019;156.6
100;Total stationary and mobile sources;NMVOC;2020;165.2
101;Total stationary and mobile sources;NMVOC;2021;152.6
102;Total stationary and mobile sources;NMVOC;2022;153.1
103;Total stationary and mobile sources;NMVOC;2023;152.8
104;Total stationary and mobile sources;PM2.5 (Particulate matter);1990;57.2
105;Total stationary and mobile sources;PM2.5 (Particulate matter);1995;45.2
106;Total stationary and mobile sources;PM2.5 (Particulate matter);2000;34.7
107;Total stationary and mobile sources;PM2.5 (Particulate matter);2001;33.4
108;Total stationary and mobile sources;PM2.5 (Particulate matter);2002;31.3
109;Total stationary and mobile sources;PM2.5 (Particulate matter);2003;30.6
110;Total stationary and mobile sources;PM2.5 (Particulate matter);2004;29.8
111;Total stationary and mobile sources;PM2.5 (Particulate matter);2005;28.4
112;Total stationary and mobile sources;PM2.5 (Particulate matter);2006;27.6
113;Total stationary and mobile sources;PM2.5 (Particulate matter);2007;25.7
114;Total stationary and mobile sources;PM2.5 (Particulate matter);2008;24.1
115;Total stationary and mobile sources;PM2.5 (Particulate matter);2009;21.8
116;Total stationary and mobile sources;PM2.5 (Particulate matter);2010;22.0
117;Total stationary and mobile sources;PM2.5 (Particulate matter);2011;20.2
118;Total stationary and mobile sources;PM2.5 (Particulate matter);2012;19.0
119;Total stationary and mobile sources;PM2.5 (Particulate matter);2013;18.9
120;Total stationary and mobile sources;PM2.5 (Particulate matter);2014;17.6
121;Total stationary and mobile sources;PM2.5 (Particulate matter);2015;17.6
122;Total stationary and mobile sources;PM2.5 (Particulate matter);2016;17.2
123;Total stationary and mobile sources;PM2.5 (Particulate matter);2017;16.7
124;Total stationary and mobile sources;PM2.5 (Particulate matter);2018;16.3
125;Total stationary and mobile sources;PM2.5 (Particulate matter);2019;15.5
126;Total stationary and mobile sources;PM2.5 (Particulate matter);2020;14.2
127;Total stationary and mobile sources;PM2.5 (Particulate matter);2021;14.4
128;Total stationary and mobile sources;PM2.5 (Particulate matter);2022;14.1
129;Total stationary and mobile sources;PM2.5 (Particulate matter);2023;13.8
130;"Stationary sources; total";Ammonia (NH3);1990;345.6
131;"Stationary sources; total";Ammonia (NH3);1995;217.4
132;"Stationary sources; total";Ammonia (NH3);2000;170.5
133;"Stationary sources; total";Ammonia (NH3);2001;163.8
134;"Stationary sources; total";Ammonia (NH3);2002;156.1
135;"Stationary sources; total";Ammonia (NH3);2003;152.9
136;"Stationary sources; total";Ammonia (NH3);2004;152.5
137;"Stationary sources; total";Ammonia (NH3);2005;150.2
138;"Stationary sources; total";Ammonia (NH3);2006;153.1
139;"Stationary sources; total";Ammonia (NH3);2007;149.6
140;"Stationary sources; total";Ammonia (NH3);2008;137.2
141;"Stationary sources; total";Ammonia (NH3);2009;133.3
142;"Stationary sources; total";Ammonia (NH3);2010;130.4
143;"Stationary sources; total";Ammonia (NH3);2011;127.8
144;"Stationary sources; total";Ammonia (NH3);2012;124.0
145;"Stationary sources; total";Ammonia (NH3);2013;120.8
146;"Stationary sources; total";Ammonia (NH3);2014;124.5
147;"Stationary sources; total";Ammonia (NH3);2015;125.8
148;"Stationary sources; total";Ammonia (NH3);2016;127.1
149;"Stationary sources; total";Ammonia (NH3);2017;129.4
150;"Stationary sources; total";Ammonia (NH3);2018;127.8
151;"Stationary sources; total";Ammonia (NH3);2019;121.4
152;"Stationary sources; total";Ammonia (NH3);2020;121.1
153;"Stationary sources; total";Ammonia (NH3);2021;119.4
154;"Stationary sources; total";Ammonia (NH3);2022;116.8
155;"Stationary sources; total";Ammonia (NH3);2023;112.5
156;"Stationary sources; total";Nitrogen oxides (NOx);1990;229.9
157;"Stationary sources; total";Nitrogen oxides (NOx);1995;188.7
158;"Stationary sources; total";Nitrogen oxides (NOx);2000;143.0
159;"Stationary sources; total";Nitrogen oxides (NOx);2001;142.0
160;"Stationary sources; total";Nitrogen oxides (NOx);2002;138.5
161;"Stationary sources; total";Nitrogen oxides (NOx);2003;139.1
162;"Stationary sources; total";Nitrogen oxides (NOx);2004;131.5
163;"Stationary sources; total";Nitrogen oxides (NOx);2005;128.2
164;"Stationary sources; total";Nitrogen oxides (NOx);2006;121.2
165;"Stationary sources; total";Nitrogen oxides (NOx);2007;111.2
166;"Stationary sources; total";Nitrogen oxides (NOx);2008;110.3
167;"Stationary sources; total";Nitrogen oxides (NOx);2009;99.0
168;"Stationary sources; total";Nitrogen oxides (NOx);2010;105.8
169;"Stationary sources; total";Nitrogen oxides (NOx);2011;94.3
170;"Stationary sources; total";Nitrogen oxides (NOx);2012;90.8
171;"Stationary sources; total";Nitrogen oxides (NOx);2013;88.0
172;"Stationary sources; total";Nitrogen oxides (NOx);2014;77.5
173;"Stationary sources; total";Nitrogen oxides (NOx);2015;78.4
174;"Stationary sources; total";Nitrogen oxides (NOx);2016;72.3
175;"Stationary sources; total";Nitrogen oxides (NOx);2017;68.1
176;"Stationary sources; total";Nitrogen oxides (NOx);2018;65.2
177;"Stationary sources; total";Nitrogen oxides (NOx);2019;61.8
178;"Stationary sources; total";Nitrogen oxides (NOx);2020;56.2
179;"Stationary sources; total";Nitrogen oxides (NOx);2021;57.1
180;"Stationary sources; total";Nitrogen oxides (NOx);2022;51.7
181;"Stationary sources; total";Nitrogen oxides (NOx);2023;46.1
182;"Stationary sources; total";Sulphur dioxide (SO2);1990;170.7
183;"Stationary sources; total";Sulphur dioxide (SO2);1995;109.7
184;"Stationary sources; total";Sulphur dioxide (SO2);2000;63.1
185;"Stationary sources; total";Sulphur dioxide (SO2);2001;67.1
186;"Stationary sources; total";Sulphur dioxide (SO2);2002;60.6
187;"Stationary sources; total";Sulphur dioxide (SO2);2003;56.4
188;"Stationary sources; total";Sulphur dioxide (SO2);2004;59.1
189;"Stationary sources; total";Sulphur dioxide (SO2);2005;57.9
190;"Stationary sources; total";Sulphur dioxide (SO2);2006;58.3
191;"Stationary sources; total";Sulphur dioxide (SO2);2007;55.3
192;"Stationary sources; total";Sulphur dioxide (SO2);2008;47.8
193;"Stationary sources; total";Sulphur dioxide (SO2);2009;35.4
194;"Stationary sources; total";Sulphur dioxide (SO2);2010;32.9
195;"Stationary sources; total";Sulphur dioxide (SO2);2011;33.3
196;"Stationary sources; total";Sulphur dioxide (SO2);2012;33.6
197;"Stationary sources; total";Sulphur dioxide (SO2);2013;29.3
198;"Stationary sources; total";Sulphur dioxide (SO2);2014;28.8
199;"Stationary sources; total";Sulphur dioxide (SO2);2015;30.0
200;"Stationary sources; total";Sulphur dioxide (SO2);2016;27.9
201;"Stationary sources; total";Sulphur dioxide (SO2);2017;26.3
202;"Stationary sources; total";Sulphur dioxide (SO2);2018;24.3
203;"Stationary sources; total";Sulphur dioxide (SO2);2019;22.0
204;"Stationary sources; total";Sulphur dioxide (SO2);2020;19.0
205;"Stationary sources; total";Sulphur dioxide (SO2);2021;20.2
206;"Stationary sources; total";Sulphur dioxide (SO2);2022;19.0
207;"Stationary sources; total";Sulphur dioxide (SO2);2023;16.8
208;"Stationary sources; total";NMVOC;1990;300.8
209;"Stationary sources; total";NMVOC;1995;226.7
210;"Stationary sources; total";NMVOC;2000;178.0
211;"Stationary sources; total";NMVOC;2001;158.6
212;"Stationary sources; total";NMVOC;2002;151.7
213;"Stationary sources; total";NMVOC;2003;143.5
214;"Stationary sources; total";NMVOC;2004;136.8
215;"Stationary sources; total";NMVOC;2005;146.6
216;"Stationary sources; total";NMVOC;2006;144.2
217;"Stationary sources; total";NMVOC;2007;147.0
218;"Stationary sources; total";NMVOC;2008;142.8
219;"Stationary sources; total";NMVOC;2009;136.5
220;"Stationary sources; total";NMVOC;2010;150.6
221;"Stationary sources; total";NMVOC;2011;145.0
222;"Stationary sources; total";NMVOC;2012;140.9
223;"Stationary sources; total";NMVOC;2013;139.1
224;"Stationary sources; total";NMVOC;2014;133.1
225;"Stationary sources; total";NMVOC;2015;131.1
226;"Stationary sources; total";NMVOC;2016;124.1
227;"Stationary sources; total";NMVOC;2017;126.4
228;"Stationary sources; total";NMVOC;2018;123.7
229;"Stationary sources; total";NMVOC;2019;122.8
230;"Stationary sources; total";NMVOC;2020;135.2
231;"Stationary sources; total";NMVOC;2021;123.1
232;"Stationary sources; total";NMVOC;2022;124.8
233;"Stationary sources; total";NMVOC;2023;124.1
234;"Stationary sources; total";PM2.5 (Particulate matter);1990;31.4
235;"Stationary sources; total";PM2.5 (Particulate matter);1995;24.3
236;"Stationary sources; total";PM2.5 (Particulate matter);2000;17.6
237;"Stationary sources; total";PM2.5 (Particulate matter);2001;17.1
238;"Stationary sources; total";PM2.5 (Particulate matter);2002;16.2
239;"Stationary sources; total";PM2.5 (Particulate matter);2003;16.3
240;"Stationary sources; total";PM2.5 (Particulate matter);2004;16.1
241;"Stationary sources; total";PM2.5 (Particulate matter);2005;15.5
242;"Stationary sources; total";PM2.5 (Particulate matter);2006;15.7
243;"Stationary sources; total";PM2.5 (Particulate matter);2007;14.8
244;"Stationary sources; total";PM2.5 (Particulate matter);2008;14.6
245;"Stationary sources; total";PM2.5 (Particulate matter);2009;13.9
246;"Stationary sources; total";PM2.5 (Particulate matter);2010;14.7
247;"Stationary sources; total";PM2.5 (Particulate matter);2011;13.4
248;"Stationary sources; total";PM2.5 (Particulate matter);2012;12.9
249;"Stationary sources; total";PM2.5 (Particulate matter);2013;13.2
250;"Stationary sources; total";PM2.5 (Particulate matter);2014;12.1
251;"Stationary sources; total";PM2.5 (Particulate matter);2015;12.6
252;"Stationary sources; total";PM2.5 (Particulate matter);2016;12.4
253;"Stationary sources; total";PM2.5 (Particulate matter);2017;12.1
254;"Stationary sources; total";PM2.5 (Particulate matter);2018;11.8
255;"Stationary sources; total";PM2.5 (Particulate matter);2019;11.4
256;"Stationary sources; total";PM2.5 (Particulate matter);2020;10.5
257;"Stationary sources; total";PM2.5 (Particulate matter);2021;10.8
258;"Stationary sources; total";PM2.5 (Particulate matter);2022;10.7
259;"Stationary sources; total";PM2.5 (Particulate matter);2023;10.5
260;Energy sector ;Ammonia (NH3);1990;0.0
261;Energy sector ;Ammonia (NH3);1995;0.0
262;Energy sector ;Ammonia (NH3);2000;0.0
263;Energy sector ;Ammonia (NH3);2001;0.0
264;Energy sector ;Ammonia (NH3);2002;0.0
265;Energy sector ;Ammonia (NH3);2003;0.1
266;Energy sector ;Ammonia (NH3);2004;0.1
267;Energy sector ;Ammonia (NH3);2005;0.2
268;Energy sector ;Ammonia (NH3);2006;0.0
269;Energy sector ;Ammonia (NH3);2007;0.0
270;Energy sector ;Ammonia (NH3);2008;0.1
271;Energy sector ;Ammonia (NH3);2009;0.0
272;Energy sector ;Ammonia (NH3);2010;0.0
273;Energy sector ;Ammonia (NH3);2011;0.0
274;Energy sector ;Ammonia (NH3);2012;0.0
275;Energy sector ;Ammonia (NH3);2013;0.0
276;Energy sector ;Ammonia (NH3);2014;0.0
277;Energy sector ;Ammonia (NH3);2015;0.0
278;Energy sector ;Ammonia (NH3);2016;0.0
279;Energy sector ;Ammonia (NH3);2017;0.0
280;Energy sector ;Ammonia (NH3);2018;0.0
281;Energy sector ;Ammonia (NH3);2019;0.1
282;Energy sector ;Ammonia (NH3);2020;0.1
283;Energy sector ;Ammonia (NH3);2021;0.0
284;Energy sector ;Ammonia (NH3);2022;0.0
285;Energy sector ;Ammonia (NH3);2023;0.0
286;Energy sector ;Nitrogen oxides (NOx);1990;103.9
287;Energy sector ;Nitrogen oxides (NOx);1995;83.2
288;Energy sector ;Nitrogen oxides (NOx);2000;64.9
289;Energy sector ;Nitrogen oxides (NOx);2001;62.7
290;Energy sector ;Nitrogen oxides (NOx);2002;62.9
291;Energy sector ;Nitrogen oxides (NOx);2003;63.8
292;Energy sector ;Nitrogen oxides (NOx);2004;56.6
293;Energy sector ;Nitrogen oxides (NOx);2005;55.2
294;Energy sector ;Nitrogen oxides (NOx);2006;52.0
295;Energy sector ;Nitrogen oxides (NOx);2007;43.4
296;Energy sector ;Nitrogen oxides (NOx);2008;38.1
297;Energy sector ;Nitrogen oxides (NOx);2009;32.3
298;Energy sector ;Nitrogen oxides (NOx);2010;32.6
299;Energy sector ;Nitrogen oxides (NOx);2011;29.1
300;Energy sector ;Nitrogen oxides (NOx);2012;28.3
301;Energy sector ;Nitrogen oxides (NOx);2013;29.5
302;Energy sector ;Nitrogen oxides (NOx);2014;26.8
303;Energy sector ;Nitrogen oxides (NOx);2015;27.6
304;Energy sector ;Nitrogen oxides (NOx);2016;23.4
305;Energy sector ;Nitrogen oxides (NOx);2017;21.5
306;Energy sector ;Nitrogen oxides (NOx);2018;20.7
307;Energy sector ;Nitrogen oxides (NOx);2019;19.4
308;Energy sector ;Nitrogen oxides (NOx);2020;17.0
309;Energy sector ;Nitrogen oxides (NOx);2021;17.1
310;Energy sector ;Nitrogen oxides (NOx);2022;16.3
311;Energy sector ;Nitrogen oxides (NOx);2023;13.6
312;Energy sector ;Sulphur dioxide (SO2);1990;112.7
313;Energy sector ;Sulphur dioxide (SO2);1995;78.3
314;Energy sector ;Sulphur dioxide (SO2);2000;48.2
315;Energy sector ;Sulphur dioxide (SO2);2001;50.6
316;Energy sector ;Sulphur dioxide (SO2);2002;44.4
317;Energy sector ;Sulphur dioxide (SO2);2003;43.7
318;Energy sector ;Sulphur dioxide (SO2);2004;43.1
319;Energy sector ;Sulphur dioxide (SO2);2005;42.1
320;Energy sector ;Sulphur dioxide (SO2);2006;42.2
321;Energy sector ;Sulphur dioxide (SO2);2007;38.7
322;Energy sector ;Sulphur dioxide (SO2);2008;32.1
323;Energy sector ;Sulphur dioxide (SO2);2009;24.2
324;Energy sector ;Sulphur dioxide (SO2);2010;19.4
325;Energy sector ;Sulphur dioxide (SO2);2011;19.2
326;Energy sector ;Sulphur dioxide (SO2);2012;22.1
327;Energy sector ;Sulphur dioxide (SO2);2013;19.5
328;Energy sector ;Sulphur dioxide (SO2);2014;18.3
329;Energy sector ;Sulphur dioxide (SO2);2015;19.7
330;Energy sector ;Sulphur dioxide (SO2);2016;17.1
331;Energy sector ;Sulphur dioxide (SO2);2017;15.3
332;Energy sector ;Sulphur dioxide (SO2);2018;13.6
333;Energy sector ;Sulphur dioxide (SO2);2019;11.3
334;Energy sector ;Sulphur dioxide (SO2);2020;8.8
335;Energy sector ;Sulphur dioxide (SO2);2021;10.4
336;Energy sector ;Sulphur dioxide (SO2);2022;10.7
337;Energy sector ;Sulphur dioxide (SO2);2023;9.6
338;Energy sector ;NMVOC;1990;32.2
339;Energy sector ;NMVOC;1995;26.6
340;Energy sector ;NMVOC;2000;26.8
341;Energy sector ;NMVOC;2001;19.2
342;Energy sector ;NMVOC;2002;17.7
343;Energy sector ;NMVOC;2003;16.0
344;Energy sector ;NMVOC;2004;14.7
345;Energy sector ;NMVOC;2005;19.1
346;Energy sector ;NMVOC;2006;17.2
347;Energy sector ;NMVOC;2007;16.3
348;Energy sector ;NMVOC;2008;15.8
349;Energy sector ;NMVOC;2009;13.9
350;Energy sector ;NMVOC;2010;14.7
351;Energy sector ;NMVOC;2011;15.5
352;Energy sector ;NMVOC;2012;15.0
353;Energy sector ;NMVOC;2013;15.0
354;Energy sector ;NMVOC;2014;13.6
355;Energy sector ;NMVOC;2015;12.8
356;Energy sector ;NMVOC;2016;11.4
357;Energy sector ;NMVOC;2017;10.6
358;Energy sector ;NMVOC;2018;8.4
359;Energy sector ;NMVOC;2019;7.4
360;Energy sector ;NMVOC;2020;6.8
361;Energy sector ;NMVOC;2021;5.8
362;Energy sector ;NMVOC;2022;5.6
363;Energy sector ;NMVOC;2023;5.6
364;Energy sector ;PM2.5 (Particulate matter);1990;6.0
365;Energy sector ;PM2.5 (Particulate matter);1995;4.2
366;Energy sector ;PM2.5 (Particulate matter);2000;2.6
367;Energy sector ;PM2.5 (Particulate matter);2001;2.5
368;Energy sector ;PM2.5 (Particulate matter);2002;2.1
369;Energy sector ;PM2.5 (Particulate matter);2003;2.4
370;Energy sector ;PM2.5 (Particulate matter);2004;1.7
371;Energy sector ;PM2.5 (Particulate matter);2005;1.6
372;Energy sector ;PM2.5 (Particulate matter);2006;1.9
373;Energy sector ;PM2.5 (Particulate matter);2007;1.3
374;Energy sector ;PM2.5 (Particulate matter);2008;1.2
375;Energy sector ;PM2.5 (Particulate matter);2009;0.6
376;Energy sector ;PM2.5 (Particulate matter);2010;0.4
377;Energy sector ;PM2.5 (Particulate matter);2011;0.3
378;Energy sector ;PM2.5 (Particulate matter);2012;0.2
379;Energy sector ;PM2.5 (Particulate matter);2013;0.3
380;Energy sector ;PM2.5 (Particulate matter);2014;0.4
381;Energy sector ;PM2.5 (Particulate matter);2015;0.5
382;Energy sector ;PM2.5 (Particulate matter);2016;0.4
383;Energy sector ;PM2.5 (Particulate matter);2017;0.3
384;Energy sector ;PM2.5 (Particulate matter);2018;0.3
385;Energy sector ;PM2.5 (Particulate matter);2019;0.3
386;Energy sector ;PM2.5 (Particulate matter);2020;0.2
387;Energy sector ;PM2.5 (Particulate matter);2021;0.2
388;Energy sector ;PM2.5 (Particulate matter);2022;0.2
389;Energy sector ;PM2.5 (Particulate matter);2023;0.2
390;06 Extraction of crude petroleum and gas;Ammonia (NH3);1990;0.0
391;06 Extraction of crude petroleum and gas;Ammonia (NH3);1995;0.0
392;06 Extraction of crude petroleum and gas;Ammonia (NH3);2000;0.0
393;06 Extraction of crude petroleum and gas;Ammonia (NH3);2001;0.0
394;06 Extraction of crude petroleum and gas;Ammonia (NH3);2002;0.0
395;06 Extraction of crude petroleum and gas;Ammonia (NH3);2003;0.0
396;06 Extraction of crude petroleum and gas;Ammonia (NH3);2004;0.0
397;06 Extraction of crude petroleum and gas;Ammonia (NH3);2005;0.0
398;06 Extraction of crude petroleum and gas;Ammonia (NH3);2006;0.0
399;06 Extraction of crude petroleum and gas;Ammonia (NH3);2007;0.0
400;06 Extraction of crude petroleum and gas;Ammonia (NH3);2008;0.0
401;06 Extraction of crude petroleum and gas;Ammonia (NH3);2009;0.0
402;06 Extraction of crude petroleum and gas;Ammonia (NH3);2010;0.0
403;06 Extraction of crude petroleum and gas;Ammonia (NH3);2011;0.0
404;06 Extraction of crude petroleum and gas;Ammonia (NH3);2012;0.0
405;06 Extraction of crude petroleum and gas;Ammonia (NH3);2013;0.0
406;06 Extraction of crude petroleum and gas;Ammonia (NH3);2014;0.0
407;06 Extraction of crude petroleum and gas;Ammonia (NH3);2015;0.0
408;06 Extraction of crude petroleum and gas;Ammonia (NH3);2016;0.0
409;06 Extraction of crude petroleum and gas;Ammonia (NH3);2017;0.0
410;06 Extraction of crude petroleum and gas;Ammonia (NH3);2018;0.0
411;06 Extraction of crude petroleum and gas;Ammonia (NH3);2019;0.0
412;06 Extraction of crude petroleum and gas;Ammonia (NH3);2020;0.0
413;06 Extraction of crude petroleum and gas;Ammonia (NH3);2021;0.0
414;06 Extraction of crude petroleum and gas;Ammonia (NH3);2022;0.0
415;06 Extraction of crude petroleum and gas;Ammonia (NH3);2023;0.0
416;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);1990;7.9
417;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);1995;7.0
418;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2000;5.8
419;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2001;6.6
420;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2002;6.3
421;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2003;5.8
422;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2004;5.1
423;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2005;5.2
424;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2006;5.2
425;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2007;4.9
426;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2008;4.8
427;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2009;2.8
428;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2010;4.9
429;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2011;4.8
430;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2012;5.2
431;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2013;5.5
432;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2014;5.8
433;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2015;5.6
434;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2016;4.1
435;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2017;3.7
436;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2018;3.5
437;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2019;2.4
438;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2020;2.5
439;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2021;1.8
440;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2022;1.9
441;06 Extraction of crude petroleum and gas;Nitrogen oxides (NOx);2023;1.3
442;06 Extraction of crude petroleum and gas;Sulphur dioxide (SO2);1990;1.5
443;06 Extraction of crude petroleum and gas;Sulphur dioxide (SO2);1995;0.8
444;06 Extraction of crude petroleum and gas;Sulphur dioxide (SO2);2000;0.3
