ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;PurchaseValueOfTurnover_9;PersonnelCosts_10;TotalOtherBusinessCosts_11;EnergyCosts_12;HousingCosts_13;EquipmentAndInventoryCosts_14;TransportCosts_15;SalesCosts_16;CommunicationCosts_17;ServicesProvidedByThirdParties_18;BusinessCostsNotElsewhereClassified_19;DepreciationFixedAssets_20;ProfitLoss_21;ProfitLossBeforeTax_22
18;111 Crude petroleum and gas extraction;2006;3.4;2.9;2.5;2.4;27503.0;27480.0;23.0;23258.0;18855.0;282.0;3606.0;24.0;59.0;303.0;38.0;108.0;3.0;107.0;2963.0;515.0;4245.0;4344.0
19;111 Crude petroleum and gas extraction;2007;3.8;3.4;2.8;2.7;26796.0;26760.0;36.0;22432.0;18230.0;333.0;3335.0;18.0;65.0;318.0;33.0;34.0;3.0;178.0;2686.0;534.0;4364.0;4424.0
20;111 Crude petroleum and gas extraction;2008;3.7;3.6;2.8;2.7;37913.0;37411.0;502.0;31758.0;25190.0;348.0;5389.0;38.0;61.0;150.0;210.0;12.0;3.0;225.0;4692.0;831.0;6156.0;7142.0
21;112 Services activities to oil and gas;2006;8.6;6.7;2.5;2.4;2962.0;2638.0;324.0;2064.0;1087.0;401.0;389.0;6.0;18.0;109.0;78.0;31.0;7.0;42.0;98.0;187.0;898.0;891.0
22;112 Services activities to oil and gas;2007;7.5;6.5;6.1;5.1;3397.0;2953.0;444.0;2465.0;1258.0;437.0;504.0;4.0;14.0;180.0;73.0;41.0;6.0;46.0;140.0;267.0;932.0;934.0
23;112 Services activities to oil and gas;2008;6.4;5.2;2.8;2.7;2686.0;2662.0;23.0;1662.0;640.0;345.0;517.0;4.0;15.0;142.0;78.0;39.0;6.0;47.0;186.0;159.0;1024.0;1031.0
24;CB Mining and quarrying, except of ..;2006;3.0;2.8;2.5;2.4;1196.0;1179.0;17.0;1112.0;632.0;146.0;260.0;58.0;14.0;64.0;34.0;12.0;3.0;16.0;60.0;73.0;84.0;63.0
25;CB Mining and quarrying, except of ..;2007;2.6;2.3;2.2;2.0;1052.0;1034.0;18.0;958.0;550.0;123.0;233.0;57.0;15.0;58.0;25.0;10.0;2.0;23.0;44.0;52.0;94.0;110.0
26;CB Mining and quarrying, except of ..;2008;2.3;2.1;2.0;1.8;1208.0;1190.0;19.0;1098.0;668.0;121.0;260.0;70.0;18.0;62.0;26.0;5.0;2.0;27.0;51.0;49.0;110.0;115.0
27;D Manufacturing;2006;846.8;769.2;740.4;676.7;285909.0;280922.0;4987.0;267113.0;178927.0;39820.0;40986.0;6979.0;3757.0;3963.0;1473.0;5242.0;623.0;5413.0;13535.0;7381.0;18796.0;16375.0
28;D Manufacturing;2007;871.7;788.4;751.1;683.6;304182.0;298379.0;5803.0;282256.0;191046.0;40955.0;42910.0;7372.0;3952.0;4553.0;1496.0;4879.0;601.0;6183.0;13874.0;7346.0;21926.0;20530.0
29;D Manufacturing;2008;870.9;782.8;750.3;680.2;320387.0;315113.0;5274.0;301502.0;203519.0;42752.0;47234.0;8140.0;4070.0;4692.0;1587.0;5095.0;603.0;6832.0;16215.0;7996.0;18885.0;16374.0
30;DA Manufacture of food and tobacco;2006;152.3;129.4;127.6;108.9;57205.0;56792.0;412.0;52657.0;35727.0;6313.0;9177.0;1008.0;681.0;700.0;294.0;1537.0;86.0;858.0;4012.0;1440.0;4548.0;3312.0
31;DA Manufacture of food and tobacco;2007;155.4;132.1;128.2;109.3;62949.0;62111.0;838.0;57827.0;40140.0;6431.0;9724.0;1097.0;763.0;821.0;282.0;1473.0;83.0;1008.0;4196.0;1531.0;5122.0;4514.0
32;DA Manufacture of food and tobacco;2008;155.7;131.1;128.0;108.1;67953.0;67448.0;505.0;63278.0;45094.0;6543.0;10140.0;1127.0;757.0;860.0;293.0;1390.0;75.0;1137.0;4501.0;1501.0;4675.0;3466.0
33;15 Manufacturing food products and ..;2006;147.7;125.0;123.4;104.9;51386.0;50991.0;395.0;48512.0;34507.0;6036.0;6599.0;989.0;663.0;671.0;288.0;1380.0;84.0;829.0;1696.0;1371.0;2874.0;2778.0
34;15 Manufacturing food products and ..;2007;;;;;;;;;;;;;;;;;;;;;;
35;15 Manufacturing food products and ..;2008;;;;;;;;;;;;;;;;;;;;;;
36;16 Manufacture of tobacco products;2006;4.7;4.4;4.2;4.0;5818.0;5801.0;17.0;4145.0;1221.0;277.0;2578.0;19.0;18.0;30.0;6.0;157.0;3.0;29.0;2316.0;69.0;1674.0;534.0
37;16 Manufacture of tobacco products;2007;;;;;;;;;;;;;;;;;;;;;;
38;16 Manufacture of tobacco products;2008;;;;;;;;;;;;;;;;;;;;;;
39;DB Manufacture textiles, wearing apparel;2006;19.3;16.5;16.8;14.4;3303.0;3281.0;22.0;3051.0;1839.0;637.0;497.0;59.0;81.0;43.0;24.0;111.0;11.0;53.0;114.0;78.0;252.0;202.0
40;DB Manufacture textiles, wearing apparel;2007;;;;;;;;;;;;;;;;;;;;;;
41;DB Manufacture textiles, wearing apparel;2008;;;;;;;;;;;;;;;;;;;;;;
42;17 Manufacture of textiles;2006;15.7;13.6;13.8;11.9;2722.0;2701.0;21.0;2509.0;1491.0;541.0;407.0;55.0;68.0;40.0;18.0;87.0;8.0;47.0;85.0;70.0;214.0;167.0
43;17 Manufacture of textiles;2007;14.9;13.0;13.3;11.6;2887.0;2859.0;27.0;2625.0;1581.0;549.0;430.0;56.0;70.0;44.0;19.0;102.0;9.0;48.0;81.0;66.0;261.0;236.0
44;17 Manufacture of textiles;2008;14.1;12.1;12.5;10.7;2654.0;2625.0;29.0;2445.0;1408.0;541.0;429.0;53.0;70.0;44.0;16.0;96.0;11.0;61.0;77.0;67.0;209.0;191.0
45;18 Manufacture of wearing apparel;2006;3.7;2.9;3.0;2.4;581.0;580.0;1.0;542.0;348.0;96.0;89.0;4.0;13.0;3.0;6.0;25.0;3.0;6.0;30.0;9.0;39.0;35.0
46;18 Manufacture of wearing apparel;2007;;;;;;;;;;;;;;;;;;;;;;
47;18 Manufacture of wearing apparel;2008;;;;;;;;;;;;;;;;;;;;;;
48;DC Manufacture of leather(products);2006;;;;;;;;;;;;;;;;;;;;;;
49;DC Manufacture of leather(products);2007;2.2;1.8;1.8;1.5;364.0;357.0;6.0;327.0;191.0;68.0;58.0;5.0;8.0;4.0;2.0;16.0;1.0;7.0;15.0;9.0;37.0;33.0
50;DC Manufacture of leather(products);2008;2.1;1.7;1.7;1.4;295.0;286.0;8.0;274.0;152.0;65.0;49.0;5.0;8.0;4.0;2.0;11.0;1.0;8.0;9.0;8.0;21.0;15.0
51;"19 Tanning, dressing leather; luggage";2006;;;;;;;;;;;;;;;;;;;;;;
52;"19 Tanning, dressing leather; luggage";2007;2.2;1.8;1.8;1.5;364.0;357.0;6.0;327.0;191.0;68.0;58.0;5.0;8.0;4.0;2.0;16.0;1.0;7.0;15.0;9.0;37.0;33.0
53;"19 Tanning, dressing leather; luggage";2008;2.1;1.7;1.7;1.4;295.0;286.0;8.0;274.0;152.0;65.0;49.0;5.0;8.0;4.0;2.0;11.0;1.0;8.0;9.0;8.0;21.0;15.0
54;DD Manufacture of wood products, cork;2006;;;;;;;;;;;;;;;;;;;;;;
55;DD Manufacture of wood products, cork;2007;21.1;18.9;17.7;16.2;3547.0;3515.0;31.0;3311.0;1978.0;824.0;417.0;48.0;104.0;53.0;34.0;36.0;10.0;41.0;91.0;92.0;236.0;210.0
56;DD Manufacture of wood products, cork;2008;21.0;19.3;17.8;16.4;3402.0;3375.0;27.0;3175.0;1823.0;828.0;423.0;47.0;108.0;62.0;36.0;34.0;9.0;32.0;94.0;101.0;228.0;192.0
57;20 Manufacture of wood products, cork;2006;;;;;;;;;;;;;;;;;;;;;;
58;20 Manufacture of wood products, cork;2007;21.1;18.9;17.7;16.2;3547.0;3515.0;31.0;3311.0;1978.0;824.0;417.0;48.0;104.0;53.0;34.0;36.0;10.0;41.0;91.0;92.0;236.0;210.0
59;20 Manufacture of wood products, cork;2008;21.0;19.3;17.8;16.4;3402.0;3375.0;27.0;3175.0;1823.0;828.0;423.0;47.0;108.0;62.0;36.0;34.0;9.0;32.0;94.0;101.0;228.0;192.0
60;DE Paper and printing industry;2006;101.5;90.7;92.5;83.5;19034.0;18820.0;214.0;17405.0;8943.0;4472.0;3246.0;384.0;422.0;394.0;151.0;535.0;111.0;400.0;850.0;744.0;1629.0;1360.0
61;DE Paper and printing industry;2007;101.6;89.3;90.9;81.2;19935.0;19703.0;231.0;18115.0;9413.0;4534.0;3439.0;393.0;442.0;436.0;154.0;548.0;104.0;489.0;873.0;730.0;1819.0;1588.0
62;DE Paper and printing industry;2008;101.0;88.7;89.8;80.2;18800.0;18589.0;211.0;17293.0;8579.0;4631.0;3326.0;404.0;427.0;420.0;153.0;491.0;114.0;504.0;814.0;757.0;1507.0;1258.0
63;21 Manufacture of pulp,paper,paperboard;2006;24.2;23.0;22.3;21.2;6187.0;6099.0;88.0;5895.0;3426.0;1154.0;1007.0;285.0;113.0;178.0;28.0;66.0;14.0;103.0;220.0;308.0;292.0;231.0
64;21 Manufacture of pulp,paper,paperboard;2007;22.5;21.2;20.5;19.4;6334.0;6252.0;82.0;6015.0;3489.0;1141.0;1098.0;294.0;108.0;197.0;26.0;69.0;14.0;156.0;235.0;286.0;319.0;284.0
65;21 Manufacture of pulp,paper,paperboard;2008;21.6;20.3;19.6;18.4;6045.0;5964.0;81.0;5820.0;3387.0;1106.0;1050.0;303.0;102.0;188.0;25.0;58.0;13.0;156.0;206.0;277.0;225.0;110.0
66;22 Publishing, printing and reprodcution;2006;77.2;67.8;70.3;62.3;12847.0;12721.0;125.0;11510.0;5517.0;3317.0;2240.0;98.0;309.0;216.0;123.0;469.0;96.0;297.0;630.0;436.0;1337.0;1129.0
67;22 Publishing, printing and reprodcution;2007;79.1;68.2;70.4;61.8;13601.0;13452.0;149.0;12101.0;5924.0;3393.0;2340.0;98.0;334.0;239.0;129.0;479.0;90.0;333.0;639.0;444.0;1500.0;1304.0
68;22 Publishing, printing and reprodcution;2008;79.4;68.4;70.2;61.7;12755.0;12625.0;130.0;11473.0;5193.0;3525.0;2276.0;101.0;324.0;232.0;128.0;433.0;101.0;348.0;608.0;480.0;1282.0;1149.0
69;DF Manufacture of coke;2006;;;;;;;;;;;;;;;;;;;;;;
70;DF Manufacture of coke;2007;;;;;;;;;;;;;;;;;;;;;;
71;DF Manufacture of coke;2008;;;;;;;;;;;;;;;;;;;;;;
72;23 Manufacture of coke;2006;;;;;;;;;;;;;;;;;;;;;;
73;23 Manufacture of coke;2007;;;;;;;;;;;;;;;;;;;;;;
74;23 Manufacture of coke;2008;;;;;;;;;;;;;;;;;;;;;;
75;DG Manufacture,chemicals/chemical prod..;2006;74.0;68.4;66.1;62.3;52912.0;51567.0;1345.0;50094.0;34252.0;4787.0;9399.0;2615.0;399.0;827.0;130.0;1036.0;69.0;1358.0;2963.0;1656.0;2818.0;2435.0
76;DG Manufacture,chemicals/chemical prod..;2007;73.1;68.4;65.4;61.3;56245.0;54571.0;1675.0;52725.0;36309.0;4709.0;10168.0;2610.0;475.0;898.0;137.0;868.0;63.0;1573.0;3544.0;1539.0;3520.0;3313.0
77;DG Manufacture,chemicals/chemical prod..;2008;71.8;65.3;63.6;58.5;55950.0;54452.0;1498.0;52362.0;35780.0;4784.0;10276.0;3051.0;436.0;1061.0;144.0;868.0;65.0;1775.0;2875.0;1521.0;3588.0;3567.0
78;24 Manufacture,chemicals/chemical prod..;2006;74.0;68.4;66.1;62.3;52912.0;51567.0;1345.0;50094.0;34252.0;4787.0;9399.0;2615.0;399.0;827.0;130.0;1036.0;69.0;1358.0;2963.0;1656.0;2818.0;2435.0
79;24 Manufacture,chemicals/chemical prod..;2007;73.1;68.4;65.4;61.3;56245.0;54571.0;1675.0;52725.0;36309.0;4709.0;10168.0;2610.0;475.0;898.0;137.0;868.0;63.0;1573.0;3544.0;1539.0;3520.0;3313.0
80;24 Manufacture,chemicals/chemical prod..;2008;71.8;65.3;63.6;58.5;55950.0;54452.0;1498.0;52362.0;35780.0;4784.0;10276.0;3051.0;436.0;1061.0;144.0;868.0;65.0;1775.0;2875.0;1521.0;3588.0;3567.0
81;DH Manufacture, rubber/plastic products;2006;37.2;34.2;32.6;30.1;7254.0;7188.0;66.0;6852.0;3871.0;1586.0;1078.0;177.0;163.0;148.0;57.0;140.0;24.0;95.0;275.0;316.0;402.0;349.0
82;DH Manufacture, rubber/plastic products;2007;37.9;34.7;33.1;30.5;7734.0;7661.0;73.0;7244.0;4185.0;1615.0;1146.0;191.0;162.0;157.0;53.0;133.0;22.0;162.0;266.0;297.0;490.0;471.0
83;DH Manufacture, rubber/plastic products;2008;37.5;34.2;32.9;30.3;7735.0;7682.0;53.0;7275.0;4126.0;1666.0;1179.0;193.0;167.0;166.0;55.0;126.0;22.0;178.0;272.0;304.0;460.0;414.0
84;25 Manufacture, rubber/plastic products;2006;37.2;34.2;32.6;30.1;7254.0;7188.0;66.0;6852.0;3871.0;1586.0;1078.0;177.0;163.0;148.0;57.0;140.0;24.0;95.0;275.0;316.0;402.0;349.0
85;25 Manufacture, rubber/plastic products;2007;37.9;34.7;33.1;30.5;7734.0;7661.0;73.0;7244.0;4185.0;1615.0;1146.0;191.0;162.0;157.0;53.0;133.0;22.0;162.0;266.0;297.0;490.0;471.0
86;25 Manufacture, rubber/plastic products;2008;37.5;34.2;32.9;30.3;7735.0;7682.0;53.0;7275.0;4126.0;1666.0;1179.0;193.0;167.0;166.0;55.0;126.0;22.0;178.0;272.0;304.0;460.0;414.0
87;DI Manufacture non-metallic mineral prod;2006;33.4;31.4;29.1;27.5;6738.0;6649.0;89.0;6136.0;3103.0;1544.0;1174.0;311.0;130.0;175.0;102.0;96.0;22.0;126.0;213.0;315.0;602.0;617.0
88;DI Manufacture non-metallic mineral prod;2007;33.5;31.4;28.7;27.0;7401.0;7281.0;119.0;6708.0;3457.0;1573.0;1384.0;350.0;138.0;189.0;91.0;97.0;22.0;188.0;309.0;294.0;692.0;683.0
89;DI Manufacture non-metallic mineral prod;2008;32.5;30.4;27.3;25.8;7757.0;7637.0;120.0;7040.0;3654.0;1624.0;1464.0;389.0;139.0;193.0;95.0;93.0;20.0;207.0;328.0;298.0;717.0;739.0
90;26 Manufacture non-metallic mineral prod;2006;33.4;31.4;29.1;27.5;6738.0;6649.0;89.0;6136.0;3103.0;1544.0;1174.0;311.0;130.0;175.0;102.0;96.0;22.0;126.0;213.0;315.0;602.0;617.0
91;26 Manufacture non-metallic mineral prod;2007;33.5;31.4;28.7;27.0;7401.0;7281.0;119.0;6708.0;3457.0;1573.0;1384.0;350.0;138.0;189.0;91.0;97.0;22.0;188.0;309.0;294.0;692.0;683.0
92;26 Manufacture non-metallic mineral prod;2008;32.5;30.4;27.3;25.8;7757.0;7637.0;120.0;7040.0;3654.0;1624.0;1464.0;389.0;139.0;193.0;95.0;93.0;20.0;207.0;328.0;298.0;717.0;739.0
93;DJ Manufacture of metals/metal products;2006;128.0;119.1;112.9;105.2;26360.0;26040.0;320.0;24270.0;13843.0;5801.0;3875.0;962.0;495.0;775.0;189.0;287.0;69.0;292.0;807.0;750.0;2090.0;2006.0
94;DJ Manufacture of metals/metal products;2007;133.9;124.3;116.7;108.3;29751.0;29440.0;310.0;27000.0;15915.0;6075.0;4232.0;1058.0;528.0;891.0;214.0;275.0;69.0;331.0;866.0;778.0;2751.0;2754.0
95;DJ Manufacture of metals/metal products;2008;135.4;124.7;117.3;108.8;31703.0;31429.0;274.0;29627.0;17584.0;6402.0;4772.0;1296.0;556.0;853.0;239.0;544.0;69.0;359.0;856.0;869.0;2076.0;1953.0
96;27 Manufacture of basic metals;2006;23.3;22.3;21.4;20.5;8364.0;8326.0;38.0;7608.0;4229.0;1338.0;1808.0;755.0;61.0;487.0;32.0;70.0;14.0;116.0;272.0;233.0;757.0;747.0
97;27 Manufacture of basic metals;2007;23.5;22.4;21.6;20.7;9130.0;9089.0;40.0;8153.0;4589.0;1375.0;1928.0;829.0;63.0;560.0;46.0;60.0;13.0;120.0;238.0;261.0;977.0;1005.0
98;27 Manufacture of basic metals;2008;23.9;22.7;22.2;21.2;8830.0;8796.0;34.0;8573.0;4482.0;1430.0;2349.0;1065.0;72.0;492.0;50.0;316.0;12.0;147.0;196.0;312.0;257.0;258.0
99;28 Manufacture fabricated metal products;2006;104.8;96.8;91.4;84.7;17996.0;17713.0;282.0;16662.0;9614.0;4463.0;2068.0;207.0;434.0;288.0;157.0;216.0;55.0;176.0;535.0;517.0;1333.0;1259.0
100;28 Manufacture fabricated metal products;2007;110.4;101.9;95.1;87.6;20621.0;20351.0;270.0;18847.0;11326.0;4700.0;2303.0;229.0;465.0;331.0;169.0;215.0;56.0;211.0;628.0;518.0;1774.0;1748.0
101;28 Manufacture fabricated metal products;2008;111.5;102.0;95.1;87.5;22873.0;22633.0;241.0;21055.0;13102.0;4972.0;2423.0;231.0;485.0;360.0;190.0;229.0;57.0;212.0;660.0;558.0;1819.0;1695.0
102;DK Machinery and equipment;2006;100.7;94.0;88.3;82.8;22750.0;22220.0;531.0;20751.0;12291.0;4928.0;3050.0;120.0;388.0;207.0;182.0;425.0;84.0;599.0;1044.0;482.0;2000.0;1899.0
103;DK Machinery and equipment;2007;110.7;103.0;94.7;88.6;26656.0;25516.0;1140.0;24502.0;14793.0;5530.0;3667.0;166.0;405.0;255.0;191.0;519.0;92.0;895.0;1145.0;512.0;2154.0;2556.0
104;DK Machinery and equipment;2008;111.4;103.4;96.5;89.8;25932.0;25099.0;833.0;24125.0;13818.0;5978.0;3709.0;132.0;432.0;266.0;214.0;573.0;86.0;1031.0;975.0;620.0;1807.0;1932.0
105;29 Manufacture of machinery, equipment;2006;100.7;94.0;88.3;82.8;22750.0;22220.0;531.0;20751.0;12291.0;4928.0;3050.0;120.0;388.0;207.0;182.0;425.0;84.0;599.0;1044.0;482.0;2000.0;1899.0
106;29 Manufacture of machinery, equipment;2007;110.7;103.0;94.7;88.6;26656.0;25516.0;1140.0;24502.0;14793.0;5530.0;3667.0;166.0;405.0;255.0;191.0;519.0;92.0;895.0;1145.0;512.0;2154.0;2556.0
107;29 Manufacture of machinery, equipment;2008;111.4;103.4;96.5;89.8;25932.0;25099.0;833.0;24125.0;13818.0;5978.0;3709.0;132.0;432.0;266.0;214.0;573.0;86.0;1031.0;975.0;620.0;1807.0;1932.0
108;30 Manufacture, office machinery/compu..;2006;6.3;6.0;5.1;4.7;1603.0;1571.0;33.0;1564.0;1005.0;332.0;176.0;7.0;16.0;10.0;7.0;23.0;10.0;59.0;44.0;51.0;39.0;64.0
109;30 Manufacture, office machinery/compu..;2007;;;;;;;;;;;;;;;;;;;;;;
110;30 Manufacture, office machinery/compu..;2008;5.3;5.1;4.4;4.3;1367.0;1347.0;20.0;1408.0;871.0;314.0;168.0;7.0;15.0;11.0;5.0;26.0;4.0;64.0;35.0;55.0;-41.0;-29.0
111;DL Vervaardiging van elektrische en..;2006;84.4;77.9;74.8;69.5;24014.0;22105.0;1909.0;23039.0;13973.0;4461.0;4006.0;136.0;360.0;144.0;107.0;626.0;69.0;1212.0;1353.0;599.0;975.0;1172.0
112;DL Vervaardiging van elektrische en..;2007;77.9;71.2;68.0;62.7;20599.0;19754.0;845.0;19724.0;12156.0;4100.0;2994.0;132.0;264.0;247.0;109.0;370.0;56.0;914.0;902.0;473.0;875.0;861.0
113;DL Vervaardiging van elektrische en..;2008;76.9;70.5;67.9;62.8;21285.0;20305.0;980.0;20778.0;12719.0;4460.0;3081.0;155.0;295.0;232.0;114.0;402.0;60.0;966.0;856.0;517.0;508.0;757.0
114;31 Manufacture of electrical machinery;2006;19.9;18.5;17.1;16.1;4279.0;4163.0;116.0;3978.0;2474.0;898.0;499.0;45.0;62.0;46.0;35.0;68.0;14.0;59.0;171.0;106.0;301.0;256.0
115;31 Manufacture of electrical machinery;2007;26.8;24.9;22.9;21.5;6590.0;6175.0;415.0;6281.0;3856.0;1387.0;878.0;65.0;86.0;105.0;46.0;117.0;17.0;169.0;272.0;160.0;309.0;347.0
116;31 Manufacture of electrical machinery;2008;25.8;23.9;22.8;21.1;6688.0;6277.0;411.0;6324.0;3740.0;1469.0;949.0;76.0;105.0;108.0;44.0;142.0;20.0;212.0;242.0;166.0;363.0;230.0
117;32 Manufacture of audio-equipment;2006;;;;;;;;;;;;;;;;;;;;;;
118;32 Manufacture of audio-equipment;2007;13.0;12.1;11.7;11.0;5110.0;5064.0;46.0;5195.0;3462.0;840.0;766.0;29.0;55.0;86.0;9.0;59.0;11.0;298.0;219.0;127.0;-85.0;-149.0
119;32 Manufacture of audio-equipment;2008;12.9;12.0;11.6;10.9;5574.0;5509.0;65.0;6042.0;4200.0;962.0;735.0;27.0;54.0;73.0;10.0;59.0;11.0;272.0;230.0;144.0;-468.0;-133.0
120;33 Manufacture of medical equipment;2006;;;;;;;;;;;;;;;;;;;;;;
121;33 Manufacture of medical equipment;2007;;;;;;;;;;;;;;;;;;;;;;
122;33 Manufacture of medical equipment;2008;32.8;29.5;29.1;26.5;7657.0;7173.0;484.0;7004.0;3907.0;1715.0;1229.0;45.0;121.0;41.0;55.0;175.0;26.0;418.0;349.0;152.0;654.0;689.0
123;DM Manufacture of transport equipment;2006;51.1;47.8;43.4;40.9;15968.0;16120.0;-151.0;14390.0;10132.0;2598.0;1299.0;93.0;204.0;163.0;58.0;219.0;31.0;201.0;330.0;361.0;1579.0;985.0
124;DM Manufacture of transport equipment;2007;60.3;56.0;50.3;47.3;19243.0;19032.0;210.0;17192.0;12190.0;2893.0;1644.0;115.0;258.0;177.0;56.0;232.0;32.0;261.0;512.0;465.0;2051.0;1115.0
125;DM Manufacture of transport equipment;2008;59.9;55.2;50.2;47.3;20485.0;20101.0;384.0;18248.0;13255.0;2951.0;1639.0;114.0;272.0;178.0;59.0;254.0;34.0;279.0;450.0;403.0;2237.0;1262.0
126;34 Manufacture of motor vehicles;2006;24.6;23.2;21.6;20.4;9961.0;9867.0;94.0;8752.0;6461.0;1366.0;667.0;49.0;91.0;110.0;29.0;140.0;13.0;119.0;115.0;259.0;1209.0;664.0
127;34 Manufacture of motor vehicles;2007;27.1;25.6;22.9;21.7;11475.0;11363.0;112.0;9914.0;7589.0;1241.0;789.0;50.0;107.0;101.0;23.0;148.0;14.0;156.0;191.0;294.0;1561.0;788.0
128;34 Manufacture of motor vehicles;2008;26.8;25.1;23.4;22.1;11892.0;11809.0;82.0;10168.0;7791.0;1298.0;807.0;50.0;109.0;105.0;25.0;150.0;15.0;169.0;185.0;271.0;1724.0;837.0
129;35 Manufacture of transport equipuipment;2006;26.5;24.6;21.7;20.5;6007.0;6253.0;-245.0;5638.0;3671.0;1233.0;632.0;44.0;112.0;52.0;29.0;78.0;18.0;82.0;216.0;102.0;370.0;321.0
130;35 Manufacture of transport equipuipment;2007;33.2;30.4;27.4;25.7;7768.0;7669.0;99.0;7278.0;4601.0;1653.0;855.0;66.0;150.0;76.0;33.0;84.0;19.0;106.0;320.0;170.0;490.0;327.0
131;35 Manufacture of transport equipuipment;2008;33.1;30.1;26.9;25.3;8594.0;8292.0;302.0;8081.0;5464.0;1653.0;832.0;64.0;163.0;73.0;35.0;104.0;19.0;110.0;264.0;132.0;513.0;425.0
