ID;TypeZelfstandigOndernemer;Marges;Perioden;TevredenMetArbeidsomstandigheden_1;TevredenMetWerk_2;LeeftijdWillenDoorwerken_3;LeeftijdInStaatDoorwerken_4;VoldoenAanFysiekeEisenWerk_5;VoldoenAanPsychischeEisenWerk_6
58;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2021;80.0;83.0;67.6;68.4;77.5;80.0
59;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2023;82.0;82.3;68.1;68.6;84.0;85.2
60;Zelfstandig ondernemer met personeel;Waarde;2015;77.4;79.9;64.1;65.5;83.1;85.3
61;Zelfstandig ondernemer met personeel;Waarde;2017;79.3;82.9;64.3;65.4;81.5;83.7
62;Zelfstandig ondernemer met personeel;Waarde;2019;77.5;80.3;64.1;65.3;83.5;86.1
63;Zelfstandig ondernemer met personeel;Waarde;2021;79.5;81.2;64.0;65.6;78.3;80.0
64;Zelfstandig ondernemer met personeel;Waarde;2023;78.1;81.1;63.8;65.4;82.6;86.1
65;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2015;74.5;77.2;63.6;64.8;80.6;82.9
66;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2017;76.7;80.5;63.8;64.8;79.1;81.4
67;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2019;74.8;77.6;63.4;64.6;81.1;83.8
68;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2021;77.1;78.9;63.4;65.0;76.0;77.8
69;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2023;75.3;78.4;63.2;64.7;80.1;83.8
70;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2015;80.0;82.4;64.6;66.2;85.4;87.4
71;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2017;81.6;85.0;64.9;65.9;83.7;85.8
72;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2019;80.0;82.7;64.7;66.0;85.6;88.1
73;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2021;81.7;83.3;64.6;66.2;80.5;82.1
74;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2023;80.6;83.5;64.3;66.1;84.9;88.2
