ID;SBI93;Perioden;TotaalGevaarlijkAfval_1;ZureEnAnorganischeStoffenInOpl_2;AlkalischeAnorganischeStoffenInOpl_3;HalogeenarmeOrganischeStoffen_4;HalogeenrijkeOrganischeStoffen_5;StoffenMetZwareMetalen_6;AfvalstoffenMetBuitengewoneRisicoS_7;Overig_8;BewarenOverslag_9;DirectToepassenOfHergebruik_10;MechanischFysischBehandelen_11;ChemischFysischBehandelen_12;MicrobiologischBehandelen_13;ThermischBehandelen_14;Storten_15;Anders_16
64;22 Uitgeverijen,drukkerijen,reproductie;1997;13.0;2.4;4.6;4.7;0.3;0.7;0.0;0.3;4.9;0.0;0.3;4.9;0.0;0.7;2.2;0.0
65;23 Aardolie-, steenkoolverwerkende ind.;1993;57.5;0.4;0.0;52.3;0.1;3.2;1.5;0.0;7.3;6.3;0.0;16.2;0.0;20.6;3.1;4.1
66;23 Aardolie-, steenkoolverwerkende ind.;1994;51.1;5.1;0.0;39.5;1.4;3.0;1.7;0.4;8.3;7.8;0.0;5.1;1.0;26.8;1.7;0.3
67;23 Aardolie-, steenkoolverwerkende ind.;1995;58.2;6.6;0.0;41.2;7.1;2.6;0.3;0.4;5.8;6.7;0.0;8.3;1.4;33.3;2.2;0.5
68;23 Aardolie-, steenkoolverwerkende ind.;1996;63.3;9.4;0.0;42.2;7.8;3.0;0.4;0.5;6.7;10.6;0.0;10.6;4.0;29.0;2.0;0.4
69;23 Aardolie-, steenkoolverwerkende ind.;1997;64.8;7.4;0.0;48.6;6.9;1.0;0.2;0.8;10.8;7.9;0.6;15.9;3.6;25.1;0.8;0.1
70;24 Chemische industrie;1993;165.9;9.7;0.7;110.5;15.2;29.2;0.6;0.0;39.9;17.8;0.0;22.8;0.0;48.9;25.1;11.5
71;24 Chemische industrie;1994;161.9;10.4;1.9;110.1;11.1;20.3;1.0;7.1;45.4;10.1;0.2;26.7;4.1;57.3;14.6;3.5
72;24 Chemische industrie;1995;195.8;10.9;2.5;140.7;11.4;24.2;1.0;5.0;80.6;13.0;0.4;29.0;4.8;54.4;9.3;4.4
73;24 Chemische industrie;1996;180.0;11.7;1.7;128.9;15.0;12.6;1.0;9.2;76.2;6.7;1.1;31.2;15.0;38.9;9.3;1.7
74;24 Chemische industrie;1997;220.3;10.8;8.2;165.0;14.8;11.4;0.8;9.2;106.7;5.3;4.8;40.0;18.8;36.7;6.9;1.0
75;25 Rubber- en kunststofverwerkende ind.;1993;5.8;0.0;0.0;4.8;0.3;0.6;0.1;0.0;3.9;0.0;0.0;0.9;0.0;0.6;0.4;0.0
76;25 Rubber- en kunststofverwerkende ind.;1994;6.1;0.2;0.0;4.8;0.7;0.2;0.1;0.2;2.9;0.0;0.1;2.5;0.0;0.6;0.1;0.0
77;25 Rubber- en kunststofverwerkende ind.;1995;6.2;0.1;0.0;4.6;0.6;0.5;0.1;0.2;2.4;0.0;0.1;2.9;0.0;0.4;0.4;0.0
78;25 Rubber- en kunststofverwerkende ind.;1996;6.0;0.1;0.0;4.8;0.6;0.2;0.0;0.2;2.2;0.0;0.2;3.4;0.0;0.2;0.1;0.0
79;25 Rubber- en kunststofverwerkende ind.;1997;24.6;0.1;0.0;21.6;0.5;2.2;0.0;0.2;2.5;0.0;0.5;5.1;16.1;0.0;0.1;0.2
80;26 Glas-, aardewerk-, cement-, kalkind.;1993;6.2;0.2;0.1;2.2;0.0;0.2;3.5;0.0;1.2;0.0;0.0;1.1;0.0;0.1;3.6;0.2
81;26 Glas-, aardewerk-, cement-, kalkind.;1994;3.9;0.2;0.1;2.7;0.0;0.5;0.0;0.3;1.7;0.0;0.0;1.2;0.1;0.6;0.2;0.0
82;26 Glas-, aardewerk-, cement-, kalkind.;1995;5.7;0.5;0.0;4.5;0.0;0.2;0.0;0.5;1.4;0.0;0.0;3.2;0.3;0.7;0.1;0.0
83;26 Glas-, aardewerk-, cement-, kalkind.;1996;5.6;0.0;0.0;4.7;0.0;0.6;0.0;0.3;2.0;0.0;0.0;3.0;0.1;0.1;0.3;0.0
84;26 Glas-, aardewerk-, cement-, kalkind.;1997;5.9;0.3;0.0;4.4;0.0;0.9;0.0;0.3;1.9;0.0;0.0;2.7;0.2;0.3;0.8;0.0
85;27 Basismetaalindustrie;1993;43.0;9.8;3.4;10.7;0.0;18.7;0.4;0.0;9.9;14.7;0.0;8.3;0.0;3.9;5.6;0.6
86;27 Basismetaalindustrie;1994;44.2;10.8;1.7;6.7;0.1;12.7;0.0;12.1;6.9;11.6;0.0;16.9;0.1;2.8;5.8;0.0
87;27 Basismetaalindustrie;1995;58.7;12.2;2.3;6.4;0.0;14.5;0.0;23.1;7.6;11.0;1.2;25.2;0.0;1.5;11.9;0.2
88;27 Basismetaalindustrie;1996;48.8;12.6;3.7;4.4;0.0;19.4;0.1;8.6;6.8;15.6;8.1;12.2;0.6;0.8;3.9;0.8
89;27 Basismetaalindustrie;1997;40.9;9.9;2.2;7.1;0.0;15.0;0.1;6.6;7.1;11.6;6.4;11.5;0.1;0.6;2.8;0.8
90;28 Metaalproductenindustrie;1993;23.7;10.4;0.6;7.6;0.2;4.8;0.0;0.0;9.5;1.0;0.0;10.2;0.0;0.5;2.5;0.0
91;28 Metaalproductenindustrie;1994;24.0;7.9;0.6;8.4;0.3;5.3;0.0;1.4;10.1;2.9;0.3;6.9;0.4;0.3;3.1;0.1
92;28 Metaalproductenindustrie;1995;26.2;8.8;0.7;9.1;0.3;5.9;0.0;1.3;10.0;7.2;0.3;5.2;0.2;0.3;3.0;0.0
93;28 Metaalproductenindustrie;1996;28.7;11.4;0.8;9.8;0.3;5.8;0.0;0.5;10.8;6.9;0.4;8.4;0.1;0.3;1.6;0.1
94;28 Metaalproductenindustrie;1997;33.2;13.7;0.9;10.4;0.3;7.3;0.0;0.6;12.7;5.1;0.6;12.4;0.0;0.2;2.0;0.2
95;29 Machine- en apparatenindustrie;1993;11.0;3.1;0.9;6.2;0.2;0.6;0.0;0.0;4.7;0.0;0.0;4.6;0.0;1.0;0.7;0.0
96;29 Machine- en apparatenindustrie;1994;11.5;1.8;1.4;6.8;0.2;0.9;0.0;0.3;5.2;0.0;0.1;5.3;0.1;0.3;0.5;0.0
97;29 Machine- en apparatenindustrie;1995;12.2;2.1;1.4;7.3;0.2;0.8;0.0;0.3;5.1;0.0;0.2;6.5;0.1;0.3;0.1;0.0
98;29 Machine- en apparatenindustrie;1996;14.5;2.5;1.4;8.8;0.2;0.9;0.3;0.3;5.2;0.1;0.2;8.0;0.2;0.2;0.6;0.0
99;29 Machine- en apparatenindustrie;1997;14.4;2.5;1.3;9.0;0.2;1.0;0.0;0.2;5.3;0.0;0.2;7.7;0.0;0.1;1.0;0.0
100;30 Kantoormachine- en computerindustrie;1993;1.0;0.0;0.0;0.7;0.0;0.2;0.0;0.0;0.5;0.0;0.0;0.3;0.0;0.2;0.0;0.0
101;30 Kantoormachine- en computerindustrie;1994;1.3;0.0;0.1;0.9;0.0;0.2;0.0;0.1;0.8;0.0;0.0;0.4;0.0;0.2;0.0;0.0
102;30 Kantoormachine- en computerindustrie;1995;1.7;0.0;0.0;1.4;0.0;0.2;0.0;0.1;0.8;0.0;0.0;0.4;0.0;0.5;0.0;0.0
103;30 Kantoormachine- en computerindustrie;1996;1.3;0.0;0.1;1.0;0.0;0.2;0.0;0.0;0.6;0.2;0.0;0.4;0.0;0.2;0.0;0.0
104;30 Kantoormachine- en computerindustrie;1997;1.8;0.1;0.1;1.3;0.0;0.1;0.0;0.1;0.8;0.1;0.2;0.4;0.1;0.1;0.0;0.0
105;31 Overige electrische apparatenindustr.;1993;2.4;0.1;0.0;1.6;0.1;0.6;0.0;0.0;1.6;0.0;0.0;0.7;0.0;0.1;0.0;0.0
106;31 Overige electrische apparatenindustr.;1994;4.4;0.1;0.1;2.4;0.1;1.7;0.0;0.1;2.8;0.0;0.0;1.5;0.0;0.1;0.0;0.0
107;31 Overige electrische apparatenindustr.;1995;7.4;0.2;0.1;3.3;0.2;3.5;0.0;0.1;5.0;0.0;0.0;2.3;0.0;0.1;0.1;0.0
108;31 Overige electrische apparatenindustr.;1996;5.7;0.2;0.1;2.9;0.2;2.1;0.0;0.1;4.6;0.0;0.0;1.0;0.0;0.0;0.0;0.0
109;31 Overige electrische apparatenindustr.;1997;7.4;0.2;0.1;4.9;0.1;1.8;0.0;0.1;5.5;0.0;0.1;1.7;0.0;0.0;0.1;0.0
110;32 Audio, video, telecomapparatenind.;1993;12.9;4.8;1.2;3.0;0.4;3.3;0.1;0.0;1.6;3.4;0.0;3.2;0.0;1.9;2.8;0.0
111;32 Audio, video, telecomapparatenind.;1994;7.3;3.7;1.2;1.4;0.1;0.8;0.0;0.1;4.0;0.1;0.0;2.9;0.0;0.0;0.2;0.0
112;32 Audio, video, telecomapparatenind.;1995;15.6;11.4;1.0;1.9;0.1;1.1;0.0;0.1;6.5;5.3;0.0;3.6;0.0;0.0;0.2;0.0
113;32 Audio, video, telecomapparatenind.;1996;13.9;8.5;1.5;2.2;0.0;1.6;0.0;0.1;3.9;5.3;0.0;4.5;0.0;0.0;0.1;0.0
114;32 Audio, video, telecomapparatenind.;1997;11.9;6.4;1.2;2.6;0.0;1.5;0.0;0.1;2.9;3.9;0.0;4.7;0.0;0.0;0.3;0.1
115;33 Medische en optische apparatenind.;1993;0.9;0.1;0.1;0.4;0.1;0.1;0.0;0.0;0.6;0.0;0.0;0.2;0.0;0.0;0.0;0.0
116;33 Medische en optische apparatenind.;1994;0.7;0.1;0.1;0.4;0.1;0.1;0.0;0.0;0.5;0.0;0.1;0.1;0.0;0.0;0.0;0.0
117;33 Medische en optische apparatenind.;1995;0.7;0.1;0.1;0.4;0.0;0.1;0.0;0.0;0.6;0.0;0.0;0.1;0.0;0.0;0.0;0.0
118;33 Medische en optische apparatenind.;1996;0.8;0.1;0.1;0.4;0.0;0.1;0.0;0.0;0.6;0.0;0.0;0.2;0.0;0.0;0.0;0.0
119;33 Medische en optische apparatenind.;1997;0.8;0.1;0.1;0.5;0.0;0.1;0.0;0.1;0.5;0.0;0.0;0.3;0.0;0.0;0.0;0.0
120;34 Auto-, aanhangwagen-, opleggerind.;1993;4.1;0.0;0.1;3.4;0.1;0.5;0.1;0.0;2.8;0.0;0.0;1.2;0.0;0.0;0.2;0.0
121;34 Auto-, aanhangwagen-, opleggerind.;1994;4.7;0.0;0.1;3.7;0.1;0.6;0.0;0.2;2.7;0.0;0.0;1.5;0.0;0.0;0.4;0.0
122;34 Auto-, aanhangwagen-, opleggerind.;1995;5.5;0.0;0.1;4.1;0.1;0.9;0.0;0.1;3.1;0.0;0.1;1.6;0.0;0.0;0.6;0.0
123;34 Auto-, aanhangwagen-, opleggerind.;1996;5.9;0.0;0.1;4.8;0.1;0.8;0.0;0.1;3.4;0.0;0.1;2.0;0.0;0.0;0.4;0.0
124;34 Auto-, aanhangwagen-, opleggerind.;1997;6.8;0.0;0.1;5.1;0.1;1.0;0.0;0.5;3.7;0.0;0.2;2.3;0.0;0.0;0.7;0.0
125;35 Overige transportmiddelenindustrie;1993;6.2;0.6;0.6;3.9;0.4;0.6;0.0;0.0;3.2;0.0;0.0;2.4;0.0;0.2;0.3;0.0
126;35 Overige transportmiddelenindustrie;1994;6.2;0.2;0.2;4.5;0.5;0.5;0.0;0.3;1.7;0.0;0.1;3.3;0.3;0.3;0.5;0.0
127;35 Overige transportmiddelenindustrie;1995;6.0;0.5;0.4;3.5;0.4;0.5;0.0;0.7;1.5;0.0;0.1;3.2;0.0;0.3;0.9;0.0
128;35 Overige transportmiddelenindustrie;1996;4.6;0.2;0.2;2.9;0.3;0.4;0.0;0.5;1.5;0.0;0.1;2.4;0.0;0.1;0.4;0.0
129;35 Overige transportmiddelenindustrie;1997;5.6;0.2;0.2;4.1;0.2;0.4;0.1;0.4;1.7;0.0;0.9;2.4;0.1;0.1;0.4;0.0
130;36 Meubelind en overige industrie n.e.g.;1993;4.0;0.1;0.1;3.6;0.1;0.1;0.0;0.0;2.8;0.0;0.0;1.0;0.0;0.2;0.0;0.0
131;36 Meubelind en overige industrie n.e.g.;1994;3.8;0.1;0.1;3.4;0.1;0.0;0.0;0.1;2.3;0.0;0.2;1.1;0.0;0.1;0.0;0.0
132;36 Meubelind en overige industrie n.e.g.;1995;3.7;0.2;0.1;3.2;0.0;0.1;0.0;0.1;2.2;0.0;0.3;1.1;0.0;0.1;0.0;0.0
133;36 Meubelind en overige industrie n.e.g.;1996;3.9;0.1;0.2;3.3;0.0;0.2;0.0;0.0;2.2;0.0;0.4;1.1;0.0;0.2;0.0;0.0
134;36 Meubelind en overige industrie n.e.g.;1997;4.3;0.2;0.2;3.7;0.0;0.1;0.0;0.1;2.4;0.0;0.4;1.0;0.3;0.2;0.0;0.0
135;37 Voorbereiding tot recycling;1993;0.7;0.2;0.0;0.0;0.0;0.4;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.4;0.0
136;37 Voorbereiding tot recycling;1994;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0
137;37 Voorbereiding tot recycling;1995;0.3;0.1;0.0;0.1;0.0;0.1;0.0;0.0;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.1
138;37 Voorbereiding tot recycling;1996;0.5;0.1;0.0;0.1;0.0;0.1;0.0;0.2;0.0;0.0;0.0;0.1;0.0;0.0;0.2;0.1
139;37 Voorbereiding tot recycling;1997;7.8;0.3;3.7;2.4;0.1;1.1;0.0;0.2;1.3;0.0;0.0;0.6;3.4;1.4;1.0;0.1
140;E Openbare voorzieningsbedrijven;1993;43.2;0.1;0.1;3.2;0.0;38.0;1.8;0.0;1.0;0.0;0.0;6.8;0.0;0.6;34.7;0.1
141;E Openbare voorzieningsbedrijven;1994;73.0;0.1;0.1;3.2;0.0;1.9;0.3;67.3;1.7;0.0;0.0;1.6;0.6;0.6;68.5;0.0
142;E Openbare voorzieningsbedrijven;1995;23.1;0.0;0.2;4.5;0.0;1.5;0.2;16.6;2.7;0.0;0.1;2.7;0.0;0.3;17.3;0.0
143;E Openbare voorzieningsbedrijven;1996;6.7;0.1;0.0;2.5;0.0;1.4;0.4;2.3;2.9;0.0;0.0;1.6;0.2;0.2;1.9;0.0
144;E Openbare voorzieningsbedrijven;1997;10.5;0.1;0.0;7.2;0.0;0.7;0.5;1.9;2.2;0.0;0.1;6.0;0.1;0.3;1.8;0.0
145;F Bouwnijverheid;1993;29.6;0.2;0.2;17.0;0.4;9.8;2.0;0.0;6.9;0.0;0.0;6.5;0.0;4.6;10.1;1.4
146;F Bouwnijverheid;1994;31.1;0.0;0.0;11.6;0.1;0.4;0.9;18.0;4.4;0.0;0.5;7.4;0.0;0.8;18.0;0.0
147;F Bouwnijverheid;1995;26.4;0.0;1.1;9.1;0.1;0.4;0.7;15.0;4.5;0.0;0.4;6.2;0.0;0.8;14.5;0.0
148;F Bouwnijverheid;1996;19.5;0.1;0.0;12.2;0.1;0.9;0.9;5.3;6.0;0.0;0.4;8.0;0.2;0.8;4.1;0.0
149;F Bouwnijverheid;1997;27.3;0.1;0.0;10.7;0.0;2.7;0.4;13.4;5.3;0.0;1.2;7.0;0.1;2.5;11.2;0.0
150;"G Reparatie consumentenartikelen; handel";1993;82.3;1.5;1.8;42.9;0.6;34.1;1.4;0.0;39.0;0.1;0.0;24.5;0.0;5.6;12.5;0.7
151;"G Reparatie consumentenartikelen; handel";1994;103.0;1.4;1.8;68.8;0.8;21.7;0.6;7.9;35.8;0.5;4.6;46.6;2.8;6.9;5.6;0.1
152;"G Reparatie consumentenartikelen; handel";1995;129.6;2.0;2.3;81.0;0.9;28.9;0.4;14.1;36.7;10.2;1.4;68.0;0.3;7.7;5.1;0.1
153;"G Reparatie consumentenartikelen; handel";1996;135.9;1.9;2.1;70.6;0.9;43.3;0.4;16.8;44.3;0.0;4.1;64.5;0.6;8.4;13.9;0.1
154;"G Reparatie consumentenartikelen; handel";1997;125.1;1.9;1.6;72.2;1.2;36.3;0.4;11.5;41.4;0.3;2.2;63.4;1.7;4.3;11.4;0.2
155;H Horeca;1993;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
156;H Horeca;1994;0.2;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0
