ID;BedrijfstakkenBranchesSBI2008;Perioden;Ondernemersvertrouwen_1
111;B Delfstoffenwinning;2021 4e kwartaal;22.1
112;B Delfstoffenwinning;2022 1e kwartaal;4.5
113;B Delfstoffenwinning;2022 2e kwartaal;-2.0
114;B Delfstoffenwinning;2022 3e kwartaal;1.5
115;B Delfstoffenwinning;2022 4e kwartaal;-19.6
116;B Delfstoffenwinning;2023 1e kwartaal;-6.6
117;B Delfstoffenwinning;2023 2e kwartaal;-2.9
118;C Industrie;2008 4e kwartaal;-6.0
119;C Industrie;2009 1e kwartaal;-20.9
120;C Industrie;2009 2e kwartaal;-17.3
121;C Industrie;2009 3e kwartaal;-14.6
122;C Industrie;2009 4e kwartaal;-7.2
123;C Industrie;2010 1e kwartaal;-6.2
124;C Industrie;2010 2e kwartaal;-1.4
125;C Industrie;2010 3e kwartaal;-2.0
126;C Industrie;2010 4e kwartaal;0.3
127;C Industrie;2011 1e kwartaal;2.5
128;C Industrie;2011 2e kwartaal;4.3
129;C Industrie;2011 3e kwartaal;-2.2
130;C Industrie;2011 4e kwartaal;-3.1
131;C Industrie;2012 1e kwartaal;-1.8
132;C Industrie;2012 2e kwartaal;-3.4
133;C Industrie;2012 3e kwartaal;-5.4
134;C Industrie;2012 4e kwartaal;-7.6
135;C Industrie;2013 1e kwartaal;-5.6
136;C Industrie;2013 2e kwartaal;-5.6
137;C Industrie;2013 3e kwartaal;-3.1
138;C Industrie;2013 4e kwartaal;-0.3
139;C Industrie;2014 1e kwartaal;0.7
140;C Industrie;2014 2e kwartaal;0.3
141;C Industrie;2014 3e kwartaal;1.2
142;C Industrie;2014 4e kwartaal;2.0
143;C Industrie;2015 1e kwartaal;2.8
144;C Industrie;2015 2e kwartaal;3.3
145;C Industrie;2015 3e kwartaal;3.7
146;C Industrie;2015 4e kwartaal;2.4
147;C Industrie;2016 1e kwartaal;3.2
148;C Industrie;2016 2e kwartaal;4.7
149;C Industrie;2016 3e kwartaal;5.1
150;C Industrie;2016 4e kwartaal;4.3
151;C Industrie;2017 1e kwartaal;6.0
152;C Industrie;2017 2e kwartaal;8.3
153;C Industrie;2017 3e kwartaal;6.6
154;C Industrie;2017 4e kwartaal;8.2
155;C Industrie;2018 1e kwartaal;10.3
156;C Industrie;2018 2e kwartaal;8.2
157;C Industrie;2018 3e kwartaal;6.3
158;C Industrie;2018 4e kwartaal;5.9
159;C Industrie;2019 1e kwartaal;5.8
160;C Industrie;2019 2e kwartaal;6.7
161;C Industrie;2019 3e kwartaal;3.9
162;C Industrie;2019 4e kwartaal;3.6
163;C Industrie;2020 1e kwartaal;2.5
164;C Industrie;2020 2e kwartaal;-28.7
165;C Industrie;2020 3e kwartaal;-8.7
166;C Industrie;2020 4e kwartaal;-5.6
167;C Industrie;2021 1e kwartaal;0.6
168;C Industrie;2021 2e kwartaal;6.5
169;C Industrie;2021 3e kwartaal;12.3
170;C Industrie;2021 4e kwartaal;12.3
171;C Industrie;2022 1e kwartaal;9.0
172;C Industrie;2022 2e kwartaal;10.8
173;C Industrie;2022 3e kwartaal;8.4
174;C Industrie;2022 4e kwartaal;2.5
175;C Industrie;2023 1e kwartaal;3.6
176;C Industrie;2023 2e kwartaal;3.0
177;10-12 Voedings-, genotmiddelenindustrie;2008 4e kwartaal;-4.9
178;10-12 Voedings-, genotmiddelenindustrie;2009 1e kwartaal;-7.6
179;10-12 Voedings-, genotmiddelenindustrie;2009 2e kwartaal;-5.9
180;10-12 Voedings-, genotmiddelenindustrie;2009 3e kwartaal;-0.8
181;10-12 Voedings-, genotmiddelenindustrie;2009 4e kwartaal;-4.6
182;10-12 Voedings-, genotmiddelenindustrie;2010 1e kwartaal;-5.4
183;10-12 Voedings-, genotmiddelenindustrie;2010 2e kwartaal;5.1
184;10-12 Voedings-, genotmiddelenindustrie;2010 3e kwartaal;-4.5
185;10-12 Voedings-, genotmiddelenindustrie;2010 4e kwartaal;-8.1
186;10-12 Voedings-, genotmiddelenindustrie;2011 1e kwartaal;-5.6
187;10-12 Voedings-, genotmiddelenindustrie;2011 2e kwartaal;1.7
188;10-12 Voedings-, genotmiddelenindustrie;2011 3e kwartaal;1.7
189;10-12 Voedings-, genotmiddelenindustrie;2011 4e kwartaal;3.2
190;10-12 Voedings-, genotmiddelenindustrie;2012 1e kwartaal;-0.1
191;10-12 Voedings-, genotmiddelenindustrie;2012 2e kwartaal;0.7
192;10-12 Voedings-, genotmiddelenindustrie;2012 3e kwartaal;2.5
193;10-12 Voedings-, genotmiddelenindustrie;2012 4e kwartaal;2.5
194;10-12 Voedings-, genotmiddelenindustrie;2013 1e kwartaal;-0.6
195;10-12 Voedings-, genotmiddelenindustrie;2013 2e kwartaal;-4.5
196;10-12 Voedings-, genotmiddelenindustrie;2013 3e kwartaal;-0.5
197;10-12 Voedings-, genotmiddelenindustrie;2013 4e kwartaal;3.3
198;10-12 Voedings-, genotmiddelenindustrie;2014 1e kwartaal;-0.9
199;10-12 Voedings-, genotmiddelenindustrie;2014 2e kwartaal;-0.7
200;10-12 Voedings-, genotmiddelenindustrie;2014 3e kwartaal;2.4
201;10-12 Voedings-, genotmiddelenindustrie;2014 4e kwartaal;-0.3
202;10-12 Voedings-, genotmiddelenindustrie;2015 1e kwartaal;-1.2
203;10-12 Voedings-, genotmiddelenindustrie;2015 2e kwartaal;2.5
204;10-12 Voedings-, genotmiddelenindustrie;2015 3e kwartaal;4.7
205;10-12 Voedings-, genotmiddelenindustrie;2015 4e kwartaal;4.6
206;10-12 Voedings-, genotmiddelenindustrie;2016 1e kwartaal;3.7
207;10-12 Voedings-, genotmiddelenindustrie;2016 2e kwartaal;5.7
208;10-12 Voedings-, genotmiddelenindustrie;2016 3e kwartaal;1.4
209;10-12 Voedings-, genotmiddelenindustrie;2016 4e kwartaal;3.9
210;10-12 Voedings-, genotmiddelenindustrie;2017 1e kwartaal;1.7
211;10-12 Voedings-, genotmiddelenindustrie;2017 2e kwartaal;6.7
212;10-12 Voedings-, genotmiddelenindustrie;2017 3e kwartaal;6.6
213;10-12 Voedings-, genotmiddelenindustrie;2017 4e kwartaal;0.5
214;10-12 Voedings-, genotmiddelenindustrie;2018 1e kwartaal;5.8
215;10-12 Voedings-, genotmiddelenindustrie;2018 2e kwartaal;8.0
216;10-12 Voedings-, genotmiddelenindustrie;2018 3e kwartaal;2.5
217;10-12 Voedings-, genotmiddelenindustrie;2018 4e kwartaal;6.0
218;10-12 Voedings-, genotmiddelenindustrie;2019 1e kwartaal;7.4
219;10-12 Voedings-, genotmiddelenindustrie;2019 2e kwartaal;4.0
220;10-12 Voedings-, genotmiddelenindustrie;2019 3e kwartaal;5.4
221;10-12 Voedings-, genotmiddelenindustrie;2019 4e kwartaal;4.5
222;10-12 Voedings-, genotmiddelenindustrie;2020 1e kwartaal;8.5
223;10-12 Voedings-, genotmiddelenindustrie;2020 2e kwartaal;-18.3
224;10-12 Voedings-, genotmiddelenindustrie;2020 3e kwartaal;-4.3
225;10-12 Voedings-, genotmiddelenindustrie;2020 4e kwartaal;-4.3
226;10-12 Voedings-, genotmiddelenindustrie;2021 1e kwartaal;-5.0
227;10-12 Voedings-, genotmiddelenindustrie;2021 2e kwartaal;0.4
228;10-12 Voedings-, genotmiddelenindustrie;2021 3e kwartaal;6.6
229;10-12 Voedings-, genotmiddelenindustrie;2021 4e kwartaal;5.8
230;10-12 Voedings-, genotmiddelenindustrie;2022 1e kwartaal;3.2
231;10-12 Voedings-, genotmiddelenindustrie;2022 2e kwartaal;7.8
232;10-12 Voedings-, genotmiddelenindustrie;2022 3e kwartaal;2.2
233;10-12 Voedings-, genotmiddelenindustrie;2022 4e kwartaal;-4.5
234;10-12 Voedings-, genotmiddelenindustrie;2023 1e kwartaal;-1.6
235;10-12 Voedings-, genotmiddelenindustrie;2023 2e kwartaal;-2.3
236;13-15 Textiel-, kleding-, lederindustrie;2008 4e kwartaal;-8.2
237;13-15 Textiel-, kleding-, lederindustrie;2009 1e kwartaal;-21.2
238;13-15 Textiel-, kleding-, lederindustrie;2009 2e kwartaal;-20.2
239;13-15 Textiel-, kleding-, lederindustrie;2009 3e kwartaal;-20.3
240;13-15 Textiel-, kleding-, lederindustrie;2009 4e kwartaal;-14.9
241;13-15 Textiel-, kleding-, lederindustrie;2010 1e kwartaal;-4.8
242;13-15 Textiel-, kleding-, lederindustrie;2010 2e kwartaal;-0.5
243;13-15 Textiel-, kleding-, lederindustrie;2010 3e kwartaal;8.0
244;13-15 Textiel-, kleding-, lederindustrie;2010 4e kwartaal;3.0
245;13-15 Textiel-, kleding-, lederindustrie;2011 1e kwartaal;10.4
246;13-15 Textiel-, kleding-, lederindustrie;2011 2e kwartaal;-1.1
247;13-15 Textiel-, kleding-, lederindustrie;2011 3e kwartaal;5.4
248;13-15 Textiel-, kleding-, lederindustrie;2011 4e kwartaal;-3.7
249;13-15 Textiel-, kleding-, lederindustrie;2012 1e kwartaal;-10.1
250;13-15 Textiel-, kleding-, lederindustrie;2012 2e kwartaal;1.8
251;13-15 Textiel-, kleding-, lederindustrie;2012 3e kwartaal;-4.6
252;13-15 Textiel-, kleding-, lederindustrie;2012 4e kwartaal;-9.8
253;13-15 Textiel-, kleding-, lederindustrie;2013 1e kwartaal;1.4
254;13-15 Textiel-, kleding-, lederindustrie;2013 2e kwartaal;-5.8
255;13-15 Textiel-, kleding-, lederindustrie;2013 3e kwartaal;-4.1
256;13-15 Textiel-, kleding-, lederindustrie;2013 4e kwartaal;-2.3
257;13-15 Textiel-, kleding-, lederindustrie;2014 1e kwartaal;2.9
258;13-15 Textiel-, kleding-, lederindustrie;2014 2e kwartaal;3.9
259;13-15 Textiel-, kleding-, lederindustrie;2014 3e kwartaal;-4.0
260;13-15 Textiel-, kleding-, lederindustrie;2014 4e kwartaal;3.0
261;13-15 Textiel-, kleding-, lederindustrie;2015 1e kwartaal;6.7
262;13-15 Textiel-, kleding-, lederindustrie;2015 2e kwartaal;3.8
263;13-15 Textiel-, kleding-, lederindustrie;2015 3e kwartaal;6.1
264;13-15 Textiel-, kleding-, lederindustrie;2015 4e kwartaal;6.7
265;13-15 Textiel-, kleding-, lederindustrie;2016 1e kwartaal;5.0
266;13-15 Textiel-, kleding-, lederindustrie;2016 2e kwartaal;-0.3
267;13-15 Textiel-, kleding-, lederindustrie;2016 3e kwartaal;0.9
268;13-15 Textiel-, kleding-, lederindustrie;2016 4e kwartaal;5.5
269;13-15 Textiel-, kleding-, lederindustrie;2017 1e kwartaal;8.6
270;13-15 Textiel-, kleding-, lederindustrie;2017 2e kwartaal;14.8
271;13-15 Textiel-, kleding-, lederindustrie;2017 3e kwartaal;11.1
272;13-15 Textiel-, kleding-, lederindustrie;2017 4e kwartaal;11.1
273;13-15 Textiel-, kleding-, lederindustrie;2018 1e kwartaal;12.8
274;13-15 Textiel-, kleding-, lederindustrie;2018 2e kwartaal;19.6
275;13-15 Textiel-, kleding-, lederindustrie;2018 3e kwartaal;9.6
276;13-15 Textiel-, kleding-, lederindustrie;2018 4e kwartaal;7.2
277;13-15 Textiel-, kleding-, lederindustrie;2019 1e kwartaal;11.0
278;13-15 Textiel-, kleding-, lederindustrie;2019 2e kwartaal;16.4
279;13-15 Textiel-, kleding-, lederindustrie;2019 3e kwartaal;13.0
280;13-15 Textiel-, kleding-, lederindustrie;2019 4e kwartaal;11.6
281;13-15 Textiel-, kleding-, lederindustrie;2020 1e kwartaal;7.3
282;13-15 Textiel-, kleding-, lederindustrie;2020 2e kwartaal;-38.9
283;13-15 Textiel-, kleding-, lederindustrie;2020 3e kwartaal;-6.2
284;13-15 Textiel-, kleding-, lederindustrie;2020 4e kwartaal;-7.4
285;13-15 Textiel-, kleding-, lederindustrie;2021 1e kwartaal;1.7
286;13-15 Textiel-, kleding-, lederindustrie;2021 2e kwartaal;0.8
287;13-15 Textiel-, kleding-, lederindustrie;2021 3e kwartaal;18.6
288;13-15 Textiel-, kleding-, lederindustrie;2021 4e kwartaal;12.4
289;13-15 Textiel-, kleding-, lederindustrie;2022 1e kwartaal;10.2
290;13-15 Textiel-, kleding-, lederindustrie;2022 2e kwartaal;14.6
291;13-15 Textiel-, kleding-, lederindustrie;2022 3e kwartaal;5.3
292;13-15 Textiel-, kleding-, lederindustrie;2022 4e kwartaal;3.2
293;13-15 Textiel-, kleding-, lederindustrie;2023 1e kwartaal;4.8
294;13-15 Textiel-, kleding-, lederindustrie;2023 2e kwartaal;3.0
295;16+23 Hout- en bouwmaterialenindustrie;2008 4e kwartaal;-8.5
296;16+23 Hout- en bouwmaterialenindustrie;2009 1e kwartaal;-9.5
297;16+23 Hout- en bouwmaterialenindustrie;2009 2e kwartaal;-20.2
298;16+23 Hout- en bouwmaterialenindustrie;2009 3e kwartaal;-14.4
299;16+23 Hout- en bouwmaterialenindustrie;2009 4e kwartaal;-9.3
300;16+23 Hout- en bouwmaterialenindustrie;2010 1e kwartaal;-8.9
301;16+23 Hout- en bouwmaterialenindustrie;2010 2e kwartaal;-4.7
302;16+23 Hout- en bouwmaterialenindustrie;2010 3e kwartaal;-6.1
303;16+23 Hout- en bouwmaterialenindustrie;2010 4e kwartaal;0.7
304;16+23 Hout- en bouwmaterialenindustrie;2011 1e kwartaal;2.2
305;16+23 Hout- en bouwmaterialenindustrie;2011 2e kwartaal;-3.2
306;16+23 Hout- en bouwmaterialenindustrie;2011 3e kwartaal;1.5
307;16+23 Hout- en bouwmaterialenindustrie;2011 4e kwartaal;-1.8
308;16+23 Hout- en bouwmaterialenindustrie;2012 1e kwartaal;-4.7
309;16+23 Hout- en bouwmaterialenindustrie;2012 2e kwartaal;-6.1
310;16+23 Hout- en bouwmaterialenindustrie;2012 3e kwartaal;-15.8
311;16+23 Hout- en bouwmaterialenindustrie;2012 4e kwartaal;-13.4
312;16+23 Hout- en bouwmaterialenindustrie;2013 1e kwartaal;-13.3
313;16+23 Hout- en bouwmaterialenindustrie;2013 2e kwartaal;-5.7
314;16+23 Hout- en bouwmaterialenindustrie;2013 3e kwartaal;-5.2
315;16+23 Hout- en bouwmaterialenindustrie;2013 4e kwartaal;-3.7
316;16+23 Hout- en bouwmaterialenindustrie;2014 1e kwartaal;-6.0
317;16+23 Hout- en bouwmaterialenindustrie;2014 2e kwartaal;4.0
318;16+23 Hout- en bouwmaterialenindustrie;2014 3e kwartaal;6.4
319;16+23 Hout- en bouwmaterialenindustrie;2014 4e kwartaal;5.4
320;16+23 Hout- en bouwmaterialenindustrie;2015 1e kwartaal;7.2
321;16+23 Hout- en bouwmaterialenindustrie;2015 2e kwartaal;13.4
322;16+23 Hout- en bouwmaterialenindustrie;2015 3e kwartaal;10.3
323;16+23 Hout- en bouwmaterialenindustrie;2015 4e kwartaal;15.4
324;16+23 Hout- en bouwmaterialenindustrie;2016 1e kwartaal;13.0
325;16+23 Hout- en bouwmaterialenindustrie;2016 2e kwartaal;12.1
326;16+23 Hout- en bouwmaterialenindustrie;2016 3e kwartaal;12.7
327;16+23 Hout- en bouwmaterialenindustrie;2016 4e kwartaal;11.3
328;16+23 Hout- en bouwmaterialenindustrie;2017 1e kwartaal;15.4
329;16+23 Hout- en bouwmaterialenindustrie;2017 2e kwartaal;17.3
330;16+23 Hout- en bouwmaterialenindustrie;2017 3e kwartaal;15.8
331;16+23 Hout- en bouwmaterialenindustrie;2017 4e kwartaal;17.9
332;16+23 Hout- en bouwmaterialenindustrie;2018 1e kwartaal;18.5
333;16+23 Hout- en bouwmaterialenindustrie;2018 2e kwartaal;24.0
334;16+23 Hout- en bouwmaterialenindustrie;2018 3e kwartaal;21.1
335;16+23 Hout- en bouwmaterialenindustrie;2018 4e kwartaal;16.2
336;16+23 Hout- en bouwmaterialenindustrie;2019 1e kwartaal;21.6
337;16+23 Hout- en bouwmaterialenindustrie;2019 2e kwartaal;10.7
338;16+23 Hout- en bouwmaterialenindustrie;2019 3e kwartaal;7.4
339;16+23 Hout- en bouwmaterialenindustrie;2019 4e kwartaal;14.4
340;16+23 Hout- en bouwmaterialenindustrie;2020 1e kwartaal;2.1
341;16+23 Hout- en bouwmaterialenindustrie;2020 2e kwartaal;-25.2
342;16+23 Hout- en bouwmaterialenindustrie;2020 3e kwartaal;5.5
343;16+23 Hout- en bouwmaterialenindustrie;2020 4e kwartaal;6.1
344;16+23 Hout- en bouwmaterialenindustrie;2021 1e kwartaal;9.1
345;16+23 Hout- en bouwmaterialenindustrie;2021 2e kwartaal;20.5
346;16+23 Hout- en bouwmaterialenindustrie;2021 3e kwartaal;18.8
347;16+23 Hout- en bouwmaterialenindustrie;2021 4e kwartaal;22.8
348;16+23 Hout- en bouwmaterialenindustrie;2022 1e kwartaal;20.0
349;16+23 Hout- en bouwmaterialenindustrie;2022 2e kwartaal;16.9
350;16+23 Hout- en bouwmaterialenindustrie;2022 3e kwartaal;5.4
351;16+23 Hout- en bouwmaterialenindustrie;2022 4e kwartaal;-3.8
352;16+23 Hout- en bouwmaterialenindustrie;2023 1e kwartaal;5.8
353;16+23 Hout- en bouwmaterialenindustrie;2023 2e kwartaal;-10.9
354;17-18 Papier- en grafische industrie;2008 4e kwartaal;-9.3
355;17-18 Papier- en grafische industrie;2009 1e kwartaal;-22.2
356;17-18 Papier- en grafische industrie;2009 2e kwartaal;-26.3
357;17-18 Papier- en grafische industrie;2009 3e kwartaal;-8.6
358;17-18 Papier- en grafische industrie;2009 4e kwartaal;0.7
359;17-18 Papier- en grafische industrie;2010 1e kwartaal;16.2
360;17-18 Papier- en grafische industrie;2010 2e kwartaal;10.5
361;17-18 Papier- en grafische industrie;2010 3e kwartaal;6.8
362;17-18 Papier- en grafische industrie;2010 4e kwartaal;-0.3
363;17-18 Papier- en grafische industrie;2011 1e kwartaal;4.1
364;17-18 Papier- en grafische industrie;2011 2e kwartaal;8.3
365;17-18 Papier- en grafische industrie;2011 3e kwartaal;-5.4
366;17-18 Papier- en grafische industrie;2011 4e kwartaal;-5.0
367;17-18 Papier- en grafische industrie;2012 1e kwartaal;-3.0
368;17-18 Papier- en grafische industrie;2012 2e kwartaal;0.1
369;17-18 Papier- en grafische industrie;2012 3e kwartaal;-6.0
370;17-18 Papier- en grafische industrie;2012 4e kwartaal;4.2
371;17-18 Papier- en grafische industrie;2013 1e kwartaal;-2.6
372;17-18 Papier- en grafische industrie;2013 2e kwartaal;-7.8
373;17-18 Papier- en grafische industrie;2013 3e kwartaal;-5.9
374;17-18 Papier- en grafische industrie;2013 4e kwartaal;6.6
375;17-18 Papier- en grafische industrie;2014 1e kwartaal;-4.3
376;17-18 Papier- en grafische industrie;2014 2e kwartaal;-0.4
377;17-18 Papier- en grafische industrie;2014 3e kwartaal;-0.5
378;17-18 Papier- en grafische industrie;2014 4e kwartaal;12.4
379;17-18 Papier- en grafische industrie;2015 1e kwartaal;-2.2
380;17-18 Papier- en grafische industrie;2015 2e kwartaal;-0.9
381;17-18 Papier- en grafische industrie;2015 3e kwartaal;5.0
382;17-18 Papier- en grafische industrie;2015 4e kwartaal;13.1
383;17-18 Papier- en grafische industrie;2016 1e kwartaal;7.4
384;17-18 Papier- en grafische industrie;2016 2e kwartaal;6.7
385;17-18 Papier- en grafische industrie;2016 3e kwartaal;6.7
386;17-18 Papier- en grafische industrie;2016 4e kwartaal;14.3
387;17-18 Papier- en grafische industrie;2017 1e kwartaal;6.5
388;17-18 Papier- en grafische industrie;2017 2e kwartaal;10.8
389;17-18 Papier- en grafische industrie;2017 3e kwartaal;7.3
390;17-18 Papier- en grafische industrie;2017 4e kwartaal;12.0
391;17-18 Papier- en grafische industrie;2018 1e kwartaal;9.3
392;17-18 Papier- en grafische industrie;2018 2e kwartaal;10.7
393;17-18 Papier- en grafische industrie;2018 3e kwartaal;8.1
394;17-18 Papier- en grafische industrie;2018 4e kwartaal;6.2
395;17-18 Papier- en grafische industrie;2019 1e kwartaal;5.6
396;17-18 Papier- en grafische industrie;2019 2e kwartaal;5.3
397;17-18 Papier- en grafische industrie;2019 3e kwartaal;3.9
398;17-18 Papier- en grafische industrie;2019 4e kwartaal;9.9
399;17-18 Papier- en grafische industrie;2020 1e kwartaal;9.9
