ID;Woningkenmerken;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldElektriciteitsverbruik_5;Stadsverwarming_6
88;Totaal woningen;Krewerd;Krewerd                                 ;Buurt     ;BU00100305;2250.0;3400.0;
89;Totaal woningen;Verspreide huizen Bierum;Verspreide huizen Bierum                ;Buurt     ;BU00100309;2500.0;4150.0;
90;Totaal woningen;Groningen;Groningen                               ;Gemeente  ;GM0014    ;1350.0;2550.0;
91;Totaal woningen;Wijk 00 Binnenstad;Wijk 00 Binnenstad                      ;Wijk      ;WK001400  ;1300.0;2300.0;
92;Totaal woningen;Stadscentrum;Stadscentrum                            ;Buurt     ;BU00140000;1400.0;2350.0;
93;Totaal woningen;Binnenstad-Zuid;Binnenstad-Zuid                         ;Buurt     ;BU00140001;1350.0;2300.0;
94;Totaal woningen;Binnenstad-Oost;Binnenstad-Oost                         ;Buurt     ;BU00140002;1200.0;2200.0;
95;Totaal woningen;Binnenstad-West;Binnenstad-West                         ;Buurt     ;BU00140003;1250.0;2250.0;
96;Totaal woningen;Binnenstad-Noord;Binnenstad-Noord                        ;Buurt     ;BU00140004;1250.0;2250.0;
97;Totaal woningen;Wijk 01 Schilders- en Zeeheldenwijk;Wijk 01 Schilders- en Zeeheldenwijk     ;Wijk      ;WK001401  ;1350.0;2500.0;
98;Totaal woningen;Schildersbuurt;Schildersbuurt                          ;Buurt     ;BU00140100;1550.0;2600.0;
99;Totaal woningen;Zeeheldenbuurt;Zeeheldenbuurt                          ;Buurt     ;BU00140101;1300.0;2150.0;
100;Totaal woningen;Friesestraatweg;Friesestraatweg                         ;Buurt     ;BU00140102;2100.0;3650.0;
101;Totaal woningen;Kostverloren;Kostverloren                            ;Buurt     ;BU00140103;1250.0;2100.0;
102;Totaal woningen;Vinkhuizen-Zuid;Vinkhuizen-Zuid                         ;Buurt     ;BU00140104;1200.0;2600.0;12.0
103;Totaal woningen;Vinkhuizen-Noord;Vinkhuizen-Noord                        ;Buurt     ;BU00140105;1300.0;2600.0;
104;Totaal woningen;Hoendiep;Hoendiep                                ;Buurt     ;BU00140106;1750.0;3050.0;
105;Totaal woningen;Wijk 02 Oranjewijk;Wijk 02 Oranjewijk                      ;Wijk      ;WK001402  ;1350.0;2250.0;
106;Totaal woningen;Oranjebuurt;Oranjebuurt                             ;Buurt     ;BU00140200;1400.0;2300.0;
107;Totaal woningen;Concordiabuurt;Concordiabuurt                          ;Buurt     ;BU00140201;1300.0;1800.0;
108;Totaal woningen;Selwerd;Selwerd                                 ;Buurt     ;BU00140202;1250.0;2250.0;
109;Totaal woningen;Paddepoel-Zuid;Paddepoel-Zuid                          ;Buurt     ;BU00140203;1300.0;2350.0;
110;Totaal woningen;Paddepoel-Noord;Paddepoel-Noord                         ;Buurt     ;BU00140204;1350.0;2100.0;
111;Totaal woningen;Noorderhoogebrug;Noorderhoogebrug                        ;Buurt     ;BU00140205;2350.0;4150.0;
112;Totaal woningen;Universiteitscomplex;Universiteitscomplex                    ;Buurt     ;BU00140206;;3350.0;
113;Totaal woningen;Koningslaagte;Koningslaagte                           ;Buurt     ;BU00140207;2850.0;4950.0;
114;Totaal woningen;Wijk 03 Korrewegwijk;Wijk 03 Korrewegwijk                    ;Wijk      ;WK001403  ;1200.0;2100.0;
115;Totaal woningen;West-Indische buurt;West-Indische buurt                     ;Buurt     ;BU00140300;1000.0;2100.0;
116;Totaal woningen;De Hoogte;De Hoogte                               ;Buurt     ;BU00140301;1100.0;2000.0;
117;Totaal woningen;Oost-Indische buurt;Oost-Indische buurt                     ;Buurt     ;BU00140302;1200.0;2050.0;
118;Totaal woningen;Korrewegbuurt;Korrewegbuurt                           ;Buurt     ;BU00140303;1300.0;2200.0;6.0
119;Totaal woningen;Wijk 04 Oosterparkwijk;Wijk 04 Oosterparkwijk                  ;Wijk      ;WK001404  ;1200.0;2200.0;
120;Totaal woningen;Gorechtbuurt;Gorechtbuurt                            ;Buurt     ;BU00140400;1250.0;2250.0;
121;Totaal woningen;Oosterparkbuurt;Oosterparkbuurt                         ;Buurt     ;BU00140401;1200.0;2250.0;
122;Totaal woningen;Bloemenbuurt;Bloemenbuurt                            ;Buurt     ;BU00140402;1100.0;2000.0;
123;Totaal woningen;Florabuurt;Florabuurt                              ;Buurt     ;BU00140403;1150.0;2150.0;
124;Totaal woningen;Damsterbuurt;Damsterbuurt                            ;Buurt     ;BU00140404;1250.0;2150.0;
125;Totaal woningen;Wijk 05 Oosterpoortwijk;Wijk 05 Oosterpoortwijk                 ;Wijk      ;WK001405  ;1300.0;2500.0;
126;Totaal woningen;Oosterpoortbuurt;Oosterpoortbuurt                        ;Buurt     ;BU00140500;1300.0;2150.0;
127;Totaal woningen;Industriebuurt;Industriebuurt                          ;Buurt     ;BU00140501;1000.0;2650.0;
128;Totaal woningen;Euvelgunne;Euvelgunne                              ;Buurt     ;BU00140502;2850.0;3000.0;
129;Totaal woningen;Middelbert;Middelbert                              ;Buurt     ;BU00140503;2450.0;4000.0;
130;Totaal woningen;Engelbert;Engelbert                               ;Buurt     ;BU00140504;1950.0;3850.0;
131;Totaal woningen;Roodehaan;Roodehaan                               ;Buurt     ;BU00140505;3200.0;5950.0;
132;Totaal woningen;Woonschepenhaven;Woonschepenhaven                        ;Buurt     ;BU00140509;;;
133;Totaal woningen;Wijk 06 Herewegwijk en Helpman;Wijk 06 Herewegwijk en Helpman          ;Wijk      ;WK001406  ;1450.0;2500.0;
134;Totaal woningen;Herewegbuurt;Herewegbuurt                            ;Buurt     ;BU00140600;1300.0;2200.0;
135;Totaal woningen;Rivierenbuurt;Rivierenbuurt                           ;Buurt     ;BU00140601;1250.0;2050.0;9.0
136;Totaal woningen;Helpman-West;Helpman-West                            ;Buurt     ;BU00140602;1450.0;2400.0;
137;Totaal woningen;Villabuurt-Oost;Villabuurt-Oost                         ;Buurt     ;BU00140603;2050.0;3800.0;
138;Totaal woningen;Helpman-Oost;Helpman-Oost                            ;Buurt     ;BU00140604;1550.0;2400.0;
139;Totaal woningen;Coendersborg;Coendersborg                            ;Buurt     ;BU00140605;1650.0;2900.0;
140;Totaal woningen;De Wijert-Noord;De Wijert-Noord                         ;Buurt     ;BU00140606;1200.0;2200.0;
141;Totaal woningen;De Wijert-Zuid;De Wijert-Zuid                          ;Buurt     ;BU00140607;1750.0;2950.0;
142;Totaal woningen;Villabuurt-West;Villabuurt-West                         ;Buurt     ;BU00140608;2300.0;4000.0;
143;Totaal woningen;Woonwagenkamp;                                        ;          ;          ;;;
144;Totaal woningen;Wijk 07 Stadsparkwijk;Wijk 07 Stadsparkwijk                   ;Wijk      ;WK001407  ;1300.0;2600.0;
145;Totaal woningen;Laanhuizen;Laanhuizen                              ;Buurt     ;BU00140700;1350.0;2200.0;
146;Totaal woningen;Grunobuurt;Grunobuurt                              ;Buurt     ;BU00140701;1350.0;2050.0;
