ID;ConsumptieveBestedingen;Perioden;Indexcijfer_1;Volumemutaties_2;VolumemutatiesKoopdaggecorrigeerd_3;Indexcijfers_4;Waardemutaties_5;Prijsmutaties_6
24;Binnenlandse consumptie huishoudens;2000 april;87.9;3.5;4.2;57.7;6.2;2.6
25;Binnenlandse consumptie huishoudens;2000 mei;88.0;4.5;3.6;59.2;7.7;3.0
26;Binnenlandse consumptie huishoudens;2000 juni;86.8;2.8;2.7;58.0;6.2;3.3
27;Binnenlandse consumptie huishoudens;2000 2e kwartaal;87.6;3.6;3.5;58.3;6.7;3.0
28;Binnenlandse consumptie huishoudens;2000 juli;86.2;0.0;1.7;57.4;2.5;2.6
29;Binnenlandse consumptie huishoudens;2000 augustus;83.5;5.4;3.9;57.0;7.9;2.4
30;Binnenlandse consumptie huishoudens;2000 september;86.2;4.2;3.6;58.1;7.2;2.9
31;Binnenlandse consumptie huishoudens;2000 3e kwartaal;85.3;3.1;3.0;57.5;5.8;2.7
32;Binnenlandse consumptie huishoudens;2000 oktober;82.6;0.8;2.2;57.8;3.8;3.0
33;Binnenlandse consumptie huishoudens;2000 november;84.9;4.1;3.3;58.2;7.3;3.1
34;Binnenlandse consumptie huishoudens;2000 december;89.5;3.7;4.9;61.1;6.8;2.9
35;Binnenlandse consumptie huishoudens;2000 4e kwartaal;85.7;2.9;3.5;59.1;6.0;3.0
36;Binnenlandse consumptie huishoudens;2001 januari;90.2;1.9;1.9;60.4;5.1;3.1
37;Binnenlandse consumptie huishoudens;2001 februari;85.8;0.5;2.4;57.7;3.6;3.1
38;Binnenlandse consumptie huishoudens;2001 maart;92.9;2.4;2.0;62.9;5.8;3.3
39;Binnenlandse consumptie huishoudens;2001 1e kwartaal;89.6;1.6;2.1;60.3;4.9;3.2
40;Binnenlandse consumptie huishoudens;2001 april;88.4;0.5;1.3;60.2;4.2;3.7
41;Binnenlandse consumptie huishoudens;2001 mei;90.3;2.6;2.4;63.0;6.3;3.6
42;Binnenlandse consumptie huishoudens;2001 juni;89.5;3.1;2.7;61.7;6.3;3.1
43;Binnenlandse consumptie huishoudens;2001 2e kwartaal;89.4;2.1;2.1;61.6;5.6;3.5
44;Binnenlandse consumptie huishoudens;2001 juli;87.7;1.8;2.4;60.4;5.3;3.4
45;Binnenlandse consumptie huishoudens;2001 augustus;85.9;2.8;2.4;60.6;6.2;3.3
46;Binnenlandse consumptie huishoudens;2001 september;87.4;1.3;2.5;60.9;4.7;3.3
47;Binnenlandse consumptie huishoudens;2001 3e kwartaal;87.0;2.0;2.4;60.6;5.4;3.3
48;Binnenlandse consumptie huishoudens;2001 oktober;85.4;3.4;2.5;61.7;6.8;3.3
49;Binnenlandse consumptie huishoudens;2001 november;87.9;3.5;3.0;62.2;6.9;3.2
50;Binnenlandse consumptie huishoudens;2001 december;90.0;0.6;1.5;63.9;4.5;4.0
51;Binnenlandse consumptie huishoudens;2001 4e kwartaal;87.8;2.4;2.3;62.6;6.0;3.5
52;Binnenlandse consumptie huishoudens;2002 januari;92.3;2.3;1.7;64.3;6.3;4.0
53;Binnenlandse consumptie huishoudens;2002 februari;86.9;1.4;1.4;60.6;5.2;3.7
54;Binnenlandse consumptie huishoudens;2002 maart;93.6;0.7;1.4;65.7;4.4;3.7
55;Binnenlandse consumptie huishoudens;2002 1e kwartaal;90.9;1.4;1.5;63.5;5.3;3.8
56;Binnenlandse consumptie huishoudens;2002 april;90.1;1.9;1.6;63.5;5.6;3.6
57;Binnenlandse consumptie huishoudens;2002 mei;91.7;1.5;1.2;66.0;4.9;3.3
58;Binnenlandse consumptie huishoudens;2002 juni;89.9;0.4;1.5;64.1;4.0;3.5
59;Binnenlandse consumptie huishoudens;2002 2e kwartaal;90.5;1.3;1.4;64.6;4.8;3.5
60;Binnenlandse consumptie huishoudens;2002 juli;89.2;1.6;0.9;63.7;5.5;3.8
61;Binnenlandse consumptie huishoudens;2002 augustus;86.9;1.2;0.8;63.7;5.2;3.9
62;Binnenlandse consumptie huishoudens;2002 september;87.5;0.1;0.9;63.3;3.9;3.8
63;Binnenlandse consumptie huishoudens;2002 3e kwartaal;87.9;1.0;0.8;63.6;4.9;3.8
64;Binnenlandse consumptie huishoudens;2002 oktober;87.0;1.9;1.4;65.1;5.5;3.6
65;Binnenlandse consumptie huishoudens;2002 november;87.9;-0.1;-0.2;64.2;3.2;3.3
66;Binnenlandse consumptie huishoudens;2002 december;90.7;0.7;1.1;66.3;3.7;3.0
67;Binnenlandse consumptie huishoudens;2002 4e kwartaal;88.5;0.8;0.8;65.2;4.2;3.3
68;Binnenlandse consumptie huishoudens;2003 januari;93.7;1.5;1.1;67.0;4.3;2.7
69;Binnenlandse consumptie huishoudens;2003 februari;88.3;1.5;1.5;63.3;4.4;2.9
70;Binnenlandse consumptie huishoudens;2003 maart;92.5;-1.2;-0.2;66.8;1.8;3.0
71;Binnenlandse consumptie huishoudens;2003 1e kwartaal;91.5;0.6;0.8;65.7;3.5;2.9
72;Binnenlandse consumptie huishoudens;2003 april;90.6;0.6;-0.1;65.4;3.0;2.4
73;Binnenlandse consumptie huishoudens;2003 mei;92.3;0.7;0.1;68.0;3.0;2.3
74;Binnenlandse consumptie huishoudens;2003 juni;88.9;-1.1;-0.1;64.8;1.1;2.1
75;Binnenlandse consumptie huishoudens;2003 2e kwartaal;90.6;0.1;-0.1;66.1;2.3;2.3
76;Binnenlandse consumptie huishoudens;2003 juli;89.1;-0.1;-0.5;65.1;2.3;2.4
77;Binnenlandse consumptie huishoudens;2003 augustus;85.9;-1.2;-0.3;64.5;1.3;2.5
78;Binnenlandse consumptie huishoudens;2003 september;87.8;0.3;-0.3;64.9;2.5;2.2
79;Binnenlandse consumptie huishoudens;2003 3e kwartaal;87.6;-0.3;-0.4;64.8;2.0;2.4
80;Binnenlandse consumptie huishoudens;2003 oktober;87.7;0.9;0.0;67.3;3.4;2.5
81;Binnenlandse consumptie huishoudens;2003 november;86.2;-1.8;-0.6;64.8;0.8;2.7
82;Binnenlandse consumptie huishoudens;2003 december;89.7;-1.1;-1.7;67.1;1.3;2.4
83;Binnenlandse consumptie huishoudens;2003 4e kwartaal;87.9;-0.7;-0.8;66.4;1.8;2.5
84;Binnenlandse consumptie huishoudens;2004 januari;94.7;1.1;0.8;68.5;2.2;1.1
85;Binnenlandse consumptie huishoudens;2004 februari;88.5;0.2;-1.2;64.2;1.4;1.2
86;Binnenlandse consumptie huishoudens;2004 maart;93.4;1.0;0.6;68.1;1.9;0.9
87;Binnenlandse consumptie huishoudens;2004 1e kwartaal;92.2;0.8;0.1;66.9;1.8;1.1
88;Binnenlandse consumptie huishoudens;2004 april;92.2;1.8;1.1;67.7;3.4;1.6
89;Binnenlandse consumptie huishoudens;2004 mei;90.9;-1.4;0.5;68.3;0.4;1.8
90;Binnenlandse consumptie huishoudens;2004 juni;91.3;2.7;1.4;67.6;4.4;1.7
91;Binnenlandse consumptie huishoudens;2004 2e kwartaal;91.5;1.0;1.0;67.8;2.7;1.7
92;Binnenlandse consumptie huishoudens;2004 juli;91.7;2.9;2.1;67.9;4.2;1.3
93;Binnenlandse consumptie huishoudens;2004 augustus;85.7;-0.2;1.0;65.2;1.0;1.3
94;Binnenlandse consumptie huishoudens;2004 september;89.3;1.8;1.0;66.9;3.1;1.3
95;Binnenlandse consumptie huishoudens;2004 3e kwartaal;88.9;1.5;1.4;66.7;2.8;1.3
96;Binnenlandse consumptie huishoudens;2004 oktober;87.3;-0.5;0.2;67.8;0.7;1.2
97;Binnenlandse consumptie huishoudens;2004 november;86.7;0.5;0.6;65.9;1.7;1.2
98;Binnenlandse consumptie huishoudens;2004 december;92.3;2.9;1.4;69.5;3.6;0.7
99;Binnenlandse consumptie huishoudens;2004 4e kwartaal;88.8;1.0;0.7;67.7;2.0;1.0
100;Binnenlandse consumptie huishoudens;2005 januari;93.1;-1.7;-0.4;68.5;0.0;1.7
101;Binnenlandse consumptie huishoudens;2005 februari;87.9;-0.7;0.8;65.0;1.3;2.0
102;Binnenlandse consumptie huishoudens;2005 maart;94.7;1.4;0.9;70.2;3.2;1.7
103;Binnenlandse consumptie huishoudens;2005 1e kwartaal;91.9;-0.3;0.4;67.9;1.5;1.8
104;Binnenlandse consumptie huishoudens;2005 april;92.4;0.3;0.0;68.9;1.8;1.5
105;Binnenlandse consumptie huishoudens;2005 mei;90.9;-0.1;0.3;69.0;1.1;1.2
106;Binnenlandse consumptie huishoudens;2005 juni;92.9;1.8;1.6;69.8;3.3;1.5
107;Binnenlandse consumptie huishoudens;2005 2e kwartaal;92.1;0.7;0.6;69.2;2.1;1.4
108;Binnenlandse consumptie huishoudens;2005 juli;92.1;0.4;1.3;69.2;1.9;1.5
109;Binnenlandse consumptie huishoudens;2005 augustus;88.0;2.7;1.8;68.0;4.3;1.6
110;Binnenlandse consumptie huishoudens;2005 september;91.4;2.3;2.0;69.6;4.1;1.8
111;Binnenlandse consumptie huishoudens;2005 3e kwartaal;90.5;1.8;1.7;68.9;3.4;1.6
112;Binnenlandse consumptie huishoudens;2005 oktober;88.0;0.9;1.5;69.8;2.9;2.0
113;Binnenlandse consumptie huishoudens;2005 november;88.9;2.5;2.1;69.1;4.9;2.3
114;Binnenlandse consumptie huishoudens;2005 december;93.7;1.5;1.2;72.5;4.3;2.8
115;Binnenlandse consumptie huishoudens;2005 4e kwartaal;90.2;1.6;1.6;70.5;4.0;2.4
116;Binnenlandse consumptie huishoudens;2006 januari;92.9;-0.2;0.2;70.5;3.0;3.2
117;Binnenlandse consumptie huishoudens;2006 februari;87.7;-0.2;-0.2;66.9;2.8;3.1
118;Binnenlandse consumptie huishoudens;2006 maart;95.1;0.4;-0.1;72.6;3.4;2.9
119;Binnenlandse consumptie huishoudens;2006 1e kwartaal;91.9;0.0;0.0;70.0;3.1;3.1
120;Binnenlandse consumptie huishoudens;2006 april;92.0;-0.5;0.6;70.6;2.6;3.1
121;Binnenlandse consumptie huishoudens;2006 mei;92.6;1.9;0.9;72.4;4.9;2.9
122;Binnenlandse consumptie huishoudens;2006 juni;93.2;0.3;0.1;72.0;3.1;2.8
123;Binnenlandse consumptie huishoudens;2006 2e kwartaal;92.6;0.6;0.5;71.7;3.5;2.9
124;Binnenlandse consumptie huishoudens;2006 juli;90.6;-1.6;-0.8;70.0;1.2;2.8
125;Binnenlandse consumptie huishoudens;2006 augustus;89.1;1.3;0.8;70.8;4.1;2.8
126;Binnenlandse consumptie huishoudens;2006 september;91.5;0.2;-0.1;71.3;2.5;2.3
127;Binnenlandse consumptie huishoudens;2006 3e kwartaal;90.4;-0.1;-0.1;70.7;2.6;2.6
128;Binnenlandse consumptie huishoudens;2006 oktober;87.2;-1.0;-0.5;70.6;1.1;2.1
129;Binnenlandse consumptie huishoudens;2006 november;88.6;-0.3;-0.5;70.6;2.1;2.4
130;Binnenlandse consumptie huishoudens;2006 december;92.4;-1.4;-0.2;73.3;1.1;2.5
131;Binnenlandse consumptie huishoudens;2006 4e kwartaal;89.4;-0.9;-0.4;71.5;1.4;2.3
132;Binnenlandse consumptie huishoudens;2007 januari;93.9;1.1;0.5;72.7;3.1;1.9
133;Binnenlandse consumptie huishoudens;2007 februari;89.3;1.8;1.8;69.6;4.0;2.2
134;Binnenlandse consumptie huishoudens;2007 maart;97.1;2.1;1.7;75.9;4.5;2.4
135;Binnenlandse consumptie huishoudens;2007 1e kwartaal;93.4;1.7;1.3;72.7;3.9;2.2
136;Binnenlandse consumptie huishoudens;2007 april;92.2;0.3;1.2;72.4;2.5;2.2
137;Binnenlandse consumptie huishoudens;2007 mei;93.5;1.0;0.7;74.6;3.1;2.1
138;Binnenlandse consumptie huishoudens;2007 juni;95.4;2.3;1.8;75.2;4.4;2.1
139;Binnenlandse consumptie huishoudens;2007 2e kwartaal;93.7;1.2;1.2;74.1;3.3;2.1
140;Binnenlandse consumptie huishoudens;2007 juli;92.8;2.4;2.8;73.0;4.2;1.8
141;Binnenlandse consumptie huishoudens;2007 augustus;90.8;1.9;1.5;73.4;3.6;1.7
142;Binnenlandse consumptie huishoudens;2007 september;92.7;1.3;2.4;73.7;3.4;2.0
143;Binnenlandse consumptie huishoudens;2007 3e kwartaal;92.1;1.8;2.2;73.4;3.7;1.9
144;Binnenlandse consumptie huishoudens;2007 oktober;90.8;4.1;3.2;75.1;6.4;2.2
145;Binnenlandse consumptie huishoudens;2007 november;91.0;2.7;2.3;74.4;5.4;2.6
146;Binnenlandse consumptie huishoudens;2007 december;94.6;2.4;3.2;76.9;5.0;2.5
147;Binnenlandse consumptie huishoudens;2007 4e kwartaal;92.1;3.0;2.9;75.5;5.6;2.5
148;Binnenlandse consumptie huishoudens;2008 januari;95.3;1.5;1.0;75.7;4.2;2.7
149;Binnenlandse consumptie huishoudens;2008 februari;93.2;4.4;1.8;74.7;7.4;2.9
150;Binnenlandse consumptie huishoudens;2008 maart;95.8;-1.3;0.2;76.9;1.4;2.8
151;Binnenlandse consumptie huishoudens;2008 1e kwartaal;94.7;1.4;1.0;75.8;4.2;2.8
152;Binnenlandse consumptie huishoudens;2008 april;94.5;2.5;1.5;76.5;5.6;3.1
153;Binnenlandse consumptie huishoudens;2008 mei;96.3;3.0;2.0;79.1;6.0;2.9
154;Binnenlandse consumptie huishoudens;2008 juni;93.7;-1.7;0.1;76.1;1.3;3.1
155;Binnenlandse consumptie huishoudens;2008 2e kwartaal;94.8;1.2;1.2;77.2;4.3;3.0
156;Binnenlandse consumptie huishoudens;2008 juli;93.8;1.1;-0.2;76.0;4.1;3.0
157;Binnenlandse consumptie huishoudens;2008 augustus;90.6;-0.2;0.3;75.4;2.7;2.9
158;Binnenlandse consumptie huishoudens;2008 september;92.3;-0.4;-0.2;75.6;2.5;2.9
159;Binnenlandse consumptie huishoudens;2008 3e kwartaal;92.2;0.2;0.0;75.6;3.1;2.9
160;Binnenlandse consumptie huishoudens;2008 oktober;91.4;0.6;-0.4;76.5;1.9;1.3
161;Binnenlandse consumptie huishoudens;2008 november;89.1;-2.0;-1.3;73.5;-1.2;0.8
162;Binnenlandse consumptie huishoudens;2008 december;94.0;-0.6;-0.8;77.3;0.5;1.1
163;Binnenlandse consumptie huishoudens;2008 4e kwartaal;91.5;-0.7;-0.8;75.8;0.4;1.1
164;Binnenlandse consumptie huishoudens;2009 januari;95.9;0.6;-0.2;76.1;0.6;-0.1
165;Binnenlandse consumptie huishoudens;2009 februari;89.4;-4.1;-1.6;71.6;-4.2;-0.1
166;Binnenlandse consumptie huishoudens;2009 maart;92.7;-3.2;-2.6;74.2;-3.6;-0.4
167;Binnenlandse consumptie huishoudens;2009 1e kwartaal;92.6;-2.2;-1.5;74.0;-2.4;-0.2
168;Binnenlandse consumptie huishoudens;2009 april;92.0;-2.7;-3.0;73.4;-4.0;-1.3
169;Binnenlandse consumptie huishoudens;2009 mei;92.3;-4.1;-3.4;74.6;-5.7;-1.6
170;Binnenlandse consumptie huishoudens;2009 juni;91.7;-2.2;-2.6;73.1;-4.0;-1.8
171;Binnenlandse consumptie huishoudens;2009 2e kwartaal;92.0;-3.0;-3.0;73.7;-4.6;-1.6
172;Binnenlandse consumptie huishoudens;2009 juli;93.1;-0.7;-1.2;74.0;-2.6;-1.9
173;Binnenlandse consumptie huishoudens;2009 augustus;87.3;-3.7;-2.9;71.3;-5.3;-1.8
174;Binnenlandse consumptie huishoudens;2009 september;90.5;-2.0;-2.4;72.8;-3.7;-1.8
175;Binnenlandse consumptie huishoudens;2009 3e kwartaal;90.3;-2.1;-2.2;72.7;-3.9;-1.8
176;Binnenlandse consumptie huishoudens;2009 oktober;90.0;-1.5;-2.1;75.1;-1.9;-0.4
177;Binnenlandse consumptie huishoudens;2009 november;86.7;-2.7;-2.3;71.3;-3.0;-0.3
178;Binnenlandse consumptie huishoudens;2009 december;93.3;-0.7;-0.8;76.2;-1.4;-0.6
179;Binnenlandse consumptie huishoudens;2009 4e kwartaal;90.0;-1.6;-1.7;74.2;-2.1;-0.5
180;Binnenlandse consumptie huishoudens;2010 januari;93.7;-2.3;-1.5;75.0;-1.6;0.7
181;Binnenlandse consumptie huishoudens;2010 februari;87.9;-1.7;-1.7;71.0;-0.8;0.9
182;Binnenlandse consumptie huishoudens;2010 maart;93.3;0.7;-0.3;75.8;2.2;1.4
183;Binnenlandse consumptie huishoudens;2010 1e kwartaal;91.6;-1.1;-1.2;73.9;-0.1;1.0
184;Binnenlandse consumptie huishoudens;2010 april;92.4;0.4;0.4;74.9;2.1;1.7
185;Binnenlandse consumptie huishoudens;2010 mei;91.8;-0.5;0.4;75.5;1.2;1.7
186;Binnenlandse consumptie huishoudens;2010 juni;92.9;1.4;0.7;75.3;3.0;1.6
187;Binnenlandse consumptie huishoudens;2010 2e kwartaal;92.4;0.4;0.5;75.2;2.1;1.6
188;Binnenlandse consumptie huishoudens;2010 juli;93.2;0.1;0.0;75.3;1.8;1.7
189;Binnenlandse consumptie huishoudens;2010 augustus;88.1;0.9;1.2;73.0;2.3;1.4
190;Binnenlandse consumptie huishoudens;2010 september;92.3;2.0;1.7;75.4;3.6;1.6
191;Binnenlandse consumptie huishoudens;2010 3e kwartaal;91.2;1.0;1.0;74.6;2.6;1.6
192;Binnenlandse consumptie huishoudens;2010 oktober;90.1;0.1;0.9;76.4;1.7;1.6
193;Binnenlandse consumptie huishoudens;2010 november;89.3;3.0;2.5;74.6;4.8;1.7
194;Binnenlandse consumptie huishoudens;2010 december;94.6;1.4;0.8;79.0;3.6;2.2
195;Binnenlandse consumptie huishoudens;2010 4e kwartaal;91.3;1.5;1.4;76.7;3.3;1.8
196;Binnenlandse consumptie huishoudens;2011 januari;94.7;1.1;1.5;77.4;3.2;2.1
197;Binnenlandse consumptie huishoudens;2011 februari;89.3;1.6;1.6;73.9;4.0;2.4
198;Binnenlandse consumptie huishoudens;2011 maart;95.0;1.8;1.5;79.0;4.2;2.4
199;Binnenlandse consumptie huishoudens;2011 1e kwartaal;93.0;1.5;1.5;76.7;3.8;2.3
200;Binnenlandse consumptie huishoudens;2011 april;94.3;2.1;1.5;78.6;4.9;2.8
201;Binnenlandse consumptie huishoudens;2011 mei;92.9;1.2;1.0;78.6;4.2;3.0
202;Binnenlandse consumptie huishoudens;2011 juni;94.0;1.1;1.4;78.3;3.9;2.8
203;Binnenlandse consumptie huishoudens;2011 2e kwartaal;93.7;1.5;1.3;78.5;4.4;2.9
204;Binnenlandse consumptie huishoudens;2011 juli;93.6;0.5;1.3;77.7;3.2;2.7
205;Binnenlandse consumptie huishoudens;2011 augustus;89.0;1.0;0.3;75.8;3.8;2.8
206;Binnenlandse consumptie huishoudens;2011 september;91.7;-0.7;-0.9;77.0;2.1;2.8
207;Binnenlandse consumptie huishoudens;2011 3e kwartaal;91.4;0.3;0.2;76.8;3.0;2.8
208;Binnenlandse consumptie huishoudens;2011 oktober;88.9;-1.4;-0.8;77.4;1.3;2.7
209;Binnenlandse consumptie huishoudens;2011 november;89.6;0.2;-0.2;76.8;2.9;2.7
210;Binnenlandse consumptie huishoudens;2011 december;94.0;-0.6;-0.6;80.6;2.0;2.6
211;Binnenlandse consumptie huishoudens;2011 4e kwartaal;90.8;-0.6;-0.5;78.3;2.1;2.7
212;Binnenlandse consumptie huishoudens;2012 januari;93.9;-0.8;-0.6;77.6;0.3;1.1
213;Binnenlandse consumptie huishoudens;2012 februari;90.3;1.1;-0.9;75.6;2.2;1.1
214;Binnenlandse consumptie huishoudens;2012 maart;94.9;0.0;-0.6;79.8;1.0;1.0
215;Binnenlandse consumptie huishoudens;2012 1e kwartaal;93.1;0.1;-0.7;77.6;1.2;1.1
216;Binnenlandse consumptie huishoudens;2012 april;91.5;-2.9;-1.4;77.0;-2.1;0.9
217;Binnenlandse consumptie huishoudens;2012 mei;93.3;0.5;-0.2;79.3;0.9;0.4
218;Binnenlandse consumptie huishoudens;2012 juni;94.9;0.9;0.1;79.3;1.3;0.4
219;Binnenlandse consumptie huishoudens;2012 2e kwartaal;93.2;-0.5;-0.5;78.5;0.0;0.6
220;Binnenlandse consumptie huishoudens;2012 juli;91.4;-2.4;-1.5;76.4;-1.7;0.8
221;Binnenlandse consumptie huishoudens;2012 augustus;88.9;-0.1;-0.9;76.2;0.5;0.6
222;Binnenlandse consumptie huishoudens;2012 september;91.3;-0.4;0.4;76.9;-0.1;0.3
223;Binnenlandse consumptie huishoudens;2012 3e kwartaal;90.5;-1.0;-0.7;76.5;-0.4;0.6
224;Binnenlandse consumptie huishoudens;2012 oktober;87.6;-1.4;-1.7;77.3;-0.1;1.3
225;Binnenlandse consumptie huishoudens;2012 november;88.3;-1.4;-1.8;76.5;-0.3;1.1
226;Binnenlandse consumptie huishoudens;2012 december;92.3;-1.8;-0.3;80.4;-0.2;1.7
227;Binnenlandse consumptie huishoudens;2012 4e kwartaal;89.4;-1.6;-1.2;78.1;-0.2;1.4
228;Binnenlandse consumptie huishoudens;2013 januari;93.2;-0.7;-1.5;79.0;1.8;2.5
229;Binnenlandse consumptie huishoudens;2013 februari;87.4;-3.2;-1.2;74.9;-0.8;2.4
230;Binnenlandse consumptie huishoudens;2013 maart;93.8;-1.2;-0.8;80.8;1.3;2.6
231;Binnenlandse consumptie huishoudens;2013 1e kwartaal;91.5;-1.7;-1.2;78.2;0.8;2.5
232;Binnenlandse consumptie huishoudens;2013 april;91.1;-0.5;-0.7;78.1;1.4;1.9
233;Binnenlandse consumptie huishoudens;2013 mei;92.8;-0.6;-0.9;80.7;1.7;2.2
234;Binnenlandse consumptie huishoudens;2013 juni;92.1;-2.9;-2.0;78.9;-0.5;2.4
235;Binnenlandse consumptie huishoudens;2013 2e kwartaal;92.0;-1.3;-1.2;79.2;0.9;2.2
236;Binnenlandse consumptie huishoudens;2013 juli;92.0;0.7;0.0;79.1;3.5;2.8
237;Binnenlandse consumptie huishoudens;2013 augustus;89.1;0.2;0.0;78.4;2.9;2.7
238;Binnenlandse consumptie huishoudens;2013 september;89.9;-1.5;-1.0;77.5;0.8;2.4
239;Binnenlandse consumptie huishoudens;2013 3e kwartaal;90.4;-0.2;-0.3;78.3;2.4;2.6
240;Binnenlandse consumptie huishoudens;2013 oktober;89.0;1.6;1.1;79.1;2.3;0.7
241;Binnenlandse consumptie huishoudens;2013 november;90.2;2.1;2.0;78.8;3.0;0.8
242;Binnenlandse consumptie huishoudens;2013 december;93.4;1.2;1.6;82.1;2.1;0.8
243;Binnenlandse consumptie huishoudens;2013 4e kwartaal;90.9;1.6;1.6;80.0;2.4;0.8
244;Binnenlandse consumptie huishoudens;2014 januari;94.0;0.8;0.4;80.9;2.5;1.7
245;Binnenlandse consumptie huishoudens;2014 februari;87.9;0.5;0.5;76.5;2.2;1.6
246;Binnenlandse consumptie huishoudens;2014 maart;92.3;-1.6;-0.5;80.5;-0.4;1.2
247;Binnenlandse consumptie huishoudens;2014 1e kwartaal;91.4;-0.1;0.1;79.3;1.4;1.5
248;Binnenlandse consumptie huishoudens;2014 april;92.4;1.5;0.6;80.2;2.6;1.1
249;Binnenlandse consumptie huishoudens;2014 mei;94.2;1.5;1.0;82.5;2.3;0.8
250;Binnenlandse consumptie huishoudens;2014 juni;92.3;0.1;1.1;79.8;1.2;1.1
251;Binnenlandse consumptie huishoudens;2014 2e kwartaal;93.0;1.1;0.9;80.8;2.1;1.0
252;Binnenlandse consumptie huishoudens;2014 juli;93.0;1.1;0.6;80.6;1.9;0.9
253;Binnenlandse consumptie huishoudens;2014 augustus;89.8;0.7;1.5;79.8;1.7;0.9
254;Binnenlandse consumptie huishoudens;2014 september;90.5;0.7;0.1;78.6;1.4;0.7
255;Binnenlandse consumptie huishoudens;2014 3e kwartaal;91.1;0.8;0.7;79.6;1.7;0.8
256;Binnenlandse consumptie huishoudens;2014 oktober;90.6;1.8;1.4;81.1;2.5;0.7
257;Binnenlandse consumptie huishoudens;2014 november;90.3;0.1;1.1;79.2;0.5;0.4
258;Binnenlandse consumptie huishoudens;2014 december;95.7;2.4;1.6;84.2;2.6;0.1
259;Binnenlandse consumptie huishoudens;2014 4e kwartaal;92.2;1.5;1.4;81.5;1.9;0.4
260;Binnenlandse consumptie huishoudens;2015 januari;96.4;2.7;2.4;82.2;1.6;-1.0
261;Binnenlandse consumptie huishoudens;2015 februari;90.0;2.4;2.3;77.7;1.5;-0.9
262;Binnenlandse consumptie huishoudens;2015 maart;94.2;2.0;2.2;81.5;1.2;-0.8
263;Binnenlandse consumptie huishoudens;2015 1e kwartaal;93.5;2.3;2.3;80.5;1.4;-0.9
264;Binnenlandse consumptie huishoudens;2015 april;95.3;3.0;3.1;82.5;3.0;-0.1
265;Binnenlandse consumptie huishoudens;2015 mei;95.1;1.0;2.0;83.6;1.3;0.4
266;Binnenlandse consumptie huishoudens;2015 juni;95.9;3.9;3.1;83.1;4.1;0.2
267;Binnenlandse consumptie huishoudens;2015 2e kwartaal;95.4;2.6;2.7;83.1;2.8;0.2
268;Binnenlandse consumptie huishoudens;2015 juli;96.0;3.2;2.9;84.0;4.2;0.9
269;Binnenlandse consumptie huishoudens;2015 augustus;90.8;1.2;1.7;81.2;1.8;0.6
270;Binnenlandse consumptie huishoudens;2015 september;93.9;3.7;3.4;82.2;4.6;0.8
271;Binnenlandse consumptie huishoudens;2015 3e kwartaal;93.6;2.7;2.7;82.4;3.5;0.8
