ID;Vakantiekenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Noordzeebadplaatsen_3;Watersportgebieden_4;VeluweEnVeluwerand_5;TwenteSallandEnVechtstreek_6;GroningseFrieseEnDrentseZandgronden_7;WestEnMiddenBrabant_8;OBrabantNMLimburgRijkVNijmegen_9;ZuidLimburg_10;OverigNederland_11;Friesland_12;Drenthe_13;Overijssel_14;Gelderland_15;NoordHolland_16;ZuidHolland_17;Zeeland_18;NoordBrabant_19;Limburg_20;OverigeProvincies_21;TotaalSeizoenrecreatieveLogiesvormen_22;CaravanVouwwagen_23;OverigeSeizoenrecreatieveLogiesvormen_24;TotaalToeristischeLogiesvormen_25;WoningVanAndereParticulier_26;Hotel_27;ZomerhuisjeVakantiebungalow_28;TentBungalowtent_29;CaravanVouwwagenCamper_30;JeugdherbergAndereGroepsaccommodatie_31;OverigeToeristischeLogiesvormen_32;Auto_33;TreinAutoslaaptrein_34;OverigeVervoermiddelen_35;TotaleUitgavenVoorVakanties_36;TotaalGemUitgavenPerVakantieganger_37;MetEigenVervoer_38;MetOverigVervoer_39
0;Totaal vakantiekenmerken;2000;9163.0;3.1;1251.0;1569.0;852.0;471.0;812.0;1319.0;803.0;397.0;1347.0;703.0;581.0;700.0;1483.0;731.0;895.0;852.0;1455.0;997.0;764.0;4380.0;2838.0;1542.0;4783.0;90.0;1588.0;1718.0;403.0;378.0;282.0;322.0;8471.0;377.0;315.0;616.0;67.0;64.0;118.0
1;Totaal vakantiekenmerken;2001;9668.0;3.1;1397.0;1995.0;808.0;600.0;915.0;988.0;820.0;433.0;1269.0;743.0;808.0;965.0;1682.0;790.0;849.0;1014.0;1327.0;1023.0;469.0;4816.0;2992.0;1825.0;4852.0;144.0;1613.0;1481.0;466.0;392.0;448.0;310.0;8803.0;488.0;376.0;647.0;67.0;65.0;95.0
2;Totaal vakantiekenmerken;2002;9510.0;3.2;1208.0;1404.0;1016.0;674.0;801.0;1023.0;823.0;570.0;1991.0;648.0;709.0;761.0;1448.0;1077.0;998.0;712.0;1209.0;1171.0;776.0;3070.0;1918.0;1153.0;6440.0;466.0;2059.0;2016.0;430.0;555.0;464.0;449.0;8492.0;474.0;545.0;956.0;101.0;97.0;143.0
3;Totaal vakantiekenmerken;2003;9062.0;3.2;1175.0;1305.0;1002.0;731.0;803.0;924.0;701.0;499.0;1921.0;673.0;726.0;793.0;1479.0;896.0;891.0;719.0;1027.0;995.0;862.0;2525.0;1553.0;972.0;6537.0;535.0;2044.0;1867.0;582.0;644.0;425.0;440.0;8018.0;488.0;556.0;850.0;94.0;91.0;126.0
4;Waddeneilanden (TR);2000;341.0;;;;;;;;;;341.0;;;;;;;;;;;0.0;0.0;0.0;341.0;;68.0;113.0;;;;;;;;;;;
5;Waddeneilanden (TR);2001;443.0;;;;;;;;;;443.0;;;;;;;;;;;150.0;0.0;150.0;292.0;;79.0;69.0;45.0;;;;;;;;;;
6;Waddeneilanden (TR);2002;369.0;3.3;;;;;;;;;369.0;;;;;;;;;;;27.0;4.0;23.0;342.0;8.0;116.0;110.0;19.0;7.0;25.0;56.0;;;;;153.0;;
7;Waddeneilanden (TR);2003;444.0;3.5;;;;;;;;;;;;;;;;;;;;43.0;;43.0;401.0;51.0;87.0;109.0;32.0;36.0;29.0;57.0;;;;58.0;130.0;;
8;Noordzeebadplaatsen (TR);2000;1251.0;3.1;1251.0;;;;;;;;;;;;;;;;;;;630.0;282.0;348.0;621.0;;220.0;232.0;;;;;;;;;67.0;;
9;Noordzeebadplaatsen (TR);2001;1397.0;3.1;1397.0;;;;;;;;;;;;;;;;;;;668.0;291.0;376.0;729.0;;256.0;221.0;90.0;;;;;;;;66.0;;
10;Noordzeebadplaatsen (TR);2002;1208.0;3.2;1208.0;;;;;;;;;;;;;;;;;;;411.0;196.0;215.0;797.0;31.0;290.0;257.0;57.0;93.0;21.0;50.0;;;;;112.0;;
11;Noordzeebadplaatsen (TR);2003;1175.0;3.3;;;;;;;;;;;;;;;;;;;;325.0;216.0;108.0;851.0;40.0;301.0;263.0;76.0;85.0;27.0;59.0;;;;117.0;99.0;;
12;IJsselmeerkust (TR);2000;580.0;;;580.0;;;;;;;;;;;;;;;;;;421.0;113.0;308.0;159.0;;36.0;59.0;;;;;;;;;;;
13;IJsselmeerkust (TR);2001;635.0;;;635.0;;;;;;;;;;;;;;;;;;542.0;230.0;312.0;94.0;;39.0;10.0;19.0;;;;;;;;;;
14;IJsselmeerkust (TR);2002;395.0;3.0;;395.0;;;;;;;;;;;;;;;;;;182.0;99.0;83.0;214.0;18.0;54.0;64.0;26.0;19.0;6.0;27.0;;;;;80.0;;
15;IJsselmeerkust (TR);2003;452.0;3.2;;;;;;;;;;;;;;;;;;;;200.0;105.0;94.0;253.0;12.0;45.0;113.0;29.0;15.0;12.0;28.0;;;;42.0;93.0;;
16;Deltagebied (TR);2000;511.0;;;511.0;;;;;;;;;;;;;;;;;;371.0;155.0;216.0;140.0;;68.0;42.0;;;;;;;;;;;
17;Deltagebied (TR);2001;699.0;;;699.0;;;;;;;;;;;;;;;;;;577.0;266.0;311.0;122.0;;42.0;27.0;12.0;;;;;;;;;;
18;Deltagebied (TR);2002;540.0;3.1;;540.0;;;;;;;;;;;;;;;;;;311.0;114.0;197.0;229.0;33.0;39.0;71.0;14.0;34.0;20.0;17.0;;;;;63.0;;
19;Deltagebied (TR);2003;471.0;3.1;;;;;;;;;;;;;;;;;;;;208.0;81.0;128.0;262.0;38.0;59.0;67.0;27.0;34.0;4.0;34.0;;;;27.0;58.0;;
20;Meren in Gron., Friesl., N.W.-Overijssel;2000;359.0;;;359.0;;;;;;;;;;;;;;;;;;185.0;68.0;117.0;174.0;;18.0;40.0;;;;;;;;;;;
21;Meren in Gron., Friesl., N.W.-Overijssel;2001;535.0;;;535.0;;;;;;;;;;;;;;;;;;409.0;70.0;339.0;126.0;;47.0;28.0;2.0;;;;;;;;;;
22;Meren in Gron., Friesl., N.W.-Overijssel;2002;295.0;3.0;;295.0;;;;;;;;;;;;;;;;;;134.0;67.0;67.0;161.0;25.0;38.0;16.0;6.0;5.0;29.0;43.0;;;;;75.0;;
23;Meren in Gron., Friesl., N.W.-Overijssel;2003;227.0;3.1;;;;;;;;;;;;;;;;;;;;76.0;17.0;60.0;150.0;8.0;21.0;37.0;23.0;14.0;22.0;24.0;;;;16.0;73.0;;
24;Hollands-Utrechtse meren (TR);2000;120.0;;;120.0;;;;;;;;;;;;;;;;;;106.0;77.0;29.0;13.0;;0.0;0.0;;;;;;;;;;;
25;Hollands-Utrechtse meren (TR);2001;124.0;;;124.0;;;;;;;;;;;;;;;;;;78.0;64.0;15.0;46.0;;7.0;0.0;23.0;;;;;;;;;;
26;Hollands-Utrechtse meren (TR);2002;175.0;;;175.0;;;;;;;;;;;;;;;;;;111.0;33.0;78.0;64.0;3.0;22.0;9.0;6.0;3.0;6.0;16.0;;;;;;;
27;Hollands-Utrechtse meren (TR);2003;156.0;;;;;;;;;;;;;;;;;;;;;87.0;22.0;64.0;69.0;8.0;37.0;4.0;10.0;0.0;1.0;9.0;;;;;;;
28;Utrechtse Heuvelrug en 't Gooi (TR);2000;283.0;;;;;;;;;;283.0;;;;;;;;;;;203.0;203.0;0.0;80.0;;17.0;0.0;;;;;;;;;;;
29;Utrechtse Heuvelrug en 't Gooi (TR);2001;208.0;;;;;;;;;;208.0;;;;;;;;;;;117.0;117.0;0.0;90.0;;47.0;4.0;6.0;;;;;;;;;;
30;Utrechtse Heuvelrug en 't Gooi (TR);2002;284.0;3.0;;;;;;;;;284.0;;;;;;;;;;;153.0;94.0;59.0;131.0;10.0;31.0;15.0;19.0;18.0;36.0;2.0;;;;;53.0;;
31;Utrechtse Heuvelrug en 't Gooi (TR);2003;231.0;;;;;;;;;;;;;;;;;;;;;61.0;50.0;11.0;170.0;8.0;60.0;24.0;24.0;32.0;14.0;9.0;;;;;;;
32;Veluwe en Veluwerand (TR);2000;852.0;3.1;;;852.0;;;;;;;;;;;;;;;;;376.0;313.0;63.0;477.0;;170.0;206.0;;;;;;;;;64.0;;
33;Veluwe en Veluwerand (TR);2001;808.0;3.2;;;808.0;;;;;;;;;;;;;;;;;364.0;344.0;20.0;444.0;;118.0;191.0;53.0;;;;;;;;69.0;;
34;Veluwe en Veluwerand (TR);2002;1016.0;3.2;;;1016.0;;;;;;;;;;;;;;;;;339.0;264.0;75.0;677.0;34.0;185.0;231.0;53.0;58.0;79.0;37.0;;;;;91.0;;
35;Veluwe en Veluwerand (TR);2003;1002.0;3.3;;;;;;;;;;;;;;;;;;;;417.0;346.0;71.0;585.0;26.0;183.0;211.0;34.0;75.0;33.0;22.0;;;;81.0;81.0;;
36;Gelders Rivierengebied (TR);2000;86.0;;;;;;;;;;86.0;;;;;;;;;;;68.0;68.0;0.0;18.0;;6.0;0.0;;;;;;;;;;;
37;Gelders Rivierengebied (TR);2001;135.0;;;;;;;;;;135.0;;;;;;;;;;;122.0;122.0;0.0;13.0;;2.0;0.0;0.0;;;;;;;;;;
38;Gelders Rivierengebied (TR);2002;64.0;;;;;;;;;;64.0;;;;;;;;;;;30.0;22.0;8.0;34.0;7.0;14.0;3.0;2.0;7.0;0.0;2.0;;;;;;;
39;Gelders Rivierengebied (TR);2003;79.0;;;;;;;;;;;;;;;;;;;;;34.0;32.0;2.0;44.0;11.0;19.0;2.0;3.0;7.0;3.0;0.0;;;;;;;
40;Achterhoek (TR);2000;335.0;;;;;;;;;;335.0;;;;;;;;;;;118.0;72.0;46.0;217.0;;46.0;116.0;;;;;;;;;;;
41;Achterhoek (TR);2001;358.0;;;;;;;;;;358.0;;;;;;;;;;;138.0;133.0;5.0;219.0;;60.0;83.0;28.0;;;;;;;;;;
42;Achterhoek (TR);2002;252.0;;;;;;;;;;252.0;;;;;;;;;;;40.0;38.0;2.0;212.0;6.0;81.0;47.0;9.0;33.0;25.0;12.0;;;;;;;
43;Achterhoek (TR);2003;263.0;3.3;;;;;;;;;;;;;;;;;;;;47.0;47.0;0.0;215.0;14.0;59.0;45.0;24.0;41.0;17.0;15.0;;;;26.0;100.0;;
44;Twente, Salland en Vechtstreek (TR);2000;471.0;;;;;471.0;;;;;;;;;;;;;;;;82.0;82.0;0.0;388.0;;121.0;178.0;;;;;;;;;;;
45;Twente, Salland en Vechtstreek (TR);2001;600.0;3.1;;;;600.0;;;;;;;;;;;;;;;;161.0;161.0;0.0;439.0;;166.0;118.0;38.0;;;;;;;;83.0;;
46;Twente, Salland en Vechtstreek (TR);2002;674.0;3.3;;;;674.0;;;;;;;;;;;;;;;;196.0;125.0;71.0;478.0;36.0;170.0;133.0;38.0;48.0;33.0;20.0;;;;;95.0;;
47;Twente, Salland en Vechtstreek (TR);2003;731.0;3.2;;;;;;;;;;;;;;;;;;;;134.0;88.0;46.0;597.0;28.0;170.0;171.0;65.0;79.0;64.0;21.0;;;;67.0;91.0;;
48;Groningse, Friese en Drentse Zandgronden;2000;812.0;3.2;;;;;812.0;;;;;;;;;;;;;;;442.0;313.0;129.0;370.0;;126.0;126.0;;;;;;;;;55.0;;
49;Groningse, Friese en Drentse Zandgronden;2001;915.0;3.2;;;;;915.0;;;;;;;;;;;;;;;408.0;311.0;97.0;508.0;;122.0;175.0;52.0;;;;;;;;62.0;;
50;Groningse, Friese en Drentse Zandgronden;2002;801.0;3.3;;;;;801.0;;;;;;;;;;;;;;;124.0;91.0;33.0;676.0;44.0;141.0;288.0;34.0;90.0;43.0;36.0;;;;;109.0;;
51;Groningse, Friese en Drentse Zandgronden;2003;803.0;3.3;;;;;;;;;;;;;;;;;;;;211.0;128.0;83.0;592.0;53.0;127.0;244.0;62.0;58.0;34.0;13.0;;;;75.0;94.0;;
52;West- en Midden-Brabant (TR);2000;1319.0;3.1;;;;;;1319.0;;;;;;;;;;;;;;884.0;760.0;124.0;436.0;;73.0;215.0;;;;;;;;;45.0;;
53;West- en Midden-Brabant (TR);2001;988.0;3.0;;;;;;988.0;;;;;;;;;;;;;;581.0;537.0;44.0;406.0;;53.0;187.0;24.0;;;;;;;;49.0;;
54;West- en Midden-Brabant (TR);2002;1023.0;3.1;;;;;;1023.0;;;;;;;;;;;;;;448.0;398.0;50.0;575.0;23.0;117.0;267.0;40.0;27.0;71.0;30.0;;;;;75.0;;
55;West- en Midden-Brabant (TR);2003;924.0;3.1;;;;;;;;;;;;;;;;;;;;325.0;283.0;42.0;598.0;60.0;167.0;174.0;46.0;56.0;70.0;25.0;;;;75.0;82.0;;
56;O.-Brabant, N.- en M.-Limburg, Nijmegen;2000;803.0;3.5;;;;;;;803.0;;;;;;;;;;;;;245.0;245.0;0.0;558.0;;108.0;318.0;;;;;;;;;86.0;;
57;O.-Brabant, N.- en M.-Limburg, Nijmegen;2001;820.0;3.1;;;;;;;820.0;;;;;;;;;;;;;333.0;244.0;88.0;487.0;;72.0;278.0;23.0;;;;;;;;82.0;;
58;O.-Brabant, N.- en M.-Limburg, Nijmegen;2002;823.0;3.3;;;;;;;823.0;;;;;;;;;;;;;156.0;153.0;3.0;667.0;36.0;124.0;395.0;30.0;43.0;23.0;16.0;;;;;112.0;;
59;O.-Brabant, N.- en M.-Limburg, Nijmegen;2003;701.0;3.3;;;;;;;;;;;;;;;;;;;;128.0;101.0;27.0;573.0;26.0;116.0;290.0;39.0;40.0;38.0;24.0;;;;66.0;94.0;;
60;Zuid-Limburg (TR);2000;397.0;;;;;;;;;397.0;;;;;;;;;;;;0.0;0.0;0.0;397.0;;273.0;56.0;;;;;;;;;;;
61;Zuid-Limburg (TR);2001;433.0;3.3;;;;;;;;433.0;;;;;;;;;;;;0.0;0.0;0.0;433.0;;243.0;58.0;15.0;;;;;;;;125.0;;
62;Zuid-Limburg (TR);2002;570.0;3.2;;;;;;;;570.0;;;;;;;;;;;;32.0;32.0;0.0;538.0;37.0;311.0;69.0;50.0;31.0;14.0;26.0;;;;;168.0;;
63;Zuid-Limburg (TR);2003;499.0;3.1;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;499.0;19.0;288.0;69.0;43.0;14.0;17.0;50.0;;;;78.0;156.0;;
64;4 grote steden excl. Noordzeebadplaatsen;2000;180.0;;;;;;;;;;180.0;;;;;;;;;;;21.0;0.0;21.0;159.0;;88.0;0.0;;;;;;;;;;;
65;4 grote steden excl. Noordzeebadplaatsen;2001;160.0;;;;;;;;;;160.0;;;;;;;;;;;7.0;0.0;7.0;153.0;;105.0;23.0;6.0;;;;;;;;;;
66;4 grote steden excl. Noordzeebadplaatsen;2002;217.0;;;;;;;;;;217.0;;;;;;;;;;;38.0;2.0;36.0;179.0;50.0;94.0;4.0;7.0;6.0;6.0;13.0;;;;;;;
67;4 grote steden excl. Noordzeebadplaatsen;2003;248.0;;;;;;;;;;;;;;;;;;;;;3.0;0.0;3.0;245.0;55.0;146.0;6.0;3.0;4.0;15.0;15.0;;;;;;;
68;Overig Nederland;2000;463.0;;;;;;;;;;463.0;;;;;;;;;;;229.0;85.0;143.0;234.0;;149.0;17.0;;;;;;;;;;;
69;Overig Nederland;2001;408.0;;;;;;;;;;408.0;;;;;;;;;;;160.0;101.0;59.0;248.0;;153.0;9.0;30.0;;;;;;;;;;
70;Overig Nederland;2002;805.0;2.9;;;;;;;;;815.0;;;;;;;;;;;339.0;186.0;153.0;466.0;64.0;234.0;39.0;22.0;34.0;26.0;48.0;;;;;93.0;;
71;Overig Nederland;2003;657.0;3.1;;;;;;;;;;;;;;;;;;;;225.0;36.0;189.0;432.0;78.0;159.0;37.0;44.0;55.0;25.0;33.0;;;;52.0;79.0;;
72;Groningen (PV);2000;117.0;;;;;;;;;;;;;;;;;;;;117.0;17.0;0.0;17.0;100.0;;51.0;27.0;;;;;;;;;;;
73;Groningen (PV);2001;91.0;;;;;;;;;;;;;;;;;;;;91.0;0.0;0.0;0.0;91.0;;48.0;13.0;5.0;;;;;;;;;;
74;Groningen (PV);2002;227.0;;;;;;;;;;;;;;;;;;;;227.0;60.0;5.0;55.0;167.0;28.0;75.0;20.0;5.0;10.0;8.0;21.0;;;;;;;
75;Groningen (PV);2003;193.0;;;;;;;;;;;;;;;;;;;;;33.0;8.0;25.0;161.0;19.0;78.0;24.0;9.0;17.0;5.0;9.0;;;;;;;
76;Friesland (PV);2000;703.0;;;;;;;;;;;703.0;;;;;;;;;;291.0;230.0;61.0;412.0;;103.0;81.0;;;;;;;;;;;
77;Friesland (PV);2001;743.0;3.2;;;;;;;;;;743.0;;;;;;;;;;410.0;189.0;221.0;332.0;;126.0;61.0;36.0;;;;;;;;73.0;;
78;Friesland (PV);2002;648.0;3.2;;;;;;;;;;648.0;;;;;;;;;;145.0;77.0;68.0;503.0;19.0;151.0;110.0;35.0;34.0;51.0;103.0;;;;;113.0;;
79;Friesland (PV);2003;673.0;3.3;;;;;;;;;;;;;;;;;;;;174.0;51.0;123.0;499.0;62.0;123.0;93.0;56.0;40.0;44.0;81.0;;;;70.0;104.0;;
80;Drenthe (PV);2000;581.0;;;;;;;;;;;;581.0;;;;;;;;;289.0;240.0;49.0;292.0;;84.0;105.0;;;;;;;;;;;
81;Drenthe (PV);2001;808.0;3.2;;;;;;;;;;;808.0;;;;;;;;;353.0;256.0;97.0;456.0;;110.0;168.0;45.0;;;;;;;;63.0;;
82;Drenthe (PV);2002;709.0;3.3;;;;;;;;;;;709.0;;;;;;;;;120.0;91.0;28.0;590.0;39.0;127.0;260.0;26.0;72.0;33.0;34.0;;;;;110.0;;
83;Drenthe (PV);2003;726.0;3.3;;;;;;;;;;;;;;;;;;;;193.0;111.0;83.0;532.0;50.0;109.0;232.0;60.0;44.0;27.0;11.0;;;;69.0;95.0;;
84;Overijssel (PV);2000;700.0;3.3;;;;;;;;;;;;700.0;;;;;;;;268.0;128.0;140.0;432.0;;135.0;192.0;;;;;;;;;74.0;;
85;Overijssel (PV);2001;965.0;3.1;;;;;;;;;;;;965.0;;;;;;;;483.0;203.0;280.0;481.0;;182.0;127.0;38.0;;;;;;;;68.0;;
86;Overijssel (PV);2002;761.0;3.2;;;;;;;;;;;;761.0;;;;;;;;238.0;153.0;85.0;523.0;38.0;183.0;139.0;38.0;55.0;40.0;30.0;;;;;93.0;;
87;Overijssel (PV);2003;793.0;3.2;;;;;;;;;;;;;;;;;;;;148.0;90.0;59.0;645.0;31.0;180.0;190.0;71.0;81.0;69.0;23.0;;;;73.0;92.0;;
88;Flevoland (PV);2000;294.0;;;;;;;;;;;;;;;;;;;;294.0;180.0;0.0;180.0;114.0;;20.0;55.0;;;;;;;;;;;
89;Flevoland (PV);2001;125.0;;;;;;;;;;;;;;;;;;;;125.0;90.0;58.0;32.0;35.0;;6.0;2.0;17.0;;;;;;;;;;
90;Flevoland (PV);2002;132.0;;;;;;;;;;;;;;;;;;;;132.0;41.0;15.0;26.0;91.0;10.0;5.0;51.0;14.0;11.0;0.0;2.0;;;;;;;
91;Flevoland (PV);2003;220.0;;;;;;;;;;;;;;;;;;;;;66.0;39.0;26.0;155.0;6.0;12.0;91.0;24.0;9.0;9.0;6.0;;;;;;;
92;Gelderland (PV);2000;1483.0;3.2;;;;;;;;;;;;;1483.0;;;;;;;704.0;487.0;217.0;779.0;;268.0;322.0;;;;;;;;;65.0;;
93;Gelderland (PV);2001;1682.0;3.1;;;;;;;;;;;;;1682.0;;;;;;;958.0;664.0;295.0;724.0;;198.0;274.0;86.0;;;;;;;;62.0;;
94;Gelderland (PV);2002;1448.0;3.2;;;;;;;;;;;;;1448.0;;;;;;;409.0;324.0;85.0;1039.0;55.0;343.0;303.0;69.0;106.0;110.0;54.0;;;;;100.0;;
95;Gelderland (PV);2003;1479.0;3.2;;;;;;;;;;;;;;;;;;;;515.0;425.0;90.0;964.0;64.0;318.0;283.0;66.0;128.0;61.0;44.0;;;;128.0;86.0;;
96;Utrecht (PV);2000;353.0;;;;;;;;;;;;;;;;;;;;353.0;240.0;211.0;29.0;113.0;;37.0;0.0;;;;;;;;;;;
97;Utrecht (PV);2001;253.0;;;;;;;;;;;;;;;;;;;;253.0;152.0;137.0;15.0;101.0;;43.0;4.0;8.0;;;;;;;;;;
98;Utrecht (PV);2002;418.0;2.9;;;;;;;;;;;;;;;;;;;418.0;241.0;127.0;114.0;177.0;14.0;51.0;28.0;19.0;20.0;31.0;13.0;;;;;55.0;;
99;Utrecht (PV);2003;448.0;2.9;;;;;;;;;;;;;;;;;;;;190.0;83.0;107.0;258.0;21.0;117.0;22.0;25.0;38.0;17.0;17.0;;;;35.0;78.0;;
100;Noord-Holland (PV);2000;731.0;2.8;;;;;;;;;;;;;;731.0;;;;;;267.0;111.0;156.0;464.0;;190.0;134.0;;;;;;;;;86.0;;
101;Noord-Holland (PV);2001;790.0;2.9;;;;;;;;;;;;;;790.0;;;;;;224.0;136.0;89.0;565.0;;247.0;126.0;47.0;;;;;;;;83.0;;
102;Noord-Holland (PV);2002;1077.0;3.0;;;;;;;;;;;;;;1077.0;;;;;;440.0;133.0;306.0;637.0;60.0;276.0;112.0;52.0;32.0;30.0;75.0;;;;;102.0;;
103;Noord-Holland (PV);2003;896.0;3.2;;;;;;;;;;;;;;;;;;;;225.0;95.0;130.0;671.0;60.0;234.0;158.0;61.0;62.0;22.0;75.0;;;;90.0;100.0;;
104;Zuid-Holland (PV);2000;895.0;3.0;;;;;;;;;;;;;;;895.0;;;;;475.0;370.0;105.0;420.0;;173.0;123.0;;;;;;;;;60.0;;
105;Zuid-Holland (PV);2001;849.0;3.0;;;;;;;;;;;;;;;849.0;;;;;419.0;298.0;121.0;430.0;;205.0;101.0;56.0;;;;;;;;66.0;;
106;Zuid-Holland (PV);2002;998.0;3.0;;;;;;;;;;;;;;;998.0;;;;;452.0;300.0;152.0;547.0;67.0;259.0;121.0;12.0;37.0;36.0;16.0;;;;;97.0;;
107;Zuid-Holland (PV);2003;891.0;3.0;;;;;;;;;;;;;;;;;;;;268.0;104.0;164.0;623.0;89.0;244.0;109.0;37.0;54.0;41.0;49.0;;;;74.0;83.0;;
108;Zeeland (PV);2000;852.0;3.2;;;;;;;;;;;;;;;;852.0;;;;534.0;90.0;443.0;319.0;;119.0;89.0;;;;;;;;;60.0;;
109;Zeeland (PV);2001;1014.0;3.0;;;;;;;;;;;;;;;;1014.0;;;;672.0;181.0;491.0;342.0;;99.0;82.0;62.0;;;;;;;;51.0;;
110;Zeeland (PV);2002;712.0;3.3;;;;;;;;;;;;;;;;712.0;;;;256.0;111.0;146.0;455.0;38.0;88.0;156.0;42.0;83.0;13.0;35.0;;;;;92.0;;
111;Zeeland (PV);2003;719.0;3.3;;;;;;;;;;;;;;;;;;;;266.0;163.0;103.0;453.0;37.0;110.0;152.0;47.0;65.0;14.0;29.0;;;;55.0;77.0;;
112;Noord-Brabant (PV);2000;1455.0;3.1;;;;;;;;;;;;;;;;;1455.0;;;933.0;789.0;144.0;523.0;;76.0;233.0;;;;;;;;;46.0;;
113;Noord-Brabant (PV);2001;1327.0;3.0;;;;;;;;;;;;;;;;;1327.0;;;816.0;720.0;97.0;510.0;;62.0;210.0;47.0;;;;;;;;47.0;;
114;Noord-Brabant (PV);2002;1209.0;3.1;;;;;;;;;;;;;;;;;1209.0;;;536.0;452.0;84.0;673.0;33.0;120.0;307.0;50.0;40.0;92.0;31.0;;;;;71.0;;
115;Noord-Brabant (PV);2003;1027.0;3.1;;;;;;;;;;;;;;;;;;;;341.0;287.0;54.0;686.0;65.0;170.0;203.0;66.0;64.0;86.0;32.0;;;;82.0;80.0;;
116;Limburg (PV);2000;997.0;3.5;;;;;;;;;;;;;;;;;;997.0;;182.0;182.0;0.0;815.0;;332.0;357.0;;;;;;;;;108.0;;
117;Limburg (PV);2001;1023.0;3.2;;;;;;;;;;;;;;;;;;1023.0;;239.0;150.0;88.0;784.0;;288.0;314.0;19.0;;;;;;;;101.0;;
118;Limburg (PV);2002;1171.0;3.3;;;;;;;;;;;;;;;;;;1171.0;;133.0;131.0;3.0;1038.0;65.0;382.0;409.0;69.0;56.0;20.0;37.0;;;;;140.0;;
119;Limburg (PV);2003;995.0;3.3;;;;;;;;;;;;;;;;;;;;106.0;97.0;9.0;889.0;32.0;351.0;310.0;60.0;41.0;30.0;65.0;;;;124.0;124.0;;
120;Totaal seizoenrecreatieve logiesvormen;2000;4380.0;3.0;630.0;1083.0;376.0;;442.0;884.0;245.0;;;;;268.0;704.0;267.0;475.0;534.0;933.0;182.0;;4380.0;2838.0;1542.0;;;;;;;;;;;;103.0;23.0;;
121;Totaal seizoenrecreatieve logiesvormen;2001;4816.0;3.0;668.0;1606.0;364.0;161.0;408.0;581.0;333.0;0.0;544.0;410.0;353.0;483.0;958.0;224.0;419.0;672.0;816.0;239.0;242.0;4816.0;2992.0;1825.0;;;;;;;;;;;;136.0;28.0;;
122;Totaal seizoenrecreatieve logiesvormen;2002;3070.0;3.0;411.0;737.0;339.0;196.0;124.0;448.0;156.0;32.0;627.0;145.0;120.0;238.0;409.0;440.0;452.0;256.0;536.0;133.0;341.0;3070.0;1918.0;1153.0;;;;;;;;;;;;85.0;28.0;;
123;Totaal seizoenrecreatieve logiesvormen;2003;2525.0;3.2;325.0;571.0;417.0;134.0;211.0;325.0;128.0;0.0;414.0;174.0;193.0;148.0;515.0;225.0;268.0;266.0;341.0;106.0;288.0;;;;;;;;;;;;;;;76.0;30.0;;
124;SL: zomerhuisje, bungalow, tweede woning;2000;792.0;;215.0;302.0;56.0;;49.0;95.0;0.0;;;;;0.0;164.0;70.0;39.0;201.0;95.0;0.0;;792.0;;792.0;;;;;;;;;;;;;;;
125;SL: zomerhuisje, bungalow, tweede woning;2001;810.0;;295.0;368.0;20.0;0.0;97.0;11.0;0.0;0.0;19.0;6.0;97.0;0.0;290.0;48.0;115.0;244.0;11.0;0.0;0.0;810.0;;810.0;;;;;;;;;;;;;;;
126;SL: zomerhuisje, bungalow, tweede woning;2002;555.0;3.2;192.0;118.0;52.0;66.0;25.0;3.0;0.0;0.0;100.0;13.0;20.0;66.0;52.0;154.0;50.0;96.0;3.0;0.0;101.0;555.0;;555.0;;;;;;;;;;;;22.0;39.0;;
127;SL: zomerhuisje, bungalow, tweede woning;2003;399.0;3.2;77.0;77.0;38.0;46.0;77.0;8.0;11.0;0.0;66.0;9.0;77.0;46.0;42.0;74.0;27.0;76.0;8.0;7.0;33.0;;;;;;;;;;;;;;;15.0;39.0;;
128;SL: caravan, vouwwagen;2000;2838.0;3.1;282.0;413.0;313.0;;313.0;760.0;245.0;;;;;128.0;487.0;111.0;370.0;90.0;789.0;182.0;;2838.0;2838.0;;;;;;;;;;;;;61.0;21.0;;
129;SL: caravan, vouwwagen;2001;2992.0;3.0;291.0;629.0;344.0;161.0;311.0;537.0;244.0;0.0;474.0;189.0;256.0;203.0;664.0;136.0;298.0;181.0;720.0;150.0;195.0;2992.0;2992.0;;;;;;;;;;;;;77.0;26.0;;
130;SL: caravan, vouwwagen;2002;1918.0;3.1;196.0;313.0;264.0;125.0;91.0;398.0;153.0;32.0;346.0;77.0;91.0;153.0;324.0;133.0;300.0;111.0;452.0;131.0;146.0;1918.0;1918.0;;;;;;;;;;;;;50.0;26.0;;
131;SL: caravan, vouwwagen;2003;1553.0;3.2;216.0;225.0;346.0;88.0;128.0;283.0;101.0;0.0;165.0;51.0;111.0;90.0;425.0;95.0;104.0;163.0;287.0;97.0;130.0;;;;;;;;;;;;;;;47.0;30.0;;
132;SL: boot;2000;711.0;;132.0;358.0;0.0;;80.0;25.0;0.0;;;;;131.0;46.0;65.0;67.0;242.0;46.0;0.0;;711.0;;711.0;;;;;;;;;;;;;;;
