ID;Vakantiekenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Noordzeebadplaatsen_3;Watersportgebieden_4;VeluweEnVeluwerand_5;TwenteSallandEnVechtstreek_6;GroningseFrieseEnDrentseZandgronden_7;WestEnMiddenBrabant_8;OBrabantNMLimburgRijkVNijmegen_9;ZuidLimburg_10;OverigNederland_11;Friesland_12;Drenthe_13;Overijssel_14;Gelderland_15;NoordHolland_16;ZuidHolland_17;Zeeland_18;NoordBrabant_19;Limburg_20;OverigeProvincies_21;TotaalSeizoenrecreatieveLogiesvormen_22;CaravanVouwwagen_23;OverigeSeizoenrecreatieveLogiesvormen_24;TotaalToeristischeLogiesvormen_25;WoningVanAndereParticulier_26;Hotel_27;ZomerhuisjeVakantiebungalow_28;TentBungalowtent_29;CaravanVouwwagenCamper_30;JeugdherbergAndereGroepsaccommodatie_31;OverigeToeristischeLogiesvormen_32;Auto_33;TreinAutoslaaptrein_34;OverigeVervoermiddelen_35;TotaleUitgavenVoorVakanties_36;TotaalGemUitgavenPerVakantieganger_37;MetEigenVervoer_38;MetOverigVervoer_39
185;TL: jeugdherberg of andere groepsacc.;2001;448.0;;31.0;21.0;20.0;43.0;74.0;91.0;33.0;25.0;79.0;28.0;71.0;52.0;46.0;45.0;9.0;10.0;111.0;37.0;37.0;;;;448.0;;;;;;448.0;;;;;;;;
186;TL: jeugdherberg of andere groepsacc.;2002;464.0;3.0;21.0;60.0;79.0;33.0;43.0;71.0;23.0;14.0;119.0;51.0;33.0;40.0;110.0;30.0;36.0;13.0;92.0;20.0;39.0;;;;464.0;;;;;;464.0;;;;;45.0;97.0;;
187;TL: jeugdherberg of andere groepsacc.;2003;425.0;3.0;27.0;39.0;33.0;64.0;34.0;70.0;38.0;17.0;103.0;44.0;27.0;69.0;61.0;22.0;41.0;14.0;86.0;30.0;31.0;;;;;;;;;;;;;;;27.0;64.0;;
188;Overige toeristische logiesvormen;2000;86.0;;0.0;4.0;0.0;;5.0;12.0;19.0;;;;;5.0;21.0;17.0;0.0;0.0;12.0;15.0;;;;;86.0;;;;;;;86.0;;;;;;;
189;Overige toeristische logiesvormen;2001;89.0;;3.0;22.0;0.0;14.0;4.0;6.0;14.0;12.0;5.0;12.0;4.0;14.0;2.0;3.0;3.0;8.0;13.0;23.0;7.0;;;;89.0;;;;;;;89.0;;;;;;;
190;Overige toeristische logiesvormen;2002;128.0;;12.0;20.0;27.0;8.0;15.0;16.0;1.0;5.0;25.0;10.0;15.0;9.0;34.0;15.0;9.0;8.0;17.0;5.0;7.0;;;;128.0;;;;;;;128.0;;;;;;;
191;Overige toeristische logiesvormen;2003;120.0;;18.0;27.0;1.0;13.0;2.0;13.0;16.0;9.0;20.0;4.0;2.0;13.0;14.0;16.0;24.0;3.0;18.0;19.0;7.0;;;;;;;;;;;;;;;;;;
192;Geboekt bij een reisbureau;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Geboekt bij een reisbureau;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;Geboekt bij een reisbureau;2002;454.0;3.2;80.0;39.0;39.0;27.0;19.0;36.0;59.0;63.0;89.0;31.0;15.0;31.0;90.0;52.0;41.0;36.0;40.0;91.0;31.0;;;;454.0;17.0;248.0;125.0;0.0;0.0;29.0;32.0;386.0;32.0;38.0;;188.0;;
