ID;Periods;TermsOfTrade_1;ImportPrices_2;ExportPrices_3;TermsOfTrade_4;ImportPrices_5;ExportPrices_6
310;2013 April;97.8;108.0;105.7;1.1;-2.7;-1.7
311;2013 May;96.9;109.3;105.8;0.6;-1.7;-1.2
312;2013 June;97.6;107.2;104.6;0.3;-0.9;-0.6
313;2013 2nd quarter;97.4;108.2;105.4;0.7;-1.8;-1.1
314;2013 July;96.6;107.7;104.0;0.2;-1.6;-1.4
315;2013 August;97.3;108.3;105.4;1.1;-3.5;-2.5
316;2013 September;97.6;107.0;104.5;0.5;-2.8;-2.3
317;2013 3rd quarter;97.2;107.7;104.6;0.6;-2.7;-2.1
318;2013 October;97.1;107.4;104.3;0.3;-3.4;-3.1
319;2013 November;97.6;106.6;104.0;-0.3;-2.6;-2.9
320;2013 December;99.1;106.9;105.9;0.6;-2.2;-1.6
321;2013 4th quarter;97.9;107.0;104.7;0.2;-2.7;-2.5
322;2013;97.6;108.1;105.5;0.5;-1.8;-1.4
323;2014 January;98.2;107.0;105.1;0.2;-2.4;-2.2
324;2014 February;98.1;106.9;104.8;0.2;-2.8;-2.6
325;2014 March;98.0;105.4;103.3;-0.1;-3.2;-3.3
326;2014 1st quarter;98.1;106.4;104.4;0.1;-2.8;-2.7
327;2014 April;97.0;106.1;102.9;-0.9;-1.8;-2.7
328;2014 May;95.8;107.6;103.1;-1.1;-1.5;-2.6
329;2014 June;96.5;106.5;102.8;-1.1;-0.7;-1.8
330;2014 2nd quarter;96.4;106.7;102.9;-1.0;-1.4;-2.3
331;2014 July;96.7;105.7;102.2;0.1;-1.8;-1.8
332;2014 August;97.5;105.9;103.3;0.3;-2.3;-2.0
333;2014 September;97.7;104.5;102.2;0.1;-2.3;-2.2
334;2014 3rd quarter;97.3;105.3;102.5;0.2;-2.2;-2.0
335;2014 October;97.5;105.3;102.6;0.4;-2.0;-1.6
336;2014 November;98.0;103.3;101.2;0.5;-3.1;-2.7
337;2014 December;100.7;99.0;99.7;1.6;-7.3;-5.8
338;2014 4th quarter;98.7;102.5;101.2;0.8;-4.2;-3.3
339;2014;97.6;105.2;102.7;0.0;-2.6;-2.6
340;2015 January;100.4;98.5;98.9;2.2;-8.0;-5.9
341;2015 February;99.8;100.6;100.4;1.8;-5.8;-4.2
342;2015 March;99.4;101.8;101.2;1.5;-3.4;-2.0
343;2015 1st quarter;99.9;100.4;100.2;1.8;-5.7;-4.0
344;2015 April;99.3;102.9;102.1;2.3;-3.0;-0.7
345;2015 May;99.7;102.5;102.2;4.1;-4.8;-0.9
346;2015 June;99.6;101.8;101.5;3.2;-4.4;-1.3
347;2015 2nd quarter;99.5;102.4;101.9;3.2;-4.1;-1.0
348;2015 July;100.1;101.2;101.3;3.6;-4.3;-0.8
349;2015 August;100.5;99.2;99.7;3.0;-6.3;-3.4
350;2015 September;100.4;98.6;99.0;2.7;-5.6;-3.1
