ID;OriginDestination;ResidualsProducts;HazardousNonHazardous;Periods;TotalWaste_1;ChemicalWaste_2;MetallicWaste_3;NonMetallicWaste_4;DiscardedMaterials_5;AnimalAndVegetableWaste_6;MixedWaste_7;Sludge_8;MineralWaste_9
125;Total private households;1;2;2010;;;;;;;;;
126;Total private households;2;3;1990;;;;;;;;;
127;Total private households;2;3;1991;;;;;;;;;
128;Total private households;2;3;1992;;;;;;;;;
129;Total private households;2;3;1993;;;;;;;;;
130;Total private households;2;3;1994;;;;;;;;;
131;Total private households;2;3;1995;;;;;;;;;
132;Total private households;2;3;1996;;;;;;;;;
133;Total private households;2;3;1997;;;;;;;;;
134;Total private households;2;3;1998;;;;;;;;;
135;Total private households;2;3;1999;;;;;;;;;
136;Total private households;2;3;2000;;;;;;;;;
137;Total private households;2;3;2001;;;;;;;;;
138;Total private households;2;3;2002;460.0;5.0;34.0;420.0;0.0;0.0;1.0;0.0;0.0
139;Total private households;2;3;2003;346.0;5.0;53.0;277.0;0.0;0.0;11.0;0.0;0.0
140;Total private households;2;3;2004;577.0;2.0;55.0;517.0;0.0;0.0;3.0;0.0;0.0
141;Total private households;2;3;2005;431.0;0.0;50.0;381.0;0.0;0.0;0.0;0.0;0.0
142;Total private households;2;3;2006;749.0;0.0;55.0;694.0;0.0;0.0;0.0;0.0;0.0
143;Total private households;2;3;2007;743.0;0.0;54.0;688.0;0.0;0.0;0.0;0.0;0.0
144;Total private households;2;3;2008;735.0;0.0;57.0;679.0;0.0;0.0;0.0;0.0;0.0
145;Total private households;2;3;2009;;;;;;;;;
146;Total private households;2;3;2010;;;;;;;;;
147;Total private households;2;1;1990;;;;;;;;;
148;Total private households;2;1;1991;;;;;;;;;
149;Total private households;2;1;1992;;;;;;;;;
150;Total private households;2;1;1993;;;;;;;;;
151;Total private households;2;1;1994;;;;;;;;;
152;Total private households;2;1;1995;;;;;;;;;
153;Total private households;2;1;1996;;;;;;;;;
154;Total private households;2;1;1997;;;;;;;;;
155;Total private households;2;1;1998;;;;;;;;;
156;Total private households;2;1;1999;;;;;;;;;
157;Total private households;2;1;2000;;;;;;;;;
158;Total private households;2;1;2001;;;;;;;;;
159;Total private households;2;1;2002;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
160;Total private households;2;1;2003;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
161;Total private households;2;1;2004;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
162;Total private households;2;1;2005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
163;Total private households;2;1;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
164;Total private households;2;1;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
165;Total private households;2;1;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
166;Total private households;2;1;2009;;;;;;;;;
167;Total private households;2;1;2010;;;;;;;;;
168;Total private households;2;2;1990;;;;;;;;;
169;Total private households;2;2;1991;;;;;;;;;
170;Total private households;2;2;1992;;;;;;;;;
171;Total private households;2;2;1993;;;;;;;;;
172;Total private households;2;2;1994;;;;;;;;;
173;Total private households;2;2;1995;;;;;;;;;
174;Total private households;2;2;1996;;;;;;;;;
175;Total private households;2;2;1997;;;;;;;;;
176;Total private households;2;2;1998;;;;;;;;;
177;Total private households;2;2;1999;;;;;;;;;
178;Total private households;2;2;2000;;;;;;;;;
179;Total private households;2;2;2001;;;;;;;;;
180;Total private households;2;2;2002;455.0;0.0;34.0;420.0;0.0;0.0;1.0;0.0;0.0
181;Total private households;2;2;2003;341.0;0.0;53.0;277.0;0.0;0.0;11.0;0.0;0.0
182;Total private households;2;2;2004;575.0;0.0;55.0;517.0;0.0;0.0;3.0;0.0;0.0
183;Total private households;2;2;2005;431.0;0.0;50.0;381.0;0.0;0.0;0.0;0.0;0.0
184;Total private households;2;2;2006;749.0;0.0;55.0;694.0;0.0;0.0;0.0;0.0;0.0
185;Total private households;2;2;2007;743.0;0.0;54.0;688.0;0.0;0.0;0.0;0.0;0.0
186;Total private households;2;2;2008;735.0;0.0;57.0;679.0;0.0;0.0;0.0;0.0;0.0
187;Total private households;2;2;2009;;;;;;;;;
188;Total private households;2;2;2010;;;;;;;;;
189;A-U All economic activities;3;3;1990;;;;;;;;;
190;A-U All economic activities;3;3;1991;;;;;;;;;
191;A-U All economic activities;3;3;1992;;;;;;;;;
192;A-U All economic activities;3;3;1993;;;;;;;;;
193;A-U All economic activities;3;3;1994;;;;;;;;;
194;A-U All economic activities;3;3;1995;;;;;;;;;
195;A-U All economic activities;3;3;1996;;;;;;;;;
196;A-U All economic activities;3;3;1997;;;;;;;;;
197;A-U All economic activities;3;3;1998;;;;;;;;;
198;A-U All economic activities;3;3;1999;;;;;;;;;
199;A-U All economic activities;3;3;2000;;;;;;;;;
200;A-U All economic activities;3;3;2001;;;;;;;;;
201;A-U All economic activities;3;3;2002;54558.0;1680.0;1139.0;2791.0;35.0;11784.0;4574.0;606.0;31950.0
202;A-U All economic activities;3;3;2003;53883.0;1765.0;1105.0;2769.0;37.0;11735.0;4500.0;527.0;31445.0
203;A-U All economic activities;3;3;2004;53618.0;1628.0;1258.0;3673.0;54.0;11129.0;3927.0;511.0;31439.0
204;A-U All economic activities;3;3;2005;52100.0;1824.0;1030.0;2972.0;130.0;10878.0;3575.0;507.0;31182.0
205;A-U All economic activities;3;3;2006;52942.0;1829.0;1862.0;3574.0;177.0;11512.0;4395.0;518.0;29075.0
206;A-U All economic activities;3;3;2007;53993.0;1796.0;1768.0;3702.0;165.0;12604.0;4545.0;508.0;28904.0
207;A-U All economic activities;3;3;2008;55383.0;1993.0;1602.0;3739.0;138.0;12745.0;4199.0;459.0;30508.0
208;A-U All economic activities;3;3;2009;50592.0;2018.0;1506.0;3878.0;112.0;12477.0;3315.0;495.0;26791.0
209;A-U All economic activities;3;3;2010;49952.0;2177.0;1591.0;4060.0;114.0;12536.0;3275.0;503.0;25696.0
210;A-U All economic activities;3;1;1990;;;;;;;;;
211;A-U All economic activities;3;1;1991;;;;;;;;;
212;A-U All economic activities;3;1;1992;;;;;;;;;
213;A-U All economic activities;3;1;1993;;;;;;;;;
214;A-U All economic activities;3;1;1994;;;;;;;;;
215;A-U All economic activities;3;1;1995;;;;;;;;;
216;A-U All economic activities;3;1;1996;;;;;;;;;
217;A-U All economic activities;3;1;1997;;;;;;;;;
218;A-U All economic activities;3;1;1998;;;;;;;;;
219;A-U All economic activities;3;1;1999;;;;;;;;;
220;A-U All economic activities;3;1;2000;;;;;;;;;
221;A-U All economic activities;3;1;2001;;;;;;;;;
222;A-U All economic activities;3;1;2002;1593.0;867.0;0.0;25.0;34.0;0.0;205.0;0.0;461.0
223;A-U All economic activities;3;1;2003;1612.0;957.0;0.0;9.0;36.0;0.0;190.0;0.0;420.0
224;A-U All economic activities;3;1;2004;1510.0;837.0;1.0;3.0;42.0;0.0;157.0;0.0;470.0
225;A-U All economic activities;3;1;2005;3559.0;1070.0;10.0;35.0;119.0;0.0;7.0;0.0;2318.0
226;A-U All economic activities;3;1;2006;4745.0;1148.0;10.0;52.0;157.0;0.0;135.0;0.0;3243.0
227;A-U All economic activities;3;1;2007;3598.0;1122.0;3.0;22.0;146.0;0.0;123.0;0.0;2183.0
228;A-U All economic activities;3;1;2008;4245.0;1300.0;6.0;21.0;129.0;0.0;111.0;0.0;2678.0
229;A-U All economic activities;3;1;2009;;;;;;;;;
230;A-U All economic activities;3;1;2010;;;;;;;;;
231;A-U All economic activities;3;2;1990;;;;;;;;;
232;A-U All economic activities;3;2;1991;;;;;;;;;
233;A-U All economic activities;3;2;1992;;;;;;;;;
234;A-U All economic activities;3;2;1993;;;;;;;;;
235;A-U All economic activities;3;2;1994;;;;;;;;;
236;A-U All economic activities;3;2;1995;;;;;;;;;
237;A-U All economic activities;3;2;1996;;;;;;;;;
238;A-U All economic activities;3;2;1997;;;;;;;;;
239;A-U All economic activities;3;2;1998;;;;;;;;;
240;A-U All economic activities;3;2;1999;;;;;;;;;
241;A-U All economic activities;3;2;2000;;;;;;;;;
242;A-U All economic activities;3;2;2001;;;;;;;;;
243;A-U All economic activities;3;2;2002;52966.0;813.0;1139.0;2766.0;0.0;11784.0;4368.0;606.0;31489.0
244;A-U All economic activities;3;2;2003;52271.0;808.0;1104.0;2761.0;0.0;11735.0;4310.0;527.0;31025.0
245;A-U All economic activities;3;2;2004;52108.0;791.0;1257.0;3670.0;12.0;11129.0;3770.0;511.0;30969.0
246;A-U All economic activities;3;2;2005;48541.0;754.0;1020.0;2937.0;12.0;10878.0;3568.0;507.0;28865.0
247;A-U All economic activities;3;2;2006;48197.0;680.0;1852.0;3522.0;20.0;11512.0;4260.0;518.0;25832.0
248;A-U All economic activities;3;2;2007;50395.0;674.0;1765.0;3680.0;20.0;12604.0;4423.0;508.0;26721.0
249;A-U All economic activities;3;2;2008;51138.0;692.0;1596.0;3719.0;10.0;12745.0;4087.0;459.0;27831.0
250;A-U All economic activities;3;2;2009;;;;;;;;;
251;A-U All economic activities;3;2;2010;;;;;;;;;
252;A-U All economic activities;1;3;1990;;;;;;;;;
253;A-U All economic activities;1;3;1991;;;;;;;;;
254;A-U All economic activities;1;3;1992;;;;;;;;;
255;A-U All economic activities;1;3;1993;;;;;;;;;
256;A-U All economic activities;1;3;1994;;;;;;;;;
257;A-U All economic activities;1;3;1995;;;;;;;;;
258;A-U All economic activities;1;3;1996;;;;;;;;;
259;A-U All economic activities;1;3;1997;;;;;;;;;
260;A-U All economic activities;1;3;1998;;;;;;;;;
261;A-U All economic activities;1;3;1999;;;;;;;;;
262;A-U All economic activities;1;3;2000;;;;;;;;;
263;A-U All economic activities;1;3;2001;;;;;;;;;
264;A-U All economic activities;1;3;2002;45111.0;1445.0;294.0;1906.0;35.0;4728.0;4573.0;606.0;31525.0
265;A-U All economic activities;1;3;2003;44208.0;1467.0;115.0;2161.0;37.0;4388.0;4494.0;527.0;31020.0
266;A-U All economic activities;1;3;2004;43659.0;1478.0;154.0;2795.0;54.0;3937.0;3925.0;511.0;30806.0
267;A-U All economic activities;1;3;2005;43154.0;1799.0;140.0;2263.0;130.0;3843.0;3575.0;507.0;30896.0
268;A-U All economic activities;1;3;2006;42936.0;1827.0;226.0;2434.0;177.0;5252.0;4395.0;518.0;28108.0
269;A-U All economic activities;1;3;2007;45263.0;1794.0;227.0;2644.0;165.0;7227.0;4545.0;508.0;28152.0
270;A-U All economic activities;1;3;2008;47072.0;1992.0;201.0;2715.0;138.0;7432.0;4199.0;459.0;29937.0
271;A-U All economic activities;1;3;2009;;;;;;;;;
272;A-U All economic activities;1;3;2010;;;;;;;;;
273;A-U All economic activities;1;1;1990;;;;;;;;;
274;A-U All economic activities;1;1;1991;;;;;;;;;
275;A-U All economic activities;1;1;1992;;;;;;;;;
276;A-U All economic activities;1;1;1993;;;;;;;;;
277;A-U All economic activities;1;1;1994;;;;;;;;;
278;A-U All economic activities;1;1;1995;;;;;;;;;
279;A-U All economic activities;1;1;1996;;;;;;;;;
280;A-U All economic activities;1;1;1997;;;;;;;;;
281;A-U All economic activities;1;1;1998;;;;;;;;;
282;A-U All economic activities;1;1;1999;;;;;;;;;
283;A-U All economic activities;1;1;2000;;;;;;;;;
284;A-U All economic activities;1;1;2001;;;;;;;;;
285;A-U All economic activities;1;1;2002;1359.0;634.0;0.0;25.0;34.0;0.0;205.0;0.0;461.0
286;A-U All economic activities;1;1;2003;1314.0;659.0;0.0;9.0;36.0;0.0;190.0;0.0;420.0
287;A-U All economic activities;1;1;2004;1360.0;687.0;1.0;3.0;42.0;0.0;157.0;0.0;470.0
288;A-U All economic activities;1;1;2005;3538.0;1048.0;10.0;35.0;119.0;0.0;7.0;0.0;2318.0
289;A-U All economic activities;1;1;2006;4745.0;1148.0;9.0;52.0;157.0;0.0;135.0;0.0;3243.0
290;A-U All economic activities;1;1;2007;3598.0;1122.0;3.0;22.0;146.0;0.0;123.0;0.0;2183.0
291;A-U All economic activities;1;1;2008;4245.0;1300.0;6.0;21.0;129.0;0.0;111.0;0.0;2678.0
292;A-U All economic activities;1;1;2009;;;;;;;;;
293;A-U All economic activities;1;1;2010;;;;;;;;;
294;A-U All economic activities;1;2;1990;;;;;;;;;
295;A-U All economic activities;1;2;1991;;;;;;;;;
296;A-U All economic activities;1;2;1992;;;;;;;;;
297;A-U All economic activities;1;2;1993;;;;;;;;;
298;A-U All economic activities;1;2;1994;;;;;;;;;
299;A-U All economic activities;1;2;1995;;;;;;;;;
300;A-U All economic activities;1;2;1996;;;;;;;;;
301;A-U All economic activities;1;2;1997;;;;;;;;;
302;A-U All economic activities;1;2;1998;;;;;;;;;
303;A-U All economic activities;1;2;1999;;;;;;;;;
304;A-U All economic activities;1;2;2000;;;;;;;;;
305;A-U All economic activities;1;2;2001;;;;;;;;;
306;A-U All economic activities;1;2;2002;43752.0;811.0;293.0;1881.0;0.0;4728.0;4368.0;606.0;31064.0
307;A-U All economic activities;1;2;2003;42894.0;808.0;115.0;2152.0;0.0;4388.0;4303.0;527.0;30600.0
308;A-U All economic activities;1;2;2004;42299.0;791.0;153.0;2791.0;12.0;3937.0;3768.0;511.0;30336.0
309;A-U All economic activities;1;2;2005;39616.0;751.0;130.0;2228.0;12.0;3843.0;3568.0;507.0;28578.0
310;A-U All economic activities;1;2;2006;38191.0;678.0;217.0;2382.0;20.0;5252.0;4260.0;518.0;24864.0
311;A-U All economic activities;1;2;2007;41664.0;672.0;224.0;2622.0;20.0;7227.0;4423.0;508.0;25969.0
312;A-U All economic activities;1;2;2008;42828.0;692.0;195.0;2694.0;10.0;7432.0;4087.0;459.0;27260.0
313;A-U All economic activities;1;2;2009;;;;;;;;;
314;A-U All economic activities;1;2;2010;;;;;;;;;
315;A-U All economic activities;2;3;1990;;;;;;;;;
316;A-U All economic activities;2;3;1991;;;;;;;;;
317;A-U All economic activities;2;3;1992;;;;;;;;;
318;A-U All economic activities;2;3;1993;;;;;;;;;
319;A-U All economic activities;2;3;1994;;;;;;;;;
320;A-U All economic activities;2;3;1995;;;;;;;;;
321;A-U All economic activities;2;3;1996;;;;;;;;;
322;A-U All economic activities;2;3;1997;;;;;;;;;
323;A-U All economic activities;2;3;1998;;;;;;;;;
324;A-U All economic activities;2;3;1999;;;;;;;;;
325;A-U All economic activities;2;3;2000;;;;;;;;;
326;A-U All economic activities;2;3;2001;;;;;;;;;
327;A-U All economic activities;2;3;2002;9447.0;235.0;845.0;885.0;0.0;7056.0;0.0;0.0;425.0
328;A-U All economic activities;2;3;2003;9675.0;298.0;989.0;609.0;0.0;7347.0;6.0;0.0;425.0
329;A-U All economic activities;2;3;2004;9959.0;151.0;1104.0;878.0;0.0;7191.0;2.0;0.0;633.0
330;A-U All economic activities;2;3;2005;8946.0;25.0;890.0;709.0;0.0;7035.0;0.0;0.0;287.0
331;A-U All economic activities;2;3;2006;10006.0;2.0;1636.0;1141.0;0.0;6260.0;0.0;0.0;968.0
332;A-U All economic activities;2;3;2007;8731.0;2.0;1541.0;1058.0;0.0;5378.0;0.0;0.0;752.0
333;A-U All economic activities;2;3;2008;8310.0;1.0;1401.0;1025.0;0.0;5313.0;0.0;0.0;571.0
334;A-U All economic activities;2;3;2009;;;;;;;;;
335;A-U All economic activities;2;3;2010;;;;;;;;;
336;A-U All economic activities;2;1;1990;;;;;;;;;
337;A-U All economic activities;2;1;1991;;;;;;;;;
338;A-U All economic activities;2;1;1992;;;;;;;;;
339;A-U All economic activities;2;1;1993;;;;;;;;;
340;A-U All economic activities;2;1;1994;;;;;;;;;
341;A-U All economic activities;2;1;1995;;;;;;;;;
342;A-U All economic activities;2;1;1996;;;;;;;;;
343;A-U All economic activities;2;1;1997;;;;;;;;;
344;A-U All economic activities;2;1;1998;;;;;;;;;
345;A-U All economic activities;2;1;1999;;;;;;;;;
346;A-U All economic activities;2;1;2000;;;;;;;;;
347;A-U All economic activities;2;1;2001;;;;;;;;;
348;A-U All economic activities;2;1;2002;233.0;233.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
349;A-U All economic activities;2;1;2003;298.0;298.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
350;A-U All economic activities;2;1;2004;151.0;151.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
351;A-U All economic activities;2;1;2005;21.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
352;A-U All economic activities;2;1;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
353;A-U All economic activities;2;1;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
354;A-U All economic activities;2;1;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
355;A-U All economic activities;2;1;2009;;;;;;;;;
356;A-U All economic activities;2;1;2010;;;;;;;;;
357;A-U All economic activities;2;2;1990;;;;;;;;;
358;A-U All economic activities;2;2;1991;;;;;;;;;
359;A-U All economic activities;2;2;1992;;;;;;;;;
360;A-U All economic activities;2;2;1993;;;;;;;;;
361;A-U All economic activities;2;2;1994;;;;;;;;;
362;A-U All economic activities;2;2;1995;;;;;;;;;
363;A-U All economic activities;2;2;1996;;;;;;;;;
364;A-U All economic activities;2;2;1997;;;;;;;;;
365;A-U All economic activities;2;2;1998;;;;;;;;;
366;A-U All economic activities;2;2;1999;;;;;;;;;
367;A-U All economic activities;2;2;2000;;;;;;;;;
368;A-U All economic activities;2;2;2001;;;;;;;;;
369;A-U All economic activities;2;2;2002;9214.0;2.0;845.0;885.0;0.0;7056.0;0.0;0.0;425.0
370;A-U All economic activities;2;2;2003;9376.0;0.0;989.0;609.0;0.0;7347.0;6.0;0.0;425.0
371;A-U All economic activities;2;2;2004;9809.0;0.0;1104.0;878.0;0.0;7191.0;2.0;0.0;633.0
372;A-U All economic activities;2;2;2005;8924.0;4.0;890.0;709.0;0.0;7035.0;0.0;0.0;287.0
373;A-U All economic activities;2;2;2006;10006.0;2.0;1636.0;1141.0;0.0;6260.0;0.0;0.0;968.0
374;A-U All economic activities;2;2;2007;8731.0;2.0;1541.0;1058.0;0.0;5378.0;0.0;0.0;752.0
375;A-U All economic activities;2;2;2008;8310.0;1.0;1401.0;1025.0;0.0;5313.0;0.0;0.0;571.0
376;A-U All economic activities;2;2;2009;;;;;;;;;
377;A-U All economic activities;2;2;2010;;;;;;;;;
378;A Agriculture, forestry and fishing;3;3;1990;;;;;;;;;
379;A Agriculture, forestry and fishing;3;3;1991;;;;;;;;;
380;A Agriculture, forestry and fishing;3;3;1992;;;;;;;;;
381;A Agriculture, forestry and fishing;3;3;1993;;;;;;;;;
382;A Agriculture, forestry and fishing;3;3;1994;;;;;;;;;
383;A Agriculture, forestry and fishing;3;3;1995;;;;;;;;;
384;A Agriculture, forestry and fishing;3;3;1996;;;;;;;;;
385;A Agriculture, forestry and fishing;3;3;1997;;;;;;;;;
386;A Agriculture, forestry and fishing;3;3;1998;;;;;;;;;
387;A Agriculture, forestry and fishing;3;3;1999;;;;;;;;;
388;A Agriculture, forestry and fishing;3;3;2000;;;;;;;;;
389;A Agriculture, forestry and fishing;3;3;2001;;;;;;;;;
